0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36233 14161	1	 * 	276.36	DCR|4VULN|2DMG|2CDMG|1ASPD	1RPLT|2479VULN|3RCVC|59CDMG|6RCR|89DMG|9BPWR|aASPD
28	25122 11653	8	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	1aCGEN|2679VULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR
29	25122 13632	8	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	1CGEN|269aVULN|3CDMG|4ASPD|56DUR|6BPWR|7ZMB|8RCR
30	36661 33213	2	   	262.11	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1RPLT|24DMG|346VULN|4BPWR|5TBNT|7CDMG|8DUR|9AART|aRCR
31	36334 24418	7	 * 	261.76	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|29DMG|3MBVNT|469DUR|5CDMG|7LIT|89VULN|9BPWR|aRCR
32	36334 24618	8	   	261.76	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|29DMG|3MBVNT|469DUR|5CDMG|7LIT|89VULN|9BPWR|aRCR
33	26315 11262	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1CGEN|2TLV|3AART|4DMG|578VULN|6RCR|9aDUR
34	36315 21447	3	 * 	261.04	DCR|4VULN|3DMG	1RPLT|25aDMG|3MBVNT|459aVULN|5aBPWR|6RCVC|7aFEWX|8RCR
35	36315 24447	3	   	261.04	DCR|4VULN|3DMG	1RPLT|25aDMG|3MBVNT|459aVULN|5aBPWR|6RCVC|7aBEXP|8RCR
36	36315 41447	3	   	261.04	DCR|4VULN|3DMG	16RPLT|25aDMG|3MBVNT|459aVULN|5aBPWR|7aFEWX|8RCR
37	36315 44447	3	   	261.04	DCR|4VULN|3DMG	16RPLT|25aDMG|3MBVNT|459aVULN|5aBPWR|7aBEXP|8RCR
38	36312 18447	3	   	260.94	DCR|4VULN|3DMG	1RPLT|27aDMG|3MBVNT|469aVULN|5aFEWX|8RCR|aBPWR
39	36662 13331	2	   	260.94	DCR|4VULN|3DMG	17RPLT|245DMG|3469VULN|4BPWR|8RCVC|aRCR
40	25122 11625	9	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CGEN|267VULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR|9LHND|aDMG
41	25122 11636	9	   	260.55	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CGEN|267VULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR|9FEWX|aDMG
42	25122 11615	8	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CGEN|267VULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR|9DUST|aDMG
43	13316 21612	5	 * 	260.01	DCR|4VULN|3DUR	1RCVC|2DMSP|3568VULN|459DUR|5BPWR|7LIT|aRCR
44	13316 34612	5	   	260.01	DCR|4VULN|3DUR	1RCVC|2DMSP|3578VULN|459DUR|5BPWR|6LIT|aRCR
45	45112 12335	6	   	259.86	DCR|4VULN|3DUR|1SELL	1SELL|24aDUR|3LIT|578aVULN|6aLWND|9RCR|aBPWR
46	45112 32335	5	   	259.86	DCR|4VULN|3DUR|1SELL	1SELL|24aDUR|3LIT|578aVULN|6aLWND|9RCR|aBPWR
47	42114 32335	4	   	259.66	DCR|4VULN|3DUR|1SELL	1SELL|2aDUST|3LIT|45aDUR|678aVULN|9RCR|aBPWR
48	24321 12145	5	 * 	259.62	DCR|3VULN|3DMG|2ASPD	15aCGEN|24ASPD|36aDMG|7RCR|89aVULN|aBPWR
49	24321 22145	6	   	259.62	DCR|3VULN|3DMG|2ASPD	15aCGEN|24ASPD|36aDMG|7RCR|89aVULN|aBPWR
50	25122 11634	8	   	259.00	DCR|3VULN|2DUR|2ASPD|1CDMG	1CGEN|267VULN|3CDMG|4aASPD|56DUR|6BPWR|8RCR|9LIT
51	36661 33313	2	   	258.84	DCR|4VULN|2DMG|1CDMG	1RPLT|24DMG|3469VULN|4BPWR|5TBNT|7CDMG|8CGEN|aRCR
52	36315 82441	3	   	258.84	DCR|4VULN|2DMG|1CDMG	1RPLT|25DMG|3MBVNT|4579VULN|5BPWR|6FEWX|8RCR|aCDMG
53	13215 22124	2	 * 	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|2DMSP|3678VULN|47DUR|57TLV|7BPWR|9RPLT|aRCR
54	13251 22124	2	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|2DMSP|3678VULN|47TLV|57DUR|7BPWR|9RPLT|aRCR
55	13315 22124	4	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|2DMSP|3678VULN|47DUR|57TLV|7BPWR|9RPLT|aRCR
56	13315 22124	3	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|2DMSP|3678VULN|47DUR|57TLV|7BPWR|9RPLT|aRCR
57	13321 22124	4	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|2DMSP|3678VULN|47TLV|57DUR|7BPWR|9RPLT|aRCR
58	13351 22124	3	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|2DMSP|3678VULN|47TLV|57DUR|7BPWR|9RPLT|aRCR
59	22666 11112	10	   	258.31	DCR|3VULN|2DMG|1DUR|1ASPD	159CGEN|2LIT|39DMG|4DUR|6ASPD|7RCR|89aVULN|9BPWR
60	41222 11266	9	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|34679VULN|56DUR|6BPWR|8CGEN|aRCR
61	41222 11366	9	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|34679VULN|56DUR|6BPWR|8RMIN|aRCR
62	41222 11612	9	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|3467aVULN|56DUR|6BPWR|8RCR|9MLV
63	41222 11622	8	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|3467aVULN|56DUR|6BPWR|8RCR|9MLV
64	41222 11635	10	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|29FEWX|3467aVULN|56DUR|6BPWR|8RCR
65	41222 11652	8	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|34679VULN|56DUR|6BPWR|8RCR|aCGEN
66	41222 11653	8	 * 	257.77	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|34679VULN|56DUR|6BPWR|8RCR|aLHND
67	41222 11651	8	 * 	257.67	DCR|5VULN|2DUR|1SELL	1SELL|2FEWX|34679VULN|56DUR|6BPWR|8RCR|aERES
68	42222 11612	9	 * 	257.67	DCR|5VULN|2DUR|1SELL	1SELL|2DUST|3467aVULN|56DUR|6BPWR|8RCR|9MLV
69	42222 11622	8	 * 	257.67	DCR|5VULN|2DUR|1SELL	1SELL|2DUST|34679VULN|56DUR|6BPWR|8RCR|aCGEN
70	42222 11623	8	 * 	257.67	DCR|5VULN|2DUR|1SELL	1SELL|2DUST|34679VULN|56DUR|6BPWR|8RCR|aLHND
71	42222 11621	8	 * 	257.57	DCR|5VULN|2DUR|1SELL	1SELL|2DUST|34679VULN|56DUR|6BPWR|8RCR|aERES
72	42222 11625	8	 * 	257.57	DCR|5VULN|2DUR|1SELL	1SELL|2DUST|34679VULN|56DUR|6BPWR|8RCR|aTBNT
73	41222 11634	8	   	257.54	DCR|4VULN|2DUR|1ASPD|1SELL	1SELL|2FEWX|3467VULN|56DUR|6BPWR|8RCR|9LIT|aASPD
74	36233 14133	1	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1RPLT|247aVULN|3RCVC|5CDMG|6RCR|8DMG|9DUR
75	42222 12334	6	   	257.44	DCR|4VULN|2DUR|1ASPD|1SELL	1SELL|2DUST|3468VULN|56DUR|6BPWR|7LIT|9RCR|aASPD
76	25112 25632	5	   	256.98	DCR|5VULN|1DUR|1CDMG	1CGEN|2689aVULN|3CDMG|4DUR|5LWND|7RCR
77	36315 31171	3	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1RPLT|25DMG|3MBVNT|45aVULN|5BPWR|6AART|7LIT|8RCR|9DUR
78	63231 23346	1	   	256.19	DCR|4VULN|2DMG|1ASPD	1ZMB|2789VULN|36DMG|4ASPD|5LHND|aRCR
79	24321 14132	4	   	256.07	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	1CGEN|24ASPD|3DMG|5DUR|6RCR|79aVULN|8CDMG
80	64321 14132	4	   	256.07	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	1ZMB|24ASPD|3DMG|5DUR|6RCR|79aVULN|8CDMG
81	31661 33263	1	   	256.07	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	1RPLT|24ASPD|346VULN|4BPWR|5TBNT|7CDMG|8DUR|9DMG|aRCR
82	13215 22316	2	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8ZMB|9DMG|aRCR
83	13251 22316	2	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8ZMB|9DMG|aRCR
84	13315 22316	4	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8ZMB|9DMG|aRCR
85	13315 22316	3	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8ZMB|9DMG|aRCR
86	13321 22316	4	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8ZMB|9DMG|aRCR
87	13351 22316	3	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8ZMB|9DMG|aRCR
88	13215 22416	2	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8DMG|9NUKE|aRCR
89	13251 22416	2	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8DMG|9NUKE|aRCR
90	13315 22416	4	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8DMG|9NUKE|aRCR
91	13315 22416	3	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8DMG|9NUKE|aRCR
92	13321 22416	4	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8DMG|9NUKE|aRCR
93	13351 22416	3	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8DMG|9NUKE|aRCR
94	11412 11112	10	   	255.30	DCR|3VULN|2DUR|1DMG|1ASPD	1RCVC|29CGEN|3DMG|49DUR|5LIT|6ASPD|7RCR|89aVULN|9BPWR
95	24612 61112	10	   	255.30	DCR|3VULN|2DUR|1DMG|1ASPD	139CGEN|2ASPD|49DUR|5LIT|6DMG|7RCR|89aVULN|9BPWR
96	16412 11112	10	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1RCVC|29ERES|3DMG|49DUR|5LIT|6ASPD|7RCR|89aVULN|9BPWR
97	36661 32313	2	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1RPLT|24DMG|346VULN|4BPWR|5TBNT|7CGEN|8DUR|9RCR|aTLV
98	36662 11212	2	   	254.45	DCR|3VULN|3DMG|1TLV	1RPLT|245DMG|346VULN|4BPWR|7DUST|8RCR|9RMIN|aTLV
99	36662 11222	2	   	254.45	DCR|3VULN|3DMG|1TLV	1RPLT|245DMG|346VULN|4BPWR|7DUST|8RCR|9MLV|aTLV
100	51326 13412	7	   	254.20	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	19FEWX|2ASPD|39VULN|45LIT|6DUR|7RCR|89DMG|9BPWR|aTLV
101	22661 51112	10	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	19CGEN|25LIT|39DMG|4DUR|6ZMB|7RCR|89aVULN|9BPWR
102	36233 11161	1	   	253.72	DCR|3VULN|2DMG|2CDMG|1ASPD	1RPLT|249VULN|37RCVC|59CDMG|6RCR|89DMG|9BPWR|aASPD
103	51332 87234	10	   	253.71	DCR|3VULN|3DUR|1CDMG|1ASPD	17FEWX|2ASPD|367VULN|47aDUR|5MBVNT|7BPWR|8RCR|9CDMG
104	25122 11626	10	   	253.71	DCR|3VULN|3DUR|1CDMG|1ASPD	1CGEN|267VULN|3CDMG|4ASPD|56aDUR|6BPWR|8RCR|9LHND
105	25122 11636	10	   	253.71	DCR|3VULN|3DUR|1CDMG|1ASPD	1CGEN|267VULN|3CDMG|4ASPD|56aDUR|6BPWR|8RCR|9FEWX
106	26315 11253	3	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2TLV|3AART|4DMG|578aVULN|6RCR|9LWND
107	36121 61423	8	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|28DMG|3ERES|489VULN|5RMIN|6RCR|78DUR|8BPWR|aLWND
108	36332 12365	1	   	253.43	DCR|4VULN|2DUR|2LIT	15RPLT|278aVULN|3aLIT|4DMSP|6RCR|9aDUR|aBPWR
109	36311 17113	4	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8BEXP|9RCR
110	36311 17513	4	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8LHND|9RCR
111	36313 17113	5	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8BEXP|9RCR
112	36313 17513	5	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8LHND|9RCR
113	36313 67113	6	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8BEXP|9RCR
114	36321 17113	3	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8BEXP|9RCR
115	36321 17513	3	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DMG|3MBVNT|4DUST|57DUR|67aVULN|7BPWR|8LHND|9RCR
116	24321 14162	4	 * 	253.27	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	19CGEN|24ASPD|39DMG|5DUR|6RCR|7aVULN|89CDMG|9BPWR
117	45213 12335	4	   	253.18	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUR|3678VULN|4aLWND|5aLIT|9RCR|aBPWR
118	45213 12335	3	   	253.18	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUR|3678VULN|4aLWND|5aLIT|9RCR|aBPWR
119	45223 12235	1	   	253.18	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|267aVULN|38FEWX|4aDUR|5aLIT|9RCR|aBPWR
120	45233 12235	2	   	253.18	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUR|38FEWX|467aVULN|5aLIT|9RCR|aBPWR
121	42116 32335	5	   	252.98	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUST|35LIT|4aDUR|678aVULN|9RCR|aBPWR
122	42223 12335	3	   	252.98	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUST|3678VULN|4aDUR|5aLIT|9RCR|aBPWR
123	42263 12335	4	   	252.98	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUST|3678VULN|4aDUR|5aLIT|9RCR|aBPWR
124	42222 32335	7	   	252.98	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUST|3478VULN|5aDUR|6aLIT|9RCR|aBPWR
125	42222 32335	6	   	252.98	DCR|4VULN|2DUR|2LIT|1SELL	1SELL|2aDUST|3478VULN|5aDUR|6aLIT|9RCR|aBPWR
126	31222 46631	10	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	1RPLT|289BEXP|38aVULN|4CDMG|5DUR|68DMG|7RCR|8BPWR
127	24225 11262	2	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1CGEN|2ASPD|3TLV|4AART|578VULN|6RCR|9aDUR
128	26225 11262	3	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1CGEN|2TLV|3ASPD|4AART|578VULN|6RCR|9aDUR
129	26353 11262	3	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1CGEN|2TLV|3AART|478VULN|5ASPD|6RCR|9aDUR
130	31222 46611	8	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	1RPLT|28BEXP|38aVULN|4CDMG|5DUR|68DMG|7RCR|8BPWR|9BBNT
131	36661 33122	2	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1RPLT|24DMG|346VULN|4BPWR|5TBNT|7CDMG|8DUST|9DUR|aRCR
132	13363 16335	8	   	252.27	DCR|3VULN|2DMG|2CDMG|1AART	1RCVC|2DMSP|349VULN|49BPWR|59CDMG|6MBVNT|79DMG|8AART|aRCR
133	63331 66222	7	   	252.25	DCR|3VULN|2DUR|1DMG|1TLV	157ZMB|2FEWX|379VULN|47DUR|6RCR|7BPWR|8TLV|aDMG
134	22614 12612	10	   	252.17	DCR|3VULN|2DMG|2ASPD	19CGEN|2LIT|39DMG|4DUST|56aVULN|7RCR|89ASPD|9BPWR
135	22614 12613	9	   	252.17	DCR|3VULN|2DMG|2ASPD	19CGEN|2LIT|39DMG|4DUST|56aVULN|7RCR|89ASPD|9BPWR
136	13316 23216	5	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	1RCVC|2DMSP|356VULN|45DUR|5BPWR|7ZMB|8TLV|9DMG|aRCR
137	25142 11612	9	   	252.12	DCR|4VULN|2DUR|1CDMG	1CGEN|267aVULN|3CDMG|4ZMB|56DUR|6BPWR|8RCR|9MLV
138	25142 11622	8	   	252.12	DCR|4VULN|2DUR|1CDMG	1CGEN|267aVULN|3CDMG|4ZMB|56DUR|6BPWR|8RCR|9MLV
139	25315 62133	7	 * 	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1CGEN|289VULN|3TLV|4ERES|58DUR|6FEWX|78CDMG|8BPWR|aRCR
140	41222 11614	10	   	251.88	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2FEWX|3467VULN|56DUR|6BPWR|8RCR|9MLV|aCDMG
141	41222 11661	9	   	251.88	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2FEWX|3467VULN|56DUR|6BPWR|8RCR|9CDMG|aBEXP
142	41222 11662	10	   	251.88	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2FEWX|3467VULN|56DUR|6BPWR|8RCR|9CDMG|aBELT
143	41222 11662	9	   	251.88	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2FEWX|3467VULN|56DUR|6BPWR|8RCR|9CDMG|aRCVC
144	41222 13233	9	   	251.88	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2FEWX|346aVULN|56DUR|6BPWR|7RPLT|8RCR|9CDMG
145	42222 11614	10	   	251.78	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2DUST|3467VULN|56DUR|6BPWR|8RCR|9MLV|aCDMG
146	41222 11663	10	   	251.63	DCR|4VULN|2DUR|1CDMG|2SELL	1aSELL|2FEWX|3467VULN|56DUR|6BPWR|8RCR|9CDMG
147	33222 61653	10	   	251.60	DCR|4VULN|3DUR	1RPLT|2RCVC|38ERES|478DUR|589aVULN|6RCR|8BPWR
148	41222 11616	8	   	251.46	DCR|4VULN|3DUR|1SELL	1SELL|2aFEWX|3467VULN|56aDUR|6aBPWR|8RCR|9aDUST
149	42222 11636	9	   	251.46	DCR|4VULN|3DUR|1SELL	1SELL|2aDUST|3467VULN|56aDUR|6aBPWR|8RCR|9aFEWX
150	25122 61363	6	   	251.23	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	1CGEN|29VULN|3CDMG|4ASPD|59DUR|6LEGI|7MLV|89DMG|9BPWR|aRCR
151	36233 14131	1	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1RPLT|247VULN|3RCVC|5CDMG|6RCR|8DMG|9DUR|aTLV
152	45221 23216	5	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2DUR|346VULN|5CDMG|7DMSP|8TLV|9DMG|aRCR
153	45223 23216	4	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2DUR|346VULN|5CDMG|7DMSP|8TLV|9DMG|aRCR
154	45233 23216	3	   	250.87	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2DUR|346VULN|5CDMG|7DMSP|8TLV|9DMG|aRCR
155	26315 11236	3	   	250.84	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1CGEN|29TLV|3AART|4DMG|578VULN|6RCR|aDUR
156	25612 32422	9	   	250.82	DCR|3VULN|2DMG|2CDMG	1CGEN|24aVULN|3ERES|5LIT|6aCDMG|7RCR|8DUST|9aDMG|aBPWR
157	36413 41112	10	   	250.82	DCR|3VULN|2DMG|2CDMG	1RPLT|29DMG|39CDMG|45ERES|6RCR|7LIT|89aVULN|9BPWR
158	34121 61421	8	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	1RPLT|28ASPD|3ERES|489VULN|5RMIN|6RCR|78DUR|8BPWR|aCDMG
159	51124 33433	10	   	250.36	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD	1FEWX|2ASPD|3CDMG|4DUR|5LIT|6RCR|7TLV|89aVULN
160	25122 11322	9	   	250.15	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|267VULN|3CDMG|4ASPD|56DUR|6BPWR|8AART|9RCR|aBEXP
161	25122 11324	9	   	250.15	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|267VULN|3CDMG|4ASPD|56DUR|6BPWR|8AART|9RCR|aMLV
162	25122 11334	9	   	250.15	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|267VULN|3CDMG|4ASPD|56DUR|6BPWR|8AART|9RMIN|aRCR
163	25122 12322	10	   	250.15	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|26aVULN|3CDMG|4ASPD|56DUR|6BPWR|7RCVC|8AART|9RCR
164	25122 12326	9	   	250.15	DCR|3VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|26aVULN|3CDMG|4ASPD|56DUR|6BPWR|7RCVC|8AART|9RCR
