0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32143 13561	3	 * 	289.67	DCR|4VULN|2DMG|3ASPD|1CDMG	1579VULN|2LEGI|359ASPD|4BBNT|59BPWR|69DMG|8RCR|aCDMG
56	36345 12233	3	   	266.74	DCR|4VULN|2DUR|1DMG	168aVULN|2LIT|3DUST|46DUR|5RMIN|6BPWR|7RCR|9DMG
57	33132 25362	1	   	266.57	DCR|3VULN|3DMG|2CDMG	189VULN|2LIT|379DMG|4DUST|5CGEN|69CDMG|9BPWR|aRCR
58	33133 25362	1	   	266.57	DCR|3VULN|3DMG|2CDMG	189VULN|2LIT|379DMG|4DUST|5MLV|69CDMG|9BPWR|aRCR
59	36132 25362	2	   	266.57	DCR|3VULN|3DMG|2CDMG	189VULN|2LIT|379DMG|4DUST|5CGEN|69CDMG|9BPWR|aRCR
60	36133 25362	2	   	266.57	DCR|3VULN|3DMG|2CDMG	189VULN|2LIT|379DMG|4DUST|5MLV|69CDMG|9BPWR|aRCR
61	32163 43122	8	   	266.50	DCR|4VULN|2DMG|2ASPD	1579VULN|2LEGI|39ASPD|4RCVC|69DMG|8RMIN|9BPWR|aRCR
62	31125 52152	3	   	266.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17VULN|2AART|3TLV|47DMG|57DUR|6RCVC|7BPWR|8LWND|9CDMG|aRCR
63	31134 32552	8	   	266.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18VULN|2AART|3TLV|48DUR|5CGEN|6ZMB|78DMG|8BPWR|9CDMG|aRCR
64	31126 21161	3	   	266.14	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19VULN|2AART|3TLV|49DMG|5DUST|6MLV|7RCR|89DUR|9BPWR|aCDMG
65	21161 41313	7	 * 	266.12	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	1aCGEN|25aVULN|35TLV|4RCVC|5aBPWR|6CDMG|7aDMG|8AART|9RCR
66	31363 52152	6	   	266.02	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	147VULN|2AART|3BEXP|57DMG|67TLV|7BPWR|8LWND|9CDMG|aRCR
67	26113 23175	9	   	265.95	DCR|4VULN|2DMG|1ASPD|1AART	18CGEN|2ASPD|38DMG|4578VULN|6MBVNT|8BPWR|9RCR|aAART
68	11161 41313	7	   	265.92	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	1aERES|25aVULN|35TLV|4RCVC|5aBPWR|6CDMG|7aDMG|8AART|9RCR
69	33632 42333	1	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	135aVULN|2LIT|4RPLT|6DUR|7CDMG|8RCR|9DMG
70	36632 42333	2	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	135aVULN|2LIT|4RPLT|6DUR|7CDMG|8RCR|9DMG
71	64121 16333	7	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1RPLT|2LIT|367aVULN|4CDMG|5DUR|8RCR|9DMG
72	64121 62233	6	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1RPLT|2LIT|378aVULN|4CDMG|5DUR|6RCR|9DMG
73	31132 36521	8	 * 	265.42	DCR|3VULN|2DUR|2TLV|1DMG|1AART	168VULN|2AART|37TLV|48DUR|58ERES|8BPWR|9DMG|aRCR
74	31624 32133	9	 * 	264.91	DCR|4VULN|2DMG|2TLV|1AART|1SELL	147aVULN|2AART|3ERES|5aTLV|6aDMG|8RCR|9SELL|aBPWR
75	32415 22331	1	 * 	264.78	DCR|4VULN|2DUR|3CDMG	157aVULN|27aCDMG|378ZMB|4RMIN|6RCR|7aBPWR|9aDUR
76	34363 53123	9	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	158VULN|23CGEN|48DUR|6RMIN|78DMG|8BPWR|9RCR|aASPD
77	31124 13661	9	   	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1458VULN|2AART|3TLV|6LWND|7DMG|9ASPD|aRCR
78	31121 64223	4	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	146aVULN|2AART|3TLV|5aDUR|7RPLT|8aMLV|9RCR|aBPWR
79	31122 54223	4	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	145aVULN|2AART|3TLV|6aDUR|7RPLT|8aMLV|9RCR|aBPWR
80	31124 54223	5	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	145aVULN|2AART|3TLV|6aDUR|7RPLT|8aMLV|9RCR|aBPWR
81	32646 22221	1	 * 	264.48	DCR|4VULN|3ASPD|3CDMG	147aVULN|27aCDMG|3RMIN|579ASPD|6RCR|7aBPWR|8LEGI
82	31346 18352	1	   	264.43	DCR|4VULN|2DUR|2LIT|1ASPD	167aVULN|2MBVNT|3aLIT|4ASPD|56LWND|6aBPWR|8RCR|9aDUR
83	32227 31241	6	   	264.41	DCR|3VULN|3DMG|3CDMG	19aVULN|2LEGI|3BEXP|4MBVNT|59aCDMG|6RMIN|7RCR|89aDMG|9aBPWR
84	31346 28352	1	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	167aVULN|2MBVNT|3aLIT|4ASPD|5LWND|8RCR|9aDUR|aBPWR
85	32427 31241	6	   	264.31	DCR|3VULN|3DMG|3CDMG	19aVULN|2LEGI|3DUST|4MBVNT|59aCDMG|6RMIN|7RCR|89aDMG|9aBPWR
86	62332 23122	2	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1RPLT|2TLV|3689VULN|4BBNT|56DUR|6BPWR|7AART|aRCR
87	31364 33133	8	   	264.11	DCR|3VULN|3DMG|1DUR|1AART	145VULN|2AART|3BEXP|67aDMG|8RCR|9DUR
88	31114 36162	7	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	159VULN|2AART|3TLV|4LIT|67DUR|8CDMG|aRCR
89	31114 36362	8	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	159VULN|2AART|3TLV|4LIT|67DUR|8CDMG|aRCR
90	31126 36162	7	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	149VULN|2AART|3TLV|5LIT|67DUR|8CDMG|aRCR
91	31126 36362	8	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	149VULN|2AART|3TLV|5LIT|67DUR|8CDMG|aRCR
92	32312 31354	6	 * 	263.39	DCR|5VULN|3LIT|1DUR	14578VULN|2LEGI|358LIT|58BPWR|68LWND|9RCR|aDUR
93	32312 36354	7	   	263.39	DCR|5VULN|3LIT|1DUR	14578VULN|2LEGI|358LIT|58BPWR|68LWND|9RCR|aDUR
94	32312 41353	6	   	263.39	DCR|5VULN|3LIT|1DUR	14578VULN|2LEGI|358LIT|58BPWR|68LHND|9RCR|aDUR
95	32312 46353	7	   	263.39	DCR|5VULN|3LIT|1DUR	14578VULN|2LEGI|358LIT|58BPWR|68LHND|9RCR|aDUR
96	32312 51354	5	   	263.39	DCR|5VULN|3LIT|1DUR	14578VULN|2LEGI|358LIT|58BPWR|68LWND|9RCR|aDUR
97	31115 14122	2	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349LWND|49BPWR|58DUR|6LHND|79DMG|aRCR
98	31315 14122	3	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349BEXP|49BPWR|58DUR|6LHND|79DMG|aRCR
99	31315 34122	3	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349BEXP|49BPWR|58DUR|6LWND|79DMG|aRCR
100	31515 14122	3	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349FEWX|49BPWR|58DUR|6LHND|79DMG|aRCR
101	31515 34122	3	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349FEWX|49BPWR|58DUR|6LWND|79DMG|aRCR
102	31615 14122	2	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349FEWX|49BPWR|58DUR|6LHND|79DMG|aRCR
103	31615 34122	2	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	149VULN|2AART|349FEWX|49BPWR|58DUR|6LWND|79DMG|aRCR
104	32312 12553	5	   	263.29	DCR|5VULN|3LIT|1DUR	14567VULN|2LEGI|357LIT|57BPWR|8LHND|9RCR|aDUR
105	31253 81472	1	   	263.19	DCR|5VULN|1DMG|1TLV	13489VULN|2MBVNT|5TLV|6ERES|7DMG|aRCR
106	33345 12223	1	   	263.03	DCR|4VULN|2DUR|1TLV	168aVULN|2LIT|3BEXP|46DUR|5RMIN|6BPWR|7RCR|9TLV
107	36245 12223	3	   	263.03	DCR|4VULN|2DUR|1TLV	168aVULN|2LIT|3BEXP|46DUR|5RMIN|6BPWR|7RCR|9TLV
108	36345 12223	2	   	263.03	DCR|4VULN|2DUR|1TLV	168aVULN|2LIT|3BEXP|46DUR|5RMIN|6BPWR|7RCR|9TLV
109	36345 12223	3	   	262.93	DCR|4VULN|2DUR|1TLV	168aVULN|2LIT|3DUST|46DUR|5RMIN|6BPWR|7RCR|9TLV
110	32312 15313	9	 * 	262.52	DCR|4VULN|2TLV|2CDMG|2LIT	1459VULN|2LEGI|35LIT|59BPWR|6RMIN|79CDMG|89TLV|aRCR
111	21316 41313	7	   	262.31	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	13aCGEN|24aVULN|5CDMG|6TLV|7aDMG|8AART|9RCR|aBPWR
112	34316 41313	7	   	262.31	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	14aVULN|23aCGEN|5CDMG|6TLV|7aDMG|8AART|9RCR|aBPWR
113	31364 33136	8	   	262.11	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	145VULN|2AART|3BEXP|67DMG|8RCR|9DUR|aCDMG
114	33631 42342	1	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	135aVULN|25LIT|4RPLT|5BPWR|6DUR|7CDMG|8RCR|9AART
115	32312 14324	5	   	262.00	DCR|5VULN|1DMG|2LIT	14569VULN|2LEGI|35LIT|5BPWR|7BELT|8RCR|aDMG
116	33632 42323	1	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	135aVULN|2LIT|4RPLT|6DUR|7CDMG|8RCR|9TLV
117	36116 11342	7	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	149aVULN|2LIT|3LHND|5CDMG|6DUR|7TLV|8RCR
118	36216 11342	7	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	149aVULN|2LIT|3BEXP|5CDMG|6DUR|7TLV|8RCR
119	36632 42323	2	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	135aVULN|2LIT|4RPLT|6DUR|7CDMG|8RCR|9TLV
120	64121 16323	7	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1RPLT|2LIT|367aVULN|4CDMG|5DUR|8RCR|9TLV
121	64121 62223	6	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1RPLT|2LIT|378aVULN|4CDMG|5DUR|6RCR|9TLV
122	31131 14133	7	   	261.91	DCR|3VULN|2DUR|1DMG|1TLV|1AART	179VULN|2AART|3TLV|47DUR|5RCVC|67FEWX|7BPWR|8RCR|aDMG
123	31131 14133	8	   	261.91	DCR|3VULN|2DUR|1DMG|1TLV|1AART	179VULN|2AART|3TLV|47DUR|5RCVC|67FEWX|7BPWR|8RCR|aDMG
124	31131 24133	7	   	261.91	DCR|3VULN|2DUR|1DMG|1TLV|1AART	179VULN|2AART|3TLV|47DUR|5RCVC|67BEXP|7BPWR|8RCR|aDMG
125	31131 24133	8	   	261.91	DCR|3VULN|2DUR|1DMG|1TLV|1AART	179VULN|2AART|3TLV|47DUR|5RCVC|67BEXP|7BPWR|8RCR|aDMG
126	32316 11342	7	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	149aVULN|2LEGI|3LIT|5CDMG|6DUR|7TLV|8RCR
127	36316 11342	7	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	149aVULN|2LIT|3DUST|5CDMG|6DUR|7TLV|8RCR
128	43314 12632	9	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1DUST|2DUR|3LIT|469aVULN|5TLV|7RCR|8CDMG
129	31132 32453	9	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	16aVULN|2AART|3TLV|4aDUR|5ERES|7BEXP|8aCDMG|9RCR|aBPWR
130	31132 33453	9	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	16aVULN|2AART|3TLV|4aDUR|5ERES|7FEWX|8aCDMG|9RCR|aBPWR
131	31173 48323	1	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	16aVULN|2MBVNT|3aDUR|4TLV|5CGEN|7aCDMG|8AART|9RCR|aBPWR
132	31173 53323	1	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	17aVULN|2MBVNT|3aDUR|4TLV|5CGEN|6aCDMG|8AART|9RCR|aBPWR
133	31178 53323	1	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	17aVULN|2MBVNT|3aDUR|4TLV|5MLV|6aCDMG|8AART|9RCR|aBPWR
134	32543 61323	1	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	14aVULN|2aCDMG|3MLV|5MBVNT|6TLV|7aDUR|8AART|9RCR|aBPWR
135	31175 53323	1	   	261.61	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	17aVULN|2MBVNT|3aDUR|4TLV|5ERES|6aCDMG|8AART|9RCR|aBPWR
136	31124 23835	10	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	145VULN|2AART|3TLV|6MBVNT|7DMG|8aDUR|9RCR
137	31124 23836	9	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	145VULN|2AART|3TLV|6MBVNT|7DMG|8aDUR|9RCR
138	33352 12156	9	   	261.50	DCR|4VULN|2DMG|1TLV|1SELL	146aVULN|2SELL|34aCGEN|4aBPWR|5LHND|7TLV|8aDMG|9RCR
139	31241 41236	3	   	261.30	DCR|5VULN|1TLV|1AART	14567VULN|2AART|3DMSP|4BPWR|8RCR|9LIT|aTLV
140	31522 51522	2	   	261.29	DCR|5VULN|1CDMG|1ASPD|1AART	14569VULN|2AART|3BBNT|7CDMG|8RCR|aASPD
141	31341 41222	2	   	260.76	DCR|5VULN|2AART|1TLV	14567VULN|23AART|4BPWR|8RCR|9TLV|aRMIN
142	31341 41223	2	   	260.76	DCR|5VULN|2AART|1TLV	14567VULN|23AART|4BPWR|8RCR|9TLV|aCGEN
143	31341 41225	2	   	260.76	DCR|5VULN|2AART|1TLV	14567VULN|23AART|4BPWR|8RCR|9TLV|aMLV
144	31341 41252	2	   	260.76	DCR|5VULN|2AART|1DUR	14567VULN|23AART|4BPWR|8RCR|9DUR|aCGEN
145	31125 63161	7	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1489VULN|2AART|3TLV|5BELT|6ASPD|7DUR|aRCR
146	31124 23831	9	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	145VULN|2AART|3TLV|6MBVNT|7DMG|8DUR|9RCR|aCDMG
147	31341 41221	2	   	260.66	DCR|5VULN|2AART|1TLV	14567VULN|23AART|4BPWR|8RCR|9TLV|aERES
148	31341 41253	2	   	260.66	DCR|5VULN|2AART|1DUR|1NUKE	14567VULN|23AART|4BPWR|8RCR|9DUR|aNUKE
149	31621 32152	4	   	260.36	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	147VULN|2AART|3ERES|57DUR|67ASPD|7BPWR|8LWND|9CDMG|aRCR
150	31621 32552	4	   	260.36	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	147VULN|2AART|3ERES|57DUR|67ASPD|7BPWR|8LHND|9CDMG|aRCR
151	31625 32152	5	   	260.36	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	147VULN|2AART|3ERES|57DUR|67ASPD|7BPWR|8LWND|9CDMG|aRCR
152	31631 32152	3	   	260.36	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	147VULN|2AART|3ERES|57DUR|67ASPD|7BPWR|8LWND|9CDMG|aRCR
153	31631 32552	3	   	260.36	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	147VULN|2AART|3ERES|57DUR|67ASPD|7BPWR|8LHND|9CDMG|aRCR
154	31125 52321	3	   	260.26	DCR|2VULN|2DMG|2DUR|2AART|1TLV|1NUKE	17VULN|28AART|3TLV|47DMG|57DUR|6RCVC|7BPWR|9NUKE|aRCR
155	31125 52361	3	   	260.26	DCR|2VULN|2DMG|2DUR|2AART|1TLV	17VULN|28AART|3TLV|47DMG|57DUR|6RCVC|7BPWR|9ERES|aRCR
156	32544 12333	8	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	16aVULN|2LEGI|38DUR|4TLV|5LIT|7RCR|9DMG
157	43314 12333	8	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|28DUR|3LIT|46aVULN|5TLV|7RCR|9DMG
158	33345 12262	1	   	260.21	DCR|4VULN|3DUR	168aVULN|2LIT|3aBEXP|46aDUR|59RMIN|6aBPWR|7RCR
159	32211 45362	1	   	260.06	DCR|3VULN|3DMG|1CDMG	189VULN|2CDMG|39DUST|4ERES|5LIT|679DMG|9BPWR|aRCR
160	31363 52321	6	   	260.04	DCR|3VULN|2DMG|2TLV|2AART|1NUKE	147VULN|28AART|3BEXP|57DMG|67TLV|7BPWR|9NUKE|aRCR
161	31563 52321	6	   	260.04	DCR|3VULN|2DMG|2TLV|2AART|1NUKE	147VULN|28AART|3FEWX|57DMG|67TLV|7BPWR|9NUKE|aRCR
162	42314 53384	10	   	259.95	DCR|4VULN|2DMG|2LIT	1aDUST|2MBVNT|35LIT|469aVULN|7RCR|8aDMG|aBPWR
163	42318 53324	10	   	259.95	DCR|4VULN|2DMG|2LIT	19aDUST|2MBVNT|35LIT|456aVULN|5aBPWR|7RCR|8aDMG
164	33121 51142	8	   	259.76	DCR|4VULN|2DMG|2LIT|2SELL	189aVULN|23SELL|4FEWX|58DMG|68LIT|7RCR|8BPWR
165	33141 51132	9	   	259.76	DCR|4VULN|2DMG|2LIT|2SELL	189aVULN|23SELL|4LWND|58DMG|68LIT|7RCR|8BPWR
166	33141 51142	8	   	259.76	DCR|4VULN|2DMG|2LIT|2SELL	189aVULN|23SELL|4LWND|58DMG|68LIT|7RCR|8BPWR
167	33151 51142	8	   	259.76	DCR|4VULN|2DMG|2LIT|2SELL	189aVULN|23SELL|4LHND|58DMG|68LIT|7RCR|8BPWR
