0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15123 23342	8	 * 	270.84	DCR|5VULN|1TLV|1DUR|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aDUR
22	12342 47248	3	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18FEWX|2MBVNT|358VULN|4DMG|6aDUR|78TLV|8BPWR|9RCR
23	12342 47245	3	   	258.28	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9RCR|aCDMG
24	12313 38832	9	 * 	258.15	DCR|4VULN|3DMG|1AART	14aFEWX|2MBVNT|346aVULN|4aBPWR|58aDMG|7RCR|9AART
25	35252 23334	9	 * 	257.38	DCR|3VULN|2DMG|2DUR|2LIT	1RMIN|2aLIT|34DUR|5LEGI|6RCR|79aVULN|8aDMG|aBPWR
26	21232 41552	2	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1BELT|27DMG|37DUR|4DUST|5CDMG|67aVULN|7BPWR|8LWND|9RCR
27	21232 41652	2	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1BELT|27DMG|37DUR|4DUST|5CDMG|67aVULN|7BPWR|8BEXP|9RCR
28	15123 23324	9	   	256.14	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aASPD
29	15123 23334	8	   	256.14	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aASPD
30	15123 23334	7	   	255.92	DCR|5VULN|2TLV	1FEWX|28TLV|3579aVULN|4LIT|6RCR
31	12312 71235	5	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	148FEWX|2MBVNT|34aVULN|48BPWR|58TLV|68DMG|7RCR|9AART
32	56125 23232	1	   	255.64	DCR|4VULN|2DUR|1DMG|1AART	16RCVC|2479VULN|3AART|49BPWR|59DUR|8RCR|aDMG
33	56161 23232	1	   	255.64	DCR|4VULN|2DUR|1DMG|1AART	16RCVC|2579VULN|3AART|49DUR|8RCR|9BPWR|aDMG
34	52164 34831	9	 * 	254.96	ACR|3VULN|3DMG|1TLV|3LIT|1CDMG	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aCDMG
35	15123 23334	10	   	254.59	DCR|5VULN|1TLV|2LIT	1aFEWX|2TLV|3578aVULN|4aLIT|6RCR|9RMIN|aBPWR
36	15123 23341	8	   	254.59	DCR|5VULN|1TLV|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aBEXP
37	15123 23343	8	   	254.59	DCR|5VULN|1TLV|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aMLV
38	15123 23346	8	   	254.59	DCR|5VULN|1TLV|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aLWND
39	15122 23344	8	   	254.59	DCR|5VULN|1TLV|2LIT	19FEWX|2TLV|3789aVULN|49LIT|5RCVC|6RCR|9BPWR
40	66123 23343	8	   	254.49	DCR|5VULN|1TLV|2LIT	19MLV|2DUST|35789VULN|49LIT|6RCR|9BPWR|aTLV
41	21324 31662	3	 * 	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	1BELT|29DMG|3LEGI|4AART|589DUR|69VULN|7RCR|9BPWR|aCDMG
42	61242 71234	1	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9BEXP|aTLV
43	61242 71281	1	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9TLV|aLHND
44	61242 71283	1	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9TLV|aCGEN
45	16351 23122	2	   	254.05	DCR|3VULN|2TLV|1DMG|1DUR|1AART|1SELL	1FEWX|2SELL|35TLV|456VULN|5BPWR|7DMG|8AART|9DUR|aRCR
46	61242 71214	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9LEGI|aTLV
47	61242 71264	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9DUST|aTLV
48	15123 23331	7	   	253.83	DCR|4VULN|2TLV|1DUR	1FEWX|28TLV|3579VULN|4LIT|6RCR|aDUR
49	12312 86346	10	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	146FEWX|2MBVNT|34aVULN|4aBPWR|5TLV|7aLIT|8RCR|9aDMG
50	15122 23341	8	   	252.50	DCR|4VULN|1TLV|1DUR|2LIT	19FEWX|2TLV|3789VULN|49LIT|5RCVC|6RCR|9BPWR|aDUR
51	61531 32312	1	 * 	252.48	DCR|3VULN|3DUR|2TLV	18MLV|248DUR|3LWND|57TLV|689VULN|8BPWR|aRCR
52	11336 25152	6	   	252.22	DCR|4VULN|2DUR|1TLV	17FEWX|2BELT|347aVULN|5RPLT|67DUR|7BPWR|8TLV|9RCR
53	13152 33531	5	   	252.20	DCR|3VULN|3DMG|1DUR	189FEWX|2ASPD|389VULN|4RPLT|5ZMB|6DUR|789DMG|89BPWR|aRCR
54	13156 33531	4	   	252.20	DCR|3VULN|3DMG|1DUR	189FEWX|2ASPD|389VULN|4RPLT|5ZMB|6DUR|789DMG|89BPWR|aRCR
55	21116 31156	2	 * 	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1BELT|29DMG|3CGEN|49VULN|5DUST|68DUR|79TLV|9BPWR|aRCR
56	22336 25152	6	   	252.02	DCR|4VULN|2DUR|1TLV	1BELT|27DUST|347aVULN|5RPLT|67DUR|7BPWR|8TLV|9RCR
57	15123 23623	7	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1FEWX|2TLV|357VULN|4LIT|6RCR|8AART|9CDMG|aDMG
58	24223 12531	9	   	251.45	DCR|4VULN|1TLV|1CDMG	1BELT|2CDMG|3789VULN|4LIT|5TLV|6ASPD|aRCR
59	32532 52231	5	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|2ERES|3aDMG|458VULN|6RCR|7CDMG|9TLV
60	52871 23241	3	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	1RCVC|2MBVNT|3TLV|4CDMG|569VULN|7aDMG|8RCR
61	15123 23522	7	   	251.31	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	1FEWX|2TLV|357VULN|49LIT|6RCR|8DMG|aDUR
62	24231 43352	4	 * 	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	1BELT|29CDMG|389VULN|4CGEN|5TLV|6RPLT|79DUR|9BPWR|aRCR
63	12312 43248	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14FEWX|2MBVNT|347VULN|4BPWR|5TLV|6aDUR|8DMG|9RCR
64	12312 33248	7	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14FEWX|2MBVNT|346VULN|4BPWR|5TLV|7aDUR|8DMG|9RCR
65	12312 33248	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14FEWX|2MBVNT|346VULN|4BPWR|5TLV|7aDUR|8DMG|9RCR
66	12312 33848	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14FEWX|2MBVNT|346VULN|4BPWR|5TLV|7aDUR|8DMG|9RCR
67	12313 33548	7	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14FEWX|2MBVNT|346VULN|4BPWR|5DMG|7aDUR|8TLV|9RCR
68	12313 37548	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	14FEWX|2MBVNT|346VULN|4BPWR|5DMG|7aDUR|8TLV|9RCR
69	21512 64231	2	 * 	250.98	DCR|5VULN|2DMG	1BELT|27DMG|3ZMB|4789aVULN|57ERES|6RCR|7BPWR
70	52164 34834	9	   	250.97	ACR|3VULN|3DMG|1TLV|3LIT|1AART	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aAART
71	12323 23248	6	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|367VULN|4aDUR|5TLV|8DMG|9RCR
72	12331 33248	6	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|356VULN|4TLV|7aDUR|8DMG|9RCR
73	12331 33248	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|356VULN|4TLV|7aDUR|8DMG|9RCR
74	12331 33848	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|356VULN|4TLV|7aDUR|8DMG|9RCR
75	12331 43248	5	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|357VULN|4TLV|6aDUR|8DMG|9RCR
76	12332 43248	3	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|357VULN|4TLV|6aDUR|8DMG|9RCR
77	12332 43248	4	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2MBVNT|357VULN|4TLV|6aDUR|8DMG|9RCR
78	15132 13248	3	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|2TLV|357VULN|4aDUR|6MBVNT|8DMG|9RCR
79	63133 36135	4	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1MLV|2AART|3DMG|4TLV|5RCVC|6RCR|789aVULN
80	21532 16432	5	   	250.83	DCR|3VULN|2DMG|2DUR	1BELT|2aDMG|3aDUR|4CGEN|5LIT|6RCR|78aVULN|9BBNT|aBPWR
81	12312 43245	5	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	14FEWX|2MBVNT|347VULN|4BPWR|5TLV|6DUR|8DMG|9RCR|aCDMG
82	15132 65131	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2TLV|35aVULN|4DUR|6DMG|7LWND|8RCR|9CDMG
83	31132 62326	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RMIN|2FEWX|358VULN|4DUR|6DMG|7TLV|9CDMG|aRCR
84	12312 33245	6	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|5TLV|7DUR|8DMG|9RCR|aCDMG
85	12312 33245	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|5TLV|7DUR|8DMG|9RCR|aCDMG
86	12312 33845	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|5TLV|7DUR|8DMG|9RCR|aCDMG
87	12313 33545	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|5DMG|7DUR|8TLV|9RCR|aCDMG
88	12313 37545	6	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|5DMG|7DUR|8TLV|9RCR|aCDMG
89	12323 23245	6	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|367VULN|4DUR|5TLV|8DMG|9RCR|aCDMG
90	12331 33245	6	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|356VULN|4TLV|7DUR|8DMG|9RCR|aCDMG
91	12331 33245	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|356VULN|4TLV|7DUR|8DMG|9RCR|aCDMG
92	12331 33845	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|356VULN|4TLV|7DUR|8DMG|9RCR|aCDMG
93	12331 43245	5	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|357VULN|4TLV|6DUR|8DMG|9RCR|aCDMG
94	12332 43245	4	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|357VULN|4TLV|6DUR|8DMG|9RCR|aCDMG
95	12332 43245	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|357VULN|4TLV|6DUR|8DMG|9RCR|aCDMG
96	15132 13245	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2TLV|357VULN|4DUR|6MBVNT|8DMG|9RCR|aCDMG
97	24311 13126	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BELT|2CDMG|3DMG|478VULN|5TLV|6DUR|9LEGI|aRCR
98	15123 23313	8	   	249.56	DCR|4VULN|1TLV|1DMG	1FEWX|2TLV|3578VULN|4LIT|6RCR|9BELT|aDMG
99	12313 38314	7	   	249.56	DCR|4VULN|1TLV|1DMG	14FEWX|2MBVNT|3468VULN|4BPWR|5DMG|7RCR|9ASPD|aTLV
100	12453 23821	9	   	249.50	DCR|3VULN|3DMG|1CDMG	189FEWX|2MBVNT|3CDMG|489VULN|5CGEN|6LIT|789DMG|89BPWR|aRCR
101	33551 23334	10	   	249.35	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|29aCGEN|39aDMG|4SELL|5LIT|6CDMG|79aVULN|8RCR|9aBPWR
102	32551 23334	10	   	249.05	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|29aERES|39aDMG|4SELL|5LIT|6CDMG|79aVULN|8RCR|9aBPWR
103	16331 33256	3	   	248.84	DCR|4VULN|2DMG|1DUR|1SELL	19FEWX|2SELL|3689VULN|4DUR|5BEXP|79DMG|9BPWR|aRCR
104	16331 33256	4	   	248.84	DCR|4VULN|2DMG|1DUR|1SELL	19FEWX|2SELL|3689VULN|4DUR|5BEXP|79DMG|9BPWR|aRCR
105	13351 23462	4	   	248.84	DCR|4VULN|2DMG|2ASPD|1SELL	138FEWX|23ASPD|38BPWR|4SELL|568aVULN|78DMG|9RCR
106	16331 33256	5	   	248.74	DCR|4VULN|2DMG|1DUR|1SELL	19FEWX|2SELL|3689VULN|4DUR|5DUST|79DMG|9BPWR|aRCR
107	15123 23526	7	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1FEWX|2TLV|357VULN|49LIT|6RCR|8DMG|aCDMG
108	24223 22541	9	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1BELT|2CDMG|378VULN|49LIT|5TLV|6DMG|aRCR
109	24223 24531	9	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1BELT|2CDMG|389VULN|47LIT|5TLV|6DMG|aRCR
110	21215 46211	3	   	248.64	DCR|4VULN|2DMG|1DUR|1SELL	1BELT|28DMG|3SELL|469aVULN|5DUR|7RCR
111	24242 25211	6	 * 	248.47	DCR|3VULN|1TLV|1DMG|2CDMG	1BELT|24CDMG|39aVULN|5ASPD|6RCR|7TLV|8DMG
112	24223 64313	8	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BELT|2CDMG|38VULN|4LIT|5TLV|67DUR|9RCR|aDMG
113	12313 38367	7	   	248.29	DCR|4VULN|3DMG	14FEWX|2MBVNT|3468VULN|4BPWR|59aDMG|7RCR
114	16352 23622	5	   	248.25	DCR|4VULN|3DMG|1SELL	189FEWX|2SELL|3568VULN|478DMG|8BPWR|aRCR
115	12324 27245	6	   	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	18FEWX|2MBVNT|38VULN|45DUR|6DMG|78TLV|8BPWR|9RCR|aCDMG
116	33321 44325	7	 * 	247.91	DCR|5VULN|3TLV	1RMIN|2378CGEN|378BPWR|478TLV|56789VULN|aRCR
117	66123 22123	9	   	247.88	DCR|4VULN|2DUR|1CDMG	1aMLV|2DUST|359aVULN|4LIT|6RCR|7CDMG|8aDUR|aBPWR
118	66123 22143	8	   	247.88	DCR|4VULN|2DUR|1CDMG	1aMLV|2DUST|359aVULN|4LIT|6RCR|7CDMG|8aDUR|aBPWR
119	15123 23234	7	   	247.84	DCR|5VULN|1TLV	18FEWX|2TLV|3579aVULN|4LIT|6RCR
120	15123 23321	9	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aBEXP
121	15123 23321	10	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aLHND
122	15123 23323	9	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aMLV
123	15123 23323	10	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aLWND
124	15123 23324	10	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aMLV
125	15123 23326	9	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aLWND
126	15123 23326	10	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aZMB
127	15123 23331	8	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aBEXP
128	15123 23333	8	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aMLV
129	15123 23336	8	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|35789VULN|4LIT|6RCR|aLWND
130	15123 26324	9	   	247.84	DCR|5VULN|1TLV	17FEWX|2TLV|3589aVULN|4LIT|6RCR
131	15123 26334	8	   	247.84	DCR|5VULN|1TLV	17FEWX|2TLV|3589aVULN|4LIT|6RCR
132	31123 23323	9	   	247.84	DCR|5VULN|1TLV	1RMIN|2FEWX|35789VULN|4LIT|6RCR|aTLV
133	31123 23324	10	   	247.84	DCR|5VULN|1TLV	1RMIN|2FEWX|35789VULN|4LIT|6RCR|aTLV
134	15122 23324	9	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|3789aVULN|4LIT|5RCVC|6RCR
135	15122 23334	8	   	247.84	DCR|5VULN|1TLV	1FEWX|2TLV|3789aVULN|4LIT|5RCVC|6RCR
136	24315 36211	2	 * 	247.80	DCR|3VULN|2DMG|2CDMG|1DUR	1BELT|26CDMG|38DMG|49aVULN|5DUR|7RCR
137	12324 27248	6	 * 	247.75	DCR|2VULN|3DUR|2TLV|1DMG	18FEWX|2MBVNT|38VULN|45aDUR|6DMG|78TLV|8BPWR|9RCR
138	15123 23341	10	   	247.74	DCR|5VULN|1TLV	1FEWX|2TLV|3578aVULN|4LIT|6RCR|9DUST
139	66123 23323	9	   	247.74	DCR|5VULN|1TLV	1MLV|2DUST|35789VULN|4LIT|6RCR|aTLV
140	66123 23324	10	   	247.74	DCR|5VULN|1TLV	1MLV|2DUST|35789VULN|4LIT|6RCR|aTLV
141	32154 24223	3	   	247.74	DCR|5VULN|1TLV	1RMIN|25ERES|3458aVULN|5BPWR|6TLV|7RCR|9LIT
142	32156 24223	3	   	247.74	DCR|5VULN|1TLV	1RMIN|2ERES|3458aVULN|6TLV|7RCR|9LIT
143	12312 83442	6	   	247.71	DCR|5VULN|2TLV	146FEWX|2MBVNT|3489aVULN|48BPWR|58TLV|7RCR
144	32154 23342	3	   	247.61	DCR|5VULN|2TLV	1RMIN|258ERES|34578VULN|58BPWR|68TLV|9RCR|aFEWX
145	32154 23343	3	   	247.61	DCR|5VULN|2TLV	1RMIN|258ERES|34578VULN|58BPWR|68TLV|9RCR|aBEXP
146	32154 23341	3	   	247.51	DCR|5VULN|2TLV	1RMIN|258ERES|34578VULN|58BPWR|68TLV|9RCR|aDUST
147	32532 53343	5	   	247.49	DCR|4VULN|2DMG|2LIT	1RMIN|29ERES|38DMG|459aVULN|6RCR|79LIT|9BPWR
148	12322 57248	4	   	247.46	DCR|3VULN|2TLV|2DUR	18FEWX|2MBVNT|358VULN|4aDUR|6ASPD|78TLV|8BPWR|9RCR
149	63133 36235	4	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	1MLV|2AART|38DMG|4TLV|5RCVC|6RCR|79aVULN
150	12312 71234	5	   	247.29	DCR|2VULN|2DMG|2TLV|1DUR|1AART	148FEWX|2MBVNT|34VULN|48BPWR|58TLV|68DMG|7RCR|9AART|aDUR
151	12323 21248	7	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	18FEWX|2MBVNT|368VULN|4aDUR|5TLV|78ASPD|8BPWR|9RCR
152	12324 23111	8	 * 	246.71	DCR|2VULN|3DMG|3DUR	18FEWX|2MBVNT|38VULN|457DUR|68aDMG|8BPWR|9RCR
153	15123 22124	10	   	246.65	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2TLV|359VULN|4LIT|6RCR|7CDMG|8DUR|aASPD
154	12322 57245	4	   	246.53	DCR|3VULN|2TLV|1DUR|1CDMG	18FEWX|2MBVNT|358VULN|4DUR|6ASPD|78TLV|8BPWR|9RCR|aCDMG
155	15123 22121	9	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1FEWX|2aTLV|359VULN|4LIT|6RCR|7CDMG|8DUR
156	15123 22141	8	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1FEWX|2aTLV|359VULN|4LIT|6RCR|7CDMG|8DUR
157	12323 21245	7	   	246.29	DCR|3VULN|1TLV|2ASPD|1DUR|1CDMG	18FEWX|2MBVNT|368VULN|4DUR|5TLV|78ASPD|8BPWR|9RCR|aCDMG
158	12313 38322	7	   	246.29	DCR|4VULN|2DMG|1CDMG	14FEWX|2MBVNT|3468VULN|4BPWR|5aDMG|7RCR|9CDMG
159	24313 46211	2	   	246.29	DCR|4VULN|2DMG|1CDMG	1BELT|2CDMG|38DMG|469aVULN|5FEWX|7RCR
160	63114 36131	5	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1MLV|2AART|3DMG|4DMSP|5TLV|6RCR|789VULN|aDUR
161	63114 36131	4	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1MLV|2AART|3DMG|4DMSP|5TLV|6RCR|789VULN|aDUR
162	63133 36131	4	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1MLV|2AART|3DMG|4TLV|5RCVC|6RCR|789VULN|aDUR
163	63134 36131	4	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1MLV|2AART|3DMG|4TLV|5DMSP|6RCR|789VULN|aDUR
164	63135 36131	5	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	15MLV|2AART|3DMG|4TLV|6RCR|789VULN|aDUR
165	56321 53333	4	   	246.10	DCR|3VULN|2DMG|1TLV	1RCVC|28DMG|3CGEN|4TLV|59aVULN|6RCR|7LIT
166	56321 53333	5	   	246.10	DCR|3VULN|2DMG|1TLV	1RCVC|28DMG|3CGEN|4TLV|59aVULN|6RCR|7LIT
167	12313 38214	7	   	246.10	DCR|3VULN|2DMG|1TLV	14FEWX|2MBVNT|346VULN|4BPWR|58DMG|7RCR|9ASPD|aTLV
168	12313 38814	8	   	246.10	DCR|3VULN|2DMG|1TLV	14FEWX|2MBVNT|346VULN|4BPWR|58DMG|7RCR|9ASPD|aTLV
169	12313 38163	10	   	246.08	DCR|4VULN|2DUR|1DMG	14aFEWX|2MBVNT|346aVULN|4aBPWR|5DMG|7RCR|8ZMB|9aDUR
170	24211 21111	3	 * 	245.98	DCR|4VULN|2DUR|2CDMG	1BELT|27CDMG|379aVULN|47DUR|58RMIN|6RCR|7BPWR
171	24211 21211	3	   	245.98	DCR|4VULN|2DUR|2CDMG	1BELT|27CDMG|379aVULN|47DUR|5RMIN|6RCR|7BPWR|8RCVC
172	24261 21111	4	   	245.98	DCR|4VULN|2DUR|2CDMG	1BELT|27CDMG|379aVULN|47DUR|58RMIN|6RCR|7BPWR
173	24261 21211	4	   	245.98	DCR|4VULN|2DUR|2CDMG	1BELT|27CDMG|379aVULN|47DUR|5RMIN|6RCR|7BPWR|8RCVC
174	15123 23242	7	   	245.91	DCR|4VULN|1TLV|2LIT|1AART	189FEWX|2TLV|3579VULN|49LIT|6RCR|9BPWR|aAART
175	15123 26342	8	   	245.91	DCR|4VULN|1TLV|2LIT|1AART	179FEWX|2TLV|3589VULN|49LIT|6RCR|9BPWR|aAART
