0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43114 14332	10	 * 	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78aVULN|9RCR
36	22123 61411	1	   	259.90	DCR|4VULN|1DMG|1DUR|1TLV	1ERES|2478VULN|3TLV|5DUST|6RCR|9DUR|aDMG
37	26123 61411	2	   	259.90	DCR|4VULN|1DMG|1DUR|1TLV	1ERES|2478VULN|3TLV|5DUST|6RCR|9DUR|aDMG
38	22123 61432	1	 * 	259.38	DCR|5VULN|1DUR|1TLV	1ERES|24789VULN|3TLV|5DUST|6RCR|aDUR
39	26123 61432	2	   	259.38	DCR|5VULN|1DUR|1TLV	1ERES|24789VULN|3TLV|5DUST|6RCR|aDUR
40	41241 32212	10	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1RMIN|278LIT|39LWND|478VULN|578DUR|6RCR|78BPWR|aAART
41	41241 32222	10	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	19RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|aAART
42	41241 32242	8	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9BEXP|aAART
43	53412 52222	9	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	178DUR|2LWND|378LIT|4LHND|5ZMB|678VULN|78BPWR|9RCR|aAART
44	61315 11522	10	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RPLT|2CDMG|35aDUR|458VULN|5BPWR|6TLV|7ERES|9RCR
45	32415 32311	1	 * 	258.01	DCR|5VULN|2DUR	19FEWX|29DUR|3TBNT|4589aVULN|6BELT|7RCR|9BPWR
46	35514 32311	1	   	258.01	DCR|5VULN|2DUR	19FEWX|2BBNT|3489aVULN|59DUR|6BELT|7RCR|9BPWR
47	61315 11351	5	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6CGEN|8LIT|9DMG|aRCR
48	61315 21351	6	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6CGEN|8LIT|9DMG|aRCR
49	61315 31351	6	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6ERES|8LIT|9DMG|aRCR
50	43116 14332	10	 * 	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1RMIN|25CDMG|3DUR|4DMG|6TLV|78aVULN|9RCR
51	54115 11323	5	   	257.33	DCR|3VULN|3DUR|1DMG	15aDUR|2DUST|3DMG|457VULN|5BPWR|6CGEN|8LIT|9RCR
52	54115 21323	6	   	257.33	DCR|3VULN|3DUR|1DMG	15aDUR|2DUST|3DMG|457VULN|5BPWR|6CGEN|8LIT|9RCR
53	54115 31323	6	   	257.23	DCR|3VULN|3DUR|1DMG	15aDUR|2DUST|3DMG|457VULN|5BPWR|6ERES|8LIT|9RCR
54	53333 61342	1	   	256.67	DCR|3VULN|2DMG|1DUR|1AART	1DUR|2AART|36DMG|456VULN|6BPWR|79ERES|8LIT|aRCR
55	43114 14331	10	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78VULN|9RCR|aZMB
56	43114 14332	9	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78VULN|9RCR|aFEWX
57	43114 14333	9	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78VULN|9RCR|aZMB
58	43114 14331	9	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78VULN|9RCR|aMBVNT
59	53333 14331	1	   	256.20	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	19DUR|2AART|39DMG|45VULN|6DUST|79CDMG|8RCR|9BPWR|aLWND
60	53333 14332	1	   	256.20	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	19DUR|2AART|39DMG|45VULN|6DUST|79CDMG|8RCR|9BPWR|aRPLT
61	53333 14334	1	   	256.20	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	19DUR|2AART|39DMG|45VULN|6DUST|79CDMG|8RCR|9BPWR|aMLV
62	53333 14336	1	   	256.20	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	19DUR|2AART|39DMG|45VULN|6DUST|79CDMG|8RCR|9BPWR|aCGEN
63	53333 31164	1	   	256.13	DCR|3VULN|2DMG|2AART|1DUR	1DUR|26AART|38DMG|45aVULN|7ERES|9RCR
64	53142 24332	10	 * 	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	15DUR|2LWND|3DMG|46CDMG|78aVULN|9RCR
65	32511 65333	1	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1FEWX|2DUR|3AART|457VULN|6CDMG|8ASPD|9RCR|aDMG
66	54115 11322	5	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	15DUR|2DUST|3DMG|457VULN|5BPWR|6CGEN|8LIT|9RCR|aASPD
67	54115 21322	6	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	15DUR|2DUST|3DMG|457VULN|5BPWR|6CGEN|8LIT|9RCR|aASPD
68	54115 31322	6	   	255.00	DCR|3VULN|2DUR|1DMG|1ASPD	15DUR|2DUST|3DMG|457VULN|5BPWR|6ERES|8LIT|9RCR|aASPD
69	63525 13232	1	 * 	254.76	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1RPLT|2DMG|35DUR|45VULN|5BPWR|6LIT|7RCR|8aASPD|9TLV
70	26136 21423	3	   	254.75	DCR|4VULN|2DMG|1AART	178ERES|258aVULN|3AART|48DMG|6RMIN|8BPWR|9RCR
71	63525 13231	1	   	254.21	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD|1AART	1RPLT|2DMG|35DUR|45VULN|5BPWR|6LIT|7RCR|8ASPD|9TLV|aAART
72	43463 33211	3	 * 	254.16	DCR|2VULN|3DUR|3CDMG|1TLV|1AART	1RMIN|268CDMG|3AART|478DUR|58VULN|8BPWR|9RCR|aTLV
73	43423 33211	5	   	254.16	DCR|2VULN|3DUR|3CDMG|1TLV|1AART	1RMIN|268CDMG|3AART|48VULN|578DUR|8BPWR|9RCR|aTLV
74	61315 11341	6	   	254.04	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6TLV|8LIT|9RCR|aRMIN
75	52362 13631	1	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	12DUR|389VULN|4TLV|5RPLT|6LIT|7RCR|aCDMG
