0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32156 22532	8	 * 	278.70	DCR|3VULN|3DMG|2DUR|1AART	128DUST|3AART|46DUR|568VULN|68BPWR|789DMG|aRCR
37	61531 31313	7	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|28aVULN|35DUR|4CDMG|6RCR|7RMIN|9AART
38	61531 34213	7	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|28aVULN|35DUR|4CDMG|6RCR|7ZMB|9AART
39	61531 32315	8	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|29aVULN|35DUR|4CDMG|6RCR|7FEWX|8AART
40	11533 36212	10	   	255.16	DCR|3VULN|3DUR|3CDMG	18MLV|29aVULN|378DUR|458CDMG|6RCR|8BPWR
41	21136 21433	2	   	255.10	DCR|3VULN|2DUR|2CDMG|1ASPD	1ERES|25aVULN|3ASPD|4LIT|6aDUR|7BEXP|8aCDMG|9RCR|aBPWR
42	21136 23433	2	   	255.00	DCR|3VULN|2DUR|2CDMG|1ASPD	1ERES|25aVULN|3ASPD|4LIT|6aDUR|7DUST|8aCDMG|9RCR|aBPWR
43	35261 32232	7	   	255.00	DCR|3VULN|2DUR|1DMG|1ASPD	1DUST|2LIT|359VULN|46DUR|7ASPD|8DMG|aRCR
44	35261 32232	8	   	255.00	DCR|3VULN|2DUR|1DMG|1ASPD	1DUST|2LIT|358VULN|46DUR|7ASPD|9DMG|aRCR
45	21263 63413	5	 * 	254.62	DCR|4VULN|2DUR|1TLV	1ERES|2569VULN|3RPLT|46DUR|6BPWR|7TLV|8FEWX|aRCR
46	21342 63413	5	   	254.62	DCR|4VULN|2DUR|1TLV	1ERES|2369VULN|46DUR|5RPLT|6BPWR|7TLV|8FEWX|aRCR
47	21333 11345	6	 * 	254.56	DCR|4VULN|2ASPD|1DUR|1AART	148ERES|2348VULN|48BPWR|5AART|68ASPD|7BBNT|9DUR|aRCR
48	21263 63513	5	   	254.52	DCR|4VULN|2DUR|1TLV	1ERES|2569VULN|3RPLT|46DUR|6BPWR|7TLV|8DUST|aRCR
49	21342 63513	5	   	254.52	DCR|4VULN|2DUR|1TLV	1ERES|2369VULN|46DUR|5RPLT|6BPWR|7TLV|8DUST|aRCR
50	61531 31326	7	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|28aVULN|35DUR|4CDMG|6RCR|7RMIN|9LIT
51	61531 16332	7	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|268VULN|35DUR|4CDMG|7RPLT|9LIT|aRCR
52	61531 33316	7	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|29aVULN|35DUR|4CDMG|6RCR|7CGEN|8LIT
53	61561 31233	10	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|269VULN|38DUR|4RCVC|5LIT|7RCR|aCDMG
54	11531 32612	7	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1aMLV|29VULN|35aDUR|4CDMG|6RCR|7FEWX|8aDMG|aBPWR
55	11531 35612	7	   	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	1aMLV|29VULN|35aDUR|4CDMG|6RCR|7LHND|8aDMG|aBPWR
56	61231 33285	8	 * 	253.52	DCR|3VULN|2DMG|2TLV|1ASPD	1aTLV|29aVULN|3RPLT|4DUST|5MBVNT|6RCR|7ASPD|8aDMG|aBPWR
57	61323 62724	3	   	253.52	DCR|3VULN|2DMG|2TLV|1ASPD	19TLV|29aVULN|3ERES|4ASPD|5MBVNT|69DMG|7RCR|8RCVC|9BPWR
58	21263 63321	5	   	253.51	DCR|3VULN|3DUR|1TLV	1ERES|256VULN|3RPLT|469DUR|6BPWR|7TLV|8LIT|aRCR
59	21342 63321	5	   	253.51	DCR|3VULN|3DUR|1TLV	1ERES|236VULN|469DUR|5RPLT|6BPWR|7TLV|8LIT|aRCR
60	21623 62424	2	   	253.42	DCR|3VULN|2DMG|2TLV|1ASPD	19ERES|29aVULN|38TLV|4ASPD|5MBVNT|69DMG|7RCR|9BPWR
61	21321 66335	5	 * 	253.40	DCR|4VULN|2DMG	1aERES|239aVULN|4LHND|5LIT|6RCR|7TBNT|8aDMG|aBPWR
62	21331 14561	7	   	252.99	DCR|5VULN|1DUR|1AART	148ERES|23468VULN|48BPWR|58LHND|7AART|9RCR|aDUR
63	21332 12561	7	   	252.99	DCR|5VULN|1DUR|1AART	148ERES|23468VULN|48BPWR|58BEXP|7AART|9RCR|aDUR
64	21335 12561	7	   	252.99	DCR|5VULN|1DUR|1AART	148ERES|23468VULN|48BPWR|58FEWX|7AART|9RCR|aDUR
65	61125 22512	2	 * 	252.95	DCR|2VULN|3DUR|3ASPD|2TLV	1aTLV|29VULN|35aASPD|4RPLT|6RCR|78aDUR|aBPWR
66	21333 42561	5	   	252.79	DCR|5VULN|1DUR|1AART	148ERES|23468VULN|48BPWR|5AART|78DUST|9RCR|aDUR
67	61531 31216	6	   	252.61	DCR|2VULN|3DUR|1TLV|1CDMG|1ASPD|1AART	1TLV|28VULN|35aDUR|4CDMG|6RCR|7ASPD|9AART
68	61533 31243	6	   	252.08	DCR|3VULN|2TLV|2CDMG|1DUR|1ASPD	19TLV|28aVULN|3DUR|45CDMG|6RCR|7ASPD
69	21331 53513	6	   	252.06	DCR|4VULN|1DMG|1TLV	14ERES|2348VULN|4BPWR|5LHND|6DMG|7LIT|9RCR|aTLV
70	21335 53513	6	   	252.06	DCR|4VULN|1DMG|1TLV	14ERES|2348VULN|4BPWR|5FEWX|6DMG|7LIT|9RCR|aTLV
71	21331 61133	10	   	252.06	DCR|4VULN|2TLV|1DUR	149ERES|2349VULN|49BPWR|5LHND|6LIT|7RCR|89TLV|aDUR
72	21331 61225	9	   	252.06	DCR|4VULN|1DMG|1DUR	14ERES|2348VULN|4BPWR|5LHND|6LIT|7RCR|9DUR|aDMG
73	21331 61233	8	   	252.06	DCR|4VULN|1DMG|1TLV	14ERES|2348VULN|4BPWR|5LHND|6LIT|7RCR|9DMG|aTLV
74	21332 61215	9	   	252.06	DCR|4VULN|1DMG|1DUR	14ERES|2348VULN|4BPWR|5BEXP|6LIT|7RCR|9DUR|aDMG
75	21332 61233	8	   	252.06	DCR|4VULN|1DMG|1TLV	14ERES|2348VULN|4BPWR|5BEXP|6LIT|7RCR|9DMG|aTLV
76	21335 61133	9	   	252.06	DCR|4VULN|2TLV|1DUR	149ERES|2349VULN|49BPWR|5FEWX|6LIT|7RCR|89TLV|aDUR
77	21335 61215	9	   	252.06	DCR|4VULN|1DMG|1DUR	14ERES|2348VULN|4BPWR|5FEWX|6LIT|7RCR|9DUR|aDMG
78	21335 61233	8	   	252.06	DCR|4VULN|1DMG|1TLV	14ERES|2348VULN|4BPWR|5FEWX|6LIT|7RCR|9DMG|aTLV
79	61135 13116	1	 * 	252.04	5VULN|3DUR|2ASPD|3TLV|2CDMG	156TLV|27aDUR|37ASPD|4579aVULN|57aBPWR|8aCDMG
80	61531 31331	7	   	252.01	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG	1TLV|28VULN|35aDUR|4CDMG|6RCR|7RMIN|9DMG
81	61531 34231	7	   	252.01	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG	1TLV|28VULN|35aDUR|4CDMG|6RCR|7ZMB|9DMG
82	61531 21363	10	   	252.01	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG	1TLV|27VULN|35aDUR|4CDMG|6BELT|8DMG|9RCR
83	21331 32232	4	   	251.96	DCR|4VULN|1DMG|1DUR	14ERES|2349VULN|4BPWR|5MBVNT|6LIT|7DUR|8DMG|aRCR
84	21341 41136	10	   	251.96	DCR|4VULN|2TLV|1DUR	169ERES|239aVULN|4DUR|5LIT|7RCR|89TLV|9BPWR
85	21341 41234	9	   	251.96	DCR|4VULN|1DMG|1DUR	16ERES|2389VULN|4DUR|5LIT|7RCR|aDMG
86	21361 32232	3	   	251.96	DCR|4VULN|1DMG|1DUR	1ERES|2349VULN|5MBVNT|6LIT|7DUR|8DMG|aRCR
87	61533 33322	10	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1TLV|29aVULN|38DUR|45CDMG|6RCR|7CGEN
88	61533 36122	10	   	251.85	DCR|3VULN|2DUR|2CDMG|1TLV|1NUKE	1TLV|29aVULN|37DUR|45CDMG|6RCR|8NUKE
89	61533 36123	9	   	251.85	DCR|3VULN|2DUR|2CDMG|1TLV|1NUKE	1TLV|29aVULN|37DUR|45CDMG|6RCR|8NUKE
90	61531 31315	7	   	251.84	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	1aTLV|28VULN|35aDUR|4aCDMG|6RCR|7RMIN|9AART|aBPWR
91	52512 32232	5	 * 	251.66	DCR|4VULN|3DUR|1SELL	1BELT|2SELL|368DUR|4568VULN|68BPWR|78MLV|9RMIN|aRCR
92	21332 43313	4	   	251.53	DCR|5VULN|1TLV	14ERES|2349aVULN|4BPWR|5LIT|6RPLT|7RCR|8TLV
93	21344 43313	3	   	251.53	DCR|5VULN|1TLV	1ERES|2359aVULN|4LIT|6RPLT|7RCR|8TLV
94	21362 43313	3	   	251.53	DCR|5VULN|1TLV	1ERES|2349aVULN|5LIT|6RPLT|7RCR|8TLV
95	11131 54513	2	   	251.29	DCR|3VULN|2DUR|1TLV|1ASPD	1MLV|278VULN|3ASPD|4LIT|56DUR|9RCR|aTLV
96	11136 24613	2	   	251.29	DCR|3VULN|2DUR|1TLV|1ASPD	1MLV|257VULN|3ASPD|4LIT|68DUR|9RCR|aTLV
97	61561 31231	9	   	251.29	DCR|3VULN|2DUR|1TLV|1ASPD	1TLV|269VULN|38DUR|4RCVC|5LIT|7RCR|aASPD
98	64121 35132	9	   	251.23	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2MLV|3aDUR|4aDMG|5LIT|6aVULN|7CGEN|8LWND|9RCR|aBPWR
99	21136 24613	2	   	251.19	DCR|3VULN|2DUR|1TLV|1ASPD	1ERES|257VULN|3ASPD|4LIT|68DUR|9RCR|aTLV
100	21131 54513	2	   	251.19	DCR|3VULN|2DUR|1TLV|1ASPD	1ERES|278VULN|3ASPD|4LIT|56DUR|9RCR|aTLV
101	64121 32132	9	   	251.13	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2MLV|3aDUR|4aDMG|5LIT|6aVULN|7ERES|8LWND|9RCR|aBPWR
102	22323 25325	4	 * 	251.09	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	1ERES|2RCR|39aVULN|4LHND|5CDMG|69DUR|7TLV|89DMG|9BPWR
103	61266 33313	7	   	250.89	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1TLV|26VULN|3RPLT|46DUR|5SELL|6BPWR|78DMG|9LIT|aRCR
104	21532 52333	7	   	250.87	DCR|3VULN|2ASPD|1DUR|2LIT|1CDMG	1ERES|27aVULN|3DUST|4CDMG|5aASPD|6DUR|8aLIT|9RCR|aBPWR
105	61136 12133	2	 * 	250.65	DCR|3VULN|3ASPD|2TLV|2LIT	17TLV|259VULN|367ASPD|47LIT|7BPWR|8LWND|aRCR
106	52512 22412	7	   	250.51	DCR|3VULN|2DUR|1DMG|2LIT|1SELL	1BELT|2SELL|3aDUR|45aVULN|6DUST|7DMG|8aLIT|9RCR|aBPWR
107	61224 15313	3	   	250.10	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1TLV|28VULN|3RPLT|4CDMG|59DMG|6DUR|7LIT|aRCR
108	61533 31235	6	   	249.83	DCR|2VULN|1DMG|2CDMG|1DUR|1TLV|1ASPD	1TLV|28VULN|3DUR|45CDMG|6RCR|7ASPD|9DMG|aLIT
109	61531 31232	6	   	249.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|28VULN|35DUR|4CDMG|6RCR|7ASPD|9DMG|aMLV
110	21623 62724	2	   	249.70	DCR|3VULN|2DMG|1TLV|1ASPD	19ERES|29aVULN|3TLV|4ASPD|5MBVNT|69DMG|7RCR|8RCVC|9BPWR
111	61531 31233	6	   	249.69	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|28VULN|35DUR|4CDMG|6RCR|7ASPD|9DMG|aERES
112	61531 31236	6	   	249.69	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|28VULN|35DUR|4CDMG|6RCR|7ASPD|9DMG|aTBNT
113	61531 31222	9	   	249.65	DCR|3VULN|2DUR|3TLV|1CDMG	19aTLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|89aCGEN|9aBPWR
114	11531 31522	9	   	249.65	DCR|3VULN|2DUR|3TLV|1CDMG	19aMLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|89aTLV|9aBPWR
115	61531 31112	8	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aLWND|aBPWR
116	61531 31242	8	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aCGEN|aBPWR
117	61531 31242	9	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aCGEN|aBPWR
118	61531 31312	8	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aBEXP|aBPWR
119	61531 31362	7	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|28aVULN|35DUR|4CDMG|6RCR|7RMIN|9aLWND|aBPWR
120	61531 31412	8	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aLHND|aBPWR
121	61531 32142	6	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7aMLV|8RMIN|aBPWR
122	61531 33142	7	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aTLV|29aVULN|35DUR|4CDMG|6RCR|7aCGEN|8RMIN|aBPWR
123	61531 15222	10	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	18TLV|268VULN|35DUR|4CDMG|78FEWX|8BPWR|9BELT|aRCR
124	11531 31342	7	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aMLV|28aVULN|35DUR|4CDMG|6RCR|7RMIN|9aTLV|aBPWR
125	11531 31542	8	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aMLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aTLV|aBPWR
126	11531 31542	9	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aMLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN|8aTLV|aBPWR
127	11531 32142	6	   	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	1aMLV|29aVULN|35DUR|4CDMG|6RCR|7aTLV|8RMIN|aBPWR
128	61226 13632	3	   	249.48	DCR|3VULN|2TLV|2CDMG|1DUR	16TLV|259VULN|3RPLT|45CDMG|5BPWR|7LIT|8DUR|aRCR
129	61561 31233	7	   	249.48	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|269VULN|3DUR|4RCVC|5LIT|7RCR|8DMG
130	11531 21365	10	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1MLV|27aVULN|35DUR|4CDMG|6BELT|8DMG|9RCR
131	61531 31343	7	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	19TLV|28aVULN|35DUR|4CDMG|6RCR|7RMIN
132	61531 31522	10	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	18TLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN
133	61531 31523	9	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	18TLV|29aVULN|35DUR|4CDMG|6RCR|7RMIN
134	61531 33522	10	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	18TLV|29aVULN|35DUR|4CDMG|6RCR|7CGEN
135	52516 21232	7	   	248.88	DCR|3VULN|3DUR|2TLV|1SELL	1BELT|2SELL|368DUR|478VULN|58TLV|8BPWR|9RMIN|aRCR
136	52516 22232	6	   	248.88	DCR|3VULN|3DUR|2TLV|1SELL	1BELT|2SELL|368DUR|478VULN|58TLV|8BPWR|9RMIN|aRCR
