0	Index      	 *	Score 	Summary	Detail	
1	43332 31155	 * 	195.68	ACR|4VULN|1AART|2ZMB|2ASPD|2DUR	156aVULN|2RPLT|36ASPD|4RCR|6aBPWR|7AART|8aDUR|9aZMB
68	43125 31312	   	177.34	ACR|4VULN|2AART|1CDMG	136aVULN|2RPLT|46ERES|5RCR|6BPWR|79AART|8CDMG
69	43425 21312	   	177.34	ACR|4VULN|2AART|1CDMG	136aVULN|2RPLT|3BPWR|4ERES|5RCR|79AART|8CDMG
70	43425 31312	   	177.34	ACR|4VULN|2AART|1CDMG	136aVULN|2RPLT|36BPWR|46ERES|5RCR|79AART|8CDMG
71	43332 31322	   	176.18	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9DUR|aRCVC
72	43334 21322	   	176.18	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9DUR|aRCVC
73	41335 13613	   	175.91	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	125VULN|3DUST|4AART|6RCR|7DUR|8CDMG|9FEWX|aZMB
74	41335 13632	   	175.91	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	125VULN|3DUST|4AART|6RCR|7DUR|8CDMG|9RMIN|aZMB
75	51425 11222	 * 	175.83	DCR|3VULN|2AART|1DMG	1LWND|235VULN|4aAART|6RCR|7LIT|8DMG|9ERES
76	41425 11222	   	175.83	DCR|3VULN|2AART|1DMG	125VULN|3LWND|4aAART|6RCR|7LIT|8DMG|9ERES
77	31525 13242	   	175.82	DCR|4VULN|1AART|1DMG|1DUR	1ERES|2DMG|3579VULN|4AART|6RMIN|8DUR|aRCR
78	41335 11221	   	175.73	DCR|3VULN|2AART|1DMG	125VULN|3DUST|4aAART|6RCR|7LIT|8DMG|9ERES
79	42425 11222	   	175.73	DCR|3VULN|2AART|1DMG	135VULN|2LEGI|4aAART|6RCR|7LIT|8DMG|9ERES
80	43334 32333	   	175.50	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|aRCVC
81	43332 21335	   	175.33	ACR|4VULN|1AART|1CDMG|1ASPD	1569VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|aLHND
82	43332 31124	   	175.33	ACR|4VULN|1AART|2ASPD|1DUR	156aVULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9LHND
83	43334 21124	   	175.33	ACR|4VULN|1AART|2ASPD|1DUR	156aVULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8DUR|9LHND
84	43332 21336	   	175.23	ACR|4VULN|1AART|1CDMG|1ASPD	1569VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|aDUST
85	43332 31141	   	175.23	ACR|4VULN|1AART|2ASPD|1DUR	156aVULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9LSRREG
86	43334 21141	   	175.23	ACR|4VULN|1AART|2ASPD|1DUR	156aVULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8DUR|9LSRREG
87	43334 32311	   	175.05	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9CDMG|aRCVC
88	51425 13113	   	175.04	DCR|3VULN|2AART|2DUR|1ASPD	1LWND|235VULN|49AART|6RCR|78DUR|aASPD
89	61425 13113	   	175.04	DCR|3VULN|2AART|2DUR|1ASPD	1LHND|235VULN|49AART|6RCR|78DUR|aASPD
90	41425 13113	   	175.04	DCR|3VULN|2AART|2DUR|1ASPD	125VULN|3LWND|49AART|6RCR|78DUR|aASPD
91	43334 31311	   	174.95	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9CDMG|aRCVC
92	41335 13113	   	174.94	DCR|3VULN|2AART|2DUR|1ASPD	125VULN|3DUST|49AART|6RCR|78DUR|aASPD
93	42425 13113	   	174.94	DCR|3VULN|2AART|2DUR|1ASPD	135VULN|2LEGI|49AART|6RCR|78DUR|aASPD
94	43332 31321	   	174.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9DUR|aLWND
95	43332 31323	   	174.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9DUR|aCGEN
96	43332 31352	   	174.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9BEXP|aDUR
97	43334 21321	   	174.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9DUR|aLWND
98	43334 21323	   	174.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9DUR|aCGEN
99	43334 21352	   	174.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9BEXP|aDUR
100	41144 31322	   	174.82	DCR|3VULN|3DMG|1ZMB	128VULN|3RMIN|48LIT|5DUST|6ZMB|78aDMG|8BPWR|9RCR
101	43332 31142	   	174.77	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9LSRREG|aCDMG
102	43332 31324	   	174.77	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9DUR|aTLV
103	43334 21142	   	174.77	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8DUR|9LSRREG|aCDMG
104	43334 21324	   	174.77	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9DUR|aTLV
105	51425 13121	 * 	174.57	DCR|4VULN|1AART|3DUR	1LWND|235aVULN|4AART|6RCR|789DUR
106	61425 13121	   	174.57	DCR|4VULN|1AART|3DUR	1LHND|235aVULN|4AART|6RCR|789DUR
107	41425 13121	   	174.57	DCR|4VULN|1AART|3DUR	125aVULN|3LWND|4AART|6RCR|789DUR
108	41335 13121	   	174.47	DCR|4VULN|1AART|3DUR	125aVULN|3DUST|4AART|6RCR|789DUR
109	42425 13121	   	174.47	DCR|4VULN|1AART|3DUR	135aVULN|2LEGI|4AART|6RCR|789DUR
110	43332 31356	   	174.25	ACR|3VULN|1AART|2CDMG|2ASPD	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8aCDMG|9BEXP
111	43334 32335	   	174.20	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|aLWND
112	31323 52422	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2DMG|3RPLT|456VULN|7ASPD|8CDMG|9RCR|aAART
113	43121 52422	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	136VULN|2RPLT|4ERES|5DMG|7ASPD|8CDMG|9RCR|aAART
114	43334 31332	   	174.10	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|aFEWX
115	43334 31333	   	174.10	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|aLWND
116	43334 32331	   	174.10	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|aERES
117	43334 32332	   	174.10	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|aDUST
118	46213 31453	   	174.02	DCR|4VULN|1AART|1DMG|1ASPD	1458VULN|2MBVNT|3ASPD|6RPLT|7AART|9DMG|aRCR
119	43334 31331	   	174.00	ACR|4VULN|1AART|3ASPD	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7aERES|8AART
120	43334 32312	   	173.75	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9CDMG|aCGEN
121	43334 32313	   	173.75	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2aRPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9CDMG
122	43334 31312	   	173.65	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9CDMG|aCGEN
123	43334 31313	   	173.65	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2aRPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9CDMG
124	43334 32315	   	173.65	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9CDMG|aLEGI
125	43334 32316	   	173.65	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9CDMG|aMBVNT
126	43334 31315	   	173.55	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9CDMG|aLEGI
127	43334 31316	   	173.55	ACR|3VULN|1AART|3ASPD|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9CDMG|aMBVNT
128	11354 61212	   	173.25	DCR|2VULN|2DMG|1AART|1DUR	1MLV|29DMG|3RPLT|4AART|5aVULN|6RCR|7TLV|8DUR
129	43331 23534	   	172.88	ACR|3VULN|1AART|2CDMG|1ASPD|1DUR	179VULN|2RPLT|3ASPD|4RCR|57CDMG|67LHND|7BPWR|8DUR|aAART
130	11521 42411	 * 	172.86	DCR|2VULN|2DMG|1AART|1CDMG	1MLV|28DMG|36VULN|4AART|57BEXP|9RCR|aCDMG
131	43125 21333	   	172.83	ACR|4VULN|1AART|1CDMG|1DUR	1369VULN|2RPLT|4ERES|5RCR|7AART|8CDMG|aDUR
132	43125 31333	   	172.83	ACR|4VULN|1AART|1CDMG|1DUR	1369VULN|2RPLT|46ERES|5RCR|6BPWR|7AART|8CDMG|aDUR
133	43425 21333	   	172.83	ACR|4VULN|1AART|1CDMG|1DUR	1369VULN|2RPLT|3BPWR|4ERES|5RCR|7AART|8CDMG|aDUR
134	43425 31333	   	172.83	ACR|4VULN|1AART|1CDMG|1DUR	1369VULN|2RPLT|36BPWR|46ERES|5RCR|7AART|8CDMG|aDUR
135	31521 42411	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|28DMG|36VULN|4AART|57BEXP|9RCR|aCDMG
136	43332 21315	   	172.67	ACR|3VULN|2AART|1CDMG|1ASPD	156VULN|2RPLT|3ASPD|4RCR|79AART|8CDMG|aLHND
137	43332 21316	   	172.57	ACR|3VULN|2AART|1CDMG|1ASPD	156VULN|2RPLT|3ASPD|4RCR|79AART|8CDMG|aDUST
138	43332 31111	   	172.57	ACR|3VULN|2AART|2ASPD|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7aAART|8DUR|9ERES
139	43334 21111	   	172.57	ACR|3VULN|2AART|2ASPD|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7aAART|8DUR|9ERES
140	41251 26111	   	172.53	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|4DMG|5RCVC|6AART|7CGEN|8LWND|9RCR|aCDMG
141	41251 26211	   	172.53	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|4DMG|5RCVC|6AART|7CGEN|8FEWX|9RCR|aCDMG
142	41251 21111	   	172.43	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|4DMG|5RCVC|6AART|7ERES|8LWND|9RCR|aCDMG
143	41251 21211	   	172.43	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|4DMG|5RCVC|6AART|7ERES|8FEWX|9RCR|aCDMG
144	41251 21411	   	172.43	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|4DMG|5RCVC|6AART|7ERES|8BEXP|9RCR|aCDMG
145	31323 51463	   	172.29	DCR|4VULN|1AART|1DMG	1ERES|2DMG|3RPLT|4569VULN|7RCVC|8RCR|aAART
146	43332 31151	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9ZMB|aDMSP
147	43332 31152	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9ZMB|aLWND
148	43332 31153	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9ZMB|aRMIN
149	43332 31154	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8DUR|9ZMB|aLHND
150	43334 21151	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8DUR|9ZMB|aDMSP
151	43334 21152	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8DUR|9ZMB|aLWND
152	43334 21153	   	172.23	ACR|3VULN|1AART|2ASPD|1ZMB|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8DUR|9ZMB|aRMIN
153	43125 21632	 * 	172.20	ACR|4VULN|1AART|1DMG	1369VULN|2RPLT|48ERES|5RCR|7AART|aDMG
154	14166 31432	   	172.16	ACR|4VULN|1AART|1DMG|1SELL	16MLV|2SELL|3MBVNT|4689VULN|5RCR|6BPWR|7AART|aDMG
155	14166 21432	   	172.06	ACR|4VULN|1AART|1DMG|1SELL	1MLV|2SELL|3MBVNT|4689VULN|5RCR|7AART|aDMG
156	46214 44352	   	172.03	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	14VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|9DMG|aMLV
157	61425 11222	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|235VULN|4AART|6RCR|7LIT|8DMG|9ASPD|aDMSP
158	61425 11233	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1LHND|235VULN|4AART|6RCR|7LIT|8DMG|9DUR|aRMIN
159	41335 12623	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	125VULN|3DUST|4AART|6RCR|7BEXP|8LSRICY|9DMG|aDUR
160	51425 11221	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1LWND|235VULN|4AART|6RCR|7LIT|8DMG|9ERES|aDUR
161	61425 11332	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1LHND|235VULN|4AART|6RCR|7LIT|8ERES|9DUR|aDMG
162	41425 11221	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	125VULN|3LWND|4AART|6RCR|7LIT|8DMG|9ERES|aDUR
163	41335 14232	 * 	171.25	DCR|5VULN|1AART	1259aVULN|3DUST|4AART|6RCR|7CGEN|8MLV
164	41335 12128	   	171.22	DCR|3VULN|1AART|1DMG|1DUR	125VULN|3DUST|4AART|6RCR|7BEXP|8DUR|9MBVNT|aDMG
165	42425 11221	   	171.22	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2LEGI|4AART|6RCR|7LIT|8DMG|9ERES|aDUR
166	41221 54483	   	171.17	DCR|3VULN|2DMG|1AART	123VULN|4LWND|5MBVNT|6BEXP|78DMG|9RCR|aAART
167	41335 15232	   	171.15	DCR|5VULN|1AART	1259aVULN|3DUST|4AART|6RCR|7ERES|8MLV
168	43334 32322	   	171.10	ACR|3VULN|1AART|3ASPD|1ZMB	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9LWND|aZMB
169	43334 31322	   	171.00	ACR|3VULN|1AART|3ASPD|1ZMB	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9LWND|aZMB
170	43334 33531	 * 	170.91	ACR|3VULN|3ASPD|1DMG|1CDMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7DUST|8CDMG|9RCVC|aDMG
171	46218 14234	 * 	170.85	DCR|3VULN|2AART|1CDMG|1ASPD	146VULN|2MBVNT|3ASPD|59AART|7LEGI|8RCR|aCDMG
172	43125 21116	   	170.18	ACR|4VULN|1AART|1ZMB|1DUR	1369VULN|2RPLT|4ERES|5RCR|7AART|8DUR|aZMB
173	43125 31116	   	170.18	ACR|4VULN|1AART|1ZMB|1DUR	1369VULN|2RPLT|46ERES|5RCR|6BPWR|7AART|8DUR|aZMB
174	43125 21313	   	170.17	ACR|3VULN|2AART|1CDMG|1DUR	136VULN|2RPLT|4ERES|5RCR|79AART|8CDMG|aDUR
175	43125 31313	   	170.17	ACR|3VULN|2AART|1CDMG|1DUR	136VULN|2RPLT|46ERES|5RCR|6BPWR|79AART|8CDMG|aDUR
