0	Index      	 *	Score 	Summary	Detail	
1	22653 53211	 * 	192.27	DCR|3DMG|2VULN|1AART|1ZMB	148DUST|2ERES|38aDMG|5AART|6RCR|78VULN|8BPWR|9ZMB
15	46122 42121	   	178.63	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|25aDMG|3ASPD|4ZMB|6LIT|7VULN|8RCR|9AART
16	32633 53233	   	177.16	DCR|2AART|2VULN|2DMG	18BEXP|249ERES|38DMG|5aAART|6RCR|78VULN|8BPWR
17	22653 53223	   	177.06	DCR|2AART|2VULN|2DMG	148DUST|2ERES|38DMG|5aAART|6RCR|78VULN|8BPWR|9RMIN
18	22633 53233	   	176.96	DCR|2AART|2VULN|2DMG	18DUST|249ERES|38DMG|5aAART|6RCR|78VULN|8BPWR
19	32633 53235	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	18BEXP|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aZMB
20	22633 53235	   	176.52	DCR|2VULN|2DMG|1AART|1ZMB	18DUST|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aZMB
21	21555 13113	 * 	173.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2LWND|3ZMB|4aVULN|5RCR|6DMG|7CDMG|8AART|9DUR
22	34335 11613	   	172.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUST|3ZMB|4aVULN|5RCR|6DMG|7DUR|8CDMG|9AART
23	32633 53243	   	172.75	DCR|2VULN|2DMG|1AART|1DUR	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MLV|aDUR
24	32633 53236	   	172.65	DCR|2VULN|2DMG|1AART|1ASPD	18BEXP|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aASPD
25	22633 53243	   	172.55	DCR|2VULN|2DMG|1AART|1DUR	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MLV|aDUR
26	22633 53236	   	172.45	DCR|2VULN|2DMG|1AART|1ASPD	18DUST|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aASPD
27	31332 12364	   	171.37	DCR|3VULN|2DMG|1AART	18BEXP|2LWND|378VULN|4LHND|5ERES|68DMG|8BPWR|9RCR|aAART
28	33332 12364	   	171.37	DCR|3VULN|2DMG|1AART	18BEXP|2LHND|378VULN|4LWND|5ERES|68DMG|8BPWR|9RCR|aAART
29	21332 12364	   	171.17	DCR|3VULN|2DMG|1AART	18DUST|2LWND|378VULN|4LHND|5ERES|68DMG|8BPWR|9RCR|aAART
30	23332 12364	   	171.17	DCR|3VULN|2DMG|1AART	18DUST|2LHND|378VULN|4LWND|5ERES|68DMG|8BPWR|9RCR|aAART
31	42523 22234	 * 	169.39	ACR|3VULN|2DMG|2DUR	17RCVC|2RPLT|3aDMG|4CGEN|5RCR|69aVULN|8aDUR|aBPWR
32	21543 13143	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LWND|3ZMB|4RCR|5LHND|6DMG|7CDMG|8AART|9aVULN
33	32625 23322	 * 	168.93	ACR|3DMG|2VULN|1ZMB|1ASPD	18BEXP|2ERES|389DMG|4ASPD|5RCR|6CGEN|78VULN|8BPWR|aZMB
34	32625 53322	   	168.83	ACR|3DMG|2VULN|1ZMB|1ASPD	18BEXP|2ERES|389DMG|4ASPD|5RCR|6TLV|78VULN|8BPWR|aZMB
35	32633 53211	   	167.12	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aRCVC
36	32633 53261	   	167.02	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9CANHEL|aRCVC
37	22633 53211	   	166.92	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aRCVC
38	22633 53261	   	166.82	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9CANHEL|aRCVC
39	34335 13513	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2DUST|3ZMB|4aVULN|5RCR|6DMG|7CDMG|8LHND|9AART
40	34335 24713	   	165.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2DUST|3ZMB|4aVULN|5RCR|6MBVNT|7DMG|8CDMG|9AART
41	32633 53216	   	165.81	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aFEWX
42	32633 53241	   	165.81	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MLV|aCGEN
43	32633 53212	   	165.71	DCR|2DMG|2VULN|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aLEGI
44	32633 53213	   	165.71	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aTLV
45	32633 53214	   	165.71	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aDUST
46	32633 53234	   	165.71	DCR|2VULN|2DMG|1AART	18BEXP|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aLIT
47	32633 53242	   	165.71	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MLV|aDUST
48	22633 53215	   	165.61	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aLWND
49	22633 53216	   	165.61	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aRMIN
50	22633 53241	   	165.61	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MLV|aCGEN
51	22653 53231	   	165.61	DCR|2VULN|2DMG|1AART	148DUST|2ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MGNLIT|aCGEN
52	22653 53232	   	165.61	DCR|2VULN|2DMG|1AART	148DUST|2ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9MGNLIT|aBEXP
53	32633 53232	   	165.61	DCR|2VULN|2DMG|1AART	18BEXP|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aTLV
54	32633 53262	   	165.61	DCR|2DMG|2VULN|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9CANHEL|aLEGI
55	32633 53263	   	165.61	DCR|2VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9CANHEL|aTLV
56	22625 31211	 * 	165.54	ACR|2DMG|1AART|1VULN|1FLTHEA|1ASPD	1DUST|2ERES|3aDMG|4ASPD|5RCR|6RCVC|7AART|8FLTHEA|9VULN
57	22633 53212	   	165.51	DCR|2DMG|2VULN|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aLEGI
58	22633 53213	   	165.51	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY|aTLV
59	22633 53214	   	165.51	DCR|2VULN|2DMG|1AART	18aDUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9LSRICY
60	22633 53234	   	165.51	DCR|2VULN|2DMG|1AART	18DUST|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aLIT
61	22633 53232	   	165.41	DCR|2VULN|2DMG|1AART	18DUST|249ERES|38DMG|5AART|6RCR|78VULN|8BPWR|aTLV
62	22633 53262	   	165.41	DCR|2DMG|2VULN|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9CANHEL|aLEGI
63	22633 53263	   	165.41	DCR|2VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|78VULN|8BPWR|9CANHEL|aTLV
64	32625 23323	   	164.86	ACR|3DMG|2VULN|1ASPD|1DUR	18BEXP|2ERES|389DMG|4ASPD|5RCR|6CGEN|78VULN|8BPWR|aDUR
65	32625 53323	   	164.76	ACR|3DMG|2VULN|1DUR|1ASPD	18BEXP|2ERES|389DMG|4ASPD|5RCR|6TLV|78VULN|8BPWR|aDUR
66	42632 38231	 * 	164.25	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2RPLT|3MBVNT|4RCR|569VULN|7ZMB|8DMG|aCDMG
67	45314 33111	   	164.11	DCR|2VULN|1AART|1DMG|1ZMB|2RCVC	15RCVC|29VULN|3ZMB|4LHND|6RCR|7LIT|8AART|aDMG
68	45334 33111	   	164.11	DCR|2VULN|1AART|1DMG|1ZMB|2RCVC	15RCVC|29VULN|3ZMB|4LWND|6RCR|7LIT|8AART|aDMG
69	32633 53431	   	163.58	DCR|3DMG|1AART|1VULN	1BEXP|249ERES|38aDMG|5AART|6RCR|7VULN
70	22633 53431	   	163.48	DCR|3DMG|1AART|1VULN	1DUST|249ERES|38aDMG|5AART|6RCR|7VULN
71	46112 12243	   	163.45	DCR|3DMG|2VULN|1DUR|1ASPD	1RCVC|258DMG|3ASPD|478ERES|68VULN|8BPWR|9DUR|aRCR
72	46133 53311	 * 	163.02	DCR|1AART|1DMG|1VULN|2ASPD|1FLTHEA	1aRCVC|2DMG|38ASPD|4LHND|5AART|6RCR|7VULN|9FLTHEA
73	46122 42122	   	162.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|25DMG|3ASPD|4ZMB|6aLIT|7VULN|8RCR|9AART
74	46122 42123	   	162.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|25DMG|3ASPD|4ZMB|6LIT|7VULN|8RCR|9AART|aRPLT
75	22625 11211	   	162.93	ACR|2DMG|1AART|1VULN|1FLTHEA|1ASPD	16DUST|2ERES|3aDMG|4ASPD|5RCR|7AART|8FLTHEA|9VULN
76	61531 32162	 * 	162.93	DCR|4VULN|1AART|1ZMB	1RPLT|2367VULN|4RCVC|5ERES|8AART|9RCR|aZMB
