0	Index      	 *	Score 	Summary	Detail	
1	25234 11141	 * 	190.85	DCR|5VULN|3DMG	1568aVULN|2LIT|3aMLV|456DMG|56aBPWR|7aDUST|9RCR
44	21233 12622	   	169.04	DCR|3VULN|2DMG|1ASPD|1DUR	159VULN|2DUR|3CGEN|4DUST|6RCR|7ASPD|8aDMG
45	24626 31213	 * 	169.03	ACR|3DMG|2VULN|1ZMB|1DUR	19VULN|2ZMB|389DMG|4FEWX|5RCR|6BEXP|79LHND|9BPWR|aDUR
46	21533 62622	   	168.90	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	18VULN|28DUR|3RCVC|4LIT|5AART|6ASPD|78CDMG|8BPWR|9ZMB|aRCR
47	24353 13533	   	168.62	DCR|3VULN|2AART|2ZMB	15aVULN|25ZMB|3RPLT|49AART|5aBPWR|6aBEXP|7RCR|8aLWND
48	24353 43133	   	168.62	DCR|3VULN|2AART|2ZMB	15aVULN|25ZMB|3RPLT|49AART|5aBPWR|6aLWND|7RCR|8aFEWX
49	56313 52123	 * 	168.56	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1SELL	1SELL|28DMG|38VULN|4ASPD|5CDMG|68DUST|7RCR|8BPWR|9LWND|aZMB
50	21322 12255	   	168.55	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|39BEXP|4RPLT|5AART|6AIRHEL|78DMG|8BPWR|aRCR
51	21662 12225	   	168.55	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|39FEWX|4RPLT|5AART|6AIRHEL|78DMG|8BPWR|aRCR
52	21433 62432	 * 	168.54	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR|1ASPD	13VULN|2DUR|4LIT|59AART|6ASPD|7CDMG|8ZMB|aRCR
53	33436 15213	 * 	168.52	DCR|3VULN|2AART|1CDMG|1ZMB	1BELT|234VULN|5ZMB|6LHND|7CDMG|89AART|aRCR
54	24353 31251	 * 	168.44	DCR|2AART|2VULN|3ZMB|1ASPD	15VULN|258ZMB|3RPLT|46AART|5BPWR|7ASPD|9RCR|aBEXP
55	24353 31252	   	168.44	DCR|2AART|2VULN|3ZMB|1ASPD	15VULN|258ZMB|3RPLT|46AART|5BPWR|7ASPD|9RCR|aCGEN
56	24353 31253	   	168.44	DCR|2AART|2VULN|3ZMB|1ASPD	15VULN|258ZMB|3RPLT|46AART|5BPWR|7ASPD|9RCR|aLWND
57	56313 21321	 * 	168.41	DCR|3DMG|2VULN|1CDMG|1ASPD|1SELL	1SELL|26aDMG|3aVULN|4ASPD|5CDMG|7RCVC|8aERES|9RCR|aBPWR
58	25234 13143	   	168.36	DCR|3VULN|3DMG|1DUR	156VULN|2LIT|3MLV|456DMG|56BPWR|7TLV|8RPLT|9DUR|aRCR
59	24353 43221	 * 	168.32	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	15VULN|25ZMB|3RPLT|4AART|5BPWR|6LWND|7RCR|8DUR|9BEXP|aDMG
60	24353 63221	   	168.32	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	15VULN|25ZMB|3RPLT|4AART|5BPWR|6LHND|7RCR|8DUR|9BEXP|aDMG
61	33432 31533	   	167.71	DCR|4VULN|1AART|1CDMG|1ASPD	1BELT|2346VULN|5ASPD|7AART|8CDMG|9LHND|aRCR
62	33432 31543	   	167.61	DCR|4VULN|1AART|1CDMG|1ASPD	1BELT|2346VULN|5ASPD|7AART|8CDMG|9DUST|aRCR
63	21333 13216	   	167.60	DCR|3VULN|2DMG|2DUR	15aVULN|27DUR|3aBEXP|4ERES|6RCR|8MLV|9aDMG|aBPWR
64	21424 13216	   	167.60	DCR|3VULN|2DMG|2DUR	13aVULN|27DUR|4aBEXP|5TLV|6RCR|8MLV|9aDMG|aBPWR
65	21653 13216	   	167.60	DCR|3VULN|2DMG|2DUR	15aVULN|27DUR|3aFEWX|4ERES|6RCR|8MLV|9aDMG|aBPWR
66	21414 11216	   	167.50	DCR|3VULN|2DMG|2DUR	13aVULN|2aDUR|4TLV|5LEGI|6RCR|7RCVC|8MLV|9aDMG|aBPWR
67	22413 13216	   	167.50	DCR|3VULN|2DMG|2DUR	13aVULN|2LHND|4aTLV|57DUR|6RCR|8MLV|9aDMG|aBPWR
68	33463 15323	 * 	167.46	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|23VULN|48DMG|5DMSP|6LHND|7CDMG|9AART|aRCR
69	61433 13216	   	167.40	DCR|3VULN|2DMG|2DUR	1aDUST|27DUR|35aVULN|4ERES|6RCR|8MLV|9aDMG|aBPWR
70	33432 55221	   	167.00	DCR|4VULN|1AART|1ASPD|1DUR	1BELT|2348VULN|5ASPD|6RPLT|7RCR|9AART|aDUR
71	33432 31222	   	166.89	DCR|5VULN|1AART|1ASPD	1BELT|23468VULN|5ASPD|7AART|9LIT|aRCR
72	21434 13341	   	166.81	DCR|3VULN|2DMG|3DUR	139VULN|256DUR|456LIT|569BPWR|79DMG|8RCR|aFEWX
73	21434 13342	   	166.81	DCR|3VULN|2DMG|3DUR	139VULN|256DUR|456LIT|569BPWR|79DMG|8RCR|aRCVC
74	33463 31533	   	166.73	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|236VULN|4DMG|5DMSP|7AART|8CDMG|9LHND|aRCR
75	21434 13322	   	166.71	DCR|3VULN|2DMG|3DUR	13aVULN|256DUR|456LIT|56aBPWR|7aDMG|8RCR|9aCANSTR
76	21434 13343	   	166.71	DCR|3VULN|2DMG|3DUR	139VULN|256DUR|456LIT|569BPWR|79DMG|8RCR|aERES
77	33431 15225	   	166.67	DCR|4VULN|1AART|1CDMG	1BELT|2345VULN|6BEXP|7RCR|8BASICY|9AART|aCDMG
78	22413 16533	   	166.60	DCR|3VULN|1AART|1CDMG|2DUR	138VULN|2LHND|48TLV|58DUR|6RCR|7LEGI|8BPWR|9CDMG|aAART
79	24351 33132	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	189VULN|2ZMB|3RPLT|4AART|5ERES|6LWND|7RCR|aCDMG
80	25234 12422	   	166.32	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8RCR|9FEWX|aLWND
81	25234 12412	   	166.22	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8RCR|9DUST|aLWND
82	25234 12413	   	166.22	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8RCR|9DUST|aBEXP
83	21436 16111	   	166.11	DCR|3VULN|1AART|1DMG|2DUR	137VULN|27DUR|47LIT|5RPLT|6RCVC|7BPWR|8DMG|9RCR|aAART
84	33431 15224	   	165.85	DCR|5VULN|1AART	1BELT|2345aVULN|6BEXP|7RCR|8BASICY|9AART
85	23533 32642	   	165.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	18VULN|28LWND|3RCVC|4LIT|5AART|6ASPD|78CDMG|8BPWR|9DMG|aRCR
86	21223 12621	   	165.66	DCR|4VULN|1DMG|1ASPD|1DUR	159aVULN|2DUR|3CGEN|4BEXP|6RCR|7ASPD|8DMG
87	21263 12621	   	165.66	DCR|4VULN|1DMG|1ASPD|1DUR	159aVULN|2DUR|3CGEN|4FEWX|6RCR|7ASPD|8DMG
88	21623 12621	   	165.66	DCR|4VULN|1DMG|1ASPD|1DUR	159aVULN|2DUR|3FEWX|4CGEN|6RCR|7ASPD|8DMG
89	21233 12621	   	165.56	DCR|4VULN|1DMG|1ASPD|1DUR	159aVULN|2DUR|3CGEN|4DUST|6RCR|7ASPD|8DMG
90	53573 34234	 * 	165.46	ACR|2DMG|1AART|1VULN|2CDMG|1SELL	1SELL|29LHND|3MBVNT|4RCR|5MLV|6AART|79DMG|89CDMG|9BPWR|aVULN
91	24321 33132	   	165.37	DCR|3VULN|1AART|1CDMG|1ZMB	189VULN|2ZMB|3RPLT|4ERES|5FEWX|6AART|7RCR|aCDMG
92	53572 34234	 * 	165.36	ACR|2DMG|1AART|1VULN|2CDMG|1SELL	1SELL|29LHND|3MBVNT|4RCR|5TLV|6AART|79DMG|89CDMG|9BPWR|aVULN
93	64323 33132	   	165.27	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2ZMB|3RPLT|4ERES|589VULN|6AART|7RCR|aCDMG
94	25333 26111	   	164.68	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|2LIT|3ZMB|6RMIN|7RPLT|8DMG|9RCR|aAART
95	25333 33111	   	164.68	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|2LIT|3ZMB|6RPLT|7MLV|8DMG|9RCR|aAART
96	31636 31523	   	164.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BELT|2DMSP|346VULN|5ZMB|7AART|8CDMG|9DUR|aRCR
97	25333 31111	   	164.58	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|2LIT|3ZMB|6RPLT|7ERES|8DMG|9RCR|aAART
98	25334 16111	   	164.58	DCR|3VULN|1AART|1DMG|1ZMB	146VULN|2LIT|3ZMB|56ERES|6BPWR|7RPLT|8DMG|9RCR|aAART
99	33432 15213	   	164.45	DCR|3VULN|2AART|1CDMG|1ASPD	1BELT|234VULN|5ASPD|6LHND|7CDMG|89AART|aRCR
100	24322 22616	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	1aVULN|2ZMB|3RPLT|4aERES|57MLV|6RCR|8CDMG|9aDMG|aBPWR
101	21653 12235	   	164.19	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	15VULN|2DUR|3FEWX|4ERES|6RCR|7ASPD|8CDMG|9AART|aZMB
102	22133 13522	   	164.11	DCR|4VULN|1DMG|2DUR	1589VULN|28LHND|3LWND|4ERES|6RCR|78DUR|8BPWR|aDMG
103	61433 12235	   	164.09	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1DUST|2DUR|35VULN|4ERES|6RCR|7ASPD|8CDMG|9AART|aZMB
104	24353 32632	 * 	164.02	DCR|2AART|2VULN|2ZMB|1CDMG	15VULN|25ZMB|3RPLT|46AART|5BPWR|7LHND|8RCR|9MLV|aCDMG
105	24353 32622	   	163.92	DCR|2AART|2VULN|2ZMB|1CDMG	15VULN|25ZMB|3RPLT|46AART|5BPWR|7LHND|8RCR|9ERES|aCDMG
106	16232 21533	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MGNSTR|2LIT|3aVULN|4DMG|5AIRHEL|6CDMG|7RCR|8DUR|9AART
107	24612 22226	   	163.87	DCR|3VULN|2DMG|1ZMB	15aVULN|2ZMB|3aDMG|4TLV|6DUST|7RCR|8aMLV|9RMIN|aBPWR
108	25234 11342	   	163.82	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7DUST|8RCVC|9RCR|aLWND
109	25234 11343	   	163.82	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7DUST|8RCVC|9RCR|aBEXP
110	25234 12142	   	163.82	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8DUST|9RCR|aLWND
111	25234 12143	   	163.82	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8DUST|9RCR|aBEXP
112	56312 35222	   	163.77	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1SELL|2DMG|38VULN|4ASPD|5CGEN|6BELT|7RCR|9AART|aCDMG
113	24612 22216	   	163.77	DCR|3VULN|2DMG|1ZMB	15aVULN|2ZMB|3aDMG|4TLV|6DUST|7RCR|8aMLV|9NUKE|aBPWR
114	64622 32122	   	163.77	DCR|3VULN|2DMG|1ZMB	1DUST|2ZMB|3aDMG|4CGEN|569VULN|7RCR|8LWND
115	24612 22161	   	163.67	DCR|3VULN|2DMG|1ZMB	15aVULN|2ZMB|39DMG|4TLV|6DUST|7RCR|8LWND
116	24612 22162	   	163.67	DCR|3DMG|2VULN|1ZMB	15VULN|2ZMB|39aDMG|4TLV|6DUST|7RCR|8LWND
117	24612 22521	   	163.67	DCR|3VULN|2DMG|1ZMB	15aVULN|2ZMB|38DMG|4TLV|6DUST|7RCR|9LWND
118	24612 22522	   	163.67	DCR|3DMG|2VULN|1ZMB	15VULN|2ZMB|38aDMG|4TLV|6DUST|7RCR|9LWND
119	23415 13532	   	163.66	DCR|3VULN|1DMG|1CDMG|2DUR	138VULN|28LWND|4TLV|5LHND|6RCR|78DUR|8BPWR|9CDMG|aDMG
120	24612 22352	   	163.57	DCR|3VULN|2DMG|1ZMB	159VULN|2ZMB|3aDMG|4TLV|68DUST|7RCR
121	21223 13542	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	15aVULN|27DUR|3CGEN|4BEXP|6RCR|8DMG|9CDMG
122	21263 13542	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	15aVULN|27DUR|3CGEN|4FEWX|6RCR|8DMG|9CDMG
123	21421 13542	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	13aVULN|27DUR|4BEXP|5MLV|6RCR|8DMG|9CDMG
124	21623 13542	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	15aVULN|27DUR|3FEWX|4CGEN|6RCR|8DMG|9CDMG
125	23441 13242	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	13aVULN|2LWND|47DUR|5MLV|6RCR|8DMG|9CDMG
126	21133 13242	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	15aVULN|27DUR|3LWND|4ERES|6RCR|8DMG|9CDMG
127	21233 13542	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	15aVULN|27DUR|3CGEN|4DUST|6RCR|8DMG|9CDMG
128	21333 13542	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	15aVULN|27DUR|3BEXP|4ERES|6RCR|8DMG|9CDMG
129	22413 13542	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	13aVULN|2LHND|4TLV|57DUR|6RCR|8DMG|9CDMG
130	23413 13242	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	13aVULN|2LWND|4TLV|57DUR|6RCR|8DMG|9CDMG
131	23413 16532	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	138VULN|2LWND|48TLV|58DUR|6RCR|7LEGI|8BPWR|9CDMG|aDMG
132	34115 14333	 * 	163.44	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RPLT|3MGNLIT|468VULN|5RCR|7ASPD|9DMG|aAART
133	14121 35115	   	163.43	ACR|2VULN|2DMG|1AART	1aMGNSTR|239CGEN|4RCR|5aDMG|6AART|7RMIN|8aVULN|aBPWR
134	21226 23124	 * 	163.32	ACR|3VULN|2DMG|2DUR	18aVULN|28DUR|3CGEN|4BEXP|5RCR|6RPLT|78DMG|8BPWR|9LIT
135	21226 23152	   	163.32	ACR|3VULN|2DMG|2DUR	18aVULN|28DUR|3CGEN|4BEXP|5RCR|6RPLT|78DMG|8BPWR|9RCVC
136	21336 23124	   	163.22	ACR|3VULN|2DMG|2DUR	18aVULN|28DUR|3BEXP|4ERES|5RCR|6RPLT|78DMG|8BPWR|9LIT
137	21336 23152	   	163.22	ACR|3VULN|2DMG|2DUR	18aVULN|28DUR|3BEXP|4ERES|5RCR|6RPLT|78DMG|8BPWR|9RCVC
138	24321 33133	   	163.17	DCR|3VULN|2AART|1ZMB	189VULN|2ZMB|3RPLT|4ERES|5FEWX|6aAART|7RCR
139	64323 33133	   	163.07	DCR|3VULN|2AART|1ZMB	1DUST|2ZMB|3RPLT|4ERES|589VULN|6aAART|7RCR
140	21222 23166	   	162.65	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2DUR|38CGEN|4BEXP|5DUST|6RPLT|78DMG|8BPWR|9RCR|aAART
141	21235 23166	   	162.65	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2DUR|38CGEN|4DUST|5BEXP|6RPLT|78DMG|8BPWR|9RCR|aAART
142	24351 33122	   	162.36	DCR|2AART|2VULN|1CDMG|1ZMB	18VULN|2ZMB|3RPLT|49AART|5ERES|6LWND|7RCR|aCDMG
143	56312 33113	   	162.31	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1SELL|28DMG|38VULN|4ASPD|5CGEN|6BELT|78BASICY|8BPWR|9RCR|aAART
144	56312 36113	   	162.31	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1SELL|28DMG|38VULN|4ASPD|5CGEN|6BELT|78LSRHEA|8BPWR|9RCR|aAART
145	21333 11216	   	162.30	DCR|3VULN|2DMG|1DUR	15aVULN|2DUR|3aBEXP|4ERES|6RCR|7RCVC|8MLV|9aDMG|aBPWR
146	21424 11216	   	162.30	DCR|3VULN|2DMG|1DUR	13aVULN|2DUR|4aBEXP|5TLV|6RCR|7RCVC|8MLV|9aDMG|aBPWR
147	21653 11216	   	162.30	DCR|3VULN|2DMG|1DUR	15aVULN|2DUR|3aFEWX|4ERES|6RCR|7RCVC|8MLV|9aDMG|aBPWR
148	24331 22363	   	162.23	DCR|3VULN|1DMG|1CDMG|1ZMB	15aVULN|2ZMB|3RPLT|4LHND|6RCR|7TLV|8CDMG|9DMG
149	33431 15413	   	162.21	DCR|5VULN|1DMG	1BELT|23459VULN|6BEXP|7RCR|8RPLT|aDMG
150	22223 12622	   	162.20	DCR|3VULN|2DMG|1ASPD	159VULN|2LHND|3CGEN|4BEXP|6RCR|7ASPD|8aDMG
151	22223 12661	   	162.20	DCR|3VULN|2DMG|1ASPD	15aVULN|2LHND|3CGEN|4BEXP|6RCR|7ASPD|89DMG
152	22223 12662	   	162.20	DCR|3DMG|2VULN|1ASPD	15VULN|2LHND|3CGEN|4BEXP|6RCR|7ASPD|89aDMG
153	22263 12622	   	162.20	DCR|3VULN|2DMG|1ASPD	159VULN|2LHND|3CGEN|4FEWX|6RCR|7ASPD|8aDMG
154	22263 12661	   	162.20	DCR|3VULN|2DMG|1ASPD	15aVULN|2LHND|3CGEN|4FEWX|6RCR|7ASPD|89DMG
155	22263 12662	   	162.20	DCR|3DMG|2VULN|1ASPD	15VULN|2LHND|3CGEN|4FEWX|6RCR|7ASPD|89aDMG
156	22413 11216	   	162.20	DCR|3VULN|2DMG|1DUR	13aVULN|2LHND|4aTLV|5DUR|6RCR|7RCVC|8MLV|9aDMG|aBPWR
157	22623 12622	   	162.20	DCR|3VULN|2DMG|1ASPD	159VULN|2LHND|3FEWX|4CGEN|6RCR|7ASPD|8aDMG
158	22623 12661	   	162.20	DCR|3VULN|2DMG|1ASPD	15aVULN|2LHND|3FEWX|4CGEN|6RCR|7ASPD|89DMG
159	22623 12662	   	162.20	DCR|3DMG|2VULN|1ASPD	15VULN|2LHND|3FEWX|4CGEN|6RCR|7ASPD|89aDMG
160	23623 12622	   	162.20	DCR|3VULN|2DMG|1ASPD	159VULN|2LWND|3FEWX|4CGEN|6RCR|7ASPD|8aDMG
161	23623 12661	   	162.20	DCR|3VULN|2DMG|1ASPD	15aVULN|2LWND|3FEWX|4CGEN|6RCR|7ASPD|89DMG
162	23623 12662	   	162.20	DCR|3DMG|2VULN|1ASPD	15VULN|2LWND|3FEWX|4CGEN|6RCR|7ASPD|89aDMG
163	33421 63323	   	162.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1BELT|23VULN|47DUR|5BEXP|6CDMG|8DMG|9AART|aRCR
164	22233 12622	   	162.10	DCR|3VULN|2DMG|1ASPD	159VULN|2LHND|3CGEN|4DUST|6RCR|7ASPD|8aDMG
165	22233 12661	   	162.10	DCR|3VULN|2DMG|1ASPD	15aVULN|2LHND|3CGEN|4DUST|6RCR|7ASPD|89DMG
166	22233 12662	   	162.10	DCR|3DMG|2VULN|1ASPD	15VULN|2LHND|3CGEN|4DUST|6RCR|7ASPD|89aDMG
167	61433 11216	   	162.10	DCR|3VULN|2DMG|1DUR	1aDUST|2DUR|35aVULN|4ERES|6RCR|7RCVC|8MLV|9aDMG|aBPWR
168	24626 31313	   	162.09	ACR|3VULN|2DMG|1ZMB	19aVULN|2ZMB|39DMG|48FEWX|5RCR|6BEXP|79LHND|9BPWR
169	33261 35353	   	162.06	DCR|2VULN|2DMG|1CDMG|1ZMB	1BELT|29VULN|3FEWX|49DMG|5BEXP|6ZMB|7RCR|89LHND|9BPWR|aCDMG
