0	Index      	 *	Score 	Summary	Detail	
1	12551 15323	 * 	191.60	ACR|3VULN|3DMG|3ASPD	159LWND|28aASPD|3RCR|4BELT|69aVULN|79aDMG|9aBPWR
14	42561 11311	   	184.27	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56aVULN|6BPWR|8LEGI|9CDMG
15	42561 11231	 * 	183.57	ACR|2VULN|1AART|2ZMB|1CDMG|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|89ZMB|aCDMG
16	41133 22432	   	182.91	DCR|4VULN|1AART|1DMG|2DUR	1aDUR|2468VULN|3BASICY|5AART|7DMG|9RCR
17	41133 22635	   	182.91	DCR|4VULN|1AART|1DMG|2DUR	18DUR|246aVULN|3BASICY|5AART|7DMG|9RCR
18	24322 36623	 * 	182.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|79aVULN|8DUR
19	41351 16222	 * 	181.80	DCR|4VULN|2DMG|2DUR	18DUR|258aVULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9BEXP
20	21442 14111	 * 	181.73	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2BEXP|3LIT|4ZMB|56VULN|7FLTHEA|8CDMG|9RCR|aDMG
21	42561 11213	   	181.72	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	17DUR|26ASPD|3RCR|4AART|56aVULN|6BPWR|8ZMB|9RMIN
22	42561 12121	 * 	180.84	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|7ZMB|8FEWX|9CGEN|aDMG
23	42561 12131	   	180.84	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|7ZMB|8FEWX|9MLV|aDMG
24	42561 12221	   	180.84	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|7ZMB|8BEXP|9CGEN|aDMG
25	42561 12231	   	180.84	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|7ZMB|8BEXP|9MLV|aDMG
26	42561 22222	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|58VULN|69BELT|7aDMG
27	41133 42432	 * 	180.26	DCR|3VULN|2AART|1DMG|2DUR	1aDUR|248VULN|3BASICY|56AART|7DMG|9RCR
28	24322 36611	 * 	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|7aVULN|8DUR|9CDMG
29	42561 13323	   	179.53	ACR|4VULN|1AART|2ASPD|1DUR	1DUR|26ASPD|3RCR|4AART|569aVULN|6BPWR|78BEXP
30	42561 13311	   	179.07	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	1DUR|26ASPD|3RCR|4AART|56aVULN|6BPWR|78BEXP|9CDMG
31	24325 36323	 * 	179.05	ACR|3VULN|1AART|1DMG|2ZMB	1AART|2CGEN|35ZMB|4RCR|6DMG|79aVULN|8LEGI
32	41223 43122	 * 	178.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|35DMG|4LIT|6FEWX|7RCR|9AART|aZMB
33	41533 43122	   	178.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3LIT|45DMG|6FEWX|7RCR|9AART|aZMB
34	41433 14221	 * 	178.42	DCR|3VULN|1DMG|2ZMB|1CDMG|2DUR	15DUR|247VULN|3CDMG|6RCR|8aZMB|9DMG
35	11351 16252	 * 	178.06	DCR|3VULN|3DMG|1DUR	18LWND|258VULN|3CGEN|4FEWX|6RCR|789DMG|8BPWR|aDUR
36	31351 16252	   	178.06	DCR|3VULN|3DMG|1DUR	18LHND|258VULN|3CGEN|4FEWX|6RCR|789DMG|8BPWR|aDUR
37	41311 16231	 * 	177.92	DCR|4VULN|3DMG|3DUR|1MSE	18aDUR|258aVULN|39CGEN|4MSE|6RCR|78aDMG|8aBPWR
38	41311 16211	 * 	177.82	DCR|4VULN|3DMG|3DUR|2MSE	18aDUR|258aVULN|3CGEN|49MSE|6RCR|78aDMG|8aBPWR
39	41133 22433	   	177.62	DCR|4VULN|1AART|1DMG|1DUR	1DUR|2468VULN|3BASICY|5AART|7DMG|9RCR|aRPLT
40	41133 22436	   	177.62	DCR|4VULN|1AART|1DMG|1DUR	1DUR|2468VULN|3BASICY|5AART|7DMG|9RCR|aLWND
41	41433 12533	   	177.56	DCR|4VULN|1DMG|1CDMG|2DUR	15DUR|249aVULN|3CDMG|6RCR|7ERES|8DMG
42	41133 22434	   	177.52	DCR|4VULN|1AART|1DMG|1DUR	1DUR|2468VULN|3BASICY|5AART|7DMG|9RCR|aERES
43	24323 82425	   	177.34	ACR|2VULN|2DMG|1AART|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LHND|8BPWR|9aVULN
44	24323 83425	   	177.34	ACR|2VULN|2DMG|1AART|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LWND|8BPWR|9aVULN
45	42623 12133	   	177.20	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	19DUR|2ASPD|3aVULN|4LIT|5DMG|6RCR|7AART|8ZMB
46	24325 31115	 * 	177.15	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1AART|2CGEN|35ZMB|4RCR|6DMG|7BELT|8aVULN|9CDMG
47	24325 36111	   	177.15	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1AART|2CGEN|35ZMB|4RCR|6DMG|7aVULN|8FEWX|9CDMG
48	24325 36311	   	177.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1AART|2CGEN|35ZMB|4RCR|6DMG|7aVULN|8LEGI|9CDMG
49	41513 13126	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|248VULN|3LIT|5DUST|6ZMB|7RCR|9AART|aDMG
50	14613 14223	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1LWND|2RCVC|347aVULN|5CDMG|6RCR|8ZMB|9DMG
51	34613 14223	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1LHND|2RCVC|347aVULN|5CDMG|6RCR|8ZMB|9DMG
52	35613 14223	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	12LHND|347aVULN|5CDMG|6RCR|8ZMB|9DMG
53	34325 53231	   	175.95	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1LHND|2RCVC|3AART|4RCR|58ZMB|67VULN|9DMG|aCDMG
54	35325 53231	   	175.95	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	12LHND|3AART|4RCR|58ZMB|67VULN|9DMG|aCDMG
55	24323 81417	 * 	175.93	ACR|2DMG|1AART|2CDMG|2ZMB|2DUR	1AART|28aCGEN|3aZMB|4RCR|5MBVNT|68DMG|78DUR|8aBPWR|9aCDMG
56	61262 14111	   	175.86	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ASPD	1ASPD|2BEXP|3LIT|4AART|56VULN|7FLTHEA|8CDMG|9RCR|aDMG
57	24323 81427	 * 	175.80	ACR|2DMG|1AART|1VULN|3DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78aDUR|8BPWR|9VULN
58	42623 12123	 * 	175.76	DCR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1DUR|2ASPD|3aVULN|4LIT|5DMG|6RCR|7AART|89ZMB
59	41523 11613	 * 	175.73	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	178DUR|2VULN|38LIT|4RMIN|58DMG|6RCR|8BPWR|9AART|aCDMG
60	32561 34223	   	175.71	ACR|4VULN|1AART|2DUR|1ASPD	1LHND|2ASPD|3RCR|46DUR|579aVULN|8AART
61	42511 34223	   	175.71	ACR|4VULN|1AART|2DUR|1ASPD	16DUR|2ASPD|3RCR|4BEXP|579aVULN|8AART
62	63622 12225	   	175.43	DCR|3DMG|2VULN|3ASPD	19aASPD|29aLHND|38VULN|4LIT|59aDMG|6RCR|7LEGI|9aBPWR
63	12623 12225	   	175.43	DCR|3DMG|2VULN|3ASPD	19aLWND|29aASPD|38VULN|4LIT|59aDMG|6RCR|7LEGI|9aBPWR
64	32622 12225	   	175.43	DCR|3DMG|2VULN|3ASPD	19aLHND|29aASPD|38VULN|4LIT|59aDMG|6RCR|7LEGI|9aBPWR
65	24323 82421	   	175.40	ACR|3DMG|1AART|1VULN|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68aDMG|78LHND|8BPWR|9VULN
66	24323 83421	   	175.40	ACR|3DMG|1AART|1VULN|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68aDMG|78LWND|8BPWR|9VULN
67	42623 16123	   	175.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2ASPD|38aVULN|4LIT|5DMG|6RCR|7MLV|9AART
68	32561 34211	   	175.26	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	1LHND|2ASPD|3RCR|46DUR|57aVULN|8AART|9CDMG
69	42511 34211	   	175.26	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	16DUR|2ASPD|3RCR|4BEXP|57aVULN|8AART|9CDMG
70	24322 36323	   	175.20	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|79aVULN|8LEGI
71	24411 25121	   	175.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CGEN|3LIT|4ZMB|5LSRREG|6RCR|7aDMG|8CDMG|9VULN
72	12623 11225	   	175.17	DCR|4VULN|1DMG|3DUR|1ASPD	19aLWND|2ASPD|389aVULN|4LIT|5DMG|6RCR|79aDUR|9aBPWR
73	32622 11225	   	175.17	DCR|4VULN|1DMG|3DUR|1ASPD	19aLHND|2ASPD|389aVULN|4LIT|5DMG|6RCR|79aDUR|9aBPWR
74	22411 25121	   	175.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2ERES|3LIT|4ZMB|5LSRREG|6RCR|7aDMG|8CDMG|9VULN
75	42562 31121	 * 	175.03	ACR|2DMG|1AART|3ASPD|1CDMG|2DUR	18DUR|256ASPD|3RCR|4AART|78DMG|8BPWR|9CGEN|aCDMG
76	42562 31131	   	175.03	ACR|2DMG|1AART|3ASPD|1CDMG|2DUR	18DUR|256ASPD|3RCR|4AART|78DMG|8BPWR|9MLV|aCDMG
77	41133 42433	   	174.97	DCR|3VULN|2AART|1DMG|1DUR	1DUR|248VULN|3BASICY|56AART|7DMG|9RCR|aRPLT
78	41433 11223	   	174.56	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|24aVULN|3CDMG|6RCR|7RCVC|8ZMB|9DMG
79	41433 14222	   	174.56	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|247VULN|3CDMG|6RCR|8ZMB|9DMG|aBEXP
80	41351 16232	   	174.54	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|258VULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9CANHEL|aASPD
81	12551 12423	 * 	174.47	ACR|4VULN|3ZMB|2ASPD	159LWND|2aASPD|3RCR|4BELT|689aVULN|79aZMB|9aBPWR
82	41433 12531	   	174.46	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|249VULN|3CDMG|6RCR|7ERES|8DMG|aZMB
83	41311 16621	 * 	173.91	DCR|4VULN|3DMG|2DUR|1MSE	1aDUR|258aVULN|3CGEN|4MSE|6RCR|79aDMG|aBPWR
84	41265 31123	 * 	173.85	DCR|3VULN|2DMG|1CDMG|2DUR	16DUR|25aVULN|37DMG|46ERES|6BPWR|8CDMG|9RCR
85	31232 64363	 * 	173.71	DCR|3VULN|3CDMG|1DMG|2DUR	1LHND|26aVULN|3DMG|4VENICY|56aCDMG|6aBPWR|7RCR|8FEWX|9aDUR
86	24321 52623	 * 	173.63	ACR|3VULN|2AART|1ZMB|1ASPD	18AART|2CGEN|3ZMB|4RCR|5ASPD|69aVULN|7LHND
87	41313 46231	 * 	173.54	ACR|4VULN|3DMG|3DUR|1MSE	18aDUR|268aVULN|39CGEN|4MSE|5RCR|78aDMG|8aBPWR
88	24312 56223	   	173.46	DCR|4VULN|1AART|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4ASPD|569aVULN|7LHND|8RCR
89	41223 23534	 * 	173.45	DCR|3DMG|2VULN|1CDMG|1DUR	1DUR|29VULN|35aDMG|4LIT|6LHND|7RCR|8CDMG
90	41313 46211	 * 	173.44	ACR|4VULN|3DMG|3DUR|2MSE	18aDUR|268aVULN|3CGEN|49MSE|5RCR|78aDMG|8aBPWR
91	24323 82411	   	173.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LHND|8BPWR|9CDMG|aVULN
92	24323 83411	   	173.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LWND|8BPWR|9CDMG|aVULN
93	24322 36111	   	173.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|7aVULN|8FEWX|9CDMG
94	24322 31115	   	173.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|7BELT|8aVULN|9CDMG
95	41223 43123	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|28VULN|35DMG|4LIT|6FEWX|7RCR|9AART
96	41533 43123	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|28VULN|3LIT|45DMG|6FEWX|7RCR|9AART
97	24322 36311	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|7aVULN|8LEGI|9CDMG
98	41523 11612	   	173.08	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	178DUR|2VULN|38LIT|4RMIN|58DMG|6RCR|8BPWR|9AART|aZMB
99	23522 22442	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RMIN|39ERES|4RCR|5RCVC|6AIRHEL|79DMG|89VULN|9BPWR|aDUR
100	24312 56211	 * 	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4ASPD|56aVULN|7LHND|8RCR|9CDMG
101	24312 53211	   	172.91	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4ASPD|56aVULN|7DUST|8RCR|9CDMG
102	24313 31436	   	172.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6DMG|7BEXP|8aVULN|9RCR
103	24313 33436	   	172.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6DMG|7LHND|8aVULN|9RCR
104	41133 22632	 * 	172.63	DCR|3VULN|1AART|1DMG|3DUR	18aDUR|246VULN|3BASICY|5AART|7DMG|9RCR
105	41163 22432	   	172.63	DCR|3VULN|1AART|1DMG|3DUR	14aDUR|268VULN|3BASICY|5AART|7DMG|9RCR
106	45433 23233	 * 	172.56	ACR|5VULN|2CDMG|2DUR	18DUR|2LHND|38CDMG|4689aVULN|5RCR|7RCVC|8BPWR
107	42562 31111	   	172.38	ACR|2DMG|1AART|3ASPD|2DUR|1ZMB	18DUR|256ASPD|3RCR|4AART|78DMG|8BPWR|9LHND|aZMB
108	42623 12251	   	172.35	DCR|2VULN|2AART|1DMG|1DUR|1ASPD	1DUR|2ASPD|39VULN|4LIT|5DMG|6RCR|7aAART|8LWND
109	12552 42421	   	172.07	ACR|2VULN|2DMG|1AART|1ASPD	1aLWND|2ASPD|3RCR|4BELT|5MBVNT|6aVULN|7AART|8RPLT|9aDMG|aBPWR
110	31232 14332	 * 	172.03	DCR|3DMG|1AART|1VULN|1CDMG	1LHND|2VULN|369DMG|4VENICY|5CDMG|7RCR|8FEWX|aAART
111	24323 81422	   	171.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9VULN|aLIT
112	24323 81428	   	171.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9VULN|aRMIN
113	24323 81434	   	171.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9LWND|aVULN
114	24323 81454	   	171.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9LHND|aVULN
115	24323 81484	   	171.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9FEWX|aVULN
116	42623 12163	   	171.91	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2ASPD|3aVULN|4LIT|5DMG|6RCR|7AART|8ZMB|9DMSP
117	41323 11231	 * 	171.91	DCR|2VULN|2DMG|2FLTHEA|2DUR	17DUR|2aVULN|3CGEN|4LIT|5aDMG|6RCR|8VENICY|9aFLTHEA|aBPWR
118	41433 14233	 * 	171.88	DCR|3VULN|3ZMB|1CDMG|2DUR	15DUR|247VULN|3CDMG|6RCR|89aZMB
119	24323 81418	   	171.88	ACR|2DMG|1AART|2CDMG|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9aCDMG
120	24323 81423	   	171.88	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9VULN|aDUST
121	24323 81424	   	171.88	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9VULN|aTLV
122	41623 11231	   	171.81	DCR|2VULN|2DMG|2FLTHEA|2DUR	17DUR|2aVULN|3ERES|4LIT|5aDMG|6RCR|8VENICY|9aFLTHEA|aBPWR
123	24321 52611	 * 	171.62	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	18AART|2CGEN|3ZMB|4RCR|5ASPD|6aVULN|7LHND|9CDMG
124	21322 36423	   	171.24	ACR|3VULN|1AART|1DMG|1DUR	1AART|23BEXP|4RCR|5RCVC|6DMG|79aVULN|8DUR
125	65113 11623	   	171.21	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	19ASPD|2LIT|39VULN|48FEWX|5DMG|6RCR|79DUR|9BPWR|aAART
126	24323 83443	 * 	171.20	ACR|2AART|2DMG|1VULN|1ZMB	19AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LWND|8BPWR|aVULN
127	12623 11261	   	171.15	DCR|2VULN|2AART|1DMG|1DUR|1ASPD	1LWND|2ASPD|38VULN|4LIT|5DMG|6RCR|7DUR|9aAART
128	32622 11261	   	171.15	DCR|2VULN|2AART|1DMG|1ASPD|1DUR	1LHND|2ASPD|38VULN|4LIT|5DMG|6RCR|7DUR|9aAART
129	41221 43261	   	171.15	DCR|2VULN|2AART|1DMG|1ASPD|1DUR	1DUR|28VULN|3DMG|4LIT|5LHND|6RCR|7ASPD|9aAART
130	63622 11261	   	171.15	DCR|2VULN|2AART|1DMG|1ASPD|1DUR	1ASPD|2LHND|38VULN|4LIT|5DMG|6RCR|7DUR|9aAART
131	23522 36623	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1AART|2RMIN|3ERES|4RCR|5RCVC|6DMG|79aVULN|8DUR
132	11351 16251	   	171.12	DCR|3VULN|3DMG	18LWND|258VULN|3CGEN|4FEWX|6RCR|789DMG|8BPWR|aMLV
133	11351 16253	   	171.12	DCR|3VULN|3DMG	18LWND|258VULN|3CGEN|4FEWX|6RCR|789DMG|8BPWR|aLIT
134	11351 16351	   	171.12	DCR|3VULN|3DMG	1aLWND|25aVULN|3CGEN|48FEWX|6RCR|79aDMG|aBPWR
135	31351 16251	   	171.12	DCR|3VULN|3DMG	18LHND|258VULN|3CGEN|4FEWX|6RCR|789DMG|8BPWR|aMLV
136	31351 16253	   	171.12	DCR|3VULN|3DMG	18LHND|258VULN|3CGEN|4FEWX|6RCR|789DMG|8BPWR|aLIT
137	31351 16351	   	171.12	DCR|3VULN|3DMG	1aLHND|25aVULN|3CGEN|48FEWX|6RCR|79aDMG|aBPWR
138	34321 53623	   	171.01	ACR|4VULN|1AART|1ASPD|1DUR	1LHND|2RCVC|3AART|4RCR|5ASPD|679aVULN|8DUR
139	35321 53623	   	171.01	ACR|4VULN|1AART|1ASPD|1DUR	12LHND|3AART|4RCR|5ASPD|679aVULN|8DUR
140	24312 66223	   	170.81	DCR|3VULN|2AART|1ZMB|1ASPD	16AART|2CGEN|3ZMB|4ASPD|59aVULN|7LHND|8RCR
141	24313 16223	   	170.81	DCR|3VULN|2AART|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|69aVULN|7LHND|8RCR
142	24313 56223	   	170.81	DCR|3VULN|2AART|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6LHND|79aVULN|8RCR
143	45433 23231	   	170.73	ACR|4VULN|2CDMG|2DUR|1ZMB	18DUR|2LHND|38CDMG|4689VULN|5RCR|7RCVC|8BPWR|aZMB
144	23232 14111	   	170.73	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1AART|2RMIN|3BEXP|4LIT|56VULN|7FLTHEA|8CDMG|9RCR|aDMG
145	23331 14111	   	170.73	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2RMIN|36VULN|4LIT|5LHND|7FLTHEA|8CDMG|9RCR|aDMG
146	23333 14111	   	170.73	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1AART|2RMIN|36VULN|4LIT|5FEWX|7FLTHEA|8CDMG|9RCR|aDMG
147	23334 14111	   	170.73	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2RMIN|36VULN|4LIT|5LWND|7FLTHEA|8CDMG|9RCR|aDMG
148	23335 14111	   	170.73	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1AART|2RMIN|36VULN|4LIT|5BEXP|7FLTHEA|8CDMG|9RCR|aDMG
149	42561 11121	   	170.72	ACR|3VULN|1AART|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|569VULN|6BPWR|8aFEWX
150	42561 11122	   	170.72	ACR|3VULN|1AART|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|569VULN|6BPWR|8FEWX|aLHND
151	42561 11123	   	170.72	ACR|3VULN|1AART|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|569VULN|6BPWR|8FEWX|aLIT
152	32622 11265	   	170.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2ASPD|38VULN|4LIT|5DMG|6RCR|7DUR|9AART|aZMB
153	23322 25342	   	170.63	DCR|3VULN|2AART|1DMG	18AART|2RMIN|367VULN|46MLV|5RCVC|6BPWR|9RCR|aDMG
154	23332 14111	   	170.63	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2RMIN|35VULN|4LIT|6LEGI|7FLTHEA|8CDMG|9RCR|aDMG
155	22341 68316	 * 	170.62	DCR|2AART|2VULN|1DMG|1FLTHEA	1aAART|2ERES|3MBVNT|47VULN|5TLV|6FLTHEA|8RCR|9DMG
156	42561 11321	   	170.62	ACR|3VULN|1AART|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|569VULN|6BPWR|8LEGI|aFEWX
157	34321 53611	   	170.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1LHND|2RCVC|3AART|4RCR|5ASPD|67aVULN|8DUR|9CDMG
158	35321 53611	   	170.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	12LHND|3AART|4RCR|5ASPD|67aVULN|8DUR|9CDMG
159	24323 81244	   	170.54	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1AART|2aCGEN|3aZMB|4RCR|5MBVNT|6DMG|7DUR|8BELT|9aVULN|aBPWR
160	24322 22442	   	170.54	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1AART|29CGEN|39ZMB|4RCR|5RCVC|6AIRHEL|7DMG|89VULN|9BPWR|aDUR
161	23322 65342	   	170.53	DCR|3VULN|2AART|1DMG	18AART|2RMIN|367VULN|4MLV|5RCVC|9RCR|aDMG
162	42561 11322	   	170.52	ACR|3VULN|1AART|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|569VULN|6BPWR|8LEGI|aDUST
163	24325 31153	 * 	170.44	ACR|2DMG|1AART|1VULN|2ZMB|1DUR	1AART|2CGEN|35ZMB|4RCR|69DMG|7BELT|8VULN|aDUR
