0	Index      	 *	Score 	Summary	Detail	
1	14258 47444	 * 	199.42	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|28DUST|38aVULN|4AART|5CDMG|6ZMB|78DMG|8BPWR|9RCR
38	63132 33626	   	176.87	DCR|3VULN|2DMG|1AART	1AART|23aCGEN|3aBPWR|48aVULN|5MLV|6LIT|7aDMG|9RCR
39	63232 33626	   	176.87	DCR|3VULN|2DMG|1AART	1AART|23aCGEN|48aVULN|5MLV|6LIT|7aDMG|9RCR|aBPWR
40	41115 11135	   	176.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9aCDMG
41	41315 11135	   	176.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9aCDMG
42	62346 11131	 * 	176.73	DCR|2AART|2VULN|1DMG|1CDMG	12AART|3RCVC|4aVULN|5LHND|6LWND|7RCR|8DMG|9CDMG
43	25142 31251	 * 	176.12	DCR|4VULN|1AART|2ZMB|2ASPD	17BASHEA|2458VULN|37ASPD|67ZMB|7BPWR|9RCR|aAART
44	64324 31131	   	175.98	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2aVULN|3RMIN|4ASPD|5RCR|6DUR|7RCVC|8DMG|9CDMG
45	11516 27424	   	175.77	DCR|3DMG|2VULN|1AART	1MBVNT|28aDMG|3NUKE|48VULN|5RMIN|6AART|7RCVC|8BPWR|9RCR
46	17112 43467	   	175.54	ACR|3VULN|2DMG|1CDMG|1ZMB	1MBVNT|29LHND|3CDMG|4DLOT|5RCR|69DMG|789VULN|9BPWR|aZMB
47	11641 24285	 * 	175.50	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|29DMG|3ERES|49ASPD|5LIT|6DUR|7AART|89VULN|9BPWR|aRCR
48	12541 63642	   	175.47	DCR|3VULN|2DMG|1AART	1MBVNT|2BELT|39LWND|4ERES|59aVULN|69DMG|7AART|8RCR|9BPWR
49	12841 63642	   	175.37	DCR|3VULN|2DMG|1AART	1MBVNT|2BELT|39ERES|4LWND|59aVULN|69DMG|7AART|8RCR|9BPWR
50	14258 62441	   	175.28	DCR|3VULN|1AART|2CDMG|1ZMB	1MBVNT|28DUST|38aVULN|4AART|58CDMG|6RCR|7DMSP|8BPWR|9ZMB
51	61233 33561	   	175.07	DCR|3VULN|2AART|1DMG|1DUR	16AART|2BEXP|3MLV|479VULN|5DUR|8DMG|aRCR
52	11273 83227	   	174.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MBVNT|26DMG|3DUST|4DUR|5AART|7VULN|8RCR|9ZMB|aCDMG
53	14218 31416	   	174.58	DCR|3DMG|1AART|1VULN|1ZMB	1MBVNT|2DUST|3VULN|4LSRHEA|5AART|6RCR|78aDMG|9ZMB
54	42515 11123	   	174.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2FEWX|34VULN|5AART|6LWND|7RCR|8DMG|9ZMB|aCDMG
55	11223 83746	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2aDMG|3DUST|4BEXP|5AART|69VULN|7CDMG|8RCR
56	41115 11235	   	174.36	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8RPLT|9aDMG
57	41315 11235	   	174.36	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8RPLT|9aDMG
58	14123 41832	   	174.33	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2DUST|3CDMG|4FEWX|578VULN|6RCR|9DMG|aAART
59	41115 11116	   	174.26	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8aDMG|9ERES
60	41315 11116	   	174.26	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8aDMG|9ERES
61	25353 51231	 * 	174.19	DCR|5VULN|2AART	1BASHEA|2357aVULN|4DUST|68AART|9RCR
62	55131 15111	   	174.17	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1SELL|2ZMB|3BELT|4CDMG|56VULN|7RCR|8DMG|9ASPD|aAART
63	64531 23232	 * 	174.03	ACR|3VULN|1AART|1DMG|2DUR	1AART|26aVULN|37DUR|4RPLT|5RCR|8MBVNT|9DMG
64	17154 33444	   	174.02	DCR|3VULN|1AART|2CDMG|1ZMB|1ASPD	1MBVNT|28LHND|38CDMG|4ASPD|5ZMB|6AART|78aVULN|8BPWR|9RCR
65	64324 32332	   	173.77	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2aVULN|3RMIN|4ASPD|5RCR|6DUR|7BEXP|8CDMG|9DMG
66	11516 23421	   	173.57	DCR|3VULN|2DMG|1AART	1MBVNT|28DMG|3NUKE|478VULN|5RMIN|6AART|8BPWR|9RCR|aFEWX
67	11516 23422	   	173.57	DCR|3VULN|2DMG|1AART	1MBVNT|28DMG|3NUKE|478VULN|5RMIN|6AART|8BPWR|9RCR|aLIT
68	11516 23423	   	173.57	DCR|3VULN|2DMG|1AART	1MBVNT|28DMG|3NUKE|478VULN|5RMIN|6AART|8BPWR|9RCR|aLHND
69	11516 23428	   	173.57	DCR|3VULN|2DMG|1AART	1MBVNT|28DMG|3NUKE|478VULN|5RMIN|6AART|8BPWR|9RCR|aBEXP
70	11516 23427	   	173.47	DCR|3VULN|2DMG|1AART	1MBVNT|28DMG|3NUKE|478VULN|5RMIN|6AART|8BPWR|9RCR|aERES
71	64324 12131	   	173.45	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2aVULN|3RMIN|46ASPD|5RCR|7FEWX|8DMG|9CDMG
72	11616 41134	 * 	173.44	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1MBVNT|2aDMG|3ERES|49VULN|5RCR|6SELL|7AART|8CDMG
73	16516 41134	 * 	173.44	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1MBVNT|2ERES|3aDMG|49VULN|5RCR|6SELL|7AART|8CDMG
74	62432 11131	   	173.32	DCR|2AART|2VULN|1DMG|1CDMG	12AART|3CGEN|4aVULN|5MLV|6LWND|7RCR|8DMG|9CDMG
75	62432 41131	   	173.22	DCR|2AART|2VULN|1DMG|1CDMG	12AART|3CGEN|4aVULN|5MLV|6DUST|7RCR|8DMG|9CDMG
76	62433 11131	   	173.22	DCR|2AART|2VULN|1DMG|1CDMG	12AART|3CGEN|4aVULN|5TLV|6LWND|7RCR|8DMG|9CDMG
77	62433 41131	   	173.12	DCR|2AART|2VULN|1DMG|1CDMG	12AART|3CGEN|4aVULN|5TLV|6DUST|7RCR|8DMG|9CDMG
78	11616 27234	 * 	173.08	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2aDMG|3ERES|47VULN|5RCR|6LHND|8AART|9CDMG
79	62523 23433	   	173.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12AART|3DMG|4LHND|5FEWX|6DUR|78VULN|9CDMG|aRCR
80	62534 23333	   	173.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12AART|3DMG|47VULN|5FEWX|6DUR|8BEXP|9CDMG|aRCR
81	62563 23333	   	173.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12AART|3DMG|4FEWX|57VULN|6DUR|8BEXP|9CDMG|aRCR
82	14218 32621	   	173.02	DCR|2AART|2VULN|1DMG|1CDMG	1MBVNT|2DUST|37VULN|4LSRHEA|5aAART|6RCR|8CDMG|9DMG
83	41115 61231	   	173.01	DCR|4VULN|2AART|1DUR	1RCVC|247aVULN|3DUR|58AART|6BASICY|9RCR
84	41315 61231	   	173.01	DCR|4VULN|2AART|1DUR	1RCVC|237aVULN|3BPWR|4DUR|58AART|6BASICY|9RCR
85	61322 35632	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2BEXP|3LWND|4MLV|5CDMG|6aVULN|7RCR|8ZMB|9DMG
86	11511 45832	 * 	172.83	DCR|3DMG|2VULN|2CDMG	1MBVNT|29aDMG|3NUKE|48VULN|5aFEWX|6aCDMG|7RCR|aBPWR
87	61232 25632	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2BEXP|3MLV|4aVULN|5CDMG|6LEGI|7RCR|8ZMB|9DMG
88	11223 83742	   	172.53	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2DMG|3DUST|4BEXP|5AART|69aVULN|7CDMG|8RCR
89	62532 32226	   	172.46	DCR|2AART|2VULN|2DMG	12AART|3aDMG|4aVULN|5MLV|6LIT|7DMSP|8aTLV|9RCR|aBPWR
90	14218 31447	   	172.45	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2DUST|39VULN|4LSRHEA|5AART|6RCR|78DMG|aASPD
91	14218 31235	   	172.45	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2DUST|39VULN|4LSRHEA|5AART|6RCR|7aDMG|8DUR
92	41115 11232	   	172.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|24aVULN|3DUR|5AART|6LWND|7RCR|8RPLT|9DMG
93	41315 11232	   	172.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|23aVULN|3BPWR|4DUR|5AART|6LWND|7RCR|8RPLT|9DMG
94	41515 11232	   	172.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|23aVULN|4DUR|5AART|6LWND|7RCR|8RPLT|9DMG
95	14258 47144	   	172.39	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1MBVNT|2DUST|3aVULN|4AART|58CDMG|6ZMB|7DMG|9RCR
96	61612 22742	   	172.38	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|29BEXP|3LEGI|4ZMB|59CDMG|69aVULN|7MBVNT|8RCR|9BPWR
97	61432 33521	   	172.28	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|2BEXP|3ERES|467VULN|59CDMG|8RCR|aZMB
98	18512 61123	   	172.27	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2TLV|36DMG|46VULN|5RPLT|6BPWR|7AART|8CDMG|9RCR|aRCVC
99	64512 11233	 * 	172.26	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	1AART|289VULN|3DUR|48ZMB|5CDMG|6BEXP|78FEWX|8BPWR|aRCR
100	14231 26424	 * 	171.73	DCR|3VULN|1AART|1DMG|2ASPD	1MBVNT|28DUST|358VULN|48ASPD|6AART|7RCVC|8BPWR|9RCR|aDMG
101	17231 14427	   	171.63	DCR|3VULN|1AART|1DMG|2ASPD	1MBVNT|28LHND|358VULN|48ASPD|6RCVC|7AART|8BPWR|9RCR|aDMG
102	11271 17437	 * 	171.56	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|27DMG|3DUST|467DUR|57VULN|7BPWR|8ERES|9RCR|aAART
103	52554 41134	   	171.23	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2ERES|3MBVNT|49VULN|5ZMB|6RCR|7AART|8CDMG|aDMG
104	62162 32263	 * 	171.21	ACR|3VULN|3AART|1CDMG	124AART|3LIT|5RCR|6FEWX|79aVULN|8CDMG
105	64111 43132	   	171.14	ACR|2AART|2VULN|1DMG|1CDMG	17AART|28VULN|3LSRREG|4ERES|5RCR|6CDMG|9FEWX|aDMG
106	64211 43132	   	171.14	ACR|2AART|2VULN|1DMG|1CDMG	17AART|28VULN|3BASHEA|4ERES|5RCR|6CDMG|9FEWX|aDMG
107	14253 46347	 * 	171.13	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1MBVNT|29DUST|39VULN|4AART|5FEWX|6DMG|79ASPD|8RCR|9BPWR|aCDMG
108	62162 12273	   	171.11	ACR|3VULN|3AART|1CDMG	124AART|3LIT|5RCR|6MBVNT|79aVULN|8CDMG
109	64111 43112	   	171.04	ACR|2AART|2VULN|1DMG|1CDMG	17AART|28VULN|3LSRREG|4ERES|5RCR|6CDMG|9DUST|aDMG
110	64211 43112	   	171.04	ACR|2AART|2VULN|1DMG|1CDMG	17AART|28VULN|3BASHEA|4ERES|5RCR|6CDMG|9DUST|aDMG
111	18512 61122	   	170.96	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2TLV|36DMG|46VULN|5RPLT|6BPWR|7AART|8CDMG|9RCR|aCGEN
112	62231 65322	 * 	170.95	DCR|3VULN|2AART|1FLTHEA|1DUR	12AART|3ERES|46aVULN|5LHND|7DUR|8FLTHEA|9RCR
113	18512 61121	   	170.86	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2TLV|36DMG|46VULN|5RPLT|6BPWR|7AART|8CDMG|9RCR|aERES
114	54214 22211	 * 	170.80	ACR|1AART|1DMG|2CDMG|2ASPD|2DUR|1ZMB|1SELL	1SELL|29CDMG|3RCR|4RCVC|5AART|6ZMB|79DUR|89ASPD|9BPWR|aDMG
115	11511 41443	   	170.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1MBVNT|28DMG|3NUKE|4VULN|58FEWX|68CDMG|7AART|8BPWR|9RCR|aZMB
116	64531 31232	 * 	170.72	ACR|2VULN|1AART|3ZMB|3DUR	1AART|28VULN|368DUR|4RPLT|5RCR|78aZMB|8BPWR|9TLV
117	62432 11126	   	170.68	DCR|2AART|2DMG|1VULN|1ZMB	12AART|3CGEN|4VULN|5MLV|6LWND|7RCR|8aDMG|9ZMB
118	61312 22746	   	170.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|29BEXP|39LWND|4ZMB|5CDMG|69VULN|7MBVNT|8RCR|9BPWR|aDMG
119	62433 11126	   	170.58	DCR|2AART|2DMG|1VULN|1ZMB	12AART|3CGEN|4VULN|5TLV|6LWND|7RCR|8aDMG|9ZMB
120	12111 63267	 * 	170.53	DCR|3VULN|2DMG|2CDMG	1MBVNT|2BELT|39CDMG|4MLV|59DMG|6RMIN|79aVULN|8RCR|9BPWR
121	14218 31485	   	170.52	DCR|3DMG|1AART|1VULN|1DUR	1MBVNT|2DUST|3VULN|4LSRHEA|5AART|6RCR|78aDMG|9DUR
122	14218 32276	   	170.52	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2DUST|378VULN|4LSRHEA|5AART|6RCR|9DUR|aDMG
123	11446 64342	   	170.45	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|29DMG|3LWND|4RMIN|5AART|69FEWX|7RCR|89VULN|9BPWR|aASPD
124	11446 64344	   	170.45	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|3LWND|4RMIN|5AART|69FEWX|7RCR|89VULN|9BPWR|aDUR
125	14218 32235	   	170.45	DCR|5VULN|1AART	1MBVNT|2aDUST|3789aVULN|4aLSRHEA|5AART|6RCR|aBPWR
126	64531 21212	   	170.43	ACR|3VULN|1AART|2ZMB|2DUR	1AART|268VULN|38DUR|4RPLT|5RCR|78ZMB|8BPWR|9CGEN|aRCVC
127	41115 11132	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aFEWX
128	41115 11133	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aRMIN
129	41115 11134	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aBELT
130	41115 11136	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aBEXP
131	41315 11132	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aFEWX
132	41315 11133	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aRMIN
133	41315 11134	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aBELT
134	41315 11136	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aBEXP
135	41515 11132	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aFEWX
136	41515 11133	   	170.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG|aRMIN
137	61313 33562	   	170.42	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	16AART|2BEXP|3LWND|4ZMB|5DUR|79VULN|8DMG|aRCR
138	62523 23262	   	170.42	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	12AART|3DMG|4LHND|5FEWX|6DUR|79VULN|8ZMB|aRCR
139	62523 23422	   	170.42	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	12AART|3DMG|4LHND|5FEWX|6DUR|78VULN|9ZMB|aRCR
140	62534 23322	   	170.42	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	12AART|3DMG|47VULN|5FEWX|6DUR|8BEXP|9ZMB|aRCR
141	62563 23322	   	170.42	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	12AART|3DMG|4FEWX|57VULN|6DUR|8BEXP|9ZMB|aRCR
142	64531 21221	   	170.33	ACR|3VULN|1AART|2ZMB|2DUR	1AART|268VULN|38DUR|4RPLT|5RCR|78ZMB|8BPWR|9DUST|aRCVC
143	41115 41132	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6DUST|7RCR|8DMG|9CDMG|aFEWX
144	41115 41133	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6DUST|7RCR|8DMG|9CDMG|aRMIN
145	41315 41132	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6DUST|7RCR|8DMG|9CDMG|aFEWX
146	41315 41133	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6DUST|7RCR|8DMG|9CDMG|aRMIN
147	41115 11113	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9ERES|aCDMG
148	41315 11113	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9ERES|aCDMG
149	41515 11113	   	170.32	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|4DUR|5AART|6LWND|7RCR|8DMG|9ERES|aCDMG
150	41115 41113	   	170.22	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24VULN|3DUR|5AART|6DUST|7RCR|8DMG|9ERES|aCDMG
151	41315 41113	   	170.22	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6DUST|7RCR|8DMG|9ERES|aCDMG
152	13572 41634	   	170.15	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2LIT|3DUR|4ERES|58VULN|6RCR|7aDMG|9AART
153	62346 11123	   	170.14	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	12AART|3RCVC|4VULN|5LHND|6LWND|7RCR|8DMG|9ZMB|aCDMG
154	11616 11214	 * 	169.95	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2DMG|3ERES|489VULN|5RCR|6LIT|7CDMG|aAART
155	16516 11214	   	169.95	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2ERES|3DMG|489VULN|5RCR|6LIT|7CDMG|aAART
156	18516 11214	   	169.95	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2TLV|3DMG|489VULN|5RCR|6LIT|7CDMG|aAART
157	14231 21427	 * 	169.88	DCR|4VULN|1AART|3ASPD	1MBVNT|28DUST|358aVULN|478ASPD|6AART|8BPWR|9RCR
158	14281 23424	 * 	169.88	DCR|4VULN|1AART|1DMG	1MBVNT|28DUST|3578VULN|4NUKE|6AART|8BPWR|9RCR|aDMG
159	11471 17181	   	169.86	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|27DMG|3LWND|467DUR|57VULN|7BPWR|8LSRHEA|9AART|aRCR
160	11471 17381	   	169.86	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|27DMG|3LWND|467DUR|57VULN|7BPWR|8LSRREG|9AART|aRCR
