0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26348 34431	9	 * 	277.19	橙4易伤3伤害1时间	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a时间
49	46533 11123	5	 * 	252.08	橙3易伤2等级1伤害1时间1攻速	1挖青249易伤3时间58等级6伤害7攻速a核
50	26524 21122	5	   	252.05	橙3易伤3伤害1暴击	1双倍矿2立即金币347伤害47序列升级57策反678易伤9核a暴击
51	16321 46132	1	 * 	252.05	橙3易伤2时间1伤害1等级	17策反2赏金邻近3伤害47时间5赏金塔679易伤7序列升级8等级a核
52	14353 23153	2	 * 	252.02	橙4易伤2时间1暴击	1策反2暴击3689易伤4平台57时间a核
53	26348 34134	8	   	251.95	橙3易伤3伤害1暴击	1双倍矿2立即金币3加一467伤害567易伤67序列升级8暴击9基地爆炸a核
54	26348 34144	9	   	251.95	橙3易伤3伤害1暴击	1双倍矿2立即金币3加一467伤害567易伤67序列升级8暴击9基地爆炸a核
55	26348 34154	9	   	251.95	橙3易伤3伤害1暴击	1双倍矿2立即金币3加一467伤害567易伤67序列升级8暴击9敌人爆炸a核
56	46533 13123	5	   	251.95	橙3易伤2时间1伤害1等级	1挖青248易伤37时间5等级6伤害9策反a核
57	26348 34114	9	   	251.85	橙3易伤3伤害1暴击	1双倍矿2立即金币3加一467伤害567易伤67序列升级8暴击9挖尘a核
58	42622 24323	9	   	251.75	橙3易伤3伤害1暴击	1挖青2a掉矿36a易伤4金币生成5暴击79a伤害8核a序列升级
59	46322 24323	9	   	251.75	橙3易伤3伤害1暴击	1挖青26a易伤3a掉矿4金币生成5暴击79a伤害8核a序列升级
60	41532 13131	5	 * 	251.60	橙4易伤3时间	1挖青27挖尘367时间467a易伤5额外掉落67序列升级8敌人爆炸9核
61	41532 13431	5	   	251.60	橙4易伤3时间	1挖青27挖尘367时间467a易伤5额外掉落67序列升级8最后敌人9核
62	41532 13531	5	   	251.60	橙4易伤3时间	1挖青27挖尘367时间467a易伤5额外掉落67序列升级8低血量敌人9核
63	41535 13131	4	   	251.60	橙4易伤3时间	1挖青27挖尘367时间467a易伤5额外掉落67序列升级8敌人爆炸9核
64	22323 15312	5	   	251.32	橙3易伤3时间1暴击	1双倍矿278金币生成378时间4暴击5雷电678易伤78序列升级9立即金币a核
65	11353 24631	1	   	251.29	橙3易伤2时间1等级1攻速	1策反237易伤4雷电5攻速6a时间8等级9核
66	41333 16532	1	   	251.08	橙3易伤2伤害2全技能1攻速	1挖青29伤害369易伤49敌人爆炸57全技能8核9序列升级a攻速
67	12264 31612	9	 * 	250.73	橙3易伤2攻速1伤害1等级1核弹	1策反2核弹356易伤46攻速6序列升级7等级8伤害9核a雷电
68	11353 24632	1	   	250.36	橙3易伤1时间1等级1暴击1攻速	1策反237易伤4雷电5攻速6时间8等级9核a暴击
69	11315 31642	1	   	249.80	橙3易伤2伤害1时间1攻速	1策反235易伤4额外掉落68伤害7攻速9时间a核
70	26348 31416	10	   	249.80	橙3易伤2伤害1等级1攻速	1双倍矿2立即金币3加一46伤害56a易伤6序列升级7等级8攻速9核
71	46611 21121	3	   	249.72	橙3易伤2等级1时间2雷电1暴击	1挖青24a易伤3暴击5a雷电6时间7低血量敌人8核9a等级a序列升级
72	46611 21121	4	   	249.72	橙3易伤2等级1时间2雷电1暴击	1挖青24a易伤3暴击5a雷电6时间7低血量敌人8核9a等级a序列升级
73	31315 31642	1	   	249.70	橙3易伤2伤害1时间1攻速	1掉矿235易伤4额外掉落68伤害7攻速9时间a核
74	46611 22121	3	   	249.62	橙3易伤2等级1时间2雷电1暴击	1挖青24a易伤3暴击5a雷电6时间7挖尘8核9a等级a序列升级
75	46611 22121	4	   	249.62	橙3易伤2等级1时间2雷电1暴击	1挖青24a易伤3暴击5a雷电6时间7挖尘8核9a等级a序列升级
76	21133 15346	5	 * 	249.00	橙4易伤3暴击2雷电	1双倍矿278暴击378a低血量敌人4金币生成5a雷电678a易伤78a序列升级9核
77	53242 21161	9	   	248.46	橙3易伤1伤害1等级1时间1攻速	1基地爆炸2平台3伤害4攻速5等级6核78a易伤9时间
78	32242 26336	5	   	248.15	橙4易伤1等级1时间1核弹	1掉矿2核弹3457易伤6时间8雷电9核a等级
79	26348 34353	10	   	247.96	橙3易伤3伤害1全技能	1双倍矿2立即金币3加一467伤害567易伤67序列升级8金币生成9核a全技能
80	26223 12626	8	 * 	247.57	橙4易伤2等级1伤害	1双倍矿2立即金币34等级4序列升级5679易伤8核a伤害
81	46153 33322	9	 * 	247.47	橙4易伤3雷电2等级	1挖青267a易伤3平台478雷电57等级7序列升级9核
82	62513 12314	8	 * 	247.39	橙2易伤2时间2攻速2暴击2全技能1卖塔	1卖塔23全技能48时间58攻速6核78暴击8序列升级9a易伤
83	23242 41311	6	   	247.24	橙5易伤1伤害	1双倍矿27基地爆炸34567易伤7序列升级8低血量敌人9伤害a核
84	52242 41311	6	   	247.24	橙5易伤1伤害	17基地爆炸2立即金币34567易伤7序列升级8低血量敌人9伤害a核
85	11233 34632	1	   	247.21	橙3易伤2伤害1等级	1策反267易伤3基地爆炸4雷电56伤害6序列升级8等级9核a最后敌人
86	11233 34634	1	   	247.21	橙3易伤2伤害1等级	1策反267易伤3基地爆炸4雷电56伤害6序列升级8等级9核a金币生成
87	11233 34635	1	   	247.21	橙3易伤2伤害1等级	1策反267易伤3基地爆炸4雷电56伤害6序列升级8等级9核a立即金币
88	11233 34636	1	   	247.21	橙3易伤2伤害1等级	1策反267易伤3基地爆炸4雷电56伤害6序列升级8等级9核a敌人爆炸
89	11533 34632	1	   	247.21	橙3易伤2伤害1等级	1策反267易伤3敌人爆炸4雷电56伤害6序列升级8等级9核a最后敌人
90	53233 34632	1	   	247.21	橙3易伤2伤害1等级	1基地爆炸267易伤3策反4雷电56伤害6序列升级8等级9核a最后敌人
