0	Index      	 *	Score 	Summary	Detail	
1	32826 52114	 * 	333.65	ACR|ACR|3VULN|1TLV|1AEPOI|1CDMG	1MBVNT|267VULN|3CDMG|45RCR|8LHND|9AEPOI|aTLV
19	32826 51414	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1MBVNT|26VULN|3CDMG|45RCR|7AAC|8AME|9AEPOI|aTLV
20	32826 41833	   	308.76	ACR|ACR|2VULN|1TLV|1AEBURN|1CDMG	1MBVNT|2aVULN|3CDMG|45RCR|6MDPS|7AEBURN|8TLV|9LEGI
21	32826 11833	 * 	306.49	ACR|ACR|3VULN|2DMG|1CDMG|2RAT	1MBVNT|29aVULN|3CDMG|45RCR|6LEGI|79DMG|89RAT|9BPWR
22	32826 52443	   	306.32	ACR|ACR|3VULN|1AEFBLL|1DMG|1CDMG|1AART	1MBVNT|267VULN|3CDMG|45RCR|8AART|9AEFBLL|aDMG
23	35422 16135	   	306.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|5aVULN|6AAC|8TLV|9LWND
24	35422 16141	   	306.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aBEXP
25	35422 16142	   	306.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aDMSP
26	35422 16145	   	306.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aCGEN
27	35422 16146	   	306.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aRPLT
28	35422 16115	   	306.21	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|5aVULN|6AAC|8TLV|9DUST
29	35422 16125	   	306.21	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|5aVULN|6AAC|8TLV|9CANSTR
30	35422 16148	   	306.21	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aDUST
31	35422 33281	 * 	305.48	ACR|3VULN|2TLV|1DMG|2AEBURN|1AART	1MBVNT|29AEBURN|3AART|4RCR|59aVULN|6LWND|7DMG|89TLV|9BPWR
32	32826 41813	   	305.38	ACR|ACR|1TLV|1VULN|2CDMG|1DMG|1AEBURN	1MBVNT|2VULN|39CDMG|45RCR|6MDPS|7AEBURN|8TLV|aDMG
33	41333 11523	   	304.67	ACR|3VULN|1TLV|2DMG|2CDMG|2DUR	18DMG|2RCR|356VULN|48CDMG|78DUR|8BPWR|9TLV|aLHND
34	41333 11525	   	304.67	ACR|3VULN|1TLV|2DMG|2CDMG|2DUR	18DMG|2RCR|356VULN|48CDMG|78DUR|8BPWR|9TLV|aCGEN
35	41333 11526	   	304.67	ACR|3VULN|1TLV|2DMG|2CDMG|2DUR	18DMG|2RCR|356VULN|48CDMG|78DUR|8BPWR|9TLV|aLWND
36	41333 11522	   	304.57	ACR|3VULN|1TLV|2DMG|2CDMG|2DUR|1MSE	18DMG|2RCR|356VULN|48CDMG|78DUR|8BPWR|9TLV|aMSE
37	41333 11524	   	304.57	ACR|3VULN|1TLV|2DMG|2CDMG|2DUR	18DMG|2RCR|356VULN|48CDMG|78DUR|8BPWR|9TLV|aDLOT
