0	Index      	 *	Score 	Summary	Detail	
1	43261 53332	 * 	295.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AEPOI	1LIT|2aVULN|3AEPOI|4TLV|58RCR|6ERES|7CGEN|9AEBURN
23	64511 11332	   	273.56	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG|1DUR|1MSE	1AEBURN|2TLV|3DUR|4LIT|58RCR|6MSE|7VULN|9CGEN|aCDMG
24	64511 11312	   	273.46	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG|1DUR|2MSE	1AEBURN|2TLV|3DUR|4LIT|58RCR|69MSE|7VULN|aCDMG
25	64511 11322	   	273.46	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG|1DUR|1MSE	1AEBURN|2TLV|3DUR|4LIT|58RCR|6MSE|7VULN|9ERES|aCDMG
26	11561 51332	   	272.39	ACR|DCR|1TLV|1VULN|1AEFBLL	1CGEN|2ERES|3LIT|4TLV|58RCR|6FEWX|7AEFBLL|9RAT|aVULN
27	32142 12236	 * 	272.39	DCR|DCR|1TLV|2DMG|1AEPOI	15FEWX|2RAT|3LIT|48DMG|6AEPOI|79RCR|aTLV
28	31561 11341	   	271.05	ACR|DCR|2VULN|1TLV|1AART|1MSE	1FEWX|2DMSP|3LIT|4TLV|58RCR|6MSE|7aVULN|9AART
29	66232 32126	 * 	270.31	DCR|2TLV|2VULN|1AEBURN|1ASPD	1AEBURN|2RAT|3ASPD|4aTLV|59VULN|6AME|7RCR|8LHND
30	26251 25333	   	268.70	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1AAC|2BEXP|3RPLT|4CDMG|5VULN|6aRCR|7DUR|8MDPS|9TLV
31	66422 32123	   	268.11	DCR|2VULN|1TLV|2DMG|1AEBURN	1AEBURN|2RAT|3aVULN|4aERES|5AME|6aDMG|7RCR|8LHND|9TLV|aBPWR
32	66422 32323	   	268.11	DCR|2VULN|1TLV|2DMG|1AEBURN	1AEBURN|2RAT|3aVULN|4aERES|5AME|6aDMG|7RCR|8FEWX|9TLV|aBPWR
33	22632 26333	 * 	268.00	DCR|3TLV|3VULN	1AAC|257TLV|3RMIN|47ERES|67aVULN|7BPWR|8LIT|9RCR
34	66233 12431	 * 	267.46	DCR|DCR|1TLV|2ASPD|1AEBURN|2RAT	1AEBURN|28RAT|3aASPD|4TLV|5LIT|6CGEN|79RCR
35	32216 52152	   	265.88	DCR|DCR|1TLV|2DMG|1ASPD	1FEWX|2RAT|3BEXP|4ASPD|5AETHUN|6aRCR|79DMG|8TLV
36	43261 61311	   	265.55	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9FEWX|aCGEN
37	43261 61332	   	265.55	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9CGEN|aRMIN
38	43261 63311	   	265.55	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9FEWX|aCGEN
39	43261 63332	   	265.55	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9CGEN|aRMIN
40	11561 51312	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL	1CGEN|2ERES|3LIT|4TLV|58RCR|69FEWX|7AEFBLL|aVULN
41	11561 61332	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1CGEN|2ERES|3LIT|4TLV|58RCR|6LHND|7AEFBLL|9AEPOI|aVULN
42	11561 62332	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1CGEN|2ERES|3LIT|4TLV|58RCR|6LHND|7DMSP|9AEPOI|aVULN
43	11561 63332	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	17CGEN|2ERES|3LIT|4TLV|58RCR|6LHND|9AEPOI|aVULN
44	43261 53311	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6ERES|7aCGEN|9FEWX
45	43261 53312	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6ERES|7CGEN|9FEWX|aRMIN
46	43261 61313	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9FEWX|aAETHUN
47	43261 61321	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9ERES|aCGEN
48	43261 61322	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9ERES|aRMIN
49	43261 61331	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9CGEN|aERES
50	43261 61333	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9CGEN|aAEFRZ
51	43261 63313	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9FEWX|aAETHUN
52	43261 63321	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9ERES|aCGEN
53	43261 63322	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9ERES|aRMIN
54	43261 63331	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9CGEN|aERES
55	43261 63333	   	265.45	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9CGEN|aAEFRZ
56	11561 43332	   	265.35	ACR|DCR|1TLV|1VULN|1AEPOI	16CGEN|2ERES|3LIT|4TLV|58RCR|7DUST|9AEPOI|aVULN
57	11561 51322	   	265.35	ACR|DCR|1TLV|1VULN|1AEFBLL	1CGEN|2ERES|3LIT|4TLV|58RCR|6FEWX|7AEFBLL|9AEWIND|aVULN
58	11561 61322	   	265.35	ACR|DCR|1TLV|1VULN|1AEFBLL	1CGEN|29ERES|3LIT|4TLV|58RCR|6LHND|7AEFBLL|aVULN
59	43261 53313	   	265.35	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6ERES|7CGEN|9FEWX|aAEFRZ
60	43261 61323	   	265.35	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9ERES|aAEFRZ
61	43261 63323	   	265.35	ACR|DCR|1TLV|1VULN|1AEPOI	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9ERES|aAEFRZ
