0	Index      	 *	Score 	Summary	Detail	
1	32534 21126	 * 	274.63	紫橙3易伤1伤害1矿等	1金币生成2矿等35a易伤46核7敌人爆炸8挖尘9伤害
22	32534 24313	   	261.68	紫橙2易伤2矿等1暴击	1金币生成29矿等35易伤46核7低血量敌人8激光减费a暴击
23	32534 26313	   	261.68	紫橙2易伤2矿等1暴击	1金币生成29矿等35易伤46核7基地爆炸8激光减费a暴击
24	32534 23113	   	261.58	紫橙2易伤2矿等1暴击	1金币生成29矿等35易伤46核7激光减费8挖尘a暴击
25	32534 23334	   	260.93	紫橙2易伤1矿等2平台1攻速	1金币生成2矿等35易伤46核7激光减费8a平台9攻速
26	32534 23631	   	257.70	紫橙2易伤2矿等1全技能	1金币生成29矿等35易伤46核7激光减费8赏金塔a全技能
27	54121 32438	 * 	257.35	橙橙2易伤1攻速	13雷电23掉矿3序列升级49易伤5加一6a核7赏金邻近8攻速
28	54121 43438	   	257.35	橙橙2易伤1攻速	13雷电23掉矿3序列升级49易伤5加一6赏金邻近7a核8攻速
29	54221 32438	   	257.35	橙橙2易伤1攻速	13雷电2掉矿49易伤5加一6a核7赏金邻近8攻速
30	54221 43438	   	257.35	橙橙2易伤1攻速	13雷电2掉矿49易伤5加一6赏金邻近7a核8攻速
31	32534 21311	   	256.34	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7敌人爆炸8激光减费a时间
32	32534 23211	   	256.34	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8低血量敌人a时间
33	32534 23411	   	256.34	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8敌人爆炸a时间
34	32534 24311	   	256.34	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7低血量敌人8激光减费a时间
35	32534 26311	   	256.34	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7基地爆炸8激光减费a时间
36	32534 23111	   	256.24	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8挖尘a时间
37	32534 23332	   	255.74	紫橙2易伤1矿等1攻速1平台	1金币生成2矿等35易伤46核7激光减费8平台9攻速a基地爆炸
38	32534 23331	   	255.64	紫橙2易伤1矿等1攻速1平台	1金币生成2矿等35易伤46核7激光减费8平台9攻速a技能点
39	32534 23335	   	255.64	紫橙2易伤1矿等1攻速1平台1策反	1金币生成2矿等35易伤46核7激光减费8平台9攻速a策反
40	32534 22423	   	255.49	紫橙2易伤1矿等1暴击1全技能1卖塔	1金币生成2矿等35易伤46核7毒液对冰8卖塔9暴击a全技能
41	36324 11623	   	255.00	紫橙3易伤1平台	1金币生成2核弹39核457易伤6时间8最后敌人a平台
42	42322 64113	 * 	254.67	橙橙2伤害1暴击1全技能	1暴击2掉矿34伤害5激光减费6全技能7a核8低血量敌人9时间
43	42322 64313	   	254.67	橙橙2伤害1暴击1全技能	1暴击2掉矿34伤害5激光减费6全技能7a核8敌人爆炸9时间
44	32534 21216	   	254.56	紫橙3易伤1矿等	1金币生成2矿等35a易伤46核7敌人爆炸8随机矿9挖尘
45	32534 22125	   	254.56	紫橙3易伤1矿等	19金币生成2矿等35a易伤46核7毒液对冰8敌人爆炸
46	32534 22133	   	254.56	紫橙3易伤1矿等	1金币生成2矿等35a易伤46核7毒液对冰8敌人爆炸9等级
47	32534 23532	   	254.56	紫橙3易伤1矿等	1金币生成2矿等359易伤46核7激光减费8雷电a低血量敌人
48	32534 22153	   	254.46	紫橙3易伤1矿等	1金币生成2矿等35a易伤46核7毒液对冰8敌人爆炸9掉矿
49	32534 23531	   	254.46	紫橙3易伤1矿等	1金币生成2矿等359易伤46核7激光减费8雷电a电塔对黄
50	32534 23533	   	254.46	紫橙3易伤1矿等	1金币生成2矿等359易伤46核7激光减费8雷电a双倍秒伤
51	32335 46184	 * 	253.92	橙4易伤3矿等1平台	1a金币生成26a矿等3技能467a易伤5加一6a序列升级8核9平台
52	32534 21421	   	252.59	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7敌人爆炸8基地爆炸9伤害a雷电
53	32534 21422	   	252.59	紫橙2易伤1伤害1矿等	1a金币生成2矿等35易伤46核7敌人爆炸8基地爆炸9伤害
54	32532 21426	   	252.59	紫橙2易伤1伤害1矿等	15金币生成2矿等3a易伤46核7敌人爆炸8基地爆炸9伤害
55	32534 21121	   	252.49	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7敌人爆炸8挖尘9伤害a雷电
56	32534 21122	   	252.49	紫橙2易伤1伤害1矿等	1a金币生成2矿等35易伤46核7敌人爆炸8挖尘9伤害
57	32534 21125	   	252.49	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7敌人爆炸8挖尘9伤害a最后敌人
58	32534 21423	   	252.49	紫橙2易伤1伤害1矿等1策反	1金币生成2矿等35易伤46核7敌人爆炸8基地爆炸9伤害a策反
59	32534 24121	   	252.49	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7低血量敌人8挖尘9伤害a雷电
60	32534 24122	   	252.49	紫橙2易伤1伤害1矿等	1a金币生成2矿等35易伤46核7低血量敌人8挖尘9伤害
61	32534 25121	   	252.49	紫橙2易伤1伤害1矿等	18金币生成2矿等35易伤46核7双倍秒伤9伤害a雷电
62	32534 25122	   	252.49	紫橙2易伤1伤害1矿等	18a金币生成2矿等35易伤46核7双倍秒伤9伤害
63	32534 26121	   	252.49	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7基地爆炸8挖尘9伤害a雷电
64	32534 26122	   	252.49	紫橙2易伤1伤害1矿等	1a金币生成2矿等35易伤46核7基地爆炸8挖尘9伤害
65	32132 21326	   	252.49	紫橙2易伤1伤害1矿等	15金币生成2矿等3挖尘46核7敌人爆炸8a易伤9伤害
66	32132 23426	   	252.49	紫橙2易伤1伤害1矿等	15金币生成2矿等3挖尘46核7a易伤8基地爆炸9伤害
67	32132 24326	   	252.49	紫橙2易伤1伤害1矿等	15金币生成2矿等3挖尘46核7低血量敌人8a易伤9伤害
68	32532 21126	   	252.49	紫橙2易伤1伤害1矿等	15金币生成2矿等3a易伤46核7敌人爆炸8挖尘9伤害
69	32532 24126	   	252.49	紫橙2易伤1伤害1矿等	15金币生成2矿等3a易伤46核7低血量敌人8挖尘9伤害
70	32532 25126	   	252.49	紫橙2易伤1伤害1矿等	158金币生成2矿等3a易伤46核7双倍秒伤9伤害
71	32532 26126	   	252.49	紫橙2易伤1伤害1矿等	15金币生成2矿等3a易伤46核7基地爆炸8挖尘9伤害
72	32534 21123	   	252.39	紫橙2易伤1伤害1矿等1策反	1金币生成2矿等35易伤46核7敌人爆炸8挖尘9伤害a策反
73	32534 21124	   	252.39	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7敌人爆炸8挖尘9伤害a技能点
74	32534 22211	   	252.39	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9伤害a基地爆炸
75	32534 22212	   	252.39	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9伤害a双倍矿
76	32534 22324	   	252.39	紫橙2易伤1伤害1矿等	1金币生成2矿等35易伤46核7毒液对冰8赏金塔9挖尘a伤害
77	32534 24123	   	252.39	紫橙2易伤1伤害1矿等1策反	1金币生成2矿等35易伤46核7低血量敌人8挖尘9伤害a策反
78	32534 25123	   	252.39	紫橙2易伤1伤害1矿等1策反	18金币生成2矿等35易伤46核7双倍秒伤9伤害a策反
79	32534 26123	   	252.39	紫橙2易伤1伤害1矿等1策反	1金币生成2矿等35易伤46核7基地爆炸8挖尘9伤害a策反
80	32534 22213	   	252.29	紫橙2易伤1伤害1矿等1卖塔	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9伤害a卖塔
81	32534 22214	   	252.29	紫橙2易伤1伤害1矿等1挖怪	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9伤害a挖怪
82	32534 22411	   	252.24	紫橙2易伤1伤害1矿等1卖塔	1金币生成2矿等35易伤46核7毒液对冰8卖塔9伤害a雷电
83	32534 22412	   	252.24	紫橙2易伤1伤害1矿等1卖塔	1金币生成2矿等35易伤46核7毒液对冰8卖塔9伤害a敌人爆炸
84	32534 22413	   	252.24	紫橙2易伤1伤害1矿等1卖塔	1金币生成2矿等35易伤46核7毒液对冰8卖塔9伤害a额外掉落
85	32532 22416	   	252.24	紫橙2易伤1伤害1矿等1卖塔	15金币生成2矿等3a易伤46核7毒液对冰8卖塔9伤害
86	42431 33421	 * 	251.31	橙橙1易伤1伤害1暴击	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9a等级
87	42431 33422	   	251.31	橙橙1易伤1伤害1暴击	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9等级a低血量敌人
88	42431 33412	   	251.21	橙橙1易伤1伤害1暴击	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9双倍秒伤a基地爆炸
89	42431 33423	   	251.21	橙橙1易伤1伤害1暴击	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9等级a狙击对毒
90	42431 33411	   	251.11	橙橙1易伤1伤害1暴击	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9双倍秒伤a狙击对黄
91	42431 33413	   	251.11	橙橙1易伤1伤害1暴击1挖怪	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9双倍秒伤a挖怪
92	42431 33431	   	251.11	橙橙1易伤1伤害1暴击1挖怪	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9挖怪a技能
93	42431 33432	   	251.11	橙橙1易伤1伤害1暴击1挖怪	1暴击2掉矿3易伤4赏金邻近5伤害68核7双倍矿9挖怪a最后敌人
94	42431 33433	 * 	251.11	橙橙2易伤1伤害1暴击1挖怪	1暴击2掉矿3a易伤4赏金邻近5伤害68核7双倍矿9挖怪
95	32534 21623	   	250.39	紫橙2易伤1矿等1平台	1金币生成2矿等35易伤46核7敌人爆炸8掉矿9时间a平台
96	32534 23312	   	250.39	紫橙2易伤1矿等1平台	1金币生成2矿等35易伤46核7激光减费8平台9时间a最后敌人
97	32534 23314	   	250.39	紫橙2易伤1矿等1平台	1金币生成2矿等35易伤46核7激光减费8平台9时间a基地爆炸
98	32534 23316	   	250.39	紫橙2易伤1矿等1平台	1金币生成2矿等35易伤46核7激光减费8平台9时间a赏金邻近
99	32532 23313	   	250.39	紫橙2易伤1矿等1平台	15金币生成2矿等3a易伤46核7激光减费8平台9时间
100	32534 23311	   	250.29	紫橙2易伤1矿等1平台1挖怪	1金币生成2矿等35易伤46核7激光减费8平台9时间a挖怪
101	32534 23315	   	250.29	紫橙2易伤1矿等1平台	1金币生成2矿等35易伤46核7激光减费8平台9时间a掉矿
102	16136 62212	 * 	250.24	橙4易伤2攻速1矿等1全技能	1双倍秒伤27攻速3矿等4679易伤57基地爆炸7序列升级8核a全技能
103	16136 62211	   	248.89	橙4易伤2攻速1矿等	1双倍秒伤27攻速3矿等4679易伤57基地爆炸7序列升级8核a时间
104	32531 21324	   	248.24	紫橙1易伤1伤害1矿等1攻速	1金币生成2矿等3易伤49核5基地爆炸6时间7双倍秒伤8攻速a伤害
105	32534 22126	   	248.23	紫橙2易伤2矿等	19a金币生成2a矿等35易伤46核7毒液对冰8a敌人爆炸a序列升级
106	42312 36632	   	248.14	紫橙1易伤1伤害1矿等1暴击	1暴击2掉矿3伤害4时间58核6电塔对黄7随机矿9矿等a易伤
107	32134 21324	   	248.14	紫橙1易伤1伤害1矿等1攻速	1金币生成2矿等3挖尘49核5易伤6时间7双倍秒伤8攻速a伤害
108	32536 21324	   	248.14	紫橙1易伤1伤害1矿等1攻速	1金币生成2矿等3易伤49核5挖青6时间7双倍秒伤8攻速a伤害
109	32534 21241	   	248.13	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7敌人爆炸8随机矿a雷电
110	32534 21242	   	248.13	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7敌人爆炸8随机矿
111	32534 21116	   	248.03	紫橙2易伤2矿等	1金币生成2a矿等35易伤46核7敌人爆炸8挖尘9最后敌人
112	32534 21243	   	248.03	紫橙2易伤2矿等1策反	1金币生成29矿等35易伤46核7敌人爆炸8随机矿a策反
113	32534 21312	   	248.03	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7敌人爆炸8激光减费
114	32534 21314	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7a敌人爆炸8激光减费
115	32534 22111	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7毒液对冰8敌人爆炸a基地爆炸
116	32534 22112	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7毒液对冰8a敌人爆炸
117	32534 22114	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7毒液对冰8敌人爆炸a雷电
118	32534 23212	   	248.03	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7激光减费8低血量敌人
119	32534 23214	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8低血量敌人a敌人爆炸
120	32534 23412	   	248.03	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7激光减费8敌人爆炸
121	32534 23632	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8赏金塔a低血量敌人
122	32534 23633	   	248.03	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8赏金塔a等级
123	32534 24312	   	248.03	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7低血量敌人8激光减费
124	32534 26312	   	248.03	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7基地爆炸8激光减费
125	32532 22115	   	248.03	紫橙2易伤2矿等	15金币生成29矿等3a易伤46核7毒液对冰8敌人爆炸
126	32532 53115	 * 	248.03	紫橙2矿等1易伤2攻速	15金币生成27矿等3易伤4a核6雷电89攻速
127	32534 21315	   	247.93	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7敌人爆炸8激光减费a导弹对黄
128	32534 21316	   	247.93	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7敌人爆炸8激光减费a掉矿
129	32534 22113	   	247.93	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7毒液对冰8敌人爆炸a技能点
130	32534 23112	   	247.93	紫橙2易伤2矿等	1a金币生成29矿等35易伤46核7激光减费8挖尘
131	32534 23114	   	247.93	紫橙2易伤2矿等	1金币生成29矿等35易伤46核7激光减费8挖尘a敌人爆炸
132	36325 34323	   	247.93	紫橙2易伤2矿等	1金币生成2核弹39核48易伤5赏金邻近6掉矿7a矿等
133	42322 64221	   	246.26	橙橙2伤害1暴击1全技能	1暴击28掉矿34伤害5激光减费6全技能79核a技能
134	42322 64223	   	246.26	橙橙2伤害1暴击1全技能	1暴击28掉矿34伤害5激光减费6全技能79核a敌人爆炸
135	42322 64222	   	246.16	橙橙2伤害1暴击1全技能	1暴击28掉矿34伤害5激光减费6全技能79核a技能点
136	32534 21161	   	246.07	紫橙2易伤1矿等1攻速	1金币生成2矿等35易伤46核7敌人爆炸8挖尘9攻速a雷电
137	32534 21162	   	246.07	紫橙2易伤1矿等1攻速	1a金币生成2矿等35易伤46核7敌人爆炸8挖尘9攻速
138	32534 22132	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8敌人爆炸9等级a暴击
139	32534 22331	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8赏金塔9暴击a最后敌人
140	32534 22332	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8赏金塔9暴击a低血量敌人
141	32534 22334	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8赏金塔9暴击a基地爆炸
142	32534 22336	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8赏金塔9暴击a双倍矿
143	32534 23232	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7激光减费8低血量敌人9最后敌人a暴击
144	32534 23263	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7激光减费8低血量敌人9双倍矿a暴击
145	32534 24232	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7低血量敌人8随机矿9掉矿a暴击
146	32534 24332	   	246.07	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7低血量敌人8激光减费9最后敌人a暴击
147	32132 21366	   	246.07	紫橙2易伤1矿等1攻速	15金币生成2矿等3挖尘46核7敌人爆炸8a易伤9攻速
148	32132 23466	   	246.07	紫橙2易伤1矿等1攻速	15金币生成2矿等3挖尘46核7a易伤8基地爆炸9攻速
149	32132 24366	   	246.07	紫橙2易伤1矿等1攻速	15金币生成2矿等3挖尘46核7低血量敌人8a易伤9攻速
150	32532 21166	   	246.07	紫橙2易伤1矿等1攻速	15金币生成2矿等3a易伤46核7敌人爆炸8挖尘9攻速
151	32534 21163	   	245.97	紫橙2易伤1矿等1攻速1策反	1金币生成2矿等35易伤46核7敌人爆炸8挖尘9攻速a策反
152	32534 22152	   	245.97	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8敌人爆炸9掉矿a暴击
153	32534 22235	   	245.97	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9等级a暴击
154	32534 22333	   	245.97	紫橙2易伤1矿等1暴击1挖怪	1金币生成2矿等35易伤46核7毒液对冰8赏金塔9暴击a挖怪
155	32534 23243	   	245.97	紫橙2易伤1矿等1暴击	1金币生成2矿等35易伤46核7激光减费8低血量敌人9挖尘a暴击
156	32534 22421	   	245.73	紫橙2易伤1矿等1暴击1卖塔	1金币生成2矿等35易伤46核7毒液对冰8卖塔9暴击a挖尘
157	32534 22422	   	245.73	紫橙2易伤1矿等1暴击1卖塔1挖怪	1金币生成2矿等35易伤46核7毒液对冰8卖塔9暴击a挖怪
158	36324 11621	   	245.34	紫橙3易伤	1金币生成2核弹39核457易伤6时间8最后敌人a低血量敌人
159	36324 11622	   	245.24	紫橙3易伤	1金币生成2核弹39核457易伤6时间8最后敌人a双倍秒伤
160	32532 23333	   	245.14	紫橙2矿等1易伤1攻速1平台	15金币生成2a矿等3易伤46核7激光减费8平台9攻速
161	32335 46147	 * 	244.95	橙3易伤3矿等1伤害	1金币生成269矿等3技能467易伤5加一6序列升级8核a伤害
162	22633 51342	   	244.89	橙橙1易伤1攻速1暴击	1敌人爆炸2攻速3立即金币4易伤5双倍秒伤68核7喷火对愈9暴击a随机矿
163	42433 33421	   	244.89	橙橙1易伤1暴击1攻速	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9a等级
164	42433 33422	   	244.89	橙橙1易伤1攻速1暴击	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9等级a低血量敌人
165	22633 51341	   	244.79	橙橙1易伤1攻速1暴击	1敌人爆炸2攻速3立即金币4易伤5双倍秒伤68核7喷火对愈9暴击a挖尘
166	22633 51343	   	244.79	橙橙1易伤1攻速1暴击1策反	1敌人爆炸2攻速3立即金币4易伤5双倍秒伤68核7喷火对愈9暴击a策反
167	42433 33412	   	244.79	橙橙1易伤1攻速1暴击	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9双倍秒伤a基地爆炸
168	42433 33423	   	244.79	橙橙1易伤1攻速1暴击	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9等级a狙击对毒
169	42433 33411	   	244.69	橙橙1易伤1攻速1暴击	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9双倍秒伤a狙击对黄
170	42433 33413	   	244.69	橙橙1易伤1攻速1暴击1挖怪	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9双倍秒伤a挖怪
171	42433 33431	   	244.69	橙橙1易伤1攻速1暴击1挖怪	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9挖怪a技能
172	42433 33432	   	244.69	橙橙1易伤1攻速1暴击1挖怪	1暴击2掉矿3易伤4赏金邻近5攻速68核7双倍矿9挖怪a最后敌人
173	42433 33433	   	244.69	橙橙2易伤1攻速1暴击1挖怪	1暴击2掉矿3a易伤4赏金邻近5攻速68核7双倍矿9挖怪
174	22633 51326	   	244.65	橙橙1易伤1攻速1暴击1卖塔	1敌人爆炸2攻速3立即金币4易伤5双倍秒伤68核7喷火对愈9卖塔a暴击
