0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25623 11132	6	 * 	291.98	橙4易伤3伤害2时间	1358易伤25a伤害4平台58序列升级68时间78策反9核
43	26243 11324	8	   	274.44	橙4易伤2时间1伤害1等级1卖塔	134a易伤24时间4序列升级5掉矿6等级7卖塔8核9伤害
44	26243 11513	7	   	273.92	橙5易伤2时间1等级1卖塔	13489易伤24时间4序列升级5掉矿6等级7卖塔a核
45	26246 11321	8	 * 	273.20	橙3易伤2伤害2时间2等级1卖塔	134易伤24时间4序列升级59伤害6a等级7卖塔8核
46	26246 31232	10	   	271.96	橙4易伤3时间1伤害	134a易伤248时间4a序列升级5伤害6a敌人爆炸7a最后敌人9核
47	26241 34133	6	 * 	271.86	橙4易伤3时间2暴击	1348易伤248时间48序列升级5最后敌人69敌人爆炸78暴击a核
48	26246 32232	10	   	271.76	橙4易伤3时间1伤害	134a易伤248时间4a序列升级5伤害6a敌人爆炸7a挖尘9核
49	26241 11513	4	   	271.66	橙5易伤2时间1暴击	13489易伤24时间4序列升级5金币生成6随机矿7暴击a核
50	26241 31513	5	   	271.66	橙5易伤2时间1暴击	13489易伤24时间4序列升级5最后敌人6立即金币7暴击a核
51	26242 11513	4	   	271.56	橙5易伤2时间1暴击	13489易伤24时间4序列升级5掉矿6随机矿7暴击a核
52	26243 11513	5	   	271.56	橙5易伤2时间1暴击	13489易伤24时间4序列升级5掉矿6随机矿7暴击a核
53	26243 21513	6	   	271.56	橙5易伤2时间1暴击	13489易伤24时间4序列升级5掉矿6金币生成7暴击a核
54	26243 31513	4	   	271.56	橙5易伤2时间1暴击	13489易伤24时间4序列升级5挖尘6立即金币7暴击a核
55	26242 23153	8	   	271.52	橙4易伤3时间1伤害1卖塔	1347易伤245时间47序列升级6随机矿8伤害9卖塔a核
56	25524 23232	2	   	269.75	橙4易伤2伤害1等级	159a易伤26伤害3雷电4敌人爆炸7等级8核
57	26246 11322	8	   	269.49	橙3易伤2伤害2时间1等级1卖塔	134易伤24时间4序列升级59伤害6等级7卖塔8核a低血量敌人
58	26246 11323	8	   	269.49	橙3易伤2伤害2时间1等级1卖塔	134易伤24时间4序列升级59伤害6等级7卖塔8核a金币生成
59	26246 21321	8	   	269.49	橙3易伤2伤害2时间1等级1卖塔	134易伤24时间4序列升级59伤害6金币生成7卖塔8核a等级
60	33325 16231	9	   	269.44	橙3易伤3伤害2时间	189矿等258伤害3策反4平台69时间789易伤89序列升级a核
61	25625 11132	6	   	269.24	橙3易伤3伤害2时间	138易伤25a伤害4平台68时间78策反8序列升级9核
62	23431 12232	1	   	268.41	橙4易伤1伤害1等级1时间	139a易伤2立即金币4等级5伤害6雷电7时间8核
63	26241 12613	9	   	268.37	橙4易伤2时间1等级1暴击	134a易伤24时间4序列升级5最后敌人6等级7随机矿8暴击9核
64	26241 13613	9	   	268.37	橙4易伤2时间1等级1暴击	134a易伤24时间4序列升级5最后敌人6等级7金币生成8暴击9核
65	26243 12613	9	   	268.27	橙4易伤2时间1等级1暴击	134a易伤24时间4序列升级5掉矿6等级7最后敌人8暴击9核
66	26236 31122	5	   	267.23	橙3易伤2伤害2时间1暴击	138易伤28时间4低血量敌人5a伤害6核78金币生成8序列升级9暴击
67	26236 36122	5	   	267.23	橙3易伤2伤害2时间1暴击	138易伤28时间4低血量敌人5a伤害6核78矿等8序列升级9暴击
68	25623 15112	10	   	267.13	橙3易伤2伤害2时间1暴击	135易伤25伤害4平台5序列升级68时间7暴击9金币生成a核
69	25623 15222	10	   	267.13	橙3易伤2伤害2时间1暴击	135易伤25伤害4平台5序列升级69时间7暴击8矿等a核
70	26136 31111	5	   	267.01	橙3易伤3时间2伤害	18a易伤238时间4低血量敌人5a伤害6核78a金币生成8a序列升级9额外掉落
71	26136 31161	5	   	267.01	橙3易伤3时间2伤害	189易伤238时间4低血量敌人59伤害6核789金币生成89序列升级a策反
72	26136 31163	5	   	267.01	橙3易伤3时间2伤害	189易伤238时间4a低血量敌人59伤害6核789金币生成89序列升级
73	26136 36111	5	   	267.01	橙3易伤3时间2伤害	18a易伤238时间4低血量敌人5a伤害6核78a矿等8a序列升级9额外掉落
74	23342 61232	10	   	266.91	橙3易伤3时间2伤害	14a易伤234基地爆炸4a序列升级5敌人爆炸67a时间8a伤害9核
75	21144 26232	10	   	266.91	橙3易伤3时间2伤害	17a易伤24低血量敌人345时间4a序列升级6a敌人爆炸8a伤害9核
76	21146 21243	8	   	266.91	橙3易伤3时间2伤害	178易伤24低血量敌人348时间48序列升级58伤害6平台9基地爆炸a核
77	26142 21232	10	   	266.91	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5基地爆炸6a敌人爆炸7立即金币8a伤害9核
78	26142 24232	10	   	266.91	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5基地爆炸68a敌人爆炸7a伤害9核
79	26142 36331	6	   	266.91	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5a基地爆炸6矿等7金币生成8核9a伤害
80	26146 21232	10	   	266.91	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5低血量敌人6a敌人爆炸7立即金币8a伤害9核
81	26143 24232	10	   	266.81	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5挖尘68a敌人爆炸7a伤害9核
82	22143 16232	10	   	266.81	橙3易伤3时间2伤害	17a易伤246敌人爆炸34a时间4a序列升级5挖青8a伤害9核
83	23143 56232	10	   	266.81	橙3易伤3时间2伤害	17a易伤246基地爆炸34a时间4a序列升级5挖青8a伤害9核
84	26134 26232	10	   	266.81	橙3易伤3时间2伤害	17a易伤235时间4低血量敌人6a敌人爆炸8a伤害9核a序列升级
85	26141 26331	4	   	266.81	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5a矿等6挖尘7金币生成8核9a伤害
86	26143 21232	10	   	266.81	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5挖尘6a敌人爆炸7立即金币8a伤害9核
87	26143 61232	10	   	266.81	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5挖尘6a基地爆炸7立即金币8a伤害9核
88	26152 26232	10	   	266.81	橙3易伤3时间2伤害	17a易伤234时间5基地爆炸6a敌人爆炸8a伤害9核a序列升级
89	26252 35232	10	   	266.81	橙3易伤3时间2伤害	13a易伤245时间6最后敌人7a低血量敌人8a伤害9核a序列升级
90	15523 61322	10	   	266.71	橙3易伤3时间2伤害	189挖尘2a伤害39a时间4平台5立即金币6核79a易伤9a序列升级
91	26153 26232	10	   	266.71	橙3易伤3时间2伤害	17a易伤234时间5挖尘6a敌人爆炸8a伤害9核a序列升级
92	26221 32435	8	   	266.71	橙3易伤3时间2伤害	139易伤259时间4掉矿6敌人爆炸7随机矿89伤害9序列升级a核
93	26232 34251	5	   	266.71	橙3易伤3时间2伤害	13a易伤29a时间4低血量敌人5策反6核7赏金邻近8a伤害a序列升级
94	26232 36361	5	   	266.71	橙3易伤3时间2伤害	13a易伤27a时间4低血量敌人5策反6核8赏金邻近9a伤害a序列升级
95	26142 41232	10	   	266.71	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5基地爆炸6a挖尘7立即金币8a伤害9核
96	26143 36331	6	   	266.71	橙3易伤3时间2伤害	14a易伤234时间4a序列升级5a挖尘6矿等7金币生成8核9a伤害
97	21146 21121	9	   	266.67	橙3易伤3时间2伤害1卖塔	179易伤24低血量敌人349时间49序列升级59伤害6平台8卖塔a核
98	21146 21221	8	   	266.67	橙3易伤3时间2伤害1卖塔	178易伤24低血量敌人348时间48序列升级58伤害6平台9卖塔a核
99	16342 36232	10	   	266.61	橙3易伤3时间2伤害	134挖尘24a时间4a序列升级5敌人爆炸67a易伤8a伤害9核
100	26242 33236	7	   	266.51	橙4易伤3时间2雷电1卖塔	134a易伤245时间4a序列升级6a最后敌人7卖塔8a雷电9核
101	26241 12612	9	   	265.80	橙3易伤2时间1伤害1等级1暴击	134易伤24时间4序列升级5最后敌人6等级7随机矿8暴击9核a伤害
102	26241 13612	9	   	265.80	橙3易伤2时间1伤害1等级1暴击	134易伤24时间4序列升级5最后敌人6等级7金币生成8暴击9核a伤害
103	26243 12612	9	   	265.70	橙3易伤2时间1伤害1等级1暴击	134易伤24时间4序列升级5掉矿6等级7最后敌人8暴击9核a伤害
104	26241 16313	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	134易伤24时间4序列升级5最后敌人6等级7伤害8暴击9赏金邻近a核
105	26246 12313	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	134易伤24时间4序列升级5伤害6等级7最后敌人8暴击9赏金邻近a核
106	26246 11113	6	   	265.60	橙3易伤2时间1伤害1等级1暴击	134易伤24时间4序列升级5伤害6等级7暴击8挖尘9赏金邻近a核
107	26141 41331	9	   	265.57	橙3易伤3时间1伤害1等级	14a易伤234时间4a序列升级5a金币生成6伤害7等级8a低血量敌人9核
108	26246 11312	10	   	265.55	橙3易伤2时间1伤害1等级1暴击1卖塔	134易伤24时间4序列升级5伤害6等级7卖塔8核9随机矿a暴击
109	21141 64123	8	   	265.55	橙4易伤3时间1暴击	1679易伤247低血量敌人347时间47序列升级5立即金币8暴击a核
110	21143 64123	8	   	265.55	橙4易伤3时间1暴击	1679易伤247低血量敌人347时间47序列升级5双倍矿8暴击a核
111	26243 11323	10	   	265.45	橙3易伤2时间1伤害1等级1暴击1卖塔	134易伤24时间4序列升级5掉矿6等级7卖塔8核9伤害a暴击
112	26242 53223	9	   	265.45	橙4易伤3时间1暴击	1347易伤245时间47序列升级67金币生成8暴击9随机矿a核
113	26242 53231	9	   	265.45	橙4易伤3时间1暴击	1347易伤245时间47序列升级67金币生成8暴击9核a立即金币
114	26242 53233	10	   	265.45	橙4易伤3时间1暴击	1347易伤245时间47序列升级67金币生成8暴击9核a立即金币
115	21124 64123	8	   	265.45	橙4易伤3时间1暴击	1679易伤27低血量敌人357时间4立即金币7序列升级8暴击a核
116	26131 64123	8	   	265.45	橙4易伤3时间1暴击	1679易伤237时间47低血量敌人5立即金币7序列升级8暴击a核
117	26133 64123	8	   	265.45	橙4易伤3时间1暴击	1679易伤237时间47低血量敌人5双倍矿7序列升级8暴击a核
118	26241 13135	8	   	265.37	橙3易伤3时间1伤害1等级	134易伤248时间4序列升级5最后敌人6等级7金币生成9伤害a核
119	26144 31123	8	   	265.35	橙4易伤3时间1暴击	1479易伤234时间4序列升级5立即金币6最后敌人8暴击a核
120	26146 11323	5	   	265.35	橙4易伤3时间1暴击	1489易伤234时间4序列升级57低血量敌人6暴击a核
121	26242 31123	9	   	265.35	橙4易伤3时间1暴击	1347易伤245时间4序列升级6最后敌人8暴击9立即金币a核
122	26242 31135	9	   	265.35	橙4易伤3时间1暴击	1347易伤245时间4序列升级6最后敌人8暴击9额外掉落a核
123	26242 31143	9	   	265.35	橙4易伤3时间1暴击	1347易伤245时间4序列升级6最后敌人8暴击9低血量敌人a核
124	26242 41123	9	   	265.35	橙4易伤3时间1暴击	1347易伤245时间4序列升级6基地爆炸8暴击9立即金币a核
125	26242 53231	10	   	265.35	橙4易伤3时间1暴击	1347易伤245时间47序列升级67金币生成8暴击9核a挖尘
126	26252 53233	9	   	265.35	橙4易伤3时间1暴击	137a易伤245时间67金币生成7序列升级8暴击9核
127	26242 22123	8	   	265.25	橙4易伤3时间1暴击	1349易伤245时间4序列升级6随机矿7掉矿8暴击a核
128	26242 22163	9	   	265.25	橙4易伤3时间1暴击	1349易伤245时间4序列升级6随机矿7掉矿8暴击a核
129	26242 23263	8	   	265.25	橙4易伤3时间1暴击	1347易伤245时间47序列升级6随机矿8暴击9掉矿a核
130	26242 31142	8	   	265.25	橙4易伤3时间1暴击	1347易伤245时间4序列升级6最后敌人8暴击9赏金邻近a核
131	26242 52123	8	   	265.25	橙4易伤3时间1暴击	1349易伤245时间4序列升级6金币生成7掉矿8暴击a核
132	26243 31223	4	   	265.25	橙4易伤3时间1暴击	1349易伤248时间4序列升级5挖尘6立即金币7暴击a核
133	26252 31123	8	   	265.25	橙4易伤3时间1暴击	1379易伤245时间6最后敌人8暴击a核
134	26252 31163	9	   	265.25	橙4易伤3时间1暴击	1379易伤245时间6最后敌人8暴击a核
135	26252 41123	8	   	265.25	橙4易伤3时间1暴击	1379易伤245时间6基地爆炸8暴击a核
136	26143 41123	8	   	265.15	橙4易伤3时间1暴击	1479易伤234时间4序列升级56挖尘8暴击a核
137	26243 11326	10	   	265.03	橙3易伤3时间1伤害1等级1卖塔	134易伤24a时间4序列升级5掉矿6等级7卖塔8核9伤害
138	26241 12431	8	 * 	264.27	5易伤3伤害3时间2等级	1349a易伤249时间49a序列升级5最后敌人6a等级7随机矿89a伤害
139	26221 44323	9	 * 	263.82	橙3易伤3时间2攻速1暴击	137易伤259时间47掉矿67攻速7序列升级8暴击a核
140	22154 33313	7	   	263.16	橙4易伤1伤害1时间1攻速	169a易伤2敌人爆炸3时间4攻速5雷电7核8伤害
141	23154 33313	7	   	263.16	橙4易伤1伤害1时间1攻速	169a易伤2基地爆炸3时间4攻速5雷电7核8伤害
142	26354 33313	7	   	263.16	橙4易伤1伤害1时间1攻速	169a易伤2时间3敌人爆炸4攻速5雷电7核8伤害
143	52254 33313	7	   	263.16	橙4易伤1伤害1时间1攻速	1时间2敌人爆炸369a易伤4攻速5雷电7核8伤害
144	53254 33313	7	   	263.16	橙4易伤1伤害1时间1攻速	1时间2基地爆炸369a易伤4攻速5雷电7核8伤害
145	26241 23413	4	   	263.05	橙3易伤2时间1伤害1等级1攻速	134易伤24时间4序列升级5金币生成6赏金塔7攻速8核9伤害a等级
146	26243 43332	10	   	263.03	橙4易伤2时间1暴击1攻速	1347易伤24时间4序列升级5掉矿6攻速8暴击9敌人爆炸a核
147	25632 22316	4	   	262.95	橙3易伤2时间1伤害1等级1攻速	13a易伤2伤害46a挖尘5攻速7等级8a时间9核a序列升级
148	26242 23413	4	   	262.95	橙3易伤2时间1伤害1等级1攻速	134易伤24时间4序列升级5掉矿6赏金塔7攻速8核9伤害a等级
149	26243 23413	5	   	262.95	橙3易伤2时间1伤害1等级1攻速	134易伤24时间4序列升级5掉矿6赏金塔7攻速8核9伤害a等级
150	21521 13626	2	   	262.92	橙3易伤3伤害2雷电1全技能	139易伤2低血量敌人4全技能5平台679伤害89雷电9序列升级a核
151	26141 42323	8	   	262.77	橙3易伤3时间1伤害1暴击	149易伤234时间4序列升级57金币生成6伤害8暴击a核
152	26252 53232	9	   	262.77	橙3易伤3时间1伤害1暴击	137易伤245时间67金币生成7序列升级8暴击9核a伤害
153	26242 21263	7	   	262.67	橙3易伤3时间1伤害1暴击	134易伤245时间4序列升级6随机矿7挖尘8伤害9暴击a核
154	26256 23323	9	   	262.67	橙3易伤3时间1伤害1暴击	137易伤249时间5伤害6金币生成8暴击a核
155	26121 46323	8	   	262.57	橙3易伤3时间1伤害1暴击	179易伤235时间4掉矿6伤害8暴击a核
156	26221 56323	9	   	262.57	橙3易伤3时间1伤害1暴击	136易伤259时间4掉矿7伤害8暴击a核
157	26242 36231	6	   	262.02	橙3易伤3时间1暴击1攻速	134易伤245时间4序列升级6最后敌人7暴击8雷电9核a攻速
158	26242 36231	5	   	262.02	橙3易伤3时间1暴击1攻速	134易伤245时间4序列升级6敌人爆炸7暴击8雷电9核a攻速
159	26242 41231	5	   	262.02	橙3易伤3时间1暴击1攻速	134易伤245时间4序列升级6暴击7基地爆炸8雷电9核a攻速
