0	Index      	 *	Score 	Summary	Detail	
1	25311 61433	 * 	344.48	DCR|DCR|4VULN|2TLV|2DUR	17TLV|28DUR|37ZMB|457aVULN|69RCR|7BPWR
17	22212 63235	   	320.72	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|34VULN|5DUR|69RCR|7AEFBLL|aTBNT
18	22221 63235	   	320.72	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|35VULN|4DUR|69RCR|7AEFBLL|aTBNT
19	22334 61433	   	320.08	DCR|DCR|2VULN|2DMG|1TLV|2DUR	1TLV|23DMG|4RCVC|58DUR|69RCR|7aVULN
20	22322 61235	   	319.98	DCR|DCR|2TLV|2DMG|1VULN|2DUR	18TLV|23DMG|45DUR|69RCR|7VULN|aTBNT
21	22322 62633	   	319.98	DCR|DCR|2VULN|1TLV|2DMG|2DUR	1TLV|23DMG|45DUR|69RCR|7AEFBLL|8aVULN
22	22326 63433	   	319.98	DCR|DCR|2VULN|1TLV|2DMG|2DUR	1TLV|23DMG|48DUR|5aVULN|69RCR|7AEFBLL
23	22111 65233	   	319.25	DCR|DCR|2VULN|2TLV|1DMG|1CDMG	18TLV|2DMG|37FEWX|45VULN|69RCR|aCDMG
24	22111 63233	   	319.15	DCR|DCR|2VULN|2TLV|1DMG|1CDMG	18TLV|2DMG|3FEWX|45VULN|69RCR|7AEFBLL|aCDMG
25	22213 63233	   	319.15	DCR|DCR|2VULN|2TLV|1DMG|1ASPD	18TLV|2DMG|34VULN|5LHND|69RCR|7AEFBLL|aASPD
26	21221 63233	   	317.24	DCR|DCR|3VULN|2TLV	18TLV|2AAC|35aVULN|4DUR|69RCR|7AEFBLL
27	25211 63233	   	317.24	DCR|DCR|3VULN|2TLV	18TLV|2DUR|35aVULN|4AAC|69RCR|7AEFBLL
28	25241 63233	   	317.24	DCR|DCR|3VULN|2TLV	18TLV|2DUR|35aVULN|4ZMB|69RCR|7AEFBLL
29	25311 63233	   	317.24	DCR|DCR|3VULN|2TLV	18TLV|2DUR|3ZMB|45aVULN|69RCR|7AEFBLL
30	22212 63231	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|34VULN|5DUR|69RCR|7AEFBLL|aFEWX
31	22212 63232	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|34VULN|5DUR|69RCR|7AEFBLL|aLHND
32	22212 63234	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|34VULN|5DUR|69RCR|7AEFBLL|aCGEN
33	22212 63236	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|34VULN|5DUR|69RCR|7AEFBLL|aLWND
34	22221 63231	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|35VULN|4DUR|69RCR|7AEFBLL|aFEWX
35	22221 63232	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|35VULN|4DUR|69RCR|7AEFBLL|aLHND
36	22221 63234	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|35VULN|4DUR|69RCR|7AEFBLL|aCGEN
37	22221 63236	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|35VULN|4DUR|69RCR|7AEFBLL|aLWND
38	22232 63233	   	315.16	DCR|DCR|2VULN|2TLV|1DMG	18TLV|2DMG|3aVULN|4RCVC|5DUR|69RCR|7AEFBLL
