0	Index      	 *	Score 	Summary	Detail	
1	53412 13325	 * 	291.89	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2TBNT|3FEWX|45VULN|6DMG|7aRCR|8BEXP|9LWND
14	52531 21362	   	269.88	DCR|2VULN|3TLV|2MLV	167TLV|2CGEN|37MLV|4LEGI|57VULN|7BPWR|8DUR|9DMSP|aRCR
15	52531 21352	   	269.78	DCR|2VULN|3TLV|2MLV	167TLV|2CGEN|37MLV|4LEGI|57VULN|7BPWR|8DUR|9AEPOI|aRCR
16	23345 31135	   	269.55	DCR|DCR|1VULN|1TLV|1AAC	1RPLT|2VULN|3BELT|4LHND|5RAT|69RCR|7AAC|8CGEN|aTLV
17	23315 31135	   	269.45	DCR|DCR|1VULN|1TLV|1AAC	1RPLT|2VULN|3BELT|4DUST|5RAT|69RCR|7AAC|8CGEN|aTLV
18	21316 34613	 * 	268.32	DCR|DCR|2VULN|1MLV	1RPLT|2FEWX|3RCVC|4DUST|59VULN|67RCR|8CGEN|aMLV
19	23236 34613	   	268.32	DCR|DCR|2VULN|1MLV	1RPLT|29VULN|35LWND|4DUST|67RCR|8CGEN|aMLV
20	53321 54232	 * 	268.15	DCR|4VULN|2TLV|1MLV	19TLV|2TBNT|3789VULN|4BBNT|59FEWX|6RCR|9BPWR|aMLV
21	52312 34236	   	267.95	DCR|4VULN|2TLV|1MLV	16TLV|23CGEN|4SPLREG|5678VULN|6BPWR|9RCR|aMLV
22	53323 54232	   	267.95	DCR|4VULN|2TLV|1MLV	19TLV|2TBNT|3789VULN|4BBNT|59DUST|6RCR|9BPWR|aMLV
23	21316 34223	 * 	267.93	DCR|DCR|2MLV|1VULN	1RPLT|2FEWX|38RCVC|4DUST|5VULN|67RCR|9aMLV
24	21316 34523	   	267.93	DCR|DCR|2MLV|1VULN	18RPLT|2FEWX|3RCVC|4DUST|5VULN|67RCR|9aMLV
25	23236 34123	   	267.93	DCR|DCR|2MLV|1VULN	1RPLT|2VULN|35LWND|4DUST|67RCR|8DMSP|9aMLV
26	23236 34523	   	267.93	DCR|DCR|2MLV|1VULN	18RPLT|2VULN|35LWND|4DUST|67RCR|9aMLV
27	53412 13613	 * 	267.02	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1TLV|2TBNT|3FEWX|45VULN|68DMG|7RCR|9AAC|aMLV
28	53114 13613	   	266.92	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1TLV|2TBNT|3BEXP|45VULN|68DMG|7RCR|9AAC|aMLV
29	43453 21222	 * 	266.21	DCR|3VULN|2MLV|2ASPD	137VULN|2CGEN|47MLV|5MBVNT|67ASPD|7BPWR|8AME|9RAT|aRCR
30	54222 32131	   	266.11	DCR|3VULN|1TLV|1MLV|1ASPD	1TLV|2FEWX|3DUR|4MLV|5RAT|689VULN|7ASPD|aRCR
31	43253 41623	   	266.08	DCR|3VULN|2MLV|2DMG	17aVULN|2CGEN|3RCVC|47MLV|5MBVNT|67DMG|7BPWR|8LIT|9RCR
32	55222 32131	   	266.01	DCR|3VULN|1TLV|1MLV|1ASPD	1TLV|2BEXP|3DUR|4MLV|5RAT|689VULN|7ASPD|aRCR
33	53315 13325	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2TBNT|3VULN|4AEFBLL|5FEWX|6DMG|7aRCR|8BEXP|9LWND
34	22225 12313	 * 	265.55	DCR|3VULN|1TLV|2ASPD|1MLV	1RPLT|27ASPD|37LWND|4TLV|5DUST|678VULN|7BPWR|9RCR|aMLV
35	53111 13335	   	265.38	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2TBNT|358BEXP|4VULN|6DMG|7aRCR|9AEFRZ
36	23231 22312	   	265.29	DCR|3VULN|2MLV|1DMG|1AAC	1RPLT|278VULN|3LWND|47DUST|5AAC|67MLV|7BPWR|9RCR|aDMG
37	24615 12312	   	265.19	DCR|3VULN|2MLV|1DMG|1AAC	1RPLT|2LEGI|3AAC|47MLV|57DUST|678VULN|7BPWR|9RCR|aDMG
38	16271 34454	 * 	264.85	DCR|DCR|1VULN|2ASPD|1CDMG	1RMIN|29ASPD|3MBVNT|4CDMG|5BEXP|6RAT|78RCR|aVULN
39	23231 22314	 * 	264.39	DCR|4VULN|2MLV|1AAC	1RPLT|278aVULN|3LWND|47DUST|5AAC|67MLV|7BPWR|9RCR
40	54532 22222	 * 	264.03	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1TLV|2FEWX|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aZMB
41	63532 22225	 * 	264.03	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1FEWX|2CGEN|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aTLV
42	54532 22223	 * 	263.93	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1TLV|2FEWX|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aAEPOI
43	11532 22225	 * 	263.93	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1RMIN|2DUST|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aTLV
44	13532 22225	 * 	263.93	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1RMIN|2BEXP|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aTLV
45	55532 22222	 * 	263.93	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1TLV|2BEXP|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aZMB
46	55532 22223	 * 	263.83	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1TLV|2BEXP|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aAEPOI
47	42243 23244	 * 	262.50	DCR|4VULN|2DMG|1AAC|2DUR	1389VULN|2MDPS|4MBVNT|58DMG|68DUR|7AAC|8BPWR|aRCR
48	53232 23435	   	262.41	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2TBNT|3AAC|4CGEN|5ERES|6VULN|7aRCR|8FEWX|9BEXP
49	53316 13135	   	262.41	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2TBNT|3VULN|4AEFBLL|5AAC|6LWND|7aRCR|8DMSP|9MDPS
50	53316 13235	   	262.31	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2TBNT|3VULN|4AEFBLL|5AAC|6LWND|7aRCR|8AEBURN|9MDPS
51	52532 13325	 * 	262.08	DCR|DCR|1TLV|1MLV|1DMG	1TLV|2CGEN|3MLV|4LEGI|5BBNT|6DMG|7aRCR|8BEXP|9LWND
52	52533 13325	   	262.08	DCR|DCR|1TLV|1MLV|1DMG	1TLV|2CGEN|3MLV|4LEGI|5TBNT|6DMG|7aRCR|8BEXP|9LWND
