0	Index      	 *	Score 	Summary	Detail	
1	63336 11316	 * 	219.55	紫3伤害1基础对甲1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速69a伤害7掉矿8基础对甲
35	13234 26313	   	197.86	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9伤害a平台
36	13234 26315	   	197.86	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3a低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9伤害
37	13234 26311	   	197.76	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9伤害a多重对甲
38	13244 26312	   	197.76	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3低血量敌人4挖尘5核67等级7序列升级8基础对甲9伤害a最后敌人
39	13244 26313	   	197.76	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3低血量敌人4挖尘5核67等级7序列升级8基础对甲9伤害a平台
40	13244 26311	   	197.66	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3低血量敌人4挖尘5核67等级7序列升级8基础对甲9伤害a多重对甲
41	13534 23316	   	197.56	紫1基础对甲2基地爆炸2易伤1伤害	1a基地爆炸27易伤3双倍秒伤4火球减费5核6等级8基础对甲9伤害
42	63341 53313	   	197.38	紫1基础对甲2伤害1基地爆炸	1低血量敌人2易伤3核4挖尘5技能点6随机矿79伤害8基础对甲a基地爆炸
43	63343 52313	   	197.38	紫1基础对甲2伤害1基地爆炸	1低血量敌人2易伤3核4挖尘5掉矿6随机矿79伤害8基础对甲a基地爆炸
44	63334 23261	 * 	196.92	紫2基础对甲4易伤	19低血量敌人279a易伤3核4敌人爆炸5双倍秒伤6金币生成89基础对甲9序列升级
45	63334 23253	 * 	196.86	紫1基础对甲2攻速2易伤	1低血量敌人27易伤3核4敌人爆炸5双倍秒伤6金币生成8基础对甲9a攻速
46	63331 53315	   	196.86	紫1基础对甲2伤害2易伤	1低血量敌人2a易伤3核4敌人爆炸5技能点6随机矿79伤害8基础对甲
47	63333 13315	   	196.86	紫1基础对甲2伤害2易伤	1低血量敌人2a易伤3核4敌人爆炸5掉矿69伤害7策反8基础对甲
48	63333 52315	   	196.86	紫1基础对甲2伤害2易伤	1低血量敌人2a易伤3核4敌人爆炸5掉矿6随机矿79伤害8基础对甲
49	63343 13315	   	196.76	紫1基础对甲2伤害2易伤	1低血量敌人2a易伤3核4挖尘5掉矿69伤害7策反8基础对甲
50	63313 22111	 * 	196.46	紫3基地爆炸3易伤1攻速1暴击	18低血量敌人278易伤3核4暴击5毒液对毒68a基地爆炸8序列升级9攻速
51	63311 22111	   	196.36	紫3基地爆炸3易伤1攻速1暴击	18低血量敌人278易伤3核4暴击5散射对绿68a基地爆炸8序列升级9攻速
52	25155 13312	 * 	196.02	紫3伤害3攻速1技能	1技能27a攻速379雷电4平台5核67a伤害7a序列升级8a磁铁减费
53	63336 12362	 * 	195.51	紫3基地爆炸2攻速1伤害	1a低血量敌人2易伤3核4a敌人爆炸59攻速6伤害78a基地爆炸a序列升级
54	63336 12363	   	195.31	紫3基地爆炸2攻速1伤害	1低血量敌人2易伤3核4敌人爆炸59攻速6伤害78a基地爆炸
55	63333 13356	   	193.55	紫1基础对甲1伤害1全技能1基地爆炸	1低血量敌人2易伤3核4敌人爆炸5掉矿6伤害7策反8基础对甲9基地爆炸a全技能
56	13234 51316	   	193.04	紫1基础对甲2基地爆炸1伤害1技能	16基地爆炸2易伤3低血量敌人4敌人爆炸5核7掉矿8基础对甲9伤害a技能
57	63361 34321	   	193.02	紫1基础对甲2易伤1攻速1全技能	15低血量敌人29易伤3核4矿等6攻速7随机矿8基础对甲a全技能
58	63363 34321	   	193.02	紫1基础对甲2易伤1攻速1全技能	1低血量敌人29易伤3核45矿等6攻速7随机矿8基础对甲a全技能
59	63322 34321	   	192.92	紫1基础对甲2易伤1攻速1全技能	14低血量敌人29易伤3核5掉矿6攻速7随机矿8基础对甲a全技能
60	63331 53351	   	192.92	紫1基础对甲2易伤1伤害1基地爆炸	1低血量敌人2a易伤3核4敌人爆炸5技能点6随机矿7伤害8基础对甲9基地爆炸
61	63333 13351	   	192.92	紫1基础对甲2易伤1伤害1基地爆炸	1低血量敌人2a易伤3核4敌人爆炸5掉矿6伤害7策反8基础对甲9基地爆炸
62	63333 52351	   	192.92	紫1基础对甲2易伤1伤害1基地爆炸	1低血量敌人2a易伤3核4敌人爆炸5掉矿6随机矿7伤害8基础对甲9基地爆炸
63	63355 22123	   	192.82	紫1基础对甲2易伤1攻速1基地爆炸	1低血量敌人29易伤3核4双倍秒伤5防空对直升6基地爆炸7敌人爆炸8攻速a基础对甲
64	13253 26262	   	192.48	紫2基础对甲2基地爆炸2易伤	19基地爆炸29易伤3低血量敌人4双倍秒伤5核6a金币生成7立即金币89基础对甲9序列升级
65	13253 26263	   	192.48	紫2基础对甲2基地爆炸2易伤	19基地爆炸29易伤3低血量敌人4双倍秒伤5核6金币生成7立即金币89基础对甲9序列升级a最后敌人
66	13234 26336	   	191.34	紫1基础对甲2基地爆炸2易伤1全技能	17基地爆炸27易伤3低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9挖尘a全技能
67	15112 33335	   	191.20	橙1基础对甲2攻速1伤害1全技能1基地爆炸	1基地爆炸26攻速3敌人爆炸4伤害5掉矿7易伤8基础对甲9全技能a核
68	33324 26316	   	191.13	紫1基础对甲2易伤1伤害1基地爆炸1技能	17挖尘27易伤3基地爆炸4低血量敌人5核67等级7序列升级8基础对甲9伤害a技能
69	63326 22223	 * 	190.92	紫1基础对甲2基地爆炸2技能	14低血量敌人2易伤3核5时间67基地爆炸89技能a基础对甲
70	13253 33433	   	189.86	紫1基础对甲1伤害1攻速1基地爆炸	1基地爆炸2易伤3低血量敌人4双倍秒伤5核6攻速7伤害8随机矿9毒液对黄a基础对甲
71	13253 13523	   	189.86	紫1基础对甲1伤害1攻速1基地爆炸	1基地爆炸2易伤3低血量敌人4双倍秒伤5核6随机矿7伤害8狙击对毒9攻速a基础对甲
72	13253 14533	   	189.86	紫1基础对甲1伤害1攻速1基地爆炸	1基地爆炸2易伤3低血量敌人4双倍秒伤5核6随机矿7攻速8狙击对毒9伤害a基础对甲
73	13234 26331	   	189.62	紫1基础对甲3易伤2基地爆炸	17基地爆炸27a易伤3低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9挖尘
