0	Index      	 *	Score 	Summary	Detail	
1	12364 51223	 * 	215.97	紫1基础对甲2伤害2基地爆炸1全技能	13伤害2易伤4双倍秒伤5核69基地爆炸7雷电8全技能a基础对甲
17	36316 62333	   	197.76	紫1基础对甲2基地爆炸1伤害1攻速	1最后敌人2掉矿3伤害48基地爆炸5核6雷电7加一9攻速a基础对甲
18	23164 11332	 * 	196.05	紫1基础对甲3基地爆炸1全技能1暴击1卖塔	1暴击2卖塔379基地爆炸4双倍秒伤5核6策反8全技能a基础对甲
19	14227 41423	   	195.48	紫1基础对甲2伤害2基地爆炸	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8火球减费9立即金币a基础对甲
20	14227 61423	   	195.48	紫1基础对甲2伤害2基地爆炸	17伤害2雷电3加一47基地爆炸5核67金币生成7序列升级8磁铁减费9立即金币a基础对甲
21	14227 21423	   	195.28	紫1基础对甲2伤害2基地爆炸	17伤害2雷电3加一47基地爆炸5核67掉矿7序列升级8磁铁减费9立即金币a基础对甲
22	36316 31523	   	191.81	紫2伤害2攻速1基地爆炸1暴击1技能	19最后敌人2掉矿39伤害4基地爆炸5核6等级79攻速8技能9序列升级a暴击
23	23164 41223	   	191.73	紫1基础对甲2基地爆炸1全技能1暴击1卖塔	1暴击2卖塔39基地爆炸4双倍秒伤5核6易伤7雷电8全技能a基础对甲
24	14227 33533	   	191.23	紫1基础对甲1伤害1攻速1基地爆炸1技能	1伤害2雷电3加一4基地爆炸5核6技能7技能点8随机矿9攻速a基础对甲
25	14227 33633	   	191.23	紫1基础对甲1伤害1攻速1基地爆炸1技能	1伤害2雷电3加一4基地爆炸5核6技能7技能点8策反9攻速a基础对甲
26	14227 34533	   	191.23	紫1基础对甲1伤害1攻速1基地爆炸1技能	1伤害2雷电3加一4基地爆炸5核6技能7掉矿8随机矿9攻速a基础对甲
27	14227 34633	   	191.23	紫1基础对甲1伤害1攻速1基地爆炸1技能	1伤害2雷电3加一4基地爆炸5核6技能7掉矿8策反9攻速a基础对甲
28	14227 32224	 * 	191.06	紫3伤害2基地爆炸2暴击1技能	19a伤害2雷电3加一4a基地爆炸5核6技能7平台8a暴击a序列升级
29	21261 22142	 * 	189.81	紫1基础对甲2暴击1攻速1技能	19暴击2随机矿39雷电4核5易伤6攻速79金币生成8技能9序列升级a基础对甲
30	14227 13231	 * 	189.72	紫2伤害2攻速2易伤1基地爆炸	1a伤害2雷电3加一4基地爆炸5核68易伤79攻速
31	21262 32326	   	189.67	紫1基础对甲1攻速1基地爆炸1暴击1技能1卖塔	1暴击2随机矿3雷电4核5双倍物品6卖塔7技能8基础对甲9基地爆炸a攻速
32	21261 25142	   	189.61	紫1基础对甲2暴击1攻速1技能	19暴击2随机矿39雷电4核5易伤6攻速79技能点8技能9序列升级a基础对甲
33	21261 26142	   	189.61	紫1基础对甲2暴击1攻速1技能	19暴击2随机矿39雷电4核5易伤6攻速79等级8技能9序列升级a基础对甲
34	21261 22112	   	189.61	紫1基础对甲2暴击1攻速1技能	19暴击2随机矿3雷电4核5易伤6攻速7金币生成8技能a基础对甲
35	21261 25112	   	189.51	紫1基础对甲2暴击1攻速1技能	19暴击2随机矿3雷电4核5易伤6攻速7技能点8技能a基础对甲
36	21261 26112	   	189.51	紫1基础对甲2暴击1攻速1技能	19暴击2随机矿3雷电4核5易伤6攻速7等级8技能a基础对甲
37	23536 26223	 * 	189.40	紫2基地爆炸2易伤2暴击1伤害1攻速1卖塔	1a暴击2卖塔3双倍矿4a基地爆炸5核6平台7伤害8攻速9a易伤a序列升级
38	64323 74441	 * 	189.13	紫1基础对甲2易伤1伤害1攻速	1激光对冰2加一3伤害4火球减费5核67易伤8攻速9基础对甲a金币生成
39	64323 74442	   	189.13	紫1基础对甲2易伤1伤害1攻速	1激光对冰2加一3伤害4火球减费5核67易伤8攻速9基础对甲a敌人爆炸
40	64323 74444	   	189.13	紫1基础对甲2易伤1伤害1攻速	1激光对冰2加一3伤害4火球减费5核67易伤8攻速9基础对甲a雷电
41	64323 74443	   	189.03	紫1基础对甲2易伤1伤害1攻速	1激光对冰2加一3伤害4火球减费5核67易伤8攻速9基础对甲a挖尘
42	21261 34153	   	188.65	紫1基础对甲1攻速1基地爆炸1暴击	1暴击2随机矿3雷电4核5易伤6最后敌人7基地爆炸8低血量敌人9攻速a基础对甲
43	21261 42153	   	188.65	紫1基础对甲1攻速1基地爆炸1暴击	1暴击2随机矿3雷电4核5易伤6基地爆炸7低血量敌人8最后敌人9攻速a基础对甲
44	21261 41153	   	188.55	紫1基础对甲1攻速1基地爆炸1暴击	1暴击2随机矿3雷电4核5易伤6基地爆炸7挖尘8最后敌人9攻速a基础对甲
45	21261 45312	 * 	187.82	紫1基础对甲2易伤2暴击1基地爆炸	19暴击2随机矿3雷电4核57易伤6基地爆炸8等级a基础对甲
46	14227 41351	   	187.79	紫2伤害2基地爆炸1攻速1暴击	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9易伤a暴击
47	14227 41814	 * 	187.71	紫3伤害3基地爆炸1暴击	179伤害2雷电3加一478基地爆炸5核67矿等7序列升级a暴击
48	14227 21351	   	187.59	紫2伤害2基地爆炸1攻速1暴击	17伤害2雷电3加一47基地爆炸5核67掉矿7序列升级8攻速9易伤a暴击
49	14227 21814	   	187.51	紫3伤害3基地爆炸1暴击	179伤害2雷电3加一478基地爆炸5核67掉矿7序列升级a暴击
50	14452 21333	   	187.06	紫1基础对甲2伤害1攻速	17伤害27雷电3最后敌人4金币生成5核67挖尘7序列升级8攻速9敌人爆炸a基础对甲
51	14532 31363	   	187.06	紫1基础对甲2伤害1攻速	17伤害27雷电3敌人爆炸4等级5核67最后敌人7序列升级8攻速9挖尘a基础对甲
52	14552 21323	   	187.06	紫1基础对甲2伤害1攻速	17伤害27雷电3敌人爆炸4金币生成5核67挖尘7序列升级8攻速9最后敌人a基础对甲
53	14227 13251	 * 	186.97	紫2伤害2基地爆炸2易伤1攻速	1a伤害2雷电3加一49基地爆炸5核68易伤7攻速
54	14432 21333	   	186.96	紫1基础对甲2伤害1攻速	17伤害27雷电3最后敌人4等级5核67挖尘7序列升级8攻速9敌人爆炸a基础对甲
55	14462 21333	   	186.96	紫1基础对甲2伤害1攻速	17伤害27雷电3最后敌人4掉矿5核67挖尘7序列升级8攻速9敌人爆炸a基础对甲
56	14532 21323	   	186.96	紫1基础对甲2伤害1攻速	17伤害27雷电3敌人爆炸4等级5核67挖尘7序列升级8攻速9最后敌人a基础对甲
57	14562 21323	   	186.96	紫1基础对甲2伤害1攻速	17伤害27雷电3敌人爆炸4掉矿5核67挖尘7序列升级8攻速9最后敌人a基础对甲
