0	Index      	 *	Score 	Summary	Detail	
1	52111 22366	 * 	230.03	DCR|3DMG|3ASPD|3ZMB|1AART	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aAART
35	31131 56122	 * 	208.13	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|25VULN|37AART|45AELBLL|5BPWR|6RCR|8CDMG|9DUR|aASPD
36	31131 56123	 * 	208.13	DCR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	1SELL|25VULN|37AART|45AELBLL|5BPWR|6RCR|8CDMG|9DUR|aDMG
37	52426 22363	   	208.05	DCR|3DMG|3ASPD|1MDPS|3ZMB	1MBVNT|289ASPD|389DMG|4ERES|5DUST|6RCR|789ZMB|89BPWR|aMDPS
38	52111 22363	   	208.05	DCR|3DMG|3ASPD|1MDPS|3ZMB	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aMDPS
39	31141 56122	 * 	208.03	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|25VULN|37AART|4DMSP|5BPWR|6RCR|8CDMG|9DUR|aASPD
40	31141 56123	 * 	208.03	DCR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	1SELL|25VULN|37AART|4DMSP|5BPWR|6RCR|8CDMG|9DUR|aDMG
41	31134 53122	 * 	208.03	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|27VULN|35AART|4AELBLL|6RCR|8CDMG|9DUR|aASPD
42	31134 53123	 * 	208.03	DCR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	1SELL|27VULN|35AART|4AELBLL|6RCR|8CDMG|9DUR|aDMG
43	31144 53122	 * 	208.03	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|27VULN|35AART|4DMSP|6RCR|8CDMG|9DUR|aASPD
44	31144 53123	 * 	208.03	DCR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	1SELL|27VULN|35AART|4DMSP|6RCR|8CDMG|9DUR|aDMG
45	31336 21552	   	207.31	DCR|2VULN|2DMG|1AART|1ASPD|1DUR|2SELL	15SELL|2aVULN|3aLWND|4ASPD|6AART|7DUR|8aDMG|9RCR|aBPWR
46	52448 16313	   	206.37	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|1DUR	1MBVNT|28ASPD|38DMG|4DUR|5AELBLL|68VULN|7MDPS|8BPWR|9ZMB|aRCR
47	52426 22362	   	206.25	DCR|3DMG|3ASPD|3ZMB	1MBVNT|289ASPD|389DMG|4ERES|5DUST|6RCR|789ZMB|89BPWR|aBEXP
48	52111 22365	   	206.25	DCR|3DMG|3ASPD|3ZMB	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aBEXP
49	52111 22367	   	206.25	DCR|3DMG|3ASPD|3ZMB	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aCGEN
50	52351 22124	   	206.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1MBVNT|2ASPD|3BEXP|4ZMB|5DMG|6RCR|7DUR|8AART|9aVULN
51	52426 22361	   	206.15	DCR|3DMG|3ASPD|3ZMB|1MSE	1MBVNT|289ASPD|389DMG|4ERES|5DUST|6RCR|789ZMB|89BPWR|aMSE
52	52111 22361	   	206.15	DCR|3DMG|3ASPD|3ZMB|1MSE	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aMSE
53	52111 22362	   	206.15	DCR|3DMG|3ASPD|3ZMB	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aDUST
54	63415 33133	 * 	206.10	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AME|2RPLT|3VULN|4AART|5RMIN|6aDMG|7RCR|8CDMG|9ASPD
55	31131 53543	 * 	205.39	DCR|3VULN|1AART|1ASPD|1NUKE|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8ASPD|9RPLT|aNUKE
56	52424 23143	   	205.33	DCR|3VULN|1AART|1ASPD|1DMG	1MBVNT|2ASPD|3DMG|4ERES|59aVULN|6RCR|7FEWX|8AART
57	52427 22463	 * 	205.33	DCR|3DMG|2ASPD|1CDMG|2ZMB|1DUR	1MBVNT|29ASPD|389DMG|4ERES|5DUR|6RCR|79ZMB|9BPWR|aCDMG
58	52444 22463	   	205.33	DCR|3DMG|2ASPD|1CDMG|2ZMB|1DUR	1MBVNT|29ASPD|389DMG|4DUR|5ERES|6RCR|79ZMB|9BPWR|aCDMG
59	52443 24871	   	205.22	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1MBVNT|2aASPD|3aDMG|4DUR|5AAC|6RCR|7MULFIG|8RCVC|9aVULN|aBPWR
60	52541 24471	 * 	204.62	DCR|3ASPD|2VULN|1DMG|1NUKE|2DUR	1MBVNT|28aASPD|3NUKE|4aDUR|5DMG|6RCR|7MULFIG|9aVULN|aBPWR
61	52111 22461	   	204.45	DCR|3DMG|2ASPD|1VULN|2ZMB	1MBVNT|29ASPD|3LEGI|4ERES|589DMG|6RCR|79ZMB|9BPWR|aVULN
62	52111 22465	   	204.45	DCR|3DMG|2ASPD|1AART|2ZMB	1MBVNT|29ASPD|3LEGI|4ERES|589DMG|6RCR|79ZMB|9BPWR|aAART
63	52426 22461	   	204.45	DCR|3DMG|2ASPD|1VULN|2ZMB	1MBVNT|29ASPD|389DMG|4ERES|5DUST|6RCR|79ZMB|9BPWR|aVULN
64	51541 15331	 * 	204.44	DCR|3VULN|1SPLARM|3DMG	1MBVNT|28CGEN|378DMG|4RCVC|568VULN|8BPWR|9SPLARM|aRCR
65	52446 18441	   	204.13	DCR|3ASPD|2DMG|1VULN|2SPLREG|1DUR	1MBVNT|267ASPD|3aDMG|4DUR|56SPLREG|6BPWR|8VULN|9RCR
66	52111 24728	   	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	1MBVNT|2aASPD|3LEGI|4ERES|5aDMG|6RCR|7CGEN|8DUR|9aVULN|aBPWR
67	52424 73611	   	203.88	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1MBVNT|2ASPD|3DMG|4ERES|56VULN|79AART|8DUR|aRCR
68	52311 27361	   	203.83	DCR|3DMG|3ASPD|1VULN|1AAC	1MBVNT|289ASPD|3BEXP|489ERES|589DMG|6RCR|7AAC|89BPWR|aVULN
69	52381 23361	   	203.83	DCR|3DMG|3ASPD|1VULN|1AAC	1MBVNT|289ASPD|3BEXP|4AAC|589DMG|6RCR|789ERES|89BPWR|aVULN
70	31131 53551	   	203.71	DCR|3VULN|2ASPD|1AART|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8aASPD|9RMIN
71	52431 17173	   	203.38	DCR|3DMG|2VULN|2ASPD|1AAC	1MBVNT|29ASPD|359DMG|4AME|6BEXP|79VULN|8AAC|9BPWR|aRCR
72	52111 12366	 * 	202.98	DCR|3DMG|3ASPD|3CDMG	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RPLT|789CDMG|89BPWR|aRCR
73	31336 23252	   	202.90	DCR|2VULN|2DMG|1AART|1ASPD|2SELL	15SELL|2aVULN|3aLWND|4ASPD|6AART|7RCR|8DUST|9aDMG|aBPWR
74	52456 22124	   	202.75	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2ASPD|3DMG|4RMIN|5DUST|6RCR|7DUR|8AART|9aVULN
75	52457 21124	   	202.75	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2ASPD|3DMG|4RMIN|5DUR|6RCR|7LEGI|8AART|9aVULN
76	52457 23124	   	202.75	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2ASPD|3DMG|4RMIN|5DUR|6RCR|7DUST|8AART|9aVULN
77	52424 73471	   	202.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MBVNT|28ASPD|3DMG|4ERES|56VULN|7AART|9DUR|aRCR
78	52444 22467	   	202.01	DCR|3DMG|3ASPD|2ZMB|1DUR	1MBVNT|29aASPD|389DMG|4DUR|5ERES|6RCR|79ZMB|9BPWR
79	52351 22128	   	201.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1MBVNT|2ASPD|3BEXP|4ZMB|5DMG|6RCR|7DUR|8aAART|9VULN
80	31131 53133	 * 	201.90	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DMG|aRCVC
81	31141 53133	 * 	201.80	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aRCVC
82	14126 42313	 * 	201.74	DCR|3DMG|1MDPS|1VULN|1AART|1ASPD	17LWND|2AART|357DMG|4MDPS|6RCR|7BPWR|8RCVC|9ASPD|aVULN
83	33131 33143	 * 	201.71	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2FEWX|3AART|4aVULN|5LWND|6DMG|7RCR|8CDMG|9ASPD
84	33135 63143	 * 	201.71	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2FEWX|3AART|4aVULN|5DMG|6LHND|7RCR|8CDMG|9ASPD
85	14162 32133	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1LWND|26AART|3DMG|4AME|5DUST|7RCR|8aVULN|9ASPD
86	23151 43612	 * 	201.67	DCR|2AART|1VULN|1DMG|1NUKE|1AAC|1ZMB|1DUR	1AAC|2RCVC|3ZMB|4DUR|5VULN|6DMG|79AART|8RCR|aNUKE
87	34135 13153	 * 	201.61	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LWND|3AART|4aVULN|5DMG|6MBVNT|7RCR|8CDMG|9ASPD
88	14152 32143	   	201.58	DCR|2VULN|2AART|1ASPD|1DMG	1LWND|26AART|3DMG|4ERES|5DUST|7RCR|8aVULN|9ASPD
89	31131 53112	 * 	201.58	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9BEXP|aASPD
90	31131 53113	 * 	201.58	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9BEXP|aDMG
91	31131 53131	 * 	201.58	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45aAELBLL|5BPWR|6RCR|8CDMG|9DMG
92	31131 53132	 * 	201.58	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DMG|aBELT
93	31131 53135	 * 	201.58	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DMG|aFEWX
94	31131 53142	 * 	201.58	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9LWND|aASPD
95	31131 53143	 * 	201.58	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9LWND|aDMG
96	31131 53152	 * 	201.58	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9FEWX|aASPD
97	31131 53153	 * 	201.58	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9FEWX|aDMG
98	52431 53711	 * 	201.51	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD	1MBVNT|2ASPD|35DMG|4AME|6VULN|79AART|8RCR|aMDPS
99	36135 13153	 * 	201.51	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2DUST|3AART|4aVULN|5DMG|6MBVNT|7RCR|8CDMG|9ASPD
100	31141 53112	 * 	201.48	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9BEXP|aASPD
101	31141 53113	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9BEXP|aDMG
102	31141 53131	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aAELBLL
103	31141 53132	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aBELT
104	31141 53135	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aFEWX
105	31141 53142	 * 	201.48	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9LWND|aASPD
106	31141 53143	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9LWND|aDMG
107	31141 53152	 * 	201.48	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9FEWX|aASPD
108	31141 53153	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9FEWX|aDMG
109	31131 53134	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DMG|aERES
110	31131 53136	 * 	201.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL|1MSE	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DMG|aMSE
111	52421 53711	   	201.41	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD	1MBVNT|2ASPD|35DMG|4ERES|6VULN|79AART|8RCR|aMDPS
112	31131 53536	 * 	201.40	DCR|3VULN|2AART|1ASPD|1SELL	1SELL|257VULN|3aAART|45AELBLL|5BPWR|6RCR|8ASPD|9LIT
113	31131 53562	 * 	201.40	DCR|3VULN|2AART|1ASPD|1SELL	1SELL|257VULN|3aAART|45AELBLL|5BPWR|6RCR|8ASPD|9CGEN
114	31131 53651	 * 	201.40	DCR|3VULN|2AART|1DMG|1SELL	1SELL|257VULN|39AART|45AELBLL|5BPWR|6RCR|8MULFIG|aDMG
115	31141 53134	 * 	201.38	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aERES
116	31141 53136	 * 	201.38	DCR|3VULN|1AART|1DMG|1CDMG|1SELL|1MSE	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aMSE
117	52471 14621	   	201.35	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2ASPD|35DMG|4LWND|68VULN|7RMIN|9AART|aRCR
118	52424 73733	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG	1MBVNT|2ASPD|3DMG|4ERES|56aVULN|7AART|8RCR|9BEXP
119	52431 53733	   	201.19	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2ASPD|35DMG|4AME|6aVULN|7AART|8RCR|9BEXP
120	52431 53611	   	201.19	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1MBVNT|2ASPD|35DMG|4AME|6VULN|79AART|8DUR|aRCR
121	31131 53661	 * 	201.17	DCR|4VULN|1AART|1DMG|1SELL	1SELL|2579VULN|3AART|45AELBLL|5BPWR|6RCR|8MULFIG|aDMG
122	52421 53733	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2ASPD|35DMG|4ERES|6aVULN|7AART|8RCR|9BEXP
123	52421 53611	   	201.09	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1MBVNT|2ASPD|35DMG|4ERES|6VULN|79AART|8DUR|aRCR
124	14123 42613	   	200.66	DCR|3DMG|1MDPS|1AART|1VULN|1ASPD	17LWND|2AART|378DMG|4MDPS|57AELBLL|6RCR|7BPWR|9ASPD|aVULN
125	52461 17333	   	200.22	DCR|3VULN|1AART|1ASPD|1DMG	1MBVNT|2ASPD|3DMG|4RCVC|568VULN|7AART|9DUST|aRCR
126	52461 81333	   	200.22	DCR|3VULN|1AART|1ASPD|1DMG	1MBVNT|2ASPD|3DMG|4RCVC|578VULN|6AART|9DUST|aRCR
127	31131 56133	 * 	200.15	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1SELL|25VULN|37AART|45AELBLL|5BPWR|6RCR|8CDMG|9DMG|aRCVC
128	52351 22121	   	200.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2aASPD|3BEXP|4ZMB|5DMG|6RCR|7DUR|8AART|9VULN
129	31134 53133	 * 	200.05	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1SELL|27VULN|35AART|4AELBLL|6RCR|8CDMG|9DMG|aRCVC
130	31141 56133	 * 	200.05	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1SELL|25VULN|37AART|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aRCVC
131	31144 53133	 * 	200.05	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1SELL|27VULN|35AART|4DMSP|6RCR|8CDMG|9DMG|aRCVC
