0	Index      	 *	Score 	Summary	Detail	
1	63332 16241	 * 	223.24	DCR|3VULN|2AART|2DMG	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9aAART
65	33423 66331	   	208.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1AART|23aVULN|4CDMG|5FEWX|6ASPD|7RCR|8LIT|9DUR
66	53352 13623	   	208.01	DCR|3VULN|2ASPD|1DMG|1ZMB	13FEWX|25aVULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB|9RCVC
67	33262 16433	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3CDMG|46DMG|5BEXP|7RCR|8RPLT|aDUR
68	53352 11136	 * 	207.76	DCR|3VULN|3ASPD|1MDPS	139FEWX|258VULN|457ASPD|5BPWR|6RCR|aMDPS
69	23153 16241	 * 	207.66	DCR|4VULN|2AART|1ZMB	15LHND|2478VULN|3ZMB|6RCR|9aAART
70	23152 11112	   	207.44	DCR|4VULN|1ASPD|1CDMG|2ZMB	1LHND|2459VULN|35ZMB|5BPWR|6RCR|7ASPD|8RMIN|aCDMG
71	53152 11112	   	207.44	DCR|4VULN|1ASPD|1CDMG|2ZMB	1FEWX|2459VULN|35ZMB|5BPWR|6RCR|7ASPD|8RMIN|aCDMG
72	23152 13211	   	207.43	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	1LHND|245VULN|35ZMB|5BPWR|6RCR|7CGEN|8AART|9DMG|aDUR
73	53352 11423	   	207.42	DCR|3ASPD|2VULN|1DMG|1CDMG	13FEWX|25VULN|457ASPD|5BPWR|6RCR|8CDMG|9LWND|aDMG
74	53352 13631	   	207.30	DCR|2VULN|1MDPS|2ASPD|1DMG|1ZMB	13FEWX|25VULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB|9MDPS|aMULARM
75	53352 13633	   	207.30	DCR|2VULN|1MDPS|2ASPD|1DMG|1ZMB	13FEWX|25VULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB|9MDPS|aMLV
76	63332 16242	   	207.16	DCR|3VULN|2DMG|1AART	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9AART|aCGEN
77	53152 31332	 * 	207.16	DCR|4VULN|1AART|1CDMG|2ZMB	1FEWX|2456VULN|35ZMB|5BPWR|7AART|8RCR|9LHND|aCDMG
78	63552 11231	 * 	207.07	DCR|3ASPD|1MDPS|1VULN|1DMG|2DUR	1RCVC|2VULN|35DUR|457ASPD|5BPWR|6RCR|8DMG|9MDPS|aLIT
79	63552 11232	   	207.07	DCR|3ASPD|1MDPS|1VULN|1DMG|2DUR	1RCVC|2VULN|35DUR|457ASPD|5BPWR|6RCR|8DMG|9MDPS|aTLV
80	63552 11233	   	207.07	DCR|3ASPD|1MDPS|1VULN|1DMG|2DUR	1RCVC|2VULN|35DUR|457ASPD|5BPWR|6RCR|8DMG|9MDPS|aMBVNT
81	53152 31362	   	207.06	DCR|4VULN|1AART|1CDMG|2ZMB	1FEWX|2456VULN|35ZMB|5BPWR|7AART|8RCR|9LEGI|aCDMG
82	62523 26231	   	206.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3CDMG|46VULN|5LIT|7RCR|8aASPD|9ZMB
83	63343 26231	   	206.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1RCVC|26VULN|3DMG|4CDMG|5LIT|7RCR|8aASPD|9ZMB
84	63552 11122	   	206.49	DCR|3VULN|3ASPD|2DUR	1RCVC|28aVULN|35DUR|457ASPD|5BPWR|6RCR|9LIT
85	63522 11632	 * 	206.48	DCR|2VULN|1MDPS|2AAC|1ASPD|1DMG|2DUR	1RCVC|25VULN|35DUR|4aAAC|5BPWR|6RCR|7ASPD|8DMG|9MDPS
86	63552 13333	   	206.36	DCR|3ASPD|1VULN|1DMG|1CDMG|2DUR	18RCVC|2VULN|35DUR|45aASPD|5BPWR|6RCR|7DMG|9CDMG
87	62521 12163	   	206.32	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2DMG|3CDMG|479VULN|5AME|6DUR|8RCR|aASPD
88	62524 12133	   	206.32	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2DMG|3CDMG|479VULN|5MLV|6DUR|8RCR|aASPD
89	63341 12163	   	206.32	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|279VULN|3DMG|4CDMG|5AME|6DUR|8RCR|aASPD
90	63344 12133	   	206.32	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|279VULN|3DMG|4CDMG|5MLV|6DUR|8RCR|aASPD
91	53352 13612	   	206.31	DCR|3VULN|2ASPD|1DMG|1ZMB	13FEWX|259VULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB|aMBVNT
92	62131 16252	 * 	206.20	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1RCVC|2DMG|3ASPD|4AAC|5ERES|6RCR|7VULN|8CDMG|9AART|aMDPS
93	33421 32424	 * 	206.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	19AART|23VULN|4CDMG|5ZMB|6RMIN|7ERES|8RCR|aDMG
94	53352 11411	 * 	206.18	DCR|3ASPD|2VULN|1MDPS|1CDMG	139FEWX|25VULN|457ASPD|5BPWR|6RCR|8CDMG|aMDPS
95	53352 31335	   	206.12	DCR|3VULN|2ASPD|1AART|1ZMB	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9LHND|aZMB
96	53352 13315	   	206.04	DCR|2VULN|2DMG|2ASPD|1DUR	13FEWX|25VULN|45ASPD|5BPWR|6RCR|7aDMG|8RCVC|9DUR
97	43525 12113	 * 	206.03	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	15CDMG|27VULN|3ERES|45ASPD|5BPWR|6DUR|8RCR|9AIRARM|aDMG
98	43525 12133	   	206.03	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	15CDMG|27VULN|3ERES|45ASPD|5BPWR|6DUR|8RCR|9BASARM|aDMG
99	63152 12214	   	206.03	DCR|2VULN|2ASPD|1AART|1DMG	1RCVC|2aVULN|35LHND|45ASPD|5BPWR|6RCR|7CGEN|8AART|9DMG
100	23152 11142	   	205.81	DCR|3VULN|2ASPD|1CDMG|2ZMB	1LHND|245VULN|35ZMB|5BPWR|6RCR|79ASPD|8RMIN|aCDMG
101	53152 11142	   	205.81	DCR|3VULN|2ASPD|1CDMG|2ZMB	1FEWX|245VULN|35ZMB|5BPWR|6RCR|79ASPD|8RMIN|aCDMG
102	53152 11315	   	205.62	DCR|3VULN|1ASPD|1DMG|2ZMB|1DUR	1FEWX|245VULN|35ZMB|5BPWR|6RCR|7ASPD|8RCVC|9DUR|aDMG
103	63333 16241	   	205.55	DCR|3VULN|2AART|1DMG	1RCVC|278VULN|3DMG|45LHND|6RCR|9aAART
104	63352 63322	   	205.54	DCR|3VULN|1AART|1ASPD|1DMG	1RCVC|27aVULN|3DMG|4CGEN|5ASPD|6LIT|8RCR|9AART
105	23152 16251	   	205.45	DCR|5VULN|1DMG|2ZMB	1LHND|24578VULN|35ZMB|5BPWR|6RCR|9DMG|aLIT
106	23152 16252	   	205.45	DCR|5VULN|1DMG|2ZMB	1LHND|24578VULN|35ZMB|5BPWR|6RCR|9DMG|aAME
107	23152 16262	 * 	205.45	DCR|5VULN|1ASPD|2ZMB	1LHND|24578VULN|35ZMB|5BPWR|6RCR|9RPLT|aASPD
108	13652 11214	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1ERES|24aVULN|35LWND|6RCR|7ASPD|8AART|9DMG
109	23152 11623	   	205.41	DCR|4VULN|2ASPD|2ZMB	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7aASPD|9FEWX
110	23152 11643	   	205.41	DCR|4VULN|2ASPD|2ZMB	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7aASPD|9LWND
111	23152 12243	   	205.41	DCR|4VULN|2ASPD|2ZMB	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7FEWX|9aASPD
112	62124 23322	 * 	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|26DMG|3ASPD|4CGEN|5LIT|7aVULN|8RCR|9AART
113	63352 61322	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|2aVULN|37DMG|4CGEN|5ASPD|6LIT|8RCR|9AART
114	63332 11344	 * 	205.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1RCVC|2VULN|35DMG|45LHND|5BPWR|6RCR|7ASPD|8CDMG|9FEWX|aAART
115	63362 13262	   	205.26	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1RCVC|2VULN|35DMG|45LWND|5BPWR|6RCR|7CGEN|8AART|9ASPD|aCDMG
116	63332 13211	 * 	205.18	DCR|3DMG|2VULN|1AART	1RCVC|2aVULN|359DMG|45aLHND|5aBPWR|6RCR|7aCGEN|8AART
117	63362 13211	   	205.18	DCR|3DMG|2VULN|1AART	1RCVC|2aVULN|359DMG|45aLWND|5aBPWR|6RCR|7aCGEN|8AART
118	23152 11363	   	205.17	DCR|4VULN|2ASPD|2ZMB|1SELL	1LHND|2459VULN|35ZMB|5BPWR|6RCR|7aASPD|8SELL
119	63332 11354	   	205.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1RCVC|2VULN|35DMG|45LHND|5BPWR|6RCR|7ASPD|8CDMG|9DUST|aAART
120	53352 41312	   	205.09	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	13FEWX|25VULN|45ASPD|5BPWR|6DMSP|7AART|8RCR|9DUR|aMDPS
121	53152 31351	   	205.06	DCR|5VULN|1AART|2ZMB|1MSE	1FEWX|24569VULN|35ZMB|5BPWR|7AART|8RCR|aMSE
122	53152 31353	   	205.06	DCR|5VULN|1AART|2ZMB	1FEWX|24569VULN|35ZMB|5BPWR|7AART|8RCR|aCANARM
123	53352 11122	 * 	204.78	DCR|4VULN|3ASPD	13FEWX|258aVULN|457ASPD|5BPWR|6RCR|9LIT
124	62523 26222	   	204.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1RCVC|2DMG|3CDMG|46VULN|5LIT|7RCR|89ASPD|aDUR
125	63343 26222	   	204.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1RCVC|26VULN|3DMG|4CDMG|5LIT|7RCR|89ASPD|aDUR
126	63332 13212	 * 	204.67	DCR|3DMG|1VULN|1AART|1ASPD	1RCVC|2VULN|359DMG|45LHND|5BPWR|6RCR|7CGEN|8AART|aASPD
127	63362 13212	   	204.67	DCR|3DMG|1AART|1VULN|1ASPD	1RCVC|2VULN|359DMG|45LWND|5BPWR|6RCR|7CGEN|8AART|aASPD
128	53152 31311	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	1FEWX|2456VULN|35ZMB|5BPWR|7AART|8RCR|9aDUR
129	53352 12613	   	204.38	DCR|3VULN|2ASPD|1DMG|1DUR	13FEWX|258VULN|45ASPD|5BPWR|6RCR|7CGEN|9DUR|aDMG
130	53352 13111	   	204.38	DCR|3VULN|2ASPD|1DMG|1DUR	13FEWX|259VULN|45ASPD|5BPWR|6RCR|7DMG|8RMIN|aDUR
131	63522 11611	 * 	204.36	DCR|3VULN|1ASPD|1DMG|3DUR|1AAC	1RCVC|259VULN|35aDUR|4AAC|5BPWR|6RCR|7ASPD|8DMG
132	53352 13511	   	204.28	DCR|3VULN|2ASPD|1DMG|1DUR	13FEWX|258VULN|45ASPD|5BPWR|6RCR|7DMG|9DUR|aERES
133	53352 13512	   	204.28	DCR|3VULN|2ASPD|1DMG|1DUR	13FEWX|258VULN|45ASPD|5BPWR|6RCR|7DMG|9DUR|aDUST
134	53352 32612	 * 	204.11	DCR|4VULN|2ASPD|1CDMG	13FEWX|2569VULN|45ASPD|5BPWR|7LHND|8RCR|aCDMG
135	53352 31313	   	204.10	DCR|3VULN|2ASPD|1AART|1DUR	13aFEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9DUR
136	53352 31316	   	204.10	DCR|3VULN|2ASPD|1AART|1DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9DUR|aRPLT
137	53352 31331	   	204.10	DCR|3VULN|2ASPD|1AART|1DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9LHND|aDUR
138	53352 31314	   	204.00	DCR|3VULN|2ASPD|1AART|1DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9DUR|aERES
139	53352 31361	   	204.00	DCR|3VULN|2ASPD|1AART|1DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9LEGI|aDUR
140	32425 12352	 * 	203.95	DCR|2AART|2DMG|1MDPS|1VULN|1DUR	15AART|2ERES|3DUR|4RMIN|67DMG|8RCR|9VULN|aMDPS
141	53152 11632	   	203.95	DCR|3VULN|3ZMB|1ASPD|1CDMG	1FEWX|245VULN|358ZMB|5BPWR|6RCR|7ASPD|9DUST|aCDMG
142	62142 21522	   	203.93	DCR|2VULN|2ASPD|1AART|1DMG	1RCVC|2DMG|34ASPD|5LIT|6aVULN|7RCR|8RMIN|9AART
143	13652 11212	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|24VULN|35LWND|6RCR|7ASPD|8AART|9DMG|aCDMG
144	23554 11212	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15LHND|24VULN|3TLV|6RCR|7ASPD|8AART|9DMG|aCDMG
145	23654 11212	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15LHND|24VULN|3ERES|6RCR|7ASPD|8AART|9DMG|aCDMG
146	15341 62312	   	203.84	DCR|3VULN|2DMG|1CDMG|1DUR	19ERES|2MLV|39DMG|4CDMG|5AME|6RCR|789VULN|9BPWR|aDUR
147	33312 52243	   	203.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26VULN|3RPLT|4CDMG|5LWND|78DMG|9RCR|aDUR
148	62523 26131	   	203.73	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3CDMG|468VULN|5LIT|7RCR|9AART|aSNIFST
149	62523 26132	   	203.73	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3CDMG|468VULN|5LIT|7RCR|9AART|aBEXP
150	63343 26131	   	203.73	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|268VULN|3DMG|4CDMG|5LIT|7RCR|9AART|aSNIFST
151	63343 26132	   	203.73	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|268VULN|3DMG|4CDMG|5LIT|7RCR|9AART|aBEXP
152	23152 11215	   	203.71	DCR|3VULN|1ASPD|1DMG|2ZMB|1DUR	1LHND|245VULN|35ZMB|5BPWR|6RCR|7ASPD|8DMSP|9DUR|aDMG
153	63352 31261	   	203.65	DCR|3VULN|2DMG|1ASPD|1DUR	1RCVC|268VULN|39DMG|4CGEN|5ASPD|7DUR|aRCR
154	63312 31261	   	203.55	DCR|3VULN|2DMG|1ASPD|1DUR	1RCVC|268VULN|39DMG|4TLV|5ASPD|7DUR|aRCR
155	63152 13613	   	203.48	DCR|3ASPD|2VULN|1DMG|1DUR	1RCVC|28VULN|35LHND|45aASPD|5BPWR|6RCR|7DMG|9DUR
156	63332 11113	   	203.45	DCR|3VULN|2DMG|1ASPD	1RCVC|29aVULN|35DMG|45LHND|5BPWR|6RCR|7ASPD|8RMIN
157	63362 11113	   	203.45	DCR|3VULN|2DMG|1ASPD	1RCVC|29aVULN|35DMG|45LWND|5BPWR|6RCR|7ASPD|8RMIN
158	23152 25163	   	203.44	DCR|4VULN|1ASPD|1CDMG|2ZMB	1LHND|2459VULN|35ZMB|5BPWR|6CDMG|7RMIN|8RCR|aASPD
159	36221 32236	 * 	203.43	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1AART|2DMSP|3MDPS|48aVULN|5LIT|6ASPD|7RCR|9DMG
160	53152 31335	   	203.36	DCR|4VULN|3ZMB|1AART	1FEWX|2456VULN|35aZMB|5BPWR|7AART|8RCR|9LHND
161	63332 16251	 * 	203.35	DCR|3VULN|2DMG|1NUKE	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9NUKE|aRMIN
162	63332 16252	   	203.35	DCR|3VULN|2DMG|1NUKE	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9NUKE|aFEWX
163	63332 16253	   	203.35	DCR|3VULN|2DMG|1NUKE	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9NUKE|aLEGI
164	33631 31363	   	203.26	DCR|3VULN|2DMG|1AART|1AAC|1DUR	1AART|289VULN|3BELT|4AAC|5DUR|69DMG|79ERES|9BPWR|aRCR
165	33631 32363	   	203.26	DCR|3VULN|2DMG|1AART|1AAC|1DUR	1AART|279VULN|3BELT|4AAC|5DUR|69DMG|89ERES|9BPWR|aRCR
166	61312 63213	   	203.25	DCR|3VULN|2DMG|1ASPD	1RCVC|2FEWX|37DMG|4TLV|5ASPD|6RCR|89aVULN
