0	Index      	 *	Score 	Summary	Detail	
1	26522 13511	 * 	208.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8aVULN|9BEXP
23	26522 13331	 * 	198.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8aASPD|9MLV
24	51224 12135	 * 	198.36	DCR|3SPLARM|4VULN|1AART	137FEWX|259SPLARM|4569VULN|59BPWR|8RCR|aAART
25	11244 62333	 * 	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1LWND|2SPLARM|3FEWX|4CDMG|5AART|6RCR|7DUST|8aVULN|9ASPD
26	52234 23347	 * 	198.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3AART|4DMG|5MBVNT|6DUR|78VULN|9ASPD|aRCR
27	21152 22242	 * 	198.03	DCR|5VULN|1DMG|1AAC|1ZMB	1LIT|2ZMB|3569aVULN|4AAC|7DMG|8RCR
28	21152 23242	 * 	198.03	DCR|5VULN|1ASPD|1AAC|1ZMB	1LIT|2ZMB|3569aVULN|4AAC|7ASPD|8RCR
29	21152 23252	 * 	197.99	DCR|4VULN|2ASPD|1AAC|1ZMB	1LIT|2ZMB|356aVULN|4AAC|79ASPD|8RCR
30	22522 13122	   	197.07	DCR|2AART|2DMG|1VULN|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7aDMG|8CANSTR|9VULN
31	26522 12331	 * 	195.32	DCR|2AART|1VULN|2CDMG|1ASPD|1DUR	1LIT|2DUR|34AART|57CDMG|6RCR|8VULN|9MLV|aASPD
32	22522 13613	   	194.30	DCR|2AART|2DMG|1MDPS|1NUKE|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9NUKE|aMDPS
33	11116 16324	 * 	193.98	DCR|3VULN|1SPLARM|1AART|1CDMG	1LWND|2SPLARM|34ERES|5CDMG|69aVULN|7RCR|8AART
34	22522 13611	   	193.70	DCR|2AART|2DMG|1NUKE|1CDMG|1AAC	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9NUKE|aAAC
35	21615 52323	 * 	193.55	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1LIT|2ZMB|3DMG|4DUST|57CDMG|6AART|89VULN|aRCR
36	22522 13612	   	193.35	DCR|2AART|2DMG|1NUKE|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9NUKE|aAME
37	22522 13614	   	193.35	DCR|2AART|2DMG|1NUKE|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9NUKE|aLWND
38	22522 13615	   	193.35	DCR|2AART|2DMG|1NUKE|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9NUKE|aTLV
39	22522 13616	   	193.35	DCR|2AART|2DMG|1NUKE|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9NUKE|aDLOT
40	22522 13631	   	193.35	DCR|2AART|2DMG|1ASPD|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9MBVNT|aASPD
41	22522 13651	   	193.35	DCR|2AART|2DMG|1ASPD|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|78DMG|9DUST|aASPD
42	26522 13533	   	193.13	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	19LIT|2aDUR|34AART|5CDMG|6RCR|7DMG|8VULN
43	26522 12433	 * 	192.78	DCR|2AART|2CDMG|1ASPD|1DMG|1DUR	1LIT|2DUR|34AART|57CDMG|6RCR|8RCVC|9ASPD|aDMG
44	41223 22461	 * 	192.70	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG	1BEXP|2SPLARM|3FEWX|48VULN|5CGEN|6DMG|7RCR|9ASPD|aCDMG
45	41222 22461	   	192.60	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG	1BEXP|2SPLARM|3FEWX|48VULN|5ERES|6DMG|7RCR|9ASPD|aCDMG
46	21152 22244	   	192.08	DCR|4VULN|1DMG|1AAC|1ZMB|1DUR	1LIT|2ZMB|3569VULN|4AAC|7DMG|8RCR|aDUR
47	21152 23244	   	192.08	DCR|4VULN|1ASPD|1AAC|1ZMB|1DUR	1LIT|2ZMB|3569VULN|4AAC|7ASPD|8RCR|aDUR
48	23635 35211	 * 	191.80	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1LIT|24ERES|34DMG|4BPWR|5CDMG|67ASPD|8VULN|9DUR|aRCR
49	21152 22231	   	191.70	DCR|3VULN|1AART|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9AART|aLWND
50	21152 22232	   	191.70	DCR|3VULN|1AART|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9AART|aLHND
51	21152 22233	   	191.70	DCR|3VULN|1AART|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9AART|aCGEN
52	21152 22234	   	191.70	DCR|3VULN|1AART|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9AART|aRMIN
53	21152 23231	   	191.70	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9AART|aLWND
54	21152 23232	   	191.70	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9AART|aLHND
55	21152 23233	   	191.70	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9AART|aCGEN
56	21152 23234	   	191.70	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9AART|aRMIN
57	21334 24481	 * 	191.64	DCR|3DMG|2VULN|1ZMB|1DUR	1LIT|2ZMB|3MBVNT|4DUR|567DMG|8RCR|9aVULN
58	51224 12131	 * 	190.83	DCR|3SPLARM|4VULN|1CDMG	137FEWX|259SPLARM|4569VULN|59BPWR|8RCR|aCDMG
59	21152 23254	   	190.45	DCR|3VULN|2ASPD|1AAC|1ZMB|1DUR	1LIT|2ZMB|356VULN|4AAC|79ASPD|8RCR|aDUR
60	21151 23243	   	190.45	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|369VULN|4AAC|5RCVC|7ASPD|8RCR|aDMG
61	22543 61333	   	190.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1LIT|2LHND|36AART|4DUR|5DMG|7CDMG|89ASPD|aRCR
62	26521 21333	   	190.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5FEWX|6DMG|7CDMG|89ASPD|aRCR
63	26521 63333	   	190.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5FEWX|6CDMG|7DMG|89ASPD|aRCR
64	26522 53333	   	190.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6LWND|79ASPD|8DMG|aRCR
65	26522 23333	   	190.29	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6DUST|7DMG|89ASPD|aRCR
66	22522 15362	   	190.23	DCR|2VULN|2AART|1CDMG|1ZMB	1LIT|2LHND|34AART|5CDMG|6RCR|7RPLT|8aVULN|9ZMB
67	52232 43612	   	190.12	DCR|2VULN|2DMG|1AART|1ZMB	17FEWX|2ZMB|3AART|47DMG|5RCVC|67VULN|7BPWR|8ERES|9MLV|aRCR
68	52232 43622	   	190.12	DCR|2VULN|2DMG|1AART|1ZMB	17FEWX|2ZMB|3AART|47DMG|5RCVC|67VULN|7BPWR|8ERES|9CGEN|aRCR
69	22522 13331	   	190.09	DCR|2AART|2ASPD|1DMG|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8aASPD|9MLV
70	22522 13346	   	190.09	DCR|2AART|2ASPD|1DMG|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8aASPD|9SNIFST
71	11146 16322	 * 	190.02	DCR|2SPLARM|2VULN|1AART|1CDMG|1DUR	1LWND|24SPLARM|34ERES|4BPWR|5CDMG|69VULN|7RCR|8AART|aDUR
72	26522 13622	 * 	189.88	DCR|2AART|2DMG|2CDMG|1DUR	1LIT|2DUR|34AART|5aCDMG|6RCR|78DMG|9RCVC
73	24631 25311	 * 	189.86	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|24CGEN|34DMG|4BPWR|5LWND|67VULN|8CDMG|9ASPD|aRCR
74	24632 25311	   	189.86	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|24CGEN|34DMG|4BPWR|5FEWX|67VULN|8CDMG|9ASPD|aRCR
75	24633 25311	   	189.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|24CGEN|34DMG|4BPWR|5DUST|67VULN|8CDMG|9ASPD|aRCR
76	33216 56233	   	189.74	DCR|2VULN|2DMG|1ASPD|1ZMB	1LEGI|26VULN|3FEWX|48DMG|5RMIN|7RCR|9ASPD|aZMB
77	23631 25311	   	189.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|24ERES|34DMG|4BPWR|5LWND|67VULN|8CDMG|9ASPD|aRCR
78	23632 25311	   	189.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|24ERES|34DMG|4BPWR|5FEWX|67VULN|8CDMG|9ASPD|aRCR
79	24612 25311	   	189.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|2CGEN|36DMG|4DUST|57VULN|8CDMG|9ASPD|aRCR
80	23612 25311	   	189.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|2ERES|36DMG|4DUST|57VULN|8CDMG|9ASPD|aRCR
81	23633 25311	   	189.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|24ERES|34DMG|4BPWR|5DUST|67VULN|8CDMG|9ASPD|aRCR
82	26522 13335	   	189.42	DCR|2AART|1ASPD|1DMG|1CDMG|2DUR	1LIT|2aDUR|34AART|5CDMG|6RCR|7DMG|8ASPD|9MLV
83	26562 13122	   	189.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1LIT|2DUR|3AART|4AELBLL|5CDMG|6RCR|7aDMG|8CANSTR|9VULN
84	22522 13663	   	189.13	DCR|2AART|2DMG|2CDMG|1DUR	1LIT|2LHND|34AART|59CDMG|6RCR|78DMG|aDUR
85	21152 22252	   	188.32	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9ASPD|aRCVC
86	22522 15342	   	188.21	DCR|2VULN|2AART|1CDMG|1DUR	1LIT|2LHND|34AART|5CDMG|6RCR|7RPLT|89VULN|aDUR
87	33623 63323	 * 	188.19	DCR|2VULN|2ASPD|1DMG|1CDMG	1LEGI|28VULN|3TLV|4CDMG|5CGEN|67ASPD|9RCR|aDMG
88	33624 63323	   	188.19	DCR|2VULN|2ASPD|1DMG|1CDMG	1LEGI|28VULN|3TLV|4CDMG|5MLV|67ASPD|9RCR|aDMG
89	33622 63323	   	188.09	DCR|2VULN|2ASPD|1DMG|1CDMG	1LEGI|28VULN|3TLV|4CDMG|5ERES|67ASPD|9RCR|aDMG
90	33263 32362	 * 	188.09	DCR|2VULN|2ASPD|1AART|1ZMB	1LEGI|27VULN|3FEWX|46ASPD|5LWND|8RCR|9ZMB|aAART
91	33364 62223	   	188.08	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|27VULN|35RCVC|4DUR|6CDMG|8ASPD|9RCR|aDMG
92	21143 53243	   	187.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	14LIT|2ZMB|359VULN|6AAC|7ASPD|8RCR|aDMG
93	21152 22251	   	187.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9ASPD|aFEWX
94	21152 22255	   	187.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9ASPD|aLWND
95	21152 23213	   	187.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	19LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|aDMG
96	21152 23261	   	187.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9LHND|aDMG
97	21151 22243	   	187.97	DCR|3VULN|2DMG|1AAC|1ZMB	1LIT|2ZMB|369VULN|4AAC|5RCVC|7aDMG|8RCR
98	33413 33523	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LEGI|27VULN|3LWND|4DMG|5LHND|6ASPD|8AART|9DUR|aRCR
99	21152 22226	   	187.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9ERES|aASPD
100	21152 22253	   	187.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9ASPD|aERES
101	26522 11231	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7LWND|8LHND|9ASPD|aVULN
102	26522 11261	   	187.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7LWND|8LHND|9DMG|aVULN
103	26522 13512	   	187.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|9BEXP|aRMIN
104	26522 13522	   	187.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|9RMIN|aMLV
105	26522 13532	   	187.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|aRMIN
106	26522 15212	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7RPLT|8BEXP|9ASPD|aVULN
107	26522 15311	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7RPLT|8VULN|9ASPD|aFEWX
108	26522 15313	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7RPLT|8VULN|9ASPD|aLHND
109	26522 16231	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7FEWX|8LHND|9ASPD|aVULN
110	26522 16331	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7FEWX|8LWND|9ASPD|aVULN
111	22522 13516	   	187.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8VULN|9BEXP|aDUR
112	22522 13533	   	187.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8VULN|aDUR
113	26522 13121	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8CANSTR|9VULN|aCGEN
114	26522 13124	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8CANSTR|9VULN|aLWND
115	26522 13125	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8CANSTR|9VULN|aAELBLL
116	26522 13126	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8CANSTR|9VULN|aDMSP
117	26522 13513	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|9BEXP|aBASARM
118	26522 13521	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1MSE	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|9RMIN|aMSE
119	26522 13523	   	187.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|9RMIN|aBASFIG
120	26522 13123	   	187.69	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8CANSTR|9VULN|aDUST
121	26522 13131	   	187.69	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8CANSTR|9ERES|aVULN
122	22522 12331	   	187.01	DCR|2AART|1VULN|2CDMG|1ASPD	1LIT|2LHND|34AART|57CDMG|6RCR|8VULN|9MLV|aASPD
123	22522 12346	   	187.01	DCR|2AART|1VULN|2CDMG|1ASPD	1LIT|2LHND|34AART|57CDMG|6RCR|8VULN|9MULFIG|aASPD
124	26522 13633	   	186.84	DCR|2AART|2DMG|1CDMG|2DUR	1LIT|2aDUR|34AART|5CDMG|6RCR|78DMG|9MBVNT
125	21151 22256	   	186.83	DCR|2VULN|2ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|36VULN|4AAC|5RCVC|7DMG|8RCR|9aASPD
126	21151 23253	   	186.83	DCR|2VULN|2ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|36VULN|4AAC|5RCVC|79ASPD|8RCR|aDMG
127	22522 13524	 * 	186.79	DCR|1SPLARM|2AART|1VULN|1DMG|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8VULN|9RMIN|aSPLARM
128	41163 16213	 * 	186.75	DCR|1SPLARM|2VULN|2ASPD|1CDMG	15BEXP|2SPLARM|3ERES|4CDMG|69VULN|7RCR|8aASPD
129	41221 25423	   	186.54	DCR|1SPLARM|2VULN|1ASPD|1DMG|1ZMB|1SELL	1BEXP|2SPLARM|3FEWX|48VULN|5ZMB|6DMG|7RCR|9SELL|aASPD
130	22522 45233	   	186.51	DCR|2AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LIT|2LHND|34AART|5CDMG|6ZMB|7DUR|8DMG|9ASPD|aRCR
131	26522 41233	   	186.51	DCR|2AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUR|34AART|5CDMG|6ZMB|7FEWX|8DMG|9ASPD|aRCR
132	26522 42233	   	186.51	DCR|2AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUR|34AART|5CDMG|6ZMB|7LWND|8DMG|9ASPD|aRCR
133	21151 22242	   	186.23	DCR|4VULN|1DMG|1AAC|1ZMB	1LIT|2ZMB|369aVULN|4AAC|5RCVC|7DMG|8RCR
134	21151 23242	   	186.23	DCR|4VULN|1ASPD|1AAC|1ZMB	1LIT|2ZMB|369aVULN|4AAC|5RCVC|7ASPD|8RCR
135	21152 22416	   	185.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RMIN|9RCR|aASPD
136	21152 22316	   	185.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8TLV|9RCR|aASPD
137	21151 22236	   	185.69	DCR|2VULN|1MDPS|1AART|1DMG|1AAC|1ZMB	1LIT|2ZMB|36VULN|4AAC|5RCVC|7DMG|8RCR|9AART|aMDPS
138	21151 23236	   	185.69	DCR|2VULN|1MDPS|1AART|1ASPD|1AAC|1ZMB	1LIT|2ZMB|36VULN|4AAC|5RCVC|7ASPD|8RCR|9AART|aMDPS
139	33463 32243	   	185.66	DCR|4VULN|2ASPD	1LEGI|278aVULN|3LWND|46ASPD|5LHND|9RCR
140	26522 12323	   	185.59	DCR|2AART|1VULN|2CDMG|1ZMB|1DUR	19LIT|2DUR|34AART|57CDMG|6RCR|8VULN|aZMB
141	42613 52213	   	185.58	DCR|3VULN|1DMG|2DUR|1ZMB	1BEXP|2ZMB|37aVULN|4CGEN|5DMG|6RCR|89DUR
142	42613 53113	   	185.58	DCR|3VULN|1DMG|2DUR|1ZMB	1BEXP|2ZMB|38aVULN|4CGEN|5DMG|6RCR|79DUR
143	43353 52213	   	185.58	DCR|3VULN|1DMG|2DUR|1ZMB	1BEXP|2CGEN|37aVULN|4ZMB|5DMG|6RCR|89DUR
144	43353 53113	   	185.58	DCR|3VULN|1DMG|2DUR|1ZMB	1BEXP|2CGEN|38aVULN|4ZMB|5DMG|6RCR|79DUR
145	21143 52243	   	185.51	DCR|3VULN|2DMG|1AAC|1ZMB	14LIT|2ZMB|359VULN|6AAC|7aDMG|8RCR
146	21152 22213	   	185.51	DCR|3VULN|2DMG|1AAC|1ZMB	19LIT|2ZMB|356VULN|4AAC|7aDMG|8RCR
147	23635 33221	 * 	185.50	DCR|2DMG|2ASPD|1AART|1CDMG	17LIT|247ERES|34DMG|47BPWR|5CDMG|67ASPD|8TLV|9RCR|aAART
148	21615 53312	   	185.33	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1LIT|2ZMB|37DMG|4DUST|5CDMG|6AART|8VULN|9RCR|aMLV
149	26522 13353	 * 	185.26	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8ASPD|9AAC|aMDPS
150	21615 53311	   	185.23	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1MSE	1LIT|2ZMB|37DMG|4DUST|5CDMG|6AART|8VULN|9RCR|aMSE
151	21615 53313	   	185.23	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1LIT|2ZMB|37DMG|4DUST|5CDMG|6AART|8VULN|9RCR|aBASFIG
152	22522 15343	 * 	185.16	DCR|3AART|2VULN|1CDMG	1LIT|2LHND|34aAART|5CDMG|6RCR|7RPLT|89VULN
153	26522 13323	   	185.02	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1DUR	19LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8ASPD|aMDPS
154	23635 11211	 * 	185.01	DCR|2DMG|1VULN|2CDMG|1ASPD|1DUR	1LIT|24ERES|34DMG|4BPWR|56CDMG|7ASPD|8VULN|9DUR|aRCR
155	23635 36211	   	185.01	DCR|2DMG|1VULN|2CDMG|1ASPD|1DUR	1LIT|24ERES|34DMG|4BPWR|59CDMG|6ASPD|7DUR|8VULN|aRCR
156	26522 13212	 * 	184.92	DCR|2AART|1MDPS|2CDMG|1DMG|1NUKE|1DUR	1LIT|2DUR|34AART|5aCDMG|6RCR|7DMG|8NUKE|9MDPS
157	26522 13213	 * 	184.92	DCR|2AART|1MDPS|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8NUKE|9MDPS|aASPD
158	26522 13311	   	184.92	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8ASPD|9MDPS|aRPLT
159	26522 13312	 * 	184.92	DCR|2AART|1MDPS|2CDMG|1ASPD|1DMG|1DUR	1LIT|2DUR|34AART|5aCDMG|6RCR|7DMG|8ASPD|9MDPS
160	26522 13313	 * 	184.92	DCR|2AART|2DMG|1MDPS|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7aDMG|8ASPD|9MDPS
