0	Index      	 *	Score 	Summary	Detail	
1	52336 13521	 * 	309.06	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|25VULN|3CDMG|4aRCR|6LIT|7DMG|8TLV|9FEWX
45	31485 52423	   	282.40	ACR|DCR|1TLV|1VULN|3CDMG|1AART	1MBVNT|28aCDMG|37RCR|4AART|5VULN|6TLV|9LHND
46	31483 52513	   	282.30	ACR|DCR|1TLV|1VULN|3CDMG|1AART	1MBVNT|29aCDMG|37RCR|4AART|5DUST|6TLV|8VULN
47	36344 38418	 * 	281.94	DCR|DCR|2VULN|1TLV|1SELL	1MBVNT|2SELL|3BEXP|45VULN|6TLV|7aRCR|8LIT|9ZMB
48	33318 64135	 * 	281.46	DCR|3VULN|2TLV|1DMG	1MBVNT|29FEWX|3RAT|4RCVC|59TLV|689VULN|7RCR|9BPWR|aDMG
49	34318 64135	   	281.46	DCR|3VULN|2TLV|1DMG	1MBVNT|29BEXP|3RAT|4RCVC|59TLV|689VULN|7RCR|9BPWR|aDMG
50	34348 64132	   	281.46	DCR|3VULN|2TLV|1AEPOI	1MBVNT|249BEXP|3RAT|59TLV|689VULN|7RCR|9BPWR|aAEPOI
51	31485 52221	   	280.25	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9LHND|aLIT
52	31485 52234	   	280.25	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9DMSP|aBEXP
53	31485 52241	   	280.25	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9AME|aFEWX
54	31485 52242	   	280.25	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9AME|aMLV
55	31485 52324	   	280.25	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|4aAART|5VULN|6TLV|8LWND|9CGEN
56	36236 11474	 * 	280.21	DCR|3VULN|2TLV|2ASPD|1SELL	1MBVNT|2SELL|38ASPD|4MDPS|578VULN|68TLV|8BPWR|9BELT|aRCR
57	31485 52211	   	280.15	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9SPLREG|aLHND
58	31485 52214	   	280.15	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9SPLREG|aRMIN
59	31485 52231	   	280.15	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9DMSP|aDLOT
60	31485 52232	   	280.15	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9DMSP|aDUST
61	31485 52212	   	280.05	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9SPLREG|aDUST
62	31485 52213	   	280.05	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9SPLREG|aMDPS
63	31481 52532	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|59FEWX|6TLV|8VULN|aNUKE
64	31481 52161	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8DUR|9VULN|aLHND
65	31481 52163	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8DUR|9VULN|aRCVC
66	31485 52121	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9CGEN|aLIT
67	31485 52122	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9CGEN|aLWND
68	31485 52123	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9CGEN|aRCVC
69	31485 52124	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9CGEN|aMLV
70	31485 52131	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9FEWX|aLHND
71	31485 52133	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9FEWX|aRCVC
72	31485 52334	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8LWND|9FEWX|aDUR
73	31485 52341	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8LWND|9DUR|aLHND
74	31485 52343	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8LWND|9DUR|aBELT
75	31481 52541	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8VULN|9NUKE|aLIT
76	31481 52542	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8VULN|9NUKE|aLWND
77	31481 52543	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8VULN|9NUKE|aRCVC
78	31481 52544	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8VULN|9NUKE|aMLV
79	31483 52534	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8VULN|9FEWX|aDUR
80	31483 52541	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8VULN|9DUR|aLHND
81	31483 52543	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8VULN|9DUR|aRCVC
82	31481 12165	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6ERES|8DUR|9VULN|aTLV
83	31481 52162	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8DUR|9VULN|aAEFRZ
84	31483 52161	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8DUR|9VULN|aLHND
85	31483 52163	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8DUR|9VULN|aRCVC
86	31485 12135	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6ERES|8DUR|9FEWX|aTLV
87	31485 12345	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6ERES|8LWND|9DUR|aTLV
88	31485 52132	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8DUR|9FEWX|aAEFRZ
89	31485 52342	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8LWND|9DUR|aAEFRZ
90	31485 52344	   	279.60	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8LWND|9DUR|aDUST
91	31483 12545	   	279.50	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6ERES|8VULN|9DUR|aTLV
92	31483 52542	   	279.50	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8VULN|9DUR|aAEFRZ
93	31483 12165	   	279.50	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6ERES|8DUR|9VULN|aTLV
94	31483 52162	   	279.50	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8DUR|9VULN|aAEFRZ
95	33225 13138	   	279.10	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1MBVNT|2FEWX|3VULN|48LIT|5TLV|6ASPD|7AEPOI|9aRCR
96	33225 13838	   	279.10	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1MBVNT|28FEWX|3VULN|4LIT|5TLV|6ASPD|7AEPOI|9aRCR
