0	Index      	 *	Score 	Summary	Detail	
1	32336 43326	 * 	311.72	DCR|DCR|2TLV|1VULN|1DMG|1AEPOI	1MDPS|2AAC|3LIT|4VULN|59TLV|6DMG|78RCR|aAEPOI
23	32336 43322	   	291.56	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2AAC|3LIT|4VULN|59TLV|6DMG|78RCR|aERES
24	32336 43324	   	291.56	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2AAC|3LIT|4VULN|59TLV|6DMG|78RCR|aAEFRZ
25	32333 15323	   	288.90	DCR|DCR|2VULN|1TLV|1ASPD	1MDPS|2AAC|3LIT|4aVULN|5CGEN|68RCR|7ASPD|9TLV
26	32336 15363	   	288.80	DCR|DCR|2VULN|1TLV|1ASPD	1MDPS|2AAC|3LIT|4aVULN|5TLV|68RCR|7ASPD|9ERES
27	23121 12355	   	287.47	ACR|2TLV|2VULN|2DMG|1AEFBLL	19DMG|2RPLT|3AETHUN|4RCR|5FEWX|69VULN|7DMSP|89TLV|9BPWR|aAEFBLL
28	23124 12355	   	287.37	ACR|2TLV|2VULN|2DMG|1AEFBLL	19DMG|2RPLT|3AETHUN|4RCR|5DUST|69VULN|7DMSP|89TLV|9BPWR|aAEFBLL
29	32336 43334	   	286.04	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1MDPS|2AAC|3LIT|4VULN|5TLV|6DMG|78RCR|9CDMG|aRAT
30	36236 43331	   	286.04	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1MDPS|2ZMB|3LIT|4VULN|5TLV|6DMG|78RCR|9CDMG|aBELT
31	36236 43333	   	286.04	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1MDPS|2ZMB|3LIT|4VULN|5TLV|6DMG|78RCR|9CDMG|aFEWX
32	36236 43332	   	285.94	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1MDPS|2ZMB|3LIT|4VULN|5TLV|6DMG|78RCR|9CDMG|aAEFRZ
33	32336 43335	   	285.42	DCR|DCR|1TLV|1VULN|1DMG|2CDMG	1MDPS|2AAC|3LIT|4VULN|5TLV|6DMG|78RCR|9aCDMG
34	32333 15326	   	285.24	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2AAC|3LIT|4VULN|5CGEN|68RCR|7ASPD|9aTLV
35	32336 15321	   	285.24	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2AAC|3LIT|4VULN|59TLV|68RCR|7ASPD|aAME
36	32336 15323	   	285.24	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2AAC|3aLIT|4VULN|59TLV|68RCR|7ASPD
37	32336 15325	   	285.24	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2AAC|3LIT|4VULN|59TLV|68RCR|7ASPD|aLHND
38	32336 15322	   	285.14	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2AAC|3LIT|4VULN|59TLV|68RCR|7ASPD|aERES
39	32336 15324	   	285.14	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2AAC|3LIT|4VULN|59TLV|68RCR|7ASPD|aAEFRZ
40	23126 12332	   	284.01	ACR|2TLV|2VULN|2DMG	19DMG|2RPLT|3AETHUN|4RCR|5DUR|69VULN|7DMSP|89TLV|9BPWR|aZMB
41	23126 12333	   	284.01	ACR|2TLV|2VULN|2DMG	19DMG|2RPLT|3AETHUN|4RCR|5DUR|69VULN|7DMSP|89TLV|9BPWR|aRAT
