0	Index      	 *	Score 	Summary	Detail	
1	32145 32623	 * 	325.47	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	14TLV|2LIT|3LWND|59RCR|6AEBURN|7VULN|8CDMG|aDMG
19	36222 36232	 * 	310.28	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|47AEFBLL|568VULN|8BPWR|9RCR|aDUR
20	36226 34232	   	310.28	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|45AEFBLL|678VULN|8BPWR|9RCR|aDUR
21	21232 53513	   	310.26	DCR|DCR|1TLV|1VULN|2ASPD|1DMG|2DUR	1aDUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT
22	53331 32625	 * 	309.06	ACR|DCR|2VULN|1TLV|1AEFBLL|1AEPOI|1CDMG	1LIT|29RCR|3AEPOI|4TLV|5FEWX|6AEFBLL|7aVULN|8CDMG
23	53131 32625	   	309.06	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	13LIT|29RCR|3BPWR|4TLV|5FEWX|6AEFBLL|7aVULN|8CDMG
24	36222 42323	   	308.96	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2LWND|3ASPD|4AEFBLL|59VULN|6LSRHEA|7aRCR|8LHND
25	53334 22623	   	308.93	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1LIT|29RCR|3AEPOI|4TLV|5DUR|6RCVC|7VULN|8CDMG|aDMG
26	36222 52323	   	308.86	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2LWND|3ASPD|4AEFBLL|59VULN|6aRCR|7DUST|8VENICY
27	11326 53513	   	308.83	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD	1LHND|2DMG|3AEPOI|4VULN|5ASPD|69RCR|7TLV|8MBVNT|aDUR
28	21222 53514	   	308.83	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aDMSP
29	21222 53516	   	308.83	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aRPLT
30	21222 53517	   	308.83	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aBELT
31	41222 53513	   	308.83	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1FEWX|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aDUR
32	61222 53513	   	308.83	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1LWND|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aDUR
33	21222 53511	   	308.73	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aDUST
34	21222 53512	   	308.73	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aMDPS
35	21222 53515	   	308.73	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aAIRHEL
36	21232 53518	   	308.16	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aZMB
37	31122 33233	 * 	305.80	DCR|4VULN|2TLV|1AEFBLL	18TLV|28ZMB|3FEWX|4AEFBLL|568aVULN|7AETHUN|8BPWR|9RCR
38	32561 12242	   	305.60	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2LIT|36VULN|4RCVC|5RAT|79RCR|8CDMG|aDUR
39	35311 21364	 * 	305.55	DCR|3TLV|3VULN|2DMG	18aTLV|28ERES|3MDPS|4AETHUN|58aVULN|6LEGI|7RCR|8aBPWR|9aDMG
40	53333 32625	   	305.41	ACR|DCR|2TLV|1VULN|2AEPOI|1CDMG	17LIT|29RCR|37AEPOI|47TLV|5MDPS|6RCVC|7BPWR|8CDMG|aVULN
41	32145 12623	   	305.41	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	14TLV|2LIT|36LWND|59RCR|7VULN|8CDMG|aDMG
42	32145 32622	   	305.31	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	14TLV|2LIT|3LWND|59RCR|6AEBURN|7VULN|8CDMG|aERES
43	53222 23122	 * 	303.73	ACR|DCR|1TLV|1VULN|2DMG|1ASPD	1LIT|2aRCR|3VULN|4ASPD|57DMG|6RAT|8TLV|9AAC
44	31126 34233	   	302.51	DCR|4VULN|2TLV|2AEFBLL	18TLV|2ZMB|38FEWX|45AEFBLL|678aVULN|8BPWR|9RCR
45	31222 42323	   	302.15	DCR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2ZMB|3DUST|4AEFBLL|59VULN|6LSRHEA|7aRCR|8LWND
46	31522 42323	   	302.15	DCR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2ZMB|3LEGI|4AEFBLL|59VULN|6LSRHEA|7aRCR|8LWND
47	31522 52323	   	302.05	DCR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2ZMB|3LEGI|4AEFBLL|59VULN|6aRCR|7DUST|8VENICY
48	32245 22621	   	301.94	ACR|DCR|2TLV|1VULN|1CDMG	14TLV|2LIT|3DUR|59RCR|6RCVC|7VULN|8CDMG|aRAT
49	32565 13332	 * 	301.55	ACR|DCR|2TLV|2VULN	19TLV|2LIT|39VULN|4RCVC|5aRCR|6LWND|7MLV|89ERES|9BPWR
50	36232 42323	   	301.35	DCR|DCR|2VULN|1TLV|2ASPD	1TLV|2LWND|34ASPD|59VULN|6LSRHEA|7aRCR|8LHND
51	36232 52323	   	301.25	DCR|DCR|2VULN|1TLV|2ASPD	1TLV|2LWND|34ASPD|59VULN|6aRCR|7DUST|8VENICY
52	43123 52223	   	301.25	DCR|DCR|2VULN|1TLV|2ASPD	1FEWX|29VULN|3SNITOX|48ASPD|5TLV|6DUST|7aRCR
53	21232 53514	   	301.22	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aDMSP
54	21232 53516	   	301.22	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aRPLT
55	21232 53517	   	301.22	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aBELT
56	41232 53513	   	301.22	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1FEWX|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aDUR
57	61232 53513	   	301.22	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1LWND|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aDUR
58	21232 53511	   	301.12	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aDUST
59	21232 53512	   	301.12	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aMDPS
60	21232 53515	   	301.12	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1DUR|2DMG|34ASPD|5VULN|69RCR|7TLV|8MBVNT|aAIRHEL
61	36222 36231	   	300.62	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|47AEFBLL|568VULN|8BPWR|9RCR|aFEWX
62	36222 36233	   	300.62	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|47AEFBLL|568VULN|8BPWR|9RCR|aRCVC
63	36222 36234	   	300.62	DCR|3VULN|2TLV|2ASPD|2AEFBLL|1AEPOI	18TLV|2LWND|38ASPD|47AEFBLL|568VULN|8BPWR|9RCR|aAEPOI
64	36222 36235	   	300.62	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|47AEFBLL|568VULN|8BPWR|9RCR|aAAC
65	36226 34231	   	300.62	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|45AEFBLL|678VULN|8BPWR|9RCR|aFEWX
66	36226 34233	   	300.62	DCR|3VULN|2TLV|2ASPD|2AEFBLL	18TLV|2LWND|38ASPD|45AEFBLL|678VULN|8BPWR|9RCR|aRCVC
67	53131 22635	 * 	299.29	ACR|DCR|2TLV|1VULN|3DUR	137LIT|2aRCR|378BPWR|48TLV|578FEWX|678DUR|9VULN
68	53331 32623	   	299.27	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AEPOI|1CDMG	1LIT|29RCR|3AEPOI|4TLV|5FEWX|6AEFBLL|7VULN|8CDMG|aDMG
69	53336 22623	   	299.27	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AEPOI|1CDMG	1LIT|29RCR|3AEPOI|4TLV|5AEFBLL|6LWND|7VULN|8CDMG|aDMG
70	53131 32623	   	299.27	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	13LIT|29RCR|3BPWR|4TLV|5FEWX|6AEFBLL|7VULN|8CDMG|aDMG
71	53136 22623	   	299.27	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	13LIT|29RCR|3BPWR|4TLV|5AEFBLL|6LWND|7VULN|8CDMG|aDMG
72	11326 53511	   	299.07	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD	1LHND|2DMG|3AEPOI|4VULN|5ASPD|69RCR|7TLV|8MBVNT|aDUST
73	11326 53512	   	299.07	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD	1LHND|2DMG|3AEPOI|4VULN|5ASPD|69RCR|7TLV|8MBVNT|aMDPS
74	11326 53514	   	299.07	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD|1SELL	1LHND|2DMG|3AEPOI|4VULN|5ASPD|69RCR|7TLV|8MBVNT|aSELL
75	41222 53511	   	299.07	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1FEWX|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aDUST
76	41222 53512	   	299.07	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1FEWX|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aMDPS
77	41222 53514	   	299.07	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1SELL	1FEWX|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aSELL
78	61222 53511	   	299.07	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1LWND|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aDUST
79	61222 53512	   	299.07	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1LWND|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aMDPS
80	61222 53514	   	299.07	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1SELL	1LWND|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aSELL
81	32141 52241	 * 	298.89	DCR|DCR|2TLV|1VULN|1CDMG|2RAT	14TLV|2LIT|3LWND|56RAT|79RCR|8CDMG|aVULN
82	33324 61623	   	298.46	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2AEWIND|3ASPD|4BASFIG|5aRCR|6LWND|79VULN|8DUR
83	53331 22625	   	298.01	ACR|DCR|1TLV|1VULN|2AEPOI|2DUR|1CDMG	17LIT|29RCR|37AEPOI|4TLV|5FEWX|67DUR|7BPWR|8CDMG|aVULN
84	36222 33232	   	297.83	DCR|3VULN|2TLV|1AEFBLL|1ASPD	18TLV|28LWND|3ASPD|4AEFBLL|568VULN|7AETHUN|8BPWR|9RCR|aDUR
85	32245 62123	   	297.38	ACR|DCR|2TLV|1DMG|1AEPOI|1CDMG	14TLV|2LIT|3DUR|59RCR|6CDMG|7AEPOI|8LWND|aDMG
86	32531 32243	   	297.24	DCR|2TLV|2VULN|2DMG|1AEBURN	19TLV|2LIT|39VULN|4RPLT|5DUR|6LWND|79DMG|8RCR|9BPWR|aAEBURN
87	32531 32433	   	297.24	DCR|2TLV|2VULN|2DMG|1AEBURN	18TLV|2LIT|38VULN|4RPLT|5DUR|6LWND|78DMG|8BPWR|9RCR|aAEBURN
88	32531 52243	   	297.24	DCR|2TLV|2VULN|2DMG|1AEBURN	19TLV|2LIT|39VULN|4RPLT|5DUR|6LHND|79DMG|8RCR|9BPWR|aAEBURN
89	32531 52433	   	297.24	DCR|2TLV|2VULN|2DMG|1AEBURN	18TLV|2LIT|38VULN|4RPLT|5DUR|6LHND|78DMG|8BPWR|9RCR|aAEBURN
90	34311 15234	   	297.04	DCR|2TLV|2VULN|2DMG|1AEFBLL	1aTLV|2AME|3MDPS|4AETHUN|5aVULN|6DUR|7AEFBLL|8aDMG|9RCR|aBPWR
91	32561 12243	   	295.94	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2LIT|36VULN|4RCVC|5RAT|79RCR|8CDMG|aFEWX
92	53334 22621	   	295.80	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1LIT|29RCR|3AEPOI|4TLV|5DUR|6RCVC|7VULN|8CDMG|aRAT
