0	Index      	 *	Score 	Summary	Detail	
1	41417 43317	 * 	330.65	ACR|DCR|4VULN|1TLV	1LIT|2MBVNT|348aVULN|56RCR|7DUR|9TLV
34	41417 46311	   	306.78	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUST|9TLV|aRAT
35	41417 45224	   	306.78	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|34aVULN|56RCR|7ZMB|8TLV|9LEGI
36	41547 44212	   	305.31	ACR|DCR|2TLV|1VULN|1AEFBLL|1CDMG	1LIT|2MBVNT|3AEFBLL|4VULN|56RCR|7AME|89TLV|aCDMG
37	41417 43113	   	304.97	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aFRZFST
38	41417 43114	   	304.97	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aLHND
39	41417 43115	   	304.97	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aRMIN
40	41417 43118	   	304.97	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aDMSP
41	41547 43313	   	304.97	ACR|DCR|2VULN|1TLV|1AEFBLL	1LIT|2MBVNT|3AEFBLL|48VULN|56RCR|7DUR|9TLV|aFRZFST
42	41547 43314	   	304.97	ACR|DCR|2VULN|1TLV|1AEFBLL	1LIT|2MBVNT|3AEFBLL|48VULN|56RCR|7DUR|9TLV|aLHND
43	41417 43112	   	304.87	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aMDPS
44	41547 43312	   	304.87	ACR|DCR|2VULN|1TLV|1AEFBLL	1LIT|2MBVNT|3AEFBLL|48VULN|56RCR|7DUR|9TLV|aMDPS
45	41437 43117	   	304.87	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|3aVULN|4AEWIND|56RCR|7DUR|8AEPOI|9TLV
46	52412 42121	 * 	304.37	ACR|3TLV|2VULN|2DMG|1ASPD	1RCR|2AME|3aDMG|4ASPD|5DUR|67aTLV|8AEWIND|9aVULN|aBPWR
47	33433 24533	 * 	302.61	DCR|4VULN|1TLV|3DMG	17FEWX|2569VULN|346DMG|6BPWR|8RCR|aTLV
48	41417 45233	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	1LIT|2MBVNT|34VULN|56RCR|7ZMB|8TLV|9DMG|aFRZFST
49	41417 45234	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	1LIT|2MBVNT|34VULN|56RCR|7ZMB|8TLV|9DMG|aLHND
50	41417 45232	   	302.15	ACR|DCR|2VULN|1TLV|1DMG	1LIT|2MBVNT|34VULN|56RCR|7ZMB|8TLV|9DMG|aMDPS
51	41417 46111	   	302.15	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUST|8AEPOI|9TLV|aRAT
52	53621 12321	   	301.84	ACR|DCR|2TLV|1VULN|1ASPD	19RCR|2RPLT|3VULN|4DUR|5aTLV|6ZMB|7ASPD|8MDPS
53	41417 44227	   	301.65	ACR|DCR|2TLV|2VULN	1aLIT|2MBVNT|34VULN|56RCR|7aAME|8aTLV|9DMSP|aBPWR
54	41437 44227	   	301.55	ACR|DCR|2TLV|2VULN	1aLIT|2MBVNT|3aVULN|4AEWIND|56RCR|7AME|8aTLV|9DMSP|aBPWR
55	41417 44211	   	301.45	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7AME|89TLV|aMLV
56	41417 44213	   	301.45	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7AME|89TLV|aFEWX
57	41417 44214	   	301.45	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7AME|89TLV|aLWND
58	52332 32584	   	301.45	ACR|DCR|2TLV|2VULN	18RCR|2AME|3MLV|4LWND|59VULN|6aTLV|7MBVNT
59	53121 55321	   	301.35	ACR|DCR|2TLV|2VULN	19RCR|2RPLT|3aTLV|4FEWX|56VULN|7MBVNT|8MDPS
60	52112 32574	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	18RCR|2AME|3DUR|4MLV|5VULN|6aTLV|7MBVNT|9DMG
