0	Index      	 *	Score 	Summary	Detail	
1	52212 32634	 * 	228.67	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUR|8RCR|aMDPS
140	52212 32625	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB|aMBVNT
141	52212 32642	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9DUST|aZMB
142	52212 32652	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9MBVNT|aZMB
143	26116 35121	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|26aVULN|3AART|4AME|5DMG|7RCR|8LIT|9ZMB
144	52221 35121	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|26aVULN|3AART|4AME|5DUR|7RCR|8LIT|9ZMB
145	52221 35136	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|269VULN|3AART|4AME|5DUR|7RCR|8LIT|aZMB
146	32261 35121	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|26aVULN|3AART|4DMG|5DUR|7RCR|8LIT|9ZMB
147	32261 35136	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|269VULN|3AART|4DMG|5DUR|7RCR|8LIT|aZMB
148	32261 35622	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|269VULN|3AART|4DMG|5DUR|7RCR|8ZMB|aMLV
149	32261 35631	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|26aVULN|3AART|4DMG|5DUR|7RCR|8ZMB|9DMSP
150	52241 35121	   	202.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|26aVULN|3AART|4TLV|5DUR|7RCR|8LIT|9ZMB
151	52222 21133	 * 	202.00	2SPLARM|2VULN|1MDPS|2ASPD|1AART|1DMG|1CDMG	17ASPD|27VULN|3AART|4AME|5CDMG|67SPLARM|7BPWR|8BELT|9DMG|aMDPS
152	52242 21133	   	201.90	2SPLARM|2VULN|1MDPS|2ASPD|1AART|1DMG|1CDMG	17ASPD|27VULN|3AART|4TLV|5CDMG|67SPLARM|7BPWR|8BELT|9DMG|aMDPS
153	52263 33241	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|24VULN|3AART|5DUST|6BELT|7RCR|8MLV|9DMG|aCDMG
154	26125 35221	   	201.82	DCR|5VULN|1AART|1DUR	1DUR|2569aVULN|3AART|4FEWX|7RCR|8AME
155	52236 32131	   	201.79	ACR|3VULN|2ASPD|1AART|1DMG|1ZMB	19ASPD|26aVULN|3AART|4RCR|5DMG|7ZMB|8LWND
156	52266 11122	   	201.78	DCR|4VULN|1AART|1ASPD	1ASPD|2468VULN|3AART|5RCVC|7RCR|9LIT|aLHND
157	52212 34632	   	201.76	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|259VULN|3AART|4LIT|6DMG|7DUST|8RCR|aRCVC
158	52263 33141	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|24VULN|3AART|5DUST|6BELT|7RCR|8TLV|9DMG|aCDMG
159	52266 11131	   	201.68	DCR|4VULN|1AART|1ASPD	1ASPD|2468VULN|3AART|5RCVC|7RCR|9DUST|aVENFST
160	52266 11132	   	201.68	DCR|4VULN|1AART|1ASPD	1ASPD|2468VULN|3AART|5RCVC|7RCR|9DUST|aFEWX
161	16137 23235	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1BEXP|28VULN|35AART|4MBVNT|6LWND|7RCR|9ASPD|aDMG
162	16125 33312	   	201.64	DCR|4VULN|2AART|1DUR	1BEXP|2567VULN|3aAART|4FEWX|8RCR|9DUR
163	16126 33313	   	201.64	DCR|4VULN|2AART|1DUR	1BEXP|267aVULN|35AART|4FEWX|8RCR|9DUR
164	52236 33113	   	201.62	ACR|3VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|267VULN|38AART|4RCR|5DMG|9CGEN|aDUR
165	52236 33123	   	201.62	ACR|3VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|267VULN|38AART|4RCR|5DMG|9AME|aDUR
166	52236 33133	   	201.62	ACR|3VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|267VULN|38AART|4RCR|5DMG|9LWND|aDUR
