0	Index      	 *	Score 	Summary	Detail	
1	51122 33443	 * 	223.54	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	1aAART|2DUR|3CDMG|4VULN|5ASPD|6FEWX|7RCR|89DMG
54	34322 43326	 * 	204.35	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	1ZMB|29ASPD|37VULN|4DMG|59CDMG|6LHND|89BEXP|9BPWR|aRCR
55	34322 33326	   	204.25	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	1ZMB|29ASPD|37VULN|4DMG|59CDMG|6DUST|89FEWX|9BPWR|aRCR
56	51122 33421	   	204.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4VULN|5aASPD|6FEWX|7RCR|8DMG|9RMIN
57	51112 24422	 * 	204.06	1SPLARM|2VULN|2AART|2DMG|2CDMG|1ASPD|1DUR	18AART|2DUR|3aCDMG|4LHND|5ASPD|6aDMG|7SPLARM|9aVULN|aBPWR
58	51122 33341	   	204.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2DUR|3CDMG|4VULN|5aASPD|6FEWX|7RCR|8AAC|9DMG
59	51122 33541	   	204.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|3CDMG|4VULN|5aASPD|6FEWX|7RCR|8TLV|9DMG
60	52131 46121	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|37VULN|4LIT|5LWND|6RCR|8CGEN|9DMG|aCDMG
61	52133 46121	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|37VULN|4LIT|5LHND|6RCR|8CGEN|9DMG|aCDMG
62	51122 53341	   	203.90	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2DUR|3CDMG|4VULN|5aASPD|6DUST|7RCR|8AAC|9DMG
63	51124 33341	   	203.90	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2DUR|3CDMG|4VULN|5DUST|6aASPD|7RCR|8AAC|9DMG
64	52131 46321	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|37VULN|4LIT|5LWND|6RCR|8TLV|9DMG|aCDMG
65	52133 46321	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|37VULN|4LIT|5LHND|6RCR|8TLV|9DMG|aCDMG
66	55125 33321	 * 	203.74	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|289BEXP|38CDMG|4aVULN|5LHND|68ASPD|7RCR|8BPWR
67	22363 11483	 * 	203.58	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1RMIN|29AART|3aVULN|4MBVNT|5MDPS|6RCR|7ASPD|8DMG
68	51123 33443	   	203.38	DCR|2AART|2DMG|1VULN|1CDMG|1AAC|1DUR	1aAART|2DUR|3CDMG|4VULN|5AAC|6FEWX|7RCR|89DMG
69	53131 33443	   	203.38	DCR|2AART|2DMG|1VULN|1CDMG|1AAC|1DUR	1aAART|2CDMG|3VULN|4AAC|5DUR|6FEWX|7RCR|89DMG
70	52252 31363	   	203.37	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AART|2ASPD|3SPLREG|4DUR|5CDMG|6AAC|7aVULN|8ZMB|9RCR
71	34322 12421	 * 	203.36	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|26ASPD|3VULN|4aDMG|58CDMG|7LWND|9RCR
72	34322 15421	   	203.36	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|26ASPD|3VULN|4aDMG|58CDMG|7LHND|9RCR
73	34324 12421	   	203.36	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|25ASPD|3VULN|4aDMG|6LHND|78CDMG|9RCR
74	53112 53341	   	203.34	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|28CDMG|3aVULN|4LEGI|58ASPD|689DUST|7RCR|8BPWR
75	53114 33341	   	203.34	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|28CDMG|3aVULN|4LEGI|589DUST|68ASPD|7RCR|8BPWR
76	53112 33326	   	203.32	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	1AART|28CDMG|3VULN|4LEGI|58ASPD|68FEWX|7RCR|8BPWR|9LIT|aDMG
77	53115 33336	   	203.32	DCR|2ASPD|1VULN|2CDMG|1AART|1DMG	1AART|28CDMG|3VULN|4LEGI|58LHND|68ASPD|7RCR|8BPWR|9LIT|aDMG
78	16612 13326	   	203.31	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR	1LHND|23DMG|47VULN|5CDMG|6ASPD|89DUR|aRCR
79	34322 34421	   	203.26	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|27ASPD|3VULN|4aDMG|58CDMG|6DUST|9RCR
80	53112 53326	   	203.12	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	1AART|28CDMG|3VULN|4LEGI|58ASPD|68DUST|7RCR|8BPWR|9LIT|aDMG
81	53114 33326	   	203.12	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	1AART|28CDMG|3VULN|4LEGI|58DUST|68ASPD|7RCR|8BPWR|9LIT|aDMG
82	22363 12817	 * 	203.06	DCR|3VULN|1MDPS|2DMG|1AART	1RMIN|2AART|37aVULN|4MBVNT|5MDPS|6RCR|8aDMG|9aMLV|aBPWR
83	22363 12837	   	203.06	DCR|3VULN|1MDPS|2DMG|1AART	1RMIN|2AART|37aVULN|4MBVNT|5MDPS|6RCR|8aDMG|9aAME|aBPWR
84	53121 33442	   	202.98	DCR|2DMG|1VULN|1AART|1CDMG|2DUR|1ZMB	1AART|2CDMG|3VULN|4ZMB|5aDUR|6FEWX|7RCR|89DMG
85	34338 72121	   	202.93	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9AART|aCGEN
86	34338 72124	   	202.93	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9AART|aLWND
87	22363 14487	   	202.86	DCR|3VULN|1MDPS|2DMG|1AART	1RMIN|2AART|39aVULN|4MBVNT|5MDPS|6RCR|7aTLV|8aDMG|aBPWR
88	22262 42211	 * 	202.71	DCR|3VULN|3AART|1DMG|1NUKE	1RMIN|239AART|4NUKE|567VULN|6BPWR|8RCR|aDMG
89	34353 12326	   	202.44	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1ZMB|29ASPD|3VULN|4DUR|5DMSP|69DMG|7CDMG|89BEXP|9BPWR|aRCR
90	31215 51261	 * 	202.40	DCR|1SPLARM|2VULN|2ASPD|1CDMG|2ZMB	12ZMB|2BPWR|3VENFST|4CDMG|57ASPD|6RCR|8aVULN|9SPLARM
91	52135 36221	   	202.20	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1AART|26ASPD|3VULN|4LIT|56CGEN|6BPWR|7DUR|8RCR|9DMG|aCDMG
92	34338 12123	   	202.10	DCR|3ASPD|1VULN|1AART|1CDMG|2ZMB	18ZMB|28aASPD|3VULN|4MBVNT|5CDMG|68DUST|7RCR|8BPWR|9AART
93	55122 33433	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2BEXP|3CDMG|4aVULN|5ASPD|6FEWX|7RCR|8DMG|9RPLT
94	31223 54413	 * 	201.95	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	12aZMB|2BPWR|3VENFST|4DMG|5DUR|6RCR|79VULN|8AART
95	53112 33433	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3aVULN|4LEGI|5ASPD|6FEWX|7RCR|8DMG|9RPLT
96	53112 33453	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3aVULN|4LEGI|5ASPD|6FEWX|7RCR|8DMG|9LWND
97	53115 33413	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3aVULN|4LEGI|5LHND|6ASPD|7RCR|8DMG|9FEWX
98	53322 33453	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3DUST|4aVULN|5ASPD|6FEWX|7RCR|8DMG|9LWND
99	51122 24162	   	201.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1aAART|2DUR|3CDMG|4VULN|5ASPD|6DMG|7MSLREG|8RMIN|9RCR
100	52132 61222	   	201.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	16AART|2aASPD|3VULN|4LIT|5DUST|7DMG|8RCR|9DUR
101	53112 53413	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3aVULN|4LEGI|5ASPD|6DUST|7RCR|8DMG|9FEWX
102	53114 33413	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3aVULN|4LEGI|5DUST|6ASPD|7RCR|8DMG|9FEWX
103	34112 16126	   	201.56	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|29ASPD|34FEWX|5VULN|69DMG|7LHND|89CDMG|9BPWR|aRCR
104	34313 16126	   	201.56	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|29ASPD|3VULN|4FEWX|5DMSP|69DMG|7LHND|89CDMG|9BPWR|aRCR
105	35151 42121	   	201.43	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR|2SELL	18ZMB|2DUR|36SELL|48VULN|58ASPD|7RCR|8BPWR|9AART|aCGEN
106	34322 33426	 * 	201.20	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|2ASPD|37VULN|4DMG|58CDMG|6DUST|9RCR|aMDPS
107	52224 26312	 * 	200.74	DCR|3VULN|1AART|1ASPD|1ZMB	1AART|2ASPD|3SPLREG|4LWND|589VULN|6DMSP|7RCR|aZMB
108	26335 26312	   	200.64	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2SPLREG|389VULN|4DMG|5AART|6TLV|7RCR|aZMB
109	53121 33433	   	200.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4ZMB|5DUR|6FEWX|7RCR|8DMG|9RPLT
110	53121 33453	   	200.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4ZMB|5DUR|6FEWX|7RCR|8DMG|9LWND
111	53121 53413	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4ZMB|5DUR|6DUST|7RCR|8DMG|9FEWX
112	53121 33421	   	200.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5DUR|6FEWX|7RCR|8DMG|9RMIN|aASPD
113	53121 33341	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5DUR|6FEWX|7RCR|8AAC|9DMG|aASPD
114	53121 33541	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5DUR|6FEWX|7RCR|8TLV|9DMG|aASPD
115	51125 33221	   	200.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	18AART|2DUR|3CDMG|4VULN|5LHND|6aASPD|7RCR|9BEXP
116	51125 33234	   	200.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	18AART|2DUR|3CDMG|4VULN|5LHND|6aASPD|7RCR|9LIT
117	11633 31343	   	200.02	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1LHND|2ASPD|3DMG|4AME|5AART|6DUR|7ZMB|8VULN|9RCR|aNUKE
118	53121 53341	   	200.01	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5DUR|6DUST|7RCR|8AAC|9DMG|aASPD
119	51125 33241	   	200.01	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	18AART|2DUR|3CDMG|4VULN|5LHND|6aASPD|7RCR|9DUST
120	51112 33443	   	199.76	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	1aAART|2DUR|3CDMG|4LHND|5ASPD|6FEWX|7RCR|89DMG
121	22363 11317	 * 	199.69	DCR|3VULN|1MDPS|2ASPD|1AART	1RMIN|2AART|38aVULN|4MBVNT|5MDPS|6RCR|7aASPD|9aMLV|aBPWR
122	22363 11337	   	199.69	DCR|3VULN|1MDPS|2ASPD|1AART	1RMIN|2AART|38aVULN|4MBVNT|5MDPS|6RCR|7aASPD|9aAME|aBPWR
123	22363 11367	   	199.49	DCR|3VULN|1MDPS|2ASPD|1AART	1RMIN|2AART|38aVULN|4MBVNT|5MDPS|6RCR|7aASPD|9aERES|aBPWR
124	52131 61235	   	199.46	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	16AART|2ASPD|3VULN|4LIT|5LWND|7DMG|8RCR|9BEXP|aNUKE
125	52133 61235	   	199.46	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	16AART|2ASPD|3VULN|4LIT|5LHND|7DMG|8RCR|9BEXP|aNUKE
126	55125 33322	 * 	199.43	DCR|2AART|2ASPD|1VULN|2CDMG	1aAART|289BEXP|38CDMG|4VULN|5LHND|68ASPD|7RCR|8BPWR
127	52211 12265	 * 	199.33	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	14AART|27ASPD|3SPLREG|5BELT|6DUR|8CDMG|9RCR|aDMG
128	34338 72142	   	199.21	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9DMG|aBEXP
129	34338 72144	   	199.21	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR|2ZMB	18ZMB|28ASPD|3VULN|4MBVNT|5CDMG|68DUR|7RCR|8BPWR|9DMG|aCGEN
130	34322 13121	   	199.15	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	17ZMB|26ASPD|3VULN|4aDMG|5CDMG|8LWND|9RCR
131	34322 13421	   	199.15	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	17ZMB|26ASPD|3VULN|4aDMG|5CDMG|8BEXP|9RCR
132	34324 62121	   	199.15	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	16ZMB|25ASPD|3VULN|4aDMG|7CDMG|8LWND|9RCR
133	53112 33441	   	199.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|3VULN|4LEGI|5ASPD|6FEWX|7RCR|89DMG|aCGEN
134	53322 33441	   	199.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2CDMG|3DUST|4VULN|5ASPD|6FEWX|7RCR|89DMG|aCGEN
135	53112 53342	   	199.03	DCR|2AART|2ASPD|1VULN|2CDMG	1aAART|28CDMG|3VULN|4LEGI|58ASPD|689DUST|7RCR|8BPWR
136	53114 33342	   	199.03	DCR|2AART|2ASPD|1VULN|2CDMG	1aAART|28CDMG|3VULN|4LEGI|589DUST|68ASPD|7RCR|8BPWR
137	53113 33443	   	198.96	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1AAC	1AART|2CDMG|3VULN|4LEGI|5AAC|6FEWX|7RCR|89DMG|aASPD
138	53133 33443	   	198.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2CDMG|3VULN|4AAC|5DUST|6FEWX|7RCR|89DMG|aASPD
139	53323 33443	   	198.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2CDMG|3DUST|4VULN|5AAC|6FEWX|7RCR|89DMG|aASPD
140	52224 16312	   	198.72	DCR|3VULN|1AART|1ASPD|1DUR	1AART|2ASPD|3SPLREG|4LWND|589VULN|6CGEN|7RCR|aDUR
141	52234 16312	   	198.72	DCR|3VULN|1AART|1ASPD|1DUR	1AART|2ASPD|3SPLREG|4BEXP|589VULN|6CGEN|7RCR|aDUR
142	51125 33325	   	198.52	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR|1AAC	1AART|28DUR|38CDMG|4VULN|5LHND|68ASPD|7RCR|8BPWR|9BEXP|aAAC
143	34334 31444	   	198.50	DCR|3VULN|3ZMB|1ASPD|3DUR	178ZMB|2ASPD|378VULN|4MBVNT|578DUR|6LEGI|78BPWR|9MLV|aRCR
144	61215 53122	   	198.41	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	12MLV|2BPWR|3SPLARM|4CDMG|5ASPD|6RCR|7aVULN|8AART|9AELBLL
145	61215 53133	   	198.41	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	129MLV|2BPWR|3SPLARM|4CDMG|5ASPD|6RCR|7aVULN|8AART
146	51132 25522	 * 	198.41	1SPLARM|2VULN|2AART|2ASPD|1DMG|1CDMG|2DUR	18AART|2aDUR|3CDMG|4MBVNT|5aASPD|6DMG|7SPLARM|9aVULN|aBPWR
