0	Index      	 *	Score 	Summary	Detail	
1	11544 31332	 * 	232.76	DCR|3VULN|3ASPD|1MDPS|1DMG	1RPLT|256VULN|358ASPD|4RMIN|5BPWR|7RCR|9DMG|aMDPS
14	43126 31341	 * 	211.50	DCR|2VULN|2DMG|1AART|1ASPD|2RMIN	12RMIN|3aDMG|46VULN|5RPLT|7RCR|8ASPD|9AART
15	21334 44111	   	210.92	DCR|3VULN|3ASPD|2CDMG	138BEXP|289ASPD|4LWND|59CDMG|689VULN|7RCR|89BPWR|aFEWX
16	21334 44112	   	210.92	DCR|3VULN|3ASPD|2CDMG	138BEXP|289ASPD|4LWND|59CDMG|689VULN|7RCR|89BPWR|aAME
17	21324 44111	   	210.82	DCR|3VULN|3ASPD|2CDMG	138BEXP|289ASPD|4DUST|59CDMG|689VULN|7RCR|89BPWR|aFEWX
18	21324 44112	   	210.82	DCR|3VULN|3ASPD|2CDMG	138BEXP|289ASPD|4DUST|59CDMG|689VULN|7RCR|89BPWR|aAME
19	21421 42433	 * 	210.82	DCR|3VULN|2DMG|1ASPD|1ZMB	17BEXP|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8FEWX|9RCR|aZMB
20	25116 14133	 * 	210.72	DCR|3VULN|3ASPD|1MDPS|2CDMG	19BEXP|2MDPS|35CDMG|459ASPD|59BPWR|69aVULN|7RCR|8BELT
21	31421 42433	   	210.62	DCR|3VULN|2DMG|1ASPD|1ZMB	17DUST|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8FEWX|9RCR|aZMB
22	43126 31342	 * 	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2RMIN	12RMIN|3DMG|46VULN|5RPLT|7RCR|8ASPD|9AART|aCDMG
23	21421 42236	 * 	209.74	DCR|3VULN|2DMG|1MDPS|1ASPD	17BEXP|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8DUST|9RCR|aMDPS
24	43153 42111	   	209.07	DCR|3VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|59aVULN|6aBEXP|7RCVC|8RCR|aBPWR
25	43153 52111	   	209.07	DCR|3VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|59aVULN|6aFEWX|7RCVC|8RCR|aBPWR
26	21421 42122	   	208.82	DCR|3VULN|2DMG|1ASPD|1ZMB	17BEXP|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8LHND|9ZMB|aRCR
27	21421 42422	   	208.82	DCR|3VULN|2DMG|1ASPD|1ZMB	17BEXP|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8FEWX|9ZMB|aRCR
28	11224 11254	   	208.81	DCR|3VULN|1ASPD|1DMG|3DUR|1CDMG	1RPLT|245VULN|345DUR|45BPWR|6MLV|7CDMG|8DMG|9ASPD|aRCR
29	21421 42222	   	208.72	DCR|3VULN|2DMG|1ASPD|1ZMB	17BEXP|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8DUST|9ZMB|aRCR
30	31421 42122	   	208.62	DCR|3VULN|2DMG|1ASPD|1ZMB	17DUST|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8LHND|9ZMB|aRCR
31	31421 42422	   	208.62	DCR|3VULN|2DMG|1ASPD|1ZMB	17DUST|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8FEWX|9ZMB|aRCR
32	31421 42622	   	208.62	DCR|3VULN|2DMG|1ASPD|1ZMB	17DUST|2ASPD|357VULN|4RMIN|67DMG|7BPWR|8BEXP|9ZMB|aRCR
33	11344 31324	 * 	208.58	DCR|4VULN|3ZMB|1ASPD	1RPLT|256aVULN|359ZMB|4RMIN|5BPWR|7RCR|8ASPD
34	43153 11125	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2RMIN	12RMIN|3DMG|4AART|57VULN|6LWND|8RCR|9CDMG|aASPD
35	43153 11161	   	207.46	DCR|3VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|57aVULN|6aLWND|8RCR|9DMSP|aBPWR
36	43153 51131	   	207.46	DCR|3VULN|2DMG|1AART|2RMIN	12RMIN|3aDMG|4AART|57aVULN|69aFEWX|8RCR|aBPWR
37	23261 44113	   	207.06	DCR|3VULN|3ASPD|1DMG|1SELL	158BEXP|29LHND|389ASPD|4SELL|689VULN|7RCR|89BPWR|aDMG
38	11543 31161	 * 	206.86	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|26VULN|35ASPD|4RMIN|7RCR|8AART|9MLV|aDMG
39	11543 31141	   	206.76	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|26VULN|35ASPD|4RMIN|7RCR|8AART|9ERES|aDMG
40	43153 11116	 * 	205.93	DCR|3VULN|1AART|1DMG|1CDMG|2RMIN	12RMIN|3DMG|4AART|579VULN|6LWND|8RCR|aCDMG
41	43153 11122	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|2RMIN	12RMIN|3DMG|4AART|57aVULN|6LWND|8RCR|9CDMG
42	43153 41122	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|2RMIN	12RMIN|3DMG|4AART|57aVULN|6BEXP|8RCR|9CDMG
43	43153 51122	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|2RMIN	12RMIN|3DMG|4AART|57aVULN|6FEWX|8RCR|9CDMG
44	43153 11115	   	205.52	DCR|4VULN|1AART|1DMG|2RMIN	12RMIN|3DMG|4AART|579aVULN|6LWND|8RCR
45	11544 31123	   	205.48	DCR|3VULN|2ASPD|1AART	1aRPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9RCVC
46	11346 31341	   	205.43	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RPLT|26VULN|3ZMB|4RMIN|5RCVC|7RCR|8ASPD|9AART|aDMG
47	11543 31122	   	205.38	DCR|3VULN|2ASPD|1AART	1RPLT|26aVULN|35ASPD|4RMIN|7RCR|8AART|9RCVC
48	11544 31121	   	205.38	DCR|3VULN|2ASPD|1AART	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9RCVC|aDUST
49	11543 31332	   	205.37	DCR|3ASPD|2VULN|1MDPS|1DMG	1RPLT|26VULN|358ASPD|4RMIN|7RCR|9DMG|aMDPS
50	41431 42222	 * 	205.20	DCR|2VULN|2DMG|2ASPD|1ZMB	1RMIN|27LHND|35VULN|47ASPD|67DMG|7BPWR|8FEWX|9ZMB|aRCR
51	11344 31125	   	204.81	DCR|3VULN|1AART|1ASPD|2ZMB	1RPLT|256VULN|35ZMB|4RMIN|5BPWR|7RCR|8AART|9RCVC|aASPD
52	11544 31131	   	204.73	DCR|3VULN|2ASPD|1AART	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9BELT|aBEXP
53	11544 31132	   	204.73	DCR|3VULN|2ASPD|1AART	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9aBELT
54	11544 31111	   	204.53	DCR|3VULN|2ASPD|1AART|1MSE	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9MSE|aLWND
55	11544 31112	   	204.53	DCR|3VULN|2ASPD|1AART|1MSE	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9MSE|aBASARM
56	11544 31113	 * 	204.53	DCR|3VULN|2ASPD|1AART|1DMG|1MSE	1RPLT|256VULN|35ASPD|4RMIN|5BPWR|7RCR|8AART|9MSE|aDMG
57	31435 31162	   	204.53	DCR|3VULN|2ASPD|2CDMG	19DUST|28ASPD|39aVULN|4AME|5SPLREG|69CDMG|7RCR|9BPWR
58	31415 31162	   	204.43	DCR|3VULN|2ASPD|2CDMG	19DUST|28ASPD|39aVULN|4TLV|5SPLREG|69CDMG|7RCR|9BPWR
59	11344 31161	   	204.06	DCR|3VULN|1AART|1ASPD|2ZMB	1RPLT|256VULN|35ZMB|4RMIN|5BPWR|7RCR|8AART|9MLV|aASPD
60	11344 31343	   	204.06	DCR|3VULN|1AART|1ASPD|2ZMB	1RPLT|256VULN|35ZMB|4RMIN|5BPWR|7RCR|8ASPD|9AART|aCGEN
61	11344 31141	   	203.96	DCR|3VULN|1AART|1ASPD|2ZMB	1RPLT|256VULN|35ZMB|4RMIN|5BPWR|7RCR|8AART|9ERES|aASPD
62	11344 31342	   	203.96	DCR|3VULN|1AART|1ASPD|2ZMB|1MSE	1RPLT|256VULN|35ZMB|4RMIN|5BPWR|7RCR|8ASPD|9AART|aMSE
63	51651 23322	   	203.71	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR	19ERES|2AME|39VULN|4aASPD|5DUR|6RCR|7AART|89ZMB|9BPWR
64	11544 31322	   	203.24	DCR|3VULN|3ASPD|1MDPS	1RPLT|256VULN|358ASPD|4RMIN|5BPWR|7RCR|9AME|aMDPS
65	25115 14133	   	203.19	DCR|3VULN|3ASPD|1MDPS|1CDMG	19BEXP|2MDPS|3CDMG|459ASPD|69aVULN|7RCR|8BELT|9BPWR
66	43123 42122	 * 	203.00	ACR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|2RMIN	12RMIN|37DMG|47VULN|5RCR|67ASPD|7BPWR|8LHND|9ZMB|aMDPS
67	43123 42422	   	203.00	ACR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|2RMIN	12RMIN|37DMG|47VULN|5RCR|67ASPD|7BPWR|8FEWX|9ZMB|aMDPS
68	43123 42622	   	203.00	ACR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|2RMIN	12RMIN|37DMG|47VULN|5RCR|67ASPD|7BPWR|8BEXP|9ZMB|aMDPS
69	43123 42222	   	202.90	ACR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|2RMIN	12RMIN|37DMG|47VULN|5RCR|67ASPD|7BPWR|8DUST|9ZMB|aMDPS
