0	Index      	 *	Score 	Summary	Detail	
1	15162 21152	 * 	225.55	DCR|5VULN|2DMG|1ASPD	1FEWX|24DMG|34579VULN|4BPWR|6RPLT|8RCR|aASPD
91	13665 32322	   	197.90	DCR|3VULN|2ASPD|2DUR|1ZMB	1FEWX|29DUR|3DUST|4ZMB|59ASPD|6LWND|7RCR|89aVULN|9BPWR
92	34366 44411	   	197.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|2DUST|3DMG|4RPLT|5MBVNT|6RCR|7aVULN|8ASPD|9AART
93	62132 53163	   	197.64	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB	1TLV|24DUR|345VULN|4BPWR|6ASPD|7DMG|8BEXP|9ZMB|aRCR
94	55331 25223	   	197.58	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1aDMG|2aMLV|3AART|4RPLT|5AAC|6CDMG|7BEXP|8RCR|9aVULN|aBPWR
95	15133 34336	   	197.47	DCR|3DMG|2VULN|1ASPD|1DUR	1FEWX|246DMG|38VULN|5DUR|7ASPD|9LHND|aRCR
96	22365 22322	   	197.44	DCR|3VULN|2DMG|1MDPS|1ASPD	19BEXP|2MDPS|3DMSP|49DMG|5ASPD|6LWND|7RCR|89aVULN|9BPWR
97	22365 62322	   	197.44	DCR|3VULN|2DMG|1MDPS|1ASPD	19BEXP|2MDPS|3DMSP|49DMG|5ASPD|6LHND|7RCR|89aVULN|9BPWR
98	15162 31316	   	197.37	DCR|3VULN|3DMG|1ZMB	1FEWX|248DMG|345VULN|4BPWR|6LWND|7BEXP|9ZMB|aRCR
99	15162 33316	   	197.27	DCR|3VULN|3DMG|1ZMB	1FEWX|248DMG|345VULN|4BPWR|6LWND|7DUST|9ZMB|aRCR
100	61111 33442	   	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1TLV|2LEGI|35VULN|45DUR|5BPWR|6DMG|7AART|8RCR|9ASPD|aSPLJET
101	15133 25136	   	197.14	DCR|3VULN|3DMG|1DUR	1FEWX|247DMG|369VULN|5DUR|8RCVC|aRCR
102	15133 35362	   	197.14	DCR|3VULN|3DMG|1DUR	1FEWX|246DMG|38aVULN|5DUR|7ERES|9RCR
103	61111 33441	   	197.05	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1TLV|2LEGI|35VULN|45DUR|5BPWR|6DMG|7AART|8RCR|9ASPD|aCANARM
104	52363 42313	   	196.88	DCR|3DMG|2VULN|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9RPLT|aLWND
105	52363 42323	   	196.88	DCR|3DMG|2VULN|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9AME|aLWND
106	52363 42333	   	196.88	DCR|3DMG|2VULN|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9CGEN|aLWND
107	52363 42312	   	196.78	DCR|3DMG|2VULN|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9RPLT|aERES
108	52363 42322	   	196.78	DCR|3DMG|2VULN|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9AME|aERES
109	52363 42332	   	196.78	DCR|3DMG|2VULN|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9CGEN|aERES
110	13345 32326	   	196.67	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC	1FEWX|29DUR|3DMG|4BEXP|59ASPD|6LWND|7RCR|89VULN|9BPWR|aAAC
111	13355 32326	   	196.67	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC	1FEWX|29DUR|3DMG|4LHND|59ASPD|6LWND|7RCR|89VULN|9BPWR|aAAC
112	13345 22326	   	196.57	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC	1FEWX|29DUR|3DMG|4BEXP|59ASPD|6DUST|7RCR|89VULN|9BPWR|aAAC
113	13355 22326	   	196.57	DCR|2VULN|2ASPD|1DMG|1AAC|2DUR	1FEWX|29DUR|3DMG|4LHND|59ASPD|6DUST|7RCR|89VULN|9BPWR|aAAC
114	23512 11165	   	196.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|38VULN|4CDMG|5ZMB|6DUST|7DMG|9RCR|aAART
115	15163 32314	   	196.37	DCR|3DMG|2VULN|1AAC|1ZMB|1DUR|1SELL	1FEWX|246DMG|34VULN|4BPWR|5DUR|7SELL|8ZMB|9RCR|aAAC
116	34112 21165	   	196.33	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|38VULN|4DUR|5LEGI|6CDMG|7DMG|9RCR|aAART
117	31321 41343	   	196.30	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2LHND|3DMG|469VULN|5MDPS|7ASPD|8RCR|aDUR
118	31321 56343	   	196.30	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2LHND|3DMG|479VULN|5MDPS|6ASPD|8RCR|aDUR
119	32344 33235	 * 	196.22	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2BELT|3DMG|45AART|6RMIN|7RCR|8CDMG|9DUR|aVULN
120	34131 41343	   	196.20	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUST|369VULN|4DMG|5MDPS|7ASPD|8RCR|aDUR
121	34321 41343	   	196.20	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUST|3DMG|469VULN|5MDPS|7ASPD|8RCR|aDUR
122	62321 41312	   	196.20	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1TLV|2DUR|3DMG|46aVULN|5MDPS|7ASPD|8RCR|9ZMB
123	55222 53321	 * 	196.11	DCR|2VULN|2ASPD|1DMG|1NUKE	1DMG|2MLV|34VULN|5RMIN|68ASPD|7RCR|9NUKE|aBEXP
124	55222 53323	   	196.11	DCR|2VULN|2ASPD|1DMG|1NUKE	1DMG|2aMLV|34VULN|5RMIN|68ASPD|7RCR|9NUKE
125	31321 31343	   	196.05	DCR|2VULN|1MDPS|2DMG|1ASPD|1ZMB|1DUR	1ZMB|2LHND|36DMG|49VULN|5MDPS|7ASPD|8RCR|aDUR
126	31321 41355	   	196.05	DCR|2VULN|1MDPS|2DMG|1ASPD|1ZMB|1DUR	1ZMB|2LHND|3aDMG|46VULN|5MDPS|7ASPD|8RCR|9DUR
127	34131 31343	   	195.95	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB|1DUR	1ZMB|2DUST|39VULN|46DMG|5MDPS|7ASPD|8RCR|aDUR
128	34321 31343	   	195.95	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB|1DUR	1ZMB|2DUST|36DMG|49VULN|5MDPS|7ASPD|8RCR|aDUR
129	62321 31312	   	195.95	DCR|2VULN|1MDPS|2DMG|1ASPD|1ZMB|1DUR	1TLV|2DUR|36DMG|4aVULN|5MDPS|7ASPD|8RCR|9ZMB
130	51125 11243	   	195.76	DCR|2VULN|2DMG|1ASPD|1CDMG	19DMG|2LHND|3aVULN|4BELT|5LIT|6CDMG|7RCR|8ASPD
