0	Index      	 *	Score 	Summary	Detail	
1	11632 53224	 * 	243.50	DCR|2SPLARM|2DMG|1MDPS|1VULN|1AART|1NUKE|1AAC	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8AAC|9BEXP|aNUKE
12	11633 53343	   	230.01	DCR|3VULN|1SPLARM|1MDPS|2DMG|1AART	1MDPS|25aVULN|3SPLARM|4aDMG|6AART|7RCR|8aERES|9MBVNT|aBPWR
13	11634 13343	   	230.01	DCR|3VULN|1SPLARM|1MDPS|2DMG|1AART	1MDPS|26aVULN|3SPLARM|4aDMG|5AART|7RCR|8aERES|9MBVNT|aBPWR
14	11632 54123	   	227.38	DCR|2SPLARM|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7DUR|8RPLT|9RCR|aASPD
15	11614 13343	   	226.64	DCR|3VULN|1SPLARM|1MDPS|2ASPD|1AART	1MDPS|26aVULN|3SPLARM|4aASPD|5AART|7RCR|8aERES|9MBVNT|aBPWR
16	11633 53522	 * 	225.08	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1MDPS|25VULN|3SPLARM|4DMG|6AART|7RCR|8BEXP|9ZMB|aASPD
17	11634 13522	   	225.08	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1MDPS|26VULN|3SPLARM|4DMG|5AART|7RCR|8BEXP|9ZMB|aASPD
18	11633 53632	   	224.98	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1MDPS|25VULN|3SPLARM|4DMG|6AART|7RCR|8MBVNT|9ZMB|aASPD
19	11634 13632	   	224.98	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1MDPS|26VULN|3SPLARM|4DMG|5AART|7RCR|8MBVNT|9ZMB|aASPD
20	11623 53153	   	223.54	DCR|2SPLARM|3VULN|1MDPS|1AART|1ASPD	1MDPS|259VULN|39SPLARM|49TLV|6AART|7RCR|8RPLT|9BPWR|aASPD
21	11624 13153	   	223.54	DCR|2SPLARM|3VULN|1MDPS|1AART|1ASPD	1MDPS|269VULN|39SPLARM|49TLV|5AART|7RCR|8RPLT|9BPWR|aASPD
22	11632 53113	   	223.39	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|2aVULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8RPLT|9AME
23	11632 53123	   	223.39	DCR|2SPLARM|2VULN|2DMG|1MDPS|1AART	1MDPS|2aVULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8RPLT|9RMIN
24	11632 53513	   	223.39	DCR|2SPLARM|2VULN|2DMG|1MDPS|1AART	1MDPS|2aVULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8BEXP|9BELT
25	11632 53133	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|2aVULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8RPLT|9TLV
26	11632 53143	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|2aVULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8RPLT|9ERES
27	11632 53326	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|2aVULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|9BEXP
28	11632 53331	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|29VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|aBEXP
29	11632 53332	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|29VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|aBELT
30	11632 53333	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|29VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|aDMSP
31	11632 53334	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|29VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|aCGEN
32	11632 53335	   	223.29	DCR|2SPLARM|2VULN|1MDPS|2DMG|1AART	1MDPS|29VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|aRCVC
33	11632 53322	   	222.98	DCR|2SPLARM|2DMG|1MDPS|1AART|1VULN|1ASPD	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|9BEXP|aASPD
34	11632 53324	   	222.88	DCR|2SPLARM|1MDPS|2DMG|1AART|1VULN|1NUKE	1MDPS|2VULN|35SPLARM|45DMG|5BPWR|6AART|7RCR|8ERES|9BEXP|aNUKE
35	11662 53233	   	222.12	DCR|2SPLARM|3VULN|1MDPS|1AART|1AAC|1ZMB|1DUR	1MDPS|259VULN|35SPLARM|4AAC|5BPWR|6AART|7RCR|8ZMB|aDUR
36	11614 13522	   	219.24	DCR|1SPLARM|2VULN|1MDPS|2ASPD|1AART|1ZMB	1MDPS|26VULN|3SPLARM|4aASPD|5AART|7RCR|8BEXP|9ZMB
37	11614 13632	   	219.14	DCR|1SPLARM|2VULN|1MDPS|2ASPD|1AART|1ZMB	1MDPS|26VULN|3SPLARM|4aASPD|5AART|7RCR|8MBVNT|9ZMB
38	11614 14123	   	219.06	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1MDPS|26VULN|3SPLARM|4ASPD|5AART|7DUR|8RPLT|9RCR|aDMG
39	11633 54123	   	219.06	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1MDPS|25VULN|3SPLARM|4DMG|6AART|7DUR|8RPLT|9RCR|aASPD
40	11634 14123	   	219.06	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1MDPS|26VULN|3SPLARM|4DMG|5AART|7DUR|8RPLT|9RCR|aASPD
41	13313 31145	 * 	214.82	DCR|3VULN|3ASPD|1MDPS|1AART|1DUR	1MDPS|238ASPD|467VULN|5AART|9RCR|aDUR
42	11614 13116	   	214.75	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG	1MDPS|26VULN|3SPLARM|4ASPD|5AART|7RCR|8RPLT|9AME|aDMG
43	11614 13136	   	214.65	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG	1MDPS|26VULN|3SPLARM|4ASPD|5AART|7RCR|8RPLT|9TLV|aDMG
44	11633 53322	   	214.65	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG	1MDPS|25VULN|3SPLARM|4DMG|6AART|7RCR|8ERES|9BEXP|aASPD
45	11634 13322	   	214.65	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG	1MDPS|26VULN|3SPLARM|4DMG|5AART|7RCR|8ERES|9BEXP|aASPD
46	11614 13324	   	214.55	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1NUKE	1MDPS|26VULN|3SPLARM|4ASPD|5AART|7RCR|8ERES|9BEXP|aNUKE
47	11633 53324	   	214.55	DCR|1SPLARM|2VULN|1MDPS|1AART|1DMG|1NUKE	1MDPS|25VULN|3SPLARM|4DMG|6AART|7RCR|8ERES|9BEXP|aNUKE
48	11634 13324	   	214.55	DCR|1SPLARM|2VULN|1MDPS|1AART|1DMG|1NUKE	1MDPS|26VULN|3SPLARM|4DMG|5AART|7RCR|8ERES|9BEXP|aNUKE
