0	Index      	 *	Score 	Summary	Detail	
1	32321 61355	 * 	226.03	DCR|5VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aCDMG
12	21353 65212	   	218.00	DCR|2VULN|2AART|2ASPD|1DMG	17AART|29ASPD|3FEWX|4aVULN|5DMG|6RCR|8LHND
13	21353 65112	   	217.90	DCR|2VULN|2AART|2ASPD|1DMG	17AART|29ASPD|3FEWX|4aVULN|5DMG|6RCR|8DUST
14	21611 53132	   	217.18	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB|1DUR	1AART|27ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8RCR|9VULN|aRPLT
15	21611 53133	   	217.18	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB|1DUR	1AART|27ASPD|37ZMB|4aLIT|5DUR|67DMG|7BPWR|8RCR|9VULN
16	21611 53134	   	217.18	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB|1DUR	1AART|27ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8RCR|9VULN|aAME
17	21612 53136	   	217.18	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB|1DUR	1AART|27ASPD|37ZMB|4LIT|5BEXP|67DMG|7BPWR|8RCR|9VULN|aDUR
18	21611 53131	   	217.08	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB|1DUR|1MSE	1AART|27ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8RCR|9VULN|aMSE
19	32415 13252	 * 	215.70	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|27aVULN|3LHND|45DMG|6ZMB|8AART|9RCR
20	21187 38243	 * 	215.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1AART|29ASPD|3MBVNT|4CDMG|5aDMG|6RCR|7SNIFST|8VULN
21	21163 88141	 * 	215.18	DCR|4VULN|1AART|1ASPD|1DMG|1AAC	1AART|2ASPD|3MBVNT|468aVULN|5DMG|7AAC|9RCR
22	21187 33141	   	214.68	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aAME
23	21187 33145	   	214.68	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aFEWX
24	21187 33146	   	214.68	DCR|3DMG|2ASPD|2CDMG|1AART	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aLWND
25	21187 33148	   	214.68	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aRMIN
26	21187 33143	   	214.58	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aBASFIG
27	21187 33144	   	214.58	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|29ASPD|3MBVNT|49CDMG|589DMG|6RCR|7LEGI|9BPWR|aDUST
28	21612 53135	   	213.51	DCR|2DMG|1MDPS|2ASPD|1AART|1VULN|2ZMB	1AART|27ASPD|37ZMB|4LIT|5BEXP|67DMG|7BPWR|8RCR|9VULN|aMDPS
29	21611 53162	 * 	213.37	DCR|2DMG|2ASPD|1AART|1NUKE|2ZMB|1DUR|1MSE	1AART|27ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8RCR|9MSE|aNUKE
30	21611 53235	   	213.18	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB|1DUR	1AART|27ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8BEXP|9VULN|aRCR
31	32225 13662	 * 	212.23	ACR|3VULN|2DMG|1MDPS|1AART|1ZMB|1DUR	1DUR|279VULN|35DMG|4RCR|6ZMB|8AART|aMDPS
32	21187 33541	   	211.95	DCR|3ASPD|2DMG|1AART|2CDMG	1AART|289ASPD|3MBVNT|49CDMG|59DMG|6RCR|7LEGI|9BPWR|aAME
33	21187 33543	   	211.85	DCR|3ASPD|2DMG|1AART|2CDMG	1AART|289ASPD|3MBVNT|49CDMG|59DMG|6RCR|7LEGI|9BPWR|aBASFIG
34	21187 33544	   	211.85	DCR|3ASPD|2DMG|1AART|2CDMG	1AART|289ASPD|3MBVNT|49CDMG|59DMG|6RCR|7LEGI|9BPWR|aDUST
35	21187 34621	 * 	211.84	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7LIT|8VULN|9DUR|aNUKE
36	32321 63153	   	211.77	DCR|4VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|2346VULN|3BPWR|5ZMB|7CDMG|8LWND|9RCR|aASPD
37	32321 63553	   	211.67	DCR|4VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|2346VULN|3BPWR|5ZMB|7CDMG|8LEGI|9RCR|aASPD
38	32332 11466	 * 	211.37	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	13DUR|23aVULN|3BPWR|4BEXP|5LIT|6DMG|7CDMG|8RCR|9AART
39	21137 42353	   	210.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ASPD|3MBVNT|4SPLJET|5CDMG|67VULN|8RCR|9ZMB|aDMG
40	21186 42353	   	210.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ASPD|3MBVNT|4CDMG|5MULFIG|67VULN|8RCR|9ZMB|aDMG
41	32321 61351	   	209.78	DCR|5VULN|1ASPD|2DUR|1ZMB	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aRPLT
42	32321 61353	   	209.78	DCR|5VULN|1ASPD|2DUR|1ZMB	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aRMIN
43	32321 61352	   	209.68	DCR|5VULN|1ASPD|2DUR|1ZMB	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aTLV
44	32321 61354	   	209.68	DCR|5VULN|1ASPD|2DUR|1ZMB|1MSE	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aMSE
45	32321 61356	   	209.68	DCR|5VULN|1ASPD|2DUR|1ZMB	13DUR|23468VULN|3BPWR|5ZMB|7ASPD|9RCR|aDUST
46	32225 13663	 * 	209.25	ACR|4VULN|2DMG|1AART|1ZMB|1DUR	1DUR|279aVULN|35DMG|4RCR|6ZMB|8AART
47	23413 63252	 * 	209.23	DCR|2VULN|2DMG|1AART|2CDMG|1AAC	1AART|2AAC|39VULN|4DUST|59DMG|6RCR|7BELT|89CDMG|9BPWR|aRCVC
48	23413 63251	   	208.90	DCR|2VULN|2DMG|1AART|2CDMG|1AAC	1AART|2AAC|39VULN|4DUST|59DMG|6RCR|7BELT|89CDMG|9BPWR|aLWND
49	21612 53132	   	208.88	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB	1AART|27ASPD|37ZMB|4LIT|5BEXP|67DMG|7BPWR|8RCR|9VULN|aRPLT
50	21612 53133	   	208.88	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB	1AART|27ASPD|37ZMB|4aLIT|5BEXP|67DMG|7BPWR|8RCR|9VULN
51	21612 53134	   	208.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	1AART|27ASPD|37ZMB|4LIT|5BEXP|67DMG|7BPWR|8RCR|9VULN|aAME
52	23413 63253	   	208.80	DCR|2VULN|2DMG|1AART|2CDMG|1AAC|1MSE	1AART|2AAC|39VULN|4DUST|59DMG|6RCR|7BELT|89CDMG|9BPWR|aMSE
53	21612 53131	   	208.78	DCR|2DMG|2ASPD|1AART|1VULN|2ZMB|1MSE	1AART|27ASPD|37ZMB|4LIT|5BEXP|67DMG|7BPWR|8RCR|9VULN|aMSE
54	21136 88243	   	208.02	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1AART|29ASPD|3MBVNT|4SPLJET|5ZMB|6RCR|7CDMG|8VULN|aDMG
55	21353 63114	 * 	207.77	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AART|2ASPD|3FEWX|49VULN|5DMG|6RCR|7BELT|8BEXP|aNUKE
56	21187 36144	   	207.68	DCR|3DMG|2ASPD|1AART|1CDMG	1AART|29ASPD|3MBVNT|4CDMG|589DMG|6RCR|79BEXP|9BPWR|aRCVC
57	21353 63215	   	207.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AART|2ASPD|3FEWX|49VULN|5DMG|6RCR|7BELT|8MBVNT|aNUKE
58	21187 36141	   	207.35	DCR|3DMG|2ASPD|1AART|1CDMG	1AART|29ASPD|3MBVNT|4CDMG|589DMG|6RCR|79BEXP|9BPWR|aAME
59	21187 36143	   	207.35	DCR|3DMG|2ASPD|1AART|1CDMG	1AART|29ASPD|3MBVNT|4CDMG|589DMG|6RCR|79BEXP|9BPWR|aFEWX
60	21163 26813	 * 	207.09	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1aAART|2ASPD|3MBVNT|4VULN|59DMG|6ERES|7RCR|8DUR
61	21163 43813	   	207.09	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1aAART|2ASPD|3MBVNT|4VULN|59DMG|6TLV|7RCR|8DUR
62	32322 21455	 * 	206.49	DCR|4VULN|1DMG|3DUR|1CDMG	13aDUR|2346VULN|3BPWR|5CDMG|7LHND|8DMG|9RCR
63	32322 31452	   	206.25	DCR|4VULN|1DMG|3DUR|1CDMG|1SELL	136DUR|234aVULN|3BPWR|5CDMG|7DMG|8SELL|9RCR
64	32322 34552	   	206.25	DCR|4VULN|1DMG|3DUR|1CDMG|1SELL	136DUR|234aVULN|3BPWR|5CDMG|7SELL|8DMG|9RCR
65	21635 62313	   	206.14	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AART|2ASPD|3ZMB|4aVULN|5DUR|6RCR|7DUST|8ERES|9DMG
66	21351 32552	 * 	205.88	DCR|3VULN|2AART|1ASPD|1ZMB	18AART|2ASPD|3FEWX|47aVULN|5LHND|6ZMB|9RCR
67	21432 52532	   	205.75	DCR|3VULN|2AART|1ASPD|1DUR	16AART|2ASPD|3ERES|47aVULN|5LWND|8RCR|9DUR
68	52322 33453	   	205.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	13LHND|234VULN|3BPWR|5CDMG|67DUR|8DMG|9RCR|aASPD
69	32352 21453	   	205.66	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|236VULN|3BPWR|4DMSP|5CDMG|7LHND|8DMG|9RCR|aASPD
70	52211 13252	   	205.65	DCR|4VULN|1AART|1DMG|1ZMB	1LHND|247aVULN|3DMG|5FEWX|6ZMB|8AART|9RCR
71	52212 13252	   	205.65	DCR|4VULN|1AART|1DMG|1ZMB	1LHND|247aVULN|3DMG|5BEXP|6ZMB|8AART|9RCR
72	52211 63252	   	205.65	DCR|4VULN|1AART|1DMG|1ZMB	1LHND|246aVULN|3DMG|5FEWX|7ZMB|8AART|9RCR
73	52212 63252	   	205.65	DCR|4VULN|1AART|1DMG|1ZMB	1LHND|246aVULN|3DMG|5BEXP|7ZMB|8AART|9RCR
74	21353 63113	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2ASPD|3FEWX|49aVULN|5DMG|6RCR|7BELT|8BEXP
75	21553 63113	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2ASPD|3BEXP|49aVULN|5DMG|6RCR|7BELT|8FEWX
76	21433 22532	   	205.52	DCR|4VULN|1AART|1ASPD|1DUR	1AART|2ASPD|3ERES|457aVULN|6FEWX|8RCR|9DUR
77	21163 88144	 * 	205.51	DCR|3VULN|2AAC|1AART|1ASPD|1DMG	1AART|2ASPD|3MBVNT|468VULN|5DMG|7aAAC|9RCR
78	42122 33453	   	205.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	124VULN|3LEGI|5CDMG|67DUR|8DMG|9RCR|aASPD
79	21353 63413	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2ASPD|3FEWX|49aVULN|5DMG|6RCR|7BELT|8DUST
80	21353 63613	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2ASPD|3FEWX|49aVULN|5DMG|6RCR|7BELT|8LEGI
81	21433 32532	   	205.42	DCR|4VULN|1AART|1ASPD|1DUR	1AART|2ASPD|3ERES|457aVULN|6DUST|8RCR|9DUR
82	32213 21652	   	205.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24aVULN|36DMG|5MLV|7BEXP|8AART|9RCR
83	21353 62235	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3FEWX|49VULN|5aDMG|6RCR|7DUST|8RPLT
84	21353 66132	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|39FEWX|4aVULN|57DMG|6RCR|8DUST
85	21612 53162	 * 	205.06	DCR|2DMG|2ASPD|1AART|1NUKE|2ZMB|1MSE	1AART|27ASPD|37ZMB|4LIT|5BEXP|67DMG|7BPWR|8RCR|9MSE|aNUKE
86	32324 21453	   	205.01	DCR|4VULN|1ASPD|1DMG|2DUR|1SELL	13DUR|2346VULN|3BPWR|5SELL|7LHND|8DMG|9RCR|aASPD
87	21353 62613	   	204.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3FEWX|4aVULN|5DMG|6RCR|7DUST|8CDMG|9RCVC
88	21168 43814	   	204.14	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AART|2ASPD|3MBVNT|4aVULN|5ZMB|6TLV|7RCR|8DUR|9DMG
89	21633 16814	   	204.14	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AART|2ASPD|3ZMB|4aVULN|5ERES|6MBVNT|7RCR|8DUR|9DMG
90	32314 11425	 * 	204.04	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4LIT|5FEWX|6DMG|7CDMG|8RCR|9aASPD
91	32332 11425	   	204.04	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4BEXP|5LIT|6DMG|7CDMG|8RCR|9aASPD
92	21621 31642	   	204.01	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1AART|2ASPD|3ZMB|4AAC|59aVULN|6RCR|7CGEN|8DUR
93	21353 63351	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3FEWX|49VULN|5DMG|6RCR|7BELT|8MLV|aCDMG
94	32314 11461	   	203.87	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	13DUR|23VULN|3BPWR|4LIT|5FEWX|6DMG|7CDMG|8RCR|9AART|aZMB
95	32315 11461	   	203.87	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	13DUR|23VULN|3BPWR|4LIT|5ASPD|6BEXP|7CDMG|8RCR|9AART|aZMB
96	32332 11461	   	203.87	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	13DUR|23VULN|3BPWR|4BEXP|5LIT|6DMG|7CDMG|8RCR|9AART|aZMB
97	21187 31133	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7DMSP|8LIT|9aVULN
98	21187 31523	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7DMSP|8aVULN|9LHND
99	21187 31543	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7DMSP|8aVULN|9LWND
100	21187 38213	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7SNIFST|8aVULN|9BEXP
101	46363 31211	 * 	203.83	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	19VULN|2ERES|39DMG|4MDPS|5AART|6RCR|789DUR|9BPWR|aLHND
102	46363 31212	   	203.83	DCR|2VULN|1MDPS|2DMG|1AART|3DUR	19VULN|2ERES|39DMG|4MDPS|5AART|6RCR|789DUR|9BPWR|aAME
103	46363 31213	   	203.83	DCR|2VULN|1MDPS|2DMG|1AART|3DUR	19VULN|2ERES|39DMG|4MDPS|5AART|6RCR|789DUR|9BPWR|aCGEN
104	21187 31533	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7DMSP|8aVULN|9DUST
105	21187 33712	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7LEGI|8aVULN|9BELT
106	21187 33723	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7LEGI|8aVULN|9DMSP
107	21163 43263	   	203.72	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1aAART|28ASPD|3MBVNT|4VULN|5DMG|6TLV|7RCR|9DUR
108	21634 12233	 * 	203.70	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1CDMG|2ZMB|1SELL	1AART|27ASPD|37ZMB|47VULN|5SELL|6MDPS|7BPWR|8RCR|9DMG|aCDMG
109	21353 65132	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	17AART|2ASPD|39FEWX|4aVULN|5DMG|6RCR|8DUST
110	32213 33652	   	203.62	DCR|4VULN|1AART|1DMG|1DUR	1DUR|247aVULN|3DMG|5MLV|6BEXP|8AART|9RCR
111	42321 63432	 * 	203.44	DCR|4VULN|3ZMB|1DMG	124aVULN|3DUST|579ZMB|6RCR|8DMG
112	62321 63432	   	203.44	DCR|4VULN|3ZMB|1DMG	13DUST|234aVULN|3BPWR|579ZMB|6RCR|8DMG
113	21353 62631	   	203.43	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1MSE	1AART|2ASPD|3FEWX|4VULN|5DMG|6RCR|7DUST|8CDMG|9NUKE|aMSE
114	21353 62632	   	203.43	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1AART|2ASPD|3FEWX|4VULN|5DMG|6RCR|7DUST|8CDMG|9NUKE|aERES
115	21353 62633	 * 	203.43	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1NUKE	1AART|2ASPD|3FEWX|4VULN|5DMG|6RCR|7DUST|8aCDMG|9NUKE
116	21433 31352	   	203.42	DCR|4VULN|1AART|1ASPD|1DUR	1AART|2ASPD|3ERES|458aVULN|6DUST|7DUR|9RCR
117	21163 26252	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2ASPD|3MBVNT|49aVULN|5DMG|6ERES|7RCR|8MLV
118	32312 31121	   	203.25	DCR|4VULN|1ASPD|1DMG|2DUR	13DUR|2356VULN|36BPWR|46LIT|7CANARM|8DMG|9ASPD|aRCR
119	32312 32121	   	203.25	DCR|4VULN|1ASPD|1DMG|2DUR	13DUR|2356VULN|36BPWR|46LIT|7MSLREG|8DMG|9ASPD|aRCR
120	21163 43457	   	203.23	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2ASPD|3MBVNT|49aVULN|5DMG|6TLV|7RCR|8ERES
121	22453 13464	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2BEXP|35DMG|4aVULN|6MBVNT|7RCR|8FEWX|9ASPD
122	21187 33174	   	203.17	DCR|3DMG|1AART|1ASPD|1CDMG|1ZMB	1AART|2ASPD|3MBVNT|4CDMG|58aDMG|6RCR|7LEGI|9ZMB
123	22413 13478	 * 	203.09	DCR|2VULN|2DMG|1AART|1NUKE	1AART|2BEXP|35DMG|4DUST|6MBVNT|7RCR|89VULN|aNUKE
124	32325 13552	   	203.04	DCR|4VULN|1DMG|3DUR|1ZMB	136DUR|234aVULN|3BPWR|5RCVC|7ZMB|8DMG|9RCR
125	43225 31336	 * 	202.54	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1ZMB	1aVULN|2CDMG|3aFEWX|4LIT|5ZMB|6AART|7MDPS|8aASPD|9RCR|aBPWR
126	21611 53314	   	202.23	DCR|3ASPD|2DMG|1AART|2ZMB|1DUR	1AART|279ASPD|37ZMB|4LIT|5DUR|67DMG|7BPWR|8ERES|aRCR
127	21187 38314	   	202.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2ASPD|3MBVNT|4CDMG|5DMG|6RCR|7SNIFST|8ZMB|9VULN|aDUR
128	21635 63123	   	202.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1aAART|2ASPD|3ZMB|4VULN|5DUR|6RCR|7FEWX|8LWND|9DMG
129	52322 31453	   	202.02	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	13LHND|234VULN|3BPWR|5CDMG|6DUR|7RCVC|8DMG|9RCR|aASPD
130	42213 65333	   	202.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1239VULN|4AME|5DUST|6RCR|7DUR|8CDMG|aASPD
131	21353 61512	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	1AART|29ASPD|3FEWX|4aVULN|5DMG|6RCR|78LHND
132	21353 64112	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	1AART|29ASPD|3FEWX|4aVULN|5DMG|6RCR|78LWND
133	42233 65333	   	201.90	DCR|4VULN|1ASPD|1CDMG|1DUR	1239VULN|4ERES|5DUST|6RCR|7DUR|8CDMG|aASPD
134	42122 31453	   	201.82	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	124VULN|3LEGI|5CDMG|6DUR|7RCVC|8DMG|9RCR|aASPD
135	21611 53334	 * 	201.76	DCR|2DMG|2ASPD|3ZMB|1AART|1DUR	1AART|27ASPD|379ZMB|4LIT|5DUR|67DMG|7BPWR|8ERES|aRCR
136	32312 52625	   	201.74	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB	13DUR|235VULN|3BPWR|4LIT|6DMG|7MLV|8RCR|9ZMB|aASPD
137	32312 53625	   	201.74	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB	13DUR|235VULN|3BPWR|4LIT|6DMG|7CGEN|8RCR|9ZMB|aASPD
138	23451 32151	 * 	201.74	DCR|4VULN|1AART|1CDMG|1AAC|1ZMB	1AART|2AAC|345aVULN|6ZMB|7CDMG|8RPLT|9RCR
139	52221 33642	 * 	201.62	ACR|3VULN|2AART|1ASPD|1DMG|1DUR	1LHND|29aVULN|3DMG|4RCR|5DUR|6ASPD|78AART
140	21182 34643	 * 	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2ASPD|3MBVNT|4CDMG|5AAC|6RCR|7LIT|89aVULN
141	21163 26383	   	201.48	DCR|2VULN|2AART|1ASPD|1DMG	1aAART|2ASPD|3MBVNT|49VULN|5DMG|6ERES|7RCR|8DUST
142	32322 21451	   	201.44	DCR|4VULN|1DMG|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7LHND|8DMG|9RCR|aFEWX
143	32322 21454	   	201.44	DCR|4VULN|1DMG|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7LHND|8DMG|9RCR|aBELT
144	32322 21456	   	201.44	DCR|4VULN|1DMG|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7LHND|8DMG|9RCR|aBEXP
145	42622 13253	   	201.44	DCR|4VULN|1ASPD|1CDMG|2DUR	1248VULN|38DUR|5CDMG|6ERES|78LHND|8BPWR|9RCR|aASPD
146	32322 21253	   	201.44	DCR|4VULN|1ASPD|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7LHND|8CGEN|9RCR|aASPD
147	32322 22153	   	201.44	DCR|4VULN|1ASPD|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7MLV|8LWND|9RCR|aASPD
148	32322 15153	   	201.34	DCR|4VULN|1ASPD|1CDMG|2DUR	13DUR|2347VULN|3BPWR|5CDMG|6ERES|8LWND|9RCR|aASPD
149	32322 21452	   	201.34	DCR|4VULN|1DMG|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7LHND|8DMG|9RCR|aTLV
150	32322 22553	   	201.34	DCR|4VULN|1ASPD|1CDMG|2DUR	13DUR|2346VULN|3BPWR|5CDMG|7MLV|8LEGI|9RCR|aASPD
151	32613 21434	 * 	201.32	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1DUR|289VULN|3RCR|47DMG|5MLV|6CDMG|aAART
152	42152 11222	 * 	201.26	DCR|3VULN|2AART|2CDMG	12aVULN|3LEGI|47AART|5FEWX|6aCDMG|8RCR|9aLHND|aBPWR
153	42152 11252	   	201.26	DCR|3VULN|2AART|2CDMG	12aVULN|3LEGI|47AART|5FEWX|6aCDMG|8RCR|9aBEXP|aBPWR
154	32322 15553	   	201.24	DCR|4VULN|1ASPD|1CDMG|2DUR	13DUR|2347VULN|3BPWR|5CDMG|6ERES|8LEGI|9RCR|aASPD
155	21187 38311	   	201.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1AART|2ASPD|3MBVNT|4aCDMG|5DMG|6RCR|7SNIFST|8ZMB|9VULN
156	21187 38343	   	201.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1AART|2ASPD|3MBVNT|49CDMG|5DMG|6RCR|7SNIFST|8ZMB|aVULN
