0	Index      	 *	Score 	Summary	Detail	
1	32312 48168	 * 	235.55	DCR|3VULN|3DMG|1MDPS|2ASPD|1ZMB	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aZMB
45	32312 48158	   	214.16	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9CGEN|aAAC
46	32312 48118	   	214.06	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9ERES|aAAC
47	32312 48121	   	214.06	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9AAC|aRCVC
48	32312 48122	   	214.06	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9AAC|aLEGI
49	32312 48124	   	214.06	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9AAC|aMSE
50	32312 48126	   	214.06	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9AAC|aLWND
51	32312 48127	   	214.06	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9AAC|aMLV
52	21246 21133	   	213.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1MBVNT|2459VULN|3CGEN|6RCR|7ASPD|8CDMG|aDMG
53	32312 86433	 * 	213.49	DCR|3DMG|1MDPS|2ASPD|1AART|1CDMG|1ZMB	1MDPS|2MBVNT|346DMG|56ASPD|6BPWR|7ZMB|8RCR|9AART|aCDMG
54	32312 86436	 * 	213.31	DCR|3DMG|2AART|1MDPS|2ASPD|1ZMB	1MDPS|2MBVNT|346DMG|56ASPD|6BPWR|7ZMB|8RCR|9aAART
55	21143 38327	 * 	213.10	DCR|5VULN|3CDMG|1ZMB	1MBVNT|24789VULN|379CDMG|579AME|6RCR|79BPWR|aZMB
56	23724 46533	   	212.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2RMIN|3DMG|4CDMG|5DUR|6AART|79aVULN|8RCR
57	23734 46533	   	212.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2RMIN|3DMG|4DUR|5CDMG|6AART|79aVULN|8RCR
58	25124 46533	   	212.87	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2ASPD|3RMIN|4CDMG|5DUR|6AART|79aVULN|8RCR
59	25134 46533	   	212.87	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2ASPD|3RMIN|4DUR|5CDMG|6AART|79aVULN|8RCR
60	21141 38834	   	212.75	DCR|3VULN|2ASPD|1CDMG|2ZMB	1MBVNT|24aVULN|3CDMG|5RMIN|6RCR|7BELT|8aZMB|9aASPD|aBPWR
61	31631 45312	 * 	212.01	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG|1ZMB	1MDPS|2DMG|3ASPD|46VULN|5aAART|7RCR|8BEXP|9ZMB
62	21246 21465	   	211.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|245VULN|3CGEN|6RCR|7ASPD|8AART|9ZMB|aCDMG
63	21143 38334	   	211.65	DCR|4VULN|2CDMG|1ASPD|1ZMB	1MBVNT|2478VULN|37CDMG|57AME|6RCR|7BPWR|9ASPD|aZMB
64	21143 38733	   	211.65	DCR|4VULN|2CDMG|1DMG|1ZMB	1MBVNT|2479VULN|37CDMG|57AME|6RCR|7BPWR|8ZMB|aDMG
65	21143 38834	   	211.65	DCR|4VULN|2CDMG|1ASPD|1ZMB	1MBVNT|2479VULN|37CDMG|57AME|6RCR|7BPWR|8ASPD|aZMB
66	32312 48148	   	211.55	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aRMIN
67	32312 48178	   	211.55	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aRMIN
68	21147 46272	 * 	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1MBVNT|247aVULN|3CDMG|5BEXP|6AART|8DMG|9RCR
69	21324 46272	   	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1MBVNT|247aVULN|3BEXP|5CDMG|6AART|8DMG|9RCR
70	21424 46272	   	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1MBVNT|247aVULN|3FEWX|5CDMG|6AART|8DMG|9RCR
71	25722 45424	 * 	211.41	DCR|2VULN|2DMG|2ASPD|2CDMG	1MBVNT|29ASPD|3AME|49CDMG|5ERES|67DMG|89VULN|9BPWR|aRCR
72	32372 37151	 * 	211.38	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG	1MDPS|2MBVNT|3aDMG|4AART|5aLWND|6VULN|7CDMG|8RCR|9aASPD|aBPWR
73	24183 21772	 * 	211.19	DCR|4VULN|2ASPD|1AART|1SELL	1MBVNT|2LEGI|3SELL|4AART|59ASPD|679aVULN|8RCR|9BPWR
74	25321 51445	 * 	210.99	DCR|3ASPD|2DMG|1AART|2CDMG	1MBVNT|267ASPD|37DMG|47CDMG|5RMIN|7BPWR|8VENFST|9AART|aRCR
75	21141 32733	   	210.96	DCR|4VULN|1DMG|1CDMG|1ZMB	1MBVNT|2489VULN|3CDMG|5RMIN|6RCR|7ZMB|aDMG
76	21141 32736	   	210.96	DCR|4VULN|1ASPD|1CDMG|1ZMB	1MBVNT|2489VULN|3CDMG|5RMIN|6RCR|7ZMB|aASPD
77	26341 31243	 * 	210.71	DCR|3VULN|3DMG|1AART	1MBVNT|2LIT|3AART|468VULN|569DMG|6BPWR|7CGEN|aRCR
78	32312 86434	 * 	210.16	DCR|3DMG|3ASPD|1MDPS|1AART|1ZMB	1MDPS|2MBVNT|346DMG|56aASPD|6BPWR|7ZMB|8RCR|9AART
79	21187 38313	 * 	210.09	DCR|3VULN|3CDMG|1AART|2ZMB	1MBVNT|279VULN|357CDMG|4579CGEN|579BPWR|6RCR|89ZMB|aAART
80	25323 48344	 * 	210.06	5VULN|3DMG|3ASPD|1CDMG	1MBVNT|279ASPD|379DMG|4CDMG|5TLV|6789aVULN|79BPWR
81	21372 14512	   	209.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|256VULN|36BEXP|4AART|6BPWR|7ZMB|8ASPD|9RCR|aDMG
82	21472 14512	   	209.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|256VULN|36FEWX|4AART|6BPWR|7ZMB|8ASPD|9RCR|aDMG
83	22321 46638	   	209.87	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR|2ZMB	1MBVNT|2aZMB|3aASPD|4CDMG|5RMIN|6VULN|7RCR|8aDUR|9AART|aBPWR
84	23717 48124	   	209.71	DCR|2VULN|2DMG|2ASPD	1MBVNT|2RMIN|37DMG|47LWND|57VULN|6RCR|7BPWR|8aASPD|9SPLREG
85	21147 46217	 * 	209.70	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|247VULN|3CDMG|5BEXP|69AART|8DMG|aRCR
86	21324 46217	   	209.70	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|247VULN|3BEXP|5CDMG|69AART|8DMG|aRCR
87	21424 46217	   	209.70	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|247VULN|3FEWX|5CDMG|69AART|8DMG|aRCR
88	21143 38331	   	209.62	DCR|4VULN|2CDMG|1ASPD|1DUR	1MBVNT|2478VULN|37CDMG|57AME|6RCR|7BPWR|9ASPD|aDUR
89	21143 38831	   	209.62	DCR|4VULN|2CDMG|1ASPD|1DUR	1MBVNT|2479VULN|37CDMG|57AME|6RCR|7BPWR|8ASPD|aDUR
90	26341 34246	   	209.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|2LIT|3AART|46VULN|56DMG|6BPWR|7BELT|8RCR|9ASPD|aDUR
91	32114 48166	 * 	209.59	DCR|3VULN|2DMG|1MDPS|3ZMB|1DUR	1MDPS|2MBVNT|357ZMB|47DMG|679VULN|7BPWR|8RCR|aDUR
92	25332 62416	   	209.14	DCR|2DMG|2ASPD|1VULN|1AART|2DUR	1MBVNT|27ASPD|37DMG|47DUR|5RCVC|6DLOT|7BPWR|8VULN|9RCR|aAART
93	32384 14431	 * 	208.98	ACR|2VULN|2DMG|1MDPS|1AART|2CDMG|1ASPD|1DUR	1MDPS|2MBVNT|3aDMG|4RCR|5aCDMG|6DUR|7ASPD|8AART|9aVULN|aBPWR
94	25321 16832	   	208.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2ASPD|3DMG|4CDMG|5RMIN|6FEWX|7RCR|8aVULN|9AART
95	25321 46332	   	208.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2ASPD|3DMG|4CDMG|5RMIN|6aVULN|7RCR|8FEWX|9AART
96	25321 71523	 * 	208.72	DCR|2DMG|2ASPD|2CDMG|1NUKE|1ZMB	1MBVNT|27ASPD|37DMG|47CDMG|5RMIN|6RCVC|7BPWR|8ZMB|9RCR|aNUKE
97	25321 46448	   	208.69	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2ASPD|3DMG|4CDMG|5RMIN|6aVULN|7RCR|8TSLFST|9AART
98	21184 38328	 * 	208.57	DCR|4VULN|3CDMG|1ASPD	1MBVNT|2789VULN|379CDMG|4579CGEN|6RCR|79BPWR|aASPD
99	22827 12152	 * 	208.20	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1MBVNT|2ZMB|35AART|4CGEN|6ASPD|7RCR|8aVULN|9CDMG
100	21144 41786	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|24VULN|3CDMG|5DUR|6AART|7MLV|8RCR|9DMG|aASPD
101	25514 33235	 * 	208.16	ACR|4VULN|2DMG|2ASPD	1MBVNT|2aASPD|378aVULN|4RCR|5RMIN|6aDMG|9BELT|aBPWR
102	22837 12152	   	208.10	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1MBVNT|2ZMB|35AART|4ERES|6ASPD|7RCR|8aVULN|9CDMG
103	21121 24786	   	208.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|26VULN|3CDMG|4ERES|5DUR|7AART|8RCR|9DMG|aASPD
104	21141 63772	 * 	207.97	DCR|4VULN|1AART|2CDMG	1MBVNT|249aVULN|39CDMG|5RMIN|6AART|79LHND|8RCR|9BPWR
105	21246 21137	   	207.95	DCR|5VULN|1ASPD|1CDMG	1MBVNT|2459aVULN|3CGEN|6RCR|7ASPD|8CDMG
106	21331 56242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|26aVULN|3BEXP|4DUR|5AART|7RCR|8DMG|9CDMG
107	21371 56242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|26aVULN|3BEXP|4AART|5DUR|7RCR|8DMG|9CDMG
108	21372 36242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|25aVULN|3BEXP|4AART|6DMG|7RCR|8DUR|9CDMG
109	21431 56242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|26aVULN|3FEWX|4DUR|5AART|7RCR|8DMG|9CDMG
110	21471 56242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|26aVULN|3FEWX|4AART|5DUR|7RCR|8DMG|9CDMG
111	21472 36242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|25aVULN|3FEWX|4AART|6DMG|7RCR|8DUR|9CDMG
112	21472 76242	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|25aVULN|3FEWX|4AART|6DUR|7RCR|8DMG|9CDMG
113	21246 21136	 * 	207.91	DCR|4VULN|2ASPD|1CDMG	1MBVNT|2459VULN|3CGEN|6RCR|7aASPD|8CDMG
114	26341 34277	   	207.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|2LIT|3AART|46VULN|56DMG|6BPWR|7BELT|8RCR|9CDMG|aZMB
115	21331 56622	   	207.75	DCR|3VULN|2AART|1DMG|1DUR	1MBVNT|268VULN|3BEXP|4DUR|59AART|7RCR|aDMG
116	21431 56622	   	207.75	DCR|3VULN|2AART|1DMG|1DUR	1MBVNT|268VULN|3FEWX|4DUR|59AART|7RCR|aDMG
117	32312 48131	   	207.71	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9MLV|aRCVC
118	32312 48151	   	207.71	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9CGEN|aRCVC
119	32312 48183	   	207.71	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LIT|aRCVC
120	21143 54824	   	207.69	DCR|3VULN|2DMG|1ASPD|1CDMG	1MBVNT|249VULN|3CDMG|59AME|6ASPD|7CGEN|89DMG|9BPWR|aRCR
121	21143 58824	   	207.69	DCR|3VULN|2DMG|1ASPD|1CDMG	1MBVNT|249VULN|3CDMG|59AME|6ASPD|7MLV|89DMG|9BPWR|aRCR
122	25321 46814	   	207.62	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1MBVNT|2ASPD|38DMG|4CDMG|5RMIN|6VULN|7RCR|9AART|aAAC
123	32312 48111	   	207.61	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9ERES|aRCVC
124	21143 52824	   	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1MBVNT|249VULN|3CDMG|59AME|6ASPD|7ERES|89DMG|9BPWR|aRCR
125	33231 45214	 * 	207.58	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1AAC|1DUR	1MDPS|2AAC|38DMG|46VULN|5AART|7RCR|9DUR|aCDMG
126	21142 48824	   	207.49	DCR|3VULN|2DMG|1ASPD|1CDMG	1MBVNT|249VULN|3CDMG|59ERES|6ASPD|7MLV|89DMG|9BPWR|aRCR
127	32321 28825	 * 	207.44	DCR|4VULN|3DMG|1MDPS	1MDPS|2MBVNT|378DMG|478aVULN|5RCVC|678LHND|78BPWR|9RCR
128	32341 48825	   	207.44	DCR|4VULN|3DMG|1MDPS	1MDPS|2MBVNT|378DMG|478LHND|5RCVC|678aVULN|78BPWR|9RCR
129	32312 48136	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9MLV|aLWND
130	32312 48137	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9aMLV
131	32312 48138	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9MLV|aFEWX
132	32312 48141	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aAME
133	32312 48142	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aCGEN
134	32312 48146	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aLIT
135	32312 48147	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aMLV
136	32312 48156	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9CGEN|aLWND
137	32312 48157	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9CGEN|aMLV
138	32312 48171	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aAME
139	32312 48172	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aCGEN
140	32312 48176	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aLIT
141	32312 48177	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aMLV
142	32312 48182	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LIT|aAME
143	32312 48185	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LIT|aFEWX
144	32312 48186	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LIT|aSNIFST
145	32312 48187	   	207.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LIT|aBEXP
146	22323 48574	   	207.37	DCR|2VULN|2ASPD|2CDMG|1DMG|2ZMB	1MBVNT|27ZMB|37ASPD|48CDMG|5TLV|67VULN|7BPWR|9DMG|aRCR
147	22321 46632	   	207.37	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MBVNT|2ZMB|3ASPD|4CDMG|5RMIN|6aVULN|7RCR|8DUR|9AART
148	32312 48116	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9ERES|aLWND
149	32312 48117	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9ERES|aMLV
150	32312 48132	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9MLV|aLEGI
151	32312 48134	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9MLV|aMSE
152	32312 48144	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aMSE
153	32312 48145	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9BEXP|aERES
