0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55212 53213	6	 * 	291.66	DCR|3VULN|3DMG|3DUR|2CDMG	189VULN|2LHND|389DMG|4aCDMG|5LWND|6RCR|789DUR|89BPWR
72	53222 62438	5	   	263.94	DCR|3VULN|2DMG|2TLV|1AART	189VULN|2MBVNT|39DMG|4ASPD|5LWND|69TLV|7AART|9BPWR|aRCR
73	53313 31438	5	   	263.84	DCR|3VULN|2DMG|2TLV|1AART	189VULN|2MBVNT|3LEGI|4AART|5ASPD|69DMG|79TLV|9BPWR|aRCR
74	53313 54438	6	   	263.84	DCR|3VULN|2DMG|2TLV|1AART	189VULN|2MBVNT|3LEGI|4AART|5ASPD|69TLV|79DMG|9BPWR|aRCR
75	53146 17111	9	   	263.57	DCR|4VULN|2DMG|2DUR	1479VULN|2MBVNT|3CGEN|5BELT|69DMG|89DUR|9BPWR|aRCR
76	53146 63111	9	   	263.57	DCR|4VULN|2DMG|2DUR	1479VULN|2MBVNT|3CGEN|5BELT|69DUR|89DMG|9BPWR|aRCR
77	53731 24511	5	   	263.55	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aRMIN
78	53731 24511	4	   	263.55	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aRMIN
79	53731 24512	5	   	263.55	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aCGEN
80	53731 24512	4	   	263.55	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aCGEN
81	53731 24514	5	   	263.55	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aLWND
82	53731 24514	4	   	263.55	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2MBVNT|3DUR|478DMG|578LIT|6BBNT|78BPWR|9RCR|aLWND
83	53633 73412	8	   	263.47	DCR|4VULN|2DMG|2DUR	1379VULN|2MBVNT|39BPWR|4DUST|59DMG|6RPLT|89DUR|aRCR
84	53637 23412	8	   	263.47	DCR|4VULN|2DMG|2DUR	1379VULN|2MBVNT|39BPWR|4DUST|5RPLT|69DMG|89DUR|aRCR
85	43316 21161	7	   	263.30	DCR|3VULN|2DMG|3TLV|2AART	127TLV|3ERES|478VULN|57DMG|6aAART|7BPWR|9RCR
