0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32215 38264	9	 * 	309.27	DCR|4VULN|3DUR|2DMG|3LIT|1SELL	167DUR|29DMG|379LIT|4679VULN|5MBVNT|679BPWR|8SELL|aRCR
20	32215 38453	8	   	281.67	DCR|3VULN|3DUR|2DMG|2LIT	167DUR|2aDMG|37LIT|467VULN|5MBVNT|67BPWR|8LWND|9RCR
21	32215 38462	9	   	281.67	DCR|3VULN|3DUR|2DMG|2LIT	167DUR|29DMG|37LIT|467VULN|5MBVNT|67BPWR|8LWND|aRCR
22	32215 35312	7	   	281.67	DCR|3VULN|3DUR|2DMG|2LIT	168DUR|27DMG|38LIT|468VULN|5MBVNT|68BPWR|9BEXP|aRCR
23	32215 35342	7	   	281.67	DCR|3VULN|3DUR|2DMG|2LIT	168DUR|27DMG|38LIT|468VULN|5MBVNT|68BPWR|9LWND|aRCR
24	22425 12622	10	   	281.60	DCR|4VULN|2DMG|2TLV|1DUR	14DMSP|29DMG|3579VULN|6RCR|89TLV|9BPWR|aDUR
25	22424 12623	10	 * 	281.01	DCR|4VULN|3DMG|2TLV	14DMSP|259DMG|379aVULN|6RCR|89TLV|9BPWR
26	32353 36411	8	   	280.92	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1DUR|29DMG|3CGEN|4LIT|59TLV|6CDMG|79aVULN|8RCR|9BPWR
27	32121 52122	10	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	169DUR|29DMG|3CDMG|4RCVC|5CGEN|79aVULN|8RCR|9BPWR
28	32126 52122	10	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	169DUR|29DMG|3CDMG|4RCVC|5MLV|79aVULN|8RCR|9BPWR
29	32124 52122	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	169DUR|29DMG|3CDMG|4RCVC|5ERES|79aVULN|8RCR|9BPWR
30	22451 51122	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1DMSP|29DMG|379VULN|4ERES|5CDMG|69aDUR|8RCR|9BPWR
31	32215 38232	7	   	280.33	DCR|3VULN|3DUR|1DMG|1TLV|2LIT	167DUR|2DMG|37LIT|467VULN|5MBVNT|67BPWR|8MLV|9TLV|aRCR
32	32215 38512	9	   	280.33	DCR|3VULN|3DUR|1DMG|1TLV|2LIT	167DUR|2DMG|37LIT|467VULN|5MBVNT|67BPWR|8TLV|9MLV|aRCR
33	32215 38532	9	   	280.33	DCR|3VULN|3DUR|1DMG|1TLV|2LIT	167DUR|2DMG|37LIT|467VULN|5MBVNT|67BPWR|8TLV|9FEWX|aRCR
34	32215 38534	10	   	280.33	DCR|3VULN|3DUR|1DMG|1TLV|2LIT	167DUR|2DMG|37LIT|467VULN|5MBVNT|67BPWR|8TLV|9FEWX|aRCR
35	32215 38542	9	   	280.33	DCR|3VULN|3DUR|1DMG|1TLV|2LIT	167DUR|2DMG|37LIT|467VULN|5MBVNT|67BPWR|8TLV|9CGEN|aRCR
36	32215 38632	7	   	280.33	DCR|3VULN|3DUR|1DMG|1TLV|2LIT	167DUR|2DMG|37LIT|467VULN|5MBVNT|67BPWR|8CGEN|9TLV|aRCR
37	33655 31122	10	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	149DUR|29ERES|3CDMG|57aVULN|69DMG|8RCR|9BPWR
38	33333 24246	10	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2ERES|34aVULN|5AART|6RCR|7TLV|8CGEN|9aDMG|aBPWR
