0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52211 32662	5	 * 	287.77	DCR|4VULN|3DUR|1DMG|1TLV|1SELL	189DUR|2589VULN|3SELL|4DMG|6TLV|789ERES|89BPWR|aRCR
83	35332 21223	5	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	17LIT|2CDMG|3RMIN|478VULN|57DUR|6TBNT|7BPWR|9RCR|aTLV
84	52214 22163	9	   	260.51	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1DUR|26aVULN|3SELL|47DMG|5LIT|8RCR|9CDMG
85	32642 12632	10	   	260.32	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG	1LIT|258DUR|3CDMG|4TLV|6RCR|7DMG|9aVULN
86	56112 63133	9	   	260.32	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG	127DUR|2BPWR|3LIT|45VULN|6DMG|8TLV|9RCR|aCDMG
87	52221 31621	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2357VULN|4LWND|6FEWX|8TLV|9DMG|aRCR
88	52231 31621	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2357VULN|4BEXP|6FEWX|8TLV|9DMG|aRCR
89	52231 61621	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2357VULN|4BEXP|6LWND|8TLV|9DMG|aRCR
90	52234 31621	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2367VULN|4BEXP|5LWND|8TLV|9DMG|aRCR
91	61362 31124	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	16FEWX|2DUR|3TLV|467aVULN|5TBNT|6BPWR|8RCR|9DMG
92	62221 51621	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2357VULN|4LWND|6DUR|8TLV|9DMG|aRCR
93	62231 51621	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2357VULN|4BEXP|6DUR|8TLV|9DMG|aRCR
94	22251 51621	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2357VULN|4LWND|6DUR|8TLV|9DMG|aRCR
95	52211 31621	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2357VULN|4DUST|6FEWX|8TLV|9DMG|aRCR
96	52211 61621	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2357VULN|4DUST|6LWND|8TLV|9DMG|aRCR
97	62211 51621	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2357VULN|4DUST|6DUR|8TLV|9DMG|aRCR
98	21362 31124	1	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	16DUST|2DUR|3TLV|467aVULN|5TBNT|6BPWR|8RCR|9DMG
99	52231 36323	6	   	259.76	DCR|4VULN|1DMG|1DUR|1TLV|1SELL	1DUR|258aVULN|3SELL|4TLV|6ERES|7RCR|9DMG
100	52235 16323	4	   	259.76	DCR|4VULN|1DMG|1DUR|1TLV|1SELL	1DUR|268aVULN|3SELL|4TLV|5ERES|7RCR|9DMG
101	52333 33611	5	   	259.69	DCR|4VULN|2DUR|2ASPD	17DUR|258aVULN|35ASPD|4RPLT|5BPWR|6BEXP|9RCR
102	52333 64212	8	   	259.69	DCR|4VULN|2DUR|2ASPD	1aDUR|2578VULN|35ASPD|4RPLT|5BPWR|6FEWX|9RCR
103	65111 21131	7	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1FEWX|2CDMG|356VULN|4DMG|7AART|8aDUR|9RCR
104	65111 21331	8	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1FEWX|2CDMG|356VULN|4DMG|7AART|8aDUR|9RCR
105	56421 23333	10	 * 	259.06	DCR|3DUR|1VULN|2DMG|2ASPD|1TLV|2LIT	128DUR|28BPWR|38DMG|47LIT|5VULN|68ASPD|9RCR|aTLV
106	25431 21353	9	   	259.01	DCR|3VULN|2DUR|2TLV|1CDMG|1AART	19DUST|29TLV|3CDMG|456VULN|7AART|89DUR|9BPWR|aRCR
107	62532 31123	4	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	16aFEWX|27aVULN|3DUR|46TLV|5TBNT|6aBPWR|8RCR|9aDMG
108	33112 66124	9	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|39BEXP|457VULN|67DMG|7BPWR|8RCR|aDUR
109	33112 66125	10	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|39BEXP|457VULN|67DMG|7BPWR|8RCR|aDUR
110	33112 66131	8	   	258.86	DCR|3VULN|2DMG|3LIT|1TLV	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9TLV|aLHND
111	33112 66136	8	   	258.86	DCR|3VULN|2DMG|3LIT|1TLV	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9TLV|aRMIN
112	33112 66163	10	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9BELT|aDUR
113	33112 66351	7	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|3BEXP|457VULN|67DMG|7BPWR|8BELT|9DUR|aRCR
114	62523 11113	2	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1aFEWX|27aVULN|3BBNT|4DUR|56DMG|8RCR|9aTLV|aBPWR
115	62523 11113	3	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1aFEWX|27aVULN|3DUR|4BBNT|56DMG|8RCR|9aTLV|aBPWR
116	11163 13631	1	   	258.78	DCR|3VULN|3DUR|2CDMG|1AART	1RMIN|237VULN|47CDMG|5AART|67aDUR|7BPWR|8FEWX|9RCR
117	33112 66115	8	   	258.76	DCR|3VULN|2DMG|3LIT|1TLV	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9BBNT|aTLV
118	33112 66133	8	   	258.76	DCR|3VULN|2DMG|3LIT|1TLV	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9TLV|aBBNT
119	33112 66135	8	   	258.76	DCR|3VULN|2DMG|3LIT|1TLV	127LIT|3BEXP|457VULN|67DMG|7BPWR|8RCR|9TLV|aDUST
120	14121 23436	9	   	258.68	DCR|3VULN|3DUR|2ASPD	1RMIN|278DUR|3LIT|4RCVC|58aVULN|68ASPD|8BPWR|9RCR
121	22532 31123	4	   	258.66	DCR|3VULN|2DMG|2TLV|1DUR	16aDUST|27aVULN|3DUR|46TLV|5TBNT|6aBPWR|8RCR|9aDMG
122	25562 31123	2	   	258.66	DCR|3VULN|2DMG|2TLV|1DUR	16aDUST|2aTLV|3DUR|467VULN|5TBNT|6aBPWR|8RCR|9aDMG
123	62661 32321	8	   	258.64	DCR|4VULN|2DUR|1DMG	18FEWX|2348VULN|5BEXP|6CGEN|78DUR|8BPWR|9DMG|aRCR
124	62661 12321	8	   	258.54	DCR|4VULN|2DUR|1DMG	18FEWX|2348VULN|5BEXP|6ERES|78DUR|8BPWR|9DMG|aRCR
125	52351 21153	4	   	258.48	DCR|3VULN|3DUR|2ASPD	146DUR|27aVULN|35ASPD|8RCR|9LIT
126	22626 26321	8	   	258.44	DCR|4VULN|2DUR|1DMG	18DUST|2378VULN|4CGEN|5FEWX|68DUR|8BPWR|9DMG|aRCR
127	22661 32321	8	   	258.44	DCR|4VULN|2DUR|1DMG	18DUST|2348VULN|5BEXP|6CGEN|78DUR|8BPWR|9DMG|aRCR
128	22661 62321	8	   	258.44	DCR|4VULN|2DUR|1DMG	18DUST|2348VULN|5BEXP|6MLV|78DUR|8BPWR|9DMG|aRCR
129	33512 24433	10	 * 	258.44	DCR|4VULN|2DUR|3LIT	128LIT|3FEWX|4578VULN|68DUR|8BPWR|9RPLT|aRCR
130	52161 14211	8	   	258.44	DCR|4VULN|2DUR|1DMG	14DUR|268aVULN|3BEXP|5RPLT|7DMG|9RCR
131	52231 52432	2	   	258.44	DCR|4VULN|2DUR|1DMG	16DUR|2357VULN|4BEXP|8DMG|9CGEN|aRCR
132	52511 14211	8	   	258.44	DCR|4VULN|2DUR|1DMG	13DUR|268aVULN|4RPLT|5FEWX|7DMG|9RCR
133	56211 14211	8	   	258.44	DCR|4VULN|2DUR|1DMG	12DUR|2BPWR|368aVULN|4RPLT|5FEWX|7DMG|9RCR
134	32422 31512	7	 * 	258.40	ACR|2VULN|3DUR|2DMG|3ASPD|3LIT	139LIT|289DUR|4RCR|5aVULN|6aDMG|79aASPD|9aBPWR
135	33622 31512	7	   	258.40	ACR|2VULN|3DUR|2DMG|3ASPD|3LIT	129LIT|389DUR|4RCR|5aVULN|6aDMG|79aASPD|9aBPWR
136	22561 14211	8	   	258.34	DCR|4VULN|2DUR|1DMG	1DUST|268aVULN|34DUR|5RPLT|7DMG|9RCR
137	22661 12321	8	   	258.34	DCR|4VULN|2DUR|1DMG	18DUST|2348VULN|5BEXP|6ERES|78DUR|8BPWR|9DMG|aRCR
138	33312 24453	8	   	258.34	DCR|4VULN|2DUR|3LIT	128LIT|3LWND|4578VULN|68DUR|8BPWR|9BBNT|aRCR
139	52211 52432	2	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2357VULN|4DUST|8DMG|9CGEN|aRCR
140	22615 14212	8	   	258.34	DCR|4VULN|2DUR|1DMG	1DUST|2368VULN|4RPLT|5aDUR|7DMG|9RCR
141	52126 31613	2	   	258.24	DCR|4VULN|2DUR|3LIT	19DUR|2457VULN|345LIT|45BPWR|6DUST|8TBNT|aRCR
142	52323 16336	8	   	258.10	DCR|4VULN|1DUR|1CDMG|1ASPD|1AART	1DUR|267aVULN|3ASPD|4BEXP|5AART|8CDMG|9RCR
