0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54131 11115	2	 * 	290.26	DCR|3VULN|3DUR|2DMG|1TLV	128DUR|3LIT|4TBNT|568VULN|78DMG|8BPWR|9RCR|aTLV
19	51431 22325	10	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aMLV
20	51431 22363	8	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9MLV|aTLV
21	51431 22323	10	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aNUKE
22	51431 22326	9	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9TLV|aTBNT
23	51431 22353	9	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE|1AART	168DUR|2ERES|3AART|48VULN|58DMG|7RCR|8BPWR|9NUKE|aTLV
24	61431 11163	3	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	18LIT|2TLV|3RMIN|4TBNT|568VULN|78DMG|8BPWR|9CDMG|aRCR
25	54331 11335	3	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	129DUR|39aDUST|4CDMG|5aTLV|69aVULN|7RCVC|8RCR|9aBPWR
26	31431 22315	9	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18CGEN|26DUR|3AART|489VULN|58DMG|7RCR|8BPWR|aCDMG
27	53252 43311	8	 * 	265.41	ACR|3VULN|3DMG|3DUR|1TLV	147DUR|2RCR|39DUST|579DMG|679VULN|79BPWR|8RPLT|aTLV
28	51431 22331	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aLHND
29	51431 22333	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aLWND
30	51431 22333	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aCGEN
31	51431 22334	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aZMB
32	51431 22335	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aFEWX
33	51431 22335	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aRCVC
34	51431 22336	8	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|48aVULN|58DMG|7RCR|8BPWR|9RPLT
35	51431 22336	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aRPLT
36	51431 22336	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aBEXP
37	51431 22341	8	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|48aVULN|58DMG|7RCR|8BPWR|9LWND
38	51431 22351	8	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|48aVULN|58DMG|7RCR|8BPWR|9BEXP
39	51431 22361	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|48aVULN|58DMG|7RCR|8BPWR|9LWND
40	51421 23311	9	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|4MBVNT|58DMG|78aVULN|8BPWR|9RCR
41	51421 23317	10	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|4MBVNT|58DMG|78aVULN|8BPWR|9RCR
42	51431 22311	8	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|48aVULN|58DMG|7RCR|8BPWR|9LEGI
43	51431 22332	9	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2ERES|3AART|489VULN|58DMG|7RCR|8BPWR|aDUST
44	51431 22332	10	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2aERES|3AART|489VULN|58DMG|7RCR|8BPWR
45	53326 11111	1	 * 	264.87	5VULN|3DMG|3DUR|1TLV	189DUR|2LIT|34689VULN|5TBNT|789DMG|89BPWR|aTLV
46	53343 11111	1	   	264.87	5VULN|3DMG|3DUR|1TLV	189DUR|2LIT|35689VULN|4BBNT|789DMG|89BPWR|aTLV
47	56326 11111	2	   	264.87	5VULN|3DMG|3DUR|1TLV	189DUR|2LIT|34689VULN|5TBNT|789DMG|89BPWR|aTLV
48	56326 11111	3	   	264.87	5VULN|3DMG|3DUR|1TLV	189DUR|2LIT|34689VULN|5TBNT|789DMG|89BPWR|aTLV
49	56343 11111	2	   	264.87	5VULN|3DMG|3DUR|1TLV	189DUR|2LIT|35689VULN|4BBNT|789DMG|89BPWR|aTLV
50	56343 11111	3	   	264.87	5VULN|3DMG|3DUR|1TLV	189DUR|2LIT|35689VULN|4BBNT|789DMG|89BPWR|aTLV
51	53356 11112	1	   	264.05	DCR|3VULN|3DUR|2DMG	148DUR|2LIT|368VULN|5TBNT|78DMG|8BPWR|9RCR|aBELT
52	54131 11112	2	   	264.05	DCR|3VULN|3DUR|2DMG	128DUR|3LIT|4TBNT|568VULN|78DMG|8BPWR|9RCR|aBELT
53	54141 11112	2	   	264.05	DCR|3VULN|3DUR|2DMG	128DUR|3LIT|4BBNT|568VULN|78DMG|8BPWR|9RCR|aBELT
54	53356 11111	1	   	263.95	DCR|3VULN|3DUR|2DMG	148DUR|2LIT|368VULN|5TBNT|78DMG|8BPWR|9RCR|aBBNT
55	53356 11113	1	   	263.95	DCR|3VULN|3DUR|2DMG	148DUR|2LIT|368VULN|5TBNT|78DMG|8BPWR|9RCR|aERES
56	54131 11111	2	   	263.95	DCR|3VULN|3DUR|2DMG	128DUR|3LIT|4TBNT|568VULN|78DMG|8BPWR|9RCR|aBBNT
57	54131 11113	2	   	263.95	DCR|3VULN|3DUR|2DMG	128DUR|3LIT|4TBNT|568VULN|78DMG|8BPWR|9RCR|aERES
58	54141 11111	2	   	263.95	DCR|3VULN|3DUR|2DMG	128DUR|3LIT|4BBNT|568VULN|78DMG|8BPWR|9RCR|aTBNT
59	54141 11113	2	   	263.95	DCR|3VULN|3DUR|2DMG	128DUR|3LIT|4BBNT|568VULN|78DMG|8BPWR|9RCR|aERES
60	31431 32313	9	   	263.90	DCR|3VULN|2DMG|1TLV|1DUR|1AART	168CGEN|2DUR|3AART|489VULN|58DMG|7RCR|8BPWR|aTLV
61	34152 13323	3	   	261.20	DCR|4VULN|3DUR|1CDMG	17CGEN|2LIT|378aVULN|457DUR|6RCR|7BPWR|9CDMG
62	34162 13323	2	   	261.20	DCR|4VULN|3DUR|1CDMG	17CGEN|2LIT|357DUR|478aVULN|6RCR|7BPWR|9CDMG
63	34562 13323	3	   	261.20	DCR|4VULN|3DUR|1CDMG	17CGEN|2LIT|357DUR|478aVULN|6RCR|7BPWR|9CDMG
64	53312 13323	1	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47CGEN|6RCR|7BPWR|9CDMG
65	53321 13123	1	   	261.20	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|347aVULN|57MLV|6RCR|7BPWR|9CDMG
66	53323 13123	1	   	261.20	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|347aVULN|57CGEN|6RCR|7BPWR|9CDMG
67	53332 13323	1	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47MLV|6RCR|7BPWR|9CDMG
68	53351 13323	1	   	261.20	DCR|4VULN|3DUR|1CDMG	147DUR|2LIT|378aVULN|57MLV|6RCR|7BPWR|9CDMG
69	53353 13323	1	   	261.20	DCR|4VULN|3DUR|1CDMG	147DUR|2LIT|378aVULN|57CGEN|6RCR|7BPWR|9CDMG
70	56312 13323	2	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47CGEN|6RCR|7BPWR|9CDMG
71	56312 13323	3	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47CGEN|6RCR|7BPWR|9CDMG
72	56321 13123	2	   	261.20	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|347aVULN|57MLV|6RCR|7BPWR|9CDMG
73	56321 13123	3	   	261.20	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|347aVULN|57MLV|6RCR|7BPWR|9CDMG
74	56322 13323	4	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47CGEN|6RCR|7BPWR|9CDMG
75	56323 13123	2	   	261.20	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|347aVULN|57CGEN|6RCR|7BPWR|9CDMG
76	56323 13123	3	   	261.20	DCR|4VULN|3DUR|1CDMG	178DUR|2LIT|347aVULN|57CGEN|6RCR|7BPWR|9CDMG
77	56332 13323	3	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47MLV|6RCR|7BPWR|9CDMG
78	56332 13323	2	   	261.20	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|378aVULN|47MLV|6RCR|7BPWR|9CDMG
79	56351 13323	2	   	261.20	DCR|4VULN|3DUR|1CDMG	147DUR|2LIT|378aVULN|57MLV|6RCR|7BPWR|9CDMG
80	56351 13323	3	   	261.20	DCR|4VULN|3DUR|1CDMG	147DUR|2LIT|378aVULN|57MLV|6RCR|7BPWR|9CDMG
81	56353 13323	3	   	261.20	DCR|4VULN|3DUR|1CDMG	147DUR|2LIT|378aVULN|57CGEN|6RCR|7BPWR|9CDMG
82	56353 13323	2	   	261.20	DCR|4VULN|3DUR|1CDMG	147DUR|2LIT|378aVULN|57CGEN|6RCR|7BPWR|9CDMG
83	53462 13323	1	   	261.00	DCR|4VULN|3DUR|1CDMG	157DUR|2LIT|37ERES|478aVULN|6RCR|7BPWR|9CDMG
84	53321 13315	1	 * 	260.53	DCR|4VULN|2DUR|1TLV	17DUR|2LIT|347aVULN|578MLV|6RCR|7BPWR|9TLV
85	53323 13426	1	   	260.53	DCR|4VULN|2DUR|1TLV	17DUR|2LIT|3478VULN|57CGEN|6RCR|7BPWR|9LHND|aTLV
86	56321 13315	3	   	260.53	DCR|4VULN|2DUR|1TLV	17DUR|2LIT|347aVULN|578MLV|6RCR|7BPWR|9TLV
87	56321 13315	2	   	260.53	DCR|4VULN|2DUR|1TLV	17DUR|2LIT|347aVULN|578MLV|6RCR|7BPWR|9TLV
