0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42214 33241	10	 * 	284.01	DCR|4VULN|2DMG|2CDMG|1DUR|2LIT	137aVULN|23CDMG|3aBPWR|4aLIT|5DUR|6CGEN|8RCR|9aDMG
23	12534 16181	8	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1MBVNT|27DUR|378VULN|4ERES|5DMG|67CDMG|7BPWR|9TLV|aRCR
24	42224 32341	10	   	270.89	DCR|3VULN|2DMG|2DUR|2CDMG	13aVULN|23CDMG|3aBPWR|4RCVC|5aDUR|6RCR|7ERES|8LIT|9aDMG
25	65513 11221	6	   	270.81	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1aDMG|25aVULN|3TLV|4ASPD|6RMIN|7AART|8aLIT|9RCR|aBPWR
26	43325 32123	6	 * 	270.79	DCR|3VULN|2DMG|2TLV|2LIT|1AART	17aVULN|27LIT|3aTLV|4AART|5ZMB|67CGEN|7aBPWR|8aDMG|9RCR
27	43325 62123	6	   	270.79	DCR|3VULN|2DMG|2TLV|2LIT|1AART	17aVULN|27LIT|3aTLV|4AART|5ZMB|67MLV|7aBPWR|8aDMG|9RCR
28	43325 32123	5	   	270.59	DCR|3VULN|2DMG|2TLV|2LIT|1AART	17aVULN|27LIT|3aTLV|4AART|5ZMB|67ERES|7aBPWR|8aDMG|9RCR
29	42243 61322	10	   	269.05	DCR|4VULN|2DMG|2CDMG|1DUR	1369VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|8CGEN|aDUR
30	42243 61122	10	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	1369VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|8ERES|aDUR
31	14485 46131	10	 * 	268.87	DCR|4VULN|3DUR|3LIT|1AART	1MBVNT|28aLIT|3LWND|4AART|589aVULN|6RCR|78aDUR|8aBPWR
32	12134 23536	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3ZMB|48DMG|589VULN|6RCR|7RMIN|8BPWR|aTLV
33	12134 27536	7	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28DUR|3ZMB|48DMG|589VULN|6RCR|7RMIN|8BPWR|aTLV
34	42213 53241	10	   	267.76	DCR|4VULN|2DMG|2CDMG|2LIT	135aVULN|23CDMG|3aBPWR|4aLIT|6CGEN|7LHND|8RCR|9aDMG
35	42213 63241	10	   	267.66	DCR|4VULN|2DMG|2CDMG|2LIT	135aVULN|23CDMG|3aBPWR|4aLIT|6ERES|7LHND|8RCR|9aDMG
36	42416 21131	2	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	157VULN|2CDMG|3DUR|4DLOT|68DMG|9TLV|aRCR
37	62172 14251	2	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1aDMG|2RMIN|3MBVNT|4AART|5TLV|6RCR|7aVULN|89aDUR|aBPWR
38	42243 61232	9	   	266.26	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|36BPWR|48BEXP|56DMG|7RCR|9ASPD|aTLV
39	42243 41112	7	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|3BPWR|4BEXP|59DMG|7RCR|8ASPD|aTLV
40	42616 21231	2	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	157VULN|28CDMG|3AART|4DUR|6DMG|9TLV|aRCR
41	42214 33224	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	137aVULN|23CDMG|3BPWR|4LIT|5DUR|6CGEN|8RCR|9TLV
42	12571 14314	10	   	265.25	DCR|4VULN|3DUR|3CDMG	1MBVNT|247DUR|3478VULN|478BPWR|5LEGI|678CDMG|9CGEN|aRCR
43	11447 51543	4	 * 	264.64	DCR|4VULN|3DMG|1DUR	1MBVNT|28LHND|3589VULN|458DMG|58BPWR|6RCR|7LEGI|aDUR
44	12571 32445	9	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1MBVNT|24DUR|34aVULN|4BPWR|5LEGI|6TLV|7CDMG|8DMG|9RCR
45	12571 32447	10	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1MBVNT|24DUR|34aVULN|4BPWR|5LEGI|6TLV|7CDMG|8DMG|9RCR
46	12334 23534	6	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|28DUR|3ASPD|48DMG|589VULN|6RCR|7RMIN|8BPWR|aCDMG
47	12334 27534	7	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|28DUR|3ASPD|48DMG|589VULN|6RCR|7RMIN|8BPWR|aCDMG
48	42224 21431	5	 * 	264.46	DCR|3VULN|3DUR|3CDMG|1DMG	138VULN|236CDMG|368BPWR|4RCVC|568DUR|78LHND|9DMG|aRCR
49	12334 24534	6	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	1MBVNT|28DUR|3ASPD|48DMG|589VULN|6RCR|7NUKE|8BPWR|aCDMG
50	12511 12872	3	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|2aDUR|37aVULN|4ASPD|5BBNT|6CDMG|8RCR|9aDMG|aBPWR
51	42224 23431	5	   	264.26	DCR|3VULN|3DUR|3CDMG|1DMG	138VULN|236CDMG|368BPWR|4RCVC|568DUR|78DUST|9DMG|aRCR
52	12571 42723	8	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1MBVNT|247DUR|347VULN|47BPWR|5LEGI|6RMIN|8DMG|9TLV|aRCR
53	12571 33432	10	 * 	264.16	DCR|3VULN|3DUR|1TLV|2CDMG	1MBVNT|24aDUR|34aVULN|4aBPWR|5LEGI|6TLV|7DUST|8aCDMG|9RCR
54	12574 54431	4	   	264.15	DCR|3VULN|3DUR|2DMG	1MBVNT|247DUR|34aVULN|4aBPWR|5ASPD|6RCR|8aBEXP|9aDMG
55	12334 26423	7	   	263.95	DCR|3VULN|3DUR|2DMG	1MBVNT|29aDUR|3ASPD|4aDMG|57aVULN|6RCR|8LEGI|aBPWR
56	12334 26443	6	   	263.95	DCR|3VULN|3DUR|2DMG	1MBVNT|27aDUR|3ASPD|4aDMG|59aVULN|6RCR|8LEGI|aBPWR
57	12548 24423	9	   	263.95	DCR|3VULN|3DUR|2DMG	1MBVNT|267DUR|358VULN|48DMG|8BPWR|9LIT|aRCR
58	41133 15132	8	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	168VULN|2CGEN|3FEWX|46DMG|5AART|6BPWR|7DUR|9RCR|aTLV
59	12483 58221	5	   	263.76	DCR|4VULN|3DUR|2LIT|1AART	1MBVNT|27aDUR|3AART|4RCVC|567aVULN|7aBPWR|8aLIT|9RCR
60	41171 54221	1	   	263.66	DCR|4VULN|3DUR|2LIT|1AART	126aVULN|3MBVNT|47aDUR|5AART|8aLIT|9RCR|aBPWR
61	43171 54221	1	   	263.66	DCR|4VULN|3DUR|2LIT|1AART	126aVULN|2aBPWR|3MBVNT|47aDUR|5AART|8aLIT|9RCR
62	41178 41221	1	   	263.66	DCR|4VULN|3DUR|2LIT|1AART	126aVULN|3MBVNT|45aDUR|7AART|8aLIT|9RCR|aBPWR
63	43178 41221	1	   	263.66	DCR|4VULN|3DUR|2LIT|1AART	126aVULN|2aBPWR|3MBVNT|45aDUR|7AART|8aLIT|9RCR
64	42243 61311	8	   	263.65	DCR|3VULN|3DMG|2CDMG|1DUR	136VULN|23CDMG|36BPWR|4BEXP|569DMG|7RCR|8CGEN|aDUR
65	12673 26143	7	   	263.57	DCR|4VULN|2DMG|2DUR	1MBVNT|2aDUR|3RMIN|4FEWX|5aDMG|6RCR|789aVULN|aBPWR
66	12832 41227	4	   	263.57	DCR|4VULN|2DMG|2DUR	1MBVNT|29DUR|3BEXP|4BELT|579aVULN|6RCR|89DMG|9BPWR
67	42243 61111	8	   	263.55	DCR|3VULN|3DMG|2CDMG|1DUR	136VULN|23CDMG|36BPWR|4BEXP|569DMG|7RCR|8ERES|aDUR
68	12134 26443	7	   	263.47	DCR|4VULN|2DMG|2DUR	1MBVNT|2aDUR|3ZMB|4aDMG|579aVULN|6RCR|8LEGI|aBPWR
69	12634 26443	7	   	263.47	DCR|4VULN|2DMG|2DUR	1MBVNT|2aDUR|3RMIN|4aDMG|579aVULN|6RCR|8LEGI|aBPWR
70	12541 16543	7	   	263.33	DCR|4VULN|2DMG|2DUR|1SELL	1MBVNT|2aDUR|379aVULN|4aDMG|5SELL|6RPLT|8RCR|aBPWR
71	12541 24143	8	   	263.33	DCR|4VULN|2DMG|2DUR|1SELL	1MBVNT|2aDUR|369aVULN|4aDMG|5SELL|7RCR|8RPLT|aBPWR
72	12541 24183	9	   	263.33	DCR|4VULN|2DMG|2DUR|1SELL	1MBVNT|2aDUR|369aVULN|4aDMG|5SELL|7RCR|8RPLT|aBPWR
73	52131 66212	4	 * 	263.31	DCR|3VULN|3DMG|1TLV|1AART	1DMSP|29CGEN|359DMG|469VULN|7AART|8RCR|9BPWR|aTLV
74	12334 26276	6	   	262.86	DCR|2VULN|3DMG|3DUR|2ASPD	1MBVNT|278DUR|39ASPD|49aDMG|59VULN|6RCR|9BPWR
75	12335 12145	4	   	262.86	DCR|2VULN|3DMG|3DUR|2ASPD	1MBVNT|29aDUR|3aASPD|457DMG|6RCR|8aVULN|aBPWR
76	12365 12145	3	   	262.86	DCR|2VULN|3DMG|3DUR|2ASPD	1MBVNT|29aDUR|3aASPD|457DMG|6RCR|8aVULN|aBPWR
77	42328 26111	2	 * 	262.79	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	17VULN|26CDMG|3MBVNT|47TLV|57DUR|7BPWR|8ASPD|9DMG|aRCR
78	12548 84143	8	   	262.48	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|2aDUR|359VULN|4aDMG|6aCDMG|7RCR|8RPLT|aBPWR
79	12534 16184	9	   	262.38	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|27DUR|378VULN|4ERES|5aDMG|67CDMG|7BPWR|9RCR
80	12332 26143	7	   	262.13	DCR|4VULN|2DUR|1DMG|2ASPD	1MBVNT|2aDUR|3aASPD|4DMG|5LWND|6RCR|789aVULN|aBPWR
81	12332 26843	8	   	262.13	DCR|4VULN|2DUR|1DMG|2ASPD	1MBVNT|2aDUR|3aASPD|4DMG|5LWND|6RCR|789aVULN|aBPWR
82	12373 26143	7	   	262.13	DCR|4VULN|2DUR|1DMG|2ASPD	1MBVNT|2aDUR|3aASPD|4FEWX|5DMG|6RCR|789aVULN|aBPWR
83	62531 22221	5	   	261.77	DCR|2VULN|3DMG|1TLV|2LIT|1AART	13aDMG|2RMIN|4aVULN|5AART|6TLV|7ASPD|8aLIT|9RCR|aBPWR
84	62532 22221	4	   	261.77	DCR|2VULN|3DMG|1TLV|2LIT|1AART	13aDMG|2RMIN|4aVULN|5AART|6TLV|7ASPD|8aLIT|9RCR|aBPWR
85	17455 11233	1	 * 	261.52	DCR|3VULN|3DMG|2TLV	1MBVNT|2RPLT|3TBNT|489DMG|58aVULN|6RCR|78TLV|8BPWR
86	65235 11233	2	   	261.52	DCR|3VULN|3DMG|2TLV	189DMG|28aVULN|3TBNT|4RPLT|5MBVNT|6RCR|78TLV|8BPWR
87	42213 13355	3	   	261.32	DCR|4VULN|1TLV|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5ZMB|7RCR|8BEXP|9TLV|aDMG
88	42243 41322	9	   	261.32	DCR|4VULN|1TLV|1DMG|2CDMG	1369VULN|23CDMG|3BPWR|4BEXP|5DMG|7RCR|8CGEN|aTLV
89	42243 41323	10	   	261.32	DCR|4VULN|1TLV|1DMG|2CDMG	1369VULN|23CDMG|3BPWR|4BEXP|5DMG|7RCR|8CGEN|aTLV
90	42243 41122	9	   	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1369VULN|23CDMG|3BPWR|4BEXP|5DMG|7RCR|8ERES|aTLV
91	42243 41123	10	   	261.22	DCR|4VULN|1TLV|1DMG|2CDMG	1369VULN|23CDMG|3BPWR|4BEXP|5DMG|7RCR|8ERES|aTLV
92	14337 13451	10	   	261.14	DCR|4VULN|2DMG|2LIT|1CDMG	1MBVNT|2aLIT|368aVULN|4CDMG|5ERES|7RCR|9aDMG|aBPWR
93	42243 61233	10	   	261.11	DCR|4VULN|2DMG|2CDMG	136aVULN|23CDMG|36BPWR|48BEXP|56DMG|7RCR|9ASPD
94	42232 41341	10	   	261.01	DCR|4VULN|2DMG|2CDMG	136aVULN|23CDMG|3aBPWR|4aERES|5LHND|7RCR|8LIT|9aDMG
95	46411 11221	4	   	260.86	DCR|3VULN|2DMG|1DUR|2LIT|1AART	13aVULN|2RCVC|4aDMG|5ASPD|6DUR|7AART|8aLIT|9RCR|aBPWR
96	46412 11221	5	   	260.86	DCR|3VULN|2DMG|1DUR|2LIT|1AART	13aVULN|2RCVC|4aDMG|5ASPD|6DUR|7AART|8aLIT|9RCR|aBPWR
97	12332 55471	4	   	260.85	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	1MBVNT|256DUR|39ASPD|49DMG|79VULN|8RCR|9BPWR|aCDMG
98	12334 26271	6	   	260.85	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	1MBVNT|278DUR|39ASPD|49DMG|59VULN|6RCR|9BPWR|aCDMG
99	12623 25471	2	   	260.85	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	1MBVNT|234DUR|49BPWR|59DMG|69ASPD|79VULN|8RCR|aCDMG
100	12363 26471	6	   	260.85	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	1MBVNT|246DUR|39ASPD|59VULN|79DMG|8RCR|9BPWR|aCDMG
101	12574 36143	7	 * 	260.79	DCR|3VULN|3DUR|2TLV	1MBVNT|248DUR|34aVULN|4aBPWR|5LIT|6aLHND|7RCR|9aTLV
102	12543 24415	10	   	260.26	DCR|2VULN|3DMG|3DUR|1CDMG	1MBVNT|267DUR|38VULN|458DMG|8BPWR|9RCR|aCDMG
103	12543 24453	9	   	260.26	DCR|2VULN|3DMG|3DUR|1CDMG	1MBVNT|267DUR|38VULN|458DMG|8BPWR|9CDMG|aRCR
104	12543 24455	10	   	260.26	DCR|2VULN|3DMG|3DUR|1CDMG	1MBVNT|267DUR|38VULN|458DMG|8BPWR|9CDMG|aRCR
105	12384 24536	6	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1MBVNT|28DUR|38ASPD|4ZMB|59VULN|6RCR|78DMG|8BPWR|aTLV
106	12543 84644	9	 * 	259.87	DCR|3DMG|1VULN|2TLV|2DUR|1CDMG	1MBVNT|2aDUR|3VULN|45aDMG|6CDMG|7RCR|8LIT|9aTLV|aBPWR
107	12573 33261	4	   	259.53	DCR|4VULN|2DUR|1DMG|1CDMG	1MBVNT|24DUR|3479VULN|4BPWR|5CDMG|6DMG|8LHND|aRCR
108	12573 33461	4	   	259.53	DCR|4VULN|2DUR|1DMG|1CDMG	1MBVNT|24DUR|3479VULN|4BPWR|5CDMG|6DMG|8LWND|aRCR
109	12571 18111	8	   	259.43	DCR|4VULN|2DUR|1DMG|1CDMG	1MBVNT|24DUR|3478VULN|4BPWR|5LEGI|6CDMG|9DMG|aRCR
110	12173 26843	8	   	259.41	DCR|4VULN|3DUR|1DMG	1MBVNT|28aDUR|38aZMB|4FEWX|5DMG|6RCR|789aVULN|8aBPWR
111	12368 12337	4	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1MBVNT|24DUR|3ASPD|5TLV|6RCR|7DMG|89aVULN
112	12638 12337	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1MBVNT|23DUR|4ASPD|5TLV|6RCR|7DMG|89aVULN
113	12571 14713	10	   	259.11	DCR|4VULN|3DUR|2CDMG	1MBVNT|247DUR|347aVULN|47BPWR|5LEGI|67CDMG|8RCR|9RCVC
114	12571 14722	10	   	259.11	DCR|4VULN|3DUR|2CDMG	1MBVNT|247DUR|347aVULN|47BPWR|5LEGI|67CDMG|8RCR|9FEWX
115	12571 14732	10	   	259.11	DCR|4VULN|3DUR|2CDMG	1MBVNT|247DUR|347aVULN|47BPWR|5LEGI|67CDMG|8RCR|9BEXP
116	12571 14742	10	   	259.01	DCR|4VULN|3DUR|2CDMG	1MBVNT|247DUR|347aVULN|47BPWR|5LEGI|67CDMG|8RCR|9DUST
117	11474 51544	5	   	258.94	DCR|4VULN|2DMG|1TLV	1MBVNT|248LHND|348aVULN|48BPWR|58DMG|6RCR|7LEGI|9TLV
118	11447 14644	4	   	258.84	DCR|4VULN|2DMG|1TLV	1MBVNT|2LHND|358aVULN|45DMG|5BPWR|6LWND|7RCR|9TLV
119	11447 24544	6	   	258.84	DCR|4VULN|2DMG|1TLV	1MBVNT|28LHND|368aVULN|48DMG|5LEGI|7RCR|8BPWR|9TLV
120	11447 54644	4	   	258.84	DCR|4VULN|2DMG|1TLV	1MBVNT|2LHND|358aVULN|45DMG|5BPWR|6RCR|7LWND|9TLV
121	11444 87132	10	   	258.74	DCR|4VULN|2DMG|1TLV	1MBVNT|2LHND|3679VULN|45DMG|8TLV|aRCR
122	11447 51644	4	   	258.74	DCR|4VULN|2DMG|1TLV	1MBVNT|2LHND|358aVULN|45DMG|5BPWR|6RCR|7LEGI|9TLV
123	12373 22843	6	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	1MBVNT|2aDUR|3aASPD|4FEWX|57DMG|6RCR|89aVULN|aBPWR
124	12543 84424	9	   	258.34	DCR|3DMG|1VULN|2DUR|1TLV|2LIT|1CDMG	1MBVNT|2aDUR|3VULN|45aDMG|6CDMG|7RCR|8TLV|9aLIT|aBPWR
125	41173 33347	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	127VULN|3MBVNT|4DUR|5CDMG|6DMG|8LIT|9TLV|aRCR
126	43173 33347	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	127VULN|2BPWR|3MBVNT|4DUR|5CDMG|6DMG|8LIT|9TLV|aRCR
127	41133 16316	8	   	258.25	DCR|4VULN|3DMG|1AART	1689VULN|2CGEN|39FEWX|469DMG|5AART|69BPWR|7RCVC|aRCR
128	42134 23223	6	   	258.22	DCR|3VULN|3DUR|1DMG|2CDMG	16aVULN|2aCDMG|3RPLT|4DMG|5LWND|7RCR|89aDUR|aBPWR
129	42134 63223	5	   	258.22	DCR|3VULN|3DUR|1DMG|2CDMG	16aVULN|2aCDMG|3RPLT|4DMG|5LWND|7RCR|89aDUR|aBPWR
130	11444 55544	5	   	258.17	DCR|3VULN|3DMG|2DUR	1MBVNT|28LHND|39aVULN|458DMG|6RCR|78DUR|8BPWR
131	12543 51544	5	   	258.17	DCR|3VULN|3DMG|2DUR	1MBVNT|28DUR|39aVULN|458DMG|6RCR|78LHND|8BPWR
132	12673 22843	6	   	258.17	DCR|3VULN|3DMG|2DUR	1MBVNT|2aDUR|3RMIN|4FEWX|57aDMG|6RCR|89aVULN|aBPWR
133	12514 16184	9	   	258.12	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|27aDUR|378VULN|4CGEN|5DMG|67CDMG|7BPWR|9RCR
134	12571 14723	9	   	258.12	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|247DUR|347VULN|47BPWR|5LEGI|67CDMG|8RCR|9FEWX|aDMG
135	12571 14733	9	   	258.12	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|247DUR|347VULN|47BPWR|5LEGI|67CDMG|8RCR|9BEXP|aDMG
136	12571 14743	8	   	258.12	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|247DUR|347VULN|47BPWR|5LEGI|67CDMG|8RCR|9BEXP|aDMG
137	12134 24443	6	   	258.07	DCR|3VULN|3DMG|2DUR	1MBVNT|2aDUR|3ZMB|47aDMG|59aVULN|6RCR|8LEGI|aBPWR
138	62127 12125	2	   	258.07	DCR|3VULN|3DMG|2DUR	147DMG|2RMIN|3MBVNT|4aBPWR|58aVULN|6RCR|9aDUR
139	62127 12425	2	   	258.07	DCR|3VULN|3DMG|2DUR	147DMG|2RMIN|3MBVNT|48aBPWR|58aVULN|6RCR|9aDUR
140	12534 16184	10	   	258.02	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|27aDUR|378VULN|4ERES|5DMG|67CDMG|7BPWR|9RCR
141	12571 14723	8	   	258.02	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|247DUR|347VULN|47BPWR|5LEGI|67CDMG|8RCR|9DUST|aDMG
142	12571 14743	9	   	258.02	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|247DUR|347VULN|47BPWR|5LEGI|67CDMG|8RCR|9DUST|aDMG
143	13845 12138	4	   	257.97	DCR|3VULN|3DMG|2DUR	1MBVNT|2aERES|3aDUR|457DMG|6RCR|89aVULN|aBPWR
144	42243 61322	8	   	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|36BPWR|4BEXP|56DMG|7RCR|89CGEN|aTLV
145	12363 84644	9	   	257.95	DCR|2VULN|3DUR|2TLV|1CDMG	1MBVNT|24aDUR|3ASPD|5aVULN|6CDMG|7RCR|8LIT|9aTLV|aBPWR
146	12541 14543	6	   	257.93	DCR|3VULN|3DMG|2DUR|1SELL	1MBVNT|2aDUR|39aVULN|47aDMG|5SELL|6RPLT|8RCR|aBPWR
147	12541 24543	5	   	257.93	DCR|3VULN|3DMG|2DUR|1SELL	1MBVNT|2aDUR|39aVULN|47aDMG|5SELL|6RPLT|8RCR|aBPWR
148	42243 41312	8	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|3BPWR|4BEXP|59DMG|7RCR|8CGEN|aTLV
149	42243 61222	9	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|36BPWR|48BEXP|56DMG|7RCR|9ERES|aTLV
150	42243 61223	10	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|36BPWR|48BEXP|56DMG|7RCR|9ERES|aTLV
151	42311 24261	3	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	179VULN|25CDMG|37LHND|4DLOT|67DMG|7BPWR|8TLV|aRCR
152	42243 41112	8	   	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	136VULN|23CDMG|3BPWR|4BEXP|59DMG|7RCR|8ERES|aTLV
153	42321 14536	2	   	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	189VULN|28CDMG|3MBVNT|4TLV|5DUST|6RPLT|78DMG|8BPWR|aRCR
154	12571 32832	10	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	1MBVNT|24aDUR|34aVULN|4aBPWR|5LEGI|6TLV|7CDMG|8aDUST|9RCR
155	43626 32121	4	 * 	257.56	DCR|3VULN|2DMG|3LIT|1DUR|1AART	16aVULN|23aLIT|4ZMB|5AART|7DUR|8aDMG|9RCR|aBPWR
156	42213 13315	3	   	257.50	DCR|4VULN|1TLV|2CDMG|1DUR	1346VULN|23CDMG|3BPWR|5ZMB|7RCR|8BEXP|9DUR|aTLV
157	42221 31122	9	   	257.50	DCR|4VULN|1TLV|2CDMG|1DUR	1389VULN|23CDMG|3BPWR|4RCVC|5BEXP|6RCR|7DUR|aTLV
158	42242 31122	9	   	257.50	DCR|4VULN|1TLV|2CDMG|1DUR	1389VULN|23CDMG|3BPWR|4BEXP|5DMSP|6RCR|7DUR|aTLV
159	42415 21131	2	   	257.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17VULN|2CDMG|35DUR|4DLOT|68DMG|9TLV|aRCR
160	42416 22131	2	   	257.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	15VULN|2CDMG|37DUR|4DLOT|68DMG|9TLV|aRCR
