0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54233 12131	3	 * 	296.38	DCR|4VULN|3DUR|3ASPD|1CDMG	157aVULN|2CDMG|367ASPD|47aDUR|7aBPWR|8aLHND|9RCR
13	54253 12111	9	 * 	282.63	DCR|4VULN|2ASPD|2TLV|1DMG|1CDMG	1479VULN|2CDMG|39ASPD|5DMG|6FEWX|89TLV|9BPWR|aRCR
14	54253 32111	9	   	282.53	DCR|4VULN|2ASPD|2TLV|1DMG|1CDMG	1479VULN|2CDMG|39ASPD|5DMG|6DUST|89TLV|9BPWR|aRCR
15	13233 12131	3	   	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	167ASPD|257aVULN|3SELL|47aDUR|7aBPWR|8aLHND|9RCR
16	63432 31361	10	 * 	282.47	DCR|5VULN|2DUR|1TLV	1TLV|2468aVULN|3LIT|57DUR|9RCR
17	55113 32417	7	   	282.45	DCR|3VULN|2DMG|2DUR|1ASPD	16aVULN|2AART|3aDUR|4MBVNT|5ASPD|7RCR|8LIT|9aDMG|aBPWR
18	54253 22332	6	   	281.57	DCR|3VULN|3DMG|2ASPD|1CDMG	147VULN|2CDMG|37ASPD|578DMG|6RMIN|7BPWR|9RCR|aLIT
19	63113 33153	10	 * 	281.52	DCR|4VULN|3DUR|3TLV	19aTLV|279aVULN|3MLV|4FEWX|5AART|69aDUR|8RCR|9aBPWR
20	63613 33153	10	   	281.42	DCR|4VULN|3DUR|3TLV	19aTLV|279aVULN|3ERES|4FEWX|5AART|69aDUR|8RCR|9aBPWR
21	51136 32413	3	 * 	281.28	DCR|5VULN|2DMG|1TLV	1349aVULN|23aLWND|3aBPWR|5TLV|6RCR|7BEXP|8aDMG
22	23333 63413	7	   	281.18	DCR|5VULN|2DMG|1DUR	1aMLV|2359aVULN|4LWND|6RCR|7DUR|8aDMG|aBPWR
23	53333 63413	7	   	281.18	DCR|5VULN|2DMG|1DUR	1359aVULN|2aMLV|4LWND|6RCR|7DUR|8aDMG|aBPWR
24	51213 63413	7	   	281.18	DCR|5VULN|2DMG|1DUR	1459aVULN|2aLWND|3CGEN|6RCR|7DUR|8aDMG|aBPWR
25	63431 22236	5	   	280.49	DCR|4VULN|2DUR|2TLV|1CDMG	1aTLV|246aVULN|3LIT|5CDMG|7RMIN|8RCR|9aDUR|aBPWR
26	13533 12131	3	 * 	280.06	DCR|3VULN|3DUR|3ASPD|2CDMG	167ASPD|25aVULN|37CDMG|47aDUR|7aBPWR|8aLHND|9RCR
27	13312 62424	7	 * 	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|249aVULN|3DUST|5DMG|6RCR|79DUR|8RPLT|9BPWR
28	56311 21432	9	   	279.69	DCR|5VULN|2DMG|2LIT	1249aVULN|3RPLT|5DUST|6RCR|79LIT|89DMG|9BPWR
29	56311 21433	10	   	279.69	DCR|5VULN|2DMG|2LIT	1249aVULN|3RPLT|5DUST|6RCR|79LIT|89DMG|9BPWR
30	53356 33111	9	 * 	279.00	DCR|4VULN|2DMG|2TLV|1CDMG	1359VULN|2MLV|49DMG|6FEWX|7CDMG|89TLV|9BPWR|aRCR
31	11251 35131	3	   	278.18	DCR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2LIT|3BELT|4AART|58DMG|689VULN|7RCR|8BPWR|aDUR
32	53333 63126	7	 * 	278.18	DCR|5VULN|2DUR|1DMG	13589VULN|2MLV|49LWND|6RCR|79DUR|9BPWR|aDMG
33	52533 62213	7	 * 	278.08	DCR|5VULN|2DUR|2CDMG	1589aVULN|2CGEN|3aCDMG|4RPLT|6RCR|7aDUR|aBPWR
34	13432 41216	5	   	277.81	DCR|4VULN|3ASPD|2DUR	169ASPD|249aVULN|3LIT|5aDUR|79aLWND|8RCR|9aBPWR
35	13463 22215	6	   	277.68	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7RMIN|8RCR|aAART
36	13432 62216	4	   	277.61	DCR|4VULN|3ASPD|2DUR	159ASPD|249aVULN|3LIT|6BEXP|79DUR|8RCR|9BPWR
37	11341 53431	8	 * 	276.44	DCR|2VULN|2DMG|3ASPD|3LIT|1TLV|1CDMG	138ASPD|238LIT|38BPWR|46VULN|5CDMG|78DMG|9TLV|aRCR
38	56311 21432	10	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1249VULN|3RPLT|5DUST|6RCR|79LIT|89DMG|9BPWR|aDUR
39	61542 21332	7	 * 	276.23	DCR|3VULN|3DMG|2TLV	16TLV|2LIT|389DMG|456VULN|6BPWR|7AART|aRCR
40	63432 31332	10	   	276.16	DCR|4VULN|3DUR|1TLV	1TLV|2468VULN|3LIT|579DUR|aRCR
41	52253 22111	9	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	1489VULN|2CGEN|3SELL|59DMG|6RMIN|79DUR|9BPWR|aRCR
42	13413 22214	6	   	274.91	DCR|4VULN|2DMG|2ASPD	19ASPD|269aVULN|3LIT|4BEXP|59DMG|7RMIN|8RCR|9BPWR
43	13463 32214	6	   	274.91	DCR|4VULN|2DMG|2ASPD	19ASPD|269aVULN|3LIT|4FEWX|59DMG|7RMIN|8RCR|9BPWR
44	13323 22214	6	   	274.81	DCR|4VULN|2DMG|2ASPD	19ASPD|269aVULN|3DUST|4LIT|59DMG|7RMIN|8RCR|9BPWR
45	13423 22214	6	   	274.81	DCR|4VULN|2DMG|2ASPD	19ASPD|269aVULN|3LIT|4DUST|59DMG|7RMIN|8RCR|9BPWR
46	23156 11423	9	   	274.69	DCR|4VULN|3DMG|1CDMG	138MLV|2578VULN|468DMG|8BPWR|9CDMG|aRCR
47	13132 51214	2	   	274.64	DCR|4VULN|2DUR|2ASPD|2LIT	19ASPD|259aVULN|3BEXP|46DUR|79LIT|8RCR|9BPWR
48	16132 51214	1	   	274.64	DCR|4VULN|2DUR|2ASPD|2LIT	19ASPD|259aVULN|3BEXP|46DUR|79LIT|8RCR|9BPWR
49	13463 21131	6	   	274.57	DCR|3VULN|3DMG|2ASPD|2LIT	19ASPD|269VULN|3aLIT|4FEWX|569DMG|69BPWR|7BELT|8RCR
50	13334 51214	3	   	274.54	DCR|4VULN|2DUR|2ASPD|2LIT	19ASPD|259aVULN|3DUST|46DUR|79LIT|8RCR|9BPWR
51	23346 13362	8	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	1MLV|2359aVULN|4TLV|6DMG|7RCR|8ASPD
52	13312 61615	6	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1ASPD|2478aVULN|3DUST|5DMG|6RCR|9TLV
53	13312 61615	7	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1ASPD|2478aVULN|3DUST|5DMG|6RCR|9TLV
54	54243 32211	2	   	273.76	DCR|4VULN|3DUR|1CDMG	157aVULN|2CDMG|347DUR|67ZMB|7BPWR|8RCR|9LIT
55	55243 32211	1	   	273.76	DCR|4VULN|3DUR|1CDMG	157aVULN|2CDMG|347DUR|67ZMB|7BPWR|8RCR|9LIT
56	54231 12335	3	   	273.44	DCR|3VULN|3DUR|3ASPD|1CDMG	17aVULN|2CDMG|367ASPD|457DUR|7BPWR|8MBVNT|9RCR
57	13552 26111	9	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	19ASPD|2489VULN|3CDMG|5ERES|6RMIN|79DUR|9BPWR|aRCR
58	63253 22111	9	 * 	273.30	DCR|3VULN|2DMG|2DUR|2TLV|1SELL	19TLV|248VULN|3SELL|59DMG|6RMIN|79DUR|9BPWR|aRCR
59	61342 31361	10	   	273.29	DCR|4VULN|2DUR|2TLV|2LIT	13TLV|23LIT|3BPWR|468aVULN|57DUR|9RCR
60	54253 22333	6	   	273.27	DCR|3VULN|3DMG|2ASPD|1CDMG	147VULN|2CDMG|37ASPD|578DMG|6RMIN|7BPWR|9RCR|aBEXP
61	13253 22336	6	   	273.02	DCR|3VULN|3DMG|2ASPD|1CDMG|1SELL	17ASPD|247VULN|3SELL|578DMG|6RMIN|7BPWR|9RCR|aCDMG
62	46312 31611	5	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	19LHND|249VULN|35DMG|6RCR|7LIT|89DUR|9BPWR|aASPD
63	51312 31611	5	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	149VULN|29LWND|35DMG|6RCR|7LIT|89DUR|9BPWR|aASPD
64	61542 31332	7	   	272.42	DCR|3VULN|3DMG|1TLV	1TLV|2LIT|389DMG|456VULN|7AART|aRCR
65	63521 11332	2	   	272.42	DCR|3VULN|3DMG|1TLV	1TLV|256VULN|389DMG|4AART|7LIT|aRCR
66	66521 11332	1	   	272.42	DCR|3VULN|3DMG|1TLV	1TLV|256VULN|389DMG|4AART|7LIT|aRCR
67	13312 61215	6	   	272.34	DCR|4VULN|2DMG|1TLV|1ASPD	1ASPD|247aVULN|3DUST|58DMG|6RCR|9TLV
68	13312 61215	7	   	272.34	DCR|4VULN|2DMG|1TLV|1ASPD	1ASPD|247aVULN|3DUST|58DMG|6RCR|9TLV
69	13312 61216	8	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1ASPD|2479VULN|3DUST|5aDMG|6RCR|8DUR
70	13312 62216	7	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1ASPD|2489VULN|3DUST|5aDMG|6RCR|7DUR
71	13431 23424	8	 * 	272.23	DCR|3VULN|2DMG|2ASPD|2CDMG	18ASPD|248VULN|3LIT|59CDMG|6RCVC|78DMG|8BPWR|aRCR
72	63333 61323	9	 * 	272.09	DCR|4VULN|3ASPD|2TLV|1CDMG	18TLV|2678VULN|3DUST|4LWND|568ASPD|68BPWR|9CDMG|aRCR
73	51133 33226	5	   	272.05	DCR|4VULN|3DMG|1ASPD	1359VULN|239LWND|39BPWR|4ASPD|6RCR|7ERES|89aDMG
74	34122 23366	2	   	271.96	DCR|4VULN|3DUR|2TLV	1RCVC|28aDUR|358BEXP|458aVULN|58aBPWR|6BBNT|7RCR|9aTLV
75	13431 21211	5	   	271.76	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|246VULN|3LIT|5CDMG|7DUR|8RCR|9aDMG
76	13431 51211	6	   	271.76	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|246VULN|3LIT|5CDMG|7DUR|8RCR|9aDMG
77	13436 21211	4	   	271.76	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|246VULN|3LIT|5CDMG|7DUR|8RCR|9aDMG
78	46133 31613	5	   	271.63	DCR|4VULN|2DUR|1CDMG|1ASPD	139LHND|2359VULN|39BPWR|4ASPD|6RCR|7LIT|89DUR|aCDMG
79	51231 65213	3	 * 	271.44	DCR|5VULN|3DUR	1689aVULN|2LWND|3aCGEN|46aDUR|5RMIN|6aBPWR|7RCR
80	51231 65213	2	   	271.44	DCR|5VULN|3DUR	1689aVULN|2LWND|3aCGEN|46aDUR|5RMIN|6aBPWR|7RCR
81	44133 22511	1	   	271.34	DCR|5VULN|3DUR	178LHND|24578VULN|347DUR|478BPWR|6BBNT|9TBNT|aRCR
82	46133 22511	2	   	271.34	DCR|5VULN|3DUR	178LHND|24578VULN|347DUR|478BPWR|6BBNT|9TBNT|aRCR
83	51613 63123	7	   	271.34	DCR|5VULN|3DUR	14589VULN|2LWND|39MLV|6RCR|79aDUR|9BPWR
84	53333 63123	7	   	271.34	DCR|5VULN|3DUR	13589VULN|2MLV|49LWND|6RCR|79aDUR|9BPWR
85	11341 61216	7	   	271.33	DCR|2VULN|2DMG|3ASPD|1TLV|2LIT|1CDMG|1NUKE	13aASPD|23LIT|3aBPWR|4aVULN|5CDMG|6TLV|7aDMG|8RCR|9NUKE
86	23346 13361	8	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1MLV|2359VULN|4TLV|6DMG|7RCR|8ASPD|aDUR
87	13312 61212	8	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2479VULN|3DUST|5DMG|6RCR|8DUR|aTLV
88	13312 61662	7	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2478VULN|3DUST|5DMG|6RCR|9DUR|aTLV
89	13312 61662	6	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2478VULN|3DUST|5DMG|6RCR|9DUR|aTLV
90	13312 62212	7	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2489VULN|3DUST|5DMG|6RCR|7DUR|aTLV
91	31432 42351	1	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1RCVC|247VULN|3CDMG|57DUR|67ASPD|7BPWR|8DMG|9RCR|aBBNT
92	31432 42352	1	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1RCVC|247VULN|3CDMG|57DUR|67ASPD|7BPWR|8DMG|9RCR|aTBNT
93	35132 42315	1	   	270.61	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG|1SELL	1RCVC|2SELL|347VULN|57DUR|67ASPD|7BPWR|8DMG|9CDMG|aRCR
94	53316 33243	3	   	269.77	DCR|3VULN|2DMG|2ASPD|1TLV	13aVULN|2MLV|4aASPD|5TLV|6RCR|7ERES|8aDMG|9AART|aBPWR
95	13312 33254	5	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1ASPD|2467VULN|3DUST|5aDMG|8CDMG|9RCR
96	13313 23254	6	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1ASPD|2457VULN|3DUST|6aDMG|8CDMG|9RCR
97	51142 31237	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|2LWND|3aDUR|4LHND|5MBVNT|6TLV|7RCR|8aDMG|aBPWR
98	13345 13133	1	 * 	269.42	DCR|2VULN|3DUR|2DMG|2ASPD	19ASPD|259DUR|3BELT|4LIT|6aVULN|79DMG|8RCR|9BPWR
99	15345 13133	2	   	269.42	DCR|2VULN|3DUR|2DMG|2ASPD	19ASPD|2BELT|359DUR|4LIT|6aVULN|79DMG|8RCR|9BPWR
100	51312 16721	9	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	148VULN|2LWND|358DMG|6MBVNT|78LIT|8BPWR|9DUR|aRCR
101	13312 61214	8	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|2479VULN|3DUST|5DMG|6RCR|8aDUR
102	13312 62214	7	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|2489VULN|3DUST|5DMG|6RCR|7aDUR
103	51312 51326	10	 * 	269.24	DCR|3VULN|3DMG|2DUR	14aVULN|2LWND|35aDMG|6RPLT|7RCR|8aDUR|9RMIN|aBPWR
104	44133 31512	1	   	269.02	DCR|5VULN|2DUR|1ASPD	1LHND|24569VULN|34DUR|4BPWR|7FEWX|8RCR|aASPD
105	46133 31512	2	   	269.02	DCR|5VULN|2DUR|1ASPD	1LHND|24569VULN|34DUR|4BPWR|7FEWX|8RCR|aASPD
106	63312 22328	7	 * 	268.99	DCR|3VULN|3DUR|2TLV|1DMG	1aTLV|24aVULN|3DUST|5DMG|6MBVNT|79aDUR|8RCR|aBPWR
107	13431 21212	5	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|246VULN|3LIT|5CDMG|7aDUR|8RCR|9DMG
108	13431 51212	6	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|246VULN|3LIT|5CDMG|7aDUR|8RCR|9DMG
109	13436 21212	4	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|246VULN|3LIT|5CDMG|7aDUR|8RCR|9DMG
110	13253 12111	9	   	268.73	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	19ASPD|2479VULN|3SELL|5DMG|6FEWX|89TLV|9BPWR|aRCR
111	13253 12121	8	   	268.73	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	19ASPD|2479VULN|3SELL|5DMG|6FEWX|89TLV|9BPWR|aRCR
112	13253 12421	7	   	268.73	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	19ASPD|2479VULN|3SELL|5DMG|6FEWX|89TLV|9BPWR|aRCR
113	13253 32111	9	   	268.63	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	19ASPD|2479VULN|3SELL|5DMG|6DUST|89TLV|9BPWR|aRCR
114	13253 32121	8	   	268.63	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	19ASPD|2479VULN|3SELL|5DMG|6DUST|89TLV|9BPWR|aRCR
115	13253 32421	7	   	268.63	DCR|4VULN|2ASPD|2TLV|1DMG|1SELL	19ASPD|2479VULN|3SELL|5DMG|6DUST|89TLV|9BPWR|aRCR
116	54233 12632	3	   	268.62	DCR|3VULN|2DUR|3ASPD|1CDMG	157VULN|2CDMG|367ASPD|47DUR|7BPWR|8DMSP|9RCR|aLIT
117	54242 13333	1	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV	129VULN|3DUST|4BELT|59CDMG|6RCR|79DMG|8AART|9BPWR|aTLV
118	56242 13333	3	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV	129VULN|3DUST|4BELT|59CDMG|6RCR|79DMG|8AART|9BPWR|aTLV
119	56242 13333	2	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV	129VULN|3DUST|4BELT|59CDMG|6RCR|79DMG|8AART|9BPWR|aTLV
120	13413 21133	6	   	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|269VULN|3LIT|4BEXP|59DMG|7BELT|8RCR|9BPWR|aDUR
121	43533 33231	2	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1LHND|2TLV|3DMG|4568VULN|7ASPD|9CDMG|aRCR
122	63532 33231	2	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2468VULN|3DMG|5LHND|7ASPD|9CDMG|aRCR
123	66532 33231	1	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2468VULN|3DMG|5LHND|7ASPD|9CDMG|aRCR
124	11251 35134	3	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT	18ASPD|2aLIT|3BELT|4AART|58DMG|689VULN|7RCR|8BPWR
125	13323 21133	6	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|269VULN|3DUST|4LIT|59DMG|7BELT|8RCR|9BPWR|aDUR
126	13423 21133	6	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|269VULN|3LIT|4DUST|59DMG|7BELT|8RCR|9BPWR|aDUR
127	63432 11336	5	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1TLV|248aVULN|3LIT|5DUR|6RCR|7LWND|9DMG
128	63433 12336	5	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1TLV|248aVULN|3LIT|5LWND|6RCR|7DUR|9DMG
129	13452 32216	4	   	268.40	DCR|3VULN|3DUR|3ASPD	159ASPD|29aVULN|3LIT|4RCVC|6aLWND|79aDUR|8RCR|9aBPWR
130	13452 32216	3	   	268.40	DCR|3VULN|3DUR|3ASPD	159ASPD|29aVULN|3LIT|47aDUR|69aLWND|8RCR|9aBPWR
131	13432 32215	4	   	268.20	DCR|3VULN|3DUR|3ASPD	159ASPD|249VULN|3LIT|6LWND|79aDUR|8RCR|9BPWR
132	13432 42215	4	   	268.20	DCR|3VULN|3DUR|3ASPD	159ASPD|249VULN|3LIT|6LHND|79aDUR|8RCR|9BPWR
133	13432 62212	4	   	268.20	DCR|3VULN|3DUR|3ASPD	159ASPD|249VULN|3LIT|6BEXP|79aDUR|8RCR|9BPWR
134	13433 42215	4	   	268.20	DCR|3VULN|3DUR|3ASPD	169ASPD|249VULN|3LIT|5LHND|79aDUR|8RCR|9BPWR
135	13433 42215	5	   	268.20	DCR|3VULN|3DUR|3ASPD	169ASPD|249VULN|3LIT|5LWND|79aDUR|8RCR|9BPWR
136	13433 62215	4	   	268.20	DCR|3VULN|3DUR|3ASPD	179ASPD|249VULN|3LIT|5LHND|69aDUR|8RCR|9BPWR
137	63113 33156	9	   	268.20	DCR|4VULN|2DUR|2TLV	19TLV|279aVULN|3MLV|4FEWX|5AART|69DUR|8RCR|9BPWR
138	63113 33123	10	   	268.20	DCR|4VULN|2DUR|2TLV	1aTLV|279aVULN|3MLV|4FEWX|5AART|6aDUR|8RCR|aBPWR
139	46133 31611	5	   	268.19	DCR|4VULN|2DUR|2ASPD	139LHND|2359VULN|39BPWR|4aASPD|6RCR|7LIT|89DUR
140	63613 33123	10	   	268.10	DCR|4VULN|2DUR|2TLV	1aTLV|279aVULN|3ERES|4FEWX|5AART|6aDUR|8RCR|aBPWR
141	13431 22214	4	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|5RMIN|6ZMB|79DUR|8RCR|9BPWR
142	13432 32214	5	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|57DUR|69LWND|8RCR|9BPWR
143	13432 42214	6	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|57DUR|69LWND|8RCR|9BPWR
144	13432 61214	5	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|56DUR|79LWND|8RCR|9BPWR
145	13433 32214	5	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|56LWND|79DUR|8RCR|9BPWR
146	13433 41214	7	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|56LWND|79DUR|8RCR|9BPWR
147	13433 42214	6	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|56LWND|79DUR|8RCR|9BPWR
148	13433 61214	5	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|57LWND|69DUR|8RCR|9BPWR
149	13436 21214	7	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|5RCVC|6LHND|79DUR|8RCR|9BPWR
150	13436 22214	6	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|5RCVC|6LHND|79DUR|8RCR|9BPWR
151	13436 32214	5	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3LIT|5RCVC|6LWND|79DUR|8RCR|9BPWR
152	13463 21132	6	   	268.02	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7aBELT|8RCR
153	13463 21134	6	   	268.02	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7BELT|8RCR|aRCVC
154	13463 21135	6	   	268.02	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7BELT|8RCR|aLWND
155	13463 22211	6	   	268.02	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7RMIN|8RCR|aZMB
156	13463 22213	6	   	268.02	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4aFEWX|569DMG|69BPWR|7RMIN|8RCR
157	13463 22214	6	   	268.02	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7RMIN|8RCR|aRPLT
158	13463 21133	6	   	267.92	DCR|3VULN|3DMG|2ASPD	19ASPD|269VULN|3LIT|4FEWX|569DMG|69BPWR|7BELT|8RCR|aERES
159	54613 12111	9	 * 	267.83	DCR|4VULN|2TLV|1DMG|2CDMG	1379VULN|23CDMG|39BPWR|49ZMB|5DMG|6FEWX|89TLV|aRCR
160	54613 32111	9	   	267.73	DCR|4VULN|2TLV|1DMG|2CDMG	1379VULN|23CDMG|39BPWR|49ZMB|5DMG|6DUST|89TLV|aRCR
161	52553 12111	9	   	267.73	DCR|4VULN|2TLV|1DMG|2CDMG	1479VULN|2CGEN|39CDMG|5DMG|6FEWX|89TLV|9BPWR|aRCR
162	13253 22332	6	   	267.68	DCR|3VULN|3DMG|2ASPD|1SELL	17ASPD|247VULN|3SELL|578DMG|6RMIN|7BPWR|9RCR|aLIT
163	52553 32111	9	   	267.63	DCR|4VULN|2TLV|1DMG|2CDMG	1479VULN|2CGEN|39CDMG|5DMG|6DUST|89TLV|9BPWR|aRCR
164	52553 32113	10	   	267.63	DCR|4VULN|2TLV|1DMG|2CDMG	1479VULN|2CGEN|39CDMG|5DMG|6DUST|89TLV|9BPWR|aRCR
165	55222 32613	9	   	267.62	DCR|2VULN|3ASPD|2DUR|1TLV|1CDMG	19VULN|2AART|3LIT|49DUR|5CDMG|6TLV|789ASPD|9BPWR|aRCR
166	51136 32126	3	 * 	267.41	DCR|5VULN|2TLV|1DMG	13489VULN|23LWND|39BPWR|59TLV|6RCR|79BEXP|aDMG
167	11542 31216	6	 * 	267.37	DCR|3VULN|2DMG|3LIT|1CDMG|1ASPD	1ASPD|26aLIT|3CDMG|4ZMB|56aVULN|6aBPWR|7CGEN|8RCR|9aDMG
168	62121 13425	5	   	267.23	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|2AART|35LIT|4RMIN|69DMG|789VULN|9BPWR|aRCR
169	23346 13235	7	   	267.16	DCR|4VULN|1DMG|1TLV|1CDMG	1MLV|2358VULN|4TLV|6DMG|7RCR|9CDMG|aAART
170	13432 46213	7	   	267.16	DCR|4VULN|2ASPD|1DUR|1CDMG	19ASPD|2479VULN|3LIT|5DUR|69LWND|8RCR|9BPWR|aCDMG
