0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25314 53311	10	 * 	291.89	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	19DMG|2AART|39DUR|4TLV|5CDMG|6RCR|79aVULN|8SELL|9BPWR
16	63123 12516	5	   	278.83	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9LIT
17	63114 23126	9	 * 	278.29	DCR|3VULN|2DMG|2DUR|1TLV|1AART	189VULN|25DMG|36DUR|4AART|7TLV|aRCR
18	23414 22611	7	 * 	276.90	DCR|3VULN|2DMG|3TLV|2DUR	17DMG|2RPLT|35DUR|457TLV|57BPWR|678VULN|9RCR|aLHND
19	23414 22612	7	   	276.90	DCR|3VULN|2DMG|3TLV|2DUR	17DMG|2RPLT|35DUR|457TLV|57BPWR|678VULN|9RCR|aCGEN
20	23411 51413	5	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aDMG|29RPLT|37DUR|4aTLV|58aVULN|6RCR|aBPWR
21	23412 51413	4	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aDMG|29RPLT|37DUR|4aTLV|58aVULN|6RCR|aBPWR
22	23414 22613	7	   	276.80	DCR|3VULN|2DMG|3TLV|2DUR	17DMG|2RPLT|35DUR|457TLV|57BPWR|678VULN|9RCR|aTBNT
23	63114 15231	10	   	275.71	DCR|3VULN|3DMG|2DUR|2AART	179VULN|259DMG|39DUR|46AART|8RMIN|9BPWR|aRCR
24	25314 53311	9	   	275.50	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	19DMG|2AART|39DUR|4TLV|5CDMG|6RCR|79VULN|8SELL|9BPWR|aASPD
25	25314 53312	10	   	275.50	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	19DMG|2AART|39DUR|4TLV|5CDMG|6RCR|79VULN|8SELL|9BPWR|aLIT
26	23413 12311	2	   	274.95	DCR|4VULN|2DMG|1TLV|1DUR|1SELL	14DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|9SELL|aTLV
27	63513 12311	2	   	274.95	DCR|4VULN|2DMG|1TLV|1DUR|1SELL	1456VULN|24DMG|3RPLT|4BPWR|7DUR|8RCR|9SELL|aTLV
28	63126 26133	7	 * 	274.72	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	159VULN|2DMG|3aDUR|458ASPD|5BPWR|6TLV|7RCR
29	63126 26111	8	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aDMSP
30	63126 26131	10	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aRMIN
31	63126 26131	9	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aDMSP
32	63126 26133	10	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aRPLT
33	63126 26112	8	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aBBNT
34	63126 26113	8	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aTBNT
35	63126 26123	8	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	158aVULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|9ERES
36	63126 26132	9	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aBBNT
37	63126 26133	9	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1589VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|aTBNT
38	61222 62131	4	 * 	273.43	DCR|4VULN|3DUR|2TLV	1789VULN|2LWND|347DUR|5BBNT|67TLV|7BPWR|aRCR
39	61411 12431	4	   	273.43	DCR|4VULN|3DUR|2TLV	1579VULN|2LWND|37TLV|478DUR|6BBNT|7BPWR|aRCR
40	61413 52131	4	   	273.43	DCR|4VULN|3DUR|2TLV	1789VULN|2LWND|37TLV|467DUR|5BBNT|7BPWR|aRCR
41	66112 62131	1	   	273.33	DCR|4VULN|3DUR|2TLV	1789VULN|237DUR|4LEGI|5BBNT|67TLV|7BPWR|aRCR
42	23414 12263	10	 * 	272.17	DCR|2VULN|2DMG|3TLV|2DUR|2CDMG	18DMG|2RPLT|35DUR|458TLV|58BPWR|68CDMG|7RCR|9aVULN
43	63114 13126	9	   	271.47	DCR|3VULN|2DMG|1TLV|2AART|1DUR	189VULN|25DMG|3DUR|46AART|7TLV|aRCR
44	63122 12522	4	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9DUST
45	63122 12542	4	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9MBVNT
46	63123 12522	5	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9DUST
47	63123 12542	5	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9MBVNT
48	35314 53311	10	   	270.39	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG|1AART|1SELL	19ASPD|2AART|39DUR|4TLV|5CDMG|6RCR|79aVULN|8SELL|9BPWR
49	22125 26142	10	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15DMG|2LWND|3DUR|45ASPD|5BPWR|6TLV|7RCR|89aVULN
50	22125 26142	9	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15DMG|2LWND|3DUR|45ASPD|5BPWR|6TLV|7RCR|89aVULN
51	32125 26142	10	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15ASPD|2LWND|3DUR|45DMG|5BPWR|6TLV|7RCR|89aVULN
52	32125 26142	9	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15ASPD|2LWND|3DUR|45DMG|5BPWR|6TLV|7RCR|89aVULN
53	63122 12435	4	   	270.08	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|27DMG|38DUR|4ASPD|57TLV|6BBNT|7BPWR|9AART|aRCR
54	63123 12435	5	   	270.08	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|27DMG|38DUR|4ASPD|57TLV|6BBNT|7BPWR|9AART|aRCR
55	63114 23161	10	 * 	269.25	DCR|2VULN|3DMG|2DUR|1TLV|1AART	18VULN|259DMG|36DUR|4AART|7TLV|aRCR
56	21264 11113	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2BELT|3CGEN|45aVULN|6FEWX|7RCR|8TLV|9aDUR|aBPWR
57	21264 11313	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2BELT|3CGEN|45aVULN|6FEWX|7RCR|8TLV|9aDUR|aBPWR
58	21264 41113	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2BELT|3CGEN|45aVULN|6BEXP|7RCR|8TLV|9aDUR|aBPWR
59	21264 41313	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2BELT|3CGEN|45aVULN|6BEXP|7RCR|8TLV|9aDUR|aBPWR
60	23161 16512	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|2RPLT|3BEXP|48aVULN|5LWND|6TLV|78DUR|8BPWR|9RCR
61	51222 13415	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDUST|2LWND|3aDUR|4TLV|59DMG|67aVULN|8RCR|aBPWR
62	25363 13126	9	   	268.47	DCR|3VULN|2DUR|1TLV|1DMG|2AART	1DMG|26AART|34DUR|589VULN|7TLV|aRCR
63	62123 21463	10	   	268.36	DCR|4VULN|2TLV|2DUR|1SELL	169aVULN|2SELL|3aTLV|4ASPD|5FEWX|7aDUR|8RCR|aBPWR
64	62123 21463	9	   	268.36	DCR|4VULN|2TLV|2DUR|1SELL	169aVULN|2SELL|3aTLV|4ASPD|5FEWX|7aDUR|8RCR|aBPWR
65	63122 12515	4	   	267.79	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17VULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9LIT|aCDMG
66	63123 12515	5	   	267.79	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17VULN|27DMG|3DUR|4ASPD|57TLV|6BBNT|7BPWR|8RCR|9LIT|aCDMG
67	23411 42231	10	 * 	267.76	DCR|2VULN|3DMG|3TLV|2DUR	167DMG|2RPLT|3aDUR|478TLV|57VULN|7BPWR|9RCR
68	63126 26113	10	   	267.56	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|2LIT	158VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7RCR|9aLIT
69	63126 23522	8	   	267.55	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	15VULN|29DMG|3DUR|45ASPD|5BPWR|6TLV|7CDMG|8LIT|aRCR
70	62122 53531	5	   	267.38	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	189VULN|2SELL|38TLV|4ASPD|5DMG|6RCR|78DUR|8BPWR|aDMSP
71	23413 52214	2	   	267.33	DCR|5VULN|2DMG|1DUR	14DMG|2RPLT|34589VULN|4BPWR|6RCR|7CGEN|aDUR
72	23413 12626	2	   	267.33	DCR|5VULN|2DMG|1DUR	14DMG|2RPLT|34568VULN|4BPWR|7DUR|9ZMB|aRCR
73	63126 26212	10	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	15aVULN|2DMG|39DUR|45ASPD|5BPWR|6TLV|7RCR|8BEXP
74	63126 26212	9	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	15aVULN|2DMG|39DUR|45ASPD|5BPWR|6TLV|7RCR|8BEXP
75	63126 26312	9	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	15aVULN|2DMG|39DUR|45ASPD|5BPWR|6TLV|7RCR|8LWND
76	63126 26312	10	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	15aVULN|2DMG|39DUR|45ASPD|5BPWR|6TLV|7RCR|8LWND
77	62122 53532	5	   	267.28	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	189VULN|2SELL|38TLV|4ASPD|5DMG|6RCR|78DUR|8BPWR|aDUST
78	23132 34416	4	   	267.25	DCR|4VULN|2DMG|1TLV	16DMG|2RPLT|3BEXP|4LIT|569aVULN|6BPWR|7TLV|8RCR
79	23413 12336	2	   	267.23	DCR|5VULN|2DMG|1DUR	14DMG|2RPLT|3456aVULN|4BPWR|7DUR|8RCR|9DUST
80	63513 12336	2	   	267.23	DCR|5VULN|2DMG|1DUR	1456aVULN|24DMG|3RPLT|4BPWR|7DUR|8RCR|9DUST
81	21264 63312	9	 * 	267.22	DCR|4VULN|2DMG|2TLV	19DMG|2BELT|367CGEN|4569VULN|69BPWR|89TLV|aRCR
82	25314 53313	9	   	267.20	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	19DMG|2AART|39DUR|4TLV|5CDMG|6RCR|79VULN|8SELL|9BPWR|aZMB
83	23433 53316	2	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1DMG|2RPLT|345aVULN|6RCR|7DUR|8AART|9TLV
84	63234 11326	9	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1579VULN|2DMG|3RCVC|4TLV|6AART|8DUR|aRCR
85	23114 22236	7	 * 	267.12	DCR|4VULN|2DMG|3TLV	17DMG|2RPLT|35BEXP|457TLV|57BPWR|6789VULN|aRCR
86	21122 53563	9	   	267.12	DCR|4VULN|2DMG|2TLV	18DMG|23BELT|4RMIN|58TLV|678aVULN|8BPWR|9RCR
87	23111 52413	5	   	267.12	DCR|4VULN|2DMG|2TLV	1aDMG|29RPLT|3BEXP|4aTLV|578aVULN|6RCR|aBPWR
88	23112 52413	4	   	267.12	DCR|4VULN|2DMG|2TLV	1aDMG|29RPLT|3BEXP|4aTLV|578aVULN|6RCR|aBPWR
89	21264 36312	9	   	267.12	DCR|4VULN|2DMG|2TLV	19DMG|2BELT|3CGEN|4579VULN|6RCVC|89TLV|9BPWR|aRCR
90	25314 53312	9	   	267.10	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART|1SELL	19DMG|2AART|39DUR|4TLV|5CDMG|6RCR|79VULN|8SELL|9BPWR|aERES
91	23511 52413	5	   	267.02	DCR|4VULN|2DMG|2TLV	1aDMG|29RPLT|3DUST|4aTLV|578aVULN|6RCR|aBPWR
92	23512 52413	4	   	267.02	DCR|4VULN|2DMG|2TLV	1aDMG|29RPLT|3DUST|4aTLV|578aVULN|6RCR|aBPWR
93	35314 25212	10	 * 	266.96	DCR|3DUR|1VULN|2DMG|1TLV|2ASPD|1CDMG|1AART	18ASPD|2AART|378DUR|4TLV|5CDMG|68DMG|8BPWR|9VULN|aRCR
94	23413 12324	2	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	14DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|9ASPD|aAART
95	63513 12324	2	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	1456VULN|24DMG|3RPLT|4BPWR|7DUR|8RCR|9ASPD|aAART
96	21266 31433	9	   	266.58	DCR|3VULN|3DMG|2DUR	168DMG|2BELT|3CGEN|489VULN|58DUR|7RCR|8BPWR|aLIT
97	63126 22153	10	   	266.35	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	158VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7LWND|9CDMG|aRCR
98	63126 23633	10	   	266.35	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	158VULN|2DMG|3DUR|45ASPD|5BPWR|6TLV|7CDMG|9BEXP|aRCR
99	63326 23613	10	   	266.25	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	158VULN|2DMG|3DUST|45ASPD|5BPWR|6TLV|7CDMG|9DUR|aRCR
100	35314 53312	9	   	265.76	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD|1CDMG|1AART|1SELL	19ASPD|2AART|39DUR|4TLV|5CDMG|6RCR|79VULN|8SELL|9BPWR|aDMG
101	32114 26612	10	 * 	265.58	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	19ASPD|2LWND|389DUR|4AART|5DMG|6TLV|79VULN|9BPWR|aRCR
102	23413 43421	10	 * 	265.56	DCR|2VULN|3DUR|2DMG|1TLV	17DMG|2RPLT|378DUR|4TLV|5ERES|67VULN|7BPWR|9RCR|aLIT
103	11346 22326	1	   	265.06	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	1LWND|24aVULN|34LIT|4BPWR|5TLV|6DUR|7RCR|8CDMG|9DMG
104	33333 53311	10	 * 	264.65	DCR|4VULN|2DUR|3ASPD|2LIT	17aASPD|2RPLT|3BELT|47DUR|567aVULN|7aBPWR|8aLIT|9RCR
105	23413 12342	2	   	264.64	DCR|4VULN|3DMG|1DUR	149DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|aLHND
106	23413 12344	2	   	264.64	DCR|4VULN|3DMG|1DUR	149DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|aBEXP
107	23413 12345	2	   	264.64	DCR|4VULN|3DMG|1DUR	149DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|aRCVC
108	23413 12346	2	   	264.64	DCR|4VULN|3DMG|1DUR	149DMG|2RPLT|3456VULN|4BPWR|7DUR|8RCR|aLWND
109	63513 12342	2	   	264.64	DCR|4VULN|3DMG|1DUR	1456VULN|249DMG|3RPLT|4BPWR|7DUR|8RCR|aLHND
110	63533 12353	2	   	264.43	DCR|5VULN|2DUR|1DMG	1456aVULN|2DMG|3RPLT|7aDUR|8RCR|9aCGEN|aBPWR
111	63533 52223	2	   	264.43	DCR|5VULN|2DUR|1DMG	1458aVULN|2DMG|3RPLT|6RCR|7aCGEN|9aDUR|aBPWR
112	23413 12166	2	   	264.40	DCR|4VULN|3DMG|1DUR|1SELL	149DMG|2RPLT|3456VULN|4BPWR|7DUR|8SELL|aRCR
113	23413 51314	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|2RPLT|345VULN|4BPWR|6RCR|7FEWX|8AART|9TLV|aDUR
114	23413 53311	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|2RPLT|345VULN|4BPWR|6RCR|7DUR|8AART|9TLV|aRCVC
115	23413 53312	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|2RPLT|345VULN|4BPWR|6RCR|7DUR|8AART|9TLV|aLHND
116	23413 53313	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|2RPLT|345VULN|4BPWR|6RCR|7DUR|8AART|9TLV|aBEXP
117	63513 53311	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	145VULN|24DMG|3RPLT|4BPWR|6RCR|7DUR|8AART|9TLV|aRCVC
118	63513 53312	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	145VULN|24DMG|3RPLT|4BPWR|6RCR|7DUR|8AART|9TLV|aLHND
119	63513 53313	2	   	263.80	DCR|3VULN|2DMG|1TLV|1DUR|1AART	145VULN|24DMG|3RPLT|4BPWR|6RCR|7DUR|8AART|9TLV|aBEXP
120	23413 53315	2	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	14DMG|2RPLT|345VULN|4BPWR|6RCR|7DUR|8AART|9TLV|aBBNT
121	63233 11326	9	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	179VULN|25DMG|3RCVC|4TLV|6AART|8DUR|aRCR
122	63126 21313	8	   	263.67	DCR|2VULN|2DUR|1TLV|3ASPD|1DMG|1CDMG	15VULN|2DMG|39DUR|457ASPD|5BPWR|6TLV|8CDMG|aRCR
123	63126 34313	8	   	263.67	DCR|2VULN|2DUR|1TLV|3ASPD|1DMG|1CDMG	15VULN|2DMG|39DUR|456ASPD|5BPWR|7TLV|8CDMG|aRCR
124	23433 12353	2	   	263.67	DCR|4VULN|2DMG|2DUR	1aDMG|2RPLT|3456VULN|7aDUR|8RCR|9aCGEN|aBPWR
125	23433 52223	2	   	263.67	DCR|4VULN|2DMG|2DUR	1aDMG|2RPLT|3458VULN|6RCR|7aCGEN|9aDUR|aBPWR
126	23413 12354	2	   	263.57	DCR|4VULN|2DMG|2DUR	14DMG|2RPLT|3456VULN|4BPWR|7aDUR|8RCR|9CGEN
127	23413 52224	2	   	263.57	DCR|4VULN|2DMG|2DUR	14DMG|2RPLT|3458VULN|4BPWR|6RCR|7CGEN|9aDUR
128	23413 53116	2	   	263.57	DCR|4VULN|2DMG|2DUR	14DMG|2RPLT|345aVULN|4BPWR|6RCR|79DUR|8LWND
129	23433 12344	2	   	263.47	DCR|4VULN|2DMG|2DUR	19DMG|2RPLT|3456VULN|7aDUR|8RCR
130	63335 33253	7	   	263.47	DCR|4VULN|2DMG|2DUR	179aVULN|27DMG|3DUST|4LHND|5MBVNT|67DUR|7BPWR|8RCR
131	33413 53316	2	   	263.35	DCR|4VULN|1TLV|2ASPD|1DUR|1AART	14ASPD|2RPLT|345aVULN|4BPWR|6RCR|7DUR|8AART|9TLV
132	63122 12235	4	   	263.34	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	17VULN|27DMG|3DUR|48ASPD|57TLV|6BBNT|7BPWR|9AART|aRCR
133	63123 12235	5	   	263.34	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	17VULN|27DMG|3DUR|48ASPD|57TLV|6BBNT|7BPWR|9AART|aRCR
134	23411 42116	7	   	262.84	DCR|2VULN|3DMG|2TLV|1DUR|1AART	167DMG|2RPLT|3DUR|47TLV|57VULN|7BPWR|8AART|9DUST|aRCR
135	63126 36212	3	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	189aVULN|27DMG|3DUR|4CGEN|5CDMG|6RCR
136	23432 34412	4	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2RPLT|3DUR|4LIT|569VULN|6BPWR|7TLV|8RCR|aBEXP
137	63114 13161	10	   	262.43	DCR|2VULN|3DMG|1TLV|2AART|1DUR	18VULN|259DMG|3DUR|46AART|7TLV|aRCR
138	23411 22416	6	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	17DMG|2RPLT|3DUR|4TLV|59aVULN|6LIT|8RCR
139	23432 34411	4	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2RPLT|3DUR|4LIT|569VULN|6BPWR|7TLV|8RCR|aERES
140	23432 34413	4	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2RPLT|3DUR|4LIT|569VULN|6BPWR|7TLV|8RCR|aDUST
141	21122 53561	10	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	18DMG|23BELT|4RMIN|58TLV|678VULN|8BPWR|9RCR|aDUR
142	23412 22663	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	17DMG|2RPLT|3DUR|47TLV|5RCVC|678VULN|7BPWR|9ERES|aRCR
143	63234 11126	5	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	157VULN|26DMG|3RCVC|468TLV|6BPWR|9DUR|aRCR
144	61223 26612	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	179VULN|2LWND|349DUR|5AART|69TLV|8MBVNT|9BPWR|aRCR
