0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13311 35265	1	 * 	281.00	DCR|4VULN|2DMG|1TLV|1CDMG	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG|aTLV
18	11121 34531	1	 * 	261.82	DCR|3VULN|3DMG|2TLV	179MLV|279VULN|3LWND|48TLV|5MBVNT|679DMG|79BPWR|aRCR
19	11121 34411	1	   	261.82	DCR|3VULN|3DMG|2TLV	178MLV|278VULN|3LWND|49TLV|5MBVNT|678DMG|78BPWR|aRCR
20	13311 35261	1	   	261.34	DCR|4VULN|2DMG|2LIT|1CDMG	17MLV|2aLIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG
21	52314 11632	6	   	260.28	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	18DUR|2TLV|38ASPD|4LWND|5BEXP|68DMG|7RCR|8BPWR|9aVULN
22	13311 33265	1	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1MLV|2LIT|346VULN|57DMG|8RCR|9CDMG|aTLV
23	51335 11313	8	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9ASPD|aRCR
24	51335 11316	10	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9RCR|aLIT
25	51335 13413	6	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|457VULN|5BPWR|6DMG|8TLV|9ASPD|aRCR
26	51335 33413	5	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|457VULN|5BPWR|6DMG|8TLV|9ASPD|aRCR
27	13315 23126	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|2LIT|3469VULN|5CDMG|7DUR|8TLV|aRCR
28	63315 23126	1	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1ERES|2LIT|3469VULN|5CDMG|7DUR|8TLV|aRCR
29	51335 11311	10	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7aTLV|9RCR
30	51435 11311	10	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	15DUR|2BEXP|3FEWX|458VULN|5BPWR|6DMG|7aTLV|9RCR
31	21118 83248	3	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1RCVC|28DUR|3MBVNT|4aLIT|58VULN|6RCR|78DMG|8BPWR|9TLV
32	41135 11314	10	   	257.60	DCR|4VULN|1TLV|1DMG|1DUR	15LWND|2BEXP|3DUR|458aVULN|5BPWR|6DMG|7TLV|9RCR
33	52121 31713	1	   	257.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|29VULN|3ERES|4TLV|5MBVNT|69DMG|7RCR|8TBNT|9BPWR|aCDMG
34	13311 35243	1	   	257.39	DCR|4VULN|2DMG|1DUR	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9BEXP|aDUR
35	13311 35235	1	   	257.29	DCR|4VULN|2DMG|1DUR	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9TBNT|aDUR
36	13311 35255	1	   	257.29	DCR|4VULN|2DMG|1DUR	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9ERES|aDUR
37	51335 12226	9	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	157DUR|2BEXP|3LWND|45VULN|5BPWR|69DMG|8RCR|aTLV
38	13311 35231	1	   	256.70	DCR|4VULN|3DMG	17MLV|2LIT|3467VULN|57aDMG|7BPWR|8RCR|9TBNT
39	51335 12163	10	   	255.95	DCR|3VULN|3DUR|2DMG	157DUR|28BEXP|3LWND|458VULN|58BPWR|68DMG|9ZMB|aRCR
40	51335 12226	10	   	255.75	DCR|3VULN|3DUR|2DMG	157DUR|2BEXP|3LWND|45aVULN|5BPWR|69DMG|8RCR
41	13311 35262	1	   	254.79	DCR|4VULN|2DMG|1CDMG	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG|aLHND
42	13311 35263	1	   	254.79	DCR|4VULN|2DMG|1CDMG	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG|aBEXP
43	13311 35264	1	   	254.69	DCR|4VULN|2DMG|1CDMG	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG|aMBVNT
44	13311 35266	1	   	254.69	DCR|4VULN|2DMG|1CDMG	17MLV|2LIT|3467VULN|57DMG|7BPWR|8RCR|9CDMG|aERES
45	41135 11313	10	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	15LWND|2BEXP|3DUR|458VULN|5BPWR|6aDMG|7TLV|9RCR
46	41135 11314	9	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	15LWND|2BEXP|3DUR|458VULN|5BPWR|6aDMG|7TLV|9RCR
47	13532 41332	2	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	1MLV|24ASPD|34DMG|4BPWR|5TLV|6RCR|7RCVC|89aVULN
48	11121 33431	1	   	253.74	DCR|3VULN|3DMG|1TLV	189MLV|289VULN|37LWND|4TLV|5MBVNT|689DMG|89BPWR|aRCR
49	11121 34131	1	   	253.74	DCR|3VULN|3DMG|1TLV	179MLV|279VULN|3LWND|4TLV|5MBVNT|679DMG|79BPWR|8DMSP|aRCR
50	11121 34481	1	   	253.74	DCR|3VULN|3DMG|1TLV	178MLV|278VULN|39LWND|4TLV|5MBVNT|678DMG|78BPWR|aRCR
51	11121 34831	1	   	253.74	DCR|3VULN|3DMG|1TLV	179MLV|279VULN|3LWND|4TLV|5MBVNT|679DMG|79BPWR|8RCVC|aRCR
52	52224 11632	6	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2TLV|38FEWX|4LHND|5ASPD|68DMG|7RCR|8BPWR|9aVULN
53	21118 83214	3	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9BEXP|aTLV
54	21118 83237	3	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9FEWX|aTLV
55	21118 83244	3	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1aRCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV
56	21118 83245	3	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV|aMLV
57	21188 83214	4	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9BEXP|aTLV
58	21188 83244	4	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1aRCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV
59	51335 11511	8	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DUR|2BEXP|3LWND|45VULN|5BPWR|6aDMG|7TLV|8LIT|9RCR
60	51335 11511	7	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DUR|2BEXP|3LWND|45VULN|5BPWR|6aDMG|7TLV|8LIT|9RCR
61	21118 83243	3	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV|aBBNT
62	21118 83246	3	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV|aERES
63	21188 83243	4	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|3MBVNT|4LIT|58VULN|6RCR|78DMG|8BPWR|9TLV|aBBNT
64	51335 11214	10	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|28BEXP|3LWND|45aVULN|5BPWR|6DMG|7TLV|9RCR
65	51335 11311	9	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3aLWND|458VULN|5BPWR|6DMG|7TLV|9RCR
66	51335 11312	9	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9RCR|aRPLT
67	51335 11316	9	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9RCR|aCGEN
68	51435 11311	9	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3FEWX|458VULN|5BPWR|6DMG|7TLV|9RCR|aLWND
69	51435 11312	9	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3FEWX|458VULN|5BPWR|6DMG|7TLV|9RCR|aRMIN
70	51435 11313	9	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3FEWX|458VULN|5BPWR|6DMG|7TLV|9RCR|aCGEN
71	51435 13132	6	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3FEWX|457VULN|5BPWR|6DMG|8LHND|9TLV|aRCR
72	51435 33132	5	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3FEWX|457VULN|5BPWR|6DMG|8LHND|9TLV|aRCR
73	41134 11314	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2BEXP|35DUR|48aVULN|6DMG|7TLV|9RCR
74	51334 11314	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|48aVULN|6DMG|7TLV|9RCR
75	51335 11312	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9RCR|aERES
76	51335 11315	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9RCR|aDUST
77	51335 11343	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG|1NUKE	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7TLV|9NUKE|aRCR
78	51335 15311	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3LWND|458VULN|5BPWR|6DMG|7ERES|9RCR|aTLV
79	51435 11312	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3FEWX|458VULN|5BPWR|6DMG|7TLV|9RCR|aERES
80	52221 21534	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2TLV|3FEWX|4LHND|6RCR|78aVULN|9DMG
