0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16311 33235	7	 * 	297.64	DCR|3VULN|3DUR|2DMG|3ASPD	148DUR|2BELT|349ASPD|49BPWR|59aVULN|69DMG|7RCR
18	21612 33113	4	 * 	280.34	DCR|3VULN|3DMG|2DUR|1ASPD	189CGEN|289VULN|3ASPD|4aDUR|5TBNT|6RCR|789DMG|89BPWR
19	42612 33113	4	   	280.34	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|289CGEN|3ASPD|4aDUR|5TBNT|6RCR|789DMG|89BPWR
20	41131 52311	4	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	13aVULN|2AART|4TLV|5BBNT|6aDMG|7RCR|8aDUR|9TBNT|aBPWR
21	41321 52311	4	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	14aVULN|2AART|3TLV|5BBNT|6aDMG|7RCR|8aDUR|9TBNT|aBPWR
22	41341 52311	3	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	14aVULN|2AART|3TLV|5BBNT|6aDMG|7RCR|8aDUR|9TBNT|aBPWR
23	13327 13342	8	 * 	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	18DUR|2DMG|38CDMG|4MBVNT|568aVULN|7RMIN|8BPWR|9RCR
24	42551 13132	1	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1389VULN|2LHND|4TBNT|58TLV|6RCR|78DUR|8BPWR|aDMG
25	43151 13132	3	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1389VULN|2LWND|4TBNT|58TLV|6RCR|78DUR|8BPWR|aDMG
26	43551 13132	2	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1389VULN|2LWND|4TBNT|58TLV|6RCR|78DUR|8BPWR|aDMG
27	11232 43212	7	   	277.98	DCR|5VULN|2DUR|2TLV	17DUR|2DMSP|3DLOT|47TLV|5789aVULN|6RCR|7BPWR
28	43151 13135	3	   	277.98	DCR|5VULN|2DUR|2TLV	1389aVULN|2LWND|4TBNT|58TLV|6RCR|78DUR|8BPWR
29	11335 46132	1	   	277.52	ACR|3VULN|3DMG|3DUR|1TLV|1ASPD	189DUR|2RCR|389DMG|4DUST|5ASPD|6RPLT|789VULN|89BPWR|aTLV
30	41335 42132	1	   	277.52	ACR|3VULN|3DMG|3DUR|1TLV|1ASPD	189VULN|2RCR|389DMG|4DUST|5ASPD|6RPLT|789DUR|89BPWR|aTLV
31	13366 15231	7	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|29DMG|3CDMG|4aBEXP|569VULN|7AART|8RCR|9BPWR
32	13322 62236	2	   	276.64	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	19DUR|259DMG|3CDMG|4FEWX|6AART|79VULN|8RCR|9BPWR|aASPD
33	13322 62236	3	   	276.64	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	19DUR|259DMG|3CDMG|4FEWX|6AART|79VULN|8RCR|9BPWR|aASPD
34	43113 52321	7	 * 	276.12	DCR|4VULN|2DMG|2DUR	136aVULN|2LWND|4aDUR|5LEGI|7aDMG|8RCR|9RMIN|aBPWR
35	21612 33114	4	 * 	275.97	DCR|3VULN|3DMG|2ASPD|1DUR	189CGEN|289VULN|3aASPD|4DUR|5TBNT|6RCR|789DMG|89BPWR
36	42612 33114	4	   	275.97	DCR|3VULN|3DMG|2ASPD|1DUR	189VULN|289CGEN|3aASPD|4DUR|5TBNT|6RCR|789DMG|89BPWR
37	13311 41521	6	   	275.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17DUR|27DMG|3CDMG|4LIT|57VULN|6RPLT|7BPWR|8RCR|9ASPD|aTLV
38	13311 41531	6	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|27DMG|3CDMG|4LIT|57aVULN|6RPLT|7BPWR|8RCR|9LHND
39	21612 33112	4	   	275.42	DCR|3VULN|3DMG|1DUR|1ASPD	189CGEN|289VULN|3ASPD|4DUR|5TBNT|6RCR|789DMG|89BPWR|aAART
40	42612 33112	4	   	275.42	DCR|3VULN|3DMG|1DUR|1ASPD	189VULN|289CGEN|3ASPD|4DUR|5TBNT|6RCR|789DMG|89BPWR|aAART
41	16311 33354	8	   	274.86	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	149DUR|2BELT|34ASPD|49BPWR|59VULN|69DMG|7RCR|8RMIN|aCDMG
42	41132 22165	3	 * 	274.49	DCR|5VULN|2DMG	1345aVULN|2AART|4aBPWR|6aZMB|7BBNT|8RCR|9aDMG
43	42311 31345	10	   	273.75	DCR|4VULN|2DMG|2LIT|1CDMG|1SELL	1569VULN|29CGEN|3CDMG|46LIT|69BPWR|7SELL|89DMG|aRCR
44	13327 12255	10	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUR|2DMG|3CDMG|4MBVNT|5678VULN|9RCR|aTLV
45	13232 23346	10	   	273.51	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1DUR|27aDMG|3LIT|4FEWX|5aVULN|6TLV|8aASPD|9RCR|aBPWR
46	41131 44212	7	   	273.05	DCR|5VULN|1DMG|1TLV	13789VULN|2AART|4TLV|5FEWX|6RCR|aDMG
47	41131 61612	3	   	273.05	DCR|5VULN|1DMG|1TLV	13469VULN|2AART|4BPWR|5FEWX|7RCR|8TLV|aDMG
48	41132 11612	3	   	273.05	DCR|5VULN|1DMG|1TLV	13459VULN|2AART|4BPWR|6LWND|7RCR|8TLV|aDMG
49	41132 11636	3	   	273.05	DCR|5VULN|1DMG|1TLV	1345aVULN|2AART|4BPWR|6LWND|7RCR|8TLV|9DMG
50	41132 31612	3	   	273.05	DCR|5VULN|1DMG|1TLV	13459VULN|2AART|4BPWR|6BEXP|7RCR|8TLV|aDMG
51	41132 31636	3	   	273.05	DCR|5VULN|1DMG|1TLV	1345aVULN|2AART|4BPWR|6BEXP|7RCR|8TLV|9DMG
52	41321 44212	7	   	273.05	DCR|5VULN|1DMG|1TLV	14789VULN|2AART|3TLV|5FEWX|6RCR|aDMG
53	41133 61612	3	   	272.95	DCR|5VULN|1DMG|1TLV	13469VULN|2AART|4BPWR|5LEGI|7RCR|8TLV|aDMG
54	43526 34141	4	   	272.91	ACR|4VULN|3DMG|3DUR	179aVULN|2LWND|39aDMG|4RCR|5RMIN|6MBVNT|89aDUR|9aBPWR
55	12112 11525	5	   	272.65	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	17DUR|2RPLT|3LIT|4SELL|57aVULN|67DMG|7BPWR|8RCR|9ASPD
56	31112 11525	4	   	272.65	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1RPLT|27aVULN|3LIT|4SELL|57DUR|67DMG|7BPWR|8RCR|9ASPD
57	13212 23346	10	   	272.44	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	17DUR|2aDMG|3LIT|4BEXP|5aVULN|6TLV|8aASPD|9RCR|aBPWR
58	13262 21346	10	   	272.44	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	17DUR|2aDMG|3LIT|4LWND|5aVULN|6TLV|8aASPD|9RCR|aBPWR
59	13542 31116	1	   	271.96	DCR|4VULN|3DUR|1DMG	189DUR|2FEWX|3489VULN|5TBNT|6RCR|789CGEN|89BPWR|aDMG
60	42521 13116	1	   	271.96	DCR|4VULN|3DUR|1DMG	1389VULN|2LHND|489MLV|5BBNT|6RCR|789DUR|89BPWR|aDMG
61	43121 13116	4	   	271.96	DCR|4VULN|3DUR|1DMG	1389VULN|2LWND|489CGEN|5BBNT|6RCR|789DUR|89BPWR|aDMG
62	43121 13116	3	   	271.96	DCR|4VULN|3DUR|1DMG	1389VULN|2LWND|489MLV|5BBNT|6RCR|789DUR|89BPWR|aDMG
63	43153 13116	3	   	271.96	DCR|4VULN|3DUR|1DMG	1389VULN|2LWND|4TBNT|589CGEN|6RCR|789DUR|89BPWR|aDMG
64	43521 13116	2	   	271.96	DCR|4VULN|3DUR|1DMG	1389VULN|2LWND|489MLV|5BBNT|6RCR|789DUR|89BPWR|aDMG
65	46112 31116	4	   	271.96	DCR|4VULN|3DUR|1DMG	1389VULN|2FEWX|489DUR|5TBNT|6RCR|789CGEN|89BPWR|aDMG
66	11251 12111	2	   	271.76	DCR|4VULN|3DUR|3TLV	189DUR|2DMSP|3LWND|4TBNT|589TLV|6RCR|789aVULN|89BPWR
67	11351 12111	2	   	271.76	DCR|4VULN|3DUR|3TLV	189DUR|2DMSP|3LHND|4TBNT|589TLV|6RCR|789aVULN|89BPWR
68	11411 12111	2	   	271.76	DCR|4VULN|3DUR|3TLV	189DUR|2DMSP|3TBNT|4LHND|589TLV|6RCR|789aVULN|89BPWR
69	12651 12111	1	   	271.76	DCR|4VULN|3DUR|3TLV	189DUR|2LHND|3RCVC|4TBNT|589TLV|6RCR|789aVULN|89BPWR
70	31122 65531	6	 * 	271.76	DCR|4VULN|3DUR|3LIT	1RPLT|267aVULN|37aLIT|47aDUR|5LEGI|7aBPWR|8RCR|9RCVC
71	42551 13113	1	   	271.76	DCR|4VULN|3DUR|3TLV	1389VULN|2LHND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aDMSP
72	43151 13113	3	   	271.76	DCR|4VULN|3DUR|3TLV	1389VULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aDMSP
73	43151 13115	3	   	271.76	DCR|4VULN|3DUR|3TLV	1389VULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aRMIN
74	43551 13113	2	   	271.76	DCR|4VULN|3DUR|3TLV	1389VULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aDMSP
75	41132 11433	3	 * 	271.76	DCR|5VULN|2CDMG|2LIT	1345aVULN|2AART|4aBPWR|6LWND|7RCR|8aLIT|9aCDMG
76	42551 13131	1	   	271.66	DCR|4VULN|3DUR|2TLV	1389VULN|2LHND|4TBNT|58TLV|6RCR|78aDUR|8BPWR
77	43151 13131	3	   	271.66	DCR|4VULN|3DUR|2TLV	1389VULN|2LWND|4TBNT|58TLV|6RCR|78aDUR|8BPWR
78	43551 13131	2	   	271.66	DCR|4VULN|3DUR|2TLV	1389VULN|2LWND|4TBNT|58TLV|6RCR|78aDUR|8BPWR
79	11551 12111	2	   	271.66	DCR|4VULN|3DUR|3TLV	189DUR|2DMSP|3LEGI|4TBNT|589TLV|6RCR|789aVULN|89BPWR
80	42551 13112	1	   	271.66	DCR|4VULN|3DUR|3TLV	1389VULN|2LHND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aERES
81	43151 13112	3	   	271.66	DCR|4VULN|3DUR|3TLV	1389VULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aERES
82	43551 13112	2	   	271.66	DCR|4VULN|3DUR|3TLV	1389VULN|2LWND|4TBNT|589TLV|6RCR|789DUR|89BPWR|aERES
83	13542 31113	1	   	271.44	DCR|5VULN|3DUR	189DUR|2FEWX|3489aVULN|5TBNT|6RCR|789CGEN|89BPWR
84	13542 34111	1	   	271.44	DCR|5VULN|3DUR	189DUR|2FEWX|3489aVULN|5TBNT|6RCR|789MLV|89BPWR
85	42521 13111	1	   	271.44	DCR|5VULN|3DUR	1389aVULN|2LHND|489MLV|5BBNT|6RCR|789DUR|89BPWR
86	43121 13111	3	   	271.44	DCR|5VULN|3DUR	1389aVULN|2LWND|489MLV|5BBNT|6RCR|789DUR|89BPWR
87	43121 13113	4	   	271.44	DCR|5VULN|3DUR	1389aVULN|2LWND|489CGEN|5BBNT|6RCR|789DUR|89BPWR
88	43153 13113	3	   	271.44	DCR|5VULN|3DUR	1389aVULN|2LWND|4TBNT|589CGEN|6RCR|789DUR|89BPWR
89	43521 13111	2	   	271.44	DCR|5VULN|3DUR	1389aVULN|2LWND|489MLV|5BBNT|6RCR|789DUR|89BPWR
90	43553 13113	2	   	271.44	DCR|5VULN|3DUR	1389aVULN|2LWND|4TBNT|589CGEN|6RCR|789DUR|89BPWR
91	46112 31113	4	   	271.44	DCR|5VULN|3DUR	1389aVULN|2FEWX|489DUR|5TBNT|6RCR|789CGEN|89BPWR
92	46112 34111	4	   	271.44	DCR|5VULN|3DUR	1389aVULN|2FEWX|489DUR|5TBNT|6RCR|789MLV|89BPWR
93	41312 21161	1	 * 	271.38	ACR|3VULN|3DMG|3DUR|2ASPD	17aVULN|2RCR|349DMG|5aASPD|68aDUR|aBPWR
94	11314 31161	1	   	271.38	ACR|3VULN|3DMG|3DUR|2ASPD	18aDUR|2RCR|349DMG|57aVULN|6aASPD|aBPWR
95	11314 34361	1	   	271.38	ACR|3VULN|3DMG|3DUR|2ASPD	17aDUR|2RCR|349DMG|58aVULN|6aASPD|aBPWR
96	41312 24361	1	   	271.38	ACR|3VULN|3DMG|3DUR|2ASPD	18aVULN|2RCR|349DMG|5aASPD|67aDUR|aBPWR
97	14542 31113	1	   	271.34	DCR|5VULN|3DUR	189DUR|2DUST|3489aVULN|5TBNT|6RCR|789CGEN|89BPWR
98	41131 44131	10	   	271.30	DCR|4VULN|2DMG|1TLV	137aVULN|2AART|4TLV|58aFEWX|6RCR|9aDMG|aBPWR
99	41321 44131	10	   	271.30	DCR|4VULN|2DMG|1TLV	147aVULN|2AART|3TLV|58aFEWX|6RCR|9aDMG|aBPWR
100	42135 35311	8	   	271.24	DCR|5VULN|3DUR	1589aVULN|2aCGEN|348ERES|6RCR|78aDUR|8aBPWR
101	41133 22312	8	   	271.00	DCR|4VULN|2DMG|1TLV	139aVULN|2AART|4TLV|5ERES|68DMG|7RCR
102	41133 22352	9	   	271.00	DCR|4VULN|2DMG|1TLV	139aVULN|2AART|4TLV|5ERES|68DMG|7RCR
103	41133 22355	10	   	271.00	DCR|4VULN|2DMG|1TLV	139aVULN|2AART|4TLV|5ERES|68DMG|7RCR
104	41162 22312	8	   	271.00	DCR|4VULN|2DMG|1TLV	139aVULN|2AART|4ERES|5TLV|68DMG|7RCR
105	41162 22352	9	   	271.00	DCR|4VULN|2DMG|1TLV	139aVULN|2AART|4ERES|5TLV|68DMG|7RCR
106	41323 22312	8	   	271.00	DCR|4VULN|2DMG|1TLV	149aVULN|2AART|3TLV|5ERES|68DMG|7RCR
107	41323 22352	9	   	271.00	DCR|4VULN|2DMG|1TLV	149aVULN|2AART|3TLV|5ERES|68DMG|7RCR
108	41323 22355	10	   	271.00	DCR|4VULN|2DMG|1TLV	149aVULN|2AART|3TLV|5ERES|68DMG|7RCR
109	13461 62232	5	   	270.98	DCR|2VULN|3DUR|2DMG|2AART|1CDMG	149DUR|29DMG|3FEWX|5CDMG|6aAART|79VULN|8RCR|9BPWR
110	16311 33232	7	   	270.73	DCR|2VULN|3DUR|2DMG|3ASPD	148DUR|2BELT|349ASPD|49BPWR|59VULN|69DMG|7RCR|aRCVC
111	16311 33234	7	   	270.73	DCR|2VULN|3DUR|2DMG|3ASPD	148DUR|2BELT|349ASPD|49BPWR|59VULN|69DMG|7RCR|aBEXP
112	16311 33233	7	   	270.63	DCR|2VULN|3DUR|2DMG|3ASPD	148DUR|2BELT|349ASPD|49BPWR|59VULN|69DMG|7RCR|aDUST
113	16311 33236	7	   	270.63	DCR|2VULN|3DUR|2DMG|3ASPD	148DUR|2BELT|349ASPD|49BPWR|59VULN|69DMG|7RCR|aTBNT
114	31651 11632	8	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1RPLT|247VULN|3RMIN|57LIT|67DMG|7BPWR|8TLV|9RCR|aDUR
115	31651 11312	7	   	269.91	DCR|4VULN|2DMG|2LIT	1RPLT|2478VULN|3RMIN|57LIT|67DMG|7BPWR|9RCR|aAART
116	41132 11631	3	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1345VULN|2AART|4BPWR|6LWND|7RCR|8TLV|9DMG|aDUR
117	41132 31635	3	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1345VULN|2AART|4BPWR|6BEXP|7RCR|8TLV|9DMG|aDUR
118	41133 61631	3	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR	1346VULN|2AART|4BPWR|5LEGI|7RCR|8TLV|9DMG|aDUR
119	13442 13512	9	 * 	269.63	DCR|2VULN|3DUR|2DMG|2TLV	17aDUR|2aDMG|37FEWX|4LEGI|5AART|67TLV|7aBPWR|8RCR|9aVULN
120	13311 41525	6	   	269.30	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	17DUR|27DMG|3CDMG|4LIT|57VULN|6RPLT|7BPWR|8RCR|9ASPD|aAART
121	11251 12116	2	   	269.19	DCR|3VULN|3DUR|3TLV|1DMG	189DUR|2DMSP|3LWND|4TBNT|589TLV|6RCR|789VULN|89BPWR|aDMG
122	11351 12116	2	   	269.19	DCR|3VULN|3DUR|3TLV|1DMG	189DUR|2DMSP|3LHND|4TBNT|589TLV|6RCR|789VULN|89BPWR|aDMG
123	11411 12116	2	   	269.19	DCR|3VULN|3DUR|3TLV|1DMG	189DUR|2DMSP|3TBNT|4LHND|589TLV|6RCR|789VULN|89BPWR|aDMG
124	12651 12116	1	   	269.19	DCR|3VULN|3DUR|3TLV|1DMG	189DUR|2LHND|3RCVC|4TBNT|589TLV|6RCR|789VULN|89BPWR|aDMG
125	32341 53325	8	 * 	269.19	DCR|3VULN|3DUR|2TLV|2CDMG	13RPLT|28TLV|46CDMG|568DUR|68BPWR|78aVULN|9RCR
126	11551 12116	2	   	269.09	DCR|3VULN|3DUR|3TLV|1DMG	189DUR|2DMSP|3LEGI|4TBNT|589TLV|6RCR|789VULN|89BPWR|aDMG
127	13222 36346	10	   	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	1DUR|2aDMG|3LIT|4LHND|57aVULN|6MLV|8aASPD|9RCR|aBPWR
128	13212 36346	10	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	1DUR|2aDMG|3LIT|4BEXP|57aVULN|6ERES|8aASPD|9RCR|aBPWR
129	13232 36346	10	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	1DUR|2aDMG|3LIT|4FEWX|57aVULN|6ERES|8aASPD|9RCR|aBPWR
130	11232 43215	7	   	268.10	DCR|4VULN|2DUR|2TLV	17DUR|2DMSP|3DLOT|47TLV|5789VULN|6RCR|7BPWR|aAART
131	41326 22311	3	   	268.04	DCR|2VULN|3DMG|2DUR|1TLV	1aVULN|2AART|3TLV|4TBNT|56aDMG|7RCR|8aDUR|9BBNT|aBPWR
132	21363 16361	10	   	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	1CGEN|2478aVULN|3CDMG|5DUR|6ASPD|9RCR
133	23163 16361	10	   	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	1CGEN|2CDMG|3478aVULN|5DUR|6ASPD|9RCR
134	31142 11521	4	   	267.85	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG|1ASPD	1RPLT|27VULN|37LIT|4CDMG|5DUR|67DMG|7BPWR|8RCR|9ASPD|aTLV
135	41125 22212	7	   	267.81	DCR|5VULN|1DMG|1ASPD	13589VULN|2AART|4BEXP|6ASPD|7RCR|aDMG
136	41155 22212	7	   	267.71	DCR|5VULN|1DMG|1ASPD	13589VULN|2AART|4DUST|6ASPD|7RCR|aDMG
