0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43153 72312	7	 * 	295.86	DCR|5VULN|3DUR|2LIT	1MBVNT|279DUR|3AART|4579aVULN|6RCR|79BPWR|89LIT
34	43153 72413	9	   	275.87	DCR|4VULN|2DUR|1DMG|2AART	1MBVNT|27DUR|39AART|4578VULN|6RCR|7BPWR|aDMG
35	43152 72413	9	 * 	275.28	DCR|4VULN|3DUR|3AART	1MBVNT|27aDUR|359AART|478aVULN|6RCR|7aBPWR
36	22143 26113	8	 * 	275.18	DCR|3VULN|2DUR|2ASPD|1DMG	19DUR|2FEWX|3AART|459VULN|6DMG|7LIT|89ASPD|9BPWR|aRCR
37	41431 71438	6	 * 	272.91	DCR|4VULN|3DUR|2ASPD	1MBVNT|28ASPD|3LWND|458DUR|689aVULN|7RCR|8BPWR
38	41437 31438	5	   	272.91	DCR|4VULN|3DUR|2ASPD	1MBVNT|28ASPD|3LWND|468DUR|589aVULN|7RCR|8BPWR
39	43153 13117	6	   	272.69	DCR|4VULN|2DUR|1CDMG|1ASPD	1MBVNT|26DUR|3AART|4568VULN|6BPWR|7ASPD|9RCR|aCDMG
40	43153 72133	10	   	272.59	DCR|4VULN|2DUR|1TLV	1MBVNT|27DUR|3AART|457aVULN|6RCR|7BPWR|8TLV|9LIT
41	21123 62114	1	   	271.86	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LHND|578aVULN|6RCR|78BPWR|9ZMB
42	21123 62126	1	   	271.86	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LHND|578aVULN|6RCR|78BPWR|9BEXP
43	21123 62146	1	   	271.86	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LHND|578aVULN|6RCR|78BPWR|9LWND
44	21133 62114	1	   	271.86	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LWND|578aVULN|6RCR|78BPWR|9ZMB
45	21133 62146	1	   	271.86	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LWND|578aVULN|6RCR|78BPWR|9LHND
46	21123 62135	1	   	271.76	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LHND|578aVULN|6RCR|78BPWR|9BBNT
47	21123 62164	1	   	271.76	DCR|4VULN|3DUR|3LIT|1NUKE	178DUR|278LIT|3CGEN|4LHND|578aVULN|6RCR|78BPWR|9NUKE
48	21133 62135	1	   	271.76	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LWND|578aVULN|6RCR|78BPWR|9BBNT
49	21133 62156	1	   	271.76	DCR|4VULN|3DUR|3LIT	178DUR|278LIT|3CGEN|4LWND|578aVULN|6RCR|78BPWR|9DUST
50	21133 62164	1	   	271.76	DCR|4VULN|3DUR|3LIT|1NUKE	178DUR|278LIT|3CGEN|4LWND|578aVULN|6RCR|78BPWR|9NUKE
51	43352 22117	6	   	271.76	DCR|4VULN|3DUR|3LIT	1MBVNT|278DUR|378LIT|4BEXP|5MLV|678aVULN|78BPWR|9RCR
52	43352 32117	5	   	271.76	DCR|4VULN|3DUR|3LIT	1MBVNT|278DUR|378LIT|4BEXP|5MLV|678aVULN|78BPWR|9RCR
53	43356 22114	6	   	271.76	DCR|4VULN|3DUR|3LIT	1MBVNT|278DUR|378LIT|4BEXP|5CGEN|678aVULN|78BPWR|9RCR
54	43351 22117	6	   	271.66	DCR|4VULN|3DUR|3LIT	1MBVNT|278DUR|378LIT|4BEXP|5ERES|678aVULN|78BPWR|9RCR
55	43441 84734	3	 * 	271.56	DCR|4VULN|3DUR|2CDMG	1MBVNT|268DUR|3DUST|48CDMG|568aVULN|68BPWR|7RCR|9TBNT
56	21363 21543	1	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	189DUR|29LIT|3TLV|45VULN|6RPLT|79DMG|9BPWR|aRCR
57	43153 72124	8	   	270.01	DCR|3VULN|2DUR|1DMG|1TLV	1MBVNT|27DUR|3AART|457VULN|6RCR|7BPWR|8TLV|9DMG|aLIT
58	43153 72133	9	   	270.01	DCR|3VULN|2DUR|1DMG|1TLV	1MBVNT|27DUR|3AART|457VULN|6RCR|7BPWR|8TLV|9LIT|aDMG
59	43153 72424	9	   	269.99	DCR|4VULN|2DUR|1CDMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9CDMG|aLIT
60	43153 72444	8	   	269.99	DCR|4VULN|2DUR|1CDMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9CDMG|aLIT
61	21143 13135	5	   	269.92	ACR|5VULN|3DUR|2ASPD	19aDUR|2RCR|3AART|4568aVULN|7aASPD|aBPWR
62	21432 51232	2	 * 	269.78	ACR|5VULN|3DUR|3ASPD	18aDUR|2RCR|3789aVULN|4BBNT|568ASPD|8aBPWR
63	21532 51232	3	   	269.78	ACR|5VULN|3DUR|3ASPD	18aDUR|2RCR|3789aVULN|4BBNT|568ASPD|8aBPWR
64	22541 11152	8	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19aDUR|2FEWX|39VULN|4MBVNT|5TLV|6CDMG|79DMG|8RCR|9BPWR
65	43153 71123	8	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR	1MBVNT|2DUR|3AART|457aVULN|6RCR|8TLV|9DMG
66	21323 62356	1	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|27LIT|3TLV|4LHND|579aVULN|6RCR|7BPWR|8ERES
67	21333 62356	1	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|27LIT|3TLV|4LWND|579aVULN|6RCR|7BPWR|8ERES
68	43153 11612	8	   	269.57	DCR|4VULN|3DUR	1MBVNT|267DUR|3AART|456aVULN|6BPWR|8RCR|9LIT
69	43152 72123	8	   	269.48	DCR|3VULN|2DUR|1DMG|2AART|1TLV	1MBVNT|27DUR|35AART|47aVULN|6RCR|7BPWR|8TLV|9DMG
70	43441 14741	3	   	269.34	DCR|4VULN|2DUR|2CDMG|1ASPD	1MBVNT|28DUR|3DUST|48CDMG|568aVULN|7RCR|8BPWR|9ASPD
71	43641 14741	2	   	269.34	DCR|4VULN|2DUR|2CDMG|1ASPD	1MBVNT|28DUR|3DUST|48CDMG|568aVULN|7RCR|8BPWR|9ASPD
72	21123 62112	1	   	269.29	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LHND|578VULN|6RCR|78BPWR|9ZMB|aDMG
73	21123 62122	1	   	269.29	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LHND|578VULN|6RCR|78BPWR|9BEXP|aDMG
74	21123 62142	1	   	269.29	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LHND|578VULN|6RCR|78BPWR|9LWND|aDMG
75	21133 62112	1	   	269.29	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LWND|578VULN|6RCR|78BPWR|9ZMB|aDMG
76	21133 62122	1	   	269.29	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LWND|578VULN|6RCR|78BPWR|9BEXP|aDMG
77	21133 62142	1	   	269.29	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LWND|578VULN|6RCR|78BPWR|9LHND|aDMG
78	21123 62152	1	   	269.19	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LHND|578VULN|6RCR|78BPWR|9DUST|aDMG
79	21123 62162	1	   	269.19	DCR|3VULN|3DUR|3LIT|1DMG|1NUKE	178DUR|278LIT|3CGEN|4LHND|578VULN|6RCR|78BPWR|9NUKE|aDMG
80	21133 62152	1	   	269.19	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|278LIT|3CGEN|4LWND|578VULN|6RCR|78BPWR|9DUST|aDMG
81	21133 62162	1	   	269.19	DCR|3VULN|3DUR|3LIT|1DMG|1NUKE	178DUR|278LIT|3CGEN|4LWND|578VULN|6RCR|78BPWR|9NUKE|aDMG
82	22531 53324	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	15aDUR|2FEWX|38aVULN|4CGEN|6DMG|7RCR|9aCDMG|aBPWR
83	43356 22112	6	   	269.19	DCR|3VULN|3DUR|3LIT|1DMG	1MBVNT|278DUR|378LIT|4BEXP|5CGEN|678VULN|78BPWR|9RCR|aDMG
84	43441 84711	3	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|268DUR|3DUST|48CDMG|568VULN|68BPWR|7RCR|9DMG|aRMIN
85	43441 84713	3	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|268DUR|3DUST|48CDMG|568VULN|68BPWR|7RCR|9DMG|aLWND
86	43441 84714	3	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	1MBVNT|268DUR|3DUST|48CDMG|568VULN|68BPWR|7RCR|9DMG|aMLV
87	43153 72412	10	   	269.03	DCR|4VULN|3DUR|2AART	1MBVNT|27aDUR|39AART|4578VULN|6RCR|7BPWR
88	43153 72414	9	   	269.03	DCR|4VULN|3DUR|2AART	1MBVNT|27aDUR|39AART|4578VULN|6RCR|7BPWR
89	43152 11612	9	   	269.03	DCR|4VULN|3DUR|2AART	1MBVNT|267DUR|35AART|469aVULN|69BPWR|8RCR
90	43152 11614	10	   	269.03	DCR|4VULN|3DUR|2AART	1MBVNT|267DUR|35AART|469aVULN|69BPWR|8RCR
91	21143 15324	8	 * 	268.77	ACR|5VULN|3DUR|2TLV	16aDUR|2RCR|3AART|4567aVULN|6aBPWR|8RPLT|9aTLV
92	21143 11442	9	 * 	268.67	ACR|5VULN|3DUR|1DMG	167DUR|2RCR|3AART|4568aVULN|6BPWR|9DMG
93	21143 11462	8	   	268.67	ACR|5VULN|3DUR|1DMG	167DUR|2RCR|3AART|4568aVULN|6BPWR|9DMG
94	21143 11662	7	   	268.67	ACR|5VULN|3DUR|1DMG	167DUR|2RCR|3AART|4568aVULN|68BPWR|9DMG
95	21143 15242	9	   	268.67	ACR|5VULN|3DUR|1DMG	168DUR|2RCR|3AART|4567aVULN|6BPWR|9DMG
96	21143 15262	8	   	268.67	ACR|5VULN|3DUR|1DMG	168DUR|2RCR|3AART|4567aVULN|6BPWR|9DMG
97	43153 72124	9	   	268.52	DCR|3VULN|3DUR|1TLV|1CDMG	1MBVNT|279DUR|3AART|457VULN|6RCR|7BPWR|8TLV|aCDMG
98	43153 72134	8	   	268.52	DCR|3VULN|3DUR|1TLV|1CDMG	1MBVNT|279DUR|3AART|457VULN|6RCR|7BPWR|8TLV|aCDMG
99	43153 72142	8	   	268.52	DCR|3VULN|3DUR|1TLV|1CDMG	1MBVNT|27aDUR|3AART|457VULN|6RCR|7BPWR|8TLV|9CDMG
100	22143 11623	9	   	268.20	DCR|4VULN|2DUR|1DMG	17DUR|26FEWX|3AART|4568VULN|6BPWR|9RCR|aDMG
101	22143 11643	8	   	268.20	DCR|4VULN|2DUR|1DMG	17DUR|26FEWX|3AART|4568VULN|6BPWR|9RCR|aDMG
102	22143 15223	9	   	268.20	DCR|4VULN|2DUR|1DMG	18DUR|26FEWX|3AART|4567VULN|6BPWR|9RCR|aDMG
103	22143 15243	8	   	268.20	DCR|4VULN|2DUR|1DMG	18DUR|26FEWX|3AART|4567VULN|6BPWR|9RCR|aDMG
104	43152 71311	7	   	268.18	DCR|3VULN|2DUR|1DMG|2AART|2LIT	1MBVNT|29DUR|35AART|479VULN|6RCR|89LIT|9BPWR|aDMG
105	43153 72223	8	   	268.10	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|457aVULN|6RCR|7BPWR|8ZMB|9DMG
106	43153 72421	8	   	268.10	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9DMG|aLHND
107	43153 72424	7	   	268.10	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|4579VULN|6RCR|7BPWR|8RPLT|aDMG
108	43153 72433	8	   	268.10	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9RCVC|aDMG
109	43153 72423	8	   	268.00	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9DMG|aERES
110	43153 72424	8	   	268.00	DCR|4VULN|2DUR|1DMG	1MBVNT|27DUR|3AART|4578VULN|6RCR|7BPWR|9DMG|aDUST
111	43153 72413	8	   	267.57	DCR|5VULN|2DUR	1MBVNT|27DUR|3AART|4578aVULN|6RCR|7BPWR|9BEXP
112	43153 72422	7	   	267.57	DCR|5VULN|2DUR	1MBVNT|27DUR|3AART|4579aVULN|6RCR|7BPWR|8RPLT
113	43153 72431	10	   	267.57	DCR|5VULN|2DUR	1MBVNT|27DUR|3AART|4578aVULN|6RCR|7BPWR|9MLV
114	43153 13112	6	   	267.34	DCR|4VULN|2DUR|1ASPD	1MBVNT|26DUR|3AART|4568VULN|6BPWR|7ASPD|9RCR|aLIT
115	21346 32134	4	 * 	266.82	ACR|4VULN|3DUR|3LIT|1TLV|1ASPD	178DUR|2RCR|378LIT|4BEXP|5TLV|678aVULN|78BPWR|9ASPD
116	21366 32134	3	   	266.82	ACR|4VULN|3DUR|3LIT|1TLV|1ASPD	178DUR|2RCR|378LIT|4BEXP|5TLV|678aVULN|78BPWR|9ASPD
117	22248 54431	7	   	266.81	DCR|3VULN|3DUR|2DMG	168DUR|28FEWX|3LWND|4MBVNT|569VULN|68BPWR|78DMG|aRCR
118	43228 54431	7	   	266.81	DCR|3VULN|3DUR|2DMG	1MBVNT|268DUR|38LWND|4FEWX|569VULN|68BPWR|78DMG|aRCR
119	43152 72311	7	   	266.45	DCR|3VULN|3DUR|3LIT|2AART	1MBVNT|279DUR|35AART|479VULN|6RCR|79BPWR|89aLIT
