0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43213 35432	7	 * 	296.09	DCR|4VULN|2DMG|2DUR|2TLV	134aVULN|29DUR|5aDMG|6aTLV|7RCR|8BBNT|aBPWR
20	43212 14161	6	   	286.72	DCR|4VULN|3DUR|1DMG|2LIT	1347VULN|267DUR|57LIT|7BPWR|8DMG|9ZMB|aRCR
21	43212 24161	5	   	286.72	DCR|4VULN|3DUR|1DMG|2LIT	1347VULN|267DUR|57LIT|7BPWR|8DMG|9ZMB|aRCR
22	43213 15243	10	   	286.28	DCR|5VULN|2DUR|1DMG	13469VULN|2aDUR|5DMG|7LIT|8RCR
23	41331 21413	4	   	286.20	DCR|4VULN|2DMG|1TLV|1DUR	129aVULN|2aBPWR|3LIT|4aBEXP|5TLV|6DUR|7aDMG|8RCR
24	41351 21413	4	   	286.20	DCR|4VULN|2DMG|1TLV|1DUR	129aVULN|2aBPWR|3LIT|4aFEWX|5TLV|6DUR|7aDMG|8RCR
25	41311 21413	1	   	286.00	DCR|4VULN|2DMG|1DUR|1TLV	139aVULN|2LIT|4aDUST|5TLV|6DUR|7aDMG|8RCR|aBPWR
26	41311 21413	3	   	286.00	DCR|4VULN|2DMG|1DUR|1TLV	129aVULN|2aBPWR|3LIT|4aDUST|5TLV|6DUR|7aDMG|8RCR
27	41321 21413	4	   	286.00	DCR|4VULN|2DMG|1DUR|1TLV	129aVULN|2aBPWR|3LIT|4aDUST|5TLV|6DUR|7aDMG|8RCR
28	43213 15262	8	   	286.00	DCR|4VULN|2DMG|1TLV|1DUR	1346VULN|2DUR|59DMG|7LIT|8RCR|aTLV
29	43213 15263	8	 * 	285.40	DCR|4VULN|3DMG|1DUR	1346VULN|2DUR|59aDMG|7LIT|8RCR
30	46111 32413	3	   	284.44	DCR|4VULN|2DUR|2ASPD|1TLV	139aVULN|23ASPD|3aBPWR|4aDUR|5TLV|6LIT|7aFEWX|8RCR
31	43213 15223	9	   	284.33	DCR|4VULN|2DMG|2DUR	1346VULN|29DUR|5aDMG|7LIT|8RCR
32	43213 15253	8	   	284.33	DCR|4VULN|2DMG|2DUR	1346VULN|29DUR|5aDMG|7LIT|8RCR
33	43213 15262	10	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	1346VULN|2DUR|5aDMG|7LIT|8RCR|9CDMG
34	43213 15222	9	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1346VULN|29DUR|5DMG|7LIT|8RCR|aTLV
35	43213 15252	8	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1346VULN|29DUR|5DMG|7LIT|8RCR|aTLV
36	43113 56323	4	   	282.95	DCR|4VULN|2DMG|2ASPD|1DUR	159aVULN|2DUR|39LWND|45DMG|59BPWR|6FEWX|79ASPD|8RCR
37	43413 16323	4	   	282.95	DCR|4VULN|2DMG|2ASPD|1DUR	159aVULN|2DUR|39FEWX|45DMG|59BPWR|6LWND|79ASPD|8RCR
38	13414 52322	8	 * 	281.76	DCR|2VULN|3DMG|3DUR|3CDMG	179CDMG|279DUR|3LHND|4BEXP|567DMG|79BPWR|89VULN|aRCR
39	43213 35611	7	   	281.40	DCR|4VULN|2DMG|2TLV|1DUR	1349VULN|2DUR|5aDMG|68TLV|7RCR
40	43213 12422	9	   	281.32	DCR|4VULN|3DUR|1DMG	1346VULN|278DUR|5DMG|9AART|aRCR
41	41111 25333	2	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1256VULN|26BPWR|3TBNT|46ASPD|7DMG|8RCR|9TLV|aDUR
42	43213 35152	8	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	134VULN|28DUR|5aDMG|6TLV|7RCR|9ASPD
43	43213 15224	9	   	280.39	DCR|4VULN|2DUR|1DMG|1CDMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aCDMG
44	43122 12552	6	 * 	279.96	DCR|3VULN|3DUR|3ASPD|3LIT	19aVULN|245DUR|3LWND|69aASPD|7RCR|89aLIT|9aBPWR
45	43122 12552	5	   	279.96	DCR|3VULN|3DUR|3ASPD|3LIT	19aVULN|245DUR|3LWND|69aASPD|7RCR|89aLIT|9aBPWR
46	46131 32323	7	 * 	279.95	DCR|4VULN|2DUR|2ASPD|1DMG	139aVULN|23ASPD|39BPWR|49FEWX|5DMG|6BEXP|79DUR|8RCR
47	43213 35242	10	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1349aVULN|2DUR|5DMG|6TLV|7RCR|8ZMB
48	16322 43432	1	 * 	278.78	DCR|3VULN|2DMG|2ASPD|2CDMG|2LIT	19CDMG|26LIT|39aVULN|4DUST|56DMG|69BPWR|7RCR|89ASPD
49	16324 43332	1	   	278.78	DCR|3VULN|2DMG|2ASPD|2CDMG|2LIT	19CDMG|26LIT|39aVULN|4DUST|56ASPD|69BPWR|7RCR|89DMG
50	42163 22224	5	 * 	278.70	DCR|4VULN|2DUR|1DMG|2CDMG	1359VULN|234ZMB|39BPWR|69DUR|7RCR|89CDMG|aDMG
51	43213 15242	9	   	278.25	DCR|5VULN|1DMG|1DUR|2LIT	13469VULN|2DUR|5DMG|7aLIT|8RCR
52	41111 25361	2	 * 	278.02	DCR|5VULN|2ASPD|1DMG	1256aVULN|26BPWR|3TBNT|46ASPD|7DMG|8RCR|9AART
53	43213 35335	9	   	277.89	DCR|4VULN|2DMG|1TLV|1DUR	134aVULN|2DUR|5aDMG|6TLV|7RCR|8CGEN|9aZMB|aBPWR
54	43213 12652	10	   	277.88	DCR|5VULN|2DUR|1DMG	1346aVULN|27DUR|5DMG|8MBVNT|9RCR
55	43353 25231	5	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	178VULN|268DUR|3ASPD|4CGEN|58DMG|8BPWR|9RCR|aRCVC
56	43353 25233	5	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	178VULN|268DUR|3ASPD|4CGEN|58DMG|8BPWR|9RCR|aBEXP
57	43213 15221	10	   	277.75	DCR|4VULN|2DUR|1DMG|1ASPD	1346VULN|29DUR|5DMG|7LIT|8RCR|aASPD
58	43353 25232	5	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	178VULN|268DUR|3ASPD|4CGEN|58DMG|8BPWR|9RCR|aERES
59	43213 35411	8	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1349VULN|2DUR|5aDMG|6TLV|7RCR|8DMSP
60	43213 35431	9	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1349VULN|2DUR|5aDMG|6TLV|7RCR|8DMSP
61	43213 35362	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	134aVULN|2DUR|59DMG|6TLV|7RCR|8CGEN
62	42113 34231	1	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1358VULN|238DUST|38BPWR|4CGEN|6TLV|78DMG|9RCR|aDUR
63	42116 22115	6	   	276.60	DCR|4VULN|2DMG|1DUR|2LIT	135aVULN|23aZMB|3aBPWR|49LIT|6RCR|7DUR|8aDMG
64	43321 62413	4	   	276.31	DCR|4VULN|2ASPD|1TLV|1DUR|2LIT	169aVULN|2DUR|3aASPD|4LHND|5TLV|7aLIT|8RCR|aBPWR
65	43321 62413	3	   	276.31	DCR|4VULN|2ASPD|1TLV|1DUR|2LIT	169aVULN|2DUR|3aASPD|4LHND|5TLV|7aLIT|8RCR|aBPWR
66	43213 65111	8	   	276.02	DCR|4VULN|2DMG|2DUR	1349VULN|28DUR|5aDMG|6RMIN|7RCR
67	43213 65131	9	   	276.02	DCR|4VULN|2DMG|2DUR	1349VULN|28DUR|5aDMG|6RMIN|7RCR
68	43213 12653	9	   	275.92	DCR|4VULN|2DMG|2DUR	1346VULN|27DUR|5aDMG|8MBVNT|9RCR
69	43213 15262	9	   	275.47	DCR|4VULN|1DMG|1DUR|1CDMG	1346VULN|2DUR|5DMG|7LIT|8RCR|9CDMG|aAART
70	13342 21442	2	 * 	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	134CDMG|234DUR|34BPWR|5DMG|69aVULN|7ZMB|8RCR
71	13342 25231	2	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	134CDMG|234DUR|34BPWR|5DMG|69aVULN|7LWND|8RCR
72	13343 16231	2	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	134CDMG|234DUR|34BPWR|5LWND|69aVULN|7DMG|8RCR
73	43113 36126	4	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1589VULN|2DUR|3LWND|45DMG|5BPWR|6CDMG|7RPLT|aRCR
74	43111 62413	4	   	275.16	DCR|4VULN|1DMG|1TLV|1DUR|2LIT	169aVULN|2DUR|3aLWND|4DMG|5TLV|7aLIT|8RCR|aBPWR
75	43213 45222	10	   	274.92	DCR|3VULN|3DUR|2DMG	134VULN|269DUR|5aDMG|7LIT|8RCR
76	43263 15222	10	   	274.92	DCR|3VULN|3DUR|2DMG	136VULN|249DUR|5aDMG|7LIT|8RCR
77	43213 31111	8	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1348VULN|29DUR|5DMG|6TLV|7RPLT|aRCR
78	43213 31121	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1348VULN|29DUR|5DMG|6TLV|7RPLT|aRCR
79	43213 31311	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RPLT|aRCR
80	43213 35112	8	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aCGEN
81	43213 35113	8	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aBEXP
82	43213 35121	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	134aVULN|28DUR|5DMG|6TLV|7RCR|9FEWX
83	43213 35131	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aRCVC
84	43213 35132	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aCGEN
85	43213 35132	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aBEXP
86	43213 35133	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aBEXP
87	43213 35134	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aFEWX
88	43213 35212	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	134aVULN|29DUR|5DMG|6TLV|7RCR|8ZMB
89	43213 35312	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	134aVULN|29DUR|5DMG|6TLV|7RCR|8CGEN
90	43213 35512	7	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aCGEN
91	43213 35513	7	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aBEXP
92	43213 35611	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	134aVULN|29DUR|5DMG|6TLV|7RCR|8LHND
93	43213 31126	8	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1348VULN|2aDUR|5DMG|6TLV|7RPLT|9RCR
94	43263 31111	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1389VULN|24DUR|5DMG|6TLV|7RPLT|aRCR
95	41111 25336	2	 * 	274.59	DCR|4VULN|3ASPD|1DMG|1TLV	1256VULN|26BPWR|3TBNT|46aASPD|7DMG|8RCR|9TLV
96	43213 35114	8	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aDUST
97	43213 35115	8	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aMBVNT
98	43213 35133	10	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aDUST
99	43213 35134	9	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aDUST
100	43213 35135	9	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1349VULN|28DUR|5DMG|6TLV|7RCR|aMBVNT
101	43213 35142	10	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	134aVULN|28DUR|5DMG|6TLV|7RCR|9ERES
102	43213 35511	10	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	134aVULN|29DUR|5DMG|6TLV|7RCR|8DUST
103	42113 53332	5	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	139aVULN|23ZMB|39BPWR|49LIT|5CDMG|6DUST|7RCR|89DMG
104	43213 35124	7	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1349VULN|2DUR|5DMG|6TLV|7RCR|8BEXP|aCDMG
105	43213 35324	7	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1349VULN|2DUR|5DMG|6TLV|7RCR|8LWND|aCDMG
106	46113 22613	8	   	273.61	DCR|4VULN|2ASPD|1DUR|2LIT|1CDMG	1379VULN|23ASPD|3BPWR|46LIT|5CDMG|8RCR|aDUR
107	46113 22633	9	   	273.61	DCR|4VULN|2ASPD|1DUR|2LIT|1CDMG	1379VULN|23ASPD|3BPWR|46LIT|5CDMG|8RCR|aDUR
108	43213 35111	9	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	134VULN|289DUR|5DMG|6TLV|7RCR|aLIT
109	43213 35142	8	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	134VULN|28aDUR|5DMG|6TLV|7RCR|9LIT
110	43263 35131	8	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	139VULN|248DUR|5DMG|6TLV|7RCR|aLIT
111	43221 22413	2	   	273.49	DCR|4VULN|2DUR|2TLV|2LIT	169aVULN|2aDUR|3RMIN|4BEXP|56TLV|6aBPWR|7aLIT|8RCR
112	43231 22413	2	   	273.39	DCR|4VULN|2DUR|2TLV|2LIT	169aVULN|2aDUR|3RMIN|4DUST|56TLV|6aBPWR|7aLIT|8RCR
113	42116 22116	7	   	273.30	DCR|5VULN|1DMG|2LIT|1ASPD	13578VULN|238ZMB|38BPWR|48LIT|6RCR|9DMG|aASPD
114	42161 13222	7	 * 	273.21	DCR|4VULN|3DUR|2ASPD	1379VULN|234ZMB|379BPWR|5BELT|679DUR|89ASPD|aRCR
115	43213 16326	10	   	273.05	DCR|5VULN|1DMG|1DUR	1346aVULN|2DUR|5DMG|7AART|8FEWX|9RCR
116	43213 16632	9	   	273.05	DCR|5VULN|1DMG|1DUR	13469VULN|2DUR|5DMG|7AART|8LHND|aRCR
117	43213 56132	9	   	273.05	DCR|5VULN|1DMG|1DUR	13489VULN|2DUR|5DMG|6AART|7LHND|aRCR
118	41216 31115	9	   	272.79	DCR|4VULN|2DUR|1TLV	125aVULN|2aBPWR|3aCGEN|4LIT|6AART|7TLV|8aDUR|9RCR
119	46113 63331	5	   	272.47	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	139VULN|23ASPD|39BPWR|49LIT|5CDMG|6DUST|7RCR|89DMG|aLHND
120	42113 34236	1	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1358VULN|238DUST|38BPWR|4CGEN|6TLV|78DMG|9RCR|aASPD
121	46113 63333	5	   	272.37	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	139VULN|23ASPD|39BPWR|49LIT|5CDMG|6DUST|7RCR|89DMG|aTBNT
122	43213 15261	10	   	272.36	DCR|4VULN|1DMG|1DUR|2LIT|1CDMG	1346VULN|2DUR|5DMG|7aLIT|8RCR|9CDMG
123	43213 15263	9	   	272.36	DCR|4VULN|1DMG|1DUR|2LIT|1CDMG	1346VULN|2DUR|5DMG|7aLIT|8RCR|9CDMG
124	43321 22413	3	 * 	272.06	DCR|3VULN|2DUR|2ASPD|2TLV|2LIT	19aVULN|26DUR|3aASPD|4LHND|56TLV|6aBPWR|7aLIT|8RCR
125	43321 22413	4	   	272.06	DCR|3VULN|2DUR|2ASPD|2TLV|2LIT	19aVULN|26DUR|3aASPD|4LHND|56TLV|6aBPWR|7aLIT|8RCR
126	43361 22413	3	   	271.96	DCR|3VULN|2DUR|2ASPD|2TLV|2LIT	19aVULN|26DUR|3aASPD|4DUST|56TLV|6aBPWR|7aLIT|8RCR
127	46116 22112	6	   	271.96	DCR|3VULN|2DUR|2ASPD|1DMG|2LIT	135VULN|23ASPD|3BPWR|49LIT|6RCR|7aDUR|8DMG
128	42116 22114	7	   	271.96	DCR|5VULN|1DMG|2LIT	13578VULN|238ZMB|38BPWR|48LIT|6RCR|9DMG|aAART
129	43213 15243	9	   	271.70	DCR|5VULN|1DMG|1DUR	13469VULN|2DUR|5DMG|7LIT|8RCR|aRCVC
130	43213 12452	10	   	271.66	DCR|4VULN|3DUR|1DMG	1346VULN|278DUR|5DMG|9BELT|aRCR
131	43213 15238	8	   	271.60	DCR|5VULN|1DMG|1DUR	1346aVULN|2DUR|5DMG|7LIT|8RCR|9MBVNT
132	43213 15241	9	   	271.60	DCR|5VULN|1DMG|1DUR	13469VULN|2DUR|5DMG|7LIT|8RCR|aDUST
133	41563 12223	8	   	271.56	DCR|5VULN|2DUR|1CDMG	12368VULN|23BPWR|4MLV|57DUR|9CDMG|aRCR
134	43213 65313	8	   	271.30	DCR|4VULN|2DMG|1DUR	134aVULN|2DUR|5aDMG|6RMIN|7RCR|8aCGEN|9AART|aBPWR
135	43111 22413	4	   	270.91	DCR|3VULN|2DUR|2TLV|1DMG|2LIT	19aVULN|26DUR|3aLWND|4DMG|56TLV|6aBPWR|7aLIT|8RCR
136	43151 22413	3	   	270.91	DCR|3VULN|2DUR|2TLV|1DMG|2LIT	19aVULN|26DUR|3aLWND|4DMG|56TLV|6aBPWR|7aLIT|8RCR
137	43411 22413	4	   	270.91	DCR|3VULN|2DUR|1DMG|2TLV|2LIT	19aVULN|26DUR|3aFEWX|4DMG|56TLV|6aBPWR|7aLIT|8RCR
138	46131 32324	7	 * 	270.53	DCR|3VULN|3DUR|2ASPD|1DMG	139VULN|23ASPD|39BPWR|49FEWX|5DMG|6BEXP|79aDUR|8RCR
139	21551 21413	1	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1aFEWX|23LIT|49aVULN|5TLV|6DUR|7aDMG|8RCR|aBPWR
140	43631 22413	4	   	270.00	DCR|3VULN|2DMG|1DUR|1TLV|2LIT	19aVULN|2DUR|3aDMG|4DMSP|5TLV|6DUST|7aLIT|8RCR|aBPWR
141	43631 22413	3	   	270.00	DCR|3VULN|2DMG|1DUR|1TLV|2LIT	19aVULN|2DUR|3aDMG|4DMSP|5TLV|6DUST|7aLIT|8RCR|aBPWR
142	41331 31413	4	   	269.95	DCR|4VULN|2DMG|1TLV	129aVULN|2aBPWR|3LIT|4aBEXP|5TLV|6LWND|7aDMG|8RCR
143	41351 31413	4	   	269.95	DCR|4VULN|2DMG|1TLV	129aVULN|2aBPWR|3LIT|4aFEWX|5TLV|6LWND|7aDMG|8RCR
144	41511 21413	1	   	269.90	DCR|3VULN|2DMG|1DUR|1TLV|2LIT	19aVULN|23LIT|4aDUST|5TLV|6DUR|7aDMG|8RCR|aBPWR
145	42111 62413	3	   	269.78	DCR|4VULN|2DUR|1TLV|2LIT	139aVULN|23ZMB|3aBPWR|4aDUR|5TLV|6FEWX|7aLIT|8RCR
146	42116 23243	9	   	269.78	DCR|4VULN|2DUR|1TLV|2LIT	135aVULN|23ZMB|3aBPWR|4aLIT|6RCR|7TLV|8BEXP|9aDUR
147	42116 31313	9	   	269.78	DCR|4VULN|2DUR|1TLV|2LIT	135aVULN|23ZMB|3aBPWR|4aLIT|6TLV|7FEWX|8aDUR|9RCR
148	43213 35243	10	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1349VULN|2DUR|5DMG|6TLV|7RCR|8ZMB|aAART
149	43213 16132	10	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1346VULN|2DUR|5DMG|7AART|8RCVC|9TLV|aRCR
150	43213 31124	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1348VULN|2DUR|5DMG|6TLV|7RPLT|9RCR|aAART
151	43213 15213	8	   	269.75	DCR|4VULN|2DMG|1DUR	1346VULN|2DUR|5aDMG|7LIT|8RCR|9FEWX
152	43213 15223	8	   	269.75	DCR|4VULN|2DMG|1DUR	1346VULN|2DUR|5aDMG|7LIT|8RCR|9RCVC
153	41311 31413	3	   	269.75	DCR|4VULN|2DMG|1TLV	129aVULN|2aBPWR|3LIT|4aDUST|5TLV|6LWND|7aDMG|8RCR
154	41311 31413	1	   	269.75	DCR|4VULN|2DMG|1TLV	139aVULN|2LIT|4aDUST|5TLV|6LWND|7aDMG|8RCR|aBPWR
155	41321 31413	4	   	269.75	DCR|4VULN|2DMG|1TLV	129aVULN|2aBPWR|3LIT|4aDUST|5TLV|6LWND|7aDMG|8RCR
156	42111 22413	3	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	139aVULN|23ZMB|3aBPWR|4aDUR|5TLV|6DUST|7aLIT|8RCR
157	42153 22222	3	   	269.64	DCR|4VULN|2DUR|2CDMG|1ASPD	1359VULN|234ZMB|359BPWR|69DUR|7RCR|89CDMG|aASPD
158	42163 22222	4	   	269.64	DCR|4VULN|2DUR|2CDMG|1ASPD	1359VULN|234ZMB|359BPWR|69DUR|7RCR|89CDMG|aASPD
159	42163 22223	5	   	269.64	DCR|4VULN|2DUR|2CDMG|1ASPD	1359VULN|234ZMB|39BPWR|69DUR|7RCR|89CDMG|aASPD
160	43213 35411	9	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	134VULN|29DUR|5aDMG|6TLV|7RCR|8DMSP
161	43213 35433	7	   	269.53	DCR|3VULN|2DMG|2DUR|1TLV	134VULN|29DUR|5aDMG|6TLV|7RCR|8BBNT
162	43213 15252	10	   	269.50	DCR|4VULN|2DMG|1DUR|1SELL	1346VULN|2DUR|5aDMG|7LIT|8RCR|9SELL
163	43213 12652	9	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1346VULN|27DUR|5DMG|8MBVNT|9RCR|aASPD
164	43251 25111	8	 * 	268.94	DCR|3VULN|3DMG|2DUR	139VULN|28DUR|4ERES|56aDMG|7RCR
165	43251 25131	9	   	268.94	DCR|3VULN|3DMG|2DUR	139VULN|28DUR|4ERES|56aDMG|7RCR
166	43615 11132	3	 * 	268.86	ACR|4VULN|2DMG|1DUR|2LIT|1CDMG|1ASPD	189aVULN|2DUR|39DMG|4RCR|5CDMG|6ASPD|79LIT|9BPWR
167	16334 63332	1	   	268.47	DCR|3VULN|2DMG|2CDMG|2LIT|1ASPD	19CDMG|24LIT|39aVULN|5ASPD|6DUST|7RCR|89DMG|9BPWR
168	41151 35231	9	 * 	268.45	DCR|5VULN|2ASPD|2TLV	12489VULN|249BPWR|3DMSP|59TLV|69ASPD|7RMIN|aRCR
169	41211 21313	9	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	128VULN|28BPWR|3CGEN|48LIT|5LWND|6aDMG|78DUR|9RCR
170	41212 21313	9	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	128VULN|28BPWR|3CGEN|48LIT|5LHND|6aDMG|78DUR|9RCR
171	43213 15212	8	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1346VULN|2DUR|5DMG|7LIT|8RCR|9FEWX|aTLV
172	43213 15222	8	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1346VULN|2DUR|5DMG|7LIT|8RCR|9RCVC|aTLV
173	43342 22413	4	   	268.35	DCR|3VULN|2DUR|2ASPD|1TLV|2LIT	19aVULN|26DUR|3aASPD|4TLV|56BEXP|6aBPWR|7aLIT|8RCR
174	43213 15232	10	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1346VULN|2DUR|5DMG|7LIT|8RCR|9DUST|aTLV
175	46111 22423	3	   	268.25	DCR|3VULN|2DUR|2ASPD|1TLV|2LIT	13aVULN|23ASPD|3aBPWR|4aDUR|5TLV|6DUST|7aLIT|8RCR|9RCVC
176	43213 51326	10	   	268.10	DCR|4VULN|2DUR|1DMG	134aVULN|27DUR|5DMG|6AART|8FEWX|9RCR
177	13336 51153	2	   	268.10	DCR|4VULN|2DUR|2CDMG	13CDMG|23DUR|3BPWR|4FEWX|569aVULN|7AART|8RCR
178	46111 36121	4	   	267.89	DCR|4VULN|2DUR|2ASPD	1389VULN|23ASPD|3BPWR|4LIT|5BBNT|6RCR|7aDUR
