0	Index      	 *	Score 	Summary	Detail	
1	33262 31534	 * 	278.48	DCR|DCR|3VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|69aVULN|78RCR
21	33132 31544	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6aVULN|78RCR|9LHND
22	33132 31564	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6aVULN|78RCR|9BEXP
23	33212 31514	   	256.24	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4DUST|5AART|6aVULN|78RCR|9FEWX
24	33212 31544	   	256.24	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4DUST|5AART|6aVULN|78RCR|9LHND
25	33212 31564	   	256.24	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4DUST|5AART|6aVULN|78RCR|9BEXP
26	33262 31531	   	256.24	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3aERES|4FEWX|5AART|69VULN|78RCR
27	33262 31532	   	256.24	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|69VULN|78RCR|aFLTHEA
28	33262 31535	   	256.24	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|69VULN|78RCR|aSPLJET
29	33132 31551	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2aLIT|3DUST|4AME|5AART|6VULN|78RCR|9TLV
30	33132 31555	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6VULN|78RCR|9TLV|aLWND
31	33132 31556	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6VULN|78RCR|9TLV|aLHND
32	33212 31534	   	256.14	DCR|DCR|2VULN|1CDMG|1AART	1CDMG|2LIT|39ERES|4DUST|5AART|6aVULN|78RCR
33	41224 23214	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2TBNT|3VULN|4TLV|5AART|6SPLJET|7ERES|8aRCR|9ZMB
34	13221 55421	 * 	256.09	DCR|3VULN|2DMG|1TLV|1FLTARM	1aERES|2TBNT|3TLV|48aVULN|5FEWX|6FLTARM|7aDMG|9RCR|aBPWR
35	33132 41552	 * 	250.25	DCR|DCR|2DUR|1TLV|1AART|1CDMG	1CDMG|2LIT|3DUST|4AME|5AART|6aDUR|78RCR|9TLV
36	33212 41552	   	250.25	DCR|DCR|2DUR|1TLV|1CDMG|1AART	1CDMG|2LIT|3ERES|4DUST|5AART|6aDUR|78RCR|9TLV
37	33262 31521	   	250.20	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1CDMG|2aLIT|3ERES|4FEWX|5AART|6VULN|78RCR|9DMG
38	33262 31525	   	250.20	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|6VULN|78RCR|9DMG|aLWND
39	33262 31526	   	250.20	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1CDMG|2LIT|3ERES|4FEWX|5AART|6VULN|78RCR|9DMG|aLHND
40	12162 23144	 * 	250.15	DCR|3VULN|3MSLTOX|1TLV|1DUR	1ERES|245MSLTOX|345VULN|45BPWR|6FEWX|7LIT|8TLV|9DUR|aRCR
41	33132 41524	   	250.00	DCR|DCR|1VULN|2CDMG|1DUR|1AART	19CDMG|2LIT|3DUST|4AME|5AART|6DUR|78RCR|aVULN
42	33212 41524	   	250.00	DCR|DCR|1VULN|2CDMG|1DUR|1AART	19CDMG|2LIT|3ERES|4DUST|5AART|6DUR|78RCR|aVULN
43	12162 63212	   	249.95	DCR|3VULN|3MSLTOX|1TLV|1AART	168ERES|245MSLTOX|345VULN|45BPWR|7AART|9TLV|aRCR
44	62135 21342	 * 	248.90	DCR|DCR|2VULN|1DMG|1AAC	1AEFBLL|2aVULN|3DMG|4BBNT|5MBVNT|6AAC|78RCR|9LHND
45	13265 21342	 * 	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1ERES|2TBNT|3TLV|4DMG|5MBVNT|6AAC|78RCR|9LHND|aVULN
46	13265 21382	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1ERES|2TBNT|3TLV|4DMG|5MBVNT|6AAC|78RCR|9LWND|aVULN
47	62135 21348	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AEFBLL|2VULN|3DMG|4BBNT|5MBVNT|6AAC|78RCR|9LHND|aTLV
48	62135 21325	   	248.80	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AEFBLL|2VULN|3DMG|4BBNT|5MBVNT|6AAC|78RCR|9SPLARM|aTLV
