0	Index      	 *	Score 	Summary	Detail	
1	32213 61132	 * 	257.12	DCR|3VULN|3TLV|1DUR|1AART|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aAAC
49	32213 66247	   	236.13	DCR|3VULN|3TLV|1DMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aBEXP
50	32213 66248	   	236.13	DCR|3VULN|3TLV|1DMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aFEWX
51	32213 63116	   	236.03	DCR|3VULN|3TLV|1DMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9TBNT|aDMG
52	32213 66217	   	236.03	DCR|3VULN|3TLV|1DMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9TBNT|aDMG
53	32213 66241	   	236.03	DCR|3VULN|3TLV|1DMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aTBNT
54	32213 66246	   	236.03	DCR|3VULN|3TLV|1DMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9DMG|aAME
55	33112 25326	   	235.88	DCR|DCR|1VULN|1TLV|1AAC	1ASPD|2BBNT|3CGEN|4TLV|5AAC|6TBNT|7VULN|8BOSS|9aRCR
56	61112 25326	   	235.88	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2ASPD|3CGEN|4TLV|5AAC|6BBNT|7VULN|8BOSS|9aRCR
57	32632 25326	   	235.78	DCR|DCR|1VULN|1TLV|1AAC	1ASPD|2TLV|3BBNT|4AME|5AAC|6TBNT|7VULN|8BOSS|9aRCR
58	33412 25326	   	235.78	DCR|DCR|1VULN|1TLV|1AAC	1ASPD|2BBNT|3ERES|4TLV|5AAC|6TBNT|7VULN|8BOSS|9aRCR
59	33632 25326	   	235.78	DCR|DCR|1VULN|1TLV|1AAC	1ASPD|2BBNT|3TLV|4AME|5AAC|6TBNT|7VULN|8BOSS|9aRCR
60	32653 31412	 * 	235.53	DCR|2VULN|2TLV|2MLV|1DMG	1ASPD|2aTLV|3BBNT|4DMG|5LHND|6aVULN|7LWND|8RCR|9aMLV|aBPWR
61	33653 31412	   	235.53	DCR|2VULN|2TLV|2MLV|1DMG	1ASPD|2BBNT|3aTLV|4DMG|5LHND|6aVULN|7LWND|8RCR|9aMLV|aBPWR
62	32213 66272	   	235.13	DCR|4VULN|3TLV	1ASPD|245TLV|345aVULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9MDPS
63	32132 11112	 * 	233.74	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|2aTLV|3LHND|4CGEN|5aVULN|6DMG|7aDUR|8RCR|9TBNT|aBPWR
64	32211 22332	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9DMG|aLIT
65	32211 22333	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9DMG|aLWND
66	32211 22334	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9DMG|aRCVC
67	32211 22335	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9DMG|aRMIN
68	32211 22336	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9DMG|aFEWX
69	32214 62332	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9DMG|aLIT
70	32214 62333	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9DMG|aLWND
71	32214 62334	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9DMG|aRCVC
72	32214 62335	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9DMG|aRMIN
73	32214 62336	   	233.64	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9DMG|aFEWX
74	32211 22331	   	233.54	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9DMG|aTBNT
75	32214 62331	   	233.54	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9DMG|aTBNT
76	35213 56213	   	232.79	DCR|3VULN|1TLV|1DMG|1AART	1ASPD|245ERES|345VULN|45BPWR|6SPLREG|7DMG|8RCR|9AART|aTLV
77	32213 45432	   	231.77	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6MLV|7RPLT|8CGEN|9AEFRZ|aRCR
78	32213 43113	   	231.67	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6MLV|7DLOT|8CGEN|9TBNT|aRCR
79	32213 43613	   	231.67	DCR|3VULN|3TLV|1MLV|1AAC	1ASPD|245TLV|345VULN|45BPWR|6MLV|7DLOT|8AAC|9TBNT|aRCR
80	32213 45532	   	231.67	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6MLV|7RPLT|8ERES|9AEFRZ|aRCR
81	32213 63142	   	231.67	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9ZMB|aMLV
82	32213 63152	   	231.67	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9LWND|aMLV
83	32213 63162	   	231.67	DCR|3VULN|3TLV|1MLV|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AAC|aMLV
84	32213 66254	   	231.67	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9BOSS|aMLV
85	32213 33542	   	231.63	DCR|3VULN|3TLV|1MLV|1AAC|1SELL	1ASPD|245TLV|345VULN|45BPWR|6BEXP|7MLV|8SELL|9AAC|aRCR
86	32213 43213	   	231.57	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6MLV|7DLOT|8ERES|9TBNT|aRCR
87	32213 63113	   	231.57	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9TBNT|aMLV
88	32213 66213	   	231.57	DCR|3VULN|3TLV|1MLV	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9TBNT|aMLV
89	32211 35352	   	230.28	DCR|2VULN|2TLV|1MLV|1DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|5DUR|6AEFBLL|7AIRARM|8RCR|9CDMG|aMLV
90	42221 18383	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG	1CDMG|2ZMB|3MULARM|4CGEN|5AEWIND|6MBVNT|7VULN|89RCR|aDUR
91	42321 18383	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG	1CDMG|2ZMB|3CANTOX|4CGEN|5AEWIND|6MBVNT|7VULN|89RCR|aDUR
92	32213 51642	   	229.92	DCR|3VULN|3TLV|1CDMG|1AAC	1ASPD|245TLV|345VULN|45BPWR|6ZMB|7CDMG|8BEXP|9AAC|aRCR
93	15125 31126	 * 	229.89	DCR|3VULN|2DMG|2DUR	1aLIT|2TBNT|359VULN|4aDMG|6RCR|7BBNT|8aDUR|aBPWR
94	32213 51342	   	229.82	DCR|3VULN|3TLV|1CDMG|1AAC	1ASPD|245TLV|345VULN|45BPWR|6ZMB|7CDMG|8DUST|9AAC|aRCR
95	32213 61154	   	229.82	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9LWND|aRCVC
96	32213 61156	   	229.82	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9LWND|aBOSS
97	25243 11316	   	229.77	DCR|3VULN|2TLV|1DUR|1CDMG	126ERES|38TLV|4CDMG|56aVULN|6BPWR|7RCR|9DUR
98	32211 46272	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|249TLV|34aVULN|4BPWR|5DUR|6FEWX|7MBVNT|8RCR
99	32213 61111	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9TBNT|aBEXP
100	32213 61112	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9TBNT|aLWND
101	32213 61114	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9TBNT|aFEWX
102	32213 61122	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9BASICY|aRPLT
103	32213 61124	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9BASICY|aBEXP
104	32213 61126	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9BASICY|aCGEN
105	32213 61141	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9ZMB|aTBNT
106	32213 61145	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9ZMB|aBLASTR
107	32213 61146	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9ZMB|aBBNT
108	32213 61151	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9LWND|aAME
109	32213 61155	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9LWND|aBBNT
110	32213 63134	   	229.72	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AART|aRMIN
111	32213 63143	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9ZMB|aDUR
112	32213 63153	   	229.72	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9LWND|aDUR
113	32213 63163	   	229.72	DCR|3VULN|3TLV|1DUR|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AAC|aDUR
114	32213 65632	   	229.72	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7ERES|8BOSS|9RCR|aAART
115	32213 66235	   	229.72	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aRAT
116	32213 66236	   	229.72	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aRPLT
117	32213 66237	   	229.72	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aBEXP
118	32213 66238	   	229.72	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aLWND
119	32213 66452	   	229.72	DCR|3VULN|3TLV|1CDMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8LHND|9CDMG|aRCR
120	32132 15461	   	229.67	DCR|3VULN|2TLV|1DMG	1ASPD|2aTLV|3LHND|4CGEN|59aVULN|6DMG|7aERES|8RCR|aBPWR
121	32213 61115	   	229.62	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9TBNT|aBBNT
122	32213 61121	   	229.62	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9BASICY|aMBVNT
123	32213 61123	   	229.62	DCR|3VULN|3TLV|1DUR	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9BASICY|aDUST
124	32213 63125	   	229.62	DCR|3VULN|3TLV|1CDMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9BASICY|aCDMG
125	32213 63131	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AART|aERES
126	32213 63133	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AART|aAME
127	32213 63135	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AART|aBBNT
128	32213 63136	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7aDUST|8RCR|9AART
129	32213 63161	   	229.62	DCR|3VULN|3TLV|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AAC|aTBNT
130	32213 63165	   	229.62	DCR|3VULN|3TLV|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AAC|aAME
131	32213 63166	   	229.62	DCR|3VULN|3TLV|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8RCR|9AAC|aBEXP
132	32213 63313	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUST|8AART|9TBNT|aRCR
133	32213 66226	   	229.62	DCR|3VULN|3TLV|1CDMG	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9BASICY|aCDMG
134	32213 66231	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aERES
135	32213 66233	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aAME
136	32213 66234	   	229.62	DCR|3VULN|3TLV|1AART	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7MBVNT|8RCR|9AART|aMDPS
137	32214 12422	   	229.57	DCR|3VULN|2TLV|1DMG	1ASPD|24TLV|34aVULN|4BPWR|5CANTOX|6TBNT|7DMG|8RCR|9FEWX
138	32214 33156	   	229.57	DCR|3VULN|2TLV|1DMG	1ASPD|24TLV|348VULN|4BPWR|5CANTOX|6DMG|7RAT|9BBNT|aRCR
139	32216 42212	   	229.57	DCR|3VULN|2TLV|1DMG|1AAC	1ASPD|24TLV|349VULN|4BPWR|5TBNT|6DMG|7MBVNT|8AAC|aRCR
140	32214 12452	   	229.47	DCR|3VULN|2TLV|1DMG	1ASPD|24TLV|34aVULN|4BPWR|5CANTOX|6TBNT|7DMG|8RCR|9DUST
141	32214 12462	   	229.47	DCR|3VULN|2TLV|1DMG	1ASPD|24TLV|34aVULN|4BPWR|5CANTOX|6TBNT|7DMG|8RCR|9MDPS
142	32211 46223	   	229.18	DCR|2VULN|2TLV|2DUR|1MLV	1ASPD|24TLV|34VULN|4BPWR|5aDUR|6FEWX|7MBVNT|8RCR|9MLV
143	62121 21231	   	228.84	DCR|DCR|1VULN|1TLV	1TBNT|2VENFST|3FEWX|4BBNT|5LWND|6VULN|79RCR|8LHND|aTLV
144	23142 14335	   	228.74	DCR|DCR|1VULN|1TLV	1ERES|2BBNT|3CGEN|4BEXP|5VULN|6AIRBOS|7TBNT|89RCR|aTLV
145	23162 14332	   	228.74	DCR|DCR|1VULN|1TLV	1ERES|2BBNT|3CGEN|4LWND|5VULN|6AIRBOS|7TBNT|89RCR|aTLV
146	23162 64332	   	228.74	DCR|DCR|1VULN|1TLV	1ERES|2BBNT|3CGEN|4LWND|5VULN|6BASHEA|7TBNT|89RCR|aTLV
147	26321 13653	 * 	228.74	DCR|DCR|1VULN|2DUR	14ERES|24DUR|3RPLT|4BPWR|5RAT|6SNIFST|7VULN|8DUST|9aRCR
148	62321 21231	   	228.74	DCR|DCR|1VULN|1TLV	1TBNT|2VENFST|3DUST|4BBNT|5LWND|6VULN|79RCR|8LHND|aTLV
149	22214 14332	   	228.64	DCR|DCR|1VULN|1TLV	1ERES|2AME|3VULN|4LWND|5BBNT|6AIRBOS|7TBNT|89RCR|aTLV
150	22214 64332	   	228.64	DCR|DCR|1VULN|1TLV	1ERES|2AME|3VULN|4LWND|5BBNT|6BASHEA|7TBNT|89RCR|aTLV
151	22662 14332	   	228.64	DCR|DCR|1VULN|1TLV	1ERES|2AME|3TBNT|4LWND|5VULN|6AIRBOS|7BBNT|89RCR|aTLV
152	31225 63421	   	228.54	DCR|2VULN|2DMG|1TLV|1DUR|1AAC	1ASPD|25FEWX|35DMG|4AAC|5BPWR|6DUR|7aVULN|8RCR|9TLV
153	32216 31432	   	228.42	DCR|2VULN|2TLV|1DUR|1AART|1CDMG	1ASPD|24TLV|34VULN|4BPWR|5TBNT|6DUR|7CDMG|8AART|9LWND|aRCR
154	22232 43535	   	227.71	DCR|3VULN|2DUR|1DMG|1MLV	1aERES|2AME|35aVULN|4TBNT|6DMG|7RCR|8MLV|9aDUR|aBPWR
155	32214 12434	   	227.70	DCR|2VULN|2TLV|1DMG|2ASPD|1DUR	19ASPD|24TLV|34VULN|4BPWR|5CANTOX|6TBNT|7DMG|8RCR|aDUR
156	25243 11312	   	227.70	DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	126ERES|38TLV|4CDMG|56VULN|6BPWR|7RCR|9DUR|aDMG
157	32211 22351	   	227.23	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9CDMG|aLIT
158	32211 22353	   	227.23	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9CDMG|aCGEN
159	32211 22354	   	227.23	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9CDMG|aRAT
160	32211 22362	   	227.23	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9AART|aBEXP
