0	Index      	 *	Score 	Summary	Detail	
1	62123 26136	 * 	268.89	DCR|DCR|2VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6aVULN|78RCR|9RAT
32	62123 26114	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9AEFBLL|aRCVC
33	62123 26116	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9AEFBLL|aLWND
34	62123 26133	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9RAT|aDUST
35	62123 26152	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9TBNT|aZMB
36	13264 31233	   	242.49	DCR|DCR|1VULN|1FLTARM|1AART	1BOSS|2BBNT|3CGEN|4AART|5VULN|6MDPS|7aRCR|8FLTARM|9CANSTR
37	62123 26115	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9AEFBLL|aBASHEA
38	62123 26121	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1MSE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9MSE|aERES
39	62123 26122	   	242.49	DCR|DCR|1VULN|1TLV|1AART|2MSE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9aMSE
40	62123 26123	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1MSE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9MSE|aLHND
41	62123 26124	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1MSE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9MSE|aBEXP
42	62123 26125	   	242.49	DCR|DCR|2VULN|1TLV|1AART|1MSE	1DMSP|2BELT|3TLV|4AART|5MDPS|6aVULN|78RCR|9MSE
43	62123 26151	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1MSE	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9TBNT|aMSE
44	62123 26153	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1DMSP|2BELT|3TLV|4AART|5MDPS|6VULN|78RCR|9TBNT|aAEBURN
45	33442 22424	 * 	240.39	DCR|DCR|2DMG|1VULN	1MDPS|2FEWX|3MBVNT|46DMG|5VULN|7aRCR|8BOSS|9RPLT
46	33442 22624	   	240.39	DCR|DCR|2DMG|1VULN	1MDPS|2FEWX|3MBVNT|46DMG|5VULN|7aRCR|8LIT|9RPLT
