0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66531 21313	1	 * 	295.08	DCR|3VULN|3DUR|2DMG|2TLV	189VULN|28DMG|3LIT|47TLV|568DUR|8BPWR|aRCR
50	65412 23222	8	 * 	273.45	DCR|3VULN|2DMG|2DUR|3LIT	17aVULN|29aLIT|37ERES|47DUR|5DMSP|6RCR|7aBPWR|8aDMG
51	65331 16111	8	 * 	273.43	DCR|4VULN|2ASPD|2TLV|2LIT|1AART	159aVULN|26LIT|3AART|4aTLV|7aASPD|8RCR|aBPWR
52	12167 14484	5	 * 	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|2579VULN|359DUR|4MBVNT|59BPWR|69ASPD|8RPLT|aRCR
53	14322 24334	9	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|27ASPD|3LWND|457DUR|678aVULN|7BPWR|9RCR
54	14232 34334	9	   	272.91	DCR|4VULN|3DUR|2ASPD	1DMSP|27ASPD|3DUST|478aVULN|567DUR|7BPWR|9RCR
55	12326 34124	10	   	271.96	DCR|4VULN|3DUR|1DMG	1DMSP|2579VULN|3RMIN|479DUR|6RCR|79BPWR|89CGEN|aDMG
56	12326 34123	10	 * 	271.44	DCR|5VULN|3DUR	1DMSP|2579aVULN|3RMIN|479DUR|6RCR|79BPWR|89CGEN
57	62326 34123	10	   	271.44	DCR|5VULN|3DUR	1579aVULN|2DMSP|3RMIN|479DUR|6RCR|79BPWR|89CGEN
58	11442 12313	4	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	1DMSP|28DMG|348DUR|5TLV|69VULN|78LIT|8BPWR|aRCR
59	11435 24122	10	   	269.95	DCR|4VULN|2DMG|1DUR	1DMSP|29DMG|3DUR|4569VULN|7RCR|89CGEN|9BPWR|aLIT
60	12134 16253	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	1DMSP|27aVULN|359DUR|45CDMG|5BPWR|6RCR|8DMG
61	11435 22336	5	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1DMSP|28DMG|38DUR|45aVULN|6CGEN|78LIT|8BPWR|9RCR
62	11436 32336	6	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1DMSP|28DMG|38DUR|46aVULN|5CGEN|78LIT|8BPWR|9RCR
63	11633 42336	2	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1DMSP|28DMG|38LIT|45DUR|6CGEN|78aVULN|8BPWR|9RCR
64	63524 32112	6	 * 	268.35	ACR|5VULN|3DMG|3LIT	1679aVULN|2ERES|3RCR|479DMG|567LIT|679BPWR|89LHND
65	12226 52214	10	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1DMSP|27aVULN|3ERES|4aDUR|5LHND|6RCR|8CDMG|9aDMG|aBPWR
66	12442 11321	9	   	267.04	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	1DMSP|29aVULN|3CDMG|49ASPD|5TLV|6RCR|7ZMB|89DUR|9BPWR
67	62442 11321	9	   	267.04	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	19aVULN|2DMSP|3CDMG|49ASPD|5TLV|6RCR|7ZMB|89DUR|9BPWR
68	12122 54122	10	   	267.01	DCR|3VULN|3DUR|2DMG	1DMSP|279VULN|349DUR|57LWND|67DMG|79BPWR|89CGEN|aRCR
69	12124 54122	10	   	267.01	DCR|3VULN|3DUR|2DMG	1DMSP|279VULN|349DUR|57LHND|67DMG|79BPWR|89CGEN|aRCR
70	12125 54122	10	   	267.01	DCR|3VULN|3DUR|2DMG	1DMSP|279VULN|349DUR|57FEWX|67DMG|79BPWR|89CGEN|aRCR
71	62122 54122	10	   	267.01	DCR|3VULN|3DUR|2DMG	179VULN|2DMSP|349DUR|57LWND|67DMG|79BPWR|89CGEN|aRCR
72	12321 34414	10	   	266.91	DCR|3VULN|3DUR|2DMG	1DMSP|27aVULN|35RMIN|47aDUR|6RCR|7aBPWR|8RPLT|9aDMG
73	12333 34414	10	   	266.91	DCR|3VULN|3DUR|2DMG	14DMSP|27aVULN|3RMIN|57aDUR|6RCR|7aBPWR|8RPLT|9aDMG
74	65231 21631	2	   	266.90	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	147VULN|28LIT|35DUR|6DMG|9RCR|aTLV
75	11322 24331	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3aLWND|457DUR|678VULN|7BPWR|9RCR
76	11322 24332	9	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aFEWX
77	11322 24333	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aRMIN
78	11322 24336	9	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3aLWND|457DUR|678VULN|7BPWR|9RCR
79	11542 24331	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3FEWX|457DUR|678VULN|7BPWR|9RCR|aLWND
80	11542 24332	9	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3aFEWX|457DUR|678VULN|7BPWR|9RCR
81	11542 24333	9	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3FEWX|457DUR|678VULN|7BPWR|9RCR|aZMB
82	11142 24352	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3BEXP|457DUR|678VULN|7BPWR|9RMIN|aRCR
83	11432 24125	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|29DMG|35aDUR|469VULN|7RCR|89CGEN|9BPWR
84	12112 42222	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|269VULN|359DUR|4CGEN|7BEXP|89DMG|9BPWR|aRCR
85	12112 43222	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|269VULN|359DUR|4CGEN|7FEWX|89DMG|9BPWR|aRCR
86	12112 46222	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|269VULN|359DUR|4CGEN|7LWND|89DMG|9BPWR|aRCR
87	12112 65222	10	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|279VULN|359DUR|4CGEN|6LWND|89DMG|9BPWR|aRCR
88	62112 42222	10	   	266.81	DCR|3VULN|3DUR|2DMG	169VULN|2DMSP|359DUR|4CGEN|7BEXP|89DMG|9BPWR|aRCR
89	62112 43222	10	   	266.81	DCR|3VULN|3DUR|2DMG	169VULN|2DMSP|359DUR|4CGEN|7FEWX|89DMG|9BPWR|aRCR
90	62112 46222	10	   	266.81	DCR|3VULN|3DUR|2DMG	169VULN|2DMSP|359DUR|4CGEN|7LWND|89DMG|9BPWR|aRCR
91	62112 65222	10	   	266.81	DCR|3VULN|3DUR|2DMG	179VULN|2DMSP|359DUR|4CGEN|6LWND|89DMG|9BPWR|aRCR
92	66112 42222	10	   	266.81	DCR|3VULN|3DUR|2DMG	169VULN|2RCVC|359DUR|4CGEN|7BEXP|89DMG|9BPWR|aRCR
93	66112 43222	10	   	266.81	DCR|3VULN|3DUR|2DMG	169VULN|2RCVC|359DUR|4CGEN|7FEWX|89DMG|9BPWR|aRCR
94	11142 24332	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3BEXP|457DUR|678VULN|7BPWR|9ERES|aRCR
95	11232 34352	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RMIN|aRCR
96	11242 24352	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RMIN|aRCR
97	11245 34331	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|467DUR|578VULN|7BPWR|9RCR|aLWND
98	11245 34332	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|467DUR|578VULN|7BPWR|9RCR|aFEWX
99	11245 34333	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|467DUR|578VULN|7BPWR|9RCR|aBEXP
100	11322 24331	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aERES
101	11322 24332	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aLEGI
102	11322 24333	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aBBNT
103	11322 24334	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aMBVNT
104	11542 24331	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3FEWX|457DUR|678VULN|7BPWR|9RCR|aERES
105	11542 24332	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3FEWX|457DUR|678VULN|7BPWR|9RCR|aDUST
106	12168 34484	7	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|269VULN|359DUR|4MBVNT|79DMG|8RPLT|9BPWR|aRCR
107	11232 34331	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aLWND
108	11232 34332	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aFEWX
109	11232 34333	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aBEXP
110	11232 34336	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aLWND
111	11232 34336	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aRMIN
112	11242 24331	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aLWND
113	11242 24332	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aFEWX
114	11242 24333	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aBEXP
115	11242 24336	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aRMIN
116	11242 24336	9	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aLWND
117	12123 11356	3	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|26aVULN|348DUR|5RCVC|7RCR|9aDMG|aBPWR
118	12123 11356	4	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|26aVULN|348DUR|5RCVC|7RCR|9aDMG|aBPWR
119	12323 11356	2	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|26aVULN|348DUR|5RCVC|7RCR|9aDMG|aBPWR
120	62123 11356	3	   	266.71	DCR|3VULN|3DUR|2DMG	16aVULN|2DMSP|348DUR|5RCVC|7RCR|9aDMG|aBPWR
121	62123 11356	4	   	266.71	DCR|3VULN|3DUR|2DMG	16aVULN|2DMSP|348DUR|5RCVC|7RCR|9aDMG|aBPWR
122	62323 11356	2	   	266.71	DCR|3VULN|3DUR|2DMG	16aVULN|2DMSP|348DUR|5RCVC|7RCR|9aDMG|aBPWR
123	11245 34331	9	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|467DUR|578VULN|7BPWR|9RCR|aERES
124	11245 34332	10	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3aDUST|467DUR|578VULN|7BPWR|9RCR
125	11245 34333	9	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|467DUR|578VULN|7BPWR|9RCR|aBBNT
126	11232 34331	9	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aERES
127	11232 34332	10	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3aDUST|478VULN|567DUR|7BPWR|9RCR
128	11232 34333	9	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aBBNT
129	11232 34334	10	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aMBVNT
130	11242 24331	9	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aERES
131	11242 24332	10	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3aDUST|457DUR|678VULN|7BPWR|9RCR
132	11242 24333	9	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aBBNT
133	11242 24334	10	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aMBVNT
134	11432 24521	7	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|29DMG|35aDUR|469VULN|7RCR|89DUST|9BPWR
135	11322 24335	10	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1DMSP|27DMG|3LWND|457DUR|678VULN|7BPWR|9RCR|aSELL
136	11232 34335	10	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1DMSP|27DMG|3DUST|478VULN|567DUR|7BPWR|9RCR|aSELL
137	11242 24335	10	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1DMSP|27DMG|3DUST|457DUR|678VULN|7BPWR|9RCR|aSELL
138	63612 31241	1	 * 	266.26	DCR|4VULN|2DMG|2ASPD|1SELL	179aVULN|2FEWX|3aASPD|4aDMG|5BBNT|6RCR|8SELL|aBPWR
139	23612 31241	1	 * 	266.16	DCR|4VULN|2DMG|2ASPD|1SELL	1LEGI|279aVULN|3aASPD|4aDMG|5BBNT|6RCR|8SELL|aBPWR
140	11435 24221	8	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1DMSP|2DMG|3aDUR|456VULN|7RCR|8CDMG|9TLV
141	63362 23161	8	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	14aVULN|2ERES|35DUR|6CDMG|7RCR|8DMG|9TLV
142	63362 23361	7	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	14aVULN|2ERES|35DUR|6CDMG|7RCR|8DMG|9TLV
143	12326 34125	9	   	265.55	DCR|4VULN|3DUR|1CDMG	1DMSP|2579VULN|3RMIN|479DUR|6RCR|79BPWR|89CGEN|aCDMG
144	12326 34253	10	   	265.35	DCR|4VULN|3DUR|1CDMG	1DMSP|257aVULN|3RMIN|479DUR|6RCR|7BPWR|8CDMG
145	12335 31134	3	 * 	265.25	DCR|4VULN|2DMG|2TLV	1DMSP|2789VULN|3RMIN|48TLV|58DMG|6DLOT|8BPWR|aRCR
146	62335 31134	3	   	265.25	DCR|4VULN|2DMG|2TLV	1789VULN|2DMSP|3RMIN|48TLV|58DMG|6DLOT|8BPWR|aRCR
