0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33242 23411	10	 * 	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aDMG
18	35253 11521	4	 * 	257.06	DCR|3VULN|2DMG|3CDMG	17FEWX|2LEGI|358VULN|457CDMG|57BPWR|67DMG|9LIT|aRCR
19	43131 23425	4	 * 	256.69	ACR|5VULN|2DUR|2ASPD|1AART	1RCR|2aASPD|3RPLT|4789aVULN|5aDUR|6AART|aBPWR
20	33242 23412	10	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aAART
21	33242 23414	9	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aAART
22	33242 23414	8	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aAART
23	33242 23452	8	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9AART|aDUR
24	32154 13545	8	   	254.76	DCR|4VULN|2ASPD|1TLV|1AART	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aAART
25	32154 71544	8	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1FEWX|2TLV|3MBVNT|4567VULN|8DMG|9RCR|aASPD
26	33242 23433	9	   	254.72	DCR|4VULN|3ASPD|1TLV	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aTLV
27	33242 23436	10	   	254.72	DCR|4VULN|3ASPD|1TLV	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aTLV
28	22242 61315	4	   	254.62	DCR|4VULN|2DUR|1TLV	1RMIN|2BEXP|3458VULN|69DUR|7TLV|aRCR
29	22244 23315	9	   	254.62	DCR|4VULN|2DUR|1TLV	1RMIN|2BEXP|3478VULN|5TLV|69DUR|aRCR
30	22244 23315	7	   	254.62	DCR|4VULN|2DUR|1TLV	1RMIN|2BEXP|3478VULN|5TLV|69DUR|aRCR
31	22244 23315	8	   	254.62	DCR|4VULN|2DUR|1TLV	1RMIN|2BEXP|3478VULN|5TLV|69DUR|aRCR
32	34252 11114	5	 * 	253.55	DCR|2VULN|3DUR|2DMG|1CDMG	17FEWX|257DUR|3aVULN|4CDMG|67DMG|7BPWR|8RMIN|9RCR
33	33242 23414	10	   	253.51	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aLIT
34	43335 61331	6	 * 	253.49	ACR|4VULN|2DMG|3ASPD|1AART	1RCR|269ASPD|369aVULN|4DMSP|5AART|69BPWR|79DMG|8LEGI
35	43344 23312	10	 * 	253.40	ACR|4VULN|2DUR|1DMG|1TLV|1ASPD	1RCR|2ASPD|3478VULN|5TLV|69DUR|aDMG
36	21341 34233	3	 * 	252.37	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2DMSP|3AART|47TLV|57aVULN|67DMG|7BPWR|8BEXP|9RCR
37	21341 34433	3	   	252.37	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2DMSP|3AART|47TLV|57aVULN|67DMG|7BPWR|8FEWX|9RCR
38	23661 34233	1	   	252.37	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|27TLV|37aVULN|4AART|5DMSP|67DMG|7BPWR|8BEXP|9RCR
39	23663 34233	1	   	252.37	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|27TLV|37aVULN|4AART|5RCVC|67DMG|7BPWR|8BEXP|9RCR
40	33242 23461	10	   	252.26	DCR|4VULN|2ASPD|1CDMG|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9CDMG|aAART
41	32241 63533	10	   	252.06	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|346aVULN|5ERES|7LIT|8DMG|9RCR
42	41132 31615	1	 * 	251.79	ACR|4VULN|3DUR|2AART|2LIT	1RCR|278DUR|39AART|47LIT|567aVULN|7BPWR
43	32243 64122	4	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1FEWX|2TLV|3489VULN|5BBNT|6DUR|7RCR|aASPD
44	43316 25321	9	 * 	250.81	ACR|3VULN|2DMG|2DUR|2ASPD	1RCR|28ASPD|378VULN|4LIT|5FEWX|68DMG|8BPWR|9aDUR
45	34223 11325	3	   	250.70	DCR|2VULN|3DUR|2DMG|1ASPD	1FEWX|257DUR|38VULN|4ASPD|6RCR|9aDMG
46	43131 22425	4	 * 	250.38	ACR|4VULN|3DUR|2ASPD|1AART	1RCR|2aASPD|3RPLT|489aVULN|57aDUR|6AART|aBPWR
47	34223 11316	3	 * 	250.37	DCR|3VULN|3DUR|2ASPD	1aFEWX|257DUR|38aVULN|4aASPD|6RCR|9RPLT|aBPWR
48	31125 13256	1	   	249.90	DCR|4VULN|1TLV|1DUR|1AART	1FEWX|2568VULN|3AART|456MLV|56BPWR|7DUR|9RCR|aTLV
49	22245 62122	7	   	249.80	DCR|4VULN|1TLV|1DUR|1AART	1RMIN|26BEXP|3469VULN|5AART|6BPWR|7RCR|8TLV|aDUR
50	32246 13621	4	   	249.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1FEWX|2TLV|34VULN|59DUR|6RCR|7CDMG|8DMG|aASPD
51	32246 13621	5	   	249.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1FEWX|2TLV|34VULN|59DUR|6RCR|7CDMG|8DMG|aASPD
52	32254 13621	3	   	249.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1FEWX|2TLV|35VULN|49DUR|6RCR|7CDMG|8DMG|aASPD
53	31156 52231	1	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1FEWX|2589VULN|3AART|4TBNT|6DUR|7TLV|aRCR
54	41133 11346	1	 * 	249.23	ACR|4VULN|3DUR|3LIT|1AART	1RCR|27aDUR|3AART|457LIT|678aVULN|7aBPWR|9aFEWX
55	41132 31256	1	   	249.23	ACR|4VULN|3DUR|3LIT|1AART	1RCR|27aDUR|3AART|479LIT|567aVULN|7aBPWR|8aFEWX
56	41132 31634	1	   	249.23	ACR|4VULN|3DUR|3LIT|1AART	1RCR|278DUR|3AART|47aLIT|567aVULN|7aBPWR|9aZMB
57	41132 31611	1	 * 	249.22	ACR|3VULN|3DUR|1DMG|2AART|2LIT	1RCR|278DUR|39AART|47LIT|567VULN|7BPWR|aDMG
58	41133 11356	1	   	249.03	ACR|4VULN|3DUR|3LIT|1AART	1RCR|27aDUR|3AART|457LIT|678aVULN|7aBPWR|9aDUST
59	22223 11343	3	   	249.02	DCR|3VULN|3DUR|1DMG	1RMIN|2BEXP|389VULN|457DUR|6RCR|aDMG
60	34223 11343	4	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|257DUR|389VULN|4RMIN|6RCR|aDMG
61	33242 23421	10	   	249.01	DCR|4VULN|2ASPD|1DMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9BEXP|aDMG
62	26223 11343	3	   	248.92	DCR|3VULN|3DUR|1DMG	1RMIN|2DUST|389VULN|457DUR|6RCR|aDMG
63	33154 17544	8	   	248.91	DCR|4VULN|2ASPD|1DMG	18FEWX|2CGEN|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aDMG
64	33242 23463	9	 * 	248.91	DCR|4VULN|2ASPD|2CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9aCDMG
65	32154 13581	10	 * 	248.81	DCR|4VULN|2ASPD|2TLV	18FEWX|29TLV|3MBVNT|4578VULN|68ASPD|8BPWR|aRCR
66	33242 23451	9	   	248.49	DCR|5VULN|2ASPD	189FEWX|2CGEN|3458aVULN|68ASPD|7RCR|8BPWR
67	32246 13631	5	   	248.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1FEWX|2TLV|34VULN|5aDUR|6RCR|7CDMG|8DMG|9AART
68	32246 13631	4	   	248.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1FEWX|2TLV|34VULN|5aDUR|6RCR|7CDMG|8DMG|9AART
69	32254 13631	3	   	248.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1FEWX|2TLV|35VULN|4aDUR|6RCR|7CDMG|8DMG|9AART
70	31125 13631	1	   	248.43	DCR|4VULN|2DUR|1AART	18FEWX|2568VULN|3AART|456MLV|568BPWR|78DUR|9RCR|aBEXP
71	31125 13632	1	   	248.43	DCR|4VULN|2DUR|1AART	18FEWX|2568VULN|3AART|456MLV|568BPWR|78DUR|9RCR|aBELT
72	31125 13633	1	   	248.43	DCR|4VULN|2DUR|1AART	18FEWX|2568VULN|3AART|456MLV|568BPWR|78DUR|9RCR|aLWND
73	31125 13634	1	   	248.43	DCR|4VULN|2DUR|1AART	18aFEWX|2568VULN|3AART|456MLV|568BPWR|78DUR|9RCR
74	33242 23343	8	   	248.27	DCR|4VULN|1DMG|1ASPD|1AART	1FEWX|2CGEN|345aVULN|6ASPD|7RCR|8AART|9DMG
75	32154 71134	10	   	248.25	DCR|4VULN|1DUR|1TLV	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aDUR
76	32243 64123	4	   	248.25	DCR|4VULN|1DUR|1TLV	1FEWX|2TLV|3489VULN|5BBNT|6DUR|7RCR|aLIT
77	22245 62113	10	   	247.84	DCR|5VULN|1ASPD|1AART	1RMIN|26BEXP|3469aVULN|5AART|6BPWR|7RCR|8ASPD
78	32245 33243	5	   	247.22	DCR|3VULN|2CDMG|1TLV|1DUR|1AART	168FEWX|2TLV|348VULN|58CDMG|7AART|8BPWR|9DUR|aRCR
79	32154 52634	9	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1FEWX|2TLV|3MBVNT|457VULN|6AART|8DMG|9DUR|aRCR
80	33246 31126	10	   	246.88	DCR|4VULN|2DUR	1aFEWX|2CGEN|348aVULN|5LIT|6LHND|7aDUR|9RCR|aBPWR
81	33242 23211	10	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1FEWX|2CGEN|345VULN|6ASPD|7RCR|89DUR|aDMG
82	33242 23434	9	   	246.78	DCR|4VULN|3ASPD	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aLIT
83	34253 11114	4	 * 	246.74	DCR|2VULN|2DMG|2DUR|2CDMG	157FEWX|27DUR|3aVULN|45CDMG|57BPWR|67DMG|8RMIN|9RCR
84	43131 21425	4	 * 	246.67	ACR|4VULN|3ASPD|2DUR|1AART	1RCR|27aASPD|3RPLT|489aVULN|5aDUR|6AART|aBPWR
85	43131 23525	4	   	246.67	ACR|4VULN|3ASPD|2DUR|1AART	1RCR|28aASPD|3RPLT|479aVULN|5aDUR|6AART|aBPWR
86	43335 41331	7	 * 	246.60	ACR|3VULN|3DMG|3ASPD|1AART	1RCR|279ASPD|379VULN|4DMSP|5AART|679DMG|79BPWR|8LEGI|aRCVC
87	43335 41333	7	   	246.60	ACR|3VULN|3DMG|3ASPD|1AART	1RCR|279ASPD|379VULN|4DMSP|5AART|679DMG|79BPWR|8LEGI|aFEWX
88	43344 23211	8	   	246.56	ACR|4VULN|3DUR|1TLV|1ASPD	1RCR|2ASPD|347aVULN|5TLV|689DUR
89	43344 23211	9	   	246.56	ACR|4VULN|3DUR|1TLV|1ASPD	1RCR|2ASPD|347aVULN|5TLV|689DUR
90	23244 21628	5	   	246.54	DCR|2VULN|2DMG|2DUR|2CDMG	1RMIN|27CDMG|3RCVC|4MBVNT|57VULN|67DUR|7BPWR|89DMG|aRCR
91	23343 23425	2	   	246.44	DCR|2VULN|2DMG|2DUR|2CDMG|1NUKE	1RMIN|2aCDMG|3DLOT|49VULN|5NUKE|6aDMG|7RCR|8aDUR|aBPWR
92	43312 43422	5	 * 	246.31	ACR|4VULN|3ASPD|3LIT|1DMG	1RCR|289ASPD|3689VULN|468LIT|5RPLT|689BPWR|7RCVC|aDMG
93	32155 13544	8	 * 	246.24	DCR|3VULN|2ASPD|2TLV|1DMG	18FEWX|25TLV|3MBVNT|478VULN|68ASPD|8BPWR|9RCR|aDMG
94	32154 12544	8	   	246.24	DCR|3VULN|2ASPD|2TLV|1DMG	18FEWX|27TLV|3MBVNT|458VULN|68ASPD|8BPWR|9RCR|aDMG
95	43316 25312	10	   	245.88	ACR|3VULN|2DMG|2ASPD|1TLV|1AART	1RCR|28ASPD|378VULN|4LIT|5FEWX|68DMG|8BPWR|9TLV|aAART
96	32154 13524	7	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1FEWX|2TLV|3MBVNT|457VULN|6ASPD|8CDMG|9DMG|aRCR
97	34251 32621	10	   	245.75	DCR|4VULN|1DUR|1CDMG	1FEWX|2DUR|389aVULN|4CDMG|5BEXP|6RCR|7LIT
98	43316 23314	9	   	245.75	ACR|3VULN|2DMG|3ASPD|1DUR	1RCR|278ASPD|389VULN|4LIT|5FEWX|68DMG|8BPWR|aDUR
99	43316 23315	9	   	245.75	ACR|3VULN|2DMG|3ASPD|1TLV	1RCR|278ASPD|389VULN|4LIT|5FEWX|68DMG|8BPWR|aTLV
100	43316 25313	10	   	245.75	ACR|3VULN|2DMG|3ASPD|1TLV	1RCR|28aASPD|378VULN|4LIT|5FEWX|68DMG|8BPWR|9TLV
101	43343 22151	10	 * 	245.68	ACR|5VULN|3ASPD|1DMG	1RCR|268ASPD|34789VULN|5RCVC|8BPWR|aDMG
102	32241 63532	10	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1FEWX|2TLV|346VULN|5ERES|7LIT|8DMG|9RCR|aDUR
103	32154 71134	9	   	245.65	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aCDMG
104	32154 71184	8	   	245.65	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aCDMG
105	32154 71484	7	   	245.65	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aCDMG
106	35252 32621	10	   	245.65	DCR|4VULN|1DUR|1CDMG	1FEWX|2LEGI|389aVULN|4CDMG|5DUR|6RCR|7LIT
107	43343 21151	4	   	245.58	ACR|5VULN|3ASPD|1DMG	1RCR|268ASPD|34689VULN|5BBNT|68BPWR|7TBNT|aDMG
108	43343 23124	4	   	245.58	ACR|5VULN|3ASPD|1DMG	1RCR|268ASPD|34679VULN|5BBNT|6BPWR|aDMG
109	31163 56333	1	   	245.56	DCR|3VULN|2DUR|1DMG|1AART	168FEWX|258VULN|3AART|48DUR|7MBVNT|8BPWR|9DMG|aRCR
110	34262 61333	3	   	245.56	DCR|3VULN|2DUR|1DMG|1AART	178FEWX|28DUR|348VULN|5MBVNT|6AART|8BPWR|9DMG|aRCR
111	23212 63526	3	 * 	245.46	DCR|3VULN|2DUR|2CDMG|1AART	1RMIN|2aCDMG|3RCVC|4AART|59aVULN|6MBVNT|7RCR|8aDUR|aBPWR
112	23244 13526	6	   	245.46	DCR|3VULN|2DUR|2CDMG|1AART	1RMIN|2aCDMG|3RCVC|4MBVNT|59aVULN|6AART|7RCR|8aDUR|aBPWR
113	23334 15332	8	   	245.46	DCR|3VULN|2DUR|2CDMG|1AART	1RMIN|29CDMG|3ERES|4DMSP|5AART|6RCR|79DUR|89aVULN|9BPWR
114	32243 22232	9	   	245.21	DCR|3VULN|3DUR|1TLV	1FEWX|2TLV|348VULN|5BELT|679DUR|aRCR
115	33242 23411	9	   	245.20	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aBEXP
116	33242 23411	8	   	245.20	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aBEXP
117	33242 23413	9	   	245.20	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aRMIN
118	33242 23413	8	   	245.20	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aRMIN
119	33242 23416	9	   	245.20	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aRPLT
120	33242 23416	8	   	245.20	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aRPLT
121	33242 23426	10	   	245.20	DCR|4VULN|2ASPD|1TLV	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9BEXP|aTLV
122	32154 13541	8	   	245.10	DCR|4VULN|2ASPD|1TLV	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aBEXP
123	32154 13546	8	   	245.10	DCR|4VULN|2ASPD|1TLV	18aFEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR
124	33242 23412	9	   	245.10	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aTBNT
125	33242 23412	8	   	245.10	DCR|4VULN|2ASPD|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aTBNT
126	32154 13542	8	   	245.00	DCR|4VULN|2ASPD|1TLV	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aTBNT
127	32154 13543	8	   	245.00	DCR|4VULN|2ASPD|1TLV	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aDUST
128	32154 13547	8	   	245.00	DCR|4VULN|2ASPD|1TLV	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aLEGI
129	32154 13548	8	   	245.00	DCR|4VULN|2ASPD|1TLV	18FEWX|2TLV|3MBVNT|4578VULN|68ASPD|8BPWR|9RCR|aBBNT
130	32246 13633	5	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1FEWX|2TLV|34VULN|5DUR|6RCR|7CDMG|8DMG|9AART|aASPD
131	32246 13633	4	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1FEWX|2TLV|34VULN|5DUR|6RCR|7CDMG|8DMG|9AART|aASPD
132	32254 13633	3	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1FEWX|2TLV|35VULN|4DUR|6RCR|7CDMG|8DMG|9AART|aASPD
133	36354 13222	7	 * 	244.85	DCR|4VULN|3CDMG|1ASPD	127FEWX|3479VULN|5DMSP|679CDMG|79BPWR|8RCR|aASPD
134	22245 62112	9	   	244.55	DCR|4VULN|1DUR|1ASPD|1AART	1RMIN|26BEXP|3469VULN|5AART|6BPWR|7RCR|8ASPD|aDUR
135	22245 62122	8	   	244.55	DCR|4VULN|1DUR|1ASPD|1AART	1RMIN|26BEXP|3469VULN|5AART|6BPWR|7RCR|8ASPD|aDUR
136	22245 62133	9	   	244.55	DCR|4VULN|1DUR|1ASPD|1AART	1RMIN|26BEXP|346aVULN|5AART|6BPWR|7RCR|8ASPD|9DUR
137	33246 13632	4	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1FEWX|2CGEN|34aVULN|5DUR|6RCR|7CDMG|8DMG|9AART
138	33254 13632	3	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1FEWX|2CGEN|35aVULN|4DUR|6RCR|7CDMG|8DMG|9AART
139	33242 23312	9	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	1FEWX|2CGEN|3459VULN|6ASPD|7RCR|8AART|aDUR
140	33242 23315	10	   	244.45	DCR|4VULN|1TLV|1ASPD|1AART	1FEWX|2CGEN|3459VULN|6ASPD|7RCR|8AART|aTLV
141	33242 23323	8	   	244.45	DCR|4VULN|1TLV|1ASPD|1AART	1FEWX|2CGEN|345aVULN|6ASPD|7RCR|8AART|9TLV
142	33242 23333	9	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	1FEWX|2CGEN|345aVULN|6ASPD|7RCR|8AART|9DUR
143	33242 23362	8	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	1FEWX|2CGEN|3459VULN|6ASPD|7RCR|8AART|aDUR
144	21644 21434	5	   	244.10	DCR|3VULN|2DUR|2CDMG	1RMIN|2DMSP|37CDMG|4MBVNT|57aVULN|67DUR|7BPWR|8LIT|9RCR
145	23244 21434	5	   	244.10	DCR|3VULN|2DUR|2CDMG	1RMIN|27CDMG|3RCVC|4MBVNT|57aVULN|67DUR|7BPWR|8LIT|9RCR
146	41132 31451	1	   	244.02	ACR|4VULN|3DUR|2LIT|1AART	1RCR|27aDUR|3AART|47LIT|5679VULN|7BPWR|8BELT
147	41132 31631	1	   	244.02	ACR|4VULN|3DUR|2LIT|1AART	1RCR|278DUR|3AART|47LIT|567aVULN|7BPWR|9ZMB
148	41132 31661	1	   	244.02	ACR|4VULN|3DUR|2LIT|1AART	1RCR|278DUR|3AART|47LIT|567aVULN|7BPWR|9CGEN
149	36162 32214	10	   	244.01	DCR|3VULN|3DUR|2LIT	125FEWX|349DUR|689VULN|79LIT|9BPWR|aRCR
150	43335 41213	10	   	243.97	ACR|4VULN|2DMG|2ASPD|1AART	1RCR|27ASPD|379aVULN|4DMSP|5AART|67DMG|7BPWR|8BEXP
151	41132 31643	1	   	243.92	ACR|4VULN|3DUR|2LIT|1AART	1RCR|278DUR|3AART|47LIT|567aVULN|7BPWR|9DUST
152	32118 48142	10	   	243.88	DCR|2VULN|2ASPD|1DMG|2TLV|1DUR	1FEWX|29TLV|3MBVNT|4LIT|5DMG|69ASPD|7DUR|89VULN|9BPWR|aRCR
153	32243 11522	9	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|346aVULN|5BELT|7DMSP|8DMG|9RCR
154	32243 16521	9	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3467VULN|5BELT|8DMG|9RCR|aBEXP
155	32243 16522	10	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3467VULN|5BELT|8DMG|9RCR|aLWND
156	32243 16523	10	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3467VULN|5BELT|8DMG|9RCR|aRCVC
157	31211 16522	9	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|24BELT|367aVULN|5TLV|8DMG|9RCR
158	31214 16222	9	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|24BELT|367aVULN|5DMG|8TLV|9RCR
159	31215 36522	9	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|24BELT|357aVULN|6TLV|8DMG|9RCR
160	32233 16522	9	   	243.85	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|367aVULN|4DMSP|5BELT|8DMG|9RCR
161	32253 16522	9	   	243.85	DCR|4VULN|1DMG|1TLV	14FEWX|2TLV|367aVULN|5BELT|8DMG|9RCR
162	33242 23441	8	   	243.81	DCR|4VULN|2ASPD|2LIT	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9aLIT
163	32154 71541	8	   	243.75	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3MBVNT|4567VULN|8DMG|9RCR|aBEXP
164	32243 16521	10	   	243.75	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3467VULN|5BELT|8DMG|9RCR|aERES
165	32243 16523	9	   	243.75	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3467VULN|5BELT|8DMG|9RCR|aERES
166	32154 71542	8	   	243.65	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3MBVNT|4567VULN|8DMG|9RCR|aTBNT
167	32154 71543	8	   	243.65	DCR|4VULN|1DMG|1TLV	1FEWX|2TLV|3MBVNT|4567VULN|8DMG|9RCR|aDUST
168	32243 16412	7	   	243.33	DCR|5VULN|1TLV	1FEWX|2TLV|34678VULN|5BELT|9BEXP|aRCR
169	32243 12622	9	   	243.23	DCR|5VULN|1TLV	1FEWX|2TLV|3468aVULN|5BELT|7ERES|9RCR
170	32243 16122	9	   	243.23	DCR|5VULN|1TLV	1FEWX|2TLV|3467aVULN|5BELT|8ERES|9RCR
171	43316 23314	10	   	243.15	ACR|3VULN|2DMG|3ASPD|1CDMG	1RCR|278ASPD|389VULN|4LIT|5FEWX|68DMG|8BPWR|aCDMG
172	33242 23522	10	   	243.10	DCR|4VULN|1DUR|1ASPD	1FEWX|2CGEN|345aVULN|6ASPD|7RCR|8LIT|9DUR
