0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31746 41834	7	 * 	283.19	DCR|4VULN|3DUR|2TLV|1AART	1MBVNT|2RCVC|3AART|479aVULN|579DUR|6RCR|79BPWR|89TLV
13	31412 16234	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2RCVC|37DUR|4DUST|578VULN|67DMG|7BPWR|9TLV|aRCR
14	36482 36441	10	 * 	265.37	ACR|5VULN|3DMG|2DUR	1MBVNT|268DMG|3RCR|4RCVC|5689aVULN|68BPWR|78DUR
15	36422 74644	5	 * 	264.95	ACR|5VULN|2DMG|1TLV|2CDMG	1MBVNT|2aDMG|3RCR|4TLV|5678aVULN|9aCDMG|aBPWR
16	31746 41345	9	   	263.76	DCR|4VULN|3DUR|2LIT|1AART	1MBVNT|2RCVC|3AART|479aVULN|57aDUR|6RCR|7aBPWR|8aLIT
17	31743 41126	8	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	1MBVNT|2RCVC|3AART|467VULN|579DMG|7BPWR|8TLV|aRCR
18	36523 41126	8	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	1MBVNT|279DMG|3RCVC|4AART|567VULN|7BPWR|8TLV|aRCR
19	36422 12644	7	 * 	262.26	ACR|4VULN|3DMG|1TLV|2CDMG	1MBVNT|26aDMG|3RCR|4TLV|578aVULN|9aCDMG|aBPWR
20	36422 14644	6	   	262.26	ACR|4VULN|3DMG|1TLV|2CDMG	1MBVNT|26aDMG|3RCR|4TLV|578aVULN|9aCDMG|aBPWR
21	36422 74844	5	   	262.26	ACR|4VULN|3DMG|1TLV|2CDMG	1MBVNT|28aDMG|3RCR|4TLV|567aVULN|9aCDMG|aBPWR
22	31746 41831	7	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1MBVNT|2RCVC|3AART|479VULN|579DUR|6RCR|79BPWR|89TLV|aERES
23	31746 43834	7	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1MBVNT|2RCVC|3AART|49aVULN|579DUR|6RCR|89TLV|9BPWR
24	31746 41631	10	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	1MBVNT|2RCVC|3AART|4789VULN|57DUR|6RCR|7BPWR|aTLV
25	31165 54324	2	 * 	261.62	DCR|3VULN|3DMG|2TLV	1MBVNT|2RCVC|39aDMG|4RPLT|579VULN|6RCR|89TLV|9BPWR
26	31526 54324	5	   	261.62	DCR|3VULN|3DMG|2TLV	1MBVNT|2RCVC|379VULN|4RPLT|59aDMG|6RCR|89TLV|9BPWR
27	34814 38361	3	   	261.24	DCR|4VULN|2DMG|2LIT|1CDMG	1MBVNT|27LIT|3CDMG|478aVULN|5DMSP|67DMG|7BPWR|9RCR
28	36613 41228	10	 * 	260.54	DCR|5VULN|2DMG|1AART	1MBVNT|27DMG|3DLOT|45679VULN|7BPWR|8AART|aRCR
29	31612 43271	10	   	260.20	DCR|4VULN|2TLV|2DUR	1MBVNT|2RCVC|3aTLV|4BEXP|568aVULN|7RCR|9aDUR|aBPWR
30	36422 17215	9	 * 	260.16	ACR|3VULN|3DMG|2TLV|2DUR	1MBVNT|267DMG|3RCR|49TLV|59aVULN|89DUR|9BPWR
31	31642 43271	10	   	260.10	DCR|4VULN|2TLV|2DUR	1MBVNT|2RCVC|3aTLV|4LEGI|568aVULN|7RCR|9aDUR|aBPWR
32	36122 17118	9	 * 	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|267DMG|39FEWX|4TLV|59DUR|89VULN|9BPWR|aRCR
33	36222 17218	9	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|267DMG|39BEXP|4TLV|59VULN|89DUR|9BPWR|aRCR
34	31412 16763	7	   	259.59	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|2RCVC|37DUR|4DUST|57VULN|678DMG|7BPWR|9RCR|aTLV
35	34172 11652	3	 * 	259.11	DCR|4VULN|3DUR|3LIT	1MBVNT|289LIT|3BEXP|4TBNT|589DUR|6RCR|789aVULN|89BPWR
36	34172 11652	2	   	259.11	DCR|4VULN|3DUR|3LIT	1MBVNT|289LIT|3LWND|4TBNT|589DUR|6RCR|789aVULN|89BPWR
37	34272 11652	2	   	259.11	DCR|4VULN|3DUR|3LIT	1MBVNT|289LIT|3LHND|4TBNT|589DUR|6RCR|789aVULN|89BPWR
38	36433 14321	3	 * 	258.79	ACR|4VULN|3DMG|2TLV	1MBVNT|269DMG|3RCR|4RPLT|5679VULN|69BPWR|89TLV|aLIT
39	36613 41138	8	   	258.74	DCR|4VULN|2DMG|1TLV	1MBVNT|27DMG|3DLOT|4567VULN|7BPWR|8TLV|9RPLT|aRCR
40	31764 42321	2	   	258.74	DCR|4VULN|2DMG|1TLV	1MBVNT|2RCVC|3TBNT|4578VULN|68DMG|8BPWR|9RCR|aTLV
41	36362 21622	10	   	258.55	DCR|4VULN|2DMG|2ASPD|1AART	1MBVNT|27DMG|3LWND|47ASPD|578aVULN|6AART|7BPWR|9RCR
42	34814 48361	3	   	257.88	DCR|4VULN|2TLV|2LIT|1CDMG	1MBVNT|27LIT|3CDMG|478aVULN|5DMSP|67TLV|7BPWR|9RCR
43	33248 56442	10	 * 	257.59	DCR|5VULN|3DUR|1NUKE	1MBVNT|278LHND|3478aVULN|5NUKE|678DUR|78BPWR|9RCR
44	36422 38271	10	 * 	257.38	ACR|4VULN|2DMG|2DUR|1TLV|1NUKE	1MBVNT|2aDMG|3RCR|4TLV|578aVULN|6NUKE|9aDUR|aBPWR
45	31184 41547	2	   	257.19	DCR|4VULN|2DMG|1DUR	1MBVNT|2RCVC|36DMG|456aVULN|6BPWR|7LIT|8DUR|9RCR
46	34244 51283	8	 * 	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|259LIT|3AART|4aZMB|69aVULN|79aDMG|8RCR|9aBPWR
47	34247 51283	8	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4aZMB|59aVULN|69aDMG|8RCR|9aBPWR
48	34346 77242	8	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aDMSP
49	34346 77243	8	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aLWND
50	34346 77244	8	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aFEWX
51	34346 77442	7	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aDMSP
52	34346 77443	7	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aLWND
53	34346 77444	7	   	257.07	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aFEWX
54	34237 57242	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aDMSP
55	34237 57243	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aLWND
56	34237 57244	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aFEWX
57	34237 57442	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aDMSP
58	34237 57443	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aLWND
59	34237 57444	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aFEWX
60	34346 77241	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aDUST
61	34346 77441	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3MLV|479DMG|5AART|679VULN|79BPWR|8RCR|aDUST
62	34447 57242	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aDMSP
63	34447 57243	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aLWND
64	34447 57244	8	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aFEWX
65	34447 57442	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aDMSP
66	34447 57443	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aLWND
67	34447 57444	7	   	256.97	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aFEWX
68	34237 57241	8	   	256.87	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aDUST
69	34237 57441	7	   	256.87	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3AART|4ERES|579VULN|679DMG|79BPWR|8RCR|aDUST
70	34447 57241	8	   	256.87	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aDUST
71	34447 57441	7	   	256.87	DCR|3VULN|3DMG|3LIT|1AART	1MBVNT|279LIT|3ERES|4AART|579VULN|679DMG|79BPWR|8RCR|aDUST
72	33643 16448	9	   	256.80	DCR|4VULN|3DMG	1MBVNT|278LHND|3DUST|4578VULN|678DMG|78BPWR|9ASPD|aRCR
73	33643 16461	8	   	256.80	DCR|4VULN|3DMG	1MBVNT|278LHND|3DUST|4578VULN|678DMG|78BPWR|9RCR|aLIT
74	36482 36443	9	   	256.69	ACR|4VULN|3DMG|2DUR|1AART	1MBVNT|268DMG|3RCR|4RCVC|5689VULN|68BPWR|78DUR|aAART
75	36482 36443	8	   	256.69	ACR|4VULN|3DMG|2DUR|1AART	1MBVNT|268DMG|3RCR|4RCVC|5689VULN|68BPWR|78DUR|aAART
76	31142 13337	8	   	255.75	DCR|3VULN|3DUR|2DMG	1MBVNT|2RCVC|3BELT|48DMG|58aVULN|678DUR|8BPWR|9RCR
77	31436 44442	10	   	255.75	DCR|3VULN|3DUR|2DMG	1MBVNT|2RCVC|348DUR|48BPWR|5BEXP|68DMG|78aVULN|9RCR
78	31436 44444	9	   	255.75	DCR|3VULN|3DUR|2DMG	1MBVNT|2RCVC|348DUR|48BPWR|5BEXP|68DMG|78aVULN|9RCR
79	36532 13337	8	   	255.75	DCR|3VULN|3DUR|2DMG	1MBVNT|28DMG|3RCVC|4BELT|58aVULN|678DUR|8BPWR|9RCR
80	36283 54442	10	   	255.75	DCR|3VULN|3DUR|2DMG	1MBVNT|28DMG|3BEXP|4RCVC|568DUR|78aVULN|8BPWR|9RCR
81	36283 54444	9	   	255.75	DCR|3VULN|3DUR|2DMG	1MBVNT|28DMG|3BEXP|4RCVC|568DUR|78aVULN|8BPWR|9RCR
82	33242 34665	5	 * 	255.68	DCR|5VULN|1TLV|1DUR	1MBVNT|2LHND|34578VULN|6DUR|9RCR|aTLV
83	31438 77442	10	   	255.65	DCR|3VULN|3DUR|2DMG	1MBVNT|2RCVC|348DUR|48BPWR|58aVULN|6LEGI|78DMG|9RCR
84	36322 21622	10	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	1MBVNT|2aDMG|37LWND|4aTLV|58aVULN|6AART|9RCR|aBPWR
85	36323 12622	10	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	1MBVNT|2aDMG|35LWND|4aTLV|6AART|78aVULN|9RCR|aBPWR
86	31746 41454	7	 * 	255.54	DCR|4VULN|2DUR|1DMG|1AART	1MBVNT|2RCVC|3AART|478aVULN|57DUR|6RCR|7BPWR|9DMG
87	31746 41633	9	   	255.54	DCR|4VULN|2DUR|1DMG|1AART	1MBVNT|2RCVC|3AART|4789VULN|57DUR|6RCR|7BPWR|aDMG
88	36482 36442	10	   	255.34	ACR|4VULN|3DMG|2DUR	1MBVNT|268DMG|3RCR|4RCVC|5689VULN|68BPWR|78DUR|aLIT
89	31333 15227	1	   	255.30	DCR|3VULN|3TLV|2DUR|2ASPD	1MBVNT|29ASPD|36DUR|4RPLT|569VULN|69BPWR|789TLV|aRCR
90	31746 41338	7	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	1MBVNT|2RCVC|3AART|479VULN|579DUR|6RCR|79BPWR|89MLV|aTLV
91	36613 34352	6	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|2aDMG|3DLOT|45aVULN|6TLV|7DUR|8aMLV|9RCR|aBPWR
92	33643 16426	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|27LHND|3DUST|457VULN|67DMG|7BPWR|8DUR|9RCR|aTLV
93	31542 37434	8	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|2RCVC|348VULN|5DUR|68DUST|78DMG|8BPWR|9TLV|aRCR
94	36122 12614	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|26DMG|3FEWX|4TLV|5DUR|789VULN|aRCR
95	36122 43614	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|27DMG|3FEWX|4TLV|5DUR|689VULN|aRCR
96	36122 48614	6	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|27DMG|3FEWX|4TLV|5DUR|689VULN|aRCR
97	36322 72711	5	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|28DMG|3LWND|4TLV|569VULN|7RCR|aDUR
98	36122 47723	8	   	253.90	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1MBVNT|29DMG|39FEWX|4TLV|5DUR|69aVULN|7SELL|8RCR|9BPWR
99	36613 31234	10	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|27DMG|3DLOT|459VULN|6TLV|8RCR|aDUR
100	33632 16463	8	   	253.64	DCR|3VULN|3DMG|1TLV	1MBVNT|2478LHND|3DUST|578VULN|678DMG|78BPWR|9RCR|aTLV
101	36614 41126	8	   	253.34	DCR|3VULN|3DMG|1TLV	1MBVNT|279DMG|3DLOT|467VULN|5RCVC|7BPWR|8TLV|aRCR
102	36613 31233	9	   	253.24	DCR|3VULN|3DMG|1TLV	1MBVNT|27aDMG|3DLOT|459VULN|6TLV|8RCR
