0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61333 12625	9	 * 	285.20	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1DMSP|29DMG|3AART|479VULN|5CDMG|6LIT|89DUR|9BPWR|aRCR
34	42321 22561	7	   	263.39	DCR|5VULN|1DMG|1TLV	14LHND|24578VULN|3LEGI|4BPWR|6RCR|9TLV|aDMG
35	61332 12625	10	   	263.26	DCR|4VULN|2DMG|1AART	1DMSP|29DMG|3AART|4569VULN|7BELT|8RCR|9BPWR|aLIT
36	61335 22621	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|478VULN|58DUR|6MBVNT|8BPWR|9RCR|aMLV
37	61335 22623	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|478VULN|58DUR|6MBVNT|8BPWR|9RCR|aBELT
38	61335 22624	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|478VULN|58DUR|6MBVNT|8BPWR|9RCR|aLHND
39	63422 82621	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|2MBVNT|348VULN|58DMG|68DUR|7AART|8BPWR|9RCR|aMLV
40	63422 82623	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|2MBVNT|348VULN|58DMG|68DUR|7AART|8BPWR|9RCR|aBELT
41	63422 82624	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|2MBVNT|348VULN|58DMG|68DUR|7AART|8BPWR|9RCR|aLHND
42	61342 22621	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|48DUR|578VULN|6MBVNT|8BPWR|9RCR|aMLV
43	61342 22623	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|48DUR|578VULN|6MBVNT|8BPWR|9RCR|aBELT
44	61342 22624	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|48DUR|578VULN|6MBVNT|8BPWR|9RCR|aLHND
45	61335 22622	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|478VULN|58DUR|6MBVNT|8BPWR|9RCR|aDUST
46	63422 82622	2	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|2MBVNT|348VULN|58DMG|68DUR|7AART|8BPWR|9RCR|aDUST
47	61342 22622	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1DMSP|28DMG|3AART|48DUR|578VULN|6MBVNT|8BPWR|9RCR|aDUST
48	61621 31122	4	   	262.86	DCR|3VULN|3DMG|1TLV	1DMSP|245DMG|349VULN|4BPWR|6ZMB|7LIT|8RCR|aTLV
49	61621 31124	4	   	262.86	DCR|3VULN|3DMG|1DUR	1DMSP|245DMG|349VULN|4BPWR|6ZMB|7LIT|8RCR|aDUR
50	61332 11524	6	   	262.82	DCR|4VULN|2DMG|2AART	1DMSP|28DMG|39AART|4568VULN|78LWND|8BPWR|aRCR
51	61332 13524	6	   	262.82	DCR|4VULN|2DMG|2AART	1DMSP|28DMG|39AART|4568VULN|78LHND|8BPWR|aRCR
52	61332 32524	5	   	262.82	DCR|4VULN|2DMG|2AART	1DMSP|28DMG|39AART|4578VULN|68LWND|8BPWR|aRCR
53	61622 31121	10	   	262.76	DCR|3VULN|3DMG|1DUR	1DMSP|246DMG|347VULN|4BPWR|5DUST|8DUR|9LIT|aRCR
54	21556 42423	2	   	262.52	DCR|4VULN|2DMG|2AART	1aAART|28DUST|3678VULN|4MBVNT|58DMG|8BPWR|9RCR
55	31526 31412	1	   	261.71	DCR|3VULN|3DMG|1CDMG|1AART	18BEXP|2RPLT|368DMG|468VULN|5TBNT|68BPWR|7AART|9CDMG|aRCR
56	31541 31412	1	   	261.71	DCR|3VULN|3DMG|1CDMG|1AART	18BEXP|2RPLT|368DMG|4BBNT|568VULN|68BPWR|7AART|9CDMG|aRCR
57	32246 31412	3	   	261.71	DCR|3VULN|3DMG|1CDMG|1AART	18BEXP|268VULN|368DMG|4RPLT|5TBNT|68BPWR|7AART|9CDMG|aRCR
58	42121 63163	10	   	261.54	DCR|4VULN|2DMG|1DUR	1LHND|2456VULN|34BEXP|4BPWR|79DMG|8RCR|aDUR
59	11526 31412	1	   	261.51	DCR|3VULN|3DMG|1CDMG|1AART	18DUST|2RPLT|368DMG|468VULN|5TBNT|68BPWR|7AART|9CDMG|aRCR
60	11541 31412	1	   	261.51	DCR|3VULN|3DMG|1CDMG|1AART	18DUST|2RPLT|368DMG|4BBNT|568VULN|68BPWR|7AART|9CDMG|aRCR
61	12121 63163	10	   	261.44	DCR|4VULN|2DMG|1DUR	1DUST|2456VULN|34BEXP|4BPWR|79DMG|8RCR|aDUR
62	12321 63163	10	   	261.44	DCR|4VULN|2DMG|1DUR	1DUST|2456VULN|34LHND|4BPWR|79DMG|8RCR|aDUR
63	32621 63163	10	   	261.44	DCR|4VULN|2DMG|1DUR	14BEXP|2456VULN|3LEGI|4BPWR|79DMG|8RCR|aDUR
64	42321 22562	10	   	261.44	DCR|4VULN|2DMG|1DUR	14LHND|2457VULN|3LEGI|4BPWR|6RCR|89DMG|aDUR
65	42321 63162	10	   	261.44	DCR|4VULN|2DMG|1DUR	14LHND|2456VULN|3LEGI|4BPWR|79DMG|8RCR|aDUR
66	51122 52252	1	   	261.39	DCR|2VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|28VULN|3ASPD|489DMG|5LWND|6LIT|78DUR|8BPWR|aRCR
67	51122 52252	2	   	261.39	DCR|2VULN|3DMG|2DUR|1ASPD|1SELL	1SELL|28VULN|3ASPD|489DMG|5LWND|6LIT|78DUR|8BPWR|aRCR
68	61332 12324	6	   	261.28	DCR|4VULN|1DMG|2AART|1DUR	1DMSP|2DMG|39AART|4567VULN|8DUR|aRCR
69	61332 62324	5	   	261.28	DCR|4VULN|1DMG|2AART|1DUR	1DMSP|2DMG|39AART|4567VULN|8DUR|aRCR
70	61621 31353	9	   	261.24	DCR|4VULN|3DMG	1DMSP|24aDMG|346aVULN|46aBPWR|56aMLV|7RMIN|8RPLT|9RCR
71	12621 63163	10	   	261.24	DCR|4VULN|2DMG|1DUR	14DUST|2456VULN|3LEGI|4BPWR|79DMG|8RCR|aDUR
72	32261 13542	2	 * 	260.23	DCR|3VULN|3DUR|1DMG|1ASPD	17BEXP|279VULN|3ASPD|4LHND|567DUR|7BPWR|8DMG|aRCR
73	63221 48544	8	   	258.68	DCR|3VULN|3DUR|2CDMG|1AART	1DMSP|2MBVNT|347DUR|57CDMG|679VULN|7BPWR|8AART|aRCR
74	32521 63142	8	 * 	258.54	DCR|4VULN|2DUR|1DMG	1BEXP|2456VULN|34LWND|4BPWR|7DMG|8RCR|9aDUR
75	42121 63142	8	   	258.54	DCR|4VULN|2DUR|1DMG	1LHND|2456VULN|34BEXP|4BPWR|7DMG|8RCR|9aDUR
76	42521 22532	9	   	258.54	DCR|4VULN|2DUR|1DMG	1LHND|2457VULN|34LWND|4BPWR|6RCR|8DMG|9aDUR
77	42521 63132	9	   	258.54	DCR|4VULN|2DUR|1DMG	1LHND|2456VULN|34LWND|4BPWR|7DMG|8RCR|9aDUR
78	52321 33423	1	 * 	258.51	ACR|3VULN|2DMG|2DUR|2ASPD|1TLV|1SELL	1SELL|2aASPD|3RCR|4aDMG|568VULN|7TLV|9aDUR|aBPWR
79	25313 22424	6	 * 	258.48	DCR|4VULN|2ASPD|2TLV|1AART	1AART|28ASPD|38TLV|478aVULN|5RMIN|6MBVNT|8BPWR|9RCR
80	25532 22424	6	   	258.48	DCR|4VULN|2ASPD|2TLV|1AART	1AART|28ASPD|3ZMB|48TLV|578aVULN|6MBVNT|8BPWR|9RCR
81	12121 63152	8	   	258.44	DCR|4VULN|2DUR|1DMG	1DUST|2456VULN|34BEXP|4BPWR|7DMG|8RCR|9aDUR
82	12321 63142	8	   	258.44	DCR|4VULN|2DUR|1DMG	1DUST|2456VULN|34LHND|4BPWR|7DMG|8RCR|9aDUR
83	12521 63142	8	   	258.44	DCR|4VULN|2DUR|1DMG	1DUST|2456VULN|34LWND|4BPWR|7DMG|8RCR|9aDUR
84	32121 63143	10	   	258.44	DCR|4VULN|2DUR|1DMG	13BEXP|2569VULN|4aDUR|7DMG|8RCR
85	32621 63142	8	   	258.44	DCR|4VULN|2DUR|1DMG	14BEXP|2456VULN|3LEGI|4BPWR|7DMG|8RCR|9aDUR
86	42321 22532	9	   	258.44	DCR|4VULN|2DUR|1DMG	14LHND|2457VULN|3LEGI|4BPWR|6RCR|8DMG|9aDUR
87	42321 22542	8	   	258.44	DCR|4VULN|2DUR|1DMG	14LHND|2457VULN|3LEGI|4BPWR|6RCR|8DMG|9aDUR
88	42321 63132	9	   	258.44	DCR|4VULN|2DUR|1DMG	14LHND|2456VULN|3LEGI|4BPWR|7DMG|8RCR|9aDUR
89	42321 63142	8	   	258.44	DCR|4VULN|2DUR|1DMG	14LHND|2456VULN|3LEGI|4BPWR|7DMG|8RCR|9aDUR
90	42321 22221	10	   	258.38	DCR|5VULN|1DUR|2LIT	149LHND|24579VULN|3LEGI|49BPWR|6RCR|89LIT|aDUR
91	42321 23621	10	   	258.38	DCR|5VULN|1DUR|2LIT	149LHND|24589VULN|3LEGI|49BPWR|6RCR|79LIT|aDUR
92	61626 11143	4	 * 	258.37	DCR|3VULN|3DMG|2TLV	1DMSP|246DMG|34aVULN|4aBPWR|5MBVNT|7aLHND|8aTLV|9RCR
93	32521 61141	9	   	258.25	DCR|5VULN|1DMG|1ASPD	1BEXP|24569VULN|34LWND|4BPWR|7ASPD|8RCR|aDMG
94	42121 61141	9	   	258.25	DCR|5VULN|1DMG|1ASPD	1LHND|24569VULN|34BEXP|4BPWR|7ASPD|8RCR|aDMG
95	42521 22311	8	   	258.25	DCR|5VULN|1DMG|1ASPD	1LHND|24578VULN|34LWND|4BPWR|6RCR|9ASPD|aDMG
96	42521 22341	9	   	258.25	DCR|5VULN|1DMG|1ASPD	1LHND|24578VULN|34LWND|4BPWR|6RCR|9ASPD|aDMG
97	42521 22511	7	   	258.25	DCR|5VULN|1DMG|1ASPD	1LHND|24578VULN|34LWND|4BPWR|6RCR|9ASPD|aDMG
98	12621 63142	8	   	258.24	DCR|4VULN|2DUR|1DMG	14DUST|2456VULN|3LEGI|4BPWR|7DMG|8RCR|9aDUR
99	12121 61141	9	   	258.15	DCR|5VULN|1DMG|1ASPD	1DUST|24569VULN|34BEXP|4BPWR|7ASPD|8RCR|aDMG
100	12321 61141	9	   	258.15	DCR|5VULN|1DMG|1ASPD	1DUST|24569VULN|34LHND|4BPWR|7ASPD|8RCR|aDMG
101	12521 61141	9	   	258.15	DCR|5VULN|1DMG|1ASPD	1DUST|24569VULN|34LWND|4BPWR|7ASPD|8RCR|aDMG
102	32621 61141	9	   	258.15	DCR|5VULN|1DMG|1ASPD	14BEXP|24569VULN|3LEGI|4BPWR|7ASPD|8RCR|aDMG
103	42321 22511	7	   	258.15	DCR|5VULN|1DMG|1ASPD	14LHND|24578VULN|3LEGI|4BPWR|6RCR|9ASPD|aDMG
104	42321 61141	9	   	258.15	DCR|5VULN|1DMG|1ASPD	14LHND|24569VULN|3LEGI|4BPWR|7ASPD|8RCR|aDMG
105	35533 52133	3	 * 	258.11	DCR|5VULN|2DUR	19aBEXP|2CGEN|3568aVULN|4aDUR|7RCR|aBPWR
106	33553 52133	3	   	258.01	DCR|5VULN|2DUR	19aBEXP|2ERES|3568aVULN|4aDUR|7RCR|aBPWR
107	12621 61141	9	   	257.95	DCR|5VULN|1DMG|1ASPD	14DUST|24569VULN|3LEGI|4BPWR|7ASPD|8RCR|aDMG
108	33553 52123	3	   	257.91	DCR|5VULN|2DUR	1aBEXP|29ERES|3568aVULN|4aDUR|7RCR|aBPWR
109	13553 52123	3	   	257.71	DCR|5VULN|2DUR	1aDUST|29ERES|3568aVULN|4aDUR|7RCR|aBPWR
110	63413 41132	1	   	257.61	DCR|3VULN|2DUR|2TLV|1CDMG|1SELL	1DMSP|29DUR|39TLV|4LIT|5CDMG|6RCR|7SELL|89aVULN|9BPWR
111	42521 22531	10	   	257.60	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2457VULN|34LWND|4BPWR|6RCR|8DMG|9DUR|aCDMG
112	42521 63131	10	   	257.60	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2456VULN|34LWND|4BPWR|7DMG|8RCR|9DUR|aCDMG
113	42321 22531	10	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	14LHND|2457VULN|3LEGI|4BPWR|6RCR|8DMG|9DUR|aCDMG
114	42321 63131	10	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	14LHND|2456VULN|3LEGI|4BPWR|7DMG|8RCR|9DUR|aCDMG
115	51331 33663	8	   	257.26	DCR|4VULN|1DMG|1TLV|1CDMG|1SELL	1SELL|2689VULN|3TLV|4FEWX|5CDMG|7DMG|aRCR
116	53231 33663	8	   	257.26	DCR|4VULN|1DMG|1TLV|1CDMG|1SELL	1SELL|2TLV|3689VULN|4FEWX|5CDMG|7DMG|aRCR
117	61332 12441	6	 * 	257.23	DCR|4VULN|1DMG|2CDMG|1AART	1DMSP|2DMG|3AART|4567VULN|89CDMG|aRCR
118	63451 22426	2	 * 	257.23	DCR|4VULN|3TLV|1DMG|1AART	1DMSP|2MBVNT|358aVULN|458TLV|58BPWR|6RCR|7AART|9DMG
119	32521 52261	6	   	257.08	DCR|5VULN|1DUR|1CDMG	1BEXP|2457aVULN|34LWND|4BPWR|6CDMG|8DUR|9RCR
120	32521 61161	6	   	257.08	DCR|5VULN|1DUR|1CDMG	1BEXP|2456aVULN|34LWND|4BPWR|7DUR|8CDMG|9RCR
121	42121 61161	6	   	257.08	DCR|5VULN|1DUR|1CDMG	1LHND|2456aVULN|34BEXP|4BPWR|7DUR|8CDMG|9RCR
122	32621 61161	6	   	256.98	DCR|5VULN|1DUR|1CDMG	14BEXP|2456aVULN|3LEGI|4BPWR|7DUR|8CDMG|9RCR
123	12321 63145	9	   	256.80	DCR|5VULN|1DMG|1AART	1DUST|24569VULN|34LHND|4BPWR|7DMG|8RCR|aAART
124	32261 13142	2	   	256.41	DCR|3VULN|3DUR|1TLV|1ASPD	17BEXP|279VULN|3ASPD|4LHND|567DUR|7BPWR|8TLV|aRCR
125	42231 53142	1	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	17LHND|2LEGI|3ASPD|457DUR|679VULN|7BPWR|8TLV|aRCR
126	63341 33736	8	   	256.29	DCR|4VULN|2DMG|1ASPD	1DMSP|2MBVNT|38FEWX|4568VULN|78DMG|8BPWR|9ASPD|aRCR
127	61332 62314	4	   	256.23	DCR|3VULN|2DMG|2AART|1DUR	1DMSP|29DMG|35AART|467VULN|8DUR|aRCR
128	32261 62532	10	   	256.19	DCR|4VULN|2DMG|1ASPD	1BEXP|2579VULN|38DMG|4ASPD|6LWND|aRCR
129	61413 24113	9	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1DMSP|29DMG|3RPLT|4TLV|579DUR|6MBVNT|89VULN|9BPWR|aRCR
130	23461 13522	10	   	256.04	DCR|3VULN|3DMG|2AART	18AART|279FEWX|3BELT|479DMG|579VULN|6RCVC|79BPWR|aRCR
131	63451 23336	2	 * 	255.76	DCR|3VULN|2DUR|2TLV|2CDMG	1DMSP|2MBVNT|35aVULN|45TLV|5aBPWR|6RCR|7BBNT|8aCDMG|9aDUR
132	61221 12663	9	   	255.73	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	1DMSP|29aDMG|3aDUR|4MLV|5CDMG|6SELL|7aVULN|8RCR|aBPWR
133	53611 15323	4	 * 	255.71	DCR|3VULN|2DUR|2TLV|1DMG|1SELL	1SELL|2aTLV|3DMG|45aVULN|6CGEN|7RCR|8LWND|9aDUR|aBPWR
