0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35623 18411	4	 * 	307.44	DCR|3VULN|3DMG|2DUR|1TLV|1CDMG	139DMG|239VULN|39BPWR|4LIT|5CDMG|6MBVNT|79DUR|8RCR|aTLV
22	32662 21341	10	 * 	291.98	DCR|4VULN|3DMG|2DUR	137DMG|23LHND|37BPWR|4RPLT|578aVULN|67DUR|9RCR
23	33661 11341	10	   	291.98	DCR|4VULN|3DMG|2DUR	137DMG|23DUR|37BPWR|4RPLT|57LWND|678aVULN|9RCR
24	33662 31341	10	   	291.98	DCR|4VULN|3DMG|2DUR	137DMG|23DUR|37BPWR|4RPLT|578aVULN|67FEWX|9RCR
25	35234 11613	2	   	291.69	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3TLV|4CDMG|568ASPD|68BPWR|7RCR|9TBNT|aLIT
26	35326 28413	2	   	291.69	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DMG|239VULN|4MBVNT|5CDMG|6LIT|79DUR|8RCR|9BPWR|aTLV
27	35623 18412	4	   	291.19	DCR|3VULN|3DMG|2DUR|1CDMG	139DMG|239VULN|39BPWR|4LIT|5CDMG|6MBVNT|79DUR|8RCR|aFEWX
28	35623 18414	4	   	291.19	DCR|3VULN|3DMG|2DUR|1CDMG	139DMG|239VULN|39BPWR|4LIT|5CDMG|6MBVNT|79DUR|8RCR|aCGEN
29	35623 18413	4	   	291.09	DCR|3VULN|3DMG|2DUR|1CDMG	139DMG|239VULN|39BPWR|4LIT|5CDMG|6MBVNT|79DUR|8RCR|aERES
30	35632 23211	8	 * 	290.82	DCR|3VULN|3DMG|2ASPD|1TLV|2LIT	136DMG|239VULN|39BPWR|49ASPD|5LHND|7TLV|89LIT|aRCR
31	35632 23221	9	   	290.82	DCR|3VULN|3DMG|2ASPD|1TLV|2LIT	136DMG|239VULN|39BPWR|49ASPD|5LHND|7TLV|89LIT|aRCR
32	35636 23211	8	   	290.82	DCR|3VULN|3DMG|2ASPD|1TLV|2LIT	136DMG|239VULN|39BPWR|49ASPD|5LWND|7TLV|89LIT|aRCR
33	35636 23221	9	   	290.82	DCR|3VULN|3DMG|2ASPD|1TLV|2LIT	136DMG|239VULN|39BPWR|49ASPD|5LWND|7TLV|89LIT|aRCR
34	35634 32123	4	 * 	290.45	DCR|3VULN|3DMG|2DUR|2ASPD	13aDMG|23aVULN|3aBPWR|48ASPD|5TBNT|6BEXP|7aDUR|9RCR
35	35611 26212	9	   	290.25	DCR|5VULN|3DMG	136DMG|2356aVULN|36BPWR|4AART|7RMIN|8DMSP|9RCR
36	35611 25312	9	   	290.15	DCR|5VULN|3DMG	136DMG|2356aVULN|36BPWR|4AART|7ERES|8DMSP|9RCR
37	35635 22112	3	   	289.65	DCR|4VULN|3DMG|2LIT|1CDMG	137DMG|2379VULN|379BPWR|49DUST|5CDMG|67LIT|89ZMB|aRCR
38	33624 52213	4	   	288.61	DCR|2VULN|3DMG|3DUR|1CDMG|1ASPD	137DMG|237DUR|37BPWR|4LIT|5CDMG|67VULN|8RCVC|9ASPD|aRCR
39	35613 61311	8	   	287.30	DCR|3VULN|3DMG|2DUR	138DMG|238VULN|38BPWR|4AART|5LHND|6LIT|78DUR|9BEXP|aRCR
40	35613 61332	8	   	287.30	DCR|3VULN|3DMG|2DUR	138DMG|238VULN|38BPWR|4AART|5LHND|6LIT|78DUR|9RMIN|aRCR
41	31312 35413	2	   	287.25	DCR|4VULN|3DMG|3CDMG	178DMG|269BEXP|3578VULN|478CDMG|78BPWR|aRCR
42	31612 35413	3	   	287.25	DCR|4VULN|3DMG|3CDMG	178DMG|269BEXP|3578VULN|478CDMG|78BPWR|aRCR
43	31312 35433	2	   	287.25	DCR|4VULN|3DMG|3CDMG	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aMLV
44	31312 35435	2	   	287.25	DCR|4VULN|3DMG|3CDMG	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aZMB
45	31612 35433	3	   	287.25	DCR|4VULN|3DMG|3CDMG	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aMLV
46	35234 11633	2	   	287.20	DCR|3VULN|2DMG|3ASPD|2TLV|1CDMG	18DMG|268VULN|39TLV|4CDMG|568ASPD|68BPWR|7RCR|aLWND
47	31312 35434	2	   	287.15	DCR|4VULN|3DMG|3CDMG	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aERES
48	31312 35436	2	   	287.15	DCR|4VULN|3DMG|3CDMG	178DMG|26BEXP|3578VULN|478CDMG|78BPWR|9RCR|aDUST
49	35662 22113	4	   	287.00	DCR|4VULN|3DMG|2LIT|1ASPD	137DMG|2357VULN|37BPWR|4RPLT|67LIT|8RCR|9RMIN|aASPD
50	35662 22113	5	   	287.00	DCR|4VULN|3DMG|2LIT|1ASPD	137DMG|2357VULN|37BPWR|4RPLT|67LIT|8RCR|9RMIN|aASPD
51	35662 22123	5	   	287.00	DCR|4VULN|3DMG|2LIT|1ASPD	137DMG|2357VULN|37BPWR|4RPLT|67LIT|8RCR|9CGEN|aASPD
52	35662 22123	4	   	287.00	DCR|4VULN|3DMG|2LIT|1ASPD	137DMG|2357VULN|37BPWR|4RPLT|67LIT|8RCR|9CGEN|aASPD
53	35621 36323	8	   	286.06	DCR|4VULN|2DMG|1DUR|2LIT	13DMG|2356VULN|3BPWR|4aLIT|7DUR|8RCR|9AART
54	41623 35222	3	   	285.79	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	14DUR|2347VULN|4BPWR|5MLV|6TLV|8DMG|9ASPD|aRCR
55	33662 31231	10	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	137DMG|23DUR|37BPWR|4RPLT|579VULN|67FEWX|8TLV|aRCR
56	33661 11252	9	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	137DMG|23DUR|37BPWR|4RPLT|57LWND|67aVULN|8TLV|9RCR
57	35611 35331	5	   	284.85	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2359VULN|3BPWR|4AART|6LHND|7CDMG|8RCR|aDUR
58	35611 52331	6	   	284.85	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2359VULN|3BPWR|4AART|6CDMG|7LWND|8RCR|aDUR
59	35611 53331	7	   	284.85	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2359VULN|3BPWR|4AART|6CDMG|7LWND|8RCR|aDUR
60	35611 35331	6	   	284.75	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2359VULN|3BPWR|4AART|6DUST|7CDMG|8RCR|aDUR
61	35611 52331	7	   	284.75	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2359VULN|3BPWR|4AART|6CDMG|7LEGI|8RCR|aDUR
62	35611 53331	6	   	284.75	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2359VULN|3BPWR|4AART|6CDMG|7LEGI|8RCR|aDUR
63	33611 61135	7	   	284.68	DCR|3VULN|3DUR|2DMG	13DMG|237DUR|3BPWR|4AART|589VULN|6LIT|aRCR
64	35621 32316	10	   	284.33	DCR|4VULN|2DMG|2DUR	13DMG|2356VULN|3BPWR|4LIT|7DUST|8RCR|9aDUR
65	35621 36311	9	   	284.33	DCR|4VULN|2DMG|2DUR	13DMG|2356VULN|3BPWR|4LIT|79DUR|8RCR|aLEGI
66	35621 36311	10	   	284.33	DCR|4VULN|2DMG|2DUR	13DMG|2356VULN|3BPWR|4LIT|79DUR|8RCR|aERES
67	35621 36312	9	   	284.33	DCR|4VULN|2DMG|2DUR	13DMG|2356VULN|3BPWR|4LIT|79DUR|8RCR|aBBNT
68	35631 31311	4	   	284.07	DCR|3VULN|3DMG|2ASPD|1DUR	138DMG|239VULN|39BPWR|49ASPD|5LIT|6DUR|79ERES|aRCR
69	35621 32314	8	   	284.04	DCR|5VULN|2DMG|1ASPD	13DMG|2356aVULN|3BPWR|4LIT|7DUST|8RCR|9ASPD
70	35621 36333	8	   	283.50	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9DMSP|aCDMG
71	35234 11623	2	   	283.48	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3TLV|4CDMG|568ASPD|68BPWR|7RCR|9ZMB|aFEWX
72	35234 15222	2	   	283.48	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	17DMG|267VULN|3TLV|4CDMG|567ASPD|67BPWR|8MLV|9BELT|aRCR
73	35134 11631	2	   	283.48	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3CGEN|4CDMG|568ASPD|68BPWR|7RCR|9TLV|aDMSP
74	35134 11632	2	   	283.48	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3CGEN|4CDMG|568ASPD|68BPWR|7RCR|9TLV|aBEXP
75	35134 11633	2	   	283.48	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3CGEN|4CDMG|568ASPD|68BPWR|7RCR|9TLV|aFEWX
76	35623 18424	4	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|239aVULN|3BPWR|4LIT|5CDMG|6MBVNT|7DUR|8RCR
77	35621 32353	8	   	283.40	DCR|4VULN|2DMG|1TLV|1CDMG	13DMG|2356VULN|3BPWR|4LIT|7DUST|8RCR|9CDMG|aTLV
78	35234 11611	2	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3TLV|4CDMG|568ASPD|68BPWR|7RCR|9TBNT|aFEWX
79	35234 11621	2	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3TLV|4CDMG|568ASPD|68BPWR|7RCR|9ZMB|aLEGI
80	35234 11622	2	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3TLV|4CDMG|568ASPD|68BPWR|7RCR|9ZMB|aERES
81	34323 23524	3	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	18DMG|24ERES|348VULN|48BPWR|5MLV|6TLV|78DUR|9CDMG|aRCR
82	35334 11631	3	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3ERES|4CDMG|568ASPD|68BPWR|7RCR|9TLV|aDMSP
83	35334 11632	3	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3ERES|4CDMG|568ASPD|68BPWR|7RCR|9TLV|aBEXP
84	35334 11633	3	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|268VULN|3ERES|4CDMG|568ASPD|68BPWR|7RCR|9TLV|aFEWX
85	33661 61212	9	   	282.91	DCR|2VULN|3DMG|3DUR|1TLV|1ASPD	139DMG|239DUR|39BPWR|4RPLT|5LWND|6TLV|7RCR|89VULN|aASPD
86	41626 33224	3	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|234VULN|4BPWR|5aDMG|6TLV|8MBVNT|9RCR
87	35621 32326	8	   	282.70	DCR|5VULN|2DMG	13DMG|2356aVULN|3BPWR|4LIT|7DUST|8RCR|9AART
88	32662 21342	10	   	282.56	DCR|3VULN|3DMG|3DUR	137DMG|23LHND|37BPWR|4RPLT|578VULN|67aDUR|9RCR
89	33661 11342	10	   	282.56	DCR|3VULN|3DMG|3DUR	137DMG|23aDUR|37BPWR|4RPLT|57LWND|678VULN|9RCR
90	33662 31342	10	   	282.56	DCR|3VULN|3DMG|3DUR	137DMG|23aDUR|37BPWR|4RPLT|578VULN|67FEWX|9RCR
91	33661 21214	9	   	282.56	DCR|3VULN|3DMG|3DUR	139DMG|239DUR|39BPWR|4RPLT|5LWND|6MLV|7RCR|89aVULN
92	32221 35614	8	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	17aDMG|2LHND|3SELL|4RMIN|57aVULN|67aDUR|7aBPWR|8RCR|9BBNT
93	33624 46235	3	   	282.12	DCR|3VULN|3DMG|3DUR|1SELL	135DMG|235DUR|35aBPWR|4MBVNT|6SELL|79aVULN|8RCR
94	33624 46253	3	   	282.12	DCR|3VULN|3DMG|3DUR|1SELL	135DMG|235DUR|359BPWR|4MBVNT|6SELL|79aVULN|8RCR
95	35622 36313	9	   	281.99	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	13DMG|236VULN|3BPWR|47LIT|59DUR|8RCR|aCDMG
96	35621 31613	9	   	281.40	DCR|4VULN|2DMG|3LIT|1DUR	13DMG|2356VULN|3BPWR|478LIT|9RCR|aDUR
97	35621 34313	10	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7BEXP|8RCR|9DUR|aASPD
98	35621 36311	8	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9ASPD|aLHND
99	35621 36313	8	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9ASPD|aRCVC
100	35621 36323	10	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9CGEN|aASPD
101	35621 36333	10	   	280.85	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9BEXP|aASPD
102	35623 22313	3	   	280.76	DCR|4VULN|3DMG|3LIT|1SELL	137DMG|2379VULN|379BPWR|4MBVNT|5SELL|679LIT|8DMSP|aRCR
103	35621 32313	10	   	280.75	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7DUST|8RCR|9DUR|aASPD
104	35621 35313	10	   	280.75	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7LEGI|8RCR|9DUR|aASPD
105	35621 36312	8	   	280.75	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9ASPD|aDUST
106	33661 61212	10	   	280.21	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|239DUR|39BPWR|4RPLT|5LWND|6TLV|7RCR|89VULN|aLIT
107	35621 34321	8	   	279.51	DCR|4VULN|2DMG|1DUR	13DMG|2356VULN|3BPWR|4LIT|7BEXP|8RCR|9AART|aDUR
108	35621 32321	8	   	279.41	DCR|4VULN|2DMG|1DUR	13DMG|2356VULN|3BPWR|4LIT|7DUST|8RCR|9AART|aDUR
109	35621 35321	8	   	279.41	DCR|4VULN|2DMG|1DUR	13DMG|2356VULN|3BPWR|4LIT|7LEGI|8RCR|9AART|aDUR
110	35621 36322	8	   	279.41	DCR|4VULN|2DMG|1DUR	13DMG|2356VULN|3BPWR|4LIT|7DUR|8RCR|9AART|aLEGI
111	35624 21343	6	   	279.41	DCR|4VULN|2DMG|1TLV	13DMG|2379VULN|3BPWR|4LIT|5TLV|6AART|8MBVNT|aRCR
112	33611 36532	9	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|23DUR|3BPWR|4AART|59aVULN|6LWND|7RCR|8TLV
113	33621 36314	8	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	13DMG|23DUR|3BPWR|47LIT|56aVULN|8RCR|9ASPD
114	35622 36312	10	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	13DMG|236VULN|3BPWR|47LIT|59DUR|8RCR|aASPD
115	36662 21323	9	 * 	279.12	ACR|5VULN|3DMG|2DUR	137DMG|2RCR|37BPWR|4RPLT|5789aVULN|67DUR
116	35611 21133	7	   	279.01	DCR|4VULN|3DMG	136DMG|2356VULN|36BPWR|4AART|7RCVC|8LIT|9BELT|aRCR
117	35612 21325	6	   	279.00	DCR|3VULN|3DMG|2DUR	137DMG|237VULN|37BPWR|4AART|57DUR|6BELT|8FEWX|9RMIN|aRCR
118	35611 26244	6	   	278.91	DCR|4VULN|3DMG	136DMG|2356VULN|36BPWR|4AART|7LIT|8MBVNT|9LWND|aRCR
119	35612 21225	6	   	278.90	DCR|3VULN|3DMG|2DUR	137DMG|237VULN|37BPWR|4AART|57DUR|6BELT|8DUST|9RMIN|aRCR
120	35612 36112	10	   	278.90	DCR|3VULN|3DMG|2DUR	139DMG|23aVULN|3aBPWR|4AART|5aDUR|6aLWND|7RCR|8LEGI
121	35611 26214	6	   	278.81	DCR|4VULN|3DMG	136DMG|2356VULN|36BPWR|4AART|7LIT|8MBVNT|9DUST|aRCR
122	35611 25211	9	   	278.38	DCR|4VULN|3DMG|2AART	136DMG|2356VULN|36BPWR|48AART|7ERES|9RCR|aFEWX
123	35611 25212	10	   	278.38	DCR|4VULN|3DMG|2AART	136DMG|2356VULN|36BPWR|48AART|7ERES|9RCR|aMLV
124	35611 25213	10	   	278.38	DCR|4VULN|3DMG|2AART	136DMG|2356VULN|36BPWR|48AART|7ERES|9RCR|aDMSP
125	35611 25211	10	   	278.28	DCR|4VULN|3DMG|2AART	136DMG|2356VULN|36BPWR|48AART|7ERES|9RCR|aDUST
126	35611 25213	9	   	278.28	DCR|4VULN|3DMG|2AART	136DMG|2356VULN|36BPWR|48AART|7ERES|9RCR|aDUST
127	33621 36326	8	   	278.00	DCR|3VULN|2DMG|2DUR|2LIT	13DMG|23DUR|3BPWR|47LIT|56aVULN|8RCR|9AART
128	35622 36321	8	   	278.00	DCR|3VULN|2DMG|2DUR|2LIT	13DMG|236VULN|3BPWR|47LIT|5aDUR|8RCR|9AART
129	21413 53613	1	   	277.93	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	178ZMB|29LIT|379DUR|4DMG|5CDMG|679VULN|79BPWR|aRCR
130	35235 36313	7	   	277.90	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	19DMG|289VULN|3SELL|4LIT|5BEXP|69DUR|7RCR|9BPWR|aTLV
131	32662 21343	9	   	277.64	DCR|3VULN|3DMG|2DUR	137DMG|23LHND|37BPWR|4RPLT|578VULN|67DUR|9RCR|aLIT
132	33661 11343	9	   	277.64	DCR|3VULN|3DMG|2DUR	137DMG|23DUR|37BPWR|4RPLT|57LWND|678VULN|9RCR|aLIT
133	33662 31343	9	   	277.64	DCR|3VULN|3DMG|2DUR	137DMG|23DUR|37BPWR|4RPLT|578VULN|67FEWX|9RCR|aLIT
134	33621 53533	9	   	277.61	DCR|2VULN|3DMG|3DUR|1CDMG	138DMG|236DUR|38BPWR|4LIT|58VULN|78ZMB|9CDMG|aRCR
135	35234 31633	2	   	277.48	DCR|3VULN|2DMG|2ASPD|2TLV|1CDMG	18DMG|28aVULN|36TLV|4CDMG|58ASPD|7RCR|8BPWR|9TBNT
