0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61261 33233	3	 * 	279.54	DCR|5VULN|1DMG|1TLV|1DUR	13ERES|23478VULN|3BPWR|5DMG|6TLV|9RCR|aDUR
42	11143 63111	10	   	260.84	DCR|4VULN|3DMG	15BEXP|2DUST|378aVULN|459DMG|5BPWR|6RCR
43	61261 32413	3	   	260.00	DCR|4VULN|1DMG|1DUR|1TLV	13ERES|2348VULN|3BPWR|5DMG|6TLV|7LWND|9DUR|aRCR
44	61261 33351	3	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	13ERES|2347VULN|3BPWR|5DMG|6TLV|8DUR|9BELT|aRCR
45	25224 14113	1	 * 	258.67	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	18ASPD|28CDMG|3DUR|4CGEN|5TBNT|678VULN|8BPWR|9TLV|aRCR
46	31242 43151	10	   	258.54	DCR|4VULN|2DUR|1DMG	13CGEN|2369VULN|3BPWR|4RPLT|5DMG|7RCR|8aDUR
47	31242 43151	9	   	257.60	DCR|4VULN|1DMG|1DUR|1CDMG	13CGEN|2369VULN|3BPWR|4RPLT|5DMG|7RCR|8DUR|aCDMG
48	22111 55153	10	 * 	257.41	DCR|2VULN|2DMG|3ASPD|2DUR	179ASPD|2LHND|39DUR|4CGEN|58VULN|69DMG|9BPWR|aRCR
49	26213 21652	7	 * 	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2RCVC|3BELT|4LWND|57DUR|679VULN|7BPWR|8DMG|aRCR
50	21315 25316	4	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	18ASPD|2ERES|38aVULN|4LHND|5ZMB|6RCR|78DUR|8BPWR|9DMG
51	26266 11122	9	 * 	257.11	DCR|3VULN|2DUR|2ASPD|2CDMG	1aASPD|2RCVC|3BELT|46CDMG|5aDUR|7RCR|89aVULN|aBPWR
52	11142 53233	9	   	256.70	DCR|5VULN|1DMG|1AART	1BEXP|2DUST|3789aVULN|4DMG|5AART|6RCR
53	11142 53234	10	   	256.70	DCR|5VULN|1DMG|1AART	1BEXP|2DUST|3789aVULN|4DMG|5AART|6RCR
54	55342 13211	9	   	256.60	DCR|3VULN|2DUR|1TLV|2LIT|1AART	14LIT|2AART|34aVULN|4BPWR|5CGEN|67DUR|8TLV|9RCR
55	31242 42124	6	   	256.39	DCR|4VULN|2DMG|1ASPD	138CGEN|2368VULN|38BPWR|4RPLT|58DMG|7TBNT|9ASPD|aRCR
56	31251 23124	3	   	256.39	DCR|4VULN|2DMG|1ASPD	138CGEN|2368VULN|38BPWR|4TBNT|5RPLT|78DMG|9ASPD|aRCR
57	31261 12124	3	   	256.39	DCR|4VULN|2DMG|1ASPD	138CGEN|2348VULN|38BPWR|58DMG|6RPLT|7TBNT|9ASPD|aRCR
58	31261 16124	3	   	256.39	DCR|4VULN|2DMG|1ASPD	138CGEN|2348VULN|38BPWR|58DMG|6RPLT|7BBNT|9ASPD|aRCR
59	11143 63161	10	   	256.19	DCR|4VULN|2DMG|1ASPD	15BEXP|2DUST|378aVULN|45DMG|5BPWR|6RCR|9ASPD
60	31123 54321	8	 * 	256.15	DCR|2VULN|3DUR|2DMG|1TLV	17CGEN|27VULN|38aDUR|4TLV|5BELT|67DMG|7BPWR|9RCR
61	61255 11112	3	   	255.99	DCR|4VULN|2DMG|1ASPD	13ERES|2357VULN|3BPWR|4TBNT|69DMG|8ASPD|aRCR
62	31242 43511	8	   	255.55	DCR|5VULN|1DMG	13CGEN|23689VULN|3BPWR|4RPLT|5DMG|7RCR|aLIT
63	31242 41161	5	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8LWND|9DUR|aTLV
64	31123 54152	8	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	17CGEN|279VULN|3DUR|4TLV|5BELT|67DMG|7BPWR|8ERES|aRCR
65	31222 43155	10	   	254.96	DCR|4VULN|1DMG|1DUR|1ASPD	13CGEN|2369VULN|3BPWR|4ASPD|5RPLT|7RCR|8DUR|aDMG
66	31242 43533	8	   	254.96	DCR|4VULN|1DMG|1TLV|1ASPD	13CGEN|2368VULN|3BPWR|4RPLT|5DMG|7RCR|9ASPD|aTLV
67	11143 63153	9	   	254.85	DCR|4VULN|2DMG|1AART	15BEXP|2DUST|378aVULN|45DMG|5BPWR|6RCR|9AART
68	11143 63333	9	   	254.85	DCR|4VULN|2DMG|1AART	15BEXP|2DUST|379aVULN|45DMG|5BPWR|6RCR|8AART
69	11143 63334	10	   	254.85	DCR|4VULN|2DMG|1AART	15BEXP|2DUST|379aVULN|45DMG|5BPWR|6RCR|8AART
70	61221 11413	9	   	254.66	DCR|4VULN|1DMG|1TLV|1ASPD	135ERES|2369VULN|3BPWR|4ASPD|7TLV|8RCR|aDMG
71	11143 63512	10	   	254.65	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9CGEN|aDUR
72	11143 63512	9	   	254.65	DCR|3VULN|3DMG|1TLV	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9CGEN|aTLV
73	11143 63522	10	   	254.65	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9ZMB|aDUR
74	11143 63522	9	   	254.65	DCR|3VULN|3DMG|1TLV	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9ZMB|aTLV
75	31121 12144	7	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2569VULN|37DUR|4TLV|8MLV|aRCR
76	31121 12544	8	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2569VULN|37DUR|4TLV|8MLV|aRCR
77	31121 13114	7	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2567VULN|39DUR|4TLV|8MLV|aRCR
78	31121 13114	6	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2567VULN|39DUR|4TLV|8MLV|aRCR
79	31121 13514	8	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2567VULN|39DUR|4TLV|8MLV|aRCR
80	15111 23144	1	   	254.62	DCR|4VULN|2DUR|1TLV	1BEXP|2RCVC|3579VULN|46DUR|8TLV|aRCR
81	31121 23144	4	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2579VULN|36DUR|4TLV|8MLV|aRCR
82	31121 23144	5	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2579VULN|36DUR|4TLV|8MLV|aRCR
83	31121 63144	6	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2579VULN|36DUR|4TLV|8MLV|aRCR
84	31121 63144	7	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2579VULN|36DUR|4TLV|8MLV|aRCR
85	11143 63531	8	   	254.55	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9DUR|aMBVNT
86	11143 63531	10	   	254.55	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9LEGI|aDUR
87	11143 63533	9	   	254.55	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9LEGI|aDUR
88	11143 65111	9	   	254.55	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|38aVULN|458DMG|58BPWR|6RCR|7MBVNT|9DUR
89	11143 65131	10	   	254.55	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|389VULN|458DMG|58BPWR|6RCR|7MBVNT|aDUR
90	11143 65133	9	   	254.55	DCR|3VULN|3DMG|1DUR	158BEXP|2DUST|389VULN|458DMG|58BPWR|6RCR|7MBVNT|aDUR
91	31121 15314	8	   	254.52	DCR|4VULN|2DUR|1TLV	1CGEN|2568VULN|39DUR|4TLV|7ERES|aRCR
92	31121 15414	6	   	254.52	DCR|4VULN|2DUR|1TLV	1CGEN|2568VULN|39DUR|4TLV|7ERES|aRCR
93	31121 15414	7	   	254.52	DCR|4VULN|2DUR|1TLV	1CGEN|2568VULN|39DUR|4TLV|7ERES|aRCR
94	11143 63114	10	   	254.45	DCR|3VULN|3DMG|1DUR	15BEXP|2DUST|378VULN|459DMG|5BPWR|6RCR|aDUR
95	31222 43153	10	   	254.43	DCR|5VULN|1DUR|1ASPD	13CGEN|2369aVULN|3BPWR|4ASPD|5RPLT|7RCR|8DUR
96	61221 11463	6	 * 	254.42	DCR|4VULN|3ASPD|1TLV	135ERES|2369VULN|39BPWR|479ASPD|8RCR|aTLV
97	21324 33231	5	   	254.13	DCR|5VULN|1TLV|1ASPD	1ASPD|2ERES|34578VULN|6TLV|9RCR|aDUST
98	21324 33234	5	   	254.13	DCR|5VULN|1TLV|1ASPD	1ASPD|2ERES|34578VULN|6TLV|9RCR|aBBNT
99	21324 33236	5	   	254.13	DCR|5VULN|1TLV|1ASPD	1ASPD|2aERES|34578VULN|6TLV|9RCR
100	61221 11415	9	   	254.13	DCR|5VULN|1TLV|1ASPD	135ERES|2369aVULN|3BPWR|4ASPD|7TLV|8RCR
101	61224 33231	5	   	254.13	DCR|5VULN|1TLV|1ASPD	13ERES|23578VULN|3BPWR|4ASPD|6TLV|9RCR|aDUST
102	61224 33234	5	   	254.13	DCR|5VULN|1TLV|1ASPD	13ERES|23578VULN|3BPWR|4ASPD|6TLV|9RCR|aBBNT
103	61224 33236	5	   	254.13	DCR|5VULN|1TLV|1ASPD	13aERES|23578VULN|3BPWR|4ASPD|6TLV|9RCR
104	31123 54323	8	   	253.93	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	17CGEN|27VULN|38DUR|4TLV|5BELT|67DMG|7BPWR|9RCR|aASPD
105	31123 54352	8	   	253.93	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	17CGEN|27VULN|38DUR|4TLV|5BELT|67DMG|7BPWR|9ASPD|aRCR
106	31123 54352	9	   	253.93	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	17CGEN|27VULN|38DUR|4TLV|5BELT|67DMG|7BPWR|9ASPD|aRCR
107	31242 41252	5	   	253.70	DCR|4VULN|2DMG	13CGEN|2369VULN|36BPWR|4RPLT|56DMG|7RCR|8LIT|aLWND
108	31242 41253	5	   	253.70	DCR|4VULN|2DMG	13aCGEN|2369VULN|36BPWR|4RPLT|56DMG|7RCR|8LIT
109	31242 41251	5	   	253.45	DCR|4VULN|2DMG|1SELL	13CGEN|2369VULN|36BPWR|4RPLT|56DMG|7RCR|8LIT|aSELL
110	11142 53231	9	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1BEXP|2DUST|3789VULN|4DMG|5AART|6RCR|aDUR
111	11142 53233	8	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1BEXP|2DUST|378aVULN|4DMG|5AART|6RCR|9DUR
112	11142 53235	10	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1BEXP|2DUST|3789VULN|4DMG|5AART|6RCR|aDUR
113	53113 41331	1	   	253.40	DCR|4VULN|2DMG|1NUKE	1LIT|2RMIN|3NUKE|48DMG|567aVULN|9RCR
114	53113 41331	2	   	253.40	DCR|4VULN|2DMG|1NUKE	1LIT|2ZMB|3NUKE|48DMG|567aVULN|9RCR
115	16211 56113	9	 * 	253.38	DCR|3VULN|2DMG|2DUR	1BEXP|2LWND|34DUR|578VULN|69DMG|aRCR
116	11143 23631	7	   	253.38	DCR|3VULN|2DMG|2DUR	15BEXP|2DUST|367VULN|45DMG|5BPWR|8aDUR|9RCR
117	11143 23631	6	   	253.38	DCR|3VULN|2DMG|2DUR	15BEXP|2DUST|367VULN|45DMG|5BPWR|8aDUR|9RCR
118	11143 24131	8	   	253.38	DCR|3VULN|2DMG|2DUR	15BEXP|2DUST|368VULN|45DMG|5BPWR|7aDUR|9RCR
119	61113 54221	8	   	253.38	DCR|3VULN|2DMG|2DUR	17ERES|278VULN|3aDUR|4CGEN|5BELT|67DMG|7BPWR|9RCR
120	55323 23263	5	   	253.37	DCR|4VULN|2ASPD|2LIT|1AART	1aLIT|2AART|368aVULN|4aASPD|5RMIN|7BBNT|9RCR|aBPWR
121	54311 22144	2	   	253.36	DCR|4VULN|1DMG|2LIT|1ASPD	12LIT|2BPWR|379aVULN|4DMG|5ASPD|6MBVNT|8RCR
122	55311 22144	1	   	253.36	DCR|4VULN|1DMG|2LIT|1ASPD	12LIT|379aVULN|4DMG|5ASPD|6MBVNT|8RCR
123	32268 51434	1	   	253.14	DCR|3VULN|2DMG|2DUR|1SELL	1CGEN|2MBVNT|3SELL|46DMG|56aVULN|6BPWR|7RCR|89DUR
124	21324 44113	4	   	252.95	DCR|3VULN|2DUR|2ASPD|1TLV|1SELL	18ASPD|2ERES|348VULN|5BBNT|68DUR|7SELL|8BPWR|9TLV|aRCR
125	31224 32411	9	   	252.86	DCR|4VULN|1DUR|1ASPD|1AART	13CGEN|235aVULN|3BPWR|4ASPD|6DUR|7AART|8LIT|9RCR
126	31226 12411	9	   	252.86	DCR|4VULN|1DUR|1ASPD|1AART	13CGEN|236aVULN|3BPWR|4ASPD|5DUR|7AART|8LIT|9RCR
127	31131 12411	9	   	252.76	DCR|4VULN|1DUR|1ASPD|1AART	1CGEN|256aVULN|3DUR|4ASPD|7AART|8LIT|9RCR
128	21324 32411	9	   	252.66	DCR|4VULN|1DUR|1ASPD|1AART	1ASPD|2ERES|345aVULN|6DUR|7AART|8LIT|9RCR
129	21326 12411	9	   	252.66	DCR|4VULN|1DUR|1ASPD|1AART	1ASPD|2ERES|346aVULN|5DUR|7AART|8LIT|9RCR
130	61224 32411	9	   	252.66	DCR|4VULN|1DUR|1ASPD|1AART	13ERES|235aVULN|3BPWR|4ASPD|6DUR|7AART|8LIT|9RCR
131	61226 12411	9	   	252.66	DCR|4VULN|1DUR|1ASPD|1AART	13ERES|236aVULN|3BPWR|4ASPD|5DUR|7AART|8LIT|9RCR
132	31242 41531	5	   	252.65	DCR|3VULN|2DMG|1TLV|1CDMG	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8TLV|9ZMB|aCDMG
133	31242 34113	10	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	13CGEN|238VULN|3BPWR|4RPLT|59DMG|6CDMG|7DUR|aRCR
134	61242 34113	10	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	13ERES|238VULN|3BPWR|4RPLT|59DMG|6CDMG|7DUR|aRCR
135	31242 43152	9	   	252.26	DCR|4VULN|1DMG|1DUR	13CGEN|2369VULN|3BPWR|4RPLT|5DMG|7RCR|8DUR|aLIT
136	31242 43152	10	   	252.26	DCR|4VULN|1DMG|1DUR	13CGEN|2369VULN|3BPWR|4RPLT|5DMG|7RCR|8DUR|aLIT
137	31261 31414	3	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	137CGEN|234VULN|3BPWR|5DMG|6TLV|89DUR|aRCR
138	31121 12651	6	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3aDUR|4TLV|7LWND|8DMG|9RCR
139	31121 14651	7	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3aDUR|4TLV|7LWND|8DMG|9RCR
140	31121 16651	6	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3aDUR|4TLV|7BEXP|8DMG|9RCR
141	32121 56151	8	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|2LHND|3aDUR|4TLV|578VULN|6DMG|9RCR
142	11143 63533	10	   	251.95	DCR|3VULN|3DMG|1CDMG	158BEXP|2DUST|378VULN|458DMG|58BPWR|6RCR|9LEGI|aCDMG
143	11143 65133	10	   	251.95	DCR|3VULN|3DMG|1CDMG	158BEXP|2DUST|389VULN|458DMG|58BPWR|6RCR|7MBVNT|aCDMG
144	31242 41352	5	   	251.95	DCR|3VULN|3DMG|1CDMG	13CGEN|236VULN|36BPWR|4RPLT|569DMG|7RCR|8BBNT|aCDMG
145	31121 11631	7	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3aDUR|4TLV|7DUST|8DMG|9RCR
146	31121 14651	6	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3aDUR|4TLV|7LEGI|8DMG|9RCR
147	61213 22651	7	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	13ERES|236VULN|3BPWR|4LHND|5aDUR|7TLV|8DMG|9RCR
148	61361 33314	3	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1ERES|247VULN|3RCVC|5DMG|6TLV|89DUR|aRCR
149	11143 63112	10	   	251.85	DCR|3VULN|3DMG|1CDMG	15BEXP|2DUST|378VULN|459DMG|5BPWR|6RCR|aCDMG
150	61361 33314	2	   	251.85	DCR|3VULN|2DUR|1DMG|1TLV	13ERES|247VULN|5DMG|6TLV|89DUR|aRCR
151	55343 21123	7	   	251.60	DCR|5VULN|2LIT|1AART	14LIT|2AART|34569VULN|4BPWR|7CGEN|8DUST|aRCR
152	55343 21123	8	   	251.60	DCR|5VULN|2LIT|1AART	14LIT|2AART|34569VULN|4BPWR|7CGEN|8DUST|aRCR
153	55343 22123	7	   	251.60	DCR|5VULN|2LIT|1AART	14LIT|2AART|34569VULN|4BPWR|7RMIN|8DUST|aRCR
154	55343 22123	8	   	251.60	DCR|5VULN|2LIT|1AART	14LIT|2AART|34569VULN|4BPWR|7RMIN|8DUST|aRCR
155	11121 23415	3	   	251.53	DCR|5VULN|1TLV	1BEXP|2DUST|34567VULN|8TLV|9LIT|aRCR
156	11121 26246	3	   	251.53	DCR|5VULN|1DUR	1BEXP|2DUST|34568VULN|7LIT|9DUR|aRCR
157	31242 41211	5	   	251.26	DCR|3VULN|2DMG|2LIT|1CDMG	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8aLIT|9CDMG
158	61242 41211	5	   	251.06	DCR|3VULN|2DMG|2LIT|1CDMG	13ERES|236VULN|36BPWR|4RPLT|56DMG|7RCR|8aLIT|9CDMG
159	31121 13414	7	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2567VULN|3DUR|4TLV|8DMSP|9ASPD|aRCR
160	31121 13414	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2567VULN|3DUR|4TLV|8DMSP|9ASPD|aRCR
161	31121 13614	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2567VULN|3DUR|4TLV|8RCVC|9ASPD|aRCR
162	31242 41214	5	 * 	251.02	DCR|3VULN|2DMG|2CDMG	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8LIT|9aCDMG
163	21324 32413	5	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ASPD|2ERES|3458VULN|6TLV|7LWND|9DUR|aRCR
164	21324 33351	5	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1ASPD|2ERES|3457VULN|6TLV|8DUR|9BELT|aRCR
165	61224 32413	5	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	13ERES|2358VULN|3BPWR|4ASPD|6TLV|7LWND|9DUR|aRCR
166	61224 33351	5	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	13ERES|2357VULN|3BPWR|4ASPD|6TLV|8DUR|9BELT|aRCR
167	31222 41213	5	   	250.91	DCR|4VULN|2ASPD|1CDMG	13CGEN|236aVULN|36BPWR|46ASPD|5RPLT|7RCR|8LIT|9CDMG
168	31222 41255	5	   	250.91	DCR|4VULN|2ASPD|1CDMG	13CGEN|2369VULN|36BPWR|46ASPD|5RPLT|7RCR|8LIT|aCDMG
169	52155 31331	6	   	250.85	DCR|3VULN|2DUR|1DMG|2LIT	18LIT|2LHND|389VULN|4FEWX|5CGEN|68DUR|7RCR|8BPWR|aDMG
170	21321 33244	5	   	250.84	DCR|4VULN|1TLV|1DUR|1ASPD	1ASPD|25ERES|3478VULN|6TLV|9DUR|aRCR
171	21321 33344	5	   	250.84	DCR|4VULN|1TLV|1DUR|1ASPD	1ASPD|25ERES|3479VULN|6TLV|8DUR|aRCR
172	21323 33244	4	   	250.84	DCR|4VULN|1TLV|1DUR|1ASPD	1ASPD|25ERES|3478VULN|6TLV|9DUR|aRCR
173	21323 33344	4	   	250.84	DCR|4VULN|1TLV|1DUR|1ASPD	1ASPD|25ERES|3479VULN|6TLV|8DUR|aRCR
174	61221 11411	10	   	250.84	DCR|4VULN|1TLV|1DUR|1ASPD	135ERES|2369VULN|3BPWR|4ASPD|7TLV|8RCR|aDUR
175	11142 53225	8	   	250.81	DCR|4VULN|1DMG|1CDMG|1AART	1BEXP|2DUST|378aVULN|4DMG|5AART|6RCR|9CDMG
176	51255 31331	2	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT	18LIT|2CGEN|389VULN|4BEXP|5DUST|68DUR|7RCR|8BPWR|aDMG
177	52125 31331	5	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT	18LIT|2LHND|389VULN|4DUST|5CGEN|68DUR|7RCR|8BPWR|aDMG
178	52155 31331	3	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT	18LIT|2LHND|389VULN|4CGEN|5DUST|68DUR|7RCR|8BPWR|aDMG
179	52165 31331	4	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT	18LIT|2LHND|389VULN|4CGEN|5DUST|68DUR|7RCR|8BPWR|aDMG
