0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12255 43121	7	 * 	309.51	DCR|4VULN|3DUR|2DMG|3LIT	158aVULN|2BEXP|38aDUR|468LIT|7RCR|8aBPWR|9aDMG
21	14242 22212	9	   	292.01	DCR|4VULN|3DMG|3TLV|1ASPD	1348VULN|238TLV|38BPWR|5RPLT|68aDMG|7RCR|9ASPD
22	11613 24331	10	 * 	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	1356aVULN|23DUR|3BPWR|4ZMB|7DMG|8CDMG|9RCR
23	14242 22223	8	   	291.26	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9AART|aDUR
24	15156 23231	6	 * 	291.03	DCR|5VULN|2DMG|3CDMG	13589VULN|238CDMG|38BPWR|4RCVC|68DMG|7RCR|aBEXP
25	15156 23232	6	   	291.03	DCR|5VULN|2DMG|3CDMG	13589VULN|238CDMG|38BPWR|4RCVC|68DMG|7RCR|aFEWX
26	15156 23233	6	   	290.93	DCR|5VULN|2DMG|3CDMG	13589VULN|238CDMG|38BPWR|4RCVC|68DMG|7RCR|aDUST
27	15163 33242	6	   	290.74	DCR|5VULN|3CDMG|2ASPD|1DUR	13568VULN|238CDMG|38BPWR|48ASPD|7RCR|9BBNT|aDUR
28	11464 12322	5	 * 	290.56	ACR|4VULN|3DMG|2DUR|2ASPD	169aVULN|27DUR|3aASPD|4RCR|56aDMG|6aBPWR|8AART
29	11613 55122	5	 * 	289.09	DCR|5VULN|2DUR|2ASPD	1359aVULN|23DUR|3aBPWR|4aZMB|6AART|7RCR|8aASPD
30	11263 24213	9	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	1568aVULN|23DUR|4ASPD|7DMG|9RCR
31	11263 24216	10	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	1568aVULN|23DUR|4ASPD|7DMG|9RCR
32	11363 26613	9	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	1356aVULN|27DUR|4ASPD|8DMG|9RCR
33	11413 26613	9	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	1456aVULN|27DUR|3ASPD|8DMG|9RCR
34	11333 53123	6	   	288.77	DCR|3VULN|3DUR|2DMG|1CDMG	138VULN|28aDUR|4LIT|5CDMG|68DMG|7RPLT|8BPWR|9RCR
35	11625 22522	3	   	287.87	DCR|4VULN|3DUR|2ASPD|2LIT	1389VULN|23aDUR|39BPWR|49LIT|59ASPD|6TBNT|7RCR
36	11634 22522	5	   	287.87	DCR|4VULN|3DUR|2ASPD|2LIT	1389VULN|23aDUR|39BPWR|49LIT|59ASPD|6TBNT|7RCR
37	11635 22522	4	   	287.87	DCR|4VULN|3DUR|2ASPD|2LIT	1389VULN|23aDUR|39BPWR|49LIT|59ASPD|6TBNT|7RCR
38	11361 42512	6	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	13aVULN|29aDUR|4ASPD|5DUST|6RCR|7aDMG|8AART|aBPWR
39	11261 42522	6	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|23aDUR|4ASPD|5DUST|6RCR|7aDMG|8AART|aBPWR
40	11411 42512	6	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	14aVULN|29aDUR|3ASPD|5DUST|6RCR|7aDMG|8AART|aBPWR
41	11422 42522	6	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	19aVULN|25aDUR|3ASPD|4DUST|6RCR|7aDMG|8AART|aBPWR
42	11263 24212	9	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	1568VULN|23DUR|4ASPD|7aDMG|9RCR
43	11363 26612	9	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	1356VULN|27DUR|4ASPD|8aDMG|9RCR
44	11413 26612	9	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	1456VULN|27DUR|3ASPD|8aDMG|9RCR
45	12244 43121	7	   	286.87	DCR|3VULN|3DUR|2DMG|3LIT	18aVULN|2BEXP|38aDUR|4RCVC|568LIT|7RCR|8aBPWR|9aDMG
46	16263 22522	1	   	286.62	DCR|4VULN|3DUR|1DMG|2LIT	1289VULN|3DMG|49LIT|59aDUR|6TBNT|7RCR|9BPWR
47	11331 28123	6	   	286.02	DCR|3VULN|3DUR|2DMG|1ASPD	138VULN|28aDUR|4LIT|5MBVNT|6ASPD|78DMG|8BPWR|9RCR
48	11311 42522	6	   	285.79	DCR|4VULN|2DMG|2DUR	139aVULN|2aDUR|4ZMB|5DUST|6RCR|7aDMG|8AART|aBPWR
49	11263 22212	9	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1568VULN|23DUR|4ASPD|7TLV|9RCR|aDMG
50	11263 53212	9	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1578VULN|23DUR|4ASPD|6TLV|9RCR|aDMG
51	11663 22613	9	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1356VULN|23DUR|3BPWR|48ASPD|7TLV|9RCR|aAART
52	11665 22213	9	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	1368VULN|23DUR|3BPWR|45ASPD|7TLV|9RCR|aAART
53	11263 22216	10	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	1568aVULN|23DUR|4ASPD|7TLV|9RCR
54	11263 53216	10	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	1578aVULN|23DUR|4ASPD|6TLV|9RCR
55	14242 22264	10	   	284.79	DCR|5VULN|2DMG|3TLV	1348aVULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9MBVNT
56	14245 11213	9	   	284.69	DCR|5VULN|2DMG|2TLV	1348aVULN|23TLV|3BPWR|57DMG|6LEGI|9RCR
57	11363 24613	9	   	284.60	DCR|5VULN|2ASPD|1DMG|1DUR	1356aVULN|2DUR|48ASPD|7DMG|9RCR
58	11365 24213	9	   	284.60	DCR|5VULN|2ASPD|1DMG|1DUR	1368aVULN|2DUR|45ASPD|7DMG|9RCR
59	11413 24613	9	   	284.60	DCR|5VULN|2ASPD|1DMG|1DUR	1456aVULN|2DUR|38ASPD|7DMG|9RCR
60	11415 24213	9	   	284.60	DCR|5VULN|2ASPD|1DMG|1DUR	1468aVULN|2DUR|35ASPD|7DMG|9RCR
61	11253 55122	3	   	284.46	DCR|3VULN|2DMG|2DUR|2ASPD	19aVULN|23DUR|4RCVC|5aDMG|6AART|7RCR|8aASPD|aBPWR
62	11663 22611	9	   	284.24	DCR|4VULN|2DUR|2ASPD|1TLV	1356VULN|23DUR|3BPWR|48ASPD|7TLV|9RCR|aLIT
63	11665 22211	9	   	284.24	DCR|4VULN|2DUR|2ASPD|1TLV	1368VULN|23DUR|3BPWR|45ASPD|7TLV|9RCR|aLIT
64	15163 33231	6	   	284.12	DCR|5VULN|3ASPD|3CDMG	13568VULN|238CDMG|38BPWR|489ASPD|7RCR|aLWND
65	15163 33232	6	   	284.12	DCR|5VULN|3ASPD|3CDMG	13568VULN|238CDMG|38BPWR|489ASPD|7RCR|aRMIN
66	15163 33234	6	   	284.12	DCR|5VULN|3ASPD|3CDMG	13568VULN|238CDMG|38BPWR|489ASPD|7RCR|aCGEN
67	15163 33235	6	   	284.12	DCR|5VULN|3ASPD|3CDMG	13568VULN|238CDMG|38BPWR|489ASPD|7RCR|aLHND
68	14242 22226	8	   	283.32	DCR|4VULN|2DMG|3TLV	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9AART|aLIT
69	15163 33243	6	   	282.80	DCR|5VULN|3CDMG|2ASPD	13568VULN|238CDMG|38BPWR|48ASPD|7RCR|9BBNT|aLIT
70	14242 22221	8	   	282.79	DCR|4VULN|2DMG|3TLV|2AART	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9aAART
71	12453 42231	6	   	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	189aVULN|2BEXP|38ASPD|4TLV|5ERES|6RCR|78DMG|8BPWR
72	14241 23342	5	   	282.70	DCR|5VULN|2TLV|1DUR|1ASPD	13457VULN|23TLV|3BPWR|6RCR|8ASPD|9DUR|aLIT
73	11611 41522	7	   	282.67	DCR|4VULN|3DUR|2ASPD	139aVULN|23aDUR|3aBPWR|4ZMB|5DUST|6RCR|7aASPD|8AART
74	11363 24612	9	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	1356VULN|2DUR|48ASPD|7aDMG|9RCR
75	11365 24212	9	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	1368VULN|2DUR|45ASPD|7aDMG|9RCR
76	11413 24612	9	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	1456VULN|2DUR|38ASPD|7aDMG|9RCR
77	11415 24212	9	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	1468VULN|2DUR|35ASPD|7aDMG|9RCR
78	11633 21346	6	   	282.08	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	138VULN|237DUR|3BPWR|4LIT|5CDMG|6ASPD|9RCR|aDMG
79	11633 23346	7	   	282.08	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	138VULN|237DUR|3BPWR|4LIT|5CDMG|6ASPD|9RCR|aDMG
80	14242 22221	10	   	281.60	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aLHND
81	14242 22222	9	   	281.60	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aZMB
82	14242 22223	9	   	281.60	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aRCVC
83	14242 22223	10	   	281.60	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aBELT
84	14242 22225	10	   	281.60	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aBEXP
85	14242 22221	9	   	281.50	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aBBNT
86	14242 22224	9	   	281.50	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aMBVNT
87	14242 22226	9	   	281.50	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aTBNT
88	14242 22226	10	   	281.50	DCR|4VULN|2DMG|3TLV|1DUR	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aDUST
89	14242 22222	10	   	281.36	DCR|4VULN|2DMG|3TLV|1DUR|1SELL	1348VULN|238TLV|38BPWR|5RPLT|68DMG|7RCR|9DUR|aSELL
90	14241 41122	5	   	281.32	DCR|4VULN|3DUR|2TLV	1345VULN|23TLV|3BPWR|69aDUR|7RCR|8AART
91	11365 22212	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1368VULN|2DUR|45ASPD|7TLV|9RCR|aDMG
92	11365 53212	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1378VULN|2DUR|45ASPD|6TLV|9RCR|aDMG
93	11363 22612	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1356VULN|2DUR|48ASPD|7TLV|9RCR|aDMG
94	11363 53612	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1357VULN|2DUR|48ASPD|6TLV|9RCR|aDMG
95	11413 22612	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1456VULN|2DUR|38ASPD|7TLV|9RCR|aDMG
96	11413 53612	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1457VULN|2DUR|38ASPD|6TLV|9RCR|aDMG
97	11415 22212	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1468VULN|2DUR|35ASPD|7TLV|9RCR|aDMG
98	11415 53212	9	   	281.31	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1478VULN|2DUR|35ASPD|6TLV|9RCR|aDMG
99	13221 22224	8	   	281.28	DCR|5VULN|2DMG|1DUR	13589VULN|238CGEN|38BPWR|4RPLT|68DMG|7RCR|aDUR
100	13221 22234	9	   	281.28	DCR|5VULN|2DMG|1DUR	13589VULN|238CGEN|38BPWR|4RPLT|68DMG|7RCR|aDUR
101	13242 22224	8	   	281.28	DCR|5VULN|2DMG|1DUR	13489VULN|238CGEN|38BPWR|5RPLT|68DMG|7RCR|aDUR
102	13242 22234	9	   	281.28	DCR|5VULN|2DMG|1DUR	13489VULN|238CGEN|38BPWR|5RPLT|68DMG|7RCR|aDUR
103	14542 22231	10	   	281.11	DCR|4VULN|3DMG|3TLV	1489VULN|289TLV|3aRCVC|5RPLT|689DMG|7RCR|89BPWR
104	14542 22233	10	   	281.11	DCR|4VULN|3DMG|3TLV	1489VULN|289TLV|3RCVC|5RPLT|689DMG|7RCR|89BPWR|aLWND
105	13245 61213	9	   	281.08	DCR|5VULN|2DMG|1DUR	1348aVULN|23CGEN|3BPWR|57DMG|6DUR|9RCR
106	14542 22232	10	   	281.01	DCR|4VULN|3DMG|3TLV	1489VULN|289TLV|3RCVC|5RPLT|689DMG|7RCR|89BPWR|aDUST
107	14542 22233	9	   	281.01	DCR|4VULN|3DMG|3TLV	1489VULN|289TLV|3RCVC|5RPLT|689DMG|7RCR|89BPWR|aTBNT
108	14213 43141	4	   	280.91	DCR|4VULN|3DMG|2TLV	1367VULN|23TLV|36BPWR|4MLV|568DMG|9BBNT|aRCR
109	14213 43631	4	   	280.91	DCR|4VULN|3DMG|2TLV	1367VULN|23TLV|36BPWR|4MLV|569DMG|8BBNT|aRCR
110	13221 22241	8	   	280.88	DCR|5VULN|3DMG	13589VULN|2389CGEN|389BPWR|4RPLT|689DMG|7RCR|aBEXP
111	13221 22242	8	   	280.88	DCR|5VULN|3DMG	13589VULN|2389aCGEN|389BPWR|4RPLT|689DMG|7RCR
112	13221 22243	8	   	280.88	DCR|5VULN|3DMG	13589VULN|2389CGEN|389BPWR|4RPLT|689DMG|7RCR|aLWND
113	13221 22244	8	   	280.88	DCR|5VULN|3DMG	13589VULN|2389CGEN|389BPWR|4aRPLT|689DMG|7RCR
114	13221 22246	8	   	280.88	DCR|5VULN|3DMG	13589VULN|2389CGEN|389BPWR|4RPLT|689DMG|7RCR|aZMB
115	13242 22241	8	   	280.88	DCR|5VULN|3DMG	13489VULN|2389CGEN|389BPWR|5RPLT|689DMG|7RCR|aBEXP
116	13242 22242	8	   	280.88	DCR|5VULN|3DMG	13489VULN|2389aCGEN|389BPWR|5RPLT|689DMG|7RCR
117	13242 22243	8	   	280.88	DCR|5VULN|3DMG	13489VULN|2389CGEN|389BPWR|5RPLT|689DMG|7RCR|aLWND
118	13242 22244	8	   	280.88	DCR|5VULN|3DMG	13489VULN|2389CGEN|389BPWR|5aRPLT|689DMG|7RCR
119	13242 22246	8	   	280.88	DCR|5VULN|3DMG	13489VULN|2389CGEN|389BPWR|5RPLT|689DMG|7RCR|aZMB
120	14245 11212	9	   	280.81	DCR|4VULN|3DMG|2TLV	1348VULN|23TLV|3BPWR|57aDMG|6LEGI|9RCR
121	11365 22216	10	   	280.79	DCR|5VULN|2ASPD|1TLV|1DUR	1368aVULN|2DUR|45ASPD|7TLV|9RCR
122	11363 22616	10	   	280.79	DCR|5VULN|2ASPD|1TLV|1DUR	1356aVULN|2DUR|48ASPD|7TLV|9RCR
123	11413 22616	10	   	280.79	DCR|5VULN|2ASPD|1TLV|1DUR	1456aVULN|2DUR|38ASPD|7TLV|9RCR
124	11415 22216	10	   	280.79	DCR|5VULN|2ASPD|1TLV|1DUR	1468aVULN|2DUR|35ASPD|7TLV|9RCR
125	13521 22243	8	   	280.78	DCR|5VULN|3DMG	1589aVULN|289CGEN|3RCVC|4RPLT|689DMG|7RCR|89BPWR
126	13542 22243	8	   	280.78	DCR|5VULN|3DMG	1489aVULN|289CGEN|3RCVC|5RPLT|689DMG|7RCR|89BPWR
127	11141 32524	2	   	280.02	DCR|4VULN|2ASPD|1DMG|1DUR|2LIT	1689VULN|2DUR|39ASPD|49LIT|5TBNT|7RCR|9BPWR|aDMG
128	11325 22524	3	   	280.02	DCR|4VULN|2ASPD|1DMG|1DUR|2LIT	1389VULN|2DUR|49LIT|59ASPD|6TBNT|7RCR|9BPWR|aDMG
129	11334 22524	5	   	280.02	DCR|4VULN|2ASPD|1DMG|1DUR|2LIT	1389VULN|2DUR|49LIT|59ASPD|6TBNT|7RCR|9BPWR|aDMG
130	11335 22524	4	   	280.02	DCR|4VULN|2ASPD|1DMG|1DUR|2LIT	1389VULN|2DUR|49LIT|59ASPD|6TBNT|7RCR|9BPWR|aDMG
131	22231 63434	8	 * 	279.92	DCR|3VULN|3DUR|3CDMG|1TLV	1RPLT|279DUR|379VULN|4LIT|5CGEN|679CDMG|79BPWR|8RCR|aTLV
132	11131 63434	8	   	279.92	DCR|3VULN|3DUR|3CDMG|1TLV	179VULN|279DUR|3RPLT|4LIT|5CGEN|679CDMG|79BPWR|8RCR|aTLV
133	11663 13612	9	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1357VULN|23DUR|3BPWR|48ASPD|6CGEN|9RCR|aDMG
134	11663 23612	9	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1356VULN|23DUR|3BPWR|48ASPD|7ZMB|9RCR|aDMG
135	11663 23632	8	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1356VULN|23DUR|3BPWR|48ASPD|7ZMB|9RCR|aDMG
136	11665 13212	9	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1378VULN|23DUR|3BPWR|45ASPD|6CGEN|9RCR|aDMG
137	11665 23212	9	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1368VULN|23DUR|3BPWR|45ASPD|7ZMB|9RCR|aDMG
138	11665 23232	8	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1368VULN|23DUR|3BPWR|45ASPD|7ZMB|9RCR|aDMG
139	11263 24613	9	   	279.65	DCR|4VULN|2DUR|2ASPD|1DMG	156aVULN|23DUR|48ASPD|7DMG|9RCR
140	11265 24213	9	   	279.65	DCR|4VULN|2DUR|2ASPD|1DMG	168aVULN|23DUR|45ASPD|7DMG|9RCR
141	11625 22521	3	   	279.65	DCR|4VULN|2DUR|2ASPD|3LIT	1389VULN|23DUR|39BPWR|49aLIT|59ASPD|6TBNT|7RCR
142	11634 22521	5	   	279.65	DCR|4VULN|2DUR|2ASPD|3LIT	1389VULN|23DUR|39BPWR|49aLIT|59ASPD|6TBNT|7RCR
143	11635 22521	4	   	279.65	DCR|4VULN|2DUR|2ASPD|3LIT	1389VULN|23DUR|39BPWR|49aLIT|59ASPD|6TBNT|7RCR
