0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24223 53125	9	 * 	291.40	DCR|5VULN|3DUR|1DMG	1ZMB|24579VULN|345DUR|45BPWR|6RPLT|8DMG|aRCR
23	62632 13313	8	   	279.51	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1ASPD|29aDMG|3CDMG|4LWND|59aVULN|6DUR|7RCR|89aLHND|9aBPWR
24	62612 13313	8	   	279.41	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1ASPD|29aDMG|3CDMG|4DUST|59aVULN|6DUR|7RCR|89aLWND|9aBPWR
25	62632 13213	8	   	279.21	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1ASPD|29aDMG|3CDMG|4LWND|59aVULN|6DUR|7RCR|89aDUST|9aBPWR
26	64263 11213	5	 * 	278.64	DCR|3VULN|3DUR|2ASPD|1DMG	17ASPD|245VULN|356DUR|5BPWR|8DMG|9RCR|aLIT
27	64263 31213	6	   	278.64	DCR|3VULN|3DUR|2ASPD|1DMG	17ASPD|245VULN|356DUR|5BPWR|8DMG|9RCR|aLIT
28	54262 13333	4	   	277.98	DCR|5VULN|2DUR|1DMG	1CGEN|2457aVULN|36DUR|8RCR|9DMG
29	24223 53412	9	   	277.71	DCR|4VULN|3DUR|1TLV|1AART	1ZMB|2457VULN|345DUR|45BPWR|6RPLT|8AART|9TLV|aRCR
30	24223 23523	10	   	276.45	DCR|4VULN|3DUR|1CDMG|1ASPD	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8ASPD|9CDMG
31	24223 63523	10	   	276.45	DCR|4VULN|3DUR|1CDMG|1ASPD	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8ASPD|9CDMG
32	63343 33136	8	 * 	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	18ASPD|28LHND|346DMG|58aVULN|7RCR|8BPWR|9DUR
33	24223 36513	5	 * 	275.12	DCR|3VULN|3DUR|2DMG	18ZMB|245VULN|345DUR|45BPWR|67DMG|9RCR|aLIT
34	24223 66323	5	   	275.12	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6CGEN|7RCR|89DMG|aLIT
35	62361 11234	3	   	275.07	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	1aASPD|29DMG|34aVULN|5CGEN|6DUR|7aLIT|8RCR|aBPWR
36	12326 62333	6	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1RCVC|2TLV|37DUR|456aVULN|8RCR|9DMG
37	24223 23525	9	   	273.88	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	1ZMB|245VULN|345DUR|45BPWR|6LWND|7RCR|8ASPD|9CDMG|aDMG
38	62333 33251	9	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	19ASPD|25DMG|359VULN|4RMIN|59BPWR|6CDMG|7DUR|89ERES|aRCR
39	62343 34112	8	   	273.11	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	1ASPD|24DMG|357VULN|6AART|8RCR|9DUR|aCDMG
40	24223 16121	5	   	272.66	DCR|4VULN|3DUR|1ASPD|1AART	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9AART|aASPD
41	24223 66121	5	   	272.66	DCR|4VULN|3DUR|1ASPD|1AART	18ZMB|2458VULN|345DUR|458BPWR|68CGEN|7RCR|9AART|aASPD
42	24223 41122	9	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	1ZMB|245VULN|345DUR|45BPWR|6CDMG|7LWND|8DMG|9AART|aRCR
43	24223 44322	9	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	1ZMB|245VULN|345DUR|45BPWR|6CDMG|7DMG|8LWND|9AART|aRCR
44	64263 32113	8	   	272.26	DCR|4VULN|3DUR|1ASPD|1AART	1ASPD|2458VULN|356DUR|5BPWR|7ERES|9RCR|aAART
45	24223 16115	5	   	272.06	DCR|4VULN|3DUR|1DMG	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9RCVC|aDMG
46	24223 16214	5	 * 	271.86	DCR|4VULN|3DUR|2CDMG	1aZMB|245aVULN|345DUR|45aBPWR|6MLV|7RCR|8ERES|9aCDMG
47	24223 23264	9	   	271.86	DCR|4VULN|3DUR|2CDMG	1aZMB|245aVULN|345DUR|45aBPWR|6LWND|7RCR|8DUST|9aCDMG
48	24223 35212	7	   	271.86	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|345DUR|45BPWR|7aDMSP|8DMG|9RCR
49	24223 35214	7	   	271.86	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|345DUR|45BPWR|7DMSP|8DMG|9RCR|aCGEN
50	24223 35215	7	   	271.86	DCR|4VULN|3DUR|1DMG	1aZMB|2456VULN|345DUR|45BPWR|7DMSP|8DMG|9RCR
51	24223 35216	7	   	271.86	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|345DUR|45BPWR|7DMSP|8DMG|9RCR|aBEXP
52	24223 62136	10	   	271.86	DCR|4VULN|3DUR|1DMG	1ZMB|2458VULN|345DUR|45BPWR|6FEWX|7DMG|9MLV|aRCR
53	24223 16317	5	   	271.76	DCR|4VULN|3DUR|1DMG	1ZMB|245aVULN|345DUR|45BPWR|6MLV|7RCR|8DMG|9MBVNT
54	24223 22135	8	   	271.76	DCR|4VULN|3DUR|1DMG	1ZMB|2458VULN|345DUR|45BPWR|6LWND|7DMG|9BBNT|aRCR
55	24223 22145	8	   	271.76	DCR|4VULN|3DUR|1DMG	1ZMB|2458VULN|345DUR|45BPWR|6LWND|7DMG|9TBNT|aRCR
56	24223 35211	7	   	271.76	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|345DUR|45BPWR|7DMSP|8DMG|9RCR|aERES
57	24263 62212	6	   	271.76	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|357DUR|5BPWR|8DMG|9RCR|aDMSP
58	24223 31635	7	   	271.66	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|345DUR|45BPWR|7DUST|8DMG|9BBNT|aRCR
59	24263 62211	6	   	271.66	DCR|4VULN|3DUR|1DMG	1ZMB|2456VULN|357DUR|5BPWR|8DMG|9RCR|aERES
60	24223 16131	5	   	271.54	DCR|5VULN|3DUR	18ZMB|24589VULN|345DUR|458BPWR|68MLV|7RCR|aBEXP
61	24223 16136	5	   	271.54	DCR|5VULN|3DUR	18ZMB|24589VULN|345DUR|458BPWR|68MLV|7RCR|aLHND
62	24223 66131	5	   	271.54	DCR|5VULN|3DUR	18ZMB|24589VULN|345DUR|458BPWR|68CGEN|7RCR|aBEXP
63	24223 16132	5	   	271.44	DCR|5VULN|3DUR	18ZMB|24589VULN|345DUR|458BPWR|68MLV|7RCR|aTBNT
64	24223 23435	10	   	271.34	DCR|5VULN|3DUR	1ZMB|2459aVULN|345DUR|45BPWR|6LWND|7RCR|8LHND
65	24223 34135	8	   	271.34	DCR|5VULN|3DUR	19ZMB|24568VULN|345DUR|45BPWR|7CGEN|aRCR
66	24223 35315	7	   	271.34	DCR|5VULN|3DUR	1ZMB|24568VULN|345DUR|45BPWR|7DMSP|9CGEN|aRCR
67	24223 35335	7	   	271.34	DCR|5VULN|3DUR	1ZMB|24568VULN|345DUR|45BPWR|7DMSP|9RMIN|aRCR
68	24223 63335	10	   	271.34	DCR|5VULN|3DUR	1ZMB|2459aVULN|345DUR|45BPWR|6FEWX|7RCR|8LWND
69	24223 23235	10	   	271.24	DCR|5VULN|3DUR	1ZMB|2459aVULN|345DUR|45BPWR|6LWND|7RCR|8DUST
70	24223 63235	10	   	271.24	DCR|5VULN|3DUR	1ZMB|2459aVULN|345DUR|45BPWR|6FEWX|7RCR|8DUST
71	24223 32135	8	   	271.24	DCR|5VULN|3DUR	19ZMB|24568VULN|345DUR|45BPWR|7ERES|aRCR
72	24223 36132	6	   	271.14	DCR|5VULN|3DUR	1ZMB|2456aVULN|345DUR|45BPWR|7BBNT|8MBVNT|9RCR
73	24223 31513	6	   	271.11	DCR|4VULN|3DUR|1ASPD	18ZMB|2456VULN|345DUR|45BPWR|7ASPD|9RCR|aLIT
74	62353 13122	7	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	19ASPD|2DMG|39aVULN|4CDMG|5LWND|69DUR|7RCR|8TBNT|9BPWR
75	64263 11212	5	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	17ASPD|245VULN|356DUR|5BPWR|8DMG|9RCR|aDMSP
76	64263 31212	6	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	17ASPD|245VULN|356DUR|5BPWR|8DMG|9RCR|aDMSP
77	64263 11211	5	   	270.23	DCR|3VULN|3DUR|2ASPD|1DMG	17ASPD|245VULN|356DUR|5BPWR|8DMG|9RCR|aERES
78	64263 31211	6	   	270.23	DCR|3VULN|3DUR|2ASPD|1DMG	17ASPD|245VULN|356DUR|5BPWR|8DMG|9RCR|aERES
79	62343 34131	9	   	269.67	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	19ASPD|24DMG|357VULN|6AART|8RCR|aTLV
80	13615 14213	3	 * 	268.98	DCR|4VULN|2ASPD|1DMG|2CDMG	1RCVC|2RMIN|357aVULN|4DMG|6RCR|8aASPD|9aCDMG|aBPWR
81	62333 11264	5	 * 	268.92	DCR|2VULN|3DMG|2ASPD|3LIT|1DUR	1aASPD|25aDMG|35VULN|4RMIN|5aBPWR|6DUR|79aLIT|8RCR
82	64263 21142	6	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|245VULN|35DUR|5BPWR|6MBVNT|7LIT|8CDMG|9RCR|aDMG
83	52521 23631	5	 * 	268.57	DCR|2VULN|3DMG|3CDMG|2ASPD|1AART	1aCGEN|256DMG|356CDMG|4AART|56aBPWR|7RCR|8aASPD|9aVULN
84	36322 14332	9	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17LHND|27DUR|3CDMG|4RPLT|5TLV|678aVULN|7BPWR|9RCR
85	36322 14352	8	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17LHND|27DUR|3CDMG|4RPLT|5TLV|678aVULN|7BPWR|9RCR
86	64262 12213	4	   	268.33	DCR|3VULN|3DUR|1DMG|1ASPD	1ASPD|245VULN|367DUR|8DMG|9RCR|aLIT
87	24223 15412	7	   	268.05	DCR|4VULN|3DUR|1TLV	1ZMB|245aVULN|345DUR|45BPWR|6BELT|7RCR|8TLV|9RCVC
88	24223 23442	10	   	268.05	DCR|4VULN|3DUR|1TLV	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8LHND|9TLV
89	24223 63342	10	   	268.05	DCR|4VULN|3DUR|1TLV	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8LWND|9TLV
90	24223 23242	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8DUST|9TLV
91	24223 31412	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|2456VULN|345DUR|45BPWR|7DUST|8TLV|9DMSP|aRCR
92	24223 33435	8	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|2456VULN|345DUR|45BPWR|7LWND|8TLV|9BBNT|aRCR
93	24223 36511	6	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|2456VULN|345DUR|45BPWR|7BBNT|8RCR|9CGEN|aTLV
94	24223 63242	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8DUST|9TLV
95	24223 31435	8	   	267.85	DCR|4VULN|3DUR|1TLV	1ZMB|2456VULN|345DUR|45BPWR|7DUST|8TLV|9BBNT|aRCR
96	62626 21121	4	   	267.17	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	1aASPD|2aDMG|3CDMG|4AART|5BBNT|6RCR|7LHND|89aVULN|aBPWR
97	24223 16321	5	   	266.81	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6MLV|7RCR|89DMG|aCGEN
98	24223 16323	5	   	266.81	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6MLV|7RCR|89DMG|aFEWX
99	24223 16324	5	   	266.81	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6MLV|7RCR|89DMG|aLHND
100	24223 16325	5	   	266.81	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6MLV|7RCR|89DMG|aBEXP
101	24223 36512	5	   	266.81	DCR|3VULN|3DUR|2DMG	18ZMB|245VULN|345DUR|45BPWR|67DMG|9RCR|aDMSP
102	24223 66321	5	   	266.81	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6aCGEN|7RCR|89DMG
103	24223 66322	5	   	266.81	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6CGEN|7RCR|89DMG|aDMSP
104	24223 16322	5	   	266.71	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|6MLV|7RCR|89DMG|aDUST
105	24223 36227	5	   	266.71	DCR|3VULN|3DUR|2DMG	1ZMB|245VULN|345DUR|45BPWR|67DMG|8BELT|9MBVNT|aRCR
106	24223 36511	5	   	266.71	DCR|3VULN|3DUR|2DMG	18ZMB|245VULN|345DUR|45BPWR|67DMG|9RCR|aERES
107	22541 33224	9	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1ZMB|2DMG|3CDMG|4LIT|5789VULN|6DUR|aRCR
108	22541 53222	9	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1ZMB|2DMG|3CDMG|4LIT|5789VULN|6RCR|aDUR
109	36142 15432	9	   	265.73	DCR|4VULN|2DUR|1TLV|1ASPD	17LHND|27DUR|3TLV|4ASPD|5MBVNT|678aVULN|7BPWR|9RCR
110	62333 41512	8	   	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|259DMG|35aVULN|4RMIN|5BPWR|6DUR|7BEXP|8RCR
111	24223 16161	5	   	265.55	DCR|4VULN|3DUR|1CDMG	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9BBNT|aCDMG
112	24223 15122	7	   	265.45	DCR|4VULN|3DUR|1CDMG	1ZMB|245aVULN|345DUR|45BPWR|6BELT|7RCR|8CDMG|9MLV
113	24223 23435	9	   	265.45	DCR|4VULN|3DUR|1CDMG	1ZMB|2459VULN|345DUR|45BPWR|6LWND|7RCR|8LHND|aCDMG
114	24223 23462	10	   	265.45	DCR|4VULN|3DUR|1CDMG	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8LHND|9CDMG
115	24223 63335	9	   	265.45	DCR|4VULN|3DUR|1CDMG	1ZMB|2459VULN|345DUR|45BPWR|6FEWX|7RCR|8LWND|aCDMG
116	24223 63362	10	   	265.45	DCR|4VULN|3DUR|1CDMG	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8LWND|9CDMG
117	24223 16411	5	   	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	1ZMB|245VULN|345DUR|45BPWR|6MLV|7RCR|8TLV|9aCDMG
118	24223 66313	5	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1ZMB|245VULN|345DUR|45BPWR|6CGEN|7RCR|8DMG|9MBVNT|aTLV
119	24223 23235	9	   	265.35	DCR|4VULN|3DUR|1CDMG	1ZMB|2459VULN|345DUR|45BPWR|6LWND|7RCR|8DUST|aCDMG
120	24223 23262	10	   	265.35	DCR|4VULN|3DUR|1CDMG	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8DUST|9CDMG
121	24223 63235	9	   	265.35	DCR|4VULN|3DUR|1CDMG	1ZMB|2459VULN|345DUR|45BPWR|6FEWX|7RCR|8DUST|aCDMG
122	24223 63262	10	   	265.35	DCR|4VULN|3DUR|1CDMG	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8DUST|9CDMG
123	24223 63623	10	   	265.35	DCR|4VULN|3DUR|1CDMG	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8ERES|9CDMG
124	62313 12636	4	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	18ASPD|2DMG|378aVULN|48MLV|5TBNT|6RCR|8BPWR|9TLV
125	52342 11234	4	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1aCGEN|29DMG|35aVULN|4ASPD|6DUR|7aLIT|8RCR|aBPWR
126	62332 22461	4	   	263.87	DCR|4VULN|2ASPD|1DMG|2LIT	17ASPD|2DMG|3578VULN|4RMIN|67LIT|7BPWR|9RCR|aRPLT
127	62332 22462	4	   	263.87	DCR|4VULN|2ASPD|1DMG|2LIT	17ASPD|2DMG|3578VULN|4RMIN|67LIT|7BPWR|9RCR|aLHND
128	62332 22463	4	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT	17ASPD|2DMG|3578VULN|4RMIN|67LIT|7BPWR|9RCR|aERES
129	62632 13523	9	   	263.65	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|2aDMG|3CDMG|4LWND|58aVULN|6DUR|7RCR|9aLHND|aBPWR
130	61112 36621	3	 * 	263.24	DCR|3VULN|2DMG|3ASPD|1AART	138ASPD|239FEWX|39BPWR|49DMG|59aVULN|6AART|7RCR
131	62612 53313	8	   	263.16	DCR|3VULN|3DMG|1CDMG|1ASPD	1ASPD|29aDMG|3CDMG|4DUST|59aVULN|6LHND|7RCR|89aLWND|9aBPWR
132	24222 12314	5	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ZMB|24aVULN|34DUR|4BPWR|5BEXP|6ASPD|7RCR|8TLV|9DMG
133	24225 12314	4	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ZMB|24aVULN|34DUR|4BPWR|5BEXP|6ASPD|7RCR|8TLV|9DMG
134	24221 12314	4	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ZMB|24aVULN|34DUR|4BPWR|5DUST|6ASPD|7RCR|8TLV|9DMG
135	62343 34132	9	   	262.94	DCR|3VULN|2DMG|3ASPD|1AART	19aASPD|24DMG|357VULN|6AART|8RCR
136	62241 53222	9	   	262.92	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2DMG|3SELL|4LIT|5789VULN|6RCR|aDUR
137	24223 16163	5	   	262.90	DCR|4VULN|3DUR|1ASPD	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9BBNT|aASPD
138	24223 15611	7	   	262.80	DCR|4VULN|3DUR|1ASPD	1ZMB|2458VULN|345DUR|45BPWR|6BELT|7RCR|9CGEN|aASPD
139	24223 23532	10	   	262.80	DCR|4VULN|3DUR|1ASPD	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8ASPD|9LHND
140	24223 31512	6	   	262.80	DCR|4VULN|3DUR|1ASPD	18ZMB|2456VULN|345DUR|45BPWR|7ASPD|9RCR|aDMSP
141	24223 31514	6	   	262.80	DCR|4VULN|3DUR|1ASPD	18ZMB|2456VULN|345DUR|45BPWR|7ASPD|9RCR|aCGEN
142	24223 31515	6	   	262.80	DCR|4VULN|3DUR|1ASPD	18aZMB|2456VULN|345DUR|45BPWR|7ASPD|9RCR
143	24223 31516	6	   	262.80	DCR|4VULN|3DUR|1ASPD	18ZMB|2456VULN|345DUR|45BPWR|7ASPD|9RCR|aBEXP
144	24223 63532	10	   	262.80	DCR|4VULN|3DUR|1ASPD	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8ASPD|9LHND
145	62316 31234	3	 * 	262.74	DCR|2VULN|2DMG|2DUR|2ASPD|2LIT	1aASPD|29DMG|3aVULN|45DUR|6CGEN|7aLIT|8RCR|aBPWR
146	24223 23512	10	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|245aVULN|345DUR|45BPWR|6LWND|7RCR|8ASPD|9DUST
147	24223 23642	10	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|2459VULN|345DUR|45BPWR|6LWND|7RCR|8ERES|aASPD
148	24223 31222	6	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|2456VULN|345DUR|45BPWR|7ASPD|8BELT|9MBVNT|aRCR
149	24223 31435	6	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|2456VULN|345DUR|45BPWR|7ASPD|8LWND|9BBNT|aRCR
150	24223 31511	6	   	262.70	DCR|4VULN|3DUR|1ASPD	18ZMB|2456VULN|345DUR|45BPWR|7ASPD|9RCR|aERES
151	24223 33335	7	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|2456VULN|345DUR|45BPWR|7LWND|8ASPD|9BBNT|aRCR
152	24223 33345	7	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|2456VULN|345DUR|45BPWR|7LWND|8ASPD|9TBNT|aRCR
153	24223 63512	10	   	262.70	DCR|4VULN|3DUR|1ASPD	1ZMB|245aVULN|345DUR|45BPWR|6FEWX|7RCR|8ASPD|9DUST
154	24223 31536	5	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1ZMB|245VULN|345DUR|45BPWR|6DMG|7TBNT|8BBNT|9CDMG|aRCR
155	63343 33111	9	   	262.61	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG	18ASPD|28LHND|346DMG|58VULN|7RCR|8BPWR|9CDMG|aDUR
156	63343 33116	10	   	262.61	DCR|2VULN|3DMG|2ASPD|1TLV|1CDMG	18ASPD|28LHND|346DMG|58VULN|7RCR|8BPWR|9CDMG|aTLV
157	64263 32112	10	   	262.60	DCR|4VULN|3DUR|1ASPD	1ASPD|2458VULN|356DUR|5BPWR|7ERES|9FEWX|aRCR
158	24223 31335	7	   	262.60	DCR|4VULN|3DUR|1ASPD	1ZMB|2456VULN|345DUR|45BPWR|7DUST|8ASPD|9BBNT|aRCR
159	24223 31345	7	   	262.60	DCR|4VULN|3DUR|1ASPD	1ZMB|2456VULN|345DUR|45BPWR|7DUST|8ASPD|9TBNT|aRCR
160	64263 32112	8	   	262.60	DCR|4VULN|3DUR|1ASPD	1ASPD|2458VULN|356DUR|5BPWR|7ERES|9RCR|aLHND
161	24223 15331	10	   	262.56	DCR|4VULN|3DUR|1ASPD|1SELL	1ZMB|245aVULN|345DUR|45BPWR|6BELT|7RCR|8ASPD|9SELL
162	64263 32111	8	   	262.50	DCR|4VULN|3DUR|1ASPD	1ASPD|2458VULN|356DUR|5BPWR|7aERES|9RCR
163	64263 32122	10	   	262.50	DCR|4VULN|3DUR|1ASPD	1ASPD|2458VULN|356DUR|5BPWR|7ERES|9DUST|aRCR
164	62312 11264	4	 * 	262.49	DCR|3VULN|2ASPD|3LIT|1DMG|1DUR	1aASPD|2DMG|35aVULN|4MLV|6DUR|79aLIT|8RCR|aBPWR
165	62322 11264	3	   	262.39	DCR|3VULN|2ASPD|3LIT|1DMG|1DUR	1aASPD|2DMG|35aVULN|4ERES|6DUR|79aLIT|8RCR|aBPWR
166	54124 33123	2	   	262.21	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CGEN|257VULN|3AART|45DMG|5BPWR|6MLV|8CDMG|9RCR|aTLV
167	24225 32742	8	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1ZMB|249VULN|34DUR|4BPWR|5MBVNT|6AART|7TLV|8DMG|aRCR
168	24223 16122	5	   	261.66	DCR|4VULN|3DUR|1AART	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9AART|aFEWX
169	24223 16123	5	   	261.66	DCR|4VULN|3DUR|1AART	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9AART|aCGEN
170	24223 16124	5	   	261.66	DCR|4VULN|3DUR|1AART	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9AART|aBEXP
171	24223 16125	5	   	261.66	DCR|4VULN|3DUR|1AART	18ZMB|2458VULN|345DUR|458BPWR|68aMLV|7RCR|9AART
172	24223 16126	5	   	261.66	DCR|4VULN|3DUR|1AART	18ZMB|2458VULN|345DUR|458BPWR|68MLV|7RCR|9AART|aRPLT
