0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62631 41123	9	 * 	287.40	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	1467VULN|29DMG|3ASPD|56LIT|6BPWR|8DUR|aRCR
46	62631 51311	9	   	264.50	DCR|4VULN|2DMG|1ASPD	1467VULN|28DMG|3ASPD|5LIT|9RCR|aFEWX
47	62631 51311	10	   	264.50	DCR|4VULN|2DMG|1ASPD	1467VULN|28DMG|3ASPD|5LIT|9RCR|aRMIN
48	62631 51312	10	   	264.50	DCR|4VULN|2DMG|1ASPD	1467VULN|28DMG|3ASPD|5LIT|9RCR|aFEWX
49	62631 51313	10	   	264.50	DCR|4VULN|2DMG|1ASPD	1467VULN|28DMG|3ASPD|5LIT|9RCR|aCGEN
50	62631 51313	9	   	264.50	DCR|4VULN|2DMG|1ASPD	1467VULN|28DMG|3ASPD|5LIT|9RCR|aRMIN
51	62253 42221	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	179VULN|29DMG|35DUR|4ERES|6RCR|89LWND|9BPWR|aASPD
52	62253 42321	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	179VULN|29DMG|35DUR|4ERES|6RCR|89FEWX|9BPWR|aASPD
53	62631 51312	9	   	264.40	DCR|4VULN|2DMG|1ASPD	1467VULN|28DMG|3ASPD|5LIT|9RCR|aBBNT
54	62253 42121	4	   	264.29	DCR|3VULN|2DMG|2DUR|1ASPD	179VULN|29DMG|35DUR|4ERES|6RCR|89DUST|9BPWR|aASPD
55	61323 13325	1	   	264.11	DCR|3VULN|3DMG|1DUR|1AART	156VULN|246DMG|3AART|6BPWR|7TBNT|8ZMB|9DUR|aRCR
56	62323 13325	2	   	264.11	DCR|3VULN|3DMG|1DUR|1AART	156VULN|246DMG|3AART|6BPWR|7TBNT|8ZMB|9DUR|aRCR
57	62514 12332	10	   	264.02	DCR|4VULN|2TLV|1DMG|1DUR	1679VULN|2DMG|37TLV|4BELT|57CGEN|7BPWR|8RCR|aDUR
58	62611 12311	8	 * 	263.82	DCR|3VULN|2DMG|2ASPD|2TLV	167VULN|2aDMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9BBNT
59	62611 12333	9	   	263.82	DCR|3VULN|2DMG|2ASPD|2TLV	167VULN|2aDMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9DUST
60	62611 12351	8	   	263.82	DCR|3VULN|2DMG|2ASPD|2TLV	167VULN|2aDMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9TBNT
61	62611 42111	10	 * 	263.82	DCR|3VULN|2DMG|2ASPD|3TLV	179VULN|2aDMG|37ASPD|4BELT|567TLV|7BPWR|8RCR
62	62631 13353	6	   	263.53	DCR|4VULN|2ASPD|1DMG|2LIT|1SELL	147aVULN|2DMG|37ASPD|57LIT|6SELL|7BPWR|8DUST|9RCR
63	61631 36223	5	 * 	263.35	DCR|5VULN|2ASPD|2LIT	14678VULN|2CGEN|38ASPD|58LIT|8BPWR|9LWND|aRCR
64	62631 51223	6	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1469VULN|2DMG|3ASPD|5LIT|7DUR|8BEXP|aRCR
65	62631 52323	8	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1469VULN|2DMG|3ASPD|5LIT|7BEXP|8DUR|aRCR
66	62633 14223	6	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1479VULN|2DMG|3ASPD|5DUR|6LIT|8BEXP|aRCR
67	62633 52323	5	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1479VULN|2DMG|3ASPD|5DUR|6BEXP|8LIT|aRCR
68	62663 34223	8	   	263.06	DCR|4VULN|1DMG|1DUR|1ASPD	1569VULN|2DMG|3ASPD|4MBVNT|7DUR|8LIT|aRCR
69	62611 12362	10	   	262.59	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR	167VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9BEXP|aDUR
70	62611 12363	9	   	262.59	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR	167VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9BEXP|aDUR
71	61611 12336	10	   	262.57	DCR|4VULN|2ASPD|2TLV|1CDMG	1679VULN|2CGEN|37ASPD|4BELT|57TLV|7BPWR|8RCR|aCDMG
72	62611 12313	9	   	262.49	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR	167VULN|2DMG|37ASPD|4BELT|57TLV|7BPWR|8RCR|9MBVNT|aDUR
73	61121 41523	1	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	18VULN|259DMG|358ASPD|4TBNT|58BPWR|6RCR|78TLV|aMLV
74	61131 41523	1	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	18VULN|259DMG|358ASPD|4BBNT|58BPWR|6RCR|78TLV|aMLV
75	62121 41523	2	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	18VULN|259DMG|358ASPD|4TBNT|58BPWR|6RCR|78TLV|aMLV
76	62131 41523	2	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	18VULN|259DMG|358ASPD|4BBNT|58BPWR|6RCR|78TLV|aMLV
77	62631 23236	10	   	261.92	DCR|3VULN|2DMG|2CDMG|1ASPD	14aVULN|2aDMG|3ASPD|5LIT|6LEGI|7aCDMG|8RPLT|9RCR|aBPWR
78	62635 23221	8	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1478VULN|2DMG|3ASPD|5MLV|6CDMG|9AART|aRCR
79	42331 16133	1	   	260.86	DCR|5VULN|2AART|1DUR	16ZMB|24678VULN|35AART|6BPWR|9RCR|aDUR
80	42333 46133	1	   	260.76	DCR|5VULN|2AART|1DUR	1ZMB|24578VULN|36AART|9RCR|aDUR
81	22434 12163	1	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	1ASPD|269aVULN|3CDMG|4LWND|5DMG|7RCR|8LIT
82	61112 12163	1	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	169aVULN|2DMG|3ASPD|4CDMG|5BEXP|7RCR|8LIT
83	62112 12163	2	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	169aVULN|2DMG|3ASPD|4CDMG|5BEXP|7RCR|8LIT
84	62612 12163	3	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	169aVULN|2DMG|3ASPD|4CDMG|5BEXP|7RCR|8LIT
85	22424 12163	1	   	260.46	DCR|4VULN|1DMG|1CDMG|1ASPD	1ASPD|269aVULN|3CDMG|4LEGI|5DMG|7RCR|8LIT
86	21111 16434	10	   	259.97	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	18ASPD|2SELL|3RCVC|4DUR|58DMG|6RMIN|789VULN|8BPWR|aRCR
87	65631 32233	5	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	1468VULN|2ERES|38ASPD|58LIT|7RCVC|8BPWR|9DUR|aRCR
88	22133 46121	1	 * 	259.89	DCR|3VULN|3DUR|3ASPD	139ASPD|29aVULN|4aERES|5aBEXP|6RCR|789DUR|9aBPWR
89	65631 31233	7	   	259.86	DCR|4VULN|2ASPD|1DUR|2LIT	1478VULN|26ERES|38ASPD|58LIT|8BPWR|9DUR|aRCR
90	22131 46121	1	   	259.69	DCR|3VULN|3DUR|3ASPD	139ASPD|29aVULN|4aERES|5aDUST|6RCR|789DUR|9aBPWR
91	62633 32312	10	 * 	259.29	5VULN|3DUR|2DMG|3ASPD	1469aVULN|2aDMG|379ASPD|59aDUR|8BELT|9aBPWR
92	62625 13221	8	   	259.24	DCR|3VULN|2TLV|1DMG|1CDMG|1ASPD|1AART	178VULN|2DMG|3ASPD|46TLV|5CDMG|9AART|aRCR
93	62423 21631	3	   	259.22	DCR|4VULN|1DMG|1CDMG|1AART	1589VULN|2DMG|3LIT|4CDMG|6LHND|7AART|aRCR
94	62523 42223	4	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|29DMG|34TLV|5BEXP|6RCR|89LWND|9BPWR|aDUR
95	62523 42323	4	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|29DMG|34TLV|5BEXP|6RCR|89FEWX|9BPWR|aDUR
96	62533 42223	3	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|29DMG|34TLV|5BEXP|6RCR|89LWND|9BPWR|aDUR
97	62533 42323	3	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|29DMG|34TLV|5BEXP|6RCR|89FEWX|9BPWR|aDUR
98	61323 14261	1	   	258.87	DCR|3VULN|3DMG|1ASPD|1AART	156VULN|246DMG|3AART|6BPWR|7ASPD|8ERES|9RCR|aMLV
99	61323 14263	1	   	258.87	DCR|3VULN|3DMG|1ASPD|1AART	156VULN|246DMG|3AART|6BPWR|7ASPD|8ERES|9RCR|aBEXP
100	62323 14261	2	   	258.87	DCR|3VULN|3DMG|1ASPD|1AART	156VULN|246DMG|3AART|6BPWR|7ASPD|8ERES|9RCR|aMLV
101	62323 14263	2	   	258.87	DCR|3VULN|3DMG|1ASPD|1AART	156VULN|246DMG|3AART|6BPWR|7ASPD|8ERES|9RCR|aBEXP
102	61323 14262	1	   	258.77	DCR|3VULN|3DMG|1ASPD|1AART	156VULN|246DMG|3AART|6BPWR|7ASPD|8ERES|9RCR|aDUST
103	62323 14262	2	   	258.77	DCR|3VULN|3DMG|1ASPD|1AART	156VULN|246DMG|3AART|6BPWR|7ASPD|8ERES|9RCR|aDUST
104	62523 42123	4	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|29DMG|34TLV|5BEXP|6RCR|89DUST|9BPWR|aDUR
105	62533 42123	3	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|29DMG|34TLV|5BEXP|6RCR|89DUST|9BPWR|aDUR
106	62611 14322	10	   	258.67	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	169VULN|2DMG|37ASPD|4BELT|5TLV|8RCR|aDUR
107	61632 25221	8	 * 	258.58	DCR|4VULN|2ASPD|2CDMG|1AART	1478VULN|2CGEN|37ASPD|5RMIN|67CDMG|7BPWR|9AART|aRCR
108	62213 65113	5	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	178VULN|25DMG|3DUR|4BEXP|6LIT|9ASPD|aRCR
109	62631 53123	9	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	146VULN|29DMG|3ASPD|5LIT|7DMSP|8DUR|aRCR
110	62633 31223	9	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	146VULN|29DMG|3ASPD|5DUR|7DMSP|8LIT|aRCR
111	62213 12323	6	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	179VULN|25DMG|3DUR|4BEXP|6ASPD|8LIT|aRCR
112	62213 26163	6	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	167VULN|25DMG|3DUR|4BEXP|8ASPD|9LIT|aRCR
113	62213 26313	6	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	167VULN|25DMG|3DUR|4BEXP|8LIT|9ASPD|aRCR
114	62213 56313	5	   	258.11	DCR|3VULN|2DMG|1DUR|1ASPD	167VULN|25DMG|3DUR|4BEXP|8LIT|9ASPD|aRCR
115	61121 43136	1	   	257.66	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	17VULN|25DMG|35ASPD|4TBNT|5BPWR|6RCR|8LIT|9TLV|aDUR
116	61131 43136	1	   	257.66	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	17VULN|25DMG|35ASPD|4BBNT|5BPWR|6RCR|8LIT|9TLV|aDUR
117	62121 43136	2	   	257.66	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	17VULN|25DMG|35ASPD|4TBNT|5BPWR|6RCR|8LIT|9TLV|aDUR
118	62131 43136	2	   	257.66	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	17VULN|25DMG|35ASPD|4BBNT|5BPWR|6RCR|8LIT|9TLV|aDUR
