0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35113 52215	1	 * 	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1aASPD|24DMG|34aVULN|4aBPWR|5BEXP|6CDMG|7BBNT|8RCR|9aDUR
16	34433 12221	1	 * 	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|27aVULN|35DMG|4TBNT|6TLV|8DUR|9RCR
17	35133 12221	1	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|25DMG|37aVULN|4TBNT|6TLV|8DUR|9RCR
18	34162 12422	4	 * 	261.67	DCR|4VULN|2TLV|2ASPD|1DUR	1aASPD|2aTLV|3ERES|4DUR|567aVULN|8BBNT|9RCR|aBPWR
19	36334 32422	6	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	1aASPD|24aDUR|34CGEN|4aBPWR|5TLV|67aVULN|8BBNT|9RCR
20	31435 11325	1	 * 	260.08	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aASPD|2TLV|3aDMG|48DUR|5DUST|6aVULN|7BBNT|9RCR|aBPWR
21	33316 13433	4	 * 	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ASPD|2LWND|3aTLV|4aDMG|5CDMG|6aVULN|7DUR|8CGEN|9RCR|aBPWR
22	33436 13433	1	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ASPD|2FEWX|3aDMG|4aTLV|5CDMG|6aVULN|7DUR|8CGEN|9RCR|aBPWR
23	33436 13433	2	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ASPD|2LWND|3aDMG|4aTLV|5CDMG|6aVULN|7DUR|8CGEN|9RCR|aBPWR
24	31131 12143	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2TLV|367aVULN|4RPLT|5CDMG|8RCR|9DUR
25	34131 12143	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|267aVULN|3TLV|4RPLT|5CDMG|8RCR|9DUR
26	34131 12143	2	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2TLV|367aVULN|4RPLT|5CDMG|8RCR|9DUR
27	34352 12143	3	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2TLV|3CDMG|4RPLT|567aVULN|8RCR|9DUR
28	34321 21123	1	   	259.30	DCR|5VULN|1DMG|2ASPD|1AART	17ASPD|24567VULN|3AART|7BPWR|8DMSP|9DMG|aRCR
29	34321 23126	1	 * 	259.30	DCR|5VULN|2CDMG|2ASPD|1AART	1aASPD|2456aVULN|3AART|7aCDMG|8RCR|9BELT|aBPWR
30	32351 35214	7	 * 	259.29	DCR|2VULN|3DMG|2DUR|2ASPD|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8aDUR|9RCR
31	32351 35216	7	   	258.36	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUR|9RCR|aCDMG
32	46322 61213	8	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CGEN|2aDUR|3TLV|4CDMG|5aVULN|6RMIN|7FEWX|8aDMG|9RCR|aBPWR
33	46322 62213	8	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CGEN|2aDUR|3TLV|4CDMG|5aVULN|6RMIN|7LHND|8aDMG|9RCR|aBPWR
34	46312 12421	4	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1CGEN|2DUR|3TLV|4DMG|567aVULN|8BBNT|9RCR
35	34313 13452	3	   	256.75	DCR|2VULN|2TLV|1DMG|1DUR|2LIT|1CDMG	1ASPD|29TLV|3CDMG|4MBVNT|5DMG|69VULN|7DUR|89LIT|9BPWR|aRCR
36	32562 14133	1	 * 	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	19ASPD|2TBNT|359VULN|4BEXP|68DUR|79TLV|9BPWR|aRCR
37	32562 13633	1	   	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	19ASPD|2TBNT|359VULN|4BEXP|67DUR|89TLV|9BPWR|aRCR
38	32152 34113	3	   	255.20	DCR|3VULN|2TLV|2DUR|2ASPD	19ASPD|235ERES|456VULN|59BPWR|79TLV|89DUR|aRCR
39	32351 35212	8	   	254.66	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8FEWX|9RCR|aTLV
40	32351 35412	7	   	254.66	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8LHND|9RCR|aTLV
41	32351 35532	10	   	254.66	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8TLV|9CGEN|aRCR
42	32351 35512	7	   	254.56	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUST|9RCR|aTLV
43	31422 33462	1	   	253.90	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	1aASPD|2TLV|3aDMG|4LIT|5RPLT|6TBNT|7DUR|8RCR|9aVULN|aBPWR
44	35116 31633	1	   	253.80	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|24DMG|34VULN|4BPWR|5DUR|6DUST|8RCR|9LIT|aTLV
45	46322 12113	9	 * 	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1CGEN|269DUR|3TLV|4CDMG|56VULN|6BPWR|7DUST|8DMG|aRCR
46	46322 12143	8	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1CGEN|269DUR|3TLV|4CDMG|56VULN|6BPWR|7DUST|8DMG|aRCR
47	32351 31412	10	   	253.15	DCR|3VULN|3DMG|2ASPD|1AART	18ASPD|2ERES|358DMG|4AART|678VULN|8BPWR|9BEXP|aRCR
48	32351 31422	10	   	253.15	DCR|3VULN|3DMG|2ASPD|1AART	18ASPD|2ERES|358DMG|4AART|678VULN|8BPWR|9LHND|aRCR
49	36432 12532	2	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3DMG|4TLV|567VULN|8RPLT|9LIT|aRCR
50	31432 12532	1	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8RPLT|9LIT|aRCR
51	34432 12532	2	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8RPLT|9LIT|aRCR
52	36512 12532	4	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3TLV|4DMG|567VULN|8RPLT|9LIT|aRCR
53	32351 31462	10	   	253.05	DCR|3VULN|3DMG|2ASPD|1AART	18ASPD|2ERES|358DMG|4AART|678VULN|8BPWR|9DUST|aRCR
54	31352 16422	1	 * 	253.05	DCR|4VULN|3TLV|3ASPD	17aASPD|27aTLV|3CGEN|4FEWX|567aVULN|7aBPWR|8BBNT|9RCR
55	31432 12426	1	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aLIT
56	32351 51325	10	   	252.91	DCR|3VULN|3DMG|2ASPD|1AART|1SELL	1aASPD|2ERES|35aDMG|4AART|6RCR|78aVULN|9SELL|aBPWR
57	34321 23136	1	   	252.81	DCR|4VULN|1TLV|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9LWND|aTLV
58	32351 35211	7	   	252.48	DCR|2VULN|3DMG|2AART|2ASPD|1DUR	17ASPD|2ERES|357DMG|4aAART|67VULN|7BPWR|8DUR|9RCR
59	32351 35611	8	   	252.48	DCR|2VULN|3DMG|2AART|2ASPD|1DUR	17ASPD|2ERES|357DMG|4aAART|67VULN|7BPWR|8DUR|9RCR
60	42535 12222	1	   	252.12	DCR|4VULN|2DUR|1TLV	1aCGEN|2TBNT|357aVULN|4ZMB|6TLV|8aDUR|9RCR|aBPWR
61	34612 13433	4	   	251.50	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ASPD|2TLV|3aLHND|4aDMG|5CDMG|6aVULN|7DUR|8CGEN|9RCR|aBPWR
62	43313 52633	8	   	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1CGEN|2LWND|3aTLV|4aDMG|5ZMB|6aVULN|7DUR|8CDMG|9RCR|aBPWR
63	24144 13133	6	   	249.86	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1aLHND|2CDMG|3BELT|4aDUR|5DMG|6AART|7TLV|8RCR|9aVULN|aBPWR
64	14163 13433	2	   	249.84	DCR|2VULN|2TLV|1DMG|2ASPD|1DUR|1CDMG	1BEXP|2CDMG|3aTLV|4aASPD|5DMG|6aVULN|7DUR|8CGEN|9RCR|aBPWR
65	35113 62215	1	   	249.49	DCR|2VULN|3DMG|2DUR|2ASPD|1SELL	1aASPD|24aDMG|34VULN|4aBPWR|5BEXP|6SELL|7BBNT|8RCR|9aDUR
66	31131 12662	1	 * 	249.46	DCR|4VULN|1TLV|2CDMG	1ASPD|2TLV|367aVULN|4RPLT|58CDMG|9RCR
67	31452 12421	1	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2TLV|3DMG|4FEWX|567aVULN|8BBNT|9RCR
68	33312 12421	4	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2LWND|3TLV|4DMG|567aVULN|8BBNT|9RCR
69	33432 12421	1	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2FEWX|3DMG|4TLV|567aVULN|8BBNT|9RCR
70	33432 12421	2	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2LWND|3DMG|4TLV|567aVULN|8BBNT|9RCR
71	34131 12662	1	   	249.46	DCR|4VULN|1TLV|2CDMG	1ASPD|267aVULN|3TLV|4RPLT|58CDMG|9RCR
72	34131 12662	2	   	249.46	DCR|4VULN|1TLV|2CDMG	1ASPD|2TLV|367aVULN|4RPLT|58CDMG|9RCR
73	34412 12421	4	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2TLV|3FEWX|4DMG|567aVULN|8BBNT|9RCR
74	34432 12421	3	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2TLV|3FEWX|4DMG|567aVULN|8BBNT|9RCR
75	44312 12422	4	 * 	249.33	DCR|4VULN|2TLV|1DMG	1aCGEN|2aTLV|3DUST|4DMG|567aVULN|8BBNT|9RCR|aBPWR
76	34326 23126	1	   	248.73	DCR|4VULN|2CDMG|2AART|2ASPD	1aASPD|246aVULN|35AART|7aCDMG|8RCR|9BELT|aBPWR
77	46322 11613	10	   	248.40	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CGEN|26DUR|3TLV|4CDMG|56VULN|6BPWR|7FEWX|8LIT|9DMG|aRCR
78	35523 13433	4	 * 	248.31	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR	1ASPD|2BEXP|3aTLV|4aCDMG|5DMG|6aVULN|7DUR|8CGEN|9RCR|aBPWR
79	46322 12613	10	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CGEN|26DUR|3TLV|4CDMG|56VULN|6BPWR|7DUST|8LIT|9DMG|aRCR
80	36334 21532	6	   	247.98	DCR|2VULN|3DUR|1TLV|1DMG	1ASPD|248DUR|34CGEN|4BPWR|5TLV|6DMG|7RCR|9aVULN
81	46332 22126	10	 * 	247.75	DCR|2VULN|3DUR|2TLV|1DMG	1CGEN|245DUR|34TLV|4BPWR|6FEWX|7DMG|89VULN|aRCR
82	46332 33124	10	 * 	247.65	DCR|2VULN|3DUR|3TLV|1DMG	1CGEN|245DUR|346TLV|4BPWR|78VULN|9DMG|aRCR
83	44251 31313	9	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1CGEN|2TLV|35DMG|4AART|678VULN|9DLOT|aRCR
84	36352 61112	10	   	247.32	DCR|3VULN|2DUR|1TLV|2ASPD	19ASPD|29DUR|3CGEN|4RPLT|5RMIN|6TLV|79aVULN|8RCR|9BPWR
85	32524 12222	1	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	1aASPD|2TBNT|37aVULN|4CGEN|5RCVC|6TLV|8aDUR|9RCR|aBPWR
86	32525 16222	1	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	1aASPD|2TBNT|35aVULN|4CGEN|6TLV|7RCVC|8aDUR|9RCR|aBPWR
87	36341 32422	6	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	1aASPD|2aDUR|3CGEN|4TLV|5RCVC|67aVULN|8BBNT|9RCR|aBPWR
88	34321 21213	1	   	247.01	DCR|5VULN|2AART|2ASPD	17ASPD|24567VULN|38AART|7BPWR|9ZMB|aRCR
89	34321 21233	1	   	247.01	DCR|5VULN|2AART|2ASPD	17ASPD|24567VULN|38AART|7BPWR|9RMIN|aRCR
90	34321 21253	1	   	247.01	DCR|5VULN|2AART|2ASPD	17ASPD|24567VULN|38AART|7BPWR|9CGEN|aRCR
91	24362 33241	1	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|247VULN|34DUR|4BPWR|5LIT|6BBNT|8DMG|9RCR|aCDMG
92	34321 23146	1	   	246.67	DCR|4VULN|1DMG|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9RMIN|aDMG
93	32351 53521	9	   	246.62	DCR|2VULN|3DMG|1TLV|1AART	1ASPD|2ERES|357DMG|4AART|6RCR|8TLV|9aVULN
94	32351 53522	10	   	246.62	DCR|2VULN|3DMG|1TLV|1AART	1ASPD|2ERES|357DMG|4AART|6RCR|8TLV|9aVULN
95	24362 42322	1	 * 	246.47	DCR|3VULN|3DUR|1DMG	1LHND|24aVULN|346DUR|4BPWR|5LIT|7DMG|8RCR|9BEXP
96	34414 21233	1	   	246.20	DCR|3VULN|2DMG|1TLV	1ASPD|249VULN|34DMG|4BPWR|568LWND|7RCR|aTLV
97	35114 21233	1	   	246.20	DCR|3VULN|2DMG|1TLV	1ASPD|24DMG|349VULN|4BPWR|568LWND|7RCR|aTLV
98	31135 62143	1	   	246.19	DCR|3VULN|1TLV|2ASPD|1DUR|1CDMG	15ASPD|2TLV|37aVULN|4RPLT|6CDMG|8RCR|9DUR
99	34433 12226	1	   	245.86	DCR|2VULN|2DMG|1TLV|1DUR	1ASPD|27VULN|35DMG|4TBNT|6TLV|8DUR|9RCR|aLIT
100	35133 12226	1	   	245.86	DCR|2VULN|2DMG|1TLV|1DUR	1ASPD|25DMG|37VULN|4TBNT|6TLV|8DUR|9RCR|aLIT
101	35333 34633	1	   	245.69	DCR|2VULN|2DMG|2TLV|1DUR|1SELL	1ASPD|2aDMG|3CGEN|4DUR|5SELL|6aTLV|7LWND|8aVULN|9RCR|aBPWR
102	31232 12421	1	   	245.65	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3ZMB|4DUR|567aVULN|8BBNT|9RCR
103	32525 12221	1	   	245.65	DCR|4VULN|1TLV|1DUR	1ASPD|2TBNT|357aVULN|4CGEN|6TLV|8DUR|9RCR
104	34232 12421	2	   	245.65	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3ZMB|4DUR|567aVULN|8BBNT|9RCR
105	36342 12421	4	   	245.65	DCR|4VULN|1TLV|1DUR	1ASPD|2DUR|3CGEN|4TLV|567aVULN|8BBNT|9RCR
106	36632 12421	3	   	245.65	DCR|4VULN|1TLV|1DUR	1ASPD|2DUR|3ZMB|4TLV|567aVULN|8BBNT|9RCR
107	35116 61332	1	   	245.57	DCR|2VULN|2DMG|1TLV|1DUR|2SELL	1ASPD|24DMG|34VULN|4BPWR|5DUR|68SELL|7TLV|9LIT|aRCR
108	34162 12421	4	   	245.55	DCR|4VULN|1TLV|1DUR	1ASPD|2TLV|3ERES|4DUR|567aVULN|8BBNT|9RCR
109	34232 12421	3	   	245.55	DCR|4VULN|1TLV|1DUR|1NUKE	1ASPD|2TLV|3NUKE|4DUR|567aVULN|8BBNT|9RCR
110	34262 12421	4	   	245.55	DCR|4VULN|1TLV|1DUR|1NUKE	1ASPD|2TLV|3NUKE|4DUR|567aVULN|8BBNT|9RCR
111	31352 12422	1	   	245.52	DCR|4VULN|2TLV|2ASPD	1aASPD|2aTLV|3CGEN|4FEWX|567aVULN|8BBNT|9RCR|aBPWR
112	34352 12422	2	   	245.52	DCR|4VULN|2TLV|2ASPD	1aASPD|2aTLV|3CGEN|4FEWX|567aVULN|8BBNT|9RCR|aBPWR
113	31352 16421	1	   	245.52	DCR|4VULN|2TLV|2ASPD	17ASPD|27TLV|3CGEN|4FEWX|567aVULN|7BPWR|8BBNT|9RCR
114	34152 12422	3	   	245.42	DCR|4VULN|2TLV|2ASPD	1aASPD|2aTLV|3ERES|4FEWX|567aVULN|8BBNT|9RCR|aBPWR
115	32351 51363	10	   	245.11	DCR|3VULN|3DMG|1AART	1ASPD|2ERES|35aDMG|4AART|6RCR|789VULN
116	35432 12313	2	   	244.89	DCR|3VULN|2TLV|1DMG	1ASPD|2BEXP|3DMG|49TLV|567VULN|8LIT|aRCR
117	35512 12313	4	   	244.89	DCR|3VULN|2TLV|1DMG	1ASPD|2BEXP|39TLV|4DMG|567VULN|8LIT|aRCR
118	61263 33611	8	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|2LEGI|3LHND|457VULN|67DUR|7BPWR|8CDMG|9RCR|aTLV
119	32351 35213	7	   	244.71	DCR|2VULN|3DMG|2ASPD|1DUR|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUR|9RCR|aMLV
120	32351 35214	8	   	244.71	DCR|2VULN|3DMG|2ASPD|1DUR|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8FEWX|9RCR|aDUR
121	32351 35215	7	   	244.71	DCR|2VULN|3DMG|2ASPD|1DUR|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUR|9RCR|aRMIN
122	32351 35613	8	   	244.71	DCR|2VULN|3DMG|2ASPD|1DUR|1AART	17ASPD|2ERES|357DMG|4AART|67VULN|7BPWR|8DUR|9RCR|aMLV
123	36432 12422	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3DMG|4TLV|567VULN|8BBNT|9RCR|aMLV
124	36432 12423	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3DMG|4TLV|567VULN|8BBNT|9RCR|aZMB
125	31131 12141	1	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1ASPD|2TLV|367VULN|4RPLT|5aCDMG|8RCR|9DUR
126	31432 12422	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aMLV
127	31432 12423	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aZMB
128	31432 12424	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aBEXP
129	31432 12425	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aCGEN
130	31432 16622	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|56aVULN|7MLV|8RCR|9BBNT
131	34131 12141	1	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1ASPD|267VULN|3TLV|4RPLT|5aCDMG|8RCR|9DUR
132	34131 12141	2	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1ASPD|2TLV|367VULN|4RPLT|5aCDMG|8RCR|9DUR
133	34352 12141	3	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1ASPD|2TLV|3aCDMG|4RPLT|567VULN|8RCR|9DUR
134	34432 12422	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aMLV
135	34432 12423	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9RCR|aZMB
136	34434 12221	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|27aVULN|3DMG|4TBNT|5RCVC|6TLV|8DUR|9RCR
137	35134 12221	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DMG|37aVULN|4TBNT|5RCVC|6TLV|8DUR|9RCR
138	36512 12422	4	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3TLV|4DMG|567VULN|8BBNT|9RCR|aMLV
139	36512 12423	4	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3TLV|4DMG|567VULN|8BBNT|9RCR|aZMB
140	36432 12433	2	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3DMG|4TLV|567VULN|8BBNT|9MBVNT|aRCR
141	36432 13622	2	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3DMG|4TLV|56aVULN|7ERES|8RCR|9BBNT
142	31432 12433	1	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9MBVNT|aRCR
143	31432 13622	1	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|56aVULN|7ERES|8RCR|9BBNT
144	34432 12433	2	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|567VULN|8BBNT|9MBVNT|aRCR
145	34432 13622	2	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DMG|4DUR|56aVULN|7ERES|8RCR|9BBNT
146	36512 12433	4	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3TLV|4DMG|567VULN|8BBNT|9MBVNT|aRCR
147	36512 13622	4	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DUR|3TLV|4DMG|56aVULN|7ERES|8RCR|9BBNT
148	34362 22623	10	   	244.53	DCR|2VULN|2TLV|2ASPD|1DUR|2LIT|1CDMG	18ASPD|28TLV|3CDMG|45LIT|6LEGI|78VULN|8BPWR|9DUR|aRCR
149	13335 53322	10	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1BEXP|24ERES|34TLV|4BPWR|56aVULN|7DUR|8RCR|9DMG
150	13345 53322	10	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1BEXP|2ERES|34TLV|56aVULN|7DUR|8RCR|9DMG
151	11163 42112	6	 * 	244.36	DCR|5VULN|2DUR	17BEXP|2LHND|34679VULN|57DUR|7BPWR|8BELT|aRCR
152	15163 42112	6	   	244.36	DCR|5VULN|2DUR	17BEXP|2LWND|34679VULN|57DUR|7BPWR|8BELT|aRCR
153	26163 42112	6	   	244.36	DCR|5VULN|2DUR	17LHND|2FEWX|34679VULN|57DUR|7BPWR|8BELT|aRCR
154	24363 52231	1	   	244.30	DCR|3VULN|3DUR|1TLV	1LHND|247VULN|346DUR|4BPWR|5LWND|8RCR|9TLV|aRPLT
155	24363 52232	1	   	244.30	DCR|3VULN|3DUR|1TLV	1LHND|247VULN|346DUR|4BPWR|5LWND|8RCR|9TLV|aFEWX
156	32321 62243	2	   	244.21	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1ASPD|2ERES|3AART|4TLV|56VULN|7DMG|89DUR|aRCR
157	24363 52233	1	   	244.20	DCR|3VULN|3DUR|1TLV	1LHND|247VULN|346DUR|4BPWR|5LWND|8RCR|9TLV|aBBNT
158	46433 12322	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	18aCGEN|2aDUR|35DMG|4TBNT|6TLV|7aVULN|9RCR|aBPWR
159	35116 11622	1	   	243.99	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|24DMG|34aVULN|4BPWR|5DUR|6LHND|8RCR|9BBNT
160	35116 21622	1	   	243.99	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|24DMG|34aVULN|4BPWR|5DUR|6LWND|8RCR|9BBNT
161	35116 31622	1	   	243.89	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|24DMG|34aVULN|4BPWR|5DUR|6DUST|8RCR|9BBNT
162	31163 26343	1	 * 	243.54	DCR|3VULN|1TLV|3ASPD|3LIT|1SELL	17aASPD|2TLV|35aVULN|4SELL|68aLIT|9RCR|aBPWR
163	33312 15366	4	   	243.36	DCR|2VULN|2DMG|1TLV|1CDMG	1ASPD|2LWND|3TLV|48DMG|56VULN|7LIT|9CDMG|aRCR
164	36334 32422	7	   	243.29	DCR|2VULN|3DUR|1TLV|3ASPD	17aASPD|24aDUR|34CGEN|4aBPWR|5TLV|6aVULN|8BBNT|9RCR
