0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11622 12131	1	 * 	288.98	DCR|4VULN|2DMG|2TLV|1CDMG	19DUST|2489VULN|34TLV|49BPWR|5ASPD|69DMG|7RCR|aCDMG
79	31162 34121	4	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4BEXP|5MLV|68DMG|8BPWR|9RCR
80	31163 16121	6	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|368aVULN|4BEXP|5MLV|78DMG|8BPWR|9RCR
81	31163 24121	4	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4BEXP|5CGEN|68DMG|8BPWR|9RCR
82	31163 24121	3	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4LHND|5CGEN|68DMG|8BPWR|9RCR
83	31163 34121	5	   	267.12	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4BEXP|5MLV|68DMG|8BPWR|9RCR
84	23233 11538	8	   	267.05	DCR|5VULN|3DUR|1AART	1MBVNT|2LEGI|3589aVULN|45aDUR|5aBPWR|6AART|7RCR
85	23233 11638	7	   	267.05	DCR|5VULN|3DUR|1AART	1MBVNT|2LEGI|3589aVULN|45aDUR|5aBPWR|6AART|7RCR
86	23233 34438	8	   	267.05	DCR|5VULN|3DUR|1AART	1MBVNT|2LEGI|3569aVULN|45aDUR|5aBPWR|7AART|8RCR
87	11662 12134	1	   	267.05	DCR|4VULN|2DMG|1TLV	19DUST|2489VULN|3TLV|5ASPD|69DMG|7RCR|9BPWR|aERES
88	11662 12431	1	   	267.05	DCR|4VULN|2DMG|1TLV	189DUST|249aVULN|3TLV|5ASPD|69DMG|7RCR|9BPWR
89	31121 16121	6	   	267.02	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|368aVULN|4ERES|5BEXP|78DMG|8BPWR|9RCR
90	31121 24121	5	   	267.02	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4ERES|5BEXP|68DMG|8BPWR|9RCR
91	31125 24121	4	   	267.02	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4ERES|5LHND|68DMG|8BPWR|9RCR
92	31126 24121	4	   	267.02	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|378aVULN|4ERES|5FEWX|68DMG|8BPWR|9RCR
93	31153 64121	2	   	267.02	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|38DMG|4DUST|5CGEN|678aVULN|8BPWR|9RCR
94	31153 64121	1	   	267.02	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|38DMG|4DUST|5CGEN|678aVULN|8BPWR|9RCR
95	43131 11641	6	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	139DUR|2FEWX|49VULN|5AART|6LHND|7TLV|89DMG|9BPWR|aRCR
96	43133 11641	6	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	139DUR|2FEWX|49VULN|5LWND|6AART|7TLV|89DMG|9BPWR|aRCR
97	31151 64121	2	   	266.92	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|38DMG|4DUST|5ERES|678aVULN|8BPWR|9RCR
98	31151 64121	1	   	266.92	DCR|4VULN|2DMG|2TLV	1BELT|28TLV|38DMG|4DUST|5ERES|678aVULN|8BPWR|9RCR
99	22384 24125	2	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1MBVNT|279DUR|37DMG|47VULN|5AART|6BBNT|7BPWR|8RCR|aTLV
100	22473 24125	2	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1MBVNT|279DUR|3BBNT|47DMG|5AART|67VULN|7BPWR|8RCR|aTLV
101	27714 24125	1	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1MBVNT|2AART|3BBNT|47DMG|579DUR|67VULN|7BPWR|8RCR|aTLV
102	21437 13851	6	 * 	266.56	DCR|4VULN|3DMG|1AART	1MBVNT|278BEXP|3ASPD|478aVULN|578DMG|6AART|78BPWR|9RCR
103	51626 12133	1	   	265.78	DCR|4VULN|2TLV|1DMG|2ASPD	19FEWX|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aCGEN
104	61626 12133	1	   	265.78	DCR|4VULN|2TLV|1DMG|2ASPD	19BEXP|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aCGEN
105	22433 24416	10	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|27DUR|3TLV|457aVULN|67LWND|7BPWR|8CDMG|9RCR
106	22413 18357	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|28DUR|38TLV|4LHND|57VULN|68DMG|8BPWR|9RCR|aCDMG
107	22434 18357	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|28DUR|38TLV|47VULN|5FEWX|68DMG|8BPWR|9RCR|aCDMG
108	22443 18357	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|28DUR|38TLV|4FEWX|57VULN|68DMG|8BPWR|9RCR|aCDMG
109	22722 44434	9	   	265.72	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1MBVNT|249DUR|3ASPD|59TLV|69VULN|7AART|8RCR|9BPWR|aDMG
110	22722 44454	8	   	265.72	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1MBVNT|249DUR|3ASPD|59TLV|69VULN|7AART|8RCR|9BPWR|aDMG
111	11626 12133	1	   	265.58	DCR|4VULN|2TLV|1DMG|2ASPD	19DUST|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aCGEN
112	11626 12136	1	   	265.58	DCR|4VULN|2TLV|1DMG|2ASPD	19DUST|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aFEWX
113	22726 12141	1	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1MBVNT|2458VULN|34TLV|4BPWR|6DUR|7RCR|9DMG|aLWND
114	22726 12143	1	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1MBVNT|2458VULN|34TLV|4BPWR|6DUR|7RCR|9DMG|aRPLT
115	22726 12145	1	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1MBVNT|2458VULN|34TLV|4BPWR|6DUR|7RCR|9DMG|aZMB
116	22726 12146	1	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1MBVNT|2458VULN|34TLV|4BPWR|6DUR|7RCR|9DMG|aLHND
117	11625 53131	1	   	265.58	DCR|5VULN|2TLV|1AART	1DUST|2456aVULN|34TLV|4BPWR|7RCR|8AART|9ASPD
118	22776 12111	1	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|2458VULN|3TLV|69DUR|7RCR|aCDMG
119	22384 24113	2	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	1MBVNT|27aDUR|37DMG|47aVULN|5AART|6BBNT|7aBPWR|8RCR|9aCGEN
120	22473 24113	2	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	1MBVNT|27aDUR|3BBNT|47DMG|5AART|67aVULN|7aBPWR|8RCR|9aCGEN
121	11626 12134	1	   	265.48	DCR|4VULN|2TLV|1DMG|2ASPD	19DUST|2489VULN|34TLV|49BPWR|5DMG|69ASPD|7RCR|aERES
122	11626 12431	1	   	265.48	DCR|4VULN|2TLV|1DMG|2ASPD	189DUST|249aVULN|34TLV|49BPWR|5DMG|69ASPD|7RCR
123	22726 12142	1	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1MBVNT|2458VULN|34TLV|4BPWR|6DUR|7RCR|9DMG|aDUST
124	22726 12144	1	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1MBVNT|2458VULN|34TLV|4BPWR|6DUR|7RCR|9DMG|aBBNT
125	22427 44434	9	   	265.48	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	1MBVNT|249DUR|3TLV|59ASPD|69VULN|7AART|8RCR|9BPWR|aDMG
126	22427 44454	8	   	265.48	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	1MBVNT|249DUR|3TLV|59ASPD|69VULN|7AART|8RCR|9BPWR|aDMG
127	22437 16434	9	   	265.48	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	1MBVNT|279DUR|3TLV|49VULN|59ASPD|6AART|8RCR|9BPWR|aDMG
128	22437 16454	8	   	265.48	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	1MBVNT|279DUR|3TLV|49VULN|59ASPD|6AART|8RCR|9BPWR|aDMG
129	22776 12411	1	   	265.15	DCR|4VULN|3DUR|1TLV	1MBVNT|245aVULN|3TLV|689DUR|7RCR
130	22467 44431	10	   	264.96	DCR|3VULN|2TLV|2DUR|2ASPD|1AART	1MBVNT|29DUR|34TLV|59ASPD|69aVULN|7AART|8RCR|9BPWR
131	22467 44431	9	   	264.96	DCR|3VULN|2TLV|2DUR|2ASPD|1AART	1MBVNT|29DUR|34TLV|59ASPD|69aVULN|7AART|8RCR|9BPWR
132	22467 44451	8	   	264.96	DCR|3VULN|2TLV|2DUR|2ASPD|1AART	1MBVNT|29DUR|34TLV|59ASPD|69aVULN|7AART|8RCR|9BPWR
133	22752 44431	10	   	264.96	DCR|3VULN|2TLV|2DUR|2ASPD|1AART	1MBVNT|29DUR|34ASPD|59TLV|69aVULN|7AART|8RCR|9BPWR
134	22752 44431	9	   	264.96	DCR|3VULN|2TLV|2DUR|2ASPD|1AART	1MBVNT|29DUR|34ASPD|59TLV|69aVULN|7AART|8RCR|9BPWR
135	22752 44451	8	   	264.96	DCR|3VULN|2TLV|2DUR|2ASPD|1AART	1MBVNT|29DUR|34ASPD|59TLV|69aVULN|7AART|8RCR|9BPWR
136	22437 12431	9	 * 	264.31	DCR|3VULN|2DUR|1TLV|3ASPD|1AART	1MBVNT|29DUR|3TLV|49aVULN|579ASPD|6AART|8RCR|9BPWR
137	22437 12435	10	   	264.31	DCR|3VULN|2DUR|1TLV|3ASPD|1AART	1MBVNT|29DUR|3TLV|49aVULN|579ASPD|6AART|8RCR|9BPWR
138	22437 12451	8	   	264.31	DCR|3VULN|2DUR|1TLV|3ASPD|1AART	1MBVNT|29DUR|3TLV|49aVULN|579ASPD|6AART|8RCR|9BPWR
139	22437 34435	10	   	264.31	DCR|3VULN|2DUR|1TLV|3ASPD|1AART	1MBVNT|29DUR|3TLV|469VULN|59aASPD|7AART|8RCR|9BPWR
140	22724 81151	1	 * 	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	1MBVNT|249aVULN|34TLV|49BPWR|59CDMG|6RCR|79LIT|8RCVC
141	22433 57416	9	   	264.16	DCR|3VULN|3DUR|1TLV|2CDMG	1MBVNT|27aDUR|3TLV|45aVULN|6LEGI|8aCDMG|9RCR|aBPWR
142	27713 34332	1	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1MBVNT|2AART|3BBNT|47DMG|578VULN|6RCR|7BPWR|9DUR|aTLV
143	11625 53133	1	   	263.49	DCR|4VULN|2TLV|1DUR|1AART	1DUST|2456VULN|34TLV|4BPWR|7RCR|8AART|9ASPD|aDUR
144	22726 12223	1	   	263.49	DCR|4VULN|2TLV|1DUR|1AART	1MBVNT|2459VULN|34TLV|4BPWR|6DUR|7RCR|8AART|aLIT
145	23323 35351	4	   	263.30	DCR|3VULN|2DMG|2TLV|2AART	1MBVNT|2LEGI|34AART|59TLV|69DMG|7RCR|89aVULN|9BPWR
146	22236 16116	1	 * 	263.23	ACR|3VULN|2TLV|2DUR|1DMG|2CDMG|2ASPD	1MBVNT|28aVULN|38DUR|4aTLV|5RCR|6DMG|78CDMG|8aBPWR|9aASPD
147	11626 52131	1	   	263.08	DCR|4VULN|2TLV|1DMG|1CDMG	19DUST|2489VULN|34TLV|49BPWR|5DMG|69ZMB|7RCR|aCDMG
148	22727 37113	10	   	262.86	DCR|2VULN|3DMG|3DUR|2ASPD	1MBVNT|246DUR|39ASPD|579DMG|89VULN|9BPWR|aRCR
149	41626 12211	1	   	262.60	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1DUR|24aVULN|34TLV|4BPWR|5DMG|6ASPD|7RCR|8AART|9ZMB
150	41626 12222	1	   	262.60	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1DUR|249VULN|34TLV|4BPWR|5DMG|6ASPD|7RCR|8AART|aMLV
151	41626 12221	1	 * 	262.50	DCR|3VULN|3TLV|1DMG|1DUR|1AART	1DUR|249VULN|34aTLV|4BPWR|5DMG|6ASPD|7RCR|8AART
152	11622 12432	1	   	262.48	DCR|3VULN|2DMG|2TLV	189DUST|249VULN|34TLV|49BPWR|5ASPD|69DMG|7RCR|aLIT
153	21633 18353	3	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1MBVNT|28BEXP|378VULN|4TLV|5DUR|68DMG|8BPWR|9RCR|aLIT
154	31123 64122	1	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678VULN|8BPWR|9RCR|aBEXP
155	31123 64122	2	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678VULN|8BPWR|9RCR|aBEXP
156	31123 64123	2	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678VULN|8BPWR|9RCR|aZMB
157	31123 64123	1	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678VULN|8BPWR|9RCR|aZMB
158	31123 64126	1	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678VULN|8BPWR|9RCR|aFEWX
159	31123 64126	2	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|678VULN|8BPWR|9RCR|aFEWX
160	31123 63121	1	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|57CGEN|68aVULN|8BPWR|9RCR
161	31123 63121	2	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|57CGEN|68aVULN|8BPWR|9RCR
162	31123 66121	1	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|68aVULN|7RCVC|8BPWR|9RCR
163	31123 66121	2	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|28TLV|38DMG|4DUR|5CGEN|68aVULN|7RCVC|8BPWR|9RCR
