0	Index      	 *	Score 	Summary	Detail	
1	31123 41343	 * 	269.27	橙橙1易伤1伤害1攻速1平台	1时间2攻速3爆破对壮4额外掉落5赏金邻近6易伤7平台8a核9伤害
23	34314 31322	 * 	251.11	橙橙1易伤3时间1暴击	145时间26敌人爆炸3易伤7a核8暴击9技能点
24	34314 61322	   	251.01	橙橙1易伤3时间1暴击	145时间2敌人爆炸3易伤6激光减费7a核8暴击9技能点
25	31116 22411	 * 	250.52	橙4易伤3时间1伤害1攻速	156时间2攻速3爆破对壮4569易伤56序列升级7技能8伤害a核
26	42366 11322	   	248.88	橙橙1易伤1矿等1暴击	1敌人爆炸2赏金邻近3易伤4等级5最后敌人6金币生成7a核8暴击9矿等
27	62362 11322	   	248.88	橙橙1易伤1矿等1暴击	1最后敌人2赏金邻近3易伤4等级5基地爆炸6金币生成7a核8暴击9矿等
28	26311 52122	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2暴击3易伤4赏金塔5掉矿6a核7最后敌人8基地爆炸9矿等
29	26311 55222	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2暴击3易伤4赏金塔5掉矿6a核7基地爆炸8低血量敌人9矿等
30	26331 52122	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2暴击3易伤4赏金邻近5掉矿6a核7最后敌人8基地爆炸9矿等
31	26331 55222	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2暴击3易伤4赏金邻近5掉矿6a核7基地爆炸8低血量敌人9矿等
32	42356 11322	   	248.78	橙橙1易伤1矿等1暴击	1敌人爆炸2赏金邻近3易伤4掉矿5最后敌人6金币生成7a核8暴击9矿等
33	62352 11322	   	248.78	橙橙1易伤1矿等1暴击	1最后敌人2赏金邻近3易伤4掉矿5基地爆炸6金币生成7a核8暴击9矿等
34	16311 52122	   	248.68	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金塔5掉矿6a核7最后敌人8基地爆炸9矿等
35	16311 55222	   	248.68	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金塔5掉矿6a核7基地爆炸8低血量敌人9矿等
36	16331 52122	   	248.68	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金邻近5掉矿6a核7最后敌人8基地爆炸9矿等
37	16331 55222	   	248.68	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金邻近5掉矿6a核7基地爆炸8低血量敌人9矿等
38	26311 55322	   	248.68	橙橙1易伤1矿等1暴击	1金币生成2暴击3易伤4赏金塔5掉矿6a核7基地爆炸8挖青9矿等
39	26331 55322	   	248.68	橙橙1易伤1矿等1暴击	1金币生成2暴击3易伤4赏金邻近5掉矿6a核7基地爆炸8挖青9矿等
40	14515 11322	   	248.68	橙橙1易伤1矿等1暴击	1技能点2赏金塔3挖青4最后敌人5易伤6金币生成7a核8暴击9矿等
41	16311 55322	   	248.58	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金塔5掉矿6a核7基地爆炸8挖青9矿等
42	16331 55322	   	248.58	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金邻近5掉矿6a核7基地爆炸8挖青9矿等
43	16311 51622	   	248.48	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金塔57掉矿6a核8双倍秒伤9矿等
44	16331 51622	   	248.48	橙橙1易伤1矿等1暴击	1技能点2暴击3易伤4赏金邻近57掉矿6a核8双倍秒伤9矿等
45	31335 13264	   	248.30	橙橙1矿等1暴击1攻速1全技能	1时间2攻速3最后敌人4暴击5全技能6矿等7随机矿8掉矿9a核
46	32145 21522	 * 	247.48	紫橙2易伤1矿等2时间	19时间2赏金邻近39金币生成4矿等5a核6激光对愈79易伤8赏金塔9序列升级
47	13623 61151	   	247.12	橙橙1易伤1伤害1全技能	1技能点2基础对冰3全技能4易伤5赏金塔6基地爆炸79核8伤害a掉矿
48	13623 61152	   	247.12	橙橙1易伤1伤害1全技能	1技能点2基础对冰3全技能4易伤5赏金塔6基地爆炸79核8伤害a加一
49	13623 61153	   	247.12	橙橙1易伤1伤害1全技能	1技能点2基础对冰3全技能4易伤5赏金塔6基地爆炸79核8伤害a毒液对冰
50	62316 16132	   	244.79	橙橙1易伤1矿等1平台	1最后敌人2赏金邻近3易伤4平台56低血量敌人7a核8挖尘9矿等
51	31116 21145	 * 	243.01	橙4易伤2攻速3时间	156时间28攻速3爆破对壮4568易伤568序列升级78基地爆炸9核弹a核
52	31116 21115	   	242.87	橙4易伤2攻速3时间1策反	156时间28攻速3爆破对壮4568易伤568序列升级78基地爆炸9策反a核
53	24164 33132	   	242.11	橙橙1易伤2时间1平台	13金币生成2赏金塔4平台57时间6a核8易伤9双倍秒伤
54	32211 41332	   	242.11	橙橙1易伤2时间1平台	13时间2赏金邻近4易伤5挖青6低血量敌人7a核8随机矿9平台
55	32211 41252	   	242.01	橙橙1易伤2时间1平台	13时间2赏金邻近4易伤5挖青6低血量敌人7a核8平台9掉矿
56	26322 11562	   	241.68	橙4易伤1矿等1暴击1攻速	1金币生成2暴击3589易伤4攻速6核7最后敌人a矿等
57	26322 15243	   	241.65	橙3易伤1伤害1暴击1攻速1平台	1金币生成2暴击358易伤4攻速6核7平台9伤害a核弹
58	16322 15243	   	241.55	橙3易伤1伤害1暴击1攻速1平台	1技能点2暴击358易伤4攻速6核7平台9伤害a核弹
59	16233 13524	   	240.80	橙橙1易伤1暴击1全技能	1技能点2暴击3随机矿4技能5金币生成6a核7挖尘8易伤9全技能
60	42354 11332	   	239.55	橙橙1易伤1暴击	1敌人爆炸2赏金邻近3易伤4掉矿5时间6金币生成7a核8暴击9等级
