0	Index      	 *	Score 	Summary	Detail	
1	32131 14116	 * 	313.49	ACR|DCR|3VULN|1TLV|1CDMG	12AEFRZ|2BPWR|3aRCR|459VULN|6TLV|7LHND|8CDMG
12	31313 31424	   	293.32	DCR|3VULN|2TLV|1AEPOI|2DUR	17AEFRZ|279VULN|39LWND|4AME|57TLV|6RCR|79BPWR|89DUR|aAEPOI
13	31433 31424	   	293.32	DCR|3VULN|2TLV|1AEPOI|2DUR	17AEFRZ|279VULN|39MLV|4LWND|57TLV|6RCR|79BPWR|89DUR|aAEPOI
14	31133 31424	   	293.12	DCR|3VULN|2TLV|1AEPOI|2DUR	17AEFRZ|279VULN|39ERES|4LWND|57TLV|6RCR|79BPWR|89DUR|aAEPOI
15	13363 35214	 * 	292.47	ACR|4VULN|1TLV|2AEBURN|1ASPD	16AEBURN|2SPLARM|3DUR|4689VULN|5RCR|6BPWR|7TLV|aASPD
16	11233 33153	   	290.48	DCR|2TLV|2VULN|1AEBURN|2CDMG|1ASPD	1AEBURN|29VULN|3ZMB|4LWND|59TLV|6RCR|7AME|89CDMG|9BPWR|aASPD
17	31313 31623	 * 	289.15	DCR|4VULN|3TLV	17AEFRZ|279aVULN|3LWND|49AME|579TLV|6RCR|79BPWR|8LEGI
18	31433 31623	   	289.15	DCR|4VULN|3TLV	17AEFRZ|279aVULN|3MLV|49LWND|579TLV|6RCR|79BPWR|8LEGI
19	31133 31623	   	289.05	DCR|4VULN|3TLV	17AEFRZ|279aVULN|3ERES|49LWND|579TLV|6RCR|79BPWR|8LEGI
20	43115 43322	   	289.00	ACR|DCR|2VULN|1TLV|1ASPD	1LWND|2CGEN|3aVULN|4BELT|59RCR|6ASPD|7TLV|8RPLT
21	43143 32116	   	288.90	DCR|DCR|2VULN|1TLV|1CDMG	1LWND|24CGEN|39VULN|5TLV|6aRCR|7ERES|8CDMG
22	43163 32116	   	288.90	DCR|DCR|2VULN|1TLV|1CDMG	14LWND|2CGEN|39VULN|5TLV|6aRCR|7ERES|8CDMG
23	52153 32116	   	288.90	DCR|DCR|2VULN|1TLV|1CDMG	14AME|2LHND|39VULN|5TLV|6aRCR|7ERES|8CDMG
24	54113 32116	   	288.90	DCR|DCR|2VULN|1TLV|1CDMG	1AME|2BEXP|39VULN|4RCVC|5TLV|6aRCR|7ERES|8CDMG
25	31313 32116	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1AEFRZ|29VULN|3LWND|4AME|5TLV|6aRCR|7ERES|8CDMG
26	31433 32116	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1AEFRZ|29VULN|3MLV|4LWND|5TLV|6aRCR|7ERES|8CDMG
27	22112 23442	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DMG|3TLV|4DUR|5FEWX|6VULN|7AME|8aRCR|9DUST
28	22116 31442	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DMG|3TLV|4DUR|5AME|6FEWX|7VULN|8aRCR|9DUST
29	22131 31442	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DMG|3TLV|4AME|5DUR|6FEWX|7VULN|8aRCR|9DUST
30	32131 32516	   	288.70	ACR|DCR|2VULN|1TLV|1CDMG	12AEFRZ|2BPWR|3aRCR|45VULN|6ERES|7CGEN|8TLV|9CDMG
31	32134 12516	   	288.70	ACR|DCR|2VULN|1TLV|1CDMG	12AEFRZ|26BPWR|3aRCR|46VULN|56ERES|7CGEN|8TLV|9CDMG
32	11124 61512	   	288.42	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1SELL	1AEBURN|2VULN|3ERES|4MDPS|5DUR|6TLV|7aRCR|8ASPD|9SELL
33	43163 31423	   	288.27	DCR|3VULN|2TLV|1DMG|1CDMG	147LWND|2CGEN|378VULN|57TLV|6RCR|7BPWR|9CDMG|aDMG
34	43163 31633	   	288.27	DCR|3VULN|2TLV|1DMG|1CDMG	147LWND|2CGEN|379VULN|57TLV|6RCR|7BPWR|8CDMG|aDMG
35	11313 31432	   	288.17	DCR|3VULN|2TLV|2AEBURN|1CDMG	17AEBURN|278VULN|3LWND|4AME|57TLV|6RCR|7BPWR|9RMIN|aCDMG
36	11313 31465	   	288.17	DCR|3VULN|2TLV|2AEBURN|1CDMG	17AEBURN|278VULN|3LWND|4AME|57TLV|6RCR|7BPWR|9DMSP|aCDMG
37	11433 31432	   	288.17	DCR|3VULN|2TLV|2AEBURN|1CDMG	17AEBURN|278VULN|3MLV|4LWND|57TLV|6RCR|7BPWR|9RMIN|aCDMG
38	11133 31451	   	288.07	DCR|3VULN|2TLV|2AEBURN|1ASPD	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9ASPD|aRMIN
39	11133 31452	   	288.07	DCR|3VULN|2TLV|2AEBURN|1ASPD	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9ASPD|aLHND
40	11133 31453	   	288.07	DCR|3VULN|2TLV|2AEBURN|1ASPD	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9ASPD|aFEWX
41	11133 31456	   	288.07	DCR|3VULN|2TLV|2AEBURN|1ASPD	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9ASPD|aRPLT
42	11313 31452	   	288.07	DCR|3VULN|2TLV|2AEBURN|1CDMG	17AEBURN|278VULN|3LWND|4AME|57TLV|6RCR|7BPWR|9DUST|aCDMG
43	11433 31452	   	288.07	DCR|3VULN|2TLV|2AEBURN|1CDMG	17AEBURN|278VULN|3MLV|4LWND|57TLV|6RCR|7BPWR|9DUST|aCDMG
44	11313 31455	   	288.07	DCR|3TLV|3VULN|2AEBURN	17AEBURN|278VULN|3LWND|4AME|57aTLV|6RCR|7BPWR|9DUST
45	11133 31455	   	287.97	DCR|3VULN|2TLV|2AEBURN|1ASPD	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9ASPD|aDUST
46	11133 31462	   	287.97	DCR|3VULN|2TLV|2AEBURN|1CDMG	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9MBVNT|aCDMG
47	11133 31466	   	287.97	DCR|3TLV|3VULN|2AEBURN	17AEBURN|278VULN|3ERES|4LWND|57aTLV|6RCR|7BPWR|9MBVNT
48	13363 35211	   	287.87	ACR|4VULN|1TLV|2AEBURN|2DUR	16AEBURN|2SPLARM|3aDUR|4689VULN|5RCR|6BPWR|7TLV
49	22122 51154	   	286.91	DCR|2TLV|2VULN|1DMG|1CDMG	1CDMG|2DMG|3aTLV|4FRZICY|57VULN|6DUR|8RAT|9RCR
50	22125 22151	   	286.91	DCR|2TLV|2VULN|1DMG|1CDMG	1CDMG|2DMG|35TLV|4FRZICY|6DUR|7aVULN|8RAT|9RCR
51	11233 32415	   	286.47	DCR|2TLV|2VULN|1AEBURN|2DUR|1AART	1AEBURN|29VULN|3ZMB|4LWND|59TLV|6RCR|7DUST|89DUR|9BPWR|aAART
52	22122 11246	   	286.14	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DMG|3TLV|4FRZICY|5VULN|6CGEN|7aRCR|8TSLFST|9FEWX
53	22153 63631	 * 	285.76	DCR|3VULN|1TLV|2DMG|2CDMG	15CDMG|24DMG|3TLV|67aVULN|8RCR|9FEWX
54	22122 51151	   	285.40	DCR|3VULN|1TLV|1DMG|1CDMG	1CDMG|2DMG|3TLV|4FRZICY|57aVULN|6DUR|8RAT|9RCR
55	43143 31422	   	285.26	DCR|4VULN|2TLV	17LWND|24CGEN|3789VULN|57TLV|6RCR|7BPWR|aDUR
56	11333 24213	 * 	284.82	DCR|2TLV|1VULN|2DMG|1AEBURN|1ASPD|1CDMG	1AEBURN|2VULN|3LWND|45TLV|6aDMG|7RCR|8ASPD|9CDMG
57	43143 31522	   	284.28	DCR|3VULN|2TLV|1AEPOI	17LWND|24CGEN|379VULN|57TLV|6RCR|7BPWR|8AEPOI|aDUR
58	11313 31462	   	284.18	DCR|3VULN|2TLV|2AEBURN	17AEBURN|278VULN|3LWND|4AME|57TLV|6RCR|7BPWR|9DMSP|aDUR
59	11433 31462	   	284.18	DCR|3VULN|2TLV|2AEBURN	17AEBURN|278VULN|3MLV|4LWND|57TLV|6RCR|7BPWR|9DMSP|aDUR
60	25366 13331	   	284.18	DCR|3VULN|2TLV|2CDMG	19CDMG|2CGEN|389VULN|4BELT|5DUR|6BEXP|79TLV|9BPWR|aRCR
61	11313 31454	   	284.08	DCR|3VULN|2TLV|2AEBURN	17AEBURN|278VULN|3LWND|4AME|57TLV|6RCR|7BPWR|9DUST|aDUR
62	31313 31454	   	284.08	DCR|3VULN|2TLV|1AEPOI	17AEFRZ|279VULN|3LWND|4AME|57TLV|6RCR|7BPWR|8DUR|aAEPOI
63	11133 31412	   	283.98	DCR|3VULN|2TLV|2AEBURN	17AEBURN|278VULN|39ERES|4LWND|57TLV|6RCR|7BPWR|aDUR
64	11133 31465	   	283.98	DCR|3VULN|2TLV|2AEBURN	17AEBURN|278VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|9MBVNT|aDUR
65	31133 31454	   	283.98	DCR|3VULN|2TLV|1AEPOI	17AEFRZ|279VULN|3ERES|4LWND|57TLV|6RCR|7BPWR|8DUR|aAEPOI
66	11333 24434	   	283.67	DCR|2TLV|2VULN|1DMG|1AEBURN	1AEBURN|28VULN|3LWND|45TLV|6DMG|7RCR|9RAT|aFLTHEA
67	11313 33631	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3LWND|4AME|59TLV|6RCR|7DMG|89RAT|9BPWR|aLHND
68	11313 33632	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3LWND|4aAME|59TLV|6RCR|7DMG|89RAT|9BPWR
69	11313 33635	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3LWND|4AME|59TLV|6RCR|7DMG|89RAT|9BPWR|aBEXP
70	11433 33631	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3MLV|4LWND|59TLV|6RCR|7DMG|89RAT|9BPWR|aLHND
71	11433 33632	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3MLV|4LWND|59TLV|6RCR|7DMG|89RAT|9BPWR|aAME
72	11433 33633	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3MLV|4LWND|59TLV|6RCR|7DMG|89RAT|9BPWR|aRMIN
73	11433 33635	   	283.54	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	1AEBURN|29VULN|3MLV|4LWND|59TLV|6RCR|7DMG|89RAT|9BPWR|aBEXP
