0	Index      	 *	Score 	Summary	Detail	
1	34112 51334	 * 	289.05	DCR|4VULN|2TLV|1ASPD	1aERES|2LHND|358aVULN|4BEXP|6RCR|7ASPD|9aTLV|aBPWR
21	12661 52122	   	268.00	DCR|4VULN|1TLV|2DUR	13DUR|23CGEN|3BPWR|4578VULN|6RCR|9TLV|aRMIN
22	12661 52123	   	268.00	DCR|4VULN|1TLV|2DUR	13DUR|23CGEN|3BPWR|4578VULN|6RCR|9TLV|aLHND
23	12361 52122	   	267.90	DCR|4VULN|1TLV|2DUR	13DUR|2CGEN|4578VULN|6RCR|9TLV|aRMIN
24	12361 52123	   	267.90	DCR|4VULN|1TLV|2DUR	13DUR|2CGEN|4578VULN|6RCR|9TLV|aLHND
25	12361 52126	   	267.90	DCR|4VULN|1TLV|2DUR	13DUR|2CGEN|4578VULN|6RCR|9TLV|aLWND
26	12661 52121	   	267.90	DCR|4VULN|1TLV|2DUR	13DUR|23CGEN|3BPWR|4578VULN|6RCR|9TLV|aDUST
27	35232 51334	   	267.90	DCR|3VULN|2TLV|1ASPD	12aERES|2aBPWR|3BEXP|48aVULN|5LHND|6RCR|7ASPD|9aTLV
28	12361 52121	   	267.80	DCR|4VULN|1TLV|2DUR	13DUR|2CGEN|4578VULN|6RCR|9TLV|aDUST
29	12361 52124	   	267.80	DCR|4VULN|1TLV|2DUR|1MSE	13DUR|2CGEN|4578VULN|6RCR|9TLV|aMSE
30	12661 52322	   	267.02	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|23CGEN|3BPWR|457VULN|6RCR|8AEFBLL|9TLV|aRMIN
31	12661 52323	   	267.02	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|23CGEN|3BPWR|457VULN|6RCR|8AEFBLL|9TLV|aLHND
32	12112 53254	 * 	267.02	DCR|3VULN|1TLV|2AEPOI|2DUR	1aDUR|2CGEN|35aVULN|4BEXP|6RCR|7AAC|8TLV|9aAEPOI|aBPWR
33	12344 52122	   	266.92	DCR|3VULN|1TLV|1AEPOI|2DUR	13DUR|2CGEN|4AEPOI|578VULN|6RCR|9TLV|aRMIN
34	12344 52123	   	266.92	DCR|3VULN|1TLV|1AEPOI|2DUR	13DUR|2CGEN|4AEPOI|578VULN|6RCR|9TLV|aLHND
35	12361 52322	   	266.92	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|457VULN|6RCR|8AEFBLL|9TLV|aRMIN
36	12361 52323	   	266.92	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|457VULN|6RCR|8AEFBLL|9TLV|aLHND
37	12361 52326	   	266.92	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|457VULN|6RCR|8AEFBLL|9TLV|aLWND
38	12361 55231	   	266.92	DCR|3VULN|1TLV|1DMG|2DUR	13DUR|2CGEN|458VULN|6RCR|7DMG|9TLV|aLWND
39	12364 52122	   	266.92	DCR|3VULN|1TLV|1AEBURN|2DUR	13DUR|2CGEN|478VULN|5AEBURN|6RCR|9TLV|aRMIN
40	12364 52123	   	266.92	DCR|3VULN|1TLV|1AEBURN|2DUR	13DUR|2CGEN|478VULN|5AEBURN|6RCR|9TLV|aLHND
41	12366 52122	   	266.92	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|478VULN|5AEFBLL|6RCR|9TLV|aRMIN
42	12366 52123	   	266.92	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|478VULN|5AEFBLL|6RCR|9TLV|aLHND
43	12661 52321	   	266.92	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|23CGEN|3BPWR|457VULN|6RCR|8AEFBLL|9TLV|aDUST
44	12344 52121	   	266.82	DCR|3VULN|1TLV|1AEPOI|2DUR	13DUR|2CGEN|4AEPOI|578VULN|6RCR|9TLV|aDUST
45	12361 52321	   	266.82	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|457VULN|6RCR|8AEFBLL|9TLV|aDUST
46	12361 52324	   	266.82	DCR|3VULN|1TLV|1AEFBLL|2DUR|1MSE	13DUR|2CGEN|457VULN|6RCR|8AEFBLL|9TLV|aMSE
47	12361 55232	   	266.82	DCR|3VULN|1TLV|1DMG|2DUR	13DUR|2CGEN|458VULN|6RCR|7DMG|9TLV|aBASARM
48	12364 52121	   	266.82	DCR|3VULN|1TLV|1AEBURN|2DUR	13DUR|2CGEN|478VULN|5AEBURN|6RCR|9TLV|aDUST
49	12366 52121	   	266.82	DCR|3VULN|1TLV|1AEFBLL|2DUR	13DUR|2CGEN|478VULN|5AEFBLL|6RCR|9TLV|aDUST
50	33215 22423	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1ERES|29CDMG|3MDPS|4BEXP|5RAT|69VULN|7DUR|89TLV|9BPWR|aRCR
51	33221 22423	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1ERES|29CDMG|3MDPS|4RAT|5FEWX|69VULN|7DUR|89TLV|9BPWR|aRCR
52	33223 22423	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1ERES|29CDMG|3MDPS|4RAT|5BEXP|69VULN|7DUR|89TLV|9BPWR|aRCR
53	33525 22423	   	266.22	DCR|2TLV|2VULN|2CDMG|1DUR	1ERES|29CDMG|3FEWX|4MDPS|5RAT|69VULN|7DUR|89TLV|9BPWR|aRCR
54	13254 11114	 * 	265.87	ACR|3TLV|1VULN|2CDMG|2DUR|2RAT	1aDUR|2RMIN|3aCDMG|4RCR|59RAT|6VULN|78aTLV|aBPWR
55	62613 12633	   	265.56	DCR|3VULN|2TLV|1AART	169VULN|27CGEN|39AME|4AART|5DMSP|89TLV|9BPWR|aRCR
56	62611 12633	   	265.46	DCR|3VULN|2TLV|1AART	169VULN|279CGEN|3AME|4AART|5AEWIND|89TLV|9BPWR|aRCR
57	22126 21871	 * 	265.45	DCR|DCR|1TLV|1VULN|1AEFBLL	12AME|3AEFBLL|4LWND|5MBVNT|6BEXP|78RCR|9VULN|aTLV
58	23126 21871	   	265.45	DCR|DCR|1TLV|1VULN|1AEFBLL	1AME|2RCVC|3AEFBLL|4LWND|5MBVNT|6BEXP|78RCR|9VULN|aTLV
59	12216 11651	 * 	264.42	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	1DUR|26CGEN|3CDMG|48DMG|56VULN|6BPWR|7TLV|9RCR|aCANARM
60	12216 11652	   	264.42	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	1DUR|26CGEN|3CDMG|48DMG|56VULN|6BPWR|7TLV|9RCR|aERES
61	12216 11653	   	264.42	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	1DUR|26CGEN|3CDMG|48DMG|56VULN|6BPWR|7TLV|9RCR|aDUST
62	12216 31651	   	264.32	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|48DMG|56VULN|7TLV|9RCR|aCANARM
63	12216 31652	   	264.32	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|48DMG|56VULN|7TLV|9RCR|aERES
64	12216 31653	   	264.32	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	1DUR|2CGEN|3CDMG|48DMG|56VULN|7TLV|9RCR|aDUST
65	65133 21612	   	264.21	DCR|3VULN|2TLV|1DUR	19aVULN|2RPLT|3AME|49TLV|5FRZFST|6RCR|7DUR|89CGEN|9BPWR
66	65131 21612	   	264.11	DCR|3VULN|2TLV|1DUR	19aVULN|2RPLT|3AME|49TLV|5VENFST|6RCR|7DUR|89CGEN|9BPWR
67	31326 21871	   	263.89	DCR|DCR|1TLV|1VULN|2DUR	14ERES|23DUR|5MBVNT|6BEXP|78RCR|9VULN|aTLV
68	33314 61253	 * 	263.07	DCR|2VULN|1TLV|3CDMG|1AEPOI|1ASPD	1ERES|237CDMG|45VULN|6RCR|8TLV|9AEPOI|aASPD
69	32631 52133	   	262.65	DCR|4VULN|1TLV|1CDMG	1ERES|2AME|3TLV|4578VULN|6RCR|9MDPS|aCDMG
70	32631 66133	   	262.65	DCR|4VULN|1TLV|1CDMG	1ERES|2AME|3TLV|4568VULN|7RCR|9MDPS|aCDMG
71	15112 35152	   	262.29	DCR|2VULN|1TLV|1DMG|1AEPOI|2DUR	18DUR|2RPLT|3TLV|4BEXP|59VULN|6RCR|7AEPOI|aDMG
72	12361 55331	   	262.29	DCR|2VULN|1TLV|1DMG|1AEBURN|2DUR	13DUR|2CGEN|45VULN|6RCR|7DMG|8AEBURN|9TLV|aLWND
73	16613 62132	   	262.19	DCR|2VULN|1TLV|1AEBURN|2CDMG|2DUR	19DUR|2RCVC|3TLV|45CDMG|6RCR|78VULN|aAEBURN
74	12361 55332	   	262.19	DCR|2VULN|1TLV|1DMG|1AEBURN|2DUR	13DUR|2CGEN|45VULN|6RCR|7DMG|8AEBURN|9TLV|aBASARM
75	32631 52333	   	261.66	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1ERES|2AME|3TLV|457VULN|6RCR|8AEFBLL|9MDPS|aCDMG
76	32631 66333	   	261.66	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1ERES|2AME|3TLV|456VULN|7RCR|8AEFBLL|9MDPS|aCDMG
77	32634 52133	   	261.66	DCR|3VULN|1TLV|1AEBURN|1CDMG	1ERES|2AME|3TLV|478VULN|5AEBURN|6RCR|9MDPS|aCDMG
78	32636 52133	   	261.66	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1ERES|2AME|3TLV|478VULN|5AEFBLL|6RCR|9MDPS|aCDMG
79	61624 31122	   	261.62	DCR|3VULN|1TLV|1DMG|1ASPD|1SELL	159VULN|2LHND|3SELL|4TLV|6LWND|7ASPD|8DMG|aRCR
80	63121 51134	   	261.19	DCR|3VULN|2TLV|1NUKE	13aVULN|2RMIN|4aERES|5NUKE|6RCR|7LHND|8ZMB|9aTLV|aBPWR
81	12112 56252	   	260.18	DCR|2VULN|1TLV|1DMG|1AEPOI|1DUR	1DUR|2CGEN|35VULN|4BEXP|6RCR|7DMG|8TLV|9AEPOI|aRAT
82	31112 56252	   	260.08	DCR|2VULN|1TLV|1DMG|1AEPOI|1DUR	1ERES|2DUR|35VULN|4BEXP|6RCR|7DMG|8TLV|9AEPOI|aRAT
83	12225 24423	   	260.01	DCR|2TLV|2VULN|1CDMG|1DUR	1DUR|29CGEN|3CDMG|4MDPS|5RAT|69VULN|7FEWX|89TLV|9BPWR|aRCR
84	42225 22423	   	260.01	DCR|2TLV|2VULN|1CDMG|1DUR	1FEWX|29CGEN|3CDMG|4MDPS|5RAT|69VULN|7DUR|89TLV|9BPWR|aRCR
85	11665 23332	   	259.94	DCR|2VULN|1TLV|1DMG|1AEPOI|1DUR|1SELL	1DUR|2LHND|3SELL|4RAT|5aVULN|6AEPOI|7DMG|8RCR|9TLV
86	13254 11132	 * 	259.91	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|2RMIN|3CDMG|4RCR|5RAT|6aVULN|78TLV|9BEXP
87	13254 11152	   	259.91	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|2RMIN|3CDMG|4RCR|5RAT|6aVULN|78TLV|9LHND
88	15134 51212	 * 	259.38	DCR|2TLV|2VULN|1DMG|1DUR	1DUR|2RPLT|34TLV|58VULN|6RCR|7CGEN|9MLV|aDMG
89	12112 51254	   	259.38	DCR|2VULN|1TLV|2ASPD|2AEPOI|1DUR	1DUR|2aCGEN|35VULN|4BEXP|6RCR|7aASPD|8TLV|9aAEPOI|aBPWR
90	32613 62324	 * 	259.28	DCR|2VULN|1TLV|2ASPD|2CDMG|1DUR	1ERES|2aAME|3TLV|45CDMG|6RCR|7aVULN|8DUR|9aASPD|aBPWR
91	32631 53331	   	259.28	DCR|2TLV|2VULN|1AEBURN|1DUR	1ERES|2AME|3aTLV|45VULN|6RCR|7DUR|8AEBURN|9FLTFST
92	61113 13651	   	259.22	DCR|3VULN|1TLV|1AEPOI|1AART	16aVULN|2LHND|35DMSP|4AART|7AEPOI|8TLV|9RCR
93	61213 13651	   	259.22	DCR|3VULN|1TLV|1AEPOI|1AART	16aVULN|2LHND|3RCVC|4AART|5DMSP|7AEPOI|8TLV|9RCR
94	61111 13651	   	259.12	DCR|3VULN|1TLV|1AEPOI|1AART	16aVULN|2LHND|3DMSP|4AART|5AEWIND|7AEPOI|8TLV|9RCR
95	61211 13651	   	259.12	DCR|3VULN|1TLV|1AEPOI|1AART	16aVULN|2LHND|3RCVC|4AART|5AEWIND|7AEPOI|8TLV|9RCR
