0	Index      	 *	Score 	Summary	Detail	
1	42356 32123	 * 	204.98	DCR|3VULN|3DMG|1AART|2ZMB	18aVULN|24RMIN|378DMG|5AART|68ZMB|8BPWR|9RCR
30	52215 31116	 * 	184.63	DCR|4VULN|2DMG|3ASPD	19aASPD|237aVULN|4LWND|5CGEN|6aDMG|8RCR|aBPWR
31	52243 31116	   	184.63	DCR|4VULN|2DMG|3ASPD	19aASPD|237aVULN|4CGEN|5LHND|6aDMG|8RCR|aBPWR
32	44231 21151	 * 	184.32	DCR|4VULN|2DMG|2ZMB	1379VULN|29DMG|4ERES|5CGEN|6RCR|89ZMB|9BPWR|aBEXP
33	44231 21153	   	184.32	DCR|4VULN|2DMG|2ZMB	1379VULN|29DMG|4ERES|5aCGEN|6RCR|89ZMB|9BPWR
34	44231 21152	   	184.22	DCR|4VULN|2DMG|2ZMB	1379VULN|29DMG|4aERES|5CGEN|6RCR|89ZMB|9BPWR
35	42314 61343	 * 	183.83	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	19VULN|2RMIN|39DMG|4SELL|5MBVNT|6RCR|79CDMG|8AART|9BPWR|aCGEN
36	42314 61344	 * 	183.83	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	19VULN|2RMIN|39DMG|4SELL|5MBVNT|6RCR|79CDMG|8AART|9BPWR|aBEXP
37	45124 12222	 * 	183.64	ACR|4VULN|2DMG|2ASPD	145aVULN|257LIT|3RCR|5aBPWR|6RCVC|8aASPD|9aDMG
38	44323 35333	   	183.61	DCR|3VULN|2DMG|1AART|1ASPD	16aVULN|23DMG|4BELT|5AART|7LIT|8RCR|9ASPD
39	44121 24231	   	183.47	DCR|3VULN|2DMG|1AART|1ZMB	169VULN|27DMG|3MGNSTR|4AART|5LWND|8ZMB|aRCR
40	52262 23422	 * 	183.42	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|23VULN|4RCR|5LIT|6DUR|7DMG|8aAART|9CDMG
41	52363 34231	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|26VULN|346DMG|5MBVNT|6BPWR|7RCR|8FEWX|9LWND|aAART
42	52363 34431	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|26VULN|346DMG|5MBVNT|6BPWR|7RCR|8BEXP|9LWND|aAART
43	52363 34247	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|26VULN|346DMG|5MBVNT|6BPWR|7RCR|8FEWX|9ERES|aAART
44	52363 34447	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|26VULN|346DMG|5MBVNT|6BPWR|7RCR|8BEXP|9ERES|aAART
45	52363 32171	   	182.89	DCR|3VULN|3DMG|2DUR|1ASPD	1ASPD|267VULN|346DMG|5MBVNT|6BPWR|8aDUR|9RCR
46	52363 34271	   	182.40	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|269VULN|346DMG|5MBVNT|6BPWR|7RCR|8FEWX|aDUR
47	52363 34311	   	182.40	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aDUR
48	52363 34331	   	182.40	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LWND|aDUR
49	52363 34351	   	182.40	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9BEXP|aDUR
50	52363 34471	   	182.40	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|269VULN|346DMG|5MBVNT|6BPWR|7RCR|8BEXP|aDUR
51	52363 34348	   	182.30	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9ERES|aDUR
52	52363 34225	   	182.27	DCR|3VULN|3DMG|2ASPD	1aASPD|26aVULN|346DMG|5MBVNT|6aBPWR|7RCR|8aFEWX|9RPLT
53	52363 34425	   	182.27	DCR|3VULN|3DMG|2ASPD	1aASPD|26aVULN|346DMG|5MBVNT|6aBPWR|7RCR|8aBEXP|9RPLT
54	53313 63412	   	182.24	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3RCR|49aVULN|5AART|6ZMB|7BEXP|8DMG
55	44363 11222	 * 	182.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|23DMG|4RCR|5RCVC|6DUR|8RPLT|9AART|aCDMG
56	52263 25212	 * 	181.89	ACR|3VULN|2DMG|2ZMB|2ASPD	1aASPD|23aVULN|4RCR|5RCVC|67ZMB|8LIT|9aDMG|aBPWR
57	44262 23212	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|27DMG|4RCR|5LIT|6DUR|8CDMG|9RCVC|aAART
58	44262 23232	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|27DMG|4RCR|59LIT|6DUR|8CDMG|aAART
59	52362 32342	 * 	181.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	17ASPD|2VULN|34DMG|5LHND|6AART|8RCR|9ZMB|aCDMG
60	32526 22335	   	181.01	DCR|3DMG|2VULN|1AART|1DUR	1BASHEA|2LEGI|3DUR|456DMG|7aVULN|8RCR|9AART
61	51255 21112	 * 	180.81	DCR|3AART|2VULN|3ASPD|2CDMG	139ASPD|267AART|3aBPWR|4aVULN|5aCDMG|8RCR
62	42262 23423	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	13aVULN|2RMIN|4RCR|5LIT|6DUR|7DMG|8AART|9CDMG
63	45114 32221	 * 	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1ASPD	1aVULN|2LIT|3RCR|4DLOT|56AART|7ASPD|8FLTHEA|9DMG
64	51315 63121	   	180.48	DCR|2VULN|2DMG|1AART|3ASPD	168ASPD|2AART|3RMIN|4RCVC|58DMG|78VULN|8BPWR|9RCR|aLHND
65	52363 34414	   	180.39	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1ASPD|26VULN|346DMG|5MBVNT|6BPWR|7RCR|8BEXP|9DUR|aCDMG
66	51315 63122	   	180.38	DCR|2VULN|2DMG|1AART|3ASPD	168ASPD|2AART|3RMIN|4RCVC|58DMG|78VULN|8BPWR|9RCR|aDUST
67	53313 63411	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LIT|3RCR|49VULN|5AART|6ZMB|7BEXP|8DMG|aCDMG
68	44223 35333	   	180.12	DCR|4VULN|1AART|1DMG|1ASPD	136aVULN|2DMG|4BELT|5AART|7LIT|8RCR|9ASPD
69	44263 11222	   	180.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2DMG|4RCR|5RCVC|6DUR|8RPLT|9AART|aCDMG
70	44121 24331	   	179.41	DCR|3VULN|2DMG|1AART|1ASPD	169VULN|27DMG|3MGNSTR|4AART|5LWND|8ASPD|aRCR
71	52353 31621	 * 	179.27	DCR|3VULN|2AART|1DMG|1ASPD	1ASPD|29aVULN|3DMG|4RMIN|5RCVC|68AART|7RCR
72	51253 31621	 * 	179.22	DCR|3VULN|2AART|2ASPD|1ZMB	13ASPD|28AART|3BPWR|49aVULN|5MLV|6ZMB|7RCR
73	52363 32172	   	177.60	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|267VULN|346DMG|5MBVNT|6BPWR|8DUR|9RCR|aFEWX
74	52363 32174	   	177.50	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|267VULN|346DMG|5MBVNT|6BPWR|8DUR|9RCR|aTLV
75	52236 31612	 * 	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|23VULN|4ERES|5AART|6ZMB|7RCR|8DMG|9RMIN|aCDMG
76	52312 51132	   	177.17	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1ASPD|2aVULN|3DMG|4SELL|5FEWX|6RCR|7CDMG|8ZMB|9AART
77	52315 51132	   	177.17	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1ASPD|2aVULN|3DMG|4SELL|5BEXP|6RCR|7CDMG|8ZMB|9AART
78	52324 51132	   	177.17	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1ASPD|2aVULN|3DMG|4FEWX|5SELL|6RCR|7CDMG|8ZMB|9AART
79	52334 51132	   	177.17	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1ASPD|2aVULN|3DMG|4BEXP|5SELL|6RCR|7CDMG|8ZMB|9AART
80	44313 21252	 * 	177.06	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|23DMG|4LWND|5RCVC|6RCR|8RPLT|9AART|aCDMG
81	52362 32363	   	176.96	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	17ASPD|2VULN|34DMG|5LHND|6AART|8RCR|9DUR|aCDMG
82	44331 21251	 * 	176.96	DCR|2VULN|2DMG|1AART|1FLTHEA	17VULN|23DMG|4ERES|5CGEN|6RCR|8RPLT|9AART|aFLTHEA
83	44331 21252	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|23DMG|4ERES|5CGEN|6RCR|8RPLT|9AART|aCDMG
84	44126 11121	 * 	176.73	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	19VULN|29DMG|3MGNSTR|4AART|5CGEN|69CDMG|7SELL|8RMIN|9BPWR|aRCR
85	42353 36332	   	176.57	DCR|3VULN|2DMG|1AART	16aVULN|24RMIN|36DMG|5MBVNT|6BPWR|7RCR|8DUST|9AART
86	42262 23422	   	176.48	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	13VULN|2RMIN|4RCR|5LIT|6DUR|7DMG|8aAART|9CDMG
87	44323 31823	   	176.47	DCR|3VULN|2DMG|1AART	16aVULN|23DMG|4BELT|5AART|7MBVNT|8RCR|9ERES
88	52362 11136	   	176.35	DCR|3DMG|2VULN|2ASPD|2DUR	1aASPD|27VULN|34aDMG|5LHND|6ERES|8RCR|9aDUR|aBPWR
89	44332 31153	   	176.07	DCR|3DMG|3VULN|2ZMB	179VULN|239DMG|4ERES|5LEGI|6TLV|89ZMB|9BPWR|aRCR
90	51211 22363	   	175.99	DCR|2DMG|1AART|3ASPD|1VULN|1ZMB	134ASPD|2AART|34BPWR|5LEGI|6aDMG|7ZMB|8RCR|9VULN
91	52363 34227	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|26aVULN|346DMG|5MBVNT|6BPWR|7RCR|8FEWX|9RPLT
92	52363 34273	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|269VULN|346DMG|5MBVNT|6BPWR|7RCR|8FEWX|aRMIN
93	52363 34274	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|269VULN|346DMG|5MBVNT|6BPWR|7RCR|8FEWX|aCGEN
94	52363 34313	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aRMIN
95	52363 34314	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aCGEN
96	52363 34316	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aRPLT
97	52363 34317	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aLWND
98	52363 34321	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LIT|aLWND
99	52363 34323	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LIT|aBELT
100	52363 34325	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LIT|aCGEN
101	52363 34333	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LWND|aRMIN
102	52363 34334	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LWND|aCGEN
103	52363 34336	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LWND|aRPLT
104	52363 34337	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9aLWND
105	52363 34353	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9BEXP|aRMIN
106	52363 34354	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9BEXP|aCGEN
107	52363 34373	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9RMIN|aLIT
108	52363 34374	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9RMIN|aRCVC
109	52363 34383	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9CGEN|aLIT
110	52363 34384	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9CGEN|aRCVC
111	52363 34473	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|269VULN|346DMG|5MBVNT|6BPWR|7RCR|8BEXP|aRMIN
112	52363 34474	   	175.46	DCR|3VULN|3DMG|1ASPD	1ASPD|269VULN|346DMG|5MBVNT|6BPWR|7RCR|8BEXP|aCGEN
113	45123 34232	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	148VULN|2LIT|3RCR|5LWND|6CDMG|7ERES|9AART|aDMG
114	44331 13421	   	175.37	DCR|3VULN|2DMG|1AART	19aVULN|23DMG|4ERES|5CGEN|6RCVC|7AART|8RCR
115	52363 34315	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9FEWX|aTLV
116	52363 34324	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LIT|aERES
117	52363 34335	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LWND|aTLV
118	52363 34343	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9ERES|aLIT
119	52363 34344	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9ERES|aRCVC
120	52363 34346	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9ERES|aFEWX
121	52363 34347	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9ERES|aMLV
122	52363 34363	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9TLV|aLIT
123	52363 34364	   	175.36	DCR|3VULN|3DMG|1ASPD	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9TLV|aRCVC
124	25212 51431	 * 	175.27	DCR|4VULN|1AART|1CDMG|1ZMB	1ERES|2LHND|3468VULN|5AART|7ZMB|9RCR|aCDMG
125	26212 51431	   	175.27	DCR|4VULN|1AART|1CDMG|1ZMB	1ERES|2LWND|3468VULN|5AART|7ZMB|9RCR|aCDMG
126	52363 34642	   	175.21	DCR|3VULN|3DMG|1ASPD|1SELL	1ASPD|26aVULN|346DMG|5MBVNT|6BPWR|7RCR|8RMIN|9SELL
127	52363 34813	   	175.21	DCR|3VULN|3DMG|1ASPD|1SELL	1ASPD|26aVULN|346DMG|5MBVNT|6BPWR|7RCR|8SELL|9LIT
128	52363 34822	   	175.21	DCR|3VULN|3DMG|1ASPD|1SELL	1ASPD|26aVULN|346DMG|5MBVNT|6BPWR|7RCR|8SELL|9CGEN
129	52363 34326	   	175.21	DCR|3VULN|3DMG|1ASPD|1SELL	1ASPD|268VULN|346DMG|5MBVNT|6BPWR|7RCR|9LIT|aSELL
130	44213 21252	 * 	175.13	DCR|3VULN|1AART|1DMG|1CDMG	137VULN|2DMG|4LWND|5RCVC|6RCR|8RPLT|9AART|aCDMG
131	52363 34832	   	175.11	DCR|3VULN|3DMG|1ASPD|1SELL	1ASPD|26aVULN|346DMG|5MBVNT|6BPWR|7RCR|8SELL|9TLV
132	44231 21251	 * 	175.03	DCR|3VULN|1AART|1DMG|1FLTHEA	137VULN|2DMG|4ERES|5CGEN|6RCR|8RPLT|9AART|aFLTHEA
133	44231 21252	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	137VULN|2DMG|4ERES|5CGEN|6RCR|8RPLT|9AART|aCDMG
