0	Index      	 *	Score 	Summary	Detail	
1	16112 51314	 * 	188.11	DCR|3VULN|2AART|2DMG	1RCVC|2LIT|36DMG|49aVULN|57AART|8RCR
81	24323 14533	   	168.51	DCR|3DMG|2VULN|1ZMB|1DUR	13LHND|239DMG|3BPWR|46VULN|5ZMB|7DUR|8RCR|aRMIN
82	24323 24531	   	168.51	DCR|3DMG|2VULN|1ZMB|1DUR	13LHND|239DMG|3BPWR|4aVULN|5ZMB|6DMSP|7DUR|8RCR
83	21213 12545	   	168.51	DCR|3VULN|2DMG|1ZMB|1ASPD	13LHND|236VULN|3BPWR|4aDMG|5ZMB|7FEWX|8RCR|9ASPD
84	16112 51326	   	168.42	DCR|2AART|2DMG|1VULN|1CDMG	1RCVC|2LIT|36DMG|4VULN|57AART|8RCR|9AIRHEA|aCDMG
85	16112 61326	   	168.42	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|3DMG|46VULN|57AART|8RCR|9AIRHEA|aCDMG
86	21213 14533	   	168.41	DCR|3VULN|2DMG|1ZMB|1DUR	13LHND|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aLEGI
87	31213 14532	   	168.31	DCR|3VULN|2DMG|1ZMB|1DUR	13DUST|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aRCVC
88	31213 14533	   	168.31	DCR|3VULN|2DMG|1ZMB|1DUR	13DUST|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aLHND
89	31213 14535	   	168.31	DCR|3VULN|2DMG|1ZMB|1DUR	13DUST|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aRMIN
90	31213 14536	   	168.31	DCR|3VULN|2DMG|1ZMB|1DUR	13DUST|236VULN|3BPWR|49DMG|5ZMB|7DUR|8RCR|aLIT
91	34323 14533	   	168.31	DCR|3DMG|2VULN|1ZMB|1DUR	13DUST|239DMG|3BPWR|46VULN|5ZMB|7DUR|8RCR|aRMIN
92	34323 24531	   	168.31	DCR|3DMG|2VULN|1ZMB|1DUR	13DUST|239DMG|3BPWR|4aVULN|5ZMB|6DMSP|7DUR|8RCR
93	61162 43211	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1aMLV|278VULN|3LIT|4RCR|5DMG|6AART|9DUR
94	61162 43212	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1MLV|278VULN|3LIT|4RCR|5DMG|6AART|9DUR|aBEXP
95	61162 43213	   	167.99	ACR|3VULN|1AART|1DMG|1DUR|1SELL	1MLV|278VULN|3LIT|4RCR|5DMG|6AART|9DUR|aSELL
96	62231 53262	   	167.86	DCR|1AART|1VULN|1DMG|1FLTHEA|2DUR|1ZMB|1ASPD	1MLV|2FLTHEA|38DUR|4AART|5VULN|6DMG|7ASPD|9RCR|aZMB
97	33146 43232	   	167.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CGEN|3LIT|4ZMB|5RCR|6AART|7VULN|89DMG|aCDMG
98	21222 65531	   	167.78	DCR|3VULN|1AART|1DMG|1ZMB	13LHND|237VULN|3BPWR|4MLV|5ZMB|6LWND|8RCR|9AART|aDMG
99	24126 43233	   	167.67	ACR|2VULN|2DMG|1AART|1DUR	1LHND|28DMG|3LIT|4TLV|5RCR|6AART|79VULN|aDUR
100	21211 25412	   	167.27	DCR|4VULN|2DMG	1368LHND|2389VULN|38BPWR|48DMG|5RCVC|7RCR|aCGEN
101	21211 25451	   	167.27	DCR|4VULN|2DMG	13689LHND|238aVULN|38BPWR|48DMG|5RCVC|7RCR
102	61535 33112	 * 	167.26	ACR|5VULN|1DMG|1ASPD	136MLV|2389aVULN|3BPWR|4DMG|5RCR|7ASPD
103	21213 12532	   	167.18	DCR|3VULN|1AART|1DMG|1ZMB	13LHND|236VULN|3BPWR|4DMG|5ZMB|7FEWX|8RCR|9BELT|aAART
104	21213 45532	   	167.18	DCR|3VULN|1AART|1DMG|1ZMB	13LHND|237VULN|3BPWR|4DMG|5ZMB|6FEWX|8RCR|9BELT|aAART
105	21211 25414	   	167.17	DCR|4VULN|2DMG	1368LHND|2389VULN|38BPWR|48DMG|5RCVC|7RCR|aERES
106	21213 16431	 * 	167.03	DCR|4VULN|1DMG|2ASPD|1ZMB	138LHND|2368VULN|38BPWR|4DMG|5ZMB|78ASPD|9FEWX|aRCR
107	21264 31151	   	166.97	DCR|4VULN|2AART	13LHND|2389VULN|3BPWR|4LEGI|5aAART|6CGEN|7RCR
108	21213 16441	   	166.93	DCR|4VULN|1DMG|2ASPD|1ZMB	138LHND|2368VULN|38BPWR|4DMG|5ZMB|78ASPD|9DUST|aRCR
109	24315 22411	 * 	166.74	ACR|3VULN|3DMG	139LHND|239DMG|39BPWR|4ERES|5RCR|6DMSP|7FEWX|89aVULN
110	31213 16462	   	166.73	DCR|4VULN|1DMG|2ASPD|1ZMB	138DUST|2368VULN|38BPWR|4DMG|5ZMB|78ASPD|9RPLT|aRCR
111	51535 12323	   	166.64	ACR|3VULN|3DMG	13CGEN|236VULN|3BPWR|49aDMG|5RCR|7FEWX|8RMIN
112	61535 12323	   	166.64	ACR|3VULN|3DMG	13MLV|236VULN|3BPWR|49aDMG|5RCR|7FEWX|8RMIN
113	24133 44221	 * 	166.61	DCR|3VULN|2DMG|2ASPD	1LHND|2aDMG|3LIT|4FEWX|58aVULN|6BEXP|7RCR|9aASPD|aBPWR
114	24336 33121	   	166.55	DCR|3DMG|2VULN|1CDMG|1ASPD	137LHND|237DMG|37BPWR|4CDMG|5ASPD|67VULN|8BEXP|9FEWX|aRCR
115	24336 33151	   	166.55	DCR|3DMG|2VULN|1CDMG|1ASPD	137LHND|237DMG|37BPWR|4CDMG|5ASPD|67VULN|8BEXP|9LWND|aRCR
116	34113 14251	   	166.51	DCR|3VULN|2DMG|2ASPD	1DUST|2aDMG|3LIT|4LHND|58aVULN|6FEWX|7RCR|9aASPD|aBPWR
117	34113 44221	   	166.51	DCR|3VULN|2DMG|2ASPD	1DUST|2aDMG|3LIT|4LHND|58aVULN|6BEXP|7RCR|9aASPD|aBPWR
118	31313 13466	 * 	166.51	DCR|4VULN|1AART|1CDMG|1DUR	17DUST|2678VULN|3DUR|4CDMG|57LWND|7BPWR|9AART|aRCR
119	21213 24531	   	166.50	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	13LHND|23VULN|3BPWR|49DMG|5ZMB|6DMSP|7DUR|8RCR|aCDMG
120	21315 23315	   	166.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2VULN|3DUR|4CDMG|57AART|6BEXP|8DMG|9RCR|aZMB
121	21315 43315	   	166.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2VULN|3DUR|4CDMG|57AART|6FEWX|8DMG|9RCR|aZMB
122	21515 13315	   	166.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2VULN|3BEXP|4CDMG|57AART|6DUR|8DMG|9RCR|aZMB
123	24336 33141	   	166.45	DCR|3DMG|2VULN|1CDMG|1ASPD	137LHND|237DMG|37BPWR|4CDMG|5ASPD|67VULN|8BEXP|9DUST|aRCR
124	12113 15531	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|2LWND|3DUR|49DMG|5ZMB|67VULN|8RCR|aCDMG
125	13113 15531	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|2BEXP|3DUR|49DMG|5ZMB|67VULN|8RCR|aCDMG
126	25113 15531	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	12LHND|3DUR|49DMG|5ZMB|67VULN|8RCR|aCDMG
127	22514 33321	   	166.35	DCR|3DMG|2VULN|1CDMG|1DUR	17LHND|2CDMG|3NUKE|457DMG|67VULN|7BPWR|8DUR|9FEWX|aRCR
128	22514 33351	   	166.35	DCR|3DMG|2VULN|1CDMG|1DUR	17LHND|2CDMG|3NUKE|457DMG|67VULN|7BPWR|8DUR|9LWND|aRCR
129	34315 35213	   	166.34	ACR|3VULN|3DMG	139DUST|239DMG|39BPWR|48ERES|5RCR|6LHND|79aVULN
130	31213 24531	   	166.30	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	13DUST|23VULN|3BPWR|49DMG|5ZMB|6DMSP|7DUR|8RCR|aCDMG
131	24323 53321	 * 	166.28	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	137LHND|237DMG|37BPWR|4VULN|5ZMB|67CDMG|8DUR|9FEWX|aRCR
132	24323 53351	   	166.28	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	137LHND|237DMG|37BPWR|4VULN|5ZMB|67CDMG|8DUR|9LWND|aRCR
133	22514 33341	   	166.25	DCR|3DMG|2VULN|1CDMG|1DUR	17LHND|2CDMG|3NUKE|457DMG|67VULN|7BPWR|8DUR|9DUST|aRCR
134	34336 23361	   	166.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	13DUST|23DMG|3BPWR|4CDMG|5ASPD|6RCR|7AIRHEL|8LWND|9AART|aVULN
135	32214 25253	   	166.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|3ERES|45DMG|6RCR|7MLV|8VULN|9AART|aDUR
136	34331 25253	   	166.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	13DUST|23DMG|3BPWR|4CDMG|5ERES|6RCR|7MLV|8VULN|9AART|aDUR
137	21311 33421	   	166.21	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	17LHND|278VULN|3DUR|4CDMG|5RMIN|67DMG|7BPWR|9SELL|aRCR
138	21441 33421	   	166.21	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	17LHND|278VULN|3CDMG|4DUR|5RMIN|67DMG|7BPWR|9SELL|aRCR
139	24323 53341	   	166.18	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	137LHND|237DMG|37BPWR|4VULN|5ZMB|67CDMG|8DUR|9DUST|aRCR
140	32514 33321	   	166.15	DCR|3DMG|2VULN|1CDMG|1DUR	17DUST|2CDMG|3NUKE|457DMG|67VULN|7BPWR|8DUR|9FEWX|aRCR
141	32514 33361	   	166.15	DCR|3DMG|2VULN|1CDMG|1DUR	17DUST|2CDMG|3NUKE|457DMG|67VULN|7BPWR|8DUR|9BEXP|aRCR
142	31311 33421	   	166.01	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	17DUST|278VULN|3DUR|4CDMG|5RMIN|67DMG|7BPWR|9SELL|aRCR
143	31441 33421	   	166.01	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	17DUST|278VULN|3CDMG|4DUR|5RMIN|67DMG|7BPWR|9SELL|aRCR
144	24336 23362	   	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	13LHND|23DMG|3BPWR|4CDMG|5ASPD|6RCR|7AIRHEL|8LWND|9VULN|aAART
145	51563 13113	   	165.34	ACR|3VULN|1AART|1DMG|1DUR	13CGEN|238VULN|3BPWR|4DUR|5RCR|6BEXP|7AART|9LHND|aDMG
146	51563 13133	   	165.24	ACR|3VULN|1AART|1DMG|1DUR	13CGEN|238VULN|3BPWR|4DUR|5RCR|6BEXP|7AART|9MBVNT|aDMG
147	51563 13311	   	165.24	ACR|3VULN|1AART|1DMG|1DUR	13CGEN|239VULN|3BPWR|4DUR|5RCR|6BEXP|7AART|8NUKE|aDMG
148	22514 25231	   	165.09	DCR|2DMG|1AART|1VULN|2CDMG	17LHND|29CDMG|3NUKE|45DMG|6RCR|8VULN|aAART
149	21213 14552	   	165.02	DCR|4VULN|1DMG|1ZMB|1DUR	13LHND|2369VULN|3BPWR|4DMG|5ZMB|7DUR|8RCR|aRCVC
150	21213 12546	   	165.02	DCR|4VULN|1DMG|1ZMB|1ASPD	13LHND|236aVULN|3BPWR|4DMG|5ZMB|7FEWX|8RCR|9ASPD
151	21213 12556	   	165.02	DCR|4VULN|1DMG|1ZMB|1DUR	13LHND|2369VULN|3BPWR|4DMG|5ZMB|7FEWX|8RCR|aDUR
152	24336 22421	 * 	164.98	DCR|3DMG|1VULN|2ASPD|1CDMG	13LHND|23aDMG|3BPWR|4CDMG|59ASPD|6RCR|7BEXP|8VULN
153	24336 26321	   	164.98	DCR|3DMG|1VULN|2ASPD|1CDMG	13LHND|23aDMG|3BPWR|4CDMG|59ASPD|6RCR|7FEWX|8VULN
154	21213 14553	   	164.92	DCR|4VULN|1DMG|1ZMB|1DUR	13LHND|2369VULN|3BPWR|4DMG|5ZMB|7DUR|8RCR|aLEGI
155	31213 14552	   	164.82	DCR|4VULN|1DMG|1ZMB|1DUR	13DUST|2369VULN|3BPWR|4DMG|5ZMB|7DUR|8RCR|aRCVC
156	31213 14553	   	164.82	DCR|4VULN|1DMG|1ZMB|1DUR	13DUST|2369VULN|3BPWR|4DMG|5ZMB|7DUR|8RCR|aLHND
157	61313 51353	   	164.81	DCR|2AART|2VULN|1DMG|1DUR	16MLV|29VULN|3LHND|48AART|5DUR|7RCR|aDMG
158	51535 13311	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	13CGEN|236VULN|3BPWR|4DMG|5RCR|7LIT|8AART|9DUR|aMLV
159	51535 13312	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	13CGEN|236VULN|3BPWR|4DMG|5RCR|7aLIT|8AART|9DUR
160	51535 13323	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	13CGEN|236VULN|3BPWR|4DMG|5RCR|7LIT|8AART|9BEXP|aDUR
161	61535 13311	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	13aMLV|236VULN|3BPWR|4DMG|5RCR|7LIT|8AART|9DUR
162	61535 13312	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	13MLV|236VULN|3BPWR|4DMG|5RCR|7LIT|8AART|9DUR|aBEXP
163	21223 21263	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	13LHND|237VULN|3BPWR|46MLV|5RCR|8AART|9DUR|aDMG
164	21255 31263	   	164.74	ACR|3VULN|1AART|1DMG|1DUR	134LHND|237VULN|3BPWR|5RCR|6MLV|8AART|9DUR|aDMG
165	51535 23332	   	164.74	ACR|3VULN|1AART|1DMG|1ASPD	13CGEN|239VULN|3BPWR|4DMG|5RCR|6DMSP|7LIT|8AART|aASPD
166	61535 23332	   	164.74	ACR|3VULN|1AART|1DMG|1ASPD	13MLV|239VULN|3BPWR|4DMG|5RCR|6DMSP|7LIT|8AART|aASPD
167	21255 13335	 * 	164.67	ACR|5VULN|1AART	134LHND|2369aVULN|3BPWR|5RCR|7LIT|8AART
168	21213 24551	   	164.57	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	13LHND|239VULN|3BPWR|4DMG|5ZMB|6DMSP|7DUR|8RCR|aCDMG
169	61535 13313	   	164.49	ACR|3VULN|1AART|1DMG|1DUR|1SELL	13MLV|236VULN|3BPWR|4DMG|5RCR|7LIT|8AART|9DUR|aSELL
