0	Index      	 *	Score 	Summary	Detail	
1	24433 14323	 * 	191.29	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	19MLV|25DMG|359VULN|4SELL|59BPWR|6AART|79CDMG|8RPLT|aRCR
17	42311 26162	   	178.67	DCR|3VULN|2DMG|1AART	19LIT|289VULN|3FEWX|4aLHND|59DMG|6AART|7RCR|9BPWR
18	42232 34314	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LIT|24aVULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9DMG
19	41212 24433	   	176.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LIT|2RPLT|3RCR|456VULN|7DMG|8AART|9ASPD|aDUR
20	41212 24222	   	176.27	ACR|3VULN|2DMG|1CDMG|1DUR	1LIT|2RPLT|3RCR|456VULN|79DMG|8CDMG|aDUR
21	41212 24412	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|2RPLT|3RCR|456VULN|7DMG|8AART|9CDMG|aLWND
22	41212 24413	   	176.05	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|2RPLT|3RCR|456VULN|7DMG|8AART|9CDMG|aDUST
23	41212 24261	   	175.85	ACR|3VULN|2DMG|2CDMG	19LIT|2RPLT|3RCR|456VULN|79DMG|89CDMG|9BPWR|aFEWX
24	41212 24263	   	175.85	ACR|3VULN|2DMG|2CDMG	19LIT|2RPLT|3RCR|456VULN|79DMG|89CDMG|9BPWR|aCGEN
25	42433 51212	   	175.63	DCR|3VULN|2DMG|2CDMG	179LIT|249VULN|37DMG|57CGEN|6RCR|79BPWR|89CDMG|aRPLT
26	42431 12411	   	175.29	ACR|3VULN|2DMG|1AART	1LIT|24aVULN|39DMG|5RCR|6LHND|7CGEN|8AART
27	42431 13411	   	175.29	ACR|3VULN|2DMG|1AART	1LIT|24aVULN|39DMG|5RCR|6LHND|7MLV|8AART
28	42431 22411	   	175.29	ACR|3VULN|2DMG|1AART	1LIT|24aVULN|39DMG|5RCR|6LWND|7CGEN|8AART
29	42431 23411	   	175.29	ACR|3VULN|2DMG|1AART	1LIT|24aVULN|39DMG|5RCR|6LWND|7MLV|8AART
30	42414 22111	 * 	175.12	DCR|3DMG|2VULN|1CDMG|1ZMB	1LIT|26VULN|357DMG|4CDMG|8RCR|9CGEN|aZMB
31	34143 22358	 * 	174.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1aDUR|2MBVNT|3aCDMG|4BELT|5DMG|6LHND|7AART|8RCR|9aVULN|aBPWR
32	34143 32358	   	174.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1aDUR|2MBVNT|3aCDMG|4BELT|5DMG|6LWND|7AART|8RCR|9aVULN|aBPWR
33	34143 62318	 * 	174.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|6aVULN|79AART|8RCR
34	41261 21341	 * 	173.65	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1aLIT|2RPLT|3RCR|4CDMG|5aASPD|6DMG|7FEWX|8aVULN|9AART|aBPWR
35	42231 65133	   	173.29	ACR|2VULN|2DMG|1AART|2ZMB	17LIT|24VULN|36ZMB|5RCR|89DMG|aAART
36	42431 22413	   	173.28	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|24VULN|39DMG|5RCR|6LWND|7CGEN|8AART|aCDMG
37	42431 23413	   	173.28	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|24VULN|39DMG|5RCR|6LWND|7MLV|8AART|aCDMG
38	42231 62311	   	173.15	ACR|3VULN|1AART|1DMG|2ZMB	1LIT|24aVULN|36ZMB|5RCR|7AART|8DMG|9FEWX
39	42231 62321	   	173.15	ACR|3VULN|1AART|1DMG|2ZMB	1LIT|24aVULN|36ZMB|5RCR|7AART|8DMG|9LWND
40	42231 62341	   	173.05	ACR|3VULN|1AART|1DMG|2ZMB	1LIT|24aVULN|36ZMB|5RCR|7AART|8DMG|9LEGI
41	42411 13314	   	172.63	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|29aVULN|3DMG|4CDMG|5AART|6LSRREG|7CGEN|8RCR
42	42233 52123	   	172.08	DCR|3VULN|1AART|1DMG|1ZMB	18LIT|248VULN|3ZMB|5CGEN|6RCR|78FEWX|8BPWR|9DMG|aAART
43	42341 34121	   	171.44	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUR|9CDMG|aASPD
44	42361 34121	   	171.34	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|247VULN|3FEWX|5AART|6RCR|8DUR|9CDMG|aASPD
45	42231 62314	   	171.15	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1LIT|24VULN|36ZMB|5RCR|7AART|8DMG|9FEWX|aCDMG
46	42231 62323	   	171.15	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1LIT|24VULN|36ZMB|5RCR|7AART|8DMG|9LWND|aCDMG
47	42431 32411	   	171.10	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1LIT|24aVULN|3DMG|5RCR|6SELL|7FEWX|8AART|9CDMG
48	42414 22123	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1LIT|26VULN|357DMG|4CDMG|8RCR|9BELT|aASPD
49	42341 31114	   	170.92	DCR|3VULN|1AART|1DMG|1DUR	1LIT|24aVULN|34FEWX|4BPWR|5AART|6RCR|7RCVC|8DUR|9DMG
50	42341 34112	   	170.92	DCR|3VULN|1AART|1DMG|1DUR	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUR|9DMG|aLHND
51	42341 34113	   	170.92	DCR|3VULN|1AART|1DMG|1DUR	1aLIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUR|9DMG
52	41212 61411	   	170.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RPLT|3RCR|45VULN|6CDMG|7FEWX|8ZMB|9AART|aDMG
53	42361 34112	   	170.82	DCR|3VULN|1AART|1DMG|1DUR	1LIT|247VULN|3FEWX|5AART|6RCR|8DUR|9DMG|aLHND
54	42361 34113	   	170.82	DCR|3VULN|1AART|1DMG|1DUR	1aLIT|247VULN|3FEWX|5AART|6RCR|8DUR|9DMG
55	42341 32114	   	170.82	DCR|3VULN|1AART|1DMG|1ASPD	1LIT|24aVULN|34FEWX|4BPWR|5AART|6RCR|7ERES|8ASPD|9DMG
56	42361 31114	   	170.82	DCR|3VULN|1AART|1DMG|1DUR	1LIT|24aVULN|3FEWX|5AART|6RCR|7RCVC|8DUR|9DMG
57	42361 32114	   	170.72	DCR|3VULN|1AART|1DMG|1ASPD	1LIT|24aVULN|3FEWX|5AART|6RCR|7ERES|8ASPD|9DMG
58	42431 63312	   	170.64	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|24VULN|39DMG|5RCR|6ZMB|7aLWND|8AART
59	42233 51332	   	170.52	DCR|3VULN|2DMG|2ZMB	17aLIT|24aVULN|37ZMB|578CGEN|6RCR|7aBPWR|9aDMG
60	42233 54332	   	170.32	DCR|3VULN|2DMG|2ZMB	1aLIT|24aVULN|37ZMB|58CGEN|6RCR|9aDMG|aBPWR
61	42231 21611	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|24VULN|3ZMB|5RCR|6LWND|7FEWX|8aDMG|9AART
62	42231 26611	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|24VULN|3ZMB|5RCR|6LWND|7BEXP|8aDMG|9AART
63	42431 63211	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|24VULN|3aDMG|5RCR|6ZMB|7LWND|8BEXP|9AART
64	42311 26141	   	169.75	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|28VULN|3FEWX|4LHND|5aDMG|6AART|7RCR|9ASPD
65	41212 24421	   	169.44	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2RPLT|3RCR|456VULN|7DMG|8AART|9DUR|aLHND
66	41212 24423	   	169.44	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2RPLT|3RCR|456VULN|7DMG|8AART|9DUR|aFEWX
67	42212 22661	   	169.43	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1LIT|26VULN|35ZMB|4CDMG|7DMG|8RCR|9AART|aERES
68	42212 22663	   	169.43	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1LIT|26VULN|35ZMB|4CDMG|7DMG|8RCR|9AART|aLEGI
69	41212 24432	   	169.34	ACR|3VULN|1AART|1DMG|1ASPD	1LIT|2RPLT|3RCR|456VULN|7DMG|8AART|9ASPD|aDUST
70	41212 24221	   	169.33	ACR|3VULN|2DMG|1CDMG	1LIT|2RPLT|3RCR|456VULN|79DMG|8CDMG|aFEWX
71	41212 24223	   	169.33	ACR|3VULN|2DMG|1CDMG	1LIT|2RPLT|3RCR|456VULN|79DMG|8CDMG|aCGEN
72	41212 24225	   	169.23	ACR|3VULN|2DMG|1CDMG	1LIT|2RPLT|3RCR|456VULN|79DMG|8CDMG|aDUST
73	42341 32121	   	168.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|24VULN|34FEWX|4BPWR|5AART|6RCR|7ERES|8ASPD|9CDMG|aDMG
74	44141 32121	   	168.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|24FEWX|34VULN|4BPWR|5AART|6RCR|7ERES|8ASPD|9CDMG|aDMG
75	42361 32121	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|24VULN|3FEWX|5AART|6RCR|7ERES|8ASPD|9CDMG|aDMG
76	44161 32121	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2FEWX|34VULN|5AART|6RCR|7ERES|8ASPD|9CDMG|aDMG
77	34527 22312	 * 	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	18DUR|2MBVNT|3LEGI|4FLTHEA|58LWND|68VULN|7RCR|8BPWR|9DMG|aAART
78	42231 12414	   	168.70	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LHND|7CGEN|8AART|9DMG
79	42231 13414	   	168.70	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LHND|7MLV|8AART|9DMG
80	42231 22414	   	168.70	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LWND|7CGEN|8AART|9DMG
81	42231 23414	   	168.70	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LWND|7MLV|8AART|9DMG
82	34327 22312	   	168.61	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	18DUR|2MBVNT|38DUST|4FLTHEA|5LWND|68VULN|7RCR|8BPWR|9DMG|aAART
83	42231 14314	   	168.60	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LHND|7NUKE|8AART|9DMG
84	42231 24314	   	168.60	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LWND|7NUKE|8AART|9DMG
85	42231 33314	   	168.60	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6NUKE|7LWND|8AART|9DMG
86	14526 22312	   	168.51	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	18DUST|2MBVNT|3LEGI|4FLTHEA|58DUR|68VULN|7RCR|8BPWR|9DMG|aAART
87	42233 51522	 * 	168.40	DCR|2VULN|2DMG|3ZMB	17aLIT|24VULN|37aZMB|57CGEN|6RCR|7aBPWR|8LHND|9aDMG
88	41212 11434	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2RPLT|3RCR|458VULN|6FEWX|7DUR|9DMG|aAART
89	41212 31434	   	168.14	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2RPLT|3RCR|458VULN|6DUST|7DUR|9DMG|aAART
90	24452 32323	 * 	168.03	DCR|3VULN|1AART|1DMG|2ASPD	19MLV|2DMG|379VULN|4DMSP|5AART|69ASPD|8RPLT|9BPWR|aRCR
91	34143 62351	   	168.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2MBVNT|3CDMG|4BELT|5DMG|69VULN|7AART|8RCR
92	41212 26423	   	167.99	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1LIT|2RPLT|3RCR|456VULN|7SELL|8ASPD|9DMG|aAART
93	42231 52133	   	167.70	ACR|3VULN|1AART|1DMG|1ZMB	18LIT|248VULN|3ZMB|5RCR|6BEXP|78CGEN|8BPWR|9DMG|aAART
94	42231 53133	   	167.70	ACR|3VULN|1AART|1DMG|1ZMB	18LIT|248VULN|3ZMB|5RCR|6BEXP|78MLV|8BPWR|9DMG|aAART
95	42131 62123	   	167.60	ACR|3VULN|1AART|1DMG|1ZMB	18LIT|248VULN|3TLV|5RCR|6ZMB|78FEWX|8BPWR|9DMG|aAART
96	42531 62123	   	167.60	ACR|3VULN|1AART|1DMG|1ZMB	18LIT|248VULN|3ERES|5RCR|6ZMB|78FEWX|8BPWR|9DMG|aAART
97	34142 62317	   	167.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5ZMB|6VULN|79AART|8RCR|aDMG
98	24232 62226	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2DMG|3DUST|4CDMG|5BELT|68VULN|7RCR|9ZMB|aAART
99	41212 64331	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2RPLT|3RCR|45VULN|6CDMG|7NUKE|8AART|9DUR|aDMG
100	41262 32152	   	167.13	ACR|2VULN|2DMG|2CDMG|1ASPD	1LIT|2RPLT|3RCR|4aCDMG|5MLV|6FEWX|7aVULN|8ASPD|9aDMG|aBPWR
101	41263 32152	   	167.13	ACR|2VULN|2DMG|2CDMG|1ASPD	1LIT|2RPLT|3RCR|4aCDMG|5CGEN|6FEWX|7aVULN|8ASPD|9aDMG|aBPWR
102	14173 62312	   	167.12	DCR|2VULN|2AART|1DMG|1CDMG	1DUST|2MBVNT|3CDMG|4BELT|5DMG|6aVULN|79AART|8RCR
103	41261 32352	   	167.03	ACR|2VULN|2DMG|2CDMG|1ASPD	1LIT|2RPLT|3RCR|4aCDMG|5ASPD|6FEWX|7aVULN|8TLV|9aDMG|aBPWR
104	42231 62111	   	166.97	ACR|3VULN|1AART|2ZMB|1DUR|1ASPD	1LIT|24aVULN|36ZMB|5RCR|7AART|8DUR|9ASPD
105	42233 51213	 * 	166.93	DCR|4VULN|2CDMG|2ZMB	179LIT|249aVULN|37ZMB|57CGEN|6RCR|79BPWR|89CDMG
106	42431 42122	 * 	166.84	ACR|3VULN|3DMG	18aLIT|24aVULN|389DMG|5RCR|6LEGI|78aCGEN|8aBPWR
107	42431 43122	   	166.84	ACR|3VULN|3DMG	18aLIT|24aVULN|389DMG|5RCR|6LEGI|78aMLV|8aBPWR
108	41216 36311	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2RPLT|3RCR|48VULN|5ASPD|6LWND|7CDMG|9AART|aDMG
109	41261 21342	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2RPLT|3RCR|4CDMG|5ASPD|6DMG|7FEWX|8aVULN|9AART
110	42231 62611	 * 	166.74	ACR|3VULN|1AART|2ZMB|1CDMG	1LIT|24aVULN|36ZMB|5RCR|7AART|8RPLT|9CDMG
111	42233 54211	   	166.73	DCR|4VULN|2CDMG|2ZMB	19LIT|249aVULN|37ZMB|5CGEN|6RCR|89CDMG|9BPWR
112	24232 62235	   	166.51	DCR|3VULN|2DMG|1CDMG	1aMLV|2aDMG|3DUST|4CDMG|5BELT|68aVULN|7RCR|9NUKE|aBPWR
113	42362 52321	   	166.48	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|24aVULN|35FEWX|6ZMB|7AART|8DMG|9RCR
114	42623 24321	   	166.48	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1LIT|2aVULN|3SELL|46AART|5FEWX|7CDMG|8DMG|9RCR
115	42433 51121	   	166.37	DCR|3DMG|2VULN|1ZMB	17LIT|24VULN|379DMG|57CGEN|6RCR|7BPWR|8DUST|aZMB
116	42431 32431	   	166.33	ACR|2VULN|2DMG|1AART|1ASPD|1SELL	1LIT|24VULN|3aDMG|5RCR|6SELL|7FEWX|8AART|9ASPD
117	34135 51322	 * 	166.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18DUR|2MBVNT|3CDMG|48ERES|5BELT|6AART|78DMG|8BPWR|9RCR|aVULN
118	42341 33341	   	166.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|24VULN|34FEWX|4BPWR|5AART|6RCR|7DUST|8ZMB|9ASPD|aDMG
119	42231 12122	   	166.14	ACR|3VULN|2DMG|2ZMB	18aLIT|248VULN|3aZMB|5RCR|6LHND|78CGEN|8aBPWR|9aDMG
120	42231 13122	   	166.14	ACR|3VULN|2DMG|2ZMB	18aLIT|248VULN|3aZMB|5RCR|6LHND|78MLV|8aBPWR|9aDMG
121	42231 21613	   	166.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|24VULN|3ZMB|5RCR|6LWND|7FEWX|8DMG|9AART|aCDMG
122	42231 26613	   	166.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|24VULN|3ZMB|5RCR|6LWND|7BEXP|8DMG|9AART|aCDMG
123	42431 63213	   	166.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|24VULN|3DMG|5RCR|6ZMB|7LWND|8BEXP|9AART|aCDMG
124	42361 33341	   	166.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|24VULN|3FEWX|5AART|6RCR|7DUST|8ZMB|9ASPD|aDMG
125	42431 26211	   	165.97	ACR|2VULN|2DMG|1AART|1DUR	1LIT|24VULN|3aDMG|5RCR|6LWND|7DUR|8MLV|9AART
126	42341 31512	   	165.91	DCR|2VULN|2DMG|1AART	1LIT|24VULN|348FEWX|4BPWR|5AART|6RCR|7RCVC|9aDMG
127	42341 36312	   	165.91	DCR|2VULN|2DMG|1AART	1LIT|24VULN|347FEWX|4BPWR|5AART|6RCR|8DMSP|9aDMG
128	42431 26311	   	165.87	ACR|2VULN|2DMG|1AART|1DUR	1LIT|24VULN|3aDMG|5RCR|6LWND|7DUR|8TLV|9AART
129	42311 26143	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|28VULN|3FEWX|4LHND|5DMG|6AART|7RCR|9ASPD|aCDMG
130	41212 62123	 * 	165.81	ACR|2VULN|1AART|1DMG|2CDMG	18LIT|2RPLT|3RCR|45VULN|68CDMG|78CGEN|8BPWR|9DMG|aAART
131	41212 63123	   	165.81	ACR|2VULN|1AART|2CDMG|1DMG	18LIT|2RPLT|3RCR|45VULN|68CDMG|78MLV|8BPWR|9DMG|aAART
132	41212 62223	   	165.61	ACR|2VULN|1AART|1DMG|2CDMG	1LIT|2RPLT|3RCR|45VULN|68CDMG|7CGEN|9DMG|aAART
133	41212 63223	   	165.61	ACR|2VULN|1AART|2CDMG|1DMG	1LIT|2RPLT|3RCR|45VULN|68CDMG|7MLV|9DMG|aAART
134	34142 22358	   	165.46	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	1aDUR|2MBVNT|3aCDMG|4BELT|5ZMB|6LHND|7AART|8RCR|9aVULN|aBPWR
135	34142 32358	   	165.46	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	1aDUR|2MBVNT|3aCDMG|4BELT|5ZMB|6LWND|7AART|8RCR|9aVULN|aBPWR
136	34161 44544	   	165.45	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3CDMG|4CGEN|57VULN|6AART|8DMG|9ASPD|aRCR
137	42431 23162	   	165.38	ACR|4VULN|2DMG	189LIT|2489VULN|3aDMG|5RCR|6LWND|789MLV|89BPWR
138	42131 31522	   	165.08	ACR|4VULN|2DMG	17aLIT|247aVULN|37TLV|5RCR|6NUKE|7aBPWR|8LHND|9aDMG
139	42531 31522	   	165.08	ACR|4VULN|2DMG	17aLIT|247aVULN|37ERES|5RCR|6NUKE|7aBPWR|8LHND|9aDMG
140	41212 24312	   	165.03	ACR|5VULN|1DMG	1LIT|2RPLT|3RCR|45689VULN|7DMG|aLWND
141	41212 24313	   	165.03	ACR|5VULN|1DMG	1LIT|2RPLT|3RCR|45689VULN|7DMG|aBEXP
142	41212 24315	   	165.03	ACR|5VULN|1DMG	1LIT|2RPLT|3RCR|45689VULN|7DMG|aLHND
143	41212 24316	   	165.03	ACR|5VULN|1DMG	1aLIT|2RPLT|3RCR|45689VULN|7DMG
144	42131 31432	   	164.98	ACR|4VULN|2DMG	17aLIT|2478VULN|37aTLV|5RCR|6NUKE|7aBPWR|9aDMG
145	42531 31432	   	164.98	ACR|4VULN|2DMG	17aLIT|2478VULN|37aERES|5RCR|6NUKE|7aBPWR|9aDMG
146	42231 62114	   	164.97	ACR|2VULN|1AART|2ZMB|1CDMG|1DUR|1ASPD	1LIT|24VULN|36ZMB|5RCR|7AART|8DUR|9ASPD|aCDMG
147	42341 34133	 * 	164.96	DCR|4VULN|1AART|1DUR	1LIT|247aVULN|34FEWX|4BPWR|5AART|6RCR|8DUR|9BELT
148	42341 34311	   	164.96	DCR|4VULN|1AART|1ASPD	1LIT|247aVULN|34FEWX|4BPWR|5AART|6RCR|8MLV|9ASPD
149	41212 24334	   	164.93	ACR|5VULN|1DMG	1LIT|2RPLT|3RCR|4568aVULN|7DMG|9AIRHEA
150	42361 34133	   	164.86	DCR|4VULN|1AART|1DUR	1LIT|247aVULN|3FEWX|5AART|6RCR|8DUR|9BELT
151	42361 34311	   	164.86	DCR|4VULN|1AART|1ASPD	1LIT|247aVULN|3FEWX|5AART|6RCR|8MLV|9ASPD
152	42431 36111	   	164.74	ACR|4VULN|2DMG|1SELL	19LIT|247aVULN|39DMG|5RCR|6SELL|89ERES|9BPWR
153	42431 36321	   	164.74	ACR|4VULN|2DMG|1SELL	1LIT|247aVULN|38DMG|5RCR|6SELL|9MLV
154	42341 34122	   	164.51	DCR|3VULN|1AART|1CDMG|1DUR	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUR|9CDMG|aLHND
155	42433 51223	   	164.46	DCR|2VULN|2DMG|1CDMG|1ZMB	17LIT|24VULN|37DMG|57CGEN|6RCR|7BPWR|8CDMG|9BELT|aZMB
156	42231 62631	   	164.44	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LIT|24VULN|36ZMB|5RCR|7AART|8RPLT|9ASPD|aDMG
157	42361 34122	   	164.41	DCR|3VULN|1AART|1CDMG|1DUR	1LIT|247VULN|3FEWX|5AART|6RCR|8DUR|9CDMG|aLHND
158	42341 34123	   	164.41	DCR|3VULN|1AART|1CDMG|1DUR	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUR|9CDMG|aDUST
159	42341 34221	   	164.41	DCR|3VULN|1AART|1CDMG|1ASPD	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUST|9CDMG|aASPD
160	42361 34123	   	164.31	DCR|3VULN|1AART|1CDMG|1DUR	1LIT|247VULN|3FEWX|5AART|6RCR|8DUR|9CDMG|aDUST
161	42361 34221	   	164.31	DCR|3VULN|1AART|1CDMG|1ASPD	1LIT|247VULN|3FEWX|5AART|6RCR|8DUST|9CDMG|aASPD
162	34614 73324	   	164.15	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2MBVNT|3TLV|4VULN|59DMG|6CDMG|7ASPD|8AART|aRCR
163	42414 22112	   	164.11	DCR|3DMG|2VULN|1CDMG	1LIT|26VULN|357DMG|4CDMG|8RCR|9CGEN|aLWND
164	42414 22113	   	164.11	DCR|3DMG|2VULN|1CDMG	1aLIT|26VULN|357DMG|4CDMG|8RCR|9CGEN
165	42414 22122	   	164.11	DCR|3DMG|2VULN|1CDMG	1LIT|26VULN|357DMG|4CDMG|8RCR|9BELT|aCGEN
166	42414 22121	   	164.01	DCR|3DMG|2VULN|1CDMG	1LIT|26VULN|357DMG|4CDMG|8RCR|9BELT|aERES
167	42341 31511	   	163.98	DCR|3VULN|1AART|1DMG	1LIT|24aVULN|348FEWX|4BPWR|5AART|6RCR|7RCVC|9DMG
168	42341 36311	   	163.98	DCR|3VULN|1AART|1DMG	1LIT|24aVULN|347FEWX|4BPWR|5AART|6RCR|8DMSP|9DMG
169	42341 34211	   	163.88	DCR|3VULN|1AART|1DMG	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUST|9DMG|aBEXP
170	42341 34212	   	163.88	DCR|3VULN|1AART|1DMG	1LIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUST|9DMG|aLHND
171	42341 34213	   	163.88	DCR|3VULN|1AART|1DMG	1aLIT|247VULN|34FEWX|4BPWR|5AART|6RCR|8DUST|9DMG
